汉字	最终规范拆分	编码首根	编码末根
孀	女 ＋ 雨头 ＋ 木 ＋ 目	女	日
孅	女 ＋ 人 ＋ 人 ＋ 戈 ＋ 非 ＋ 一	女	横
子	子	子	子
孑	子	子	子
孓	了 ＋ 点	子	点
孔	子 ＋ 折	子	折
孕	乃 ＋ 子	乃	子
孖	子 ＋ 子	子	子
字	宀 ＋ 子	宀	子
存	在字框 ＋ 子	十	子
孙	子 ＋ 小	子	小
孚	爫 ＋ 子	爫	子
孛	十 ＋ 冖 ＋ 子	十	子
孜	子 ＋ 攵	子	又
孝	耂 ＋ 子	耂	子
孟	子 ＋ 皿	子	皿
孢	子 ＋ 勹 ＋ 巳	子	已
季	禾 ＋ 子	禾	子
孤	子 ＋ 瓜	子	爫
孥	女 ＋ 又 ＋ 子	女	子
学	学无子 ＋ 子	宀	子
孩	子 ＋ 亠 ＋ 折 ＋ 丿 ＋ 人	子	人
孪	变字头 ＋ 子	变字头	子
孬	一 ＋ 亻 ＋ 点 ＋ 女 ＋ 子	横	子
孰	享字头 ＋ 子 ＋ 丸	享字头	九
孱	尸 ＋ 子 ＋ 子 ＋ 子	尸	子
孳	丷 ＋ 一 ＋ 幺 ＋ 幺 ＋ 子	八	子
孵	卵 ＋ 爫 ＋ 子	卵	子
孺	子 ＋ 雨头 ＋ 而	子	雨
孽	艹 ＋ 追字心 ＋ 辛 ＋ 子	艹	子
宁	宀 ＋ 丁	宀	寸
它	宀 ＋ 匕	宀	匕
宄	宀 ＋ 九	宀	九
宅	宀 ＋ 撇 ＋ 七	宀	匕
宇	宀 ＋ 于	宀	干
守	宀 ＋ 寸	宀	寸
安	宀 ＋ 女	宀	女
宋	宀 ＋ 木	宀	木
完	宀 ＋ 一 ＋ 兀	宀	儿
宏	宀 ＋ 左字框 ＋ 厶	宀	厶
宓	宀 ＋ 必	宀	忄
宕	宀 ＋ 石	宀	石
宗	宀 ＋ 示	宀	示
官	宀 ＋ 官字底	宀	追字心
宙	宀 ＋ 由	宀	田
定	宀 ＋ 定字底	宀	定字底
宛	宀 ＋ 夕 ＋ 㔾	宀	已
宜	宀 ＋ 且	宀	且
宝	宀 ＋ 玉	宀	王
实	宀 ＋ 冬字底 ＋ 大	宀	大
宠	宀 ＋ 龙	宀	龙
审	宀 ＋ 申	宀	田
客	宀 ＋ 各	宀	又
宣	宀 ＋ 一 ＋ 日 ＋ 一	宀	横
室	宀 ＋ 至	宀	至
宥	宀 ＋ 左字框 ＋ 青字底	宀	月
宦	宀 ＋ 臣	宀	臣
宧	宀 ＋ 颐字旁	宀	臣
宪	宀 ＋ 告字头 ＋ 儿	宀	儿
宫	宀 ＋ 口 ＋ 口	宀	口
宬	宀 ＋ 戊 ＋ 折	宀	折
宰	宀 ＋ 辛	宀	辛
害	宀 ＋ 丰 ＋ 口	宀	口
宴	宀 ＋ 日 ＋ 女	宀	女
宵	宀 ＋ 尚字头 ＋ 青字底	宀	月
家	宀 ＋ 豕	宀	豕
宸	宀 ＋ 厂 ＋ 一 ＋ 畏字底带横	宀	定字底
容	宀 ＋ 八 ＋ 全字头 ＋ 口	宀	口
宽	宀 ＋ 艹 ＋ 见	宀	见
宾	宀 ＋ 撇 ＋ 卢字头 ＋ 丨 ＋ 一 ＋ 八	宀	八
宿	宀 ＋ 亻 ＋ 一 ＋ 白	宀	白
寁	宀 ＋ 一 ＋ 肀 ＋ 一 ＋ 丿 ＋ 点	宀	点
寂	宀 ＋ 卜 ＋ 横 ＋ 小 ＋ 又	宀	又
寄	宀 ＋ 大 ＋ 可	宀	寸
寅	宀 ＋ 一 ＋ 由 ＋ 八	宀	八
密	宀 ＋ 必 ＋ 山	宀	山
寇	宀 ＋ 一 ＋ 兀 ＋ 卢字头 ＋ 又	宀	又
富	宀 ＋ 一 ＋ 口 ＋ 田	宀	田
寐	宀 ＋ 爿 ＋ 未	宀	未
寒	宀 ＋ 冓头 ＋ 八 ＋ 冬字底	宀	点
寓	宀 ＋ 日 ＋ 禺字底	宀	禸
寝	宀 ＋ 丬 ＋ 彐 ＋ 冖 ＋ 又	宀	又
寞	宀 ＋ 莫	宀	莫
察	宀 ＋ 祭字头 ＋ 示	宀	示
寡	宀 ＋ 一 ＋ 丿 ＋ 且 ＋ 八 ＋ 刀	宀	刀
寤	宀 ＋ 爿 ＋ 五 ＋ 口	宀	口
寥	宀 ＋ 习 ＋ 习 ＋ 全字头 ＋ 彡	宀	彡
寨	宀 ＋ 冓头 ＋ 八 ＋ 一 ＋ 小	宀	小
寮	宀 ＋ 大 ＋ 丷 ＋ 日 ＋ 小	宀	小
寰	宀 ＋ 罒 ＋ 一 ＋ 口 ＋ 衣省	宀	衣
寸	寸	寸	寸
对	又 ＋ 寸	又	寸
寺	土 ＋ 寸	土	寸
寻	彐 ＋ 寸	争字底	寸
导	巳 ＋ 寸	已	寸
寿	三 ＋ 丿 ＋ 寸	三	寸
封	土 ＋ 土 ＋ 寸	土	寸
射	身 ＋ 寸	向	寸
将	丬 ＋ 夕 ＋ 寸	片	寸
尉	尸 ＋ 示 ＋ 寸	尸	寸
尊	丷 ＋ 酉 ＋ 寸	八	寸
小	小	小	小
少	少三 ＋ 丿	小	撇
尔	⺈ ＋ 小	刀	小
尕	乃 ＋ 小	乃	小
尖	小 ＋ 大	小	大
尘	小 ＋ 土	小	土
尚	尚字头 ＋ 冖 ＋ 口	小	口
尜	小 ＋ 大 ＋ 小	小	小
尝	尚字头 ＋ 冖 ＋ 二 ＋ 厶	小	厶
尢	左字框 ＋ 折	十	折
尤	尤	龙	龙
尥	左字框 ＋ 折 ＋ 勹 ＋ 丶	十	点
尧	尧	尧	尧
尨	左字框 ＋ 折 ＋ 彡 ＋ 丶	十	点
尪	左字框 ＋ 折 ＋ 王	十	王
尬	左字框 ＋ 折 ＋ 全字头 ＋ 乔字底	十	竖
就	享字头 ＋ 小 ＋ 尤	享字头	龙
尴	左字框 ＋ 折 ＋ 览字头 ＋ 皿	十	皿
尸	尸	尸	尸
尹	争字底 ＋ 撇	争字底	撇
尺	尺	尸	尸
尻	尸 ＋ 九	尸	九
尼	尸 ＋ 匕	尸	匕
尽	尺 ＋ 冬字底	尸	点
尾	尸 ＋ 毛	尸	毛
尿	尸 ＋ 水	尸	氵
局	尸 ＋ 折 ＋ 口	尸	口
屁	尸 ＋ 比字旁 ＋ 匕	尸	匕
层	尸 ＋ 二 ＋ 厶	尸	厶
屃	尸 ＋ 贝	尸	见
居	居	居	居
屈	尸 ＋ 出	尸	山
屉	尸 ＋ 廿 ＋ 折	尸	折
届	尸 ＋ 由	尸	田
屋	尸 ＋ 至	尸	至
屎	尸 ＋ 米	尸	米
屏	尸 ＋ 丷 ＋ 一 ＋ 廾	尸	艹
屐	尸 ＋ 彳 ＋ 十 ＋ 又	尸	又
屑	尸 ＋ 尚字头 ＋ 青字底	尸	月
展	尸 ＋ 艹 ＋ 畏字底带横	尸	定字底
屙	尸 ＋ 阝 ＋ 可	尸	寸
属	尸 ＋ 撇 ＋ 口 ＋ 禺字底	尸	禸
屠	尸 ＋ 耂 ＋ 日	尸	日
屡	尸 ＋ 米 ＋ 女	尸	女
屣	尸 ＋ 彳 ＋ 止 ＋ 卢字头 ＋ 丿 ＋ 点	尸	点
履	尸 ＋ 彳 ＋ 卧人 ＋ 日 ＋ 夂	尸	又
屦	尸 ＋ 彳 ＋ 米 ＋ 女	尸	女
屯	一 ＋ 凵 ＋ 折	横	折
山	山	山	山
屹	山 ＋ 卧人 ＋ 乙	山	乙
屺	山 ＋ 己	山	已
屼	山 ＋ 兀	山	儿
屾	山 ＋ 山	山	山
屿	山 ＋ 一 ＋ 折 ＋ 一	山	横
岁	山 ＋ 夕	山	夕
岂	山 ＋ 己	山	已
岈	山 ＋ 牙	山	牙
岊	巴 ＋ 山	已	山
岌	山 ＋ 及	山	及
岍	山 ＋ 一 ＋ 廾	山	艹
岐	山 ＋ 十 ＋ 又	山	又
岑	山 ＋ 今	山	今
岔	八 ＋ 刀 ＋ 山	八	山
岖	山 ＋ 匚 ＋ 㐅	山	交
岗	山 ＋ 冂 ＋ 㐅	山	交
岘	山 ＋ 见	山	见
岙	撇 ＋ 大 ＋ 山	撇	山
岚	山 ＋ 风省 ＋ 㐅	山	交
岛	岛	鸟	鸟
岜	山 ＋ 巴	山	已
岞	山 ＋ 卧人 ＋ 卢字头 ＋ 一	山	横
岠	山 ＋ 巨	山	匚
岢	山 ＋ 可	山	寸
岣	山 ＋ 勹 ＋ 口	山	口
岨	山 ＋ 且	山	且
岩	山 ＋ 石	山	石
岫	山 ＋ 由	山	田
岬	山 ＋ 甲	山	田
岭	山 ＋ 令	山	今
岱	亻 ＋ 弋 ＋ 山	亻	山
岳	丘 ＋ 山	丘	山
岵	山 ＋ 古	山	古
岷	山 ＋ 民	山	民
岸	山 ＋ 厂 ＋ 干	山	干
岽	山 ＋ 东	山	车
岿	山 ＋ 师字旁 ＋ 彐	山	争字底
峁	山 ＋ 卯	山	卵
峂	山 ＋ 夂 ＋ 冬字底	山	点
峃	学无子 ＋ 山	宀	山
峄	山 ＋ 又 ＋ 举字底	山	扌
峋	山 ＋ 勹 ＋ 日	山	日
峒	山 ＋ 冂 ＋ 一 ＋ 口	山	口
峗	山 ＋ ⺈ ＋ 厂 ＋ 㔾	山	已
峘	山 ＋ 一 ＋ 日 ＋ 一	山	横
峙	山 ＋ 土 ＋ 寸	山	寸
峛	山 ＋ 歹 ＋ 刂	山	刀
峡	山 ＋ 一 ＋ 丷 ＋ 大	山	大
峣	山 ＋ 尧	山	尧
峤	山 ＋ 乔	山	竖
峥	山 ＋ ⺈ ＋ 争字底	山	争字底
峦	变字头 ＋ 山	变字头	山
峧	山 ＋ 交	山	交
峨	山 ＋ 撇 ＋ 横 ＋ 折 ＋ 横 ＋ 戈	山	戈
峪	山 ＋ 八 ＋ 全字头 ＋ 口	山	口
峭	山 ＋ 尚字头 ＋ 青字底	山	月
峰	山 ＋ 夂 ＋ 丰	山	丰
峱	犭 ＋ 折 ＋ 土 ＋ 山	犭	山
峻	山 ＋ 厶 ＋ 八 ＋ 夂	山	又
峿	山 ＋ 五 ＋ 口	山	口
崀	山 ＋ 丶 ＋ 艮	山	艮
崁	山 ＋ 土 ＋ ⺈ ＋ 人	山	人
崂	山 ＋ 艹 ＋ 冖 ＋ 力	山	力
崃	山 ＋ 来	山	来
崄	山 ＋ 佥	山	佥
崆	山 ＋ 宀 ＋ 八 ＋ 工	山	工
崇	山 ＋ 宀 ＋ 示	山	示
崌	山 ＋ 居	山	居
崎	山 ＋ 大 ＋ 可	山	寸
崒	山 ＋ 亠 ＋ 人 ＋ 人 ＋ 十	山	十
崔	山 ＋ 隹	山	隹
崖	山 ＋ 厂 ＋ 土 ＋ 土	山	土
崚	山 ＋ 土 ＋ 八 ＋ 夂	山	又
崛	山 ＋ 尸 ＋ 出	山	山
崞	山 ＋ 享字头 ＋ 子	山	子
崟	山 ＋ 金	山	钅
崡	山 ＋ 折 ＋ 氺 ＋ 凵	山	匚
崤	山 ＋ 㐅 ＋ 左字框 ＋ 青字底	山	月
崦	山 ＋ 大 ＋ 电	山	田
崧	山 ＋ 木 ＋ 八 ＋ 厶	山	厶
崩	山 ＋ 月 ＋ 月	山	月
崭	山 ＋ 车旁 ＋ 斤	山	斤
崮	山 ＋ 囗 ＋ 古	山	古
崴	山 ＋ 戊 ＋ 一 ＋ 女	山	女
崶	山 ＋ 土 ＋ 土 ＋ 寸	山	寸
崽	山 ＋ 田 ＋ 心	山	忄
崾	山 ＋ 覀 ＋ 女	山	女
崿	山 ＋ 口 ＋ 口 ＋ 二 ＋ 折	山	折
嵁	山 ＋ 其字头 ＋ 八 ＋ 折	山	折
嵅	山 ＋ 戊 ＋ 一 ＋ 口	山	口
嵇	禾 ＋ 尤 ＋ 山	禾	山
嵊	山 ＋ 禾 ＋ 北字旁 ＋ 匕	山	匕
嵋	山 ＋ 尸 ＋ 丨 ＋ 目	山	日
嵌	山 ＋ 甘 ＋ ⺈ ＋ 人	山	人
嵎	山 ＋ 日 ＋ 禺字底	山	禸
嵖	山 ＋ 木 ＋ 日 ＋ 一	山	横
嵘	山 ＋ 艹 ＋ 冖 ＋ 木	山	木
嵚	山 ＋ 钅 ＋ ⺈ ＋ 人	山	人
嵛	山 ＋ 俞	山	俞
嵝	山 ＋ 米 ＋ 女	山	女
嵩	山 ＋ 享字头 ＋ 冂 ＋ 口	山	口
嵫	山 ＋ 丷 ＋ 一 ＋ 幺 ＋ 幺	山	纟
嵬	山 ＋ 鬼	山	鬼
嵯	山 ＋ 差字头 ＋ 工	山	工
嵲	山 ＋ 自 ＋ 木	山	木
嵴	山 ＋ 冫 ＋ 撇 ＋ 点 ＋ 人 ＋ 青字底	山	月
嶂	山 ＋ 音 ＋ 十	山	十
嶅	龶 ＋ 折 ＋ 丿 ＋ 攵 ＋ 山	丰	山
嶍	山 ＋ 习 ＋ 习 ＋ 白	山	白
嶒	山 ＋ 丷 ＋ 囗 ＋ 尚字头 ＋ 日	山	日
嶓	山 ＋ 釆 ＋ 田	山	田
嶙	山 ＋ 米 ＋ 夕 ＋ 降下角	山	降下角
嶝	山 ＋ 登字头 ＋ 一 ＋ 口 ＋ 丷 ＋ 一	山	横
嶟	山 ＋ 丷 ＋ 酉 ＋ 寸	山	寸
嶦	山 ＋ ⺈ ＋ 厂 ＋ 八 ＋ 言	山	讠
嶲	山 ＋ 隹 ＋ 丨 ＋ 折 ＋ 冂	山	匚
嶷	山 ＋ 肄字旁 ＋ 龴 ＋ 疋	山	定字底
巅	山 ＋ 十 ＋ 具字头 ＋ 八 ＋ 页	山	见
巇	山 ＋ 卜 ＋ 厂 ＋ 匕 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 戈	山	戈
巉	山 ＋ ⺈ ＋ 口 ＋ 比字旁 ＋ 匕 ＋ 兔	山	兔
巍	山 ＋ 禾 ＋ 女 ＋ 鬼	山	鬼
川	川	川	川
州	州	州	州
巡	巛 ＋ 辶	巛	辶
巢	巛 ＋ 日 ＋ 木	巛	木
工	工	工	工
左	左字框 ＋ 工	十	工
巧	工 ＋ 一 ＋ 折	工	折
巨	巨	匚	匚
巩	工 ＋ 凡	工	几
巫	工 ＋ 人 ＋ 人	工	人
差	差字头 ＋ 工	美字头	工
巯	轻字边 ＋ 亠 ＋ 厶 ＋ 荒字底	工	竖
己	己	已	已
已	已	已	已
巳	巳	已	已
巴	巴	已	已
巷	龷 ＋ 八 ＋ 巳	廿	已
巽	巳 ＋ 巳 ＋ 龷 ＋ 八	已	八
巾	巾	巾	巾
币	撇 ＋ 巾	撇	巾
市	亠 ＋ 巾	亠	巾
布	左字框 ＋ 巾	十	巾
帅	师字旁 ＋ 巾	师字旁	巾
帆	巾 ＋ 凡	巾	几
师	师字旁 ＋ 一 ＋ 巾	师字旁	巾
希	㐅 ＋ 左字框 ＋ 巾	交	巾
帏	巾 ＋ 韦	巾	韦
帐	巾 ＋ 长	巾	长
帑	女 ＋ 又 ＋ 巾	女	巾
帔	巾 ＋ 皮	巾	皮
帕	巾 ＋ 白	巾	白
帖	巾 ＋ 卢字头 ＋ 口	巾	口
帘	宀 ＋ 八 ＋ 巾	宀	巾
帙	巾 ＋ 失	巾	矢
帚	彐 ＋ 冖 ＋ 巾	争字底	巾
帛	白 ＋ 巾	白	巾
帜	巾 ＋ 口 ＋ 八	巾	八
帝	帝字头 ＋ 巾	宀	巾
帡	巾 ＋ 丷 ＋ 一 ＋ 廾	巾	艹
带	带字头 ＋ 冖 ＋ 巾	艹	巾
帧	巾 ＋ 卢字头 ＋ 贝	巾	见
帨	巾 ＋ 丷 ＋ 口 ＋ 儿	巾	儿
席	广 ＋ 廿 ＋ 巾	广	巾
帮	三 ＋ 丿 ＋ 阝 ＋ 巾	三	巾
帱	巾 ＋ 三 ＋ 丿 ＋ 寸	巾	寸
帷	巾 ＋ 隹	巾	隹
常	尚头 ＋ 巾	宀	巾
帻	巾 ＋ 龶 ＋ 贝	巾	见
帼	巾 ＋ 囗 ＋ 玉	巾	王
帽	巾 ＋ 见二 ＋ 二 ＋ 目	巾	日
幂	冖 ＋ 日 ＋ 大 ＋ 巾	宀	巾
幄	巾 ＋ 尸 ＋ 至	巾	至
幅	巾 ＋ 一 ＋ 口 ＋ 田	巾	田
幌	巾 ＋ 日 ＋ 尚字头 ＋ 兀	巾	儿
幔	巾 ＋ 日 ＋ 罒 ＋ 又	巾	又
幕	莫 ＋ 巾	莫	巾
幖	巾 ＋ 覀 ＋ 示	巾	示
幛	巾 ＋ 音 ＋ 十	巾	十
幞	巾 ＋ 业 ＋ 养字头	巾	美字头
幡	巾 ＋ 釆 ＋ 田	巾	田
幢	巾 ＋ 立 ＋ 里	巾	里
幪	巾 ＋ 艹 ＋ 冖 ＋ 一 ＋ 豕	巾	豕
干	干	干	干
平	一 ＋ 丷 ＋ 十	横	十
年	卧人 ＋ 横 ＋ 竖 ＋ 横 ＋ 竖	卧人	竖
并	丷 ＋ 一 ＋ 廾	八	艹
幸	土 ＋ 南字心	土	南字心
幺	幺	纟	纟
幻	幺 ＋ 折	纟	折
幼	幺 ＋ 力	纟	力
幽	山 ＋ 幺 ＋ 幺	山	纟
广	广	广	广
庄	广 ＋ 土	广	土
庆	广 ＋ 大	广	大
庇	广 ＋ 比字旁 ＋ 匕	广	匕
床	广 ＋ 木	广	木
庋	广 ＋ 十 ＋ 又	广	又
序	广 ＋ 予	广	予
庐	广 ＋ 户	广	尸
庑	广 ＋ 无	广	无
库	广 ＋ 车	广	车
应	广 ＋ 应字心	广	小
底	广 ＋ 氐	广	氏
庖	广 ＋ 勹 ＋ 巳	广	已
店	广 ＋ 卢字头 ＋ 口	广	口
庙	广 ＋ 由	广	田
庚	广 ＋ 争字底 ＋ 人	广	人
府	广 ＋ 付	广	付
庞	广 ＋ 龙	广	龙
废	广 ＋ 折 ＋ 撇 ＋ 又 ＋ 点	广	点
庠	广 ＋ 羊	广	羊
庤	广 ＋ 土 ＋ 寸	广	寸
庥	广 ＋ 亻 ＋ 木	广	木
度	广 ＋ 廿 ＋ 又	广	又
座	广 ＋ 人 ＋ 人 ＋ 土	广	土
庭	广 ＋ 壬 ＋ 廴	广	辶
庱	广 ＋ 土 ＋ 八 ＋ 夂	广	又
庳	广 ＋ 白 ＋ 丿 ＋ 十	广	十
庵	广 ＋ 大 ＋ 电	广	田
庶	广 ＋ 廿 ＋ 灬	广	火
康	广 ＋ 折 ＋ 二 ＋ 氺	广	氵
庸	广 ＋ 折 ＋ 二 ＋ 冂 ＋ 举字底	广	扌
庹	广 ＋ 廿 ＋ 尺	广	尸
庼	广 ＋ 比字旁 ＋ 页	广	见
庾	广 ＋ 臼 ＋ 人	广	人
廆	广 ＋ 鬼	广	鬼
廉	广 ＋ 兼	广	兼
廊	广 ＋ 丶 ＋ 即字旁 ＋ 阝	广	卩
廋	广 ＋ 叟字头 ＋ 又	广	又
廑	广 ＋ 廿 ＋ 口 ＋ 龶	广	丰
廒	广 ＋ 龶 ＋ 折 ＋ 丿 ＋ 攵	广	又
廓	广 ＋ 享字头 ＋ 子 ＋ 阝	广	卩
廖	广 ＋ 习 ＋ 习 ＋ 全字头 ＋ 彡	广	彡
廙	广 ＋ 田 ＋ 龷 ＋ 八	广	八
廛	广 ＋ 里 ＋ 八 ＋ 土	广	土
廨	广 ＋ 角 ＋ 刀 ＋ 牛	广	牛
廪	广 ＋ 亠 ＋ 囗 ＋ 口 ＋ 示	广	示
延	撇 ＋ 卢字头 ＋ 折 ＋ 廴	撇	辶
廷	壬 ＋ 廴	土	辶
建	聿 ＋ 廴	争字底	辶
廿	廿	廿	廿
开	一 ＋ 廾	横	艹
弁	厶 ＋ 廾	厶	艹
异	巳 ＋ 廾	已	艹
弃	亠 ＋ 厶 ＋ 廾	亠	艹
弄	王 ＋ 廾	王	艹
弆	土 ＋ 厶 ＋ 廾	土	艹
弇	全字头 ＋ 一 ＋ 口 ＋ 廾	人	艹
弈	亦 ＋ 廾	变字头	艹
弊	㡀 ＋ 攵 ＋ 廾	八	艹
弋	弋	戈	戈
式	弋 ＋ 工	戈	工
弑	㐅 ＋ 一 ＋ 小 ＋ 弋 ＋ 工	交	工
弓	弓	折	折
引	弓 ＋ 丨	折	竖
弗	弗	弗	弗
弘	弓 ＋ 厶	折	厶
弛	弓 ＋ 也	折	也
弟	弟	弟	弟
张	弓 ＋ 长	折	长
弢	弓 ＋ 凵 ＋ 丨 ＋ 又	折	又
弥	弓 ＋ ⺈ ＋ 小	折	小
弦	弓 ＋ 亠 ＋ 幺	折	纟
弧	弓 ＋ 瓜	折	爫
弨	弓 ＋ 刀 ＋ 口	折	口
弩	女 ＋ 又 ＋ 弓	女	折
弭	弓 ＋ 耳	折	耳
弯	变字头 ＋ 弓	变字头	折
弱	弓 ＋ 冫 ＋ 弓 ＋ 冫	折	氵
弶	弓 ＋ 享字头 ＋ 小	折	小
弸	弓 ＋ 月 ＋ 月	折	月
弹	弓 ＋ 单	折	单
强	弓 ＋ 口 ＋ 虫	折	虫
弼	弓 ＋ 一 ＋ 白 ＋ 弓	折	折
彀	士 ＋ 冖 ＋ 一 ＋ 弓 ＋ 殳	土	殳
归	师字旁 ＋ 彐	师字旁	争字底
当	尚字头 ＋ 彐	小	争字底
录	录字头 ＋ 氺	争字底	氵
彖	互中间 ＋ 豕	争字底	豕
彗	丰 ＋ 丰 ＋ 彐	丰	争字底
彘	彑 ＋ 比字旁 ＋ 矢 ＋ 匕	争字底	匕
彝	彑 ＋ 米 ＋ 糸 ＋ 廾	争字底	艹
彟	彐 ＋ 寸 ＋ 艹 ＋ 隹 ＋ 又	争字底	又
形	一 ＋ 廾 ＋ 彡	横	彡
彤	周字框 ＋ 亠 ＋ 彡	几	彡
彦	立 ＋ 丿 ＋ 彡	立	彡
彧	戈 ＋ 口 ＋ 一 ＋ 丿 ＋ 丿	戈	撇
彩	采 ＋ 彡	爫	彡
彪	卜 ＋ 厂 ＋ 匕 ＋ 几 ＋ 彡	卜	彡
彬	木 ＋ 木 ＋ 彡	木	彡
彭	士 ＋ 口 ＋ 丷 ＋ 一 ＋ 彡	土	彡
彰	音 ＋ 十 ＋ 彡	音	彡
影	日 ＋ 享字头 ＋ 小 ＋ 彡	日	彡
彳	彳	彳	彳
彷	彳 ＋ 方	彳	方
役	彳 ＋ 殳	彳	殳
彻	彳 ＋ 七 ＋ 刀	彳	刀
彼	彳 ＋ 皮	彳	皮
往	彳 ＋ 亠 ＋ 土	彳	土
征	彳 ＋ 一 ＋ 止	彳	止
徂	彳 ＋ 且	彳	且
径	彳 ＋ 轻字边	彳	工
待	彳 ＋ 土 ＋ 寸	彳	寸
徇	彳 ＋ 勹 ＋ 日	彳	日
很	彳 ＋ 艮	彳	艮
徉	彳 ＋ 羊	彳	羊
徊	彳 ＋ 囗 ＋ 口	彳	口
律	彳 ＋ 聿	彳	争字底
徐	彳 ＋ 全字头 ＋ 于 ＋ 八	彳	八
徒	彳 ＋ 走	彳	足
徕	彳 ＋ 来	彳	来
得	彳 ＋ 日 ＋ 一 ＋ 寸	彳	寸
徘	彳 ＋ 非	彳	片
徙	彳 ＋ 止 ＋ 卢字头 ＋ 丿 ＋ 点	彳	点
徛	彳 ＋ 大 ＋ 可	彳	寸
徜	彳 ＋ 尚字头 ＋ 冖 ＋ 口	彳	口
御	彳 ＋ 卧人 ＋ 一 ＋ 止 ＋ 卩	彳	卩
徨	彳 ＋ 白 ＋ 王	彳	王
循	彳 ＋ 反字框 ＋ 十 ＋ 目	彳	日
徭	彳 ＋ 爫 ＋ 缶	彳	击
微	彳 ＋ 山 ＋ 一 ＋ 几 ＋ 攵	彳	又
徵	彳 ＋ 山 ＋ 一 ＋ 王 ＋ 攵	彳	又
德	彳 ＋ 十 ＋ 罒 ＋ 一 ＋ 心	彳	忄
徼	彳 ＋ 白 ＋ 方 ＋ 攵	彳	又
徽	彳 ＋ 山 ＋ 一 ＋ 糸 ＋ 攵	彳	又
心	心	忄	忄
必	必	忄	忄
忆	忄 ＋ 乙	忄	乙
忉	忄 ＋ 刀	忄	刀
忌	己 ＋ 心	已	忄
忍	刀 ＋ 丶 ＋ 心	刀	忄
忏	忄 ＋ 千	忄	干
忐	卜 ＋ 横 ＋ 心	卜	忄
忑	横 ＋ 卜 ＋ 心	横	忄
忒	弋 ＋ 心	戈	忄
忖	忄 ＋ 寸	忄	寸
志	士 ＋ 心	土	忄
忘	亠 ＋ 折 ＋ 心	亠	忄
忙	忄 ＋ 亠 ＋ 折	忄	折
忝	天 ＋ 恭字底	大	忄
忞	文 ＋ 心	文	忄
忠	口 ＋ 竖 ＋ 心	口	忄
忡	忄 ＋ 口 ＋ 竖	忄	竖
忤	忄 ＋ 卧人 ＋ 十	忄	十
忧	忄 ＋ 尤	忄	龙
忪	忄 ＋ 八 ＋ 厶	忄	厶
快	忄 ＋ 折 ＋ 大	忄	大
忭	忄 ＋ 亠 ＋ 卜	忄	卜
忮	忄 ＋ 十 ＋ 又	忄	又
忱	忄 ＋ 冖 ＋ 儿	忄	儿
忳	忄 ＋ 一 ＋ 凵 ＋ 折	忄	折
念	今 ＋ 心	今	忄
忸	忄 ＋ 折 ＋ 土	忄	土
忺	忄 ＋ ⺈ ＋ 人	忄	人
忻	忄 ＋ 斤	忄	斤
忽	勿 ＋ 心	勿	忄
忾	忄 ＋ 气	忄	气
忿	八 ＋ 刀 ＋ 心	八	忄
怀	忄 ＋ 一 ＋ 亻 ＋ 点	忄	点
态	太 ＋ 心	大	忄
怂	人 ＋ 人 ＋ 心	人	忄
怃	忄 ＋ 无	忄	无
怄	忄 ＋ 匚 ＋ 㐅	忄	交
怅	忄 ＋ 长	忄	长
怆	忄 ＋ 全字头 ＋ 㔾	忄	已
怊	忄 ＋ 刀 ＋ 口	忄	口
怍	忄 ＋ 卧人 ＋ 卢字头 ＋ 一	忄	横
怎	卧人 ＋ 卢字头 ＋ 一 ＋ 心	卧人	忄
怏	忄 ＋ 见二 ＋ 大	忄	大
怒	女 ＋ 又 ＋ 心	女	忄
怔	忄 ＋ 一 ＋ 止	忄	止
怕	忄 ＋ 白	忄	白
怖	忄 ＋ 左字框 ＋ 巾	忄	巾
怙	忄 ＋ 古	忄	古
怛	忄 ＋ 日 ＋ 一	忄	横
怜	忄 ＋ 令	忄	今
思	田 ＋ 心	田	忄
怠	厶 ＋ 口 ＋ 心	厶	忄
怡	忄 ＋ 厶 ＋ 口	忄	口
急	刍 ＋ 心	刍	忄
怦	忄 ＋ 一 ＋ 丷 ＋ 十	忄	十
性	忄 ＋ 丿 ＋ 龶	忄	丰
怨	夕 ＋ 㔾 ＋ 心	夕	忄
怩	忄 ＋ 尸 ＋ 匕	忄	匕
怪	忄 ＋ 又 ＋ 土	忄	土
怫	忄 ＋ 弗	忄	弗
怯	忄 ＋ 土 ＋ 厶	忄	厶
怵	忄 ＋ 木 ＋ 丶	忄	点
总	丷 ＋ 口 ＋ 心	八	忄
怼	又 ＋ 寸 ＋ 心	又	忄
怿	忄 ＋ 又 ＋ 举字底	忄	扌
恁	亻 ＋ 壬 ＋ 心	亻	忄
恂	忄 ＋ 勹 ＋ 日	忄	日
恃	忄 ＋ 土 ＋ 寸	忄	寸
恋	变字头 ＋ 心	变字头	忄
恍	忄 ＋ 尚字头 ＋ 兀	忄	儿
恐	工 ＋ 凡 ＋ 心	工	忄
恒	忄 ＋ 一 ＋ 日 ＋ 一	忄	横
恓	忄 ＋ 西	忄	西
恔	忄 ＋ 交	忄	交
恕	女 ＋ 口 ＋ 心	女	忄
恙	美字头 ＋ 心	美字头	忄
恚	土 ＋ 土 ＋ 心	土	忄
恝	丰 ＋ 刀 ＋ 心	丰	忄
