啊	a_
案牍劳形	adlx
澳大利亚	adly
安东尼奥	adna
安定区	adq_
安定人心	adrx
安德森	ads_
安第斯山	adsu
熬到头	adt_
安定团结	adtj
爱迪生	adu_
挨冻受饿	adue
挨打受骂	adum
爱的实验室	aduu
奥迪双钻	aduz
熬得住	adv_
挨得着	adv2
案牍之劳	advl
黯淡无光	adwg
暗淡无光	adwg2
安度晚年	adwn
爱得要死	adys
安定有序	adyx
阿尔卑斯	aebs
阿尔伯特	aebt
哀而不伤	aebu
阿尔巴尼亚	aeby
阿尔茨海默病	aecb
艾尔登法环	aedh
阿尔都塞	aeds
阿尔法	aef_
阿尔法狗	aefg
阿尔及尔	aeje
阿尔金山	aeju
阿尔及利亚	aejy
阿尔卡特	aekt
奥尔良	ael_
爱尔兰	ael2
爱尔兰岛	aeld
挨饿受冻	aeud
爱尔维修	aewx
安抚	af_
阿凡达	afd_
案发地点	afdd
案发当天	afdt
埃菲尔铁塔	afet
阿房宫	afg_
阿法狗	afg2
阿房宫赋	afgf
阿富汗	afh_
阿伏加德罗	afjl
阿伏加德罗常数	afju
阿非利加	aflj
安抚人心	afrx
阿凡提	aft_
安非他命	aftm
安非他明	aftm2
安分守己	afuj
安份守己	afuj2
按方抓药	afvy
安分知足	afvz
案发现场	afxi
安富尊荣	afzr
爱国	ag_
阿哥阿妹	agam
按规定	agd_
阿骨打	agd2
挨个儿	age_
矮个儿	age2
爱国将领	agjl
挨个击破	agjp
爱国精神	agju
爱国敬业诚信友善	agju2
爱岗敬业	agjy
爱国教育	agjy2
爱国基因	agjy3
按惯例	agl_
熬过来	agl2
爱国力量	agll
挨过去	agq_
熬过去	agq2
爱国侨胞	agqb
爱国青年	agqn
爱国热情	agrq
爱国人士	agru
爱狗人士	agru2
奥古斯都	agsd
奥古斯丁	agsd2
阿根廷	agt_
爱国同胞	agtb
爱国统一战线	agtx
爱国守法	aguf
爱国诗人	agur
爱国者	agv_
阿甘正传	agvi
爱国志士	agvu
爱国主义精神	agvu2
爱国之心	agvx
爱国阵线	agvx2
爱国主义	agvy
爱国卫生	agwu
爱国心	agx_
爱管闲事	agxu
爱国运动	agyd
爱国营销	agyx
矮个子	agz_
昂	ah_
爱好	ah2
昂昂	ahah
啊哈啊哈	ahah2
哀鸿遍地	ahbd
哀鸿遍野	ahby2
懊悔不已	ahby3
昻	ahby4
爱喝的	ahd_
安魂定魄	ahdp
爱护动物	ahdw
醠	aheq
爱好广泛	ahgf
昂贵	ahgv
爱护公物	ahgw
啊哈哈	ahh_
爱好和平	ahhp
岇	ahhy
爱恨交加	ahjj
爱恨交织	ahjv
昂立	ahli
暗黑模式	ahmu
盎	ahn_
安魂曲	ahq_
安河桥	ahq2
昂起	ahqi
爱恨情仇	ahqi2
爱恨情缘	ahqy
安徽人	ahr_
安好如初	ahri
盎然	ahrj
暗红色	ahs_
盎司	ahsi
昂头	ahtz
安徽省	ahu_
昂首	ahuz
爱好者	ahv_
昂着	ahve
爱护植物	ahvw
枊	ahwy
卬	ahy_
昂扬	ahyh
肮	ahz_
肮脏	ahzh
爱	ai_
爱吃	ai2
爱爱	aiai
溾	aiap
溰	aiap2
凒	aiap3
暧	aib_
爱吃不吃	aibi
癌变	aibm
昹	aibp
瞹	aibq2
癌	aic_
艾草	aicc
爱才	aicd
爱财	aicd2
爱错	aico
皑	aid_
爱吃的	aid2
鹌鹑蛋	aid3
挨打	aida
哀悼	aidc
爱戴	aidd
爱得	aide
矮凳	aidg
爱党	aidh
哀吊	aidn
皧	aidq
鱫	aidq2
挨冻	aids
矮墩	aidy
爱豆	aidz
挨斗	aidz2
挨饿	aiee
艾尔	aier
挨罚	aifa
譪	aifn
爱出风头	aift
爱抚	aifu
爱妃	aifw
矮	aig_
按常规	aig2
哀告	aigc
熬肠刮肚	aigd
挨个	aige
哀歌	aige2
爱岗	aigh
爱过	aigo2
矮柜	aigv
爱给	aigw
爱狗	aigz
欸	ei_
哀嚎	aihc2
爱河	aihe
爱喝	aihe2
爱恨	aihf
AI换脸	aihl
爱火	aiho
敳	aihq2
哀鸿	aihs
爱护	aihu
爱花	aihx
爱华	aihx3
瑷珲	aihy
暗沉沉	aii_
爱巢	aiic
爱车	aiie
爱称	aiig
爱穿	aiir
爱宠	aiis
哀愁	aiiz
氨茶碱	aij_
挨近	aijb
哀矜	aijb2
埃及	aiji
爱机	aiji2
爱将	aijl
挨肩	aijm
哀叫	aijn
娭毑	aijp
艾灸	aijq
哀家	aijx
爱家	aijx2
僾	aik_
爱看	aikj
爱哭	aiku
哀苦	aiku2
伌	aikv
隘口	aikz
霭	ail_
艾琳	ailb
爱了	al_
挨了	aile2
矮了	aile3
爱恋	ailm
爱怜	ailm2
爱聊	ailn
癌瘤	ailq
靉	ailq2
爱吃零食	ailu
爱侣	ailv
艾伦	aily
艾	aim_
挨骂	aima
艾玛	aima2
爱民	aimb
爱猫	aimc
爱么	aime
挨门	aimf
鴱	aimg
艾米	aimi
哀鸣	aimk
蔼	aimn
癌魔	aimo
爱慕	aimu
暧昧	am_
爱美	aimw2
爱闹	ainc
爱你	aini
碍难	ainj
閡	ainl
爱女	ainv
挨	aio_
捱	aioq
叆	aip_
爱拼	aipb
挨炮	aipc
爱跑	aipc2
矮胖	aiph
挨批	aipi
躷	aips
爱普	aipu
埃	aiq_
爱妻	aiqi
毐	aiqi2
爱情	aq_
矮墙	aiql
爱钱	aiqm
哀切	aiqp
爱妾	aiqp2
哀求	aiqq
塧	aiqq2
壒	aiqq3
爱犬	aiqr
瑷	air_
爱人	airf
矮人	airf2
蔼然	airj
璦	airq2
艾绒	airs
哀荣	airs2
艾瑞	airv
哀	ais_
娭	aisg
爱死	aisi
哀思	aisi2
嫒	aisq
哀诉	aisu
唉	ait_
熬出头	ait2
艾特	at_
挨踢	aiti
哀啼	aiti2
哀叹	aitj
爱听	aitk
哎	aitp
嗳	aitq
嗌	yitq
啀	aitq3
哀痛	aits
哀恸	aits2
爱徒	aitu
锿	aiu_
爱莎	aiua
爱神	aiuf
哀声	aiug
爱上	au_
哀伤	aiuh2
碍事	aiui
爱说	aiuo
爱书	aiuu
矮树	aiuu2
爱睡	aiuv
碍手	aiuz
爱着	aive
挨着	aive2
癌症	aivg
懓	aivq
癌肿	aivs
懝	aivs2
爱玩	aiwj
哀婉	aiwj2
爱我	aiwo
碍	aix_
爱心	aixb
AI修复	aixf
爱惜	aixi
矮星	aixk
硋	aixl
矮小	aixn
爱笑	aixn2
餲	aixn3
砹	aixp
挨训	aixy
暗潮汹涌	aixy2
隘	aiy_
哎呀	aiya
唉呀	aiya2
艾叶	aiye
爱意	aiyi
碍眼	aiyj
哎哟	aiyo
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
爱欲	aiyu2
哎呦	aiyz
爱幼	aiyz2
矮油	aiyz3
挨宰	aizd
爱憎	aizg
矮子	aizi
艾滋	aizi2
爱做	aizo
AI作图	aizt
挨揍	aizz
安静	aj_
案件	aj2
挨家挨户	ajah
挨肩擦背	ajcb
安静的	ajd_
挨肩搭背	ajdb
按揭贷款	ajdk
安静的美男子	ajdz
安家费	ajf_
安居工程	ajgi
按计划	ajh_
按揭合同	ajht
按键冲突	ajit
爱剪辑	ajj_
按键精灵	ajjl
安居客	ajk_
安静了	ajl_
安吉拉	ajl2
安家落户	ajlh
按揭利息	ajlx
安居乐业	ajly
安家立业	ajly2
阿基米德	ajmd
暗箭难防	ajnf
暗贱难防	ajnf2
按经取穴	ajqx
安静入睡	ajru
氨基酸	ajs_
也就是说	ajsu
按键式	aju_
案件审理	ajul
暗箭伤人	ajur
按揭手续	ajux
挨家逐户	ajvh
安家置业	ajvy
安静下来	ajxl
暗礁险滩	ajxt
按迹循踪	ajxz
癌基因	ajy_
埃及艳后	ajyh
安康	ak_
爱看不看	akbk
阿卡贝拉	akbl
拗口令	akl_
阿卡丽	akl2
阿卡姆	akm_
阿克曼	akm2
奥卡姆剃刀	akmd
爱开玩笑	akwx
爱科学	akx_
阿克希亚	akxy
案例	al2
奥利奥	ala_
阿拉伯	alb_
阿鲁巴	alb2
阿里巴巴	albb
阿拉伯半岛	albd
阿拉伯联合酋长国	albg
爱理不理	albl
爱来不来	albl2
阿拉伯人	albr
奥林巴斯	albs
阿拉伯语	alby
阿拉伯数字	albz
阿拉丁	ald_
阿里地区	aldq
按劳付酬	alfi
按劳分配	alfp
案例分析	alfx
奥利给	alg_
阿里嘎多	algd
按老规矩	algj
安理会	alh_
爱老虎油	alhy
案例教学	aljx
按理来讲	allj
按理来说	allu
阿拉木图	almt
奥林匹克运动会	alph
奥林匹克	alpk
奥林匹斯	alpo
奥林匹亚先生	alpu
奥林匹亚	alpy
阿联酋	alq_
按劳取酬	alqi
爱丽丝	als_
安乐死	als2
俺老孙	als3
阿拉斯加	alsj
按理说	alu_
安禄山	alu2
阿拉山口	aluk
阿拉善盟	alum
安乐窝	alw_
阿里旺旺	alww
爱立信	alx_
爱莉希雅	alxy
阿里云	aly_
安乐椅	aly2
暗流涌动	alyd
阿里云盘	alyp
安利一下	alyx
阿猫阿狗	amag
挨门挨户	amah
爱买不买	ambm
暧昧不清	ambq
傲慢不逊	ambx
哀莫大于心死	amds
哀莫大焉	amdy
阿米尔汗	ameh
安民告示	amgu
澳门回归	amhg
凹面镜	amj_
奥密克戎	amkr
鞍马劳顿	amld
阿美莉卡	amlk
鞍马劳困	amlk2
阿米莉亚	amly
阿玛尼	amn_
唵嘛呢叭咪吽	amnh
按摩女郎	amnl
啊米诺斯	amns
阿米诺斯	amns2
爱莫能助	amnv
安眠曲	amq_
按摩器	amq2
爱美人士	amru
爱猫人士	amru2
爱民如子	amrz
阿姆斯特丹	amsd
阿姆斯特朗	amsl
也没什么	amsm
阿姆斯壮	amsv
阿弥陀佛	amtf
澳门特区	amtq
爱马仕	amu_
挨门逐户	amvh
鞍马之劳	amvl
爱慕之情	amvq
爱美之心，人皆有之	amvv
爱美之心人皆有之	amvv2
爱美之心	amvx
傲慢无礼	amwl
奥妙无穷	amwq
安慕希	amx_
阿莫西林	amxl
爱慕虚荣	amxr
安眠药	amy_
爱慕已久	amyj
爱面子	amz_
安	an_
按钮	an2
暗暗	anan
暗	anb_
安保	anbc
暗堡	anbc2
安邦	anbh
鞍鼻	anbi
案板	anbj
暗病	anbk
岸边	anbm
岸标	anbn
晻	anbp
按捺不住	anbv
按耐不住	anbv2
安倍	anbw
懊恼不已	anby
庵	anc_
暗藏	anch
碍难从命	ancm
按错	anco
痷	ancp2
暗忖	ancy
黯	and_
暗道	andc
安得	ande
鶕	andg
暗地	andi
安迪	andi2
暗淡	andj2
安定	andk
按点	andm
俺爹	andp
按动	ands
𩽾	ands2
暗洞	ands3
鮟	ands4
安度	andu
暗度	andu2
案牍	andu3
安顿	andy
暗斗	andz
媕娿	anee
谙	anf_
案发	anfa
安分	anff
暗讽	anfg
安放	anfh
暗访	anfh2
安防	anfh3
案犯	anfj
暗改	angd
暗格	ange
鞍钢	angh
暗管	angr
暗沟	angz
岸	anh_
暗号	anhc
安好	anhc3
暗害	anhd
暗合	anhe
暗含	anhj
按坏	anhk
暗黄	anhl
暗红	anhs
峖	anhs2
安徽	anhv
暗黑	anhw
安魂	anhy
安插	ania
暗潮	anic
暗沉	anif
暗娼	anih
暗疮	anil
暗处	aniu
鹌鹑	aniy
案	anj_
暗道：“	anjf
暗疾	anji
按季	anji2
按键	anjm2
安检	anjm3
暗礁	anjn
按揭	anjp
案卷	anjr
安居	anju
安家	anjx
俺家	anjx2
俺	ank_
安可	anke
侒	anks
暗亏	ankv
暗扣	ankz
安拉	anla
安乐	anle
按理	anli2
安利	anli3
按铃	anlk
按量	anll
暗恋	anlm
暗流	anlq
雸	anlr
暗绿	anlv
蓭	anm_
暗骂	anma
鞍马	anma2
安民	anmb
按脉	anmd
萻	anmd2
暗门	anmf
俺们	anmf2
安谧	anmi
安眠	anmm
葊	anmm2
按摩	anmo
闇	ann_
安娜	anna
按捺	anna2
按耐	annd
安能	anng
安妮	anni
安宁	annk
按年	annm
按	ano_
犴	anoc
豻	anoc2
貋	anoc3
揞	anod
安排	ap_
暗盘	anpj
安培	anpw
埯	anq_
安寝	anqb
堓	anqc
韽	anqd
暗器	anqi
按期	anqi2
案情	anqk
盦	anqq
安全	aq2
垵	anqs
暗渠	anqu
鞍	anr_
按日	anri
安然	anrj
黯然	anrj2
玵	anrr
安内攘外	anrw
按揉	anrz
暗色	anse
媕	ansm
暗锁	anso
暗算	ansr
氨酸	ansr2
暗送	anss
唵	ant_
熬年头	ant2
安踏	anta
安泰	antd
安胎	antd2
庵堂	anth
暗叹	antj
暗探	antj2
按天	antm
啽	antm2
安妥	anto
案头	antz
铵	anu_
暗杀	anua
暗哨	anuc
安设	anue
安身	anuf
安神	anuf2
安生	anug
岸上	anuh
安上	anuh2
暗示	au2
按时	anui2
鞍山	anuj
暗爽	anul
按说	anuo
谙熟	anuu
安睡	anuv
氨水	anuv2
安顺	anuy
案首	anuz
按照	av_
按着	anve
按章	anvh
安置	anvi
暗战	anvj
安装	anvl
安卓	anvo
案桌	anvo2
暗中	anvs
案中	anvs2
按住	anvu
桉	anw_
安稳	aw2
暗纹	anwf2
暗网	anwh
安慰	aw_
安危	anww2
傲睨万物	anww3
安心	ax_
安息	anxi
暗喜	anxi2
安详	anxl
暗香	anxl2
安闲	anxm
暗线	anxm2
暗笑	anxn
安歇	anxp
按需	anxu
按下	anxx
鹌	any_
按压	anya
隌	anyd
暗夜	anye
鵪	anyg2
安阳	anyh
安逸	anyi
铵盐	anyj
暗影	anyk
安营	anyk2
安源	anyr
安远	anyr2
暗涌	anys
按月	anyt
暗月	anyt2
安于	anyu
暗语	anyu2
暗喻	anyu3
案由	anyz
俺有	anyz2
氨	anz_
安葬	anzh
案子	az_
暗自	az2
安坐	anzo
胺	anzs
案宗	anzs3
奥	ao_
澳	aoa_
傲岸	aoan
嗷嗷	aoao
敖包	aobc
鳌拜	aobd
凹版	aobj
敖丙	aobk
鏖兵	aobk2
鏖	aoc_
凹槽	aocc
熬菜	aocd
廒	aocq
厫	aocq2
袄	aod_
熬到	aodc
奥迪	aodi
翱	aodo
岙	aof_
謸	aofq
熬过	aogo
傲骨	aogu
凹痕	aohf
懊悔	aohv
熬成	aoig
奥创	aoil
凹处	aoiu
凹进	aojb
拗劲	aojk
凹镜	aojk2
熬煎	aojm
傲娇	aojn
傲	aok_
澳抗	aokh
拗口	aokz
凹	aol_
傲立	aoli
薁	aom_
澳门	aomf
奥秘	aomi
傲慢	aomj
凹面	aomm
奥妙	aomn
芺	aomy2
懊恼	aonc
艾欧尼亚	aony
拗	aoo_
抝	aoob
獓	aooq
擙	aooy
熬	aop_
鳌	aopd
謷	aopf
螯	aopg
鷔	aopg2
嶅	aoph
奡	aopl
摮	aopo
爊	aopp2
敖	aopq
遨	aopq2
嫯	aops
嗸	aopt
鏊	aopu
骜	aopv
聱	aopx
獒	aopy
坳	aoq_
傲气	aoqi
垇	aoqp2
獒犬	aoqr
墺	aoqy
璈	aor_
傲人	aorf
傲然	aorj
媪	aos_
奥赛	aosd
懊丧	aosh
熬死	aosi
媼	aosq2
嗷	aot_
熬汤	aoth
奥拓	aoto
凹凸	aotu
鳌头	aotz
傲视	aoui
傲世	aoui2
傲霜	aoul
奥数	aouu
懊	aov_
熬制	aovi
鏖战	aovj
熬煮	aovu
澳洲	aovz
熬粥	aovz2
嗷呜	aowu
傲物	aowu2
翱翔	aoxl
凹陷	aoxm
傲雪	aoxt
凹下	aoxx
隩	aoy_
熬药	aoyc
熬夜	ay2
奥义	aoyi
澳元	aoyr
奥运	aoyy
遨游	aoyz
安排表	apb_
爱拼才会赢	apcy
安排得明明白白	apdb
安培定则	apdz
安排工作	apgz
安排好	aph_
安培计	apj_
安贫乐道	apld
安贫乐贱	aplj
阿帕奇	apq_
安贫若素	aprs
爱泼斯坦	apst
安排妥当	aptd
安排上	apu_
安排生活	apuh
安排时间	apuj
阿婆主	apv_
安排下	apx_
爱去不去	aqbq
哀其不争	aqbv
哀其不幸	aqbx
矮穷矬	aqc_
安全措施	aqcu
安全带	aqd_
挨千刀	aqd2
爱情动作片	aqdp
安全第一	aqdy
安琪儿	aqe_
安全阀	aqf_
安全感	aqg_
安全管家	aqgj
爱情故事	aqgu
爱情公寓	aqgy
爱琴海	aqh_
按期还款	aqhk
矮穷丑	aqi_
安全出口	aqik
爱情长跑	aqip
奥奇传说	aqiu
安全出行	aqix
安全局	aqj_
安全级别	aqjb
爱情价更高	aqjg
安全检查	aqji
安全距离	aqjl
安全可靠	aqkk
安琪拉	aql_
安全帽	aqm_
安全门	aqm2
鞍前马后	aqmh
爱情买卖	aqmm
爱情片	aqp_
安全期	aqq_
安全区	aqq2
安全起见	aqqj
安全气囊	aqqn
爱钱如命	aqrm
昂起头	aqt_
安全套	aqt2
安全提示	aqtu
暗区突围	aqtw
安全设备	aqub
安全事故	aqug
安全施工	aqug2
安全生产	aqui
安全声明	aqum
安全设施	aquu
安全使用	aquy
安全着陆	aqvl
安全中心	aqvx
安全卫士	aqwu
安全性	aqx_
安全线	aqx2
安全系数	aqxu
爱奇艺	aqy_
安全员	aqy2
安全隐患	aqyh
安全因素	aqys
安全意识	aqyu
安全运输	aqyu2
安全有效	aqyx
爱如潮水	ariu
爱如己出	arji
黯然离场	arli
黯然泪下	arlx
爱人民	arm_
爱热闹	arn_
安如磐石	arpu
安然如故	arrg
爱人如己	arrj
安然入眠	arrm
安然入睡	arru
傲然挺立	artl
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
黯然伤神	aruu2
爱如珍宝	arvb
安然无事	arwu
安然无恙	arwy
黯然销魂	arxh
爱人以德	aryd
矮人一等	aryd2
傲然屹立	aryl
昂然自得	arzd
安然自若	arzr
艾斯爱慕	asam
阿塞拜疆	asbj
埃塞俄比亚	asey
阿sir	asir
爱斯基摩	asjm
爱斯基摩人	asjr
奥斯卡	ask_
奥斯卡金像奖	askj
爱死了	asl_
阿萨姆	asm_
阿斯玛	asm2
奥斯曼帝国	asmg
ASMR	asmr
阿司匹林	aspl
暗送秋波	asqb
阿斯特拉	astl
奥斯维辛	aswx
安塞腰鼓	asyg
凹凸不平	atbp
凹透镜	atj_
阿提拉	atl_
AT力场	atli
AT领域	atly
奥特曼	atm_
阿童木	atm2
凹凸曼	atm3
艾特全体	atqt
按图索骥	atsj
安兔兔	att_
昂头挺胸	attx
安徒生	atu_
奥特之父	atvf
奥特之母	atvm
安土重迁	atvq
奥特之王	atvw
奥体中心	atvx
安胎药	aty_
哀痛欲绝	atyj
凹凸有致	atyv
碍手碍脚	auaj
爱说爱笑	auax
安守本分	aubf
安神补脑	aubn
爱说不说	aubu
爱睡不睡	aubu2
安神定惊	audj
安神定魄	audp
安神定志	audv
昂首阔步	aukb
爱上了	aul_
安身立命	aulm
奥沙利文	aulw
阿诗玛	aum_
奥数魔刃	aumr
爱上你	aun_
爱是你我	aunw
爱沙尼亚	auny
按时起床	auqi
暗生情愫	auqs
傲视群雄	auqx
安适如常	auri
安生日子	aurz
昂首挺立	autl
唉声叹气	autq
昂首挺胸	autx
爱谁谁	auu_
暗示着	auv_
安身之地	auvd
安身之处	auvi
安史之乱	auvl
安身之所	auvs
爱上我	auw_
按时完成	auwi
昂首望天	auwt
按顺序	aux_
暗示性	aux2
爱是一道光	auyg
昂首屹立	auyl
阿珍爱上了阿强	avaq
安装包	avb_
安卓版	avb2
暗中调查	avdi
安装到位	avdw
螯肢动物	avdw2
安枕而卧	avew
安知非福	avff
按照规定	avgd
暗中观察	avgi
安装过程	avgi2
按照惯例	avgl
癌症患者	avhv
AV画质	avhv2
按照传统	avit
安装程序	avix
安卓机	avj_
按照计划	avjh
安装教程	avji
安装目录	avml
暗中摸索	avms
AV女优	avny
AV男优	avny2
安装盘	avp_
安卓平板	avpb
暗中盘算	avpo
安装软件	avrj
安卓软件	avrj2
安之若素	avrs
暗中算计	avsj
安卓手机	avuj
按这种	avv_
安装文件	avwj
癌症晚期	avwq
安枕无忧	avwy
安卓系统	avxt
暗中相助	avxv
暗中作梗	avzg
阿瓦达啃大瓜	awdg
阿瓦达索命	awdm
艾薇儿	awe_
奥委会	awh_
安委会	awh2
安危祸福	awhf
安慰剂	awj_
爱屋及乌	awjw
阿伟乱葬岗	awlg
安危冷暖	awln
癌晚期	awq_
爱我所爱	awsa
啊我死了	awsl
阿伟死了	awsl2
暗无天日	awtr
暗物质	awv_
爱我中华	awvh
安慰性	awx_
安危相易	awxy
安危与共	awyg
安慰一下	awyx
癌细胞	axb_
阿西吧	axb2
按下不表	axbb
爱信不信	axbx
暗箱操作	axcz
奥匈帝国	axdg
安心定志	axdv
按需定制	axdv2
熬心费力	axfl
按需分配	axfp
爱惜公物	axgw
安心工作	axgz
按下葫芦起来瓢	axhp
按下葫芦浮起瓢	axhp2
凹陷处	axi_
爱心捐款	axjk
爱新觉罗	axjl
暗下决心	axjx
按下快门	axkm
阿修罗	axl_
安心乐意	axly
安息日	axr_
爱惜人才	axrc
安享天年	axtn
爱惜生命	axum
暗香疏影	axuy
爱心助学	axvx
安享晚年	axwn
爱学习	axx_
安下心来	axxl
按需选择	axxz
爱惜羽毛	axym
锕系元素	axys
安闲自得	axzd
爱惜自己	axzj
安闲自在	axzz
也有	ay3
按一按	aya_
昂扬不灭	aybm
哎哟，不错哦	aybo
奥运村	ayc_
阿谀奉承	ayfi
阿谀逢迎	ayfy
奥运冠军	aygj
爱一个人	aygr
奥运会	ayh_
爱与恨	ayh2
矮一截	ayj_
奥运健儿	ayje
暗夜精灵	ayjl
奥运精神	ayju
哎呀妈呀	aymy
唉呀妈呀	aymy2
碍于面子	aymz
按要求	ayq_
碍于情面	ayqm
遨游四海	aysh
爱因斯坦	ayst
遨游世界	ayuj
按月支付	ayvf
安营扎寨	ayvv
哎哟喂	ayw_
哎呦喂	ayw2
安有完卵	aywl
哎呦我去	aywq
按音序	ayx_
阿姨洗铁路	ayxl
昂扬向上	ayxu
安于现状	ayxv
哎呀呀	ayy_
俺也一样	ayyy
安于一隅	ayyy2
阿姨压一压	ayyy3
艾滋病	azb_
艾滋病毒	azbd
肮脏不堪	azbk
艾滋病人	azbr
暗自得意	azdy
爱憎分明	azfm
爱祖国	azg_
爱走极端	azjd
矮子看戏	azkx
按资论辈	azlb
矮子里拔将军	azlj
按资排辈	azpb
腌臜泼才	azpc
暗自庆幸	azqx
暗自思量	azsl
阿兹特克	aztk
暗自神伤	azuu
爱咋玩	azw_
凹造型	azx_
爱咋咋地	azzd
爱咋咋的	azzd2
不	b_
》	b2
>	b3
吧	ba_
不安	ba2
灞	baa_
吧！”	baae
爸爸	bb2
粑粑	baba2
八宝	babc
八百	babd
芭比	babi
罢笔	babi2
把柄	babk
罢兵	babk2
靶标	babn
弝	babv
疤	bac_
拔草	bacc
把菜	bacd
八层	bacg
八寸	bacy
鲅	bad_
八大	bada
吧嗒	bada3
鼥	bada4
霸道	badc
拔刀	badc2
报案电话	badh
坝顶	badk
八点	badm
靶点	badm2
拔掉	badn
拔屌	badn2
把舵	bado
八段	badr
八度	badu
鲃	badv
保安队长	badv2
魞	badx
巴顿	bady
巴豆	badz
八斗	badz2
北爱尔兰	bael
不安分	baf_
詙	bafa
八分	baff
八份	baff2
把风	bafg
八方	bafh
叐	bafq
蚆	bag_
拔高	bagc
八个	bage
八哥	bage2
八怪	bagk
扒光	bagl
拔光	bagl2
把关	bagr
罢官	bagr2
拔罐	bagr3
罢工	bags
八股	bagu
八卦	bagx
乾坤震巽坎离艮兑	bagx2
笆	bah_
八号	bahc
把好	bahc2
拔河	bahe
巴赫	bahe2
疤痕	bahf
八荒	bahl
跋扈	bahu
扒灰	bahv
岜	bahv2
不安好心	bahx
不爱吃	bai_
扒车	baie
把车	baie2
八成	baig
靶场	baih
把持	baii
不按常理	bail
不按常理出牌	baip
不爱吃肉	bair
拔出	baiu
拔除	baiu2
紦	baiv
巴金	bajb
吧唧	baji
八级	baji2
拔尖	bajm
拔剑	bajm2
芭蕉	bajn
八角	bajn2
巴结	bajp
八戒	bajp2
八九	bajq
把酒	bajq2
不爱江山爱美人	bajr
罢考	bakc
扒开	bakd
罢课	bake
仈	bakl
把控	baks
爸	bal_
扒拉	bala
巴拉	bala2
巴林	balb
罢了	bale
巴黎	bali
霸凌	balk
八	ball
拔凉	ball2
八六	balq
八路	balu
耙	pal_
芭蕾	balw
霸	balz
八楼	balz2
笆篓	balz3
芭	bam_
爸妈	bama
菝	bama2
茇	bama3
拔毛	bamc
拔锚	bamc2
把脉	bamd
把门	bamf
八门	bamf2
霸蛮	bamj
罢免	bamm
八面	bamm2
把妹	bamw
不安宁	ban_
把你	bani
八年	banm
把尿	bann
吧女	banv
把	bao_
拔	baoa
捌	baog
扒	pao_
抜	baoq
豝	baov2
魃	bap_
炦	bapa2
八品	bapb
被安排得明明白白	bapb2
扒皮	bapi
八婆	bapo
罢	baq_
不安全	baq2
坺	baqa
