啊	a_
熬得住	adv_
案牍之劳	advl
黯淡无光	adwg
安度晚年	adwn
爱得要死	adys
安定有序	adyx
阿尔卑斯	aebs
阿尔伯特	aebt
哀而不伤	aebu
阿尔巴尼亚	aeby
阿尔茨海默病	aecb
艾尔登法环	aedh
阿尔都塞	aeds
阿尔法	aef_
阿尔法狗	aefg
阿尔及尔	aeje
阿尔金山	aeju
阿尔及利亚	aejy
阿尔卡特	aekt
奥尔良	ael_
爱尔兰岛	aeld
挨饿受冻	aeud
爱尔维修	aewx
安抚	af_
阿凡达	afd_
案发地点	afdd
案发当天	afdt
埃菲尔铁塔	afet
阿房宫	afg_
阿房宫赋	afgf
阿富汗	afh_
阿伏加德罗	afjl
阿伏加德罗常数	afju
阿非利加	aflj
安抚人心	afrx
阿凡提	aft_
安非他命	aftm
安分守己	afuj
按方抓药	afvy
安分知足	afvz
案发现场	afxi
安富尊荣	afzr
爱国	ag_
阿哥阿妹	agam
按规定	agd_
挨个儿	age_
爱国将领	agjl
挨个击破	agjp
爱国精神	agju
爱岗敬业	agjy
按惯例	agl_
爱国力量	agll
挨过去	agq_
爱国侨胞	agqb
爱国青年	agqn
爱国热情	agrq
爱国人士	agru
奥古斯都	agsd
阿根廷	agt_
爱国同胞	agtb
爱国统一战线	agtx
爱国守法	aguf
爱国诗人	agur
爱国者	agv_
阿甘正传	agvi
爱国志士	agvu
爱国之心	agvx
爱国主义	agvy
爱国卫生	agwu
爱国心	agx_
爱管闲事	agxu
爱国运动	agyd
爱国营销	agyx
矮个子	agz_
昂	ah_
爱好	aihc
昂昂	ahah
哀鸿遍地	ahbd
昻	ahby4
爱喝的	ahd_
安魂定魄	ahdp
爱护动物	ahdw
醠	aheq
爱好广泛	ahgf
昂贵	ahgv
爱护公物	ahgw
啊哈哈	ahh_
爱好和平	ahhp
岇	ahhy
爱恨交加	ahjj
爱恨交织	ahjv
昂立	ahli
暗黑模式	ahmu
盎	ahn_
安魂曲	ahq_
昂起	ahqi
爱恨情缘	ahqy
安徽人	ahr_
安好如初	ahri
盎然	ahrj
暗红色	ahs_
盎司	ahsi
昂头	ahtz
安徽省	ahu_
昂首	ahuz
爱好者	ahv_
昂着	ahve
爱护植物	ahvw
枊	ahwy
卬	ahy_
昂扬	ahyh
肮	ahz_
肮脏	ahzh
爱	ai_
爱吃	aiii
爱爱	aiai
溾	aiap
溰	aiap2
凒	aiap3
暧	aib_
爱吃不吃	aibi
癌变	aibm
昹	aibp
瞹	aibq2
癌	aic_
艾草	aicc
爱才	aicd
爱错	aico
皑	aid_
挨打	aida
哀悼	aidc
爱戴	aidd
爱得	aide
矮凳	aidg
爱党	aidh
哀吊	aidn
皧	aidq
鱫	aidq2
挨冻	aids
矮墩	aidy
爱豆	aidz
挨饿	aiee
艾尔	aier
挨罚	aifa
譪	aifn
爱出风头	aift
爱抚	aifu
爱妃	aifw
矮	aig_
哀告	aigc
熬肠刮肚	aigd
挨个	aige
爱岗	aigh
矮柜	aigv
爱给	aigw
爱狗	aigz
欸	ei_
爱河	aihe
爱恨	aihf
AI换脸	aihl
爱火	aiho
敳	aihq2
哀鸿	aihs
爱护	aihu
爱花	aihx
瑷珲	aihy
暗沉沉	aii_
爱巢	aiic
爱车	aiie
爱称	aiig
爱穿	aiir
爱宠	aiis
哀愁	aiiz
氨茶碱	aij_
挨近	aijb
埃及	aiji
爱将	aijl
挨肩	aijm
哀叫	aijn
娭毑	aijp
艾灸	aijq
哀家	aijx
僾	aik_
爱看	aikj
爱哭	aiku
伌	aikv
隘口	aikz
霭	ail_
艾琳	ailb
爱了	al_
爱恋	ailm
爱聊	ailn
癌瘤	ailq
靉	ailq2
爱吃零食	ailu
爱侣	ailv
艾伦	aily
艾	aim_
挨骂	aima
爱民	aimb
爱猫	aimc
爱么	aime
挨门	aimf
鴱	aimg
艾米	aimi
哀鸣	aimk
蔼	aimn
癌魔	aimo
爱慕	aimu
暧昧	am_
爱闹	ainc
爱你	aini
碍难	ainj
閡	ainl
爱女	ainv
挨	aio_
捱	aioq
叆	aip_
爱拼	aipb
挨炮	aipc
矮胖	aiph
挨批	aipi
躷	aips
爱普	aipu
埃	aiq_
爱妻	aiqi
毐	aiqi2
爱情	aq_
矮墙	aiql
爱钱	aiqm
哀切	aiqp
哀求	aiqq
塧	aiqq2
壒	aiqq3
爱犬	aiqr
瑷	air_
爱人	airf
蔼然	airj
璦	airq2
艾绒	airs
艾瑞	airv
哀	ais_
娭	aisg
爱死	aisi
嫒	aisq
哀诉	aisu
唉	ait_
艾特	at_
挨踢	aiti
哀叹	aitj
爱听	aitk
哎	aitp
嗳	aitq
嗌	yitq
啀	aitq3
哀痛	aits
爱徒	aitu
锿	aiu_
爱莎	aiua
爱神	aiuf
哀声	aiug
爱上	au_
碍事	aiui
爱说	aiuo
爱书	aiuu
爱睡	aiuv
碍手	aiuz
爱着	aive
癌症	aivg
懓	aivq
癌肿	aivs
懝	aivs2
爱玩	aiwj
爱我	aiwo
碍	aix_
爱心	aixb
AI修复	aixf
爱惜	aixi
矮星	aixk
硋	aixl
矮小	aixn
餲	aixn3
砹	aixp
挨训	aixy
隘	aiy_
哎呀	aiya
艾叶	aiye
爱意	aiyi
碍眼	aiyj
哎哟	aiyo
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
哎呦	aiyz
挨宰	aizd
爱憎	aizg
矮子	aizi
爱做	aizo
AI作图	aizt
挨揍	aizz
安静	aj_
案件	anjm
挨家挨户	ajah
挨肩擦背	ajcb
安静的	ajd_
挨肩搭背	ajdb
按揭贷款	ajdk
安静的美男子	ajdz
安家费	ajf_
安居工程	ajgi
按计划	ajh_
按揭合同	ajht
按键冲突	ajit
爱剪辑	ajj_
按键精灵	ajjl
安居客	ajk_
安静了	ajl_
安家落户	ajlh
按揭利息	ajlx
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
按经取穴	ajqx
安静入睡	ajru
氨基酸	ajs_
也就是说	ajsu
按键式	aju_
案件审理	ajul
暗箭伤人	ajur
按揭手续	ajux
挨家逐户	ajvh
安家置业	ajvy
安静下来	ajxl
暗礁险滩	ajxt
按迹循踪	ajxz
癌基因	ajy_
埃及艳后	ajyh
安康	ak_
爱看不看	akbk
阿卡贝拉	akbl
拗口令	akl_
阿卡姆	akm_
奥卡姆剃刀	akmd
爱开玩笑	akwx
爱科学	akx_
阿克希亚	akxy
案例	anli
奥利奥	ala_
阿拉伯	alb_
阿里巴巴	albb
阿拉伯半岛	albd
阿拉伯联合酋长国	albg
爱理不理	albl
阿拉伯人	albr
奥林巴斯	albs
阿拉伯语	alby
阿拉伯数字	albz
阿拉丁	ald_
阿里地区	aldq
按劳付酬	alfi
按劳分配	alfp
案例分析	alfx
奥利给	alg_
阿里嘎多	algd
按老规矩	algj
安理会	alh_
爱老虎油	alhy
案例教学	aljx
按理来讲	allj
按理来说	allu
阿拉木图	almt
奥林匹克运动会	alph
奥林匹克	alpk
奥林匹斯	alpo
奥林匹亚先生	alpu
奥林匹亚	alpy
阿联酋	alq_
按劳取酬	alqi
爱丽丝	als_
阿拉斯加	alsj
按理说	alu_
阿拉山口	aluk
阿拉善盟	alum
安乐窝	alw_
阿里旺旺	alww
爱立信	alx_
爱莉希雅	alxy
阿里云	aly_
暗流涌动	alyd
阿里云盘	alyp
安利一下	alyx
阿猫阿狗	amag
挨门挨户	amah
爱买不买	ambm
暧昧不清	ambq
傲慢不逊	ambx
哀莫大于心死	amds
哀莫大焉	amdy
阿米尔汗	ameh
安民告示	amgu
澳门回归	amhg
凹面镜	amj_
奥密克戎	amkr
鞍马劳顿	amld
阿美莉卡	amlk
阿米莉亚	amly
阿玛尼	amn_
唵嘛呢叭咪吽	amnh
按摩女郎	amnl
啊米诺斯	amns
爱莫能助	amnv
安眠曲	amq_
爱美人士	amru
爱民如子	amrz
阿姆斯特丹	amsd
阿姆斯特朗	amsl
也没什么	amsm
阿姆斯壮	amsv
阿弥陀佛	amtf
澳门特区	amtq
爱马仕	amu_
挨门逐户	amvh
鞍马之劳	amvl
爱慕之情	amvq
爱美之心，人皆有之	amvv
爱美之心	amvx
傲慢无礼	amwl
奥妙无穷	amwq
安慕希	amx_
阿莫西林	amxl
爱慕虚荣	amxr
安眠药	amy_
爱慕已久	amyj
爱面子	amz_
安	an_
按钮	annq
暗暗	anan
暗	anb_
安保	anbc
安邦	anbh
鞍鼻	anbi
案板	anbj
暗病	anbk
岸边	anbm
岸标	anbn
晻	anbp
按捺不住	anbv
安倍	anbw
懊恼不已	anby
庵	anc_
暗藏	anch
碍难从命	ancm
按错	anco
痷	ancp2
暗忖	ancy
黯	and_
暗道	andc
安得	ande
鶕	andg
暗地	andi
安定	andk
按点	andm
俺爹	andp
按动	ands
𩽾	ands2
鮟	ands4
安度	andu
安顿	andy
暗斗	andz
媕娿	anee
谙	anf_
案发	anfa
安分	anff
暗讽	anfg
安放	anfh
案犯	anfj
暗改	angd
暗格	ange
鞍钢	angh
暗管	angr
暗沟	angz
岸	anh_
暗号	anhc
暗害	anhd
暗合	anhe
暗含	anhj
按坏	anhk
暗黄	anhl
暗红	anhs
峖	anhs2
安徽	anhv
暗黑	anhw
安魂	anhy
安插	ania
暗潮	anic
暗沉	anif
暗娼	anih
暗疮	anil
暗处	aniu
鹌鹑	aniy
案	anj_
暗道：“	anjf
暗疾	anji
暗礁	anjn
按揭	anjp
案卷	anjr
安居	anju
安家	anjx
俺	ank_
安可	anke
侒	anks
暗亏	ankv
暗扣	ankz
安拉	anla
安乐	anle
按铃	anlk
按量	anll
暗恋	anlm
暗流	anlq
雸	anlr
暗绿	anlv
蓭	anm_
暗骂	anma
安民	anmb
按脉	anmd
萻	anmd2
暗门	anmf
安谧	anmi
安眠	anmm
葊	anmm2
按摩	anmo
闇	ann_
安娜	anna
按耐	annd
安能	anng
安妮	anni
安宁	annk
按年	annm
按	ano_
犴	anoc
豻	anoc2
貋	anoc3
揞	anod
安排	ap_
暗盘	anpj
安培	anpw
埯	anq_
安寝	anqb
堓	anqc
韽	anqd
暗器	anqi
案情	anqk
盦	anqq
安全	anqr
垵	anqs
暗渠	anqu
鞍	anr_
按日	anri
安然	anrj
玵	anrr
安内攘外	anrw
按揉	anrz
暗色	anse
媕	ansm
暗锁	anso
暗算	ansr
暗送	anss
唵	ant_
安踏	anta
安泰	antd
庵堂	anth
暗叹	antj
按天	antm
啽	antm2
安妥	anto
案头	antz
铵	anu_
暗杀	anua
暗哨	anuc
安设	anue
安身	anuf
安生	anug
岸上	anuh
暗示	anui
鞍山	anuj
暗爽	anul
按说	anuo
谙熟	anuu
安睡	anuv
安顺	anuy
案首	anuz
按照	av_
按着	anve
按章	anvh
安置	anvi
暗战	anvj
安装	anvl
安卓	anvo
暗中	anvs
按住	anvu
桉	anw_
安稳	anwf
暗网	anwh
安慰	aw_
安心	ax_
安息	anxi
安详	anxl
安闲	anxm
暗笑	anxn
安歇	anxp
按需	anxu
按下	anxx
鹌	any_
按压	anya
隌	anyd
暗夜	anye
鵪	anyg2
安阳	anyh
安逸	anyi
铵盐	anyj
暗影	anyk
安源	anyr
暗涌	anys
按月	anyt
安于	anyu
案由	anyz
氨	anz_
安葬	anzh
案子	az_
安坐	anzo
胺	anzs
奥	ao_
澳	aoa_
傲岸	aoan
嗷嗷	aoao
敖包	aobc
鳌拜	aobd
凹版	aobj
敖丙	aobk
鏖	aoc_
凹槽	aocc
熬菜	aocd
廒	aocq
厫	aocq2
袄	aod_
熬到	aodc
奥迪	aodi
翱	aodo
岙	aof_
謸	aofq
熬过	aogo
傲骨	aogu
凹痕	aohf
懊悔	aohv
熬成	aoig
奥创	aoil
凹处	aoiu
凹进	aojb
拗劲	aojk
熬煎	aojm
傲娇	aojn
傲	aok_
澳抗	aokh
拗口	aokz
凹	aol_
傲立	aoli
薁	aom_
澳门	aomf
奥秘	aomi
傲慢	aomj
凹面	aomm
奥妙	aomn
芺	aomy2
懊恼	aonc
艾欧尼亚	aony
拗	aoo_
抝	aoob
獓	aooq
擙	aooy
熬	aop_
鳌	aopd
謷	aopf
螯	aopg
鷔	aopg2
嶅	aoph
奡	aopl
摮	aopo
爊	aopp2
敖	aopq
遨	aopq2
嫯	aops
嗸	aopt
鏊	aopu
骜	aopv
聱	aopx
獒	aopy
坳	aoq_
傲气	aoqi
垇	aoqp2
獒犬	aoqr
墺	aoqy
璈	aor_
傲人	aorf
傲然	aorj
媪	aos_
奥赛	aosd
懊丧	aosh
熬死	aosi
媼	aosq2
嗷	aot_
熬汤	aoth
奥拓	aoto
凹凸	aotu
鳌头	aotz
傲视	aoui
傲霜	aoul
奥数	aouu
懊	aov_
熬制	aovi
鏖战	aovj
熬煮	aovu
澳洲	aovz
嗷呜	aowu
翱翔	aoxl
凹陷	aoxm
傲雪	aoxt
凹下	aoxx
隩	aoy_
熬药	aoyc
熬夜	aoye
奥义	aoyi
澳元	aoyr
奥运	aoyy
遨游	aoyz
安排表	apb_
爱拼才会赢	apcy
安排得明明白白	apdb
安培定则	apdz
安排工作	apgz
安排好	aph_
安培计	apj_
安贫乐道	apld
安贫乐贱	aplj
阿帕奇	apq_
安贫若素	aprs
爱泼斯坦	apst
安排妥当	aptd
安排上	apu_
安排生活	apuh
安排时间	apuj
阿婆主	apv_
安排下	apx_
爱去不去	aqbq
哀其不争	aqbv
哀其不幸	aqbx
矮穷矬	aqc_
安全措施	aqcu
安全带	aqd_
爱情动作片	aqdp
安全第一	aqdy
安琪儿	aqe_
安全阀	aqf_
安全感	aqg_
安全管家	aqgj
爱情故事	aqgu
爱情公寓	aqgy
爱琴海	aqh_
按期还款	aqhk
矮穷丑	aqi_
安全出口	aqik
爱情长跑	aqip
奥奇传说	aqiu
安全出行	aqix
安全局	aqj_
安全级别	aqjb
爱情价更高	aqjg
安全检查	aqji
安全距离	aqjl
安全可靠	aqkk
安琪拉	aql_
安全帽	aqm_
鞍前马后	aqmh
爱情买卖	aqmm
爱情片	aqp_
安全期	aqq_
安全起见	aqqj
安全气囊	aqqn
爱钱如命	aqrm
昂起头	aqt_
安全提示	aqtu
暗区突围	aqtw
安全设备	aqub
安全事故	aqug
安全生产	aqui
安全声明	aqum
安全设施	aquu
安全使用	aquy
安全着陆	aqvl
安全中心	aqvx
安全卫士	aqwu
安全性	aqx_
安全系数	aqxu
爱奇艺	aqy_
安全隐患	aqyh
安全因素	aqys
安全意识	aqyu
安全有效	aqyx
爱如潮水	ariu
爱如己出	arji
黯然离场	arli
黯然泪下	arlx
爱人民	arm_
爱热闹	arn_
安如磐石	arpu
安然如故	arrg
爱人如己	arrj
安然入眠	arrm
安然入睡	arru
傲然挺立	artl
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
爱如珍宝	arvb
安然无事	arwu
安然无恙	arwy
黯然销魂	arxh
爱人以德	aryd
傲然屹立	aryl
昂然自得	arzd
安然自若	arzr
艾斯爱慕	asam
阿塞拜疆	asbj
埃塞俄比亚	asey
阿sir	asir
爱斯基摩	asjm
爱斯基摩人	asjr
奥斯卡	ask_
奥斯卡金像奖	askj
爱死了	asl_
阿萨姆	asm_
奥斯曼帝国	asmg
ASMR	asmr
阿司匹林	aspl
暗送秋波	asqb
阿斯特拉	astl
奥斯维辛	aswx
安塞腰鼓	asyg
凹凸不平	atbp
凹透镜	atj_
阿提拉	atl_
AT力场	atli
AT领域	atly
奥特曼	atm_
艾特全体	atqt
按图索骥	atsj
安兔兔	att_
昂头挺胸	attx
安徒生	atu_
奥特之父	atvf
奥特之母	atvm
安土重迁	atvq
奥特之王	atvw
奥体中心	atvx
安胎药	aty_
哀痛欲绝	atyj
凹凸有致	atyv
碍手碍脚	auaj
爱说爱笑	auax
安守本分	aubf
安神补脑	aubn
爱说不说	aubu
安神定惊	audj
安神定魄	audp
安神定志	audv
昂首阔步	aukb
爱上了	aul_
安身立命	aulm
奥沙利文	aulw
阿诗玛	aum_
奥数魔刃	aumr
爱上你	aun_
爱是你我	aunw
爱沙尼亚	auny
按时起床	auqi
暗生情愫	auqs
傲视群雄	auqx
安适如常	auri
安生日子	aurz
昂首挺立	autl
唉声叹气	autq
昂首挺胸	autx
爱谁谁	auu_
暗示着	auv_
安身之地	auvd
安身之处	auvi
安史之乱	auvl
安身之所	auvs
爱上我	auw_
按时完成	auwi
昂首望天	auwt
按顺序	aux_
爱是一道光	auyg
昂首屹立	auyl
阿珍爱上了阿强	avaq
安装包	avb_
暗中调查	avdi
安装到位	avdw
安枕而卧	avew
安知非福	avff
按照规定	avgd
暗中观察	avgi
按照惯例	avgl
癌症患者	avhv
AV画质	avhv2
按照传统	avit
安装程序	avix
安卓机	avj_
按照计划	avjh
安装教程	avji
安装目录	avml
暗中摸索	avms
AV女优	avny
AV男优	avny2
安装盘	avp_
安卓平板	avpb
暗中盘算	avpo
安装软件	avrj
安之若素	avrs
暗中算计	avsj
安卓手机	avuj
按这种	avv_
安装文件	avwj
癌症晚期	avwq
安枕无忧	avwy
安卓系统	avxt
暗中相助	avxv
暗中作梗	avzg
阿瓦达啃大瓜	awdg
阿瓦达索命	awdm
艾薇儿	awe_
奥委会	awh_
安危祸福	awhf
安慰剂	awj_
爱屋及乌	awjw
阿伟乱葬岗	awlg
安危冷暖	awln
癌晚期	awq_
爱我所爱	awsa
啊我死了	awsl
暗无天日	awtr
暗物质	awv_
爱我中华	awvh
安慰性	awx_
安危相易	awxy
安危与共	awyg
安慰一下	awyx
癌细胞	axb_
按下不表	axbb
爱信不信	axbx
暗箱操作	axcz
奥匈帝国	axdg
安心定志	axdv
熬心费力	axfl
按需分配	axfp
爱惜公物	axgw
安心工作	axgz
按下葫芦起来瓢	axhp
凹陷处	axi_
爱心捐款	axjk
爱新觉罗	axjl
暗下决心	axjx
按下快门	axkm
阿修罗	axl_
安心乐意	axly
安息日	axr_
爱惜人才	axrc
安享天年	axtn
爱惜生命	axum
暗香疏影	axuy
爱心助学	axvx
安享晚年	axwn
爱学习	axx_
安下心来	axxl
按需选择	axxz
爱惜羽毛	axym
锕系元素	axys
安闲自得	axzd
爱惜自己	axzj
安闲自在	axzz
也有	yeyz
按一按	aya_
昂扬不灭	aybm
哎哟，不错哦	aybo
奥运村	ayc_
阿谀奉承	ayfi
阿谀逢迎	ayfy
奥运冠军	aygj
爱一个人	aygr
奥运会	ayh_
矮一截	ayj_
奥运健儿	ayje
暗夜精灵	ayjl
奥运精神	ayju
哎呀妈呀	aymy
碍于面子	aymz
按要求	ayq_
碍于情面	ayqm
遨游四海	aysh
爱因斯坦	ayst
遨游世界	ayuj
按月支付	ayvf
安营扎寨	ayvv
哎哟喂	ayw_
安有完卵	aywl
哎呦我去	aywq
按音序	ayx_
阿姨洗铁路	ayxl
昂扬向上	ayxu
安于现状	ayxv
哎呀呀	ayy_
俺也一样	ayyy
艾滋病	azb_
艾滋病毒	azbd
肮脏不堪	azbk
艾滋病人	azbr
暗自得意	azdy
爱憎分明	azfm
爱祖国	azg_
爱走极端	azjd
矮子看戏	azkx
按资论辈	azlb
矮子里拔将军	azlj
按资排辈	azpb
腌臜泼才	azpc
暗自庆幸	azqx
暗自思量	azsl
阿兹特克	aztk
暗自神伤	azuu
爱咋玩	azw_
凹造型	azx_
爱咋咋地	azzd
不	b_
》	b2
>	b3
吧	ba_
不安	buan
灞	baa_
吧！”	baae
爸爸	baba
八宝	babc
八百	babd
芭比	babi
把柄	babk
靶标	babn
弝	babv
疤	bac_
拔草	bacc
把菜	bacd
八层	bacg
八寸	bacy
鲅	bad_
八大	bada
鼥	bada4
霸道	badc
报案电话	badh
坝顶	badk
八点	badm
拔掉	badn
把舵	bado
八段	badr
八度	badu
鲃	badv
魞	badx
巴顿	bady
巴豆	badz
北爱尔兰	bael
不安分	baf_
詙	bafa
八分	baff
把风	bafg
八方	bafh
叐	bafq
蚆	bag_
拔高	bagc
八个	bage
八怪	bagk
扒光	bagl
把关	bagr
罢工	bags
八股	bagu
八卦	bagx
笆	bah_
八号	bahc
拔河	bahe
疤痕	bahf
八荒	bahl
跋扈	bahu
扒灰	bahv
岜	bahv2
不安好心	bahx
不爱吃	bai_
扒车	baie
八成	baig
靶场	baih
把持	baii
不按常理	bail
不按常理出牌	baip
不爱吃肉	bair
拔出	baiu
紦	baiv
巴金	bajb
吧唧	baji
拔尖	bajm
芭蕉	bajn
巴结	bajp
八九	bajq
不爱江山爱美人	bajr
罢考	bakc
扒开	bakd
罢课	bake
仈	bakl
把控	baks
爸	bal_
扒拉	bala
巴林	balb
罢了	bale
巴黎	bali
霸凌	balk
八	ball
八六	balq
八路	balu
耙	pal_
芭蕾	balw
霸	balz
芭	bam_
爸妈	bama
菝	bama2
茇	bama3
拔毛	bamc
把脉	bamd
把门	bamf
霸蛮	bamj
罢免	bamm
把妹	bamw
不安宁	ban_
把你	bani
八年	banm
把尿	bann
吧女	banv
把	bao_
拔	baoa
捌	baog
扒	pao_
抜	baoq
豝	baov2
魃	bap_
炦	bapa2
八品	bapb
扒皮	bapi
八婆	bapo
罢	baq_
坺	baqa
墢	baqh2
霸气	baqi
坝	baqj
拔枪	baql
垻	baql2
八千	baqm
灞桥	baqn
扒窃	baqp
霸权	baqr
拔取	baqu
不安其位	baqw
拔群	baqy
靶	bar_
巴人	barf
癹	barh
八日	bari
羓	barv
办案人员	bary
跋	bas_
巴萨	basa
妭	basa2
罢赛	basd
吧……”	base
拔丝	basi
把伞	basj
八岁	basv
叭	bat_
吧台	batd
哵	batg
霸体	bati
八天	batm
巴铁	batp
拔腿	batv
把头	batz
钯	bau_
跋涉	baue
八神	bauf
坝上	bauh
八十	baui
巴山	bauj
巴蜀	bauu
不按顺序	baux
把手	bauz
巴	bav_
八折	bave
八珍	bavf
巴掌	bavh
罢职	bavi
霸占	bavj
拔擢	bavo
巴中	bavs
巼	bavt
霸主	bavu
霸州	bavz
朳	baw_
柭	bawa
吧？”	bawe
把稳	bawf
霸王	bawh
把玩	bawj
把握	bawo
吧务	bawu
欛	bawz
不安心	bax_
靶心	baxb
巴西	baxi
靶向	baxl
釟	baxl2
八仙	baxm
釛	baxp
罢休	baxq
不安现状	baxv
拔下	baxx
八旬	baxy
拔牙	baya
霸业	baye
八一	bayi
巴彦	bayj
拔营	bayk
八月	bayt
鲅鱼	bayu
吧友	bayz
粑	baz_
胈	baza
靶子	bazi
不必	bb_
宝贝	bcbw
滨	bba_
濒	bbaj
瀕	bbal2
不不不	bbb_
彬彬	bbbb
宝贝不错	bbbc
不比不知道	bbbd
版本编号	bbbh
辨别不出	bbbi
步步逼近	bbbj
不卑不亢	bbbk
半表半里	bbbl
报不报名	bbbm
百病不侵	bbbq
宝宝巴士	bbbu
不悲不喜	bbbx
褒贬不一	bbby
白板擦	bbc_
褒贬参半	bbcb
百弊丛生	bbcu
并不存在	bbcz
巴不得	bbd_
版本答案	bbda
并不代表	bbdb
变被动为主动	bbdd
步步登高	bbdg
并不多见	bbdj
百般抵赖	bbdl
百般刁难	bbdn
巴巴多斯	bbds
包办代替	bbdt
不必多说	bbdu
不必当真	bbdv
不必担心	bbdx
并不等于	bbdy
斌	bbe_
奔波儿灞	bbeb
暴毙而亡	bbew
宝贝儿子	bbez
笨办法	bbf_
鬓发	bbfa
并不反对	bbfd
缤纷	bbff
并不符合	bbfh
百般奉承	bbfi
不必烦恼	bbfn
不包分配	bbfp
并不否认	bbfr
避避风头	bbft
宾服	bbfu
不避风险	bbfx
不避斧钺	bbfy
并不复杂	bbfz
比不过	bbg_
宝贝疙瘩	bbgd
虨	bbgf
并不感冒	bbgm
宾果	bbgo
并不公平	bbgp
宾馆	bbgr
不必管他	bbgt
步步高升	bbgu
版本更新	bbgx
豳	bbh_
滨海	bbhd
百般呵护	bbhh
宝贝回家	bbhj
并不好看	bbhk
版本红利	bbhl
不抱幻想	bbhx
包办婚姻	bbhy
缤	bbi_
殡车	bbie
滨城	bbig
摈斥	bbii
不被察觉	bbij
宾川	bbir
百病缠身	bbiu
百步穿杨	bbiy
宾	bbj_
步步紧逼	bbjb
并不觉得	bbjd
步步紧跟	bbjg
不必惊慌	bbjh
边边角角	bbjj
滨江	bbjl
顮	bbjl4
鬓角	bbjn
并不尽然	bbjr
比比皆是	bbju
标本兼治	bbjv
步步惊心	bbjx
傧	bbk_
宾客	bbke
并不看好	bbkh
并不可靠	bbkk
必不可免	bbkm
并不可能	bbkn
并不可怕，	bbkp
必不可缺	bbkq
必不可少	bbku
并不看重	bbkv
并不开心	bbkx
并不可以	bbky
邠	bbl_
濒临	bblb
白白浪费	bblf
宝贝老公	bblg
步步莲花	bblh
槟榔	bklh
宾利	bbli
并不了解	bblj
奔波劳苦	bblk
冰冰凉凉	bbll
殡殓	bblm
宝贝老婆	bblp
八八六十四	bbls
并不理想	bblx
帮帮忙	bbm_
并不明白	bbmb
鬓毛	bbmc
并不矛盾	bbmd
不帮忙是本分	bbmf
比表面积	bbmj
奔波忙碌	bbml
爸爸妈妈	bbmm
不必勉强	bbmq
不便明说	bbmu
并不满足	bbmz
