码位	词	现候选位	建议组	综合分	现完整候选	前方缺分词	前方核心字	前方扩展字	前方已知最高分
yise	一色	2	A：有评分依据，优先看首选	1.5387	异色、一色、㡼	无	无	无	1.1217
yipc	一炮	2	A：有评分依据，优先看首选	1.4692	衣袍、一炮	无	无	无	1.1333
yimw	一枚	3	A：有评分依据，优先看首选	1.4	医美、衣袂、一枚	无	无	无	1.387
yiua	一霎	2	A：有评分依据，优先看首选	1.1486	一刹、一霎	无	无	无	1.1048
yige	一个	4	B：可考虑首选，但前方有词缺分	4.8226	亿个、已隔、一哥、一个	亿个、已隔	无	无	1.3573
yiyh	一样	4	B：可考虑首选，但前方有词缺分	4.0278	异样、依样、一唱一和、一样、益阳	依样、一唱一和	无	无	2.1187
yixx	一下	4	B：可考虑首选，但前方有词缺分	3.9271	以下、意下、已下、一下	已下	无	无	2.758
yiqp	一切	2	B：可考虑首选，但前方有词缺分	3.6608	亦且、一切	亦且	无	无	无
yixp	一些	6	B：可考虑首选，但前方有词缺分	3.602	已写、衣鞋、医械、一血、一写、一些	已写、衣鞋、医械、一血、一写	无	无	无
yibj	一般	4	B：可考虑首选，但前方有词缺分	3.3773	已办、乙班、一瓣、一般、一半、一斑	已办、乙班	无	无	1.4
yibm	一边	5	B：可考虑首选，但前方有词缺分	3.1948	以便、异变、溢出屏幕、一遍、一边	溢出屏幕	无	无	2.4094
yilu	一路	3	B：可考虑首选，但前方有词缺分	2.9285	已撸、驿路、一路	已撸	无	无	1.5225
yivf	一阵	4	B：可考虑首选，但前方有词缺分	2.8347	义诊、疑阵、一帧、一阵	一帧	无	无	1.6979
yidj	一旦	2	B：可考虑首选，但前方有词缺分	2.8286	已成定局、一旦	已成定局	无	无	无
yibd	一百	4	B：可考虑首选，但前方有词缺分	2.8248	衣摆、扬长避短、严惩不贷、一百	扬长避短、严惩不贷	无	无	1.4898
yidv	一对	5	B：可考虑首选，但前方有词缺分	2.5227	已对、乙队、已兑、一堆、一对、一队	已对、乙队、已兑	无	无	1.4
yidd	一代	3	B：可考虑首选，但前方有词缺分	2.5051	衣带、一插到底、一代、一袋、一带、衣袋	一插到底	无	无	1.6849
yiyt	一月	3	B：可考虑首选，但前方有词缺分	2.4987	已阅、依约、一月、一跃	依约	无	无	1.5419
yilq	一流	4	B：可考虑首选，但前方有词缺分	2.4821	遗留、乙流、预处理器、一流、一绺、一溜	乙流、预处理器	无	无	2.1641
yiuz	一手	5	B：可考虑首选，但前方有词缺分	2.4428	已售、易手、易受、一首、一手	已售、易受、一首	无	无	1.5702
yits	一同	4	B：可考虑首选，但前方有词缺分	2.4158	异同、异瞳、已同、一同、一通、一统	异瞳、已同	无	无	1.683
yiuf	一身	4	B：可考虑首选，但前方有词缺分	2.3609	以身、已深、远程施法、一身、一审	以身、已深、远程施法	无	无	无
yiti	一体	5	B：可考虑首选，但前方有词缺分	2.3386	遗体、议题、异体、一朝天子一朝臣、一体、一屉	一朝天子一朝臣	无	无	2.1673
yijn	一角	5	B：可考虑首选，但前方有词缺分	2.2063	移交、衣角、一脚、一觉、一角、异教	一觉	无	无	2.1088
yitz	一头	3	B：可考虑首选，但前方有词缺分	2.1866	已投、一朝天子、一头	已投、一朝天子	无	无	无
yiyj	一眼	4	B：可考虑首选，但前方有词缺分	2.1761	遗言、依言、义眼、一眼、鯣、义演	义眼	无	无	1.8716
yitm	一天	3	B：可考虑首选，但前方有词缺分	2.1649	已填、倚天、一天	已填	无	无	1.4
yigd	一概	3	B：可考虑首选，但前方有词缺分	2.0405	已改、易改、一概、医改	已改、易改	无	无	无
yiuy	一瞬	3	B：可考虑首选，但前方有词缺分	2.0144	依顺、有偿使用、一瞬、裿	有偿使用	无	无	1.5128
yiff	一分	4	B：可考虑首选，但前方有词缺分	1.9538	义愤、已分、已粉、一分、一份	已分、已粉	无	无	1.7244
yibu	一步	5	B：可考虑首选，但前方有词缺分	1.8185	移步、异步、遗传病史、一朝被蛇咬，十年怕井绳、一步、一部	遗传病史、一朝被蛇咬，十年怕井绳	无	无	1.6493
yilj	一览	4	B：可考虑首选，但前方有词缺分	1.7013	倚栏、倚阑、远程连接、一览、一栏	倚栏、倚阑、远程连接	无	无	无
yipd	一派	5	B：可考虑首选，但前方有词缺分	1.6175	已派、义拍、一排、一拍、一派	已派、一拍	无	无	1.4893
yiru	一如	4	B：可考虑首选，但前方有词缺分	1.5579	亦如、移入、已入、一如	亦如	无	无	1.5215
yiql	一枪	3	B：可考虑首选，但前方有词缺分	1.5432	翼墙、移出群聊、一枪、一腔	移出群聊	无	无	1.0423
yivz	一周	2	B：可考虑首选，但前方有词缺分	1.4966	移轴、一周、一皱	移轴	无	无	无
yiqr	一圈	3	B：可考虑首选，但前方有词缺分	1.4867	乙醛、意拳、一圈、一拳	意拳	无	无	1.148
yijt	一绝	4	B：可考虑首选，但前方有词缺分	1.4519	已决、义绝、壹决、一绝	已决、义绝、壹决	无	无	无
yipi	一批	2	B：可考虑首选，但前方有词缺分	1.437	已批、一批、一匹	已批	无	无	无
yicj	一餐	2	B：可考虑首选，但前方有词缺分	1.4365	蚁蚕、一餐	蚁蚕	无	无	无
yijp	一届	4	B：可考虑首选，但前方有词缺分	1.4275	异界、已结、一触就破、一届、一截、硛、一节	已结、一触就破	无	无	1.0832
yigf	一根	3	B：可考虑首选，但前方有词缺分	1.4236	已跟、翼根、一根	已跟、翼根	无	无	无
yiso	一所	3	B：可考虑首选，但前方有词缺分	1.4219	已锁、伊索、一所	已锁	无	无	1.2909
yicg	一层	2	B：可考虑首选，但前方有词缺分	1.4	亦曾、一层	亦曾	无	无	无
yidy	一顿	3	B：可考虑首选，但前方有词缺分	1.4	亿吨、一锤定音、一顿、鷾	一锤定音	无	无	1.4
yilg	一愣	2	B：可考虑首选，但前方有词缺分	1.4	意冷、一愣	意冷	无	无	无
yiqu	一曲	4	B：可考虑首选，但前方有词缺分	1.4	已去、移去、永垂青史、一曲、一区、疫区、意趣	已去、移去、永垂青史	无	无	无
yiwo	一窝	3	B：可考虑首选，但前方有词缺分	1.4	以我、依我、一窝	以我、依我	无	无	无
yipb	一品	3	B：可考虑首选，但前方有词缺分	1.3579	衣品、异频、一品	异频	无	无	1.0677
yiux	一刷	2	B：可考虑首选，但前方有词缺分	1.2332	已刷、一刷	已刷	无	无	无
yino	一诺	2	B：可考虑首选，但前方有词缺分	1.1876	伊诺、一诺	伊诺	无	无	无
yipj	一盘	2	B：可考虑首选，但前方有词缺分	1.0815	原厂配件、一盘、一爿	原厂配件	无	无	无
yibi	一笔	2	B：可考虑首选，但前方有词缺分	1.0519	有仇报仇、一笔、一比	有仇报仇	无	无	无
yidk	一定	5	C：前有单字，另议	3.8296	已定、议定、一顶、譯、一定	已定	无	譯	1.6859
yihv	一会	5	C：前有单字，另议	2.8908	议会、邑、意会、远程会诊、一会、一回、唈	远程会诊	邑	无	2.2127
yill	一两	5	C：前有单字，另议	2.7266	溢出来了、乙、要出来了、一辆、一两、宜良、拸	溢出来了、要出来了	乙	无	1.4
yifj	一番	4	C：前有单字，另议	2.6538	疑犯、已返、㑥、一番	已返	无	㑥	2.0887
yixl	一向	5	C：前有单字，另议	2.6228	意向、艺、臆想、一项、一向、异乡、意象、遗像、衣箱、意想、䔟	无	艺	无	2.1224
yidc	一道	4	C：前有单字，另议	2.3455	已到、意、移到、一道、悥、譩、䪰、一刀	已到	意	无	1.4
yiba	一把	6	C：前有单字，另议	1.7838	潩、已把、溢、瀷、㳑、一把	已把	潩、溢	瀷、㳑	无
yihc	一号	4	C：前有单字，另议	1.7518	噫、壹号、易耗、一号	壹号、易耗	噫	无	无
yitr	一团	3	C：前有单字，另议	1.7047	矣、疑团、一团	无	矣	无	1.6773
yidh	一档	3	C：前有单字，另议	1.6563	诒、一场大火、一档、詒、一挡	一场大火	诒	无	无
yikr	一款	2	C：前有单字，另议	1.5024	𬬩、一款	无	𬬩	无	无
yitn	一条	2	C：前有单字，另议	1.4451	壹、一条、㙪、一跳	无	壹	无	无
yizo	一座	5	C：前有单字，另议	1.4219	遗作、译作、已做、跇、一座、一作	已做	无	跇	1.2148
yido	一朵	4	C：前有单字，另议	1.4	亿多、䚷、詍、一朵	亿多	无	䚷、詍	无
yidp	一碟	3	C：前有单字，另议	1.4	一叠、讉、一碟	一叠	无	讉	无
yilp	一列	2	C：前有单字，另议	1.4	抑、一列、迻	无	抑	无	无
yimo	一抹	5	C：前有单字，另议	1.4	翼膜、遗墨、靾、异魔、一抹、一摸	翼膜、异魔	无	靾	1.153
yivy	一准	3	C：前有单字，另议	1.3609	猗、异常占用、一准、狋	异常占用	猗	无	无
yiiz	一筹	4	C：前有单字，另议	1.2895	乙丑、一抽、㛳、一筹	一抽	无	㛳	1.0994
yiyk	一应	5	C：前有单字，另议	1.179	嶷、译英、嶧、䱌、一应	译英	嶷	嶧、䱌	无
yico	一撮	3	C：前有单字，另议	1.1318	易错、怈、一撮	易错	无	怈	无
yipn	一票	2	C：前有单字，另议	1.0487	奕、一票、畩、䧇、一瓢、一飘	无	奕	无	无
