码位	词	现候选位	建议组	综合分	现完整候选	前方缺分词	前方核心字	前方扩展字	前方已知最高分
yiir	一串	4	目标缺分，待人工看	缺失	遗传、義、已传、一串	已传	无	義	2.5232
yiiu	一处	4	有其他得分更高候选，暂不推荐首选	1.4551	溢出、益处、移除、一处、衣橱	无	无	无	2.0305
yiiv	一吹	1	已首选	1.4	一吹	无	无	无	无
yiiz	一抽	2	目标缺分，待人工看	缺失	乙丑、一抽、㛳、一筹	无	无	无	1.0994
yiiz	一筹	4	C：前有单字，另议	1.2895	乙丑、一抽、㛳、一筹	一抽	无	㛳	1.0994
yijb	一斤	3	目标缺分，待人工看	缺失	衣襟、已近、一斤	无	无	无	1.8197
yiji	一级	4	有其他得分更高候选，暂不推荐首选	2.4883	以及、遗迹、异己、一级、一击、一集、乙级、艺妓、依纪	无	无	无	3.1292
yiji	一击	5	有其他得分更高候选，暂不推荐首选	1.4326	以及、遗迹、异己、一级、一击、一集、乙级、艺妓、依纪	无	无	无	3.1292
yiji	一集	6	目标缺分，待人工看	缺失	以及、遗迹、异己、一级、一击、一集、乙级、艺妓、依纪	无	无	无	3.1292
yijk	一经	4	有其他得分更高候选，暂不推荐首选	1.3448	已经、意境、易经、一经、繹	无	无	无	4.1977
yijm	一间	3	有其他得分更高候选，暂不推荐首选	1.4	意见、已建、一间、一键、䌻、䋚、一件	已建	无	无	3.0956
yijm	一键	4	有其他得分更高候选，暂不推荐首选	1.4266	意见、已建、一间、一键、䌻、䋚、一件	已建	无	无	3.0956
yijm	一件	7	有其他得分更高候选，暂不推荐首选	1.4	意见、已建、一间、一键、䌻、䋚、一件	已建	无	䌻、䋚	3.0956
yijn	一脚	3	有其他得分更高候选，暂不推荐首选	1.639	移交、衣角、一脚、一觉、一角、异教	无	无	无	2.1088
yijn	一觉	4	目标缺分，待人工看	缺失	移交、衣角、一脚、一觉、一角、异教	无	无	无	2.1088
yijn	一角	5	B：可考虑首选，但前方有词缺分	2.2063	移交、衣角、一脚、一觉、一角、异教	一觉	无	无	2.1088
yijp	一届	4	B：可考虑首选，但前方有词缺分	1.4275	异界、已结、一触就破、一届、一截、硛、一节	已结、一触就破	无	无	1.0832
yijp	一截	5	有其他得分更高候选，暂不推荐首选	1.4	异界、已结、一触就破、一届、一截、硛、一节	已结、一触就破	无	无	1.4275
yijp	一节	7	有其他得分更高候选，暂不推荐首选	1.1879	异界、已结、一触就破、一届、一截、硛、一节	已结、一触就破	无	硛	1.4275
yijt	一绝	4	B：可考虑首选，但前方有词缺分	1.4519	已决、义绝、壹决、一绝	已决、义绝、壹决	无	无	无
yiju	一局	3	有其他得分更高候选，暂不推荐首选	1.5898	依据、宜居、一局、一举、一句、移居、义举	无	无	无	2.4847
yiju	一举	4	有其他得分更高候选，暂不推荐首选	1.5157	依据、宜居、一局、一举、一句、移居、义举	无	无	无	2.4847
yiju	一句	5	有其他得分更高候选，暂不推荐首选	1.4191	依据、宜居、一局、一举、一句、移居、义举	无	无	无	2.4847
yijx	一家	3	A：有评分依据，优先看首选	2.5999	溢价、衣架、一家、一架、议价、意甲	无	无	无	2.0916
yijx	一架	4	目标缺分，待人工看	缺失	溢价、衣架、一家、一架、议价、意甲	无	无	无	2.5999
yike	一颗	3	有其他得分更高候选，暂不推荐首选	1.4313	亦可、医科、一颗、一棵、一刻、一课	无	无	无	1.9491
yike	一棵	4	有其他得分更高候选，暂不推荐首选	1.4	亦可、医科、一颗、一棵、一刻、一课	无	无	无	1.9491
yike	一刻	5	A：有评分依据，优先看首选	2.7573	亦可、医科、一颗、一棵、一刻、一课	无	无	无	1.9491
yike	一课	6	目标缺分，待人工看	缺失	亦可、医科、一颗、一棵、一刻、一课	无	无	无	2.7573
yikk	一块	1	已首选	2.4196	一块、巸	无	无	无	无
yikl	一筐	3	目标缺分，待人工看	缺失	钇、㼢、一筐	无	钇	㼢	无
yikr	一款	2	C：前有单字，另议	1.5024	𬬩、一款	无	𬬩	无	无
yikz	一口	3	有其他得分更高候选，暂不推荐首选	1.5535	衣扣、颐、一口、媐	无	颐	无	1.6168
yila	一拉	5	目标缺分，待人工看	缺失	一场恋爱、㱞、掜、㱲、一拉	一场恋爱	无	㱞、掜、㱲	无
yilb	一凛	3	目标缺分，待人工看	缺失	意林、殔、一凛	无	无	殔	1.2154
yild	一来	3	有其他得分更高候选，暂不推荐首选	2.269	以来、依赖、一来	无	无	无	3.029
yile	一乐	3	目标缺分，待人工看	缺失	揖、怡乐、一乐	无	揖	无	1.0427
yilg	一愣	2	B：可考虑首选，但前方有词缺分	1.4	意冷、一愣	意冷	无	无	无
yili	一粒	3	有其他得分更高候选，暂不推荐首选	1.4	毅力、屹立、一粒、伊犁、伊利、义利、义理	无	无	无	2.2972
yilj	一览	4	B：可考虑首选，但前方有词缺分	1.7013	倚栏、倚阑、远程连接、一览、一栏	倚栏、倚阑、远程连接	无	无	无
yilj	一栏	5	目标缺分，待人工看	缺失	倚栏、倚阑、远程连接、一览、一栏	倚栏、倚阑、远程连接	无	无	1.7013
yill	一辆	4	有其他得分更高候选，暂不推荐首选	1.4	溢出来了、乙、要出来了、一辆、一两、宜良、拸	溢出来了、要出来了	乙	无	无
yill	一两	5	C：前有单字，另议	2.7266	溢出来了、乙、要出来了、一辆、一两、宜良、拸	溢出来了、要出来了	乙	无	1.4
yilm	一脸	2	有其他得分更高候选，暂不推荐首选	1.4	依恋、一脸、一连	无	无	无	1.9873
yilm	一连	3	A：有评分依据，优先看首选	2.0563	依恋、一脸、一连	无	无	无	1.9873
yilo	一摞	2	目标缺分，待人工看	缺失	遗落、一摞	无	无	无	1.7775
yilp	一列	2	C：前有单字，另议	1.4	抑、一列、迻	无	抑	无	无
yilq	一流	4	B：可考虑首选，但前方有词缺分	2.4821	遗留、乙流、预处理器、一流、一绺、一溜	乙流、预处理器	无	无	2.1641
yilq	一绺	5	目标缺分，待人工看	缺失	遗留、乙流、预处理器、一流、一绺、一溜	乙流、预处理器	无	无	2.4821
yilq	一溜	6	有其他得分更高候选，暂不推荐首选	1.0992	遗留、乙流、预处理器、一流、一绺、一溜	乙流、预处理器、一绺	无	无	2.4821
yilu	一路	3	B：可考虑首选，但前方有词缺分	2.9285	已撸、驿路、一路	已撸	无	无	1.5225
yilv	一律	1	已首选	2.2591	一律、挹、疑虑、衣履、一缕	无	无	无	无
yilv	一缕	5	有其他得分更高候选，暂不推荐首选	1.4	一律、挹、疑虑、衣履、一缕	无	挹	无	2.2591
yilw	一类	3	有其他得分更高候选，暂不推荐首选	1.9514	异类、乙类、一类	无	无	无	1.9897
yily	一轮	2	有其他得分更高候选，暂不推荐首选	1.4	议论、一轮	无	无	无	2.3182
yilz	一楼	3	有其他得分更高候选，暂不推荐首选	1.4	遗漏、倚楼、一楼	倚楼	无	无	2.0688
yima	一码	5	有其他得分更高候选，暂不推荐首选	1.1446	姨妈、翌、螠、翼、一码、译码、䩟、䗑、蛦、驿马	无	翌、螠、翼	无	2.5769
yimc	一毛	4	有其他得分更高候选，暂不推荐首选	1.342	衣帽、乙卯、䗷、一毛	乙卯	无	䗷	1.8821
yimd	一脉	4	目标缺分，待人工看	缺失	已买、义卖、夜长梦多、一脉	已买、夜长梦多	无	无	1.9592
yimf	一门	1	已首选	1.4326	一门	无	无	无	无
yimg	一梦	3	目标缺分，待人工看	缺失	沂蒙、遗梦、一梦	遗梦	无	无	1.73
yimi	一米	3	有其他得分更高候选，暂不推荐首选	1.4293	乙醚、薏米、一米	无	无	无	1.7906
yimk	一名	4	有其他得分更高候选，暂不推荐首选	1.0321	艺名、佚名、译名、一名	无	无	无	1.9514
yimm	一面	3	A：有评分依据，优先看首选	2.8459	以免、意面、一面、蛡	无	无	无	2.3004
yimn	一秒	3	有其他得分更高候选，暂不推荐首选	1.7327	蚁、疫苗、一秒、螔、螘	无	蚁	无	2.1051
yimo	一抹	5	C：前有单字，另议	1.4	翼膜、遗墨、靾、异魔、一抹、一摸	翼膜、异魔	无	靾	1.153
yimo	一摸	6	目标缺分，待人工看	缺失	翼膜、遗墨、靾、异魔、一抹、一摸	翼膜、异魔	无	靾	1.4
yimp	一灭	7	目标缺分，待人工看	缺失	遗、勚、遺、勩、已灭、夷灭、一灭	已灭、夷灭	遗、勚	遺、勩	无
yimu	一幕	3	有其他得分更高候选，暂不推荐首选	1.4102	姨母、异母、一幕、一亩	无	无	无	1.863
yimu	一亩	4	有其他得分更高候选，暂不推荐首选	1.4	姨母、异母、一幕、一亩	无	无	无	1.863
yimw	一枚	3	A：有评分依据，优先看首选	1.4	医美、衣袂、一枚	无	无	无	1.387
yina	一拿	3	目标缺分，待人工看	缺失	䫑、已拿、一拿、一捺	已拿	无	䫑	无
yina	一捺	4	目标缺分，待人工看	缺失	䫑、已拿、一拿、一捺	已拿、一拿	无	䫑	无
yinc	一闹	4	目标缺分，待人工看	缺失	医闹、㣻、益脑、一闹	益脑	无	㣻	1.384
yinm	一年	4	有其他得分更高候选，暂不推荐首选	1.9051	意念、亿年、遗念、一年、翌年	亿年、遗念	无	无	2.1676
yino	一诺	2	B：可考虑首选，但前方有词缺分	1.1876	伊诺、一诺	伊诺	无	无	无
yinp	一捏	2	目标缺分，待人工看	缺失	辷、一捏	无	无	辷	无
yinq	一扭	2	目标缺分，待人工看	缺失	䰙、一扭	无	无	䰙	无
yins	一弄	3	目标缺分，待人工看	缺失	刈、益农、一弄	益农	刈	无	无
yinu	一怒	2	有其他得分更高候选，暂不推荐首选	1.0895	易怒、一怒	无	无	无	1.7236
yinv	一女	4	目标缺分，待人工看	缺失	裛、义女、乙女、一女	乙女	裛	无	1.579
yipa	一趴	4	目标缺分，待人工看	缺失	異、帟、䧅、一趴	无	无	異、帟、䧅	无
yipb	一品	3	B：可考虑首选，但前方有词缺分	1.3579	衣品、异频、一品	异频	无	无	1.0677
yipc	一炮	2	A：有评分依据，优先看首选	1.4692	衣袍、一炮	无	无	无	1.1333
yipd	一排	3	有其他得分更高候选，暂不推荐首选	1.4	已派、义拍、一排、一拍、一派	已派	无	无	1.4893
yipd	一拍	4	目标缺分，待人工看	缺失	已派、义拍、一排、一拍、一派	已派	无	无	1.4893
yipd	一派	5	B：可考虑首选，但前方有词缺分	1.6175	已派、义拍、一排、一拍、一派	已派、一拍	无	无	1.4893
yiph	一旁	1	已首选	2.3025	一旁	无	无	无	无
yipi	一批	2	B：可考虑首选，但前方有词缺分	1.437	已批、一批、一匹	已批	无	无	无
yipi	一匹	3	有其他得分更高候选，暂不推荐首选	1.4	已批、一批、一匹	已批	无	无	1.437
yipj	一盘	2	B：可考虑首选，但前方有词缺分	1.0815	原厂配件、一盘、一爿	原厂配件	无	无	无
yipj	一爿	3	目标缺分，待人工看	缺失	原厂配件、一盘、一爿	原厂配件	无	无	1.0815
yipk	一瓶	3	有其他得分更高候选，暂不推荐首选	1.0481	夷平、依凭、一瓶、䰯	无	无	无	1.1722
yipm	一篇	2	有其他得分更高候选，暂不推荐首选	1.4	遗篇、一篇、一片	无	无	无	1.1037
yipm	一片	3	A：有评分依据，优先看首选	1.5412	遗篇、一篇、一片	无	无	无	1.4
yipn	一票	2	C：前有单字，另议	1.0487	奕、一票、畩、䧇、一瓢、一飘	无	奕	无	无
yipn	一瓢	5	目标缺分，待人工看	缺失	奕、一票、畩、䧇、一瓢、一飘	无	奕	畩、䧇	1.0487
yipn	一飘	6	目标缺分，待人工看	缺失	奕、一票、畩、䧇、一瓢、一飘	一瓢	奕	畩、䧇	1.0487
yipo	一破	3	目标缺分，待人工看	缺失	已破、姨婆、一破	已破	无	无	1.7324
yipp	一瞥	1	已首选	1.6952	一瞥、亦、一撇	无	无	无	无
yipp	一撇	3	目标缺分，待人工看	缺失	一瞥、亦、一撇	无	亦	无	1.6952
yiqi	一齐	4	有其他得分更高候选，暂不推荐首选	2.3464	仪器、遗弃、义气、一齐、一起、一气、意气、以期、䝯、貤、暆	无	无	无	2.3882
yiqi	一起	5	A：有评分依据，优先看首选	4.015	仪器、遗弃、义气、一齐、一起、一气、意气、以期、䝯、貤、暆	无	无	无	2.3882
yiqi	一气	6	有其他得分更高候选，暂不推荐首选	1.3027	仪器、遗弃、义气、一齐、一起、一气、意气、以期、䝯、貤、暆	无	无	无	4.015
yiql	一枪	3	B：可考虑首选，但前方有词缺分	1.5432	翼墙、移出群聊、一枪、一腔	移出群聊	无	无	1.0423
yiql	一腔	4	有其他得分更高候选，暂不推荐首选	1.4	翼墙、移出群聊、一枪、一腔	移出群聊	无	无	1.5432
yiqm	一千	3	有其他得分更高候选，暂不推荐首选	2.6634	以前、已签、一千	已签	无	无	3.5252
yiqn	一瞧	3	目标缺分，待人工看	缺失	遗臭千年、曀、一瞧	遗臭千年	无	曀	无
yiqp	一切	2	B：可考虑首选，但前方有词缺分	3.6608	亦且、一切	亦且	无	无	无
yiqq	一球	3	目标缺分，待人工看	缺失	以求、敡、一球	无	无	敡	1.5723
yiqr	一圈	3	B：可考虑首选，但前方有词缺分	1.4867	乙醛、意拳、一圈、一拳	意拳	无	无	1.148
yiqr	一拳	4	目标缺分，待人工看	缺失	乙醛、意拳、一圈、一拳	意拳	无	无	1.4867
yiqu	一曲	4	B：可考虑首选，但前方有词缺分	1.4	已去、移去、永垂青史、一曲、一区、疫区、意趣	已去、移去、永垂青史	无	无	无
yiqu	一区	5	有其他得分更高候选，暂不推荐首选	1.1503	已去、移去、永垂青史、一曲、一区、疫区、意趣	已去、移去、永垂青史	无	无	1.4
yiqy	一群	4	有其他得分更高候选，暂不推荐首选	1.4706	衣裙、蚁群、乙醇汽油、一群、鶍	乙醇汽油	无	无	1.7039
yire	一热	4	目标缺分，待人工看	缺失	䇩、䉗、咦惹、一热	咦惹	无	䇩、䉗	无
yirf	一人	4	有其他得分更高候选，暂不推荐首选	1.1836	艺人、宜人、伊人、一人、怡人	无	无	无	2.4744
yirg	一扔	3	目标缺分，待人工看	缺失	笖、隿、一扔	无	无	笖、隿	无
yiri	一日	2	A：有评分依据，优先看首选	2.3882	翌日、一日、箷	无	无	无	1.728
yiru	一如	4	B：可考虑首选，但前方有词缺分	1.5579	亦如、移入、已入、一如	亦如	无	无	1.5215
yisc	一扫	3	目标缺分，待人工看	缺失	癔、瘱、一扫	无	癔	瘱	无
yise	一色	2	A：有评分依据，优先看首选	1.5387	异色、一色、㡼	无	无	无	1.1217
yisi	一丝	4	有其他得分更高候选，暂不推荐首选	1.4084	意思、疑似、已死、一丝	已死	无	无	3.5634
yiso	一所	3	B：可考虑首选，但前方有词缺分	1.4219	已锁、伊索、一所	已锁	无	无	1.2909
yisr	一算	3	目标缺分，待人工看	缺失	乙酸、蚁酸、一算	无	无	无	1.7105
yisu	一宿	3	目标缺分，待人工看	缺失	移速、医诉、一宿、一肃	医诉	无	无	1.2272
yisu	一肃	4	目标缺分，待人工看	缺失	移速、医诉、一宿、一肃	医诉、一宿	无	无	1.2272
yisv	一岁	3	有其他得分更高候选，暂不推荐首选	1.4	易碎、依随、一岁	无	无	无	1.9008
yitc	一套	5	有其他得分更高候选，暂不推荐首选	1.4893	懿、椅套、易淘、㦤、一套	易淘	懿	㦤	1.5159
yitd	一台	4	有其他得分更高候选，暂不推荐首选	1.5714	仪态、姨太、以太、一台、埶	无	无	无	1.8974
yith	一趟	2	目标缺分，待人工看	缺失	饴糖、一趟、一堂	无	无	无	1.6073
yith	一堂	3	有其他得分更高候选，暂不推荐首选	1.5577	饴糖、一趟、一堂	一趟	无	无	1.6073
