码位	实施规则前	本次修改前	本次修改后	后续变化
yigf	已跟、翼根、一根	已跟、一根、翼根	已跟、翼根、一根	无
yigg	以、䬮、鉯、一更	以、一更、䬮、鉯	以、䬮、鉯、一更	无
yigh	飴、珆、一缸	飴、一缸、珆	飴、珆、一缸	无
yigk	䭞、㺿、一拐	䭞、一拐、㺿	䭞、㺿、一拐	无
yigr	衣冠、医馆、一贯、一罐、釴	衣冠、一贯、一罐、医馆、釴	衣冠、医馆、一贯、一罐、釴	无
yigs	以供、义工、一共	以供、一共、义工	以供、义工、一共	无
yigu	已故、遗孤、原创歌手、摇唇鼓舌、一股	已故、一股、遗孤、原创歌手、摇唇鼓舌	已故、遗孤、原创歌手、摇唇鼓舌、一股	无
yihc	噫、壹号、易耗、一号	噫、一号、壹号、易耗	噫、壹号、易耗、一号	无
yihe	咿、议和、已和、一盒、吚、㖂、沂河	咿、一盒、议和、已和、吚、㖂、沂河	咿、议和、已和、一盒、吚、㖂、沂河	无
yihg	以恒、养成好习惯、一横	以恒、一横、养成好习惯	以恒、养成好习惯、一横	无
yihj	遗憾、已含、一喊	遗憾、一喊、已含	遗憾、已含、一喊	无
yihl	一晃、呓	呓、一晃	一晃、呓	无
yiho	疑惑、抑或、一伙、呭	疑惑、一伙、抑或、呭	疑惑、抑或、一伙、呭	无
yihr	医患、易患、呹、遗患、一环	医患、一环、易患、呹、遗患	医患、易患、呹、遗患、一环	无
yihv	议会、邑、意会、远程会诊、一会、一回、唈	议会、一会、一回、邑、意会、远程会诊、唈	议会、邑、意会、远程会诊、一会、一回、唈	无
yihx	异化、移花、一出好戏、一花	异化、一花、移花、一出好戏	异化、移花、一出好戏、一花	无
yihz	以后、蚁后、一吼	以后、一吼、蚁后	以后、蚁后、一吼	无
yiia	羠、已查、一查	羠、一查、已查	羠、已查、一查	无
yiic	已超、蚁巢、一朝	已超、一朝、蚁巢	已超、蚁巢、一朝	无
yiig	已成、议程、一成、一程、宜城	已成、一成、一程、议程、宜城	已成、议程、一成、一程、宜城	无
yiih	异常、宜昌、一场、议长	异常、一场、宜昌、议长	异常、宜昌、一场、议长	无
yiii	义齿、翼翅、㦾、一尺	义齿、一尺、翼翅、㦾	义齿、翼翅、㦾、一尺	无
yiil	扅、㝖、㞔、一床	扅、一床、㝖、㞔	扅、㝖、㞔、一床	无
yiio	䆿、寱、一戳	䆿、一戳、寱	䆿、寱、一戳	无
yiir	遗传、義、䴊、已传、一串	遗传、一串、義、已传	遗传、義、已传、一串	保留现有字词及非一词相对顺序
yiiu	溢出、益处、移除、一处、衣橱	溢出、一处、益处、移除、衣橱	溢出、益处、移除、一处、衣橱	无
yiiz	乙丑、一抽、㛳、一筹	乙丑、一抽、一筹、㛳	乙丑、一抽、㛳、一筹	无
yijb	衣襟、已近、一斤	衣襟、一斤、已近	衣襟、已近、一斤	无
yiji	以及、遗迹、异己、一级、一击、一集、乙级、艺妓、依纪	以及、一级、一击、一集、遗迹、异己、乙级、艺妓、依纪	以及、遗迹、异己、一级、一击、一集、乙级、艺妓、依纪	无
yijk	已经、意境、易经、一经、繹	已经、一经、意境、易经、繹	已经、意境、易经、一经、繹	无
yijm	意见、已建、一间、一键、䌻、䋚、一件	意见、一键、一间、一件、已建、䌻、䋚	意见、已建、一间、一键、䌻、䋚、一件	无
yijn	移交、衣角、一脚、一角、异教	移交、一角、一脚、一觉、衣角、异教	移交、衣角、一脚、一觉、一角、异教	保留现有字词及非一词相对顺序
yijp	异界、已结、一触就破、一届、一截、硛、一节	异界、一届、一截、一节、已结、一触就破、硛	异界、已结、一触就破、一届、一截、硛、一节	无
yijt	已决、义绝、壹决、一觉、一绝	已决、一绝、义绝、壹决	已决、义绝、壹决、一绝	保留现有字词及非一词相对顺序
yiju	依据、宜居、一局、一举、一句、移居、义举	依据、一局、一举、一句、宜居、移居、义举	依据、宜居、一局、一举、一句、移居、义举	无
yijx	溢价、衣架、一家、一架、议价、意甲	溢价、一家、一架、衣架、议价、意甲	溢价、衣架、一家、一架、议价、意甲	无
yike	亦可、医科、一颗、一棵、一刻、一课	亦可、一刻、一颗、一棵、一课、医科	亦可、医科、一颗、一棵、一刻、一课	无
yikk	一块、巸	巸、一块	一块、巸	无
yikl	钇、㼢、一筐	钇、一筐、㼢	钇、㼢、一筐	无
yikz	衣扣、颐、一口、媐	衣扣、一口、颐、媐	衣扣、颐、一口、媐	无
yila	一场恋爱、㱞、掜、㱲、一拉	一场恋爱、一拉、㱞、掜、㱲	一场恋爱、㱞、掜、㱲、一拉	无
yilb	意林、殔、一凛	意林、一凛、殔	意林、殔、一凛	无
yild	以来、依赖、一来	以来、一来、依赖	以来、依赖、一来	无
yile	揖、怡乐、一乐	揖、一乐、怡乐	揖、怡乐、一乐	无
yili	毅力、屹立、一粒、伊犁、伊利、义利、义理	毅力、一粒、屹立、伊犁、伊利、义利、义理	毅力、屹立、一粒、伊犁、伊利、义利、义理	无
yilj	倚栏、倚阑、远程连接、一览、一栏	倚栏、一览、一栏、倚阑、远程连接	倚栏、倚阑、远程连接、一览、一栏	无
yill	溢出来了、乙、要出来了、一辆、一两、宜良、拸	溢出来了、一两、一辆、乙、要出来了、宜良、拸	溢出来了、乙、要出来了、一辆、一两、宜良、拸	无
yilm	依恋、一脸、一连	依恋、一连、一脸	依恋、一脸、一连	无
yilq	遗留、乙流、预处理器、一流、一绺、一溜	遗留、一流、一绺、一溜、乙流、预处理器	遗留、乙流、预处理器、一流、一绺、一溜	无
yilu	已撸、驿路、一路	已撸、一路、驿路	已撸、驿路、一路	无
yilv	一律、挹、疑虑、衣履、一缕	挹、一律、一缕、疑虑、衣履	一律、挹、疑虑、衣履、一缕	无
yilw	异类、乙类、一类	异类、一类、乙类	异类、乙类、一类	无
yilz	遗漏、倚楼、一楼	遗漏、一楼、倚楼	遗漏、倚楼、一楼	无
yima	姨妈、翌、螠、翼、一码、译码、䩟、䗑、蛦、驿马	姨妈、一码、翌、螠、翼、译码、䩟、䗑、蛦、驿马	姨妈、翌、螠、翼、一码、译码、䩟、䗑、蛦、驿马	无
yimc	衣帽、乙卯、䗷、一毛	衣帽、一毛、乙卯、䗷	衣帽、乙卯、䗷、一毛	无
yimd	已买、义卖、夜长梦多、一脉	已买、一脉、义卖、夜长梦多	已买、义卖、夜长梦多、一脉	无
yimg	沂蒙、遗梦、一梦	沂蒙、一梦、遗梦	沂蒙、遗梦、一梦	无
yimi	乙醚、薏米、一米	乙醚、一米、薏米	乙醚、薏米、一米	无
yimk	艺名、佚名、译名、一名	艺名、一名、佚名、译名	艺名、佚名、译名、一名	无
yimm	以免、意面、一面、蛡	以免、一面、意面、蛡	以免、意面、一面、蛡	无
yimn	蚁、疫苗、一秒、螔、螘	蚁、一秒、疫苗、螔、螘	蚁、疫苗、一秒、螔、螘	无
yimo	翼膜、遗墨、靾、异魔、一抹、一摸	翼膜、一抹、一摸、遗墨、靾、异魔	翼膜、遗墨、靾、异魔、一抹、一摸	无
yimp	遗、勚、遺、勩、已灭、夷灭、一灭	遗、一灭、勚、遺、勩、已灭、夷灭	遗、勚、遺、勩、已灭、夷灭、一灭	无
yimu	姨母、异母、一幕、一亩	姨母、一幕、一亩、异母	姨母、异母、一幕、一亩	无
yimw	医美、衣袂、一枚	医美、一枚、衣袂	医美、衣袂、一枚	无
yina	䫑、䮊、已拿、一拿、一捺	䫑、一拿、一捺、已拿	䫑、已拿、一拿、一捺	保留现有字词及非一词相对顺序
yinc	医闹、㣻、益脑、一闹	医闹、一闹、㣻、益脑	医闹、㣻、益脑、一闹	无
yinm	意念、亿年、遗念、一年、翌年	意念、一年、亿年、遗念、翌年	意念、亿年、遗念、一年、翌年	无
yins	刈、益农、一弄	刈、一弄、益农	刈、益农、一弄	无
yinv	裛、义女、乙女、一女	裛、一女、义女、乙女	裛、义女、乙女、一女	无
yipa	異、帟、䧅、一趴	異、一趴、帟、䧅	異、帟、䧅、一趴	无
yipb	衣品、异频、一品	衣品、一品、异频	衣品、异频、一品	无
yipd	已派、义拍、一排、一拍、一派	已派、一派、一拍、一排、义拍	已派、义拍、一排、一拍、一派	无
yipk	夷平、依凭、一瓶、䰯	夷平、一瓶、依凭、䰯	夷平、依凭、一瓶、䰯	无
yipm	遗篇、一篇、一片	遗篇、一片、一篇	遗篇、一篇、一片	无
yipn	奕、一票、畩、䧇、一瓢、一飘	奕、一票、一瓢、一飘、畩、䧇	奕、一票、畩、䧇、一瓢、一飘	无
yipo	已破、姨婆、一破	已破、一破、姨婆	已破、姨婆、一破	无
yipp	一瞥、亦、一撇	亦、一瞥、一撇	一瞥、亦、一撇	无
yiqi	仪器、遗弃、义气、一齐、一起、一气、意气、以期、䝯、貤、暆	仪器、一起、一齐、一气、遗弃、义气、意气、以期、䝯、貤、暆	仪器、遗弃、义气、一齐、一起、一气、意气、以期、䝯、貤、暆	无
yiql	翼墙、移出群聊、一枪、一腔	翼墙、一枪、一腔、移出群聊	翼墙、移出群聊、一枪、一腔	无
yiqm	以前、已签、一千	以前、一千、已签	以前、已签、一千	无
yiqn	遗臭千年、曀、一瞧	遗臭千年、一瞧、曀	遗臭千年、曀、一瞧	无
yiqq	以求、敡、一球	以求、一球、敡	以求、敡、一球	无
yiqr	乙醛、意拳、鶍、一圈、一拳	乙醛、一圈、一拳、意拳	乙醛、意拳、一圈、一拳	保留现有字词及非一词相对顺序
yiqu	已去、移去、永垂青史、一曲、一区、疫区、意趣	已去、一曲、一区、移去、永垂青史、疫区、意趣	已去、移去、永垂青史、一曲、一区、疫区、意趣	无
yiqy	衣裙、蚁群、乙醇汽油、一群	衣裙、一群、蚁群、乙醇汽油、鶍	衣裙、蚁群、乙醇汽油、一群、鶍	保留现有字词及非一词相对顺序
yire	䇩、䉗、咦惹、一热	䇩、一热、䉗、咦惹	䇩、䉗、咦惹、一热	无
yirf	艺人、宜人、伊人、一人、怡人	艺人、一人、宜人、伊人、怡人	艺人、宜人、伊人、一人、怡人	无
yirg	笖、隿、一扔	笖、一扔、隿	笖、隿、一扔	无
yiru	亦如、移入、已入、一如	亦如、一如、移入、已入	亦如、移入、已入、一如	无
yisc	癔、瘱、一扫	癔、一扫、瘱	癔、瘱、一扫	无
yisi	意思、疑似、已死、一丝	意思、一丝、疑似、已死	意思、疑似、已死、一丝	无
yiso	已锁、伊索、一所	已锁、一所、伊索	已锁、伊索、一所	无
yisr	乙酸、蚁酸、一算	乙酸、一算、蚁酸	乙酸、蚁酸、一算	无
yisu	移速、医诉、一宿、一肃	移速、一宿、一肃、医诉	移速、医诉、一宿、一肃	无
yisv	易碎、依随、一岁	易碎、一岁、依随	易碎、依随、一岁	无
yitc	懿、椅套、易淘、㦤、一套	懿、一套、椅套、易淘、㦤	懿、椅套、易淘、㦤、一套	无
yitd	仪态、姨太、以太、一台、埶	仪态、一台、姨太、以太、埶	仪态、姨太、以太、一台、埶	无
yiti	遗体、议题、异体、一朝天子一朝臣、一体、一屉	遗体、一体、一屉、议题、异体、一朝天子一朝臣	遗体、议题、异体、一朝天子一朝臣、一体、一屉	无
yitj	埸、医坛、一滩、一谈	埸、一滩、一谈、医坛	埸、医坛、一滩、一谈	无
yitk	疑、墿、已听、已停、一听、一厅	疑、一听、一厅、墿、已听、已停	疑、墿、已听、已停、一听、一厅	无
yitm	已填、倚天、一天	已填、一天、倚天	已填、倚天、一天	无
yitn	壹、一条、㙪、一跳	壹、一条、一跳、㙪	壹、一条、㙪、一跳	无
yito	依托、医托、一坨、亄	依托、一坨、医托、亄	依托、医托、一坨、亄	无
yitp	逘、夁、已贴、一帖	逘、一帖、夁、已贴	逘、夁、已贴、一帖	无
yitr	矣、疑团、一团、鷧	矣、一团、疑团	矣、疑团、一团	保留现有字词及非一词相对顺序
yits	异同、异瞳、已同、一同、一通、一统	异同、一同、一通、一统、异瞳、已同	异同、异瞳、已同、一同、一通、一统	无
yitv	圯、已退、一推	圯、一推、已退	圯、已退、一推	无
yitz	已投、一朝天子、一头	已投、一头、一朝天子	已投、一朝天子、一头	无
yiuf	以身、已深、远程施法、一身、一审	以身、一身、一审、已深、远程施法	以身、已深、远程施法、一身、一审	无
yiug	医生、益生、一声、一生	医生、一生、一声、益生	医生、益生、一声、一生	无
yiui	意识、仪式、遗失、一试、一时、医师、衣食、议事、轶事、一世、伊始、义士、衣饰、医士、袘、衪、逸事	意识、一试、一时、一世、仪式、遗失、医师、衣食、议事、轶事、伊始、义士、衣饰、医士、袘、衪、逸事	意识、仪式、遗失、一试、一时、医师、衣食、议事、轶事、一世、伊始、义士、衣饰、医士、袘、衪、逸事	无
yiuj	衣衫、依山、言传身教、延长时间、一闪、一扇	衣衫、一闪、一扇、依山、言传身教、延长时间	衣衫、依山、言传身教、延长时间、一闪、一扇	无
yiul	遗孀、一场胜利、一双、䘸	遗孀、一双、一场胜利、䘸	遗孀、一场胜利、一双、䘸	无
yiuu	艺术、遗书、医术、一束、衤、医书	艺术、一束、遗书、医术、衤、医书	艺术、遗书、医术、一束、衤、医书	无
yiuy	依顺、有偿使用、一瞬、裿	依顺、一瞬、有偿使用、裿	依顺、有偿使用、一瞬、裿	无
yiuz	已售、易手、易受、一首、一手	已售、一首、一手、易手、易受	已售、易手、易受、一首、一手	无
yiva	胰、㹫、獈、膉、已炸、一眨、一扎	胰、一眨、一扎、㹫、獈、膉、已炸	胰、㹫、獈、膉、已炸、一眨、一扎	无
yivc	依照、臆、遗照、一兆、遗诏、一招	依照、一兆、一招、臆、遗照、遗诏	依照、臆、遗照、一兆、遗诏、一招	无
yivf	义诊、疑阵、一帧、一阵	义诊、一帧、一阵、疑阵	义诊、疑阵、一帧、一阵	无
yivg	癔症、议政、一怔、㰝、仪征	癔症、一怔、议政、㰝、仪征	癔症、议政、一怔、㰝、仪征	无
yivh	依仗、倚仗、仪仗、一张	依仗、一张、倚仗、仪仗	依仗、倚仗、仪仗、一张	无
yivi	意志、抑制、已知、一致、一支、一枝、一直、移植、以致、医治、遗址、以至、一只、遗志、益智、意旨、抑止、译制	意志、一直、一致、一支、一枝、一只、抑制、已知、移植、以致、医治、遗址、以至、遗志、益智、意旨、抑止、译制	意志、抑制、已知、一致、一支、一枝、一直、移植、以致、医治、遗址、以至、一只、遗志、益智、意旨、抑止、译制	无
yivj	驿站、翼展、愚蠢至极、一盏、一战	驿站、一盏、一战、翼展、愚蠢至极	驿站、翼展、愚蠢至极、一盏、一战	无
yivl	异状、衣装、阴沉着脸、肊、一幢	异状、一幢、衣装、阴沉着脸、肊	异状、衣装、阴沉着脸、肊、一幢	无
yivs	倚重、异种、意中、一中、一种	倚重、一种、一中、异种、意中	倚重、异种、意中、一中、一种	无
yivu	遗嘱、医嘱、易主、一株、一柱、译注	遗嘱、一株、一柱、医嘱、易主、译注	遗嘱、医嘱、易主、一株、一柱、译注	无
yivy	猗、异常占用、一准、狋	猗、一准、异常占用、狋	猗、异常占用、一准、狋	无
yiwf	疑问、译文、异闻、一问	疑问、一问、译文、异闻	疑问、译文、异闻、一问	无
yiwj	一万、繄、亿万、一晚、一碗、已晚、䃜	繄、一万、一晚、一碗、亿万、已晚、䃜	一万、繄、亿万、一晚、一碗、已晚、䃜	无
yiwo	以我、依我、一窝	以我、一窝、依我	以我、依我、一窝	无
yiww	以为、意味、依偎、运筹帷幄、一味、一位、异味、移位、易位、稦	以为、一味、一位、意味、依偎、运筹帷幄、异味、移位、易位、稦	以为、意味、依偎、运筹帷幄、一味、一位、异味、移位、易位、稦	无
yixb	疑心、异心、一心	疑心、一心、异心	疑心、异心、一心	无
yixi	依稀、以西、一袭、乙烯、议席	依稀、一袭、以西、乙烯、议席	依稀、以西、一袭、乙烯、议席	无
yixk	异性、异形、移行、一行、宜兴、异型、意兴、易行	异性、一行、异形、移行、宜兴、异型、意兴、易行	异性、异形、移行、一行、宜兴、异型、意兴、易行	无
yixl	意向、艺、臆想、一项、一向、异乡、意象、遗像、衣箱、意想、䔟	意向、一向、一项、艺、臆想、异乡、意象、遗像、衣箱、意想、䔟	意向、艺、臆想、一项、一向、异乡、意象、遗像、衣箱、意想、䔟	无
yixm	胰腺、医仙、一线、易县、蘙	胰腺、一线、医仙、易县、蘙	胰腺、医仙、一线、易县、蘙	无
yixn	艾、艺校、已消、䒾、一笑	艾、一笑、艺校、已消、䒾	艾、艺校、已消、䒾、一笑	无
yixp	已写、衣鞋、医械、一血、一写、一些	已写、一血、一写、一些、衣鞋、医械	已写、衣鞋、医械、一血、一写、一些	无
yixr	芅、虉、已选、一选	芅、一选、已选	芅、已选、一选	保留现有字词及非一词相对顺序
yixx	以下、意下、已下、一下	以下、一下、意下、已下	以下、意下、已下、一下	无
yiye	肄业、胰液、一夜、一页	肄业、一夜、一页、胰液	肄业、胰液、一夜、一页	无
yiyh	异样、依样、一唱一和、一样、益阳	异样、一样、依样、一唱一和、益阳	异样、依样、一唱一和、一样、益阳	无
yiyi	意义、异议、又臭又长、一亿、一一、依依、疑义、意译、崺	意义、一亿、一一、异议、又臭又长、依依、疑义、意译、崺	意义、异议、又臭又长、一亿、一一、依依、疑义、意译、崺	无
yiyj	遗言、依言、义眼、一眼、鯣、义演	遗言、一眼、依言、义眼、鯣、义演	遗言、依言、义眼、一眼、鯣、义演	无
yiyk	嶷、译英、嶧、䱌、一应	嶷、一应、译英、嶧、䱌	嶷、译英、嶧、䱌、一应	无
yiyr	医院、意愿、一员、一元、议员、遗愿、议院、译员、沂源、鶂、㠖、嶬、䲑	医院、一元、一员、意愿、议员、遗愿、议院、译员、沂源、㠖、嶬、䲑、鸃	医院、意愿、一员、一元、议员、遗愿、议院、译员、沂源、㠖、嶬、䲑、鸃	保留现有字词及非一词相对顺序
yiyt	已阅、依约、一月、一跃	已阅、一月、一跃、依约	已阅、依约、一月、一跃	无
yiyu	抑郁、易于、已成艺术、一隅、异域、一语、意欲、呓语	抑郁、一隅、一语、易于、已成艺术、异域、意欲、呓语	抑郁、易于、已成艺术、一隅、异域、一语、意欲、呓语	无
yizc	一早、嫕、臆造、嬑、衣藻	嫕、一早、臆造、嬑、衣藻	一早、嫕、臆造、嬑、衣藻	无
yizd	已在、意在、移栽、一再	已在、一再、意在、移栽	已在、意在、移栽、一再	无
yizo	遗作、译作、已做、跇、一座、一作	遗作、一座、一作、译作、已做、跇	遗作、译作、已做、跇、一座、一作	无
yizr	㚤、嬟、一钻	㚤、一钻、嬟	㚤、嬟、一钻	无
yizu	异族、彝族、一族	异族、一族、彝族	异族、彝族、一族	无
yizv	㛕、已醉、一嘴	㛕、一嘴、已醉	㛕、已醉、一嘴	无
yiie	移车、已撤、一车	移车、一车、已撤	移车、已撤、一车	无
yisz	已搜、易搜、一艘	已搜、一艘、易搜	已搜、易搜、一艘	无
yizs	遗踪、医宗、一宗	遗踪、一宗、医宗	遗踪、医宗、一宗	无
