码	守位的字	删掉的词
jmby	睑	缄默不言、缄默不语
jmhv	笺	捡回
jmlp	煎	精美礼品
jmlu	鉴	检录、鸠摩罗什
jmxt	碱	见血
jnap	湫	今年安排
jnel	轿	九牛二虎之力
jngl	矫	较广、叫你过来
jnjt	窖	叫绝、机能减退
jnmp	茭	剿灭、浇灭
jprw	桀	家破人亡
jpss	婕	接送、解送
jttx	噘	具体体现
jubg	剧	据实禀告、及时报告
jubt	居	建设兵团
jumn	苣	绝世美女
junl	飓	几十年来、鉴赏能力
jupt	焗	技术配套
juvt	驹	精神状态
juwr	榉	精神污染
juwt	枸、桔	技术问题
jxmy	荚	巨细靡遗
jxpj	颊	袷袢
jxpy	郏	精心培养
jypy	郡	加以培养
kdvz	忾	扛鼎之作
kejp	窠	可解、柯洁开局不利→柯洁昏招频出→柯洁陷入苦战→柯洁垂死挣扎→柯洁败局已定→柯洁发表获胜感言！
keqt	坷	可却
kjqx	坎	开机启动项
lgwl	楞	里勾外联
licg	痢	里层
lidp	鲤	连吹带捧
lilg	鹂	立睖
limj	莅	良辰美景、黎曼、露出马脚
linp	黎	沴孽
lipg	蠡	力捧
ljlj	览	懒懒、蓝蓝
ljwj	榄	垃圾文件
ljws	婪	理解万岁
lmxq	敛	流氓习气
lovi	骡	罗织
lrtg	鸾	乱腾
lrtp	孪	乱贴
lugj	颅	老鼠过街
lupb	炉	庐山瀑布
lzls	耧	龙子龙孙
matv	骂	马腿
mhme	芒	忙么
mmil	缅	漫漫长路
mmty	呒	明目退翳
mopo	摹	磨破
mubq	睦	马善被人骑
mwbl	昧	冥顽不灵
pgzz	朋	捧走
pibg	劈	平常不过
pidc	裨	劈刀
pita	噼	疲沓
pmbm	扁	盆满钵满
qbjq	寝	琴酒
qidl	祺	驱除鞑虏
qidy	祁	情场得意
qidz	祇	亲传弟子
qihj	颀	气焊
qikg	俟	弃坑
qiri	綦	七日
qirl	琪	枪出如龙
qivl	骐	气壮、倾城之恋
qkzz	氰	请走
qmhx	嵌	铅华
qmmc	芊	前茅
qmuc	钎	前哨、钱少
qmyc	阡	前摇
qnkz	俏	硚口
qqdy	邱	全球第一、千秋大业
qubb	瞿	气势磅礴
qugl	蛐	屈光、趋光、去逛、强势归来
quxs	娶	去雄
rfmb	葚	人民
siti	咝	四蹄、四体
ssfz	诵	琐碎繁杂
svyz	隋	虽有
taso	蹋	他所
tctv	啕	特此通知
tdzy	肽	土地资源、推动作用
tibg	剔	坦诚布公、调查报告
tise	蹄	体色
tits	嚏	体统、提桶
tjbh	昙	碳棒
uexp	畲	蛇蝎
ufmb	葚	是否明白
ugbb	晟	上个版本
ught	嵊	施工合同、神功护体
ugmp	甥	生灭
ugvm	牲	上赶着不是买卖
uhqt	垧	商榷
uibg	虱	审查报告
uibz	屎	生辰八字
uikt	侍	视触叩听
uitx	噬	市场体系
uivt	恃	市场主体
ujdt	鳝	世界地图、神经大条、伤筋动骨一百天
uubb	暑、曙	神神秘秘
uubl	疏	水上芭蕾
uuml	蔬	深山密林
uuwt	树	上述问题
uzbt	售	狮子搏兔
vdjy	寨	翟隽、中等教育
vecg	鹧	这层
vfuc	针	真少
vfwj	桢	珍玩
vibl	咫	职场霸凌
vidz	祗	智斗
viiz	纸	纸抽、之仇
vioo	挚	之欧
viqq	置	只求
viss	趾	直送
vugq	蛀	证书过期
vuhh	竹	逐行、诸神黄昏
vukl	侏	竹筐
vuml	茱	找上门来
vuwl	株	这是为了、只是为了
wfap	汶	无法安排
wjjg	剜	五金加工
wjpv	豌	未经批准
wufx	诬	无视风险
wukr	伍	五款
wutt	唔	五世同堂、我说停停
wutx	巫	外设天下
wuzs	婺	无踪
wwbv	慰	无微不至
wwfs	诿	万物复苏
wwks	偎	唯恐、为空
wwxx	韦	威吓、威吓wwhe、歪歪斜斜
xbua	锌	新沙
xibb	曦	夏虫不可语冰
xigv	蟋	现场观众
xive	牺	系着、吸着
xiwd	皙	戏外
xkvu	悻	许可证书、学科知识
xldu	祥	响度
xlfu	详	相符、享福、降服
xltt	响	心里突突跳
xlwd	橡	向外、想歪
xlwt	饷	心理问题、吓了我一跳
xmap	冼	项目安排
xmbi	弦	闲笔
xmcw	痫	项目财务
xmku	衔	线裤
xmlq	霰	限流、腺瘤
xmrx	羡	项目如下
xmys	限	先用、现用
xnal	潇	喜怒哀乐
xnyq	逍	虚拟语气、虚拟仪器
xpqj	颉	心平气静
xuib	绪	兴衰成败
xutc	吁	絮叨
xuvp	戌	稀世珍品
xxtn	唬	下调、虾条
xxtp	呷	下帖
xydt	鲟	吓一大跳
yaku	伢	压库
yaug	鸦	亚圣
ybss	龈	吟诵
ybyv	隐	言不由衷、言必有中
ychd	舀	要害
ycii	幺	瑶池
ycjp	窈	妖界、窑姐
yebc	晔	业报
yepc	烨	夜跑
yetp	噎	冶铁
yhku	佯、徉	有话快说
yhry	殃	医护人员
yibb	乙	一成不变、宜宾、有仇必报
yihb	屹	异常火爆
yijt	贻	议决、一绝
yimv	薏	一筹莫展
yino	翳	一诺
yipm	彝	一片、遗篇、一篇
yist	裔	一唱三叹、因吹丝厅
yitf	咿	永雏塔菲
yitm	弈	一天、倚天
yitv	邑、噫	已退
yitx	咦	延迟退休
yity	奕	勇闯天涯
yivm	异	远程桌面
yivr	驿	已转
yjff	谚	盐分、颜粉、严加防范
yjfq	延	已经放弃
yjhq	筵	月经后期
yjjs	宴	硬件加速
yjkf	俨	研究开发
yjks	偃	颜控、严控
yjnd	阎	已经拿到
yjvy	恹	一家之言、原教旨主义、也就这样
yjxj	砚	用尽心机
yjzy	胭	抑菌作用
ykmi	萦	影迷
yrjd	冤	毅然决定
yrqp	垣	原切
yrrg	鸳	依然如故
ysap	泳	有所安排
yshv	恿	用回、有所好转
yshz	甬	用后
yskz	俑	用口
ytwy	栎	有头无尾
yubj	昱	与时并进、遇事不决
yubq	禺	意识不清
yubt	尉	有啥不同
yubv	愚	衣衫不整、掩饰不住、以失败告终、一试便知
yucq	迂、盂	远胜从前
yucy	郁	渔村、预存
yufg	谕	御风
yufl	舆	有说服力
yufx	谀	以身犯险
yuht	峪	一时糊涂
yujq	寓	遇救、一手交钱
yula	於	遇剌
yulx	欲	一声令下
yuvq	驭	一身正气、鱼水之情
yuxg	俞	饮食习惯、以身殉国
yuxj	觎	艺术细菌
yuxq	逾	一时兴起、有事相求
yuxv	愈	以身殉职、右手小指
yuyq	隅	有深有浅
yuzd	豫	预载、怨声载道
yuzg	鹬	预增
yuzz	予	以身作则
yzdp	黝、鼬	越俎代庖、油碟
yzkv	悠	有愧
ziai	滋	自爱
zylq	遵	择优录取
