aaaa=2,吖吖
alpk=1,奥林匹克
alpo=1,奥林匹斯
alpy=1,奥林匹亚
alqi=1,按劳取酬
alsj=1,阿拉斯加
aluk=1,阿拉山口
alum=1,阿拉善盟
alww=1,阿里旺旺
amag=1,阿猫阿狗
amah=1,挨门挨户
ambm=2,暧昧不明
ambq=1,暧昧不清
ameh=1,阿米尔汗
amgu=1,安民告示
amkr=1,奥密克戎
amld=1,鞍马劳顿
amly=1,阿米莉亚
amnv=1,爱莫能助
amrz=1,爱民如子
amtq=1,澳门特区
amvh=1,挨门逐户
amvx=1,爱美之心
amwl=1,傲慢无礼
amxl=1,阿莫西林
amxr=1,爱慕虚荣
anan=1,暗暗
anbc=1,安保
anbc=2,暗堡
anbh=1,安邦
anbj=1,案板
anbk=1,按兵
anbk=2,暗病
anbm=1,岸边
anbn=1,岸标
anbv=1,按捺不住
anbw=1,安倍
anch=1,暗藏
ancy=1,暗忖
anda=1,安达
andc=1,暗道
andc=2,按到
andd=3,暗袋
ande=1,安得
ande=2,安德
andh=2,按当
andi=1,暗地
andi=2,安迪
andj=1,黯淡
andj=2,暗淡
andk=1,安定
andm=1,暗点
andm=2,按点
ando=1,安多
andp=1,俺爹
ands=1,按动
ands=2,暗洞
andu=1,安度
andu=2,暗度
andu=3,案牍
andy=1,安顿
andz=1,暗斗
anfa=1,案发
anfa=2,按法
anff=1,安分
anff=2,安份
anfg=1,暗讽
anfh=1,安放
anfh=2,暗访
anfh=3,安防
anfj=1,案犯
anfu=1,安抚
anfu=2,安福
anfz=2,安否
ange=1,暗格
angh=1,鞍钢
ango=1,安国
angr=1,暗管
angv=1,安规
angv=2,暗鬼
angz=1,暗沟
anhc=1,暗号
anhc=2,安好
anhd=1,暗害
anhe=1,暗盒
anhj=1,暗含
anhl=1,暗黄
anhs=1,暗红
anhv=1,安徽
anhv=2,暗灰
anhw=1,暗黑
anhw=2,黯黑
anhx=1,暗话
anhx=2,安化
anhy=1,安魂
ania=1,安插
anic=1,暗潮
anif=1,暗沉
anih=1,案场
anih=2,暗娼
anil=1,暗疮
aniu=1,暗处
aniy=1,鹌鹑
anji=1,暗疾
anji=2,按季
anji=3,安吉
anji=4,氨基
anjk=1,安静
anjk=2,暗井
anjm=1,案件
anjm=2,安检
anjm=3,按键
anjm=4,暗箭
anjm=5,安监
anjn=1,暗礁
anjn=2,暗叫
anjp=1,按揭
anjr=1,案卷
anju=1,安居
anjx=1,安家
anjx=2,俺家
anke=1,安可
ankh=1,安康
ankv=1,暗亏
ankz=1,暗扣
anla=1,安拉
anld=2,俺来
anle=1,安乐
anli=1,案例
anli=2,按理
anli=3,安利
anlj=1,按烂
anlj=2,安澜
anlk=1,按铃
anll=1,按量
anll=2,暗梁
anlm=1,暗恋
anlq=1,暗流
anlv=1,暗绿
anlw=1,按类
anlw=2,暗雷
anma=1,暗骂
anma=2,鞍马
anmb=1,安民
anmd=1,按脉
anmf=1,俺们
anmf=2,暗门
anmj=1,安曼
anmm=1,安眠
anmo=1,按摩
anmo=2,暗魔
anna=1,安娜
anna=2,按捺
annd=2,按耐
anng=1,安能
anni=1,安妮
annj=1,安南
annk=1,安宁
annm=1,按年
annq=1,按钮
annr=2,安暖
anpd=1,安排
anpj=1,暗盘
anpk=1,安平
anpw=1,安培
anqb=1,安寝
anqi=1,暗器
anqi=2,按期
anqk=1,案情
anqk=2,安庆
anqq=1,安丘
anqr=1,安全
anqu=1,俺去
anqu=2,暗渠
anri=1,按日
anrj=1,黯然
anrj=2,安然
anrw=1,安内攘外
anrz=2,按揉
ansd=1,安塞
anse=1,暗色
ansr=1,暗算
ansr=2,氨酸
anta=1,安踏
antd=1,安胎
anth=1,庵堂
antj=1,暗叹
antj=2,暗探
antz=1,岸头
antz=3,案头
anua=1,暗杀
anuc=1,暗哨
anue=1,安设
anuf=1,安神
anuf=2,安身
anug=1,安生
anuh=1,岸上
anuh=2,安上
anui=1,暗示
anui=2,按时
anui=3,暗室
anui=4,安适
anuj=1,鞍山
anul=1,暗爽
anuo=1,按说
anuv=1,安睡
anuv=2,氨水
anuy=1,安顺
anuz=1,案首
anvc=1,按照
anvd=2,安寨
anve=1,按着
anvi=1,安置
anvi=2,案值
anvi=3,暗指
anvj=1,暗战
anvl=1,安装
anvl=2,暗桩
anvo=1,安卓
anvo=2,案桌
anvs=1,暗中
anvs=2,案中
anvu=1,按住
anwf=1,安稳
anwf=2,暗纹
anwh=1,暗网
anww=1,安慰
anww=2,安危
anww=3,傲睨万物
anxb=1,安心
anxi=1,安息
anxi=2,暗喜
anxi=3,安溪
anxi=4,安西
anxl=1,安详
anxl=2,暗香
anxl=3,安享
anxl=4,暗想
anxl=5,暗箱
anxm=1,安闲
anxm=2,暗线
anxn=1,暗笑
anxp=1,安歇
anxu=1,按需
anxu=2,暗许
anxx=1,按下
anya=1,按压
anye=1,暗夜
anyh=1,安阳
anyh=2,安养
anyi=1,安逸
anyj=1,铵盐
anyj=2,胺盐
anyk=1,暗影
anyk=2,安营
anyr=1,安远
anyr=2,案源
anyr=3,安源
anys=1,安永
anys=2,暗涌
anyt=1,按月
anyt=2,暗月
anyt=3,安岳
anyu=1,安于
anyu=2,暗语
anyu=3,暗喻
anyu=4,按语
anyz=2,俺有
anyz=5,案由
anze=2,按责
anzh=1,安葬
anzi=1,案子
anzi=2,暗自
anzo=1,安坐
anzs=1,案宗
aoan=1,傲岸
aoao=1,嗷嗷
aobc=1,敖包
aobd=1,鳌拜
aobj=1,凹版
aobk=1,敖丙
aobk=2,鏖兵
aocc=1,凹槽
aodc=1,熬到
aodi=1,奥迪
aodi=2,凹地
aodk=1,奥丁
aogo=1,熬过
aogu=1,傲骨
aohf=1,凹痕
aohv=1,懊悔
aoiu=1,熬出
aoiu=2,凹处
aojb=1,凹进
aojm=1,傲剑
aojm=2,熬煎
aojn=1,傲娇
aokg=1,凹坑
aoli=1,傲立
aomf=1,澳门
aomi=1,奥秘
aomj=1,傲慢
aomm=1,凹面
aomn=1,奥妙
aonc=1,懊恼
aonq=3,澳牛
aony=1,艾欧尼亚
aoqi=1,傲气
aorf=1,傲人
aorf=2,熬人
aorj=1,傲然
aosd=1,奥赛
aosh=1,懊丧
aote=1,奥特
aoth=1,熬汤
aoto=1,奥拓
aotu=1,凹凸
aotz=1,鳌头
aoui=1,傲视
aoui=2,傲世
aouu=1,奥数
aouu=2,奥术
aovi=1,熬制
aovi=2,螯肢
aovj=1,鏖战
aovu=1,熬煮
aovz=1,澳洲
aovz=2,熬粥
aowa=2,凹洼
aowd=2,澳外
aowh=2,澳网
aowh=3,奥王
aowh=4,獒王
aowu=1,嗷呜
aowu=2,傲物
aoxl=1,翱翔
aoxm=1,凹陷
aoxt=1,傲雪
aoxx=1,凹下
aoxx=2,鳌虾
aoyc=1,熬药
aoye=1,熬夜
aoyi=1,奥义
aoyr=1,澳元
aoyy=1,奥运
aoyz=1,遨游
aozi=1,袄子
aozi=2,凹字
apgz=1,安排工作
apld=1,安贫乐道
apst=1,爱泼斯坦
aqcu=1,安全措施
aqdy=1,安全第一
aqji=1,安全检查
aqkk=1,安全可靠
aqmh=1,鞍前马后
aqrm=1,爱钱如命
aqui=1,安全生产
aqvx=1,安全中心
aqxu=1,安全系数
arlx=1,黯然泪下
arpu=1,安如磐石
artl=1,傲然挺立
artu=1,安如泰山
arus=1,黯然失色
aruu=1,黯然神伤
aruu=2,黯然伤神
arwu=1,安然无事
arwy=1,安然无恙
arxh=1,黯然销魂
aryd=1,爱人以德
aryl=1,傲然屹立
arzr=1,安然自若
asdx=1,傲霜斗雪
asjm=1,爱斯基摩
aspl=1,阿司匹林
asqb=1,暗送秋波
astl=1,阿斯特拉
aswx=1,奥斯维辛
asyg=1,安塞腰鼓
atbp=1,凹凸不平
atsj=1,按图索骥
attx=1,昂头挺胸
atvq=1,安土重迁
atvx=1,奥体中心
atyj=1,哀痛欲绝
atyv=1,凹凸有致
auaj=1,碍手碍脚
aubf=1,安守本分
aukb=1,昂首阔步
aulm=1,安身立命
aulw=1,奥沙利文
auny=1,爱沙尼亚
auqx=1,傲视群雄
aurz=1,安生日子
autq=1,唉声叹气
autx=1,昂首挺胸
auvd=1,安身之地
auvi=1,安身之处
auvl=1,安史之乱
auwi=1,按时完成
avff=1,安知非福
avms=1,暗中摸索
avrs=1,安之若素
avuj=1,安卓手机
avwy=1,安枕无忧
awjw=1,爱屋及乌
awln=1,安危冷暖
awsa=1,爱我所爱
awtr=1,暗无天日
awxy=1,安危相易
awyg=1,安危与共
axcz=1,暗箱操作
axfp=1,按需分配
axjl=1,爱新觉罗
axjx=1,暗下决心
axuy=1,暗香疏影
axwn=1,安享晚年
axym=1,爱惜羽毛
axzz=1,安闲自在
ayfi=1,阿谀奉承
ayfy=1,阿谀逢迎
ayqm=1,碍于情面
ayst=1,爱因斯坦
ayvv=1,安营扎寨
ayxv=1,安于现状
azbd=1,艾滋病毒
azbr=1,艾滋病人
azdy=1,暗自得意
azfm=1,爱憎分明
azkx=1,矮子看戏
aztk=1,阿兹特克
baba=1,爸爸
baba=2,粑粑
baba=3,巴巴
babc=1,八宝
babd=1,八拜
babd=2,八百
babi=1,芭比
babi=2,罢笔
babk=1,把柄
babk=2,罢兵
babn=1,靶标
bacc=1,拔草
bacc=2,扒草
bacd=1,把菜
bacv=3,拔萃
bacy=1,八寸
bada=1,八大
bada=2,吧嗒
badc=1,霸道
badc=2,拔刀
badc=3,霸刀
badh=1,八档
badi=1,巴蒂
badi=2,拔地
badk=1,坝顶
badm=1,八点
badm=2,靶点
badn=1,拔掉
badn=2,拔屌
bado=1,把舵
badr=1,八段
badu=1,八度
badu=2,霸都
bady=1,巴顿
badz=1,八斗
bael=1,北爱尔兰
baff=1,八分
baff=2,八份
bafg=1,把风
bafh=1,八方
baga=1,八嘎
bagc=1,拔高
bage=1,八个
bage=2,八哥
bage=3,巴哥
bagk=1,八怪
bagl=1,扒光
bagl=2,拔光
bagr=1,把关
bagr=2,罢官
bagr=3,拔罐
bags=1,罢工
bagu=1,八股
bagv=3,吧规
bagv=4,八桂
bagx=1,八卦
baha=2,巴哈
bahc=1,八号
bahc=2,把好
bahe=1,拔河
bahe=2,巴赫
bahf=1,疤痕
bahs=2,八红
bahu=1,跋扈
bahv=2,八会
bahv=3,扒灰
baie=1,扒车
baie=2,把车
baig=1,八成
baih=1,靶场
baii=1,把持
baii=2,八尺
bail=1,把床
bair=1,靶船
baiu=1,拔出
baiu=2,拔除
bajb=1,巴金
baji=1,吧唧
baji=2,八级
bajm=1,拔剑
bajm=2,拔尖
bajn=1,芭蕉
bajn=2,八角
bajp=1,巴结
bajp=2,八戒
bajp=3,巴解
bajp=4,拔节
bajp=5,八节
bajq=1,八九
bajq=2,把酒
bajr=1,八卷
bajx=1,八家
bajx=2,把家
bakc=1,罢考
bakd=1,扒开
bake=1,罢课
baks=1,把控
baku=1,巴库
bala=2,扒拉
bala=4,巴拉
balb=1,巴林
balc=1,把牢
bale=1,罢了
bale=2,拔了
bale=3,芭乐
bali=1,巴黎
bali=2,耙犁
bali=3,巴厘
balk=1,霸凌
balk=2,巴陵
ball=1,拔凉
balq=1,八六
bals=2,霸龙
balu=1,八路
balw=1,芭蕾
balz=1,八楼
balz=2,笆篓
bama=1,爸妈
bama=2,巴马
bamc=1,拔毛
bamc=2,拔锚
bamd=1,把脉
bamd=2,八脉
bamf=1,把门
bamf=2,八门
bamg=1,巴盟
bamj=1,霸蛮
bamm=1,罢免
bamm=2,八面
bamw=1,把妹
bamw=2,把每
bana=4,把那
banm=1,八年
bans=1,把弄
banv=1,吧女
bapa=3,耙耙
bapb=1,八品
bapi=1,扒皮
bapo=1,八婆
baqi=1,霸气
baqi=2,八旗
baql=1,拔枪
baql=2,八强
baqm=1,八千
baqn=1,灞桥
baqp=1,扒窃
baqr=1,霸权
baqu=1,八区
baqu=2,拔取
baqy=1,拔群
barf=1,巴人
bari=1,八日
bary=1,办案人员
basa=1,巴萨
basd=1,罢赛
basi=1,拔丝
basj=1,把伞
basv=2,八岁
bata=3,把他
bata=4,把她
bata=5,把它
batd=1,吧台
bate=1,巴特
bath=1,巴塘
bati=1,霸体
batm=1,八天
batm=2,霸天
batp=1,巴铁
batv=1,拔腿
batv=3,把腿
batz=1,把头
baue=1,跋涉
baue=2,拔舌
bauf=1,拔身
bauf=2,八神
bauh=1,坝上
baui=1,巴士
baui=2,罢市
baui=3,八十
baui=4,把式
baui=5,八时
bauj=1,巴山
bauu=1,巴蜀
bauu=2,不谙世事
baux=1,八刷
bauz=1,把手
bauz=2,把守
bauz=3,罢手
bavf=1,八珍
bavf=2,拔针
bavh=1,巴掌
bavi=1,八只
bavi=2,罢职
bavj=1,霸占
bavj=2,把盏
bavo=1,吧桌
bavo=2,拔擢
bavs=1,八种
bavs=2,巴中
bavu=1,霸主
bavu=2,吧主
bavz=1,霸州
bawf=1,把稳
bawh=1,霸王
bawh=2,巴望
bawj=1,八万
bawj=2,把玩
bawo=1,把握
bawu=1,吧务
bawu=2,八五
baxb=1,靶心
baxb=2,把心
baxi=1,巴西
baxi=2,把戏
baxl=1,八项
baxl=2,靶向
baxm=1,八仙
baxq=1,罢休
baxx=1,拔下
baxx=2,八下
baxy=1,八旬
baya=1,拔牙
baye=1,霸业
bayh=2,拔秧
bayi=1,八一
bayi=2,巴以
bayi=3,八亿
bayj=1,巴彦
bayk=1,拔营
bays=1,不安于室
bayt=1,八月
bayu=1,鲅鱼
bayz=1,吧友
bazi=1,靶子
bazi=2,八字
bazi=3,把子
bazi=4,坝子
bbbb=1,彬彬
bbbk=1,不卑不亢
bbbm=1,鬓边
bbbu=1,宾补
bbby=1,褒贬不一
bbcb=1,褒贬参半
bbcu=1,百弊丛生
bbdd=1,斑斑点点
bbdg=1,步步登高
bbdn=1,百般刁难
bbds=1,巴巴多斯
bbdt=1,包办代替
bbdy=5,逼不得已
bbfa=1,鬓发
bbff=1,缤纷
bbff=2,本本分分
bbfu=1,宾服
bbfy=1,不避斧钺
bbgd=1,宝贝疙瘩
bbgo=1,宾果
bbgr=1,宾馆
bbgu=1,髌骨
bbgu=2,步步高升
bbhd=1,滨海
bbhh=2,比比划划
bbhs=1,半壁河山
bbhy=1,包办婚姻
bbig=1,滨城
bbii=1,摈斥
bbir=1,宾川
bbiu=1,摈除
bbiu=2,百病缠身
bbiy=1,百步穿杨
bbjb=1,濒近
bbjj=1,边边角角
bbjj=2,白白净净
bbjl=1,变本加厉
bbjl=2,滨江
bbjn=1,鬓角
bbju=1,比比皆是
bbju=2,半壁江山
bbjv=1,标本兼治
bbjv=2,本报记者
bbjx=2,不避艰险
bbke=1,宾客
bbkm=1,必不可免
bbkq=1,必不可缺
bbku=1,必不可少
bblb=1,濒临
bbli=1,宾利
bbll=3,斑驳陆离
bblm=1,殡殓
bbly=1,毕不了业
bbmc=1,鬓毛
bbmm=1,爸爸妈妈
bbnn=1,白白嫩嫩
bbpg=1,宾朋
bbpp=1,白白胖胖
bbqg=1,彪炳千古
bbqi=1,摈弃
bbqq=1,悲悲戚戚
bbqq=2,悲悲切切
bbrl=1,鞭辟入里
bbsi=1,濒死
bbtp=1,镔铁
bbtt=1,蹦蹦跳跳
bbtt=2,百般挑剔
bbuc=1,彪炳史册
bbuj=1,勃勃生机
bbul=1,鬓霜
bbum=2,不辨菽麦
bbuu=2,颁布实施
bbuy=1,百不失一
bbuz=2,半边身子
bbvd=2,不败之地
bbvi=1,宾至
bbvj=1,八拜之交
bbvm=1,百般折磨
bbvu=1,宾主
bbvw=1,不辨真伪
bbvy=2,不白之冤
bbvy=3,本本主义
bbvz=1,滨州
bbvz=3,宾州
bbwi=1,卑鄙无耻
bbwi=2,卑鄙龌龊
bbwn=2,百般无奈
bbwq=1,碧波万顷
bbww=1,濒危
bbww=2,芭比娃娃
bbwx=1,白璧微瑕
bbwx=2,白璧无瑕
bbwy=1,步步为营
bbwy=2,必败无疑
bbxd=1,拜把兄弟
bbxl=1,傧相
bbxr=1,兵不血刃
bbxr=2,被保险人
bbyf=1,饱饱眼福
bbyh=1,宾阳
bbyi=1,殡仪
bbyi=2,滨医
bbyl=1,彬彬有礼
bbyu=1,濒于
bbyu=2,宾语
bbyv=1,兵不厌诈
bbzh=1,殡葬
bbzs=1,秉笔直书
bbzu=1,悲不自胜
bcan=1,保安
bcan=2,报案
bcan=3,宝安
bcbc=1,宝宝
bcbc=2,抱抱
bcbc=3,彼此彼此
bcbc=4,薄薄
bcbc=5,包包
bcbf=1,保本
bcbi=1,包庇
bcbi=2,暴毙
bcbi=3,薄壁
bcbj=1,包办
bcbj=2,报班
bcbj=3,薄板
bcbk=1,抱病
bcbk=2,薄饼
bcbk=4,薄冰
bcbm=1,褒贬
bcbm=2,包边
bcbn=1,保镖
bcbn=2,报表
bcbn=3,爆表
bcbo=1,鲍勃
bcbo=2,胞波
bcbw=1,宝贝
bcbw=2,报备
bccd=1,包菜
bccd=2,包材
bccg=1,薄层
bccg=2,包层
bcch=1,爆仓
bcch=2,保藏
bcch=3,包藏
bcci=1,褒词
bcci=2,爆词
bccj=1,饱餐
bccj=2,报餐
bcco=1,报错
bccu=1,爆粗
bccv=1,薄脆
bccy=1,保存
bccy=2,包村
bcda=1,报答
bcda=2,暴打
bcdc=1,报道
bcdc=2,报到
bcdc=3,报导
bcdc=4,宝刀
bcdc=5,宝岛
bcdd=1,薄待
bcde=1,报德
bcde=2,包的
bcdg=1,爆灯
bcdi=1,宝地
bcdi=2,保底
bcdi=3,宝坻
bcdj=1,保单
bcdj=2,爆单
bcdj=3,爆弹
bcdk=1,保定
bcdk=2,宝鼎
bcdm=1,宝典
bcdm=2,爆典
bcdm=3,报点
bcdm=4,宝殿
bcdn=1,爆掉
bcdn=2,剥掉
bcdp=1,暴跌
bcdr=1,报端
bcds=1,暴动
bcdu=1,爆肚
bcdu=2,饱读
bcdu=3,报毒
bcdz=1,爆痘
bcdz=2,爆豆
bceb=1,不辞而别
bcee=1,保额
bcee=2,饱饿
bcen=1,报恩
bcer=1,宝儿
bcer=2,鲍尔
bcfa=1,爆发
bcfa=2,暴发
bcfg=1,暴风
bcfg=2,包缝
bcfg=3,宝丰
bcfh=1,包房
bcfh=2,保防
bcfj=1,饱饭
bcfj=2,包饭
bcfo=2,抱佛
bcfu=1,报复
bcfu=2,包袱
bcfu=3,抱负
bcfu=4,暴富
bcfw=1,报废
bcfw=2,保费
bcfy=1,不测风云
bcgc=1,报告
bcgd=1,爆改
bcgd=2,宝盖
bcge=1,饱嗝
bcgh=1,爆缸
bcgh=2,宝钢
bcgh=3,包钢
bcgj=1,爆肝
bcgj=2,包干
bcgl=1,曝光
bcgl=2,宝光
bcgl=3,剥光
bcgm=1,本草纲目
bcgo=1,包裹
bcgo=2,报国
bcgr=1,保管
bcgr=2,报关
bcgr=3,报馆
bcgr=4,包管
bcgs=1,包公
bcgs=2,包工
bcgu=1,包谷
bcgu=2,苞谷
bcgv=1,宝贵
bcgw=1,报给
bcgw=2,包给
bcgz=2,抱够
bchb=1,薄此厚彼
bchc=1,包好
bchc=2,保号
bche=1,饱和
bche=2,宝盒
bche=3,暴喝
bchf=1,抱恨
bchj=1,包含
bchj=2,饱含
bchj=3,包涵
bchj=4,抱憾
bchl=1,保皇
bchr=1,包换
bchs=1,爆红
bchu=1,保护
bchu=2,保户
bchx=1,包藏祸心
bchz=1,薄厚
bchz=2,爆吼
bcic=1,包抄
bcic=2,爆炒
bcid=1,宝钗
bcie=1,包车
bcig=1,报呈
bcih=1,包场
bcih=2,报偿
bcih=3,饱尝
bcih=4,保长
bcii=1,保持
bcii=2,包吃
bcii=3,报吃
bcij=1,包产
bcir=1,宝船
bcir=2,包船
bciu=1,爆出
bciu=2,报出
bciu=3,抱出
bciv=2,爆锤
bciy=1,薄唇
bciy=2,报春
bciz=1,报仇
bciz=2,报酬
bcjb=1,抱紧
