ahqp=2,䀚
bguv=2,䙀
bgws=2,閍
bgxl=3,菶
bgys=3,嵭
bhds=2,謗
bhes=2,艕
bhgs=3,鎊
bhjp=2,綁
bhjs=2,縍
bhml=2,蜯
bhmw=2,䖫
bhna=2,幚
bhos=2,㮄
bhta=1,㙃
bhta=2,幇
bhta=3,幫
bhtm=1,鞤
bhtp=1,垹
bhyw=2,䰷
bian=2,獘
bian=3,奰
bibp=1,湢
bibp=2,滭
bibp=3,㓖
bicc=3,怭
bicp=2,愊
bida=3,䊧
bide=4,詖
biet=2,䣥
bifp=2,偪
biga=1,幤
bigc=2,鉍
bigc=3,飶
bigs=4,鐴
bigt=2,鎞
bihp=3,嗶
biiz=2,躄
bijn=2,䋔
bijp=2,綼
bijp=3,縪
bils=1,㱸
bimc=3,䖩
bimc=4,䩛
binp=2,䬛
binp=3,䮠
binp=4,豍
binp=5,驆
bioo=2,弻
bipa=2,賁
bipa=3,畁
bipn=1,䵄
bipp=2,魓
biqp=1,畢
biqq=3,㪤
biqr=1,鷝
biqs=1,䁹
birp=2,煏
birp=3,熚
birp=4,箄
birp=5,篳
birt=2,笓
birt=3,箆
bisp=2,痺
bist=2,疕
bist=3,疪
bitd=1,粊
bite=2,㿫
bitn=2,䘡
bito=1,枈
bitp=2,鄪
bitp=3,堛
bitt=6,㘩
bitt=7,㙄
biua=2,襣
biup=3,襅
biup=4,禆
bive=3,䏢
bivt=4,䏶
biwa=1,閇
biwc=3,閟
biwt=3,䄶
biwy=2,閉
bixp=7,蓽
bixt=3,萞
biya=2,䫁
biyc=4,鮅
biyp=2,鰏
bizc=1,妼
bizc=2,䟤
bizp=3,䠋
bizp=4,蹕
bizp=5,䟆
bjdl=3,䉽
bjdq=2,粄
bjgl=2,䬳
bjgl=3,鉡
bjjl=3,絆
bjjt=2,䃑
bjlq=2,瓪
bjmp=3,螁
bjrt=2,䈲
bjwh=1,闆
bjyq=4,岅
bjyq=5,魬
bjzl=3,姅
bkbb=3,冫
bkbj=1,㓈
bkcg=4,怲
bkdx=3,誁
bkfa=3,傡
bkfw=3,倂
bkgw=2,餠
bkgx=2,鉼
bkgx=3,餅
bkig=6,寎
bkig=7,窉
bklg=3,抦
bklq=2,㨀
bkmg=2,鞆
bkmw=2,䗒
bkqg=2,眪
bkqg=3,昞
bktx=2,垪
bkxx=2,䔊
bkyx=2,鮩
bmbx=3,㴜
bmbx=4,㳎
bmgx=2,鍽
bmgx=3,㺹
bmil=2,甂
bmix=3,窆
bmjn=3,缏
bmjn=4,緶
bmjx=5,編
bmmm=1,釆
bmpq=2,変
bmqn=2,䁵
bmqx=4,貶
bmrp=2,籩
bmrs=1,䉸
bmsp=2,辺
bmss=4,辡
bmta=2,䪻
bmux=2,徧
bmva=2,獱
bmvx=3,猵
bmwx=3,稨
bmwx=4,閞
bmxx=3,藊
bmxx=4,䒪
bmye=2,㣐
bmyn=2,鯾
bmyx=3,峅
bmyx=4,鯿
bnbn=2,淲
bndy=3,謤
bner=2,㶾
bner=3,䙳
bner=4,爂
bngr=2,鑣
bnjy=2,磦
bnnn=2,猋
bnnn=3,飇
bnnv=2,颮
bnny=3,驃
bnoy=2,標
bnoy=3,㯹
bnrr=3,灬
bnty=2,墂
bnuy=3,褾
bnvr=1,臕
bnys=2,㠒
bnyy=3,㟽
bnyy=4,鰾
boaa=2,帗
bocn=2,㹀
bofa=3,仢
bojn=4,䊿
bojy=2,礡
boll=2,癶
boma=1,瓝
bopp=2,郣
boqs=2,剝
bore=2,箥
bory=2,煿
bory=3,簙
boss=2,䂍
boua=2,䯋
boua=3,袚
bout=2,襏
bovo=1,䑈
bovy=2,狛
bovy=3,猼
bovy=4,胉
boxp=2,蔔
boxp=3,葧
boxy=2,苩
boxy=3,萡
boya=4,鮁
boyy=2,䶈
boza=2,䟛
bozh=2,䞳
bphs=2,別
bplj=2,䋢
bpma=1,蛂
bpua=3,䘷
bpvc=1,䏟
bpwa=1,䭱
buap=2,勏
buba=1,㳍
budq=2,誧
budq=3,䊇
buee=1,䑰
bufa=6,佈
buge=2,歩
buge=3,㻉
bugh=1,餢
buha=2,咘
buha=3,吥
bujq=3,䋠
buka=2,钸
bula=1,抪
bule=2,捗
bulo=2,㨐
bumi=1,䪁
bunh=1,䬏
buni=2,轐
buph=1,䴺
buqq=3,䀯
buqq=4,䝵
buqr=3,鵏
buqt=3,喸
buse=2,㾟
buty=2,㙛
buvh=3,䏽
buza=1,㚴
buzh=1,䍌
bwbn=1,㶔
bwce=2,牬
bwdn=2,誖
bwfc=2,憊
bwhp=2,㗗
bwlv=2,揹
bwma=2,蛽
bwna=1,盃
bwna=2,䩀
bwnp=2,鄁
bwnp=3,軰
bwnp=4,輩
bwoa=2,梖
bwoh=2,桮
bwpc=1,愂
bwqp=4,郥
bwso=1,㾱
bwue=2,骳
bwuv=2,禙
bwxh=3,䔒
bwxt=1,苝
bwxt=2,藣
bwya=2,䰽
bwyr=3,鵯
bwza=1,㛝
bwza=2,䟺
caly=2,攃
ccan=2,䒑
cceq=2,䏆
cclc=2,撡
ccnq=2,曺
ccwa=1,艸
ccxx=2,艹
cdjm=3,䌽
cdjm=4,綵
cdjr=2,纔
cdjy=4,縩
cdlm=2,採
cdme=2,毝
cdnm=2,䰂
cdqy=1,財
cdtm=2,埰
cdze=2,跴
cdze=3,䟀
cdzm=2,婇
cdzo=1,䠕
cdzy=2,䞗
cebs=2,測
cecs=2,惻
cefs=2,側
cess=2,厠
cess=3,廁
cgaq=2,竲
cgaq=3,曽
cgqq=2,䁬
cgqq=3,㬝
chbk=1,㵴
chbk=2,㶓
chfh=2,傖
chgr=3,鶬
chmh=3,螥
chyh=1,嵢
cibc=2,濨
cibc=3,餈
cibr=2,䳐
cibt=2,垐
cicg=2,䨏
cidh=2,詞
cigc=2,飺
cigg=2,䧳
cigl=1,珁
cigr=2,䳄
cigr=3,鮆
cigr=4,鴜
cigt=3,㘹
ciir=2,䲿
cijt=1,䂣
cilo=1,㩞
cimc=1,䗹
cinc=2,㤵
cing=2,䯸
cipm=3,蛓
cips=2,㓨
cist=2,庛
cits=2,辝
ciue=1,髊
cixp=2,茦
ciyt=2,皉
cizc=3,嬨
cize=2,趀
cjbc=3,湌
cjbc=4,飡
cjbd=4,澯
cjce=3,慘
cjcy=3,慚
cjhc=1,喰
cjle=2,摻
cjle=3,㣓
cjlr=3,䱗
cjlr=4,殘
cjlv=1,㱚
cjlz=1,㛑
cjnm=4,䗞
cjnm=5,䘉
cjnm=6,蝅
cjnm=7,蠶
cjnm=8,蠺
cjnq=2,朁
cjre=2,篸
cjre=3,黲
cjte=2,參
cjtn=1,叄
cjwe=2,穇
cjzo=2,嬠
coae=2,鹺
coee=3,醝
cogs=1,剉
coie=2,㿷
cojt=2,䂳
coxp=1,遳
coxt=2,蔖
coye=2,䑘
coye=3,嵳
coza=2,躦
crer=2,㸑
crgo=2,鑹
crrt=2,簒
csaa=2,囪
csbc=1,漗
csbg=2,潀
cscc=2,憁
csdy=2,誴
csec=2,聡
csec=3,聦
csec=4,聰
csgc=2,鍯
csmc=1,䗓
csmc=2,蟌
csrc=2,焧
csrc=3,䈡
csxc=2,䓗
csxc=3,蔥
csza=2,㜡
cucd=2,憱
cudz=2,䛤
cugq=2,䥄
cugq=3,䥘
cujg=2,縬
cusr=2,瘯
cuuz=2,䙯
cuuz=3,蹵
cuvp=3,脨
cuyz=2,䟟
cvbg=4,凗
cvbp=2,㳃
cvbp=3,㵏
cvbp=4,濢
cvcp=2,忰
cvdp=2,粋
cvgg=2,鏙
cvjn=3,縗
cvmp=2,翆
cvsp=2,疩
cvuq=2,襊
cvvv=2,脃
cvyg=2,皠
cvyg=3,嶉
cvzg=2,㜠
cvzg=3,趡
cyby=3,澊
cyhy=2,吋
cyln=1,拵
cyys=1,刌
czbn=2,湊
daan=4,龖
daan=5,龘
dabn=3,汏
dadn=3,詚
dage=4,㿯
dagh=3,鎝
dahp=2,噠
dahp=3,迚
dahy=3,咑
dajp=9,繨
dajp=10,䃮
dalh=4,撘
dalm=3,㩉
damp=2,蟽
damp=3,韃
dane=2,㿴
dank=2,羍
danp=2,迖
danp=3,迏
darn=3,䵣
dash=2,㾑
dath=3,㙮
datp=3,墶
datp=4,逹
datp=5,達
dave=3,䐛
dawh=3,匒
daxp=4,薘
daxs=3,剳
dayh=4,㟷
dazp=2,躂
dcay=2,導
dcay=3,軇
dcba=4,盜
dcdy=3,䊭
dcgr=5,瓙
dcgs=3,釖
dclr=2,㨶
dcly=4,搗
dcly=5,擣
dcnm=3,翢
dcph=2,䧂
dcss=2,刂
dctm=2,翿
dcuh=4,禂
dcuy=2,衜
dcuy=3,衟
dcuy=4,禱
dcxs=2,菿
dcyr=2,嶋
dcyr=3,嶌
dcys=4,魛
dcyy=4,嶹
ddba=2,瀻
dden=2,䲦
dder=2,鴏
ddfa=3,帒
ddfa=4,貸
ddfn=2,㐲
ddfn=3,侢
ddgp=2,瑇
ddjh=2,紿
ddnh=1,軩
ddnn=4,軑
ddnn=5,軚
ddqp=2,曃
ddrm=2,甙
ddua=2,襶
ddvr=2,黱
ddwa=2,䚞
ddxa=2,帯
ddxa=3,帶
ddxr=2,䒫
ddyr=2,鮘
degy=2,鍀
deuc=2,徳
dflt=2,扥
dgan=2,竳
dgen=1,艠
dggn=2,鐙
dgln=3,豋
dgls=2,㔁
dgng=3,朩
dgxn=2,䔲
dgxy=4,䒭
dgzn=2,嬁
dhba=2,盪
dhbg=3,璗
dhcj=2,愓
dhcj=3,雼
dhdp=2,譡
dhdr=1,讜
dhjj=2,碭
dhjp=2,礑
dhlp=2,擋
dhrj=4,簜
dhtn=1,圵
dhup=2,襠
dhwj=2,䦒
dhxj=4,蕩
dhyh=2,嵣
dhyj=1,䑗
diba=3,渧
dibg=4,滌
dibt=2,坔
dida=5,諦
didg=2,䊮
didk=2,詆
diee=1,䑭
diee=2,聜
difa=1,偙
difa=2,僀
difa=3,俤
diga=3,珶
digg=2,䨀
digg=3,糴
digo=3,鉪
digz=2,鏑
dihr=2,唙
dija=4,締
dijp=4,磾
dijp=5,䂡
dikp=2,䢑
dila=2,摕
dilk=6,掋
dilo=3,梊
dilp=3,拞
dima=3,螮
dima=4,靮
dimj=2,䩘
dimk=4,䩚
dina=2,馰
dinj=1,鬄
dinr=2,䯼
diok=2,弤
diok=3,㭽
dion=2,枤
dipa=1,頔
dipk=3,䧑
dipk=4,隄
dipk=5,阺
dipp=2,廸
diqa=2,眱
diqa=3,旳
diqk=3,㫝
diqy=2,䀿
dira=2,焍
dira=3,䵠
dirp=2,篴
disk=3,厎
ditk=5,埞
ditz=3,墑
diua=3,祶
diuk=2,袛
diuk=3,彽
dixa=3,蔕
dixc=3,慸
dixk=3,菧
dixp=2,遰
dixp=3,苖
dixp=4,藡
diya=4,䶍
diyk=2,鯳
diyt=2,埊
diyt=3,嶳
dizk=2,趆
dizz=4,啇
djaa=2,帎
djaa=3,頕
djaa=4,躭
djap=2,単
djbc=4,澸
djbn=1,泹
djcp=2,憚
djcp=3,䨵
djda=3,㐤
djdp=3,誕
djen=2,耼
djfn=2,伔
djgv=3,玬
djho=1,啿
djhy=2,㗖
djhy=3,啗
djhy=4,嚪
djil=1,瓭
djiy=2,窞
djja=2,紞
djjd=2,䃫
djjn=3,繵
djjv=3,砃
djla=3,抌
djld=2,擔
djlp=3,撢
djlp=4,撣
djlp=5,殫
djqp=2,贉
djqr=2,䳉
djqr=3,鴠
djra=2,黕
djro=2,黮
djsn=2,㡺
djua=3,褝
djua=4,衴
djud=3,䄡
djup=3,襌
djup=4,禫
djvd=2,膽
djvn=4,狚
djvr=2,腅
djxy=2,蓞
djzo=1,媅
dkba=3,㴿
dkbo=1,濎
dkcy=1,忊
dkdy=4,訂
dkek=2,聢
dkgk=1,錠
dkgo=2,鐤
dkgy=2,釘
dkgy=3,飣
dkjn=3,磸
dkjy=1,矴
dkjy=2,碠
dkmk=2,蝊
dkpy=2,䦺
dkqy=2,㫀
dkuy=1,㣔
dkya=1,嵿
dkya=2,頂
dman=2,奌
dmer=2,㸃
dmfa=2,傎
dmhh=1,嚸
dmit=2,壂
dmnp=2,驔
dmta=1,顚
dmva=2,猠
dmya=3,嵮
dmya=4,巓
dmya=5,巔
dmzh=2,䍄
dmzh=3,跕
dnda=2,訋
dndh=2,調
dnfa=2,伄
dngh=1,琱
dnia=2,屌
dnir=2,窵
dnjp=2,䂽
dnns=1,㓮
dnon=2,弴
dnvh=2,㹦
dnya=1,魡
dnyh=3,鼦
dnyh=4,鮉
dnyh=5,鯛
doao=2,躱
dobk=1,凙
docv=2,憜
dogk=1,鐸
dogo=2,䤪
dogo=3,㻧
dogv=2,䤻
doho=2,㖼
dohy=3,嚉
dojn=3,缍
dojn=4,綞
dola=2,䫂
dolo=2,挅
dolo=3,挆
dony=2,奪
dopo=1,尮
dopt=2,墮
doql=1,夛
doqm=1,毲
doqq=1,敪
doqq=2,敠
doqr=2,鵽
dotc=1,㙐
doto=2,垜
doua=2,㣞
douv=1,䙃
dovs=3,刴
dozo=3,㛆
dozo=4,㛊
dozo=5,跥
dozo=6,趓
dpdo=2,諜
dpdr=1,詄
dper=1,䳀
dpjy=2,絰
dple=1,挕
dplo=2,揲
dplo=3,殜
dpma=2,蜨
dpno=2,牃
dppm=2,㲲
dppm=3,氎
dppq=2,疉
dppy=2,耊
dppy=3,臷
dpqr=2,眣
dpqt=2,曡
dpqy=1,眰
dprp=2,㷸
dpya=2,嵽
dpyo=2,鰈
dpzr=2,趃
drgc=1,鍴
drgt=2,鍛
drjt=3,毈
drjt=4,緞
drjt=5,碫
drjy=1,㫁
drjy=2,斷
drlt=2,㱭
drry=2,籪
druc=3,褍
drxt=2,葮
dryc=2,㟨
drzc=2,媏
drzo=2,䠪
dsbh=2,㓊
dsbm=2,湩
dsch=4,霘
dsda=2,諌
dsfa=2,倲
dsha=2,㖦
dsia=2,䍶
dsjh=2,絧
dsnp=2,䰤
dsnr=2,鶇
dsqa=2,昸
dsra=2,笗
dsra=3,氭
dsth=2,䞒
dstm=3,墥
dsva=1,腖
dsxm=4,蕫
dsya=2,崠
dsya=3,崬
dsya=4,鯟
dsya=5,鮗
duan=2,裻
duaq=2,帾
duba=3,瀆
duba=4,涜
duba=5,凟
duda=3,讀
duda=4,読
dudd=2,讟
duie=2,㞘
dujq=4,䀾
dula=2,殰
duma=3,韇
dumm=2,䪅
duna=1,牘
dunm=2,䮷
dunr=4,騳
duqq=5,賭
durr=2,篤
dute=2,皾
duum=2,䙱
duvm=2,獨
duwq=3,闍
duwt=2,秺
duxp=3,䓯
duxt=3,荰
dvaa=2,兌
dvaa=3,兊
dvan=2,䇏
dvay=2,対
dvba=2,瀩
dvdy=3,譵
dvjp=3,䂙
dvjp=4,磓
dvln=1,㨃
dvna=1,䬈
dvpg=2,陮
dvqy=3,㬣
dvta=1,㙂
dvue=2,䯟
dvuy=2,襨
dvxy=3,薱
dvya=2,㟋
dvyg=2,嵟
dygo=2,鈍
dyjq=3,碷
dymq=3,䪃
dytp=1,逇
dyuj=3,䃦
dyul=2,撉
dyvq=2,獤
dyzq=2,踲
dzan=2,饾
dzap=2,斣
dzap=3,鬦
dzdn=4,䛠
dzht=2,吺
dzhz=1,唗
dznm=1,毭
dznp=2,郖
dznp=3,㪷
dzpp=2,阧
dzsn=2,㢄
dzxl=1,䕆
dzxn=2,荳
dzya=3,兠
eebo=1,湂
eede=1,䛖
eedh=1,讍
eedo=2,諤
eedt=2,訛
eeev=2,䝈
eegh=2,鑩
eego=3,齶
eego=4,鍔
eegv=3,鈪
eehc=3,噁
eehl=2,呝
eeho=1,㗁
eeho=2,咢
eehp=2,卾
eehp=3,䣞
eehp=4,遌
eehp=5,遻
eehr=2,鶚
eehz=2,咹
eeil=2,戹
eejl=1,砨
eejp=1,磀
eejq=1,砐
eejy=2,䋪
eemn=1,䩹
eemr=2,䳬
eenl=2,軶
eenm=2,蝁
eenp=1,迗
eenv=2,軛
eeqr=2,睋
eexo=2,蕚
eexr=2,䕏
eeyo=3,㟧
eeyo=4,㠋
eeyo=5,鰐
eeyr=2,皒
eeyr=3,峩
eeys=1,屵
eezh=2,䞩
eezy=2,妸
eraa=2,児
erae=2,衈
erdc=2,粫
erdc=3,䎠
eree=2,䣵
erfa=1,㒃
erge=4,鉺
erge=5,餌
erha=2,唲
erhc=2,㖇
erlc=2,㧫
ernn=2,爾
ernn=3,弐
erpc=3,隭
eruc=1,袻
ervc=2,胹
erve=2,䏪
erxn=1,薾
erya=2,兒
eryc=3,峏
eryc=4,鮞
erze=2,㛅
faas=2,罰
fabt=2,灋
faer=1,䣹
fagt=2,鍅
fagt=3,琺
falo=2,発
farr=3,笩
fatj=1,䂲
fatr=2,㘺
fawr=2,彂
fawr=3,閥
faxr=1,茷
faxt=2,蕟
ffam=2,蚠
ffas=2,帉
ffas=3,竕
ffas=4,躮
ffba=2,濆
ffcs=1,㸮
ffcs=2,㤋
ffcs=3,雰
ffda=4,糞
ffdc=4,㥹
ffds=2,訜
fffa=3,僨
ffgs=3,鈖
ffhs=5,哛
ffia=3,羵
ffjq=3,㬟
ffjs=2,紛
ffms=2,蚡
ffnp=3,奮
ffor=2,燓
ffor=3,㷊
ffos=2,枌
ffos=3,梤
ffta=2,墳
ffvs=3,朌
ffxs=3,蒶
ffya=2,鱝
ffys=3,岎
ffys=4,魵
ffzs=2,妢
fgbn=2,灃
fgbr=2,㵯
fgbr=3,馮
fgby=3,湗
fgdm=2,諷
fgfw=2,仹
fgjl=2,甮
fgjm=2,碸
fgjp=3,縫
fglw=2,捀
fgnm=2,風
fgnq=3,凬
fgnr=1,鳯
fgnr=2,鳳
fgnr=3,鴌
fgpn=1,麷
fgqm=3,蠭
fgrv=2,焨
fgry=2,篈
fgtc=2,犎
fgtm=3,堸
fgtz=3,㜂
fgxm=6,飌
fgxn=1,蘴
fgyn=2,㠦
fgyn=3,豐
fgyw=2,峯
fgzw=2,㛔
fgzw=3,妦
fgzx=2,䟪
fhcs=2,㤃
fhds=4,訪
fhes=2,䲱
fhfg=3,㑂
fhgs=2,鈁
fhgs=3,錺
fhhs=2,㕫
fhjr=1,鶭
fhjs=2,紡
fhls=1,㧍
fhqs=2,眆
fhqs=3,昘
fhsp=2,䢍
fhsr=1,鴋
fhww=4,匚
fhys=2,魴
fhys=3,鰟
fhzs=4,趽
fjan=4,㠶
fjan=5,凣
fjba=2,䀀
fjba=3,盕
fjbj=3,瀿
fjbm=3,渢
fjbx=3,㴀
fjdn=1,訉
fjdp=2,䊩
fjdp=3,籵
fjdz=2,奿
fjfj=5,䋣
fjfj=6,䌓
fjfj=7,緐
fjgp=2,鐇
fjjp=2,繙
fjjp=3,䋦
fjll=2,㼝
fjma=1,飜
fjmp=3,勫
fjmr=2,鷭
fjnm=1,颿
fjnn=2,䭵
fjnn=3,軓
fjon=3,杋
fjoo=2,棥
fjqq=1,販
fjqt=1,䀟
fjrp=2,籓
fjrp=3,䉒
fjrp=4,䉊
fjtp=2,軬
fjvv=4,䐪
fjxp=2,䕰
fjxx=3,䒦
fjzp=3,嬏
fjzp=4,㛯
fjzr=2,婏
fjzw=2,嬎
foft=2,仏
fuaa=2,乀
fuak=2,釡
fuan=4,罦
fubz=2,㜑
fucg=2,㤔
fuda=3,訃
fudn=3,粰
fudp=1,諨
fuep=2,䒄
fuep=3,䒇
fuep=4,甶
fueq=4,豧
fufa=3,偩
fufn=3,伕
fufq=2,俌
fugc=4,怤
fugg=3,鉜
fugn=5,鈇
fugv=3,玸
fugz=2,姇
fuhn=3,哹
fuhr=1,嘸
fuip=2,冨
fuja=2,紱
fujg=3,紨
fujg=4,䂤
fujn=5,絥
fujn=6,綍
fujn=7,綒
fujq=2,緮
fujt=2,紼
fujt=3,砩
fujy=4,縛
fulg=3,捬
fulq=1,㩤
fulr=2,撨
fulr=3,撫
fuma=2,蝜
fuma=3,翇
fumg=1,蚹
fumm=3,㲗
fumn=5,蚥
fumq=2,蜅
fumy=2,䗄
fumy=3,䎔
fung=1,䮛
fung=2,駙
funn=2,颫
funn=3,䡍
funn=4,䭸
funs=4,䭻
fuon=2,枎
fuon=3,栿
fuoy=2,峊
fupg=2,陚
fupn=2,畉
fupn=3,麩
fupn=4,䴸
fuql=3,乶
fuqn=2,㫙
fuqp=1,郙
fuqy=1,尃
fuqy=2,賻
furt=2,炥
furt=3,笰
fusg=4,㾈
fusr=1,焤
futg=1,坿
futn=2,垘
futs=2,刜
fuug=3,袝
fuug=4,祔
fuui=9,襆
fuui=10,襥
fuun=2,衭
fuun=3,䘠
fuun=4,䃿
fuup=2,褔
fuuq=3,複
fuuq=4,復
fuuy=3,禣
fuvg=3,胕
fuvq=4,㚆
fuvr=2,鵩
fuwa=3,䫝
fuwh=2,䦣
fuwn=3,䄮
fuwq=4,秿
fuwq=5,稪
fuxa=3,萯
fuxn=6,荴
fuxp=3,䔰
fuxp=4,䕎
fuxp=5,葍
fuxq=5,蕧
fuyg=2,鮒
fuyn=2,㟊
fuyn=3,鮲
fuyn=4,䱐
fuyq=2,鳆
fuyq=3,㠅
fuyq=4,鰒
fuyt=3,岪
fuyt=4,鮄
fuza=3,䟔
fuza=4,婦
fuza=5,媍
fuza=6,䞜
fuzh=1,䞸
fuzn=2,䟮
fuzn=3,妋
fuzn=4,娐
fuzn=5,䞯
fuzs=2,㓡
fuzw=2,嬔
fwba=1,㵒
fwbg=2,濷
fwbn=3,渄
fwcn=4,㥱
fwdn=3,誹
fwgn=2,䤵
fwin=3,屝
fwjn=3,緋
fwma=3,蟦
fwna=2,騛
fwnc=1,㹃
fwnc=2,餥
fwnm=3,䩁
fwnm=4,靟
fwnn=3,騑
fwnn=4,猆
fwnn=5,奜
fwnv=1,䨽
fwny=3,胐
fwpn=2,陫
fwqn=2,㫵
fwqn=3,暃
fwqt=2,昲
fwrv=2,䈈
fwsn=2,䨾
fwsn=3,厞
fwso=2,廃
fwtp=2,㔗
fwvt=2,胇
fwwn=2,馡
fwxt=3,䕠
fwxv=2,萉
fwyn=3,鼣
fwyn=4,鯡
gahr=2,嘠
gapa=2,魀
gcbh=2,㵆
gcbp=2,滜
gcch=2,吿
gccp=2,勂
gccp=3,㤒
gcdh=3,誥
gcgh=2,鋯
gcgr=3,餻
gcir=2,羙
gcjh=2,縞
gcop=2,韟
gcop=3,槹
gcop=4,橰
gcth=4,鼛
gcuh=3,祮
gcuh=4,祰
gcuh=5,禞
gcuo=1,槀
gcvh=2,髙
gcxo=2,菒
gcyh=4,峼
gcyp=2,皐
gcyp=3,臯
gcyr=4,鷎
gcyr=5,鷱
gdba=3,漑
gdco=2,㮣
gdco=3,槩
gddg=2,該
gdgo=3,鈣
gdjv=3,絠
gdll=3,㧉
gdoa=2,槪
gdpg=2,畡
gdpl=3,阣
gdpn=1,隑
gdqg=3,䀭
gdqg=4,賅
gdux=2,祴
gdvr=2,䏗
gdwo=1,匄
gdww=2,匃
gdxa=2,葢
gdxa=3,蓋
gdyg=4,峐
gdzg=2,姟
geaq=2,㠷
gebw=2,㵧
geby=2,滒
gecy=2,牱
gedm=1,諽
gedn=2,䛿
gedy=1,謌
geey=2,鴚
gefh=2,佮
gegy=2,鎶
geil=1,搿
gelq=2,挌
gelq=3,擱
gemh=2,鞈
gemq=2,蛒
genm=2,鞷
genw=1,輵
genw=2,轕
genw=3,騔
geoq=2,櫊
geqq=2,敋
gerh=2,戓
gesr=1,㷴
gevl=1,犵
gevl=2,肐
gewh=2,閤
gewh=3,匌
gewq=2,閣
gewq=3,觡
geyh=2,鮯
geyr=3,戨
ggel=2,䎴
ggin=2,羮
ggjb=3,絚
ggjb=4,緪
ggjn=2,綆
ggjn=3,䋁
ggjn=4,縆
ggjq=3,䌄
ggln=1,挭
ggnq=2,㪅
ggns=1,刯
ggvg=2,㹹
ggxn=2,莄
ggyb=2,䱍
ggyb=3,䱭
ggyn=2,峺
ggyn=3,䱎
ggyn=4,䱴
ggyn=5,鯁
ghdc=3,戅
ghgy=2,鋼
ghjy=2,綱
ghly=2,掆
ghry=2,焵
ghse=1,疘
ghvl=1,㼚
ghwn=2,罓
ghws=2,剛
ghyg=2,㟵
ghyy=2,㟠
