汉字	完整拆分	首根	末根
橎	木 ＋ 釆 ＋ 田	木	田
蠜	木 ＋ 㐅 ＋ 㐅 ＋ 木 ＋ 大 ＋ 虫	木	虫
鐢	木 ＋ 㐅 ＋ 㐅 ＋ 木 ＋ 金	木	金
杋	木 ＋ 凡	木	凡
棥	木 ＋ 㐅 ＋ 㐅 ＋ 木	木	木
奿	丸 ＋ 女	丸	女
旙	方 ＋ 釆 ＋ 田	方	田
旛	方 ＋ 𠂉 ＋ 釆 ＋ 田	方	田
膰	月 ＋ 釆 ＋ 田	月	田
仏	亻 ＋ 厶	亻	厶
仸	亻 ＋ 撇 ＋ 大	亻	大
梻	木 ＋ 亻 ＋ 弗	木	弗
坲	土 ＋ 弗	土	弗
哹	口 ＋ 爫 ＋ 子	口	子
咈	口 ＋ 弗	口	弗
嘸	口 ＋ 𠂉 ＋ 卌 ＋ 一 ＋ 灬	口	灬
媍	女 ＋ ⺈ ＋ 目 ＋ 八	女	八
妋	女 ＋ 夫	女	夫
娐	女 ＋ 爫 ＋ 子	女	子
邚	女 ＋ 阝	女	阝
釡	八 ＋ 金	八	金
詂	言 ＋ 付	言	付
嬔	女 ＋ 兔 ＋ 生	女	生
畉	田 ＋ 夫	田	夫
艀	舟 ＋ 爫 ＋ 子	舟	子
鳆	鱼 ＋ 𠂉 ＋ 日 ＋ 夂	鱼	夂
炥	火 ＋ 弗	火	弗
衭	衤 ＋ 夫	衤	夫
襥	衤 ＋ 亻 ＋ 业 ＋ 养字头	衤	养字头
筟	⺮ ＋ 爫 ＋ 子	⺮	子
箙	⺮ ＋ 月 ＋ 卩 ＋ 又	⺮	又
袝	衤 ＋ 付	衤	付
澓	氵 ＋ 彳 ＋ 𠂉 ＋ 日 ＋ 夂	氵	夂
邞	夫 ＋ 阝	夫	阝
泭	氵 ＋ 付	氵	付
葍	艹 ＋ 一 ＋ 口 ＋ 田	艹	田
蕧	艹 ＋ 彳 ＋ 𠂉 ＋ 日 ＋ 夂	艹	夂
冨	冖 ＋ 一 ＋ 口 ＋ 田	冖	田
癁	疒 ＋ 彳 ＋ 𠂉 ＋ 日 ＋ 夂	疒	夂
痡	疒 ＋ 甫	疒	甫
蚹	虫 ＋ 付	虫	付
蚥	虫 ＋ 八 ＋ 㐅	虫	㐅
蜅	虫 ＋ 甫	虫	甫
鍢	全字头 ＋ 金字底 ＋ 一 ＋ 口 ＋ 田	全字头	田
鈇	全字头 ＋ 金字底 ＋ 夫	全字头	夫
鍑	全字头 ＋ 金字底 ＋ 𠂉 ＋ 日 ＋ 夂	全字头	夂
竎	立 ＋ 廾	立	廾
焤	广 ＋ 付 ＋ 火	广	火
岪	山 ＋ 弗	山	弗
捊	扌 ＋ 爫 ＋ 子	扌	子
撨	扌 ＋ 隹 ＋ 灬	扌	灬
輔	車 ＋ 甫	車	甫
鬴	一 ＋ 口 ＋ 冂 ＋ 丷 ＋ 一 ＋ 丨 ＋ 甫	一	甫
姇	付 ＋ 女	付	女
刜	弗 ＋ 刂	弗	刂
纀	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 亻 ＋ 业 ＋ 养字头	幺	养字头
絥	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 亻 ＋ 犬	幺	犬
覄	覀 ＋ 亻 ＋ 犬	覀	犬
綍	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 十 ＋ 冖 ＋ 子	幺	子
綒	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 爫 ＋ 子	幺	子
緮	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 𠂉 ＋ 日 ＋ 夂	幺	夂
弣	弓 ＋ 付	弓	付
鴔	撇 ＋ 之 ＋ 鳥	撇	鳥
虙	卜 ＋ 厂 ＋ 七 ＋ 必	卜	必
膚	卜 ＋ 厂 ＋ 七 ＋ 田 ＋ ⺝	卜	⺝
偩	亻 ＋ ⺈ ＋ 目 ＋ 八	亻	八
冹	冫 ＋ 𠂇 ＋ 又 ＋ 丶	冫	丶
俛	亻 ＋ 免	亻	免
祔	礻 ＋ 付	礻	付
鮲	魚 ＋ 亻 ＋ 犬	魚	犬
鰒	魚 ＋ 𠂉 ＋ 日 ＋ 夂	魚	夂
翇	习 ＋ 习 ＋ 𠂇 ＋ 又 ＋ 丶	习	丶
枎	木 ＋ 夫	木	夫
椱	木 ＋ 𠂉 ＋ 日 ＋ 夂	木	夂
乶	甫 ＋ 乙	甫	乙
椨	木 ＋ 广 ＋ 付	木	付
懯	甫 ＋ 方 ＋ 攵 ＋ 心	甫	心
甶	丿 ＋ 田	丿	田
蛗	𠂤 ＋ 虫	𠂤	虫
鵩	月 ＋ 卩 ＋ 又 ＋ 鳥	月	鳥
垘	土 ＋ 亻 ＋ 犬	土	犬
璷	王 ＋ 甫 ＋ 方 ＋ 攵	王	攵
婔	女 ＋ 非	女	非
誹	言 ＋ 非	言	非
裶	衤 ＋ 非	衤	非
渄	氵 ＋ 非	氵	非
蕜	艹 ＋ 非 ＋ 心	艹	心
鼣	臼 ＋ 折 ＋ 冬字底 ＋ 折 ＋ 冬字底 ＋ 折 ＋ 犬	臼	犬
屝	尸 ＋ 非	尸	非
陫	阝 ＋ 非	阝	非
廃	广 ＋ 癶 ＋ 一 ＋ 𠂇 ＋ 折	广	折
厞	厂 ＋ 非	厂	非
騛	馬 ＋ 飞 ＋ 撇 ＋ 丿 ＋ 飞 ＋ 丨	馬	丨
飝	飞 ＋ 撇 ＋ 丿 ＋ 飞 ＋ 丨 ＋ 飞 ＋ 撇 ＋ 丿 ＋ 飞 ＋ 丨 ＋ 飞 ＋ 撇 ＋ 丿 ＋ 飞 ＋ 丨	飞	丨
曊	日 ＋ 弗 ＋ 目 ＋ 八	日	八
昲	日 ＋ 弗	日	弗
暃	日 ＋ 非	日	非
俷	亻 ＋ 月 ＋ 巴	亻	巴
靅	⻗ ＋ 二 ＋ 厶 ＋ 弗 ＋ 目 ＋ 八	⻗	八
櫠	木 ＋ 广 ＋ 癶 ＋ 弓 ＋ 殳	木	殳
婓	非 ＋ 女	非	女
靟	非 ＋ 毛	非	毛
餥	非 ＋ 食	非	食
胏	月 ＋ 撇 ＋ 折 ＋ 丨 ＋ 丿	月	丿
缻	缶 ＋ 一 ＋ 折 ＋ 乙 ＋ 丶	缶	丶
缹	缶 ＋ 灬	缶	灬
裦	亠 ＋ 印左 ＋ 矛 ＋ 𧘇	亠	𧘇
鴀	不 ＋ 鳥	不	鳥
紑	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 不	幺	不
雬	⻗ ＋ 木	⻗	木
魀	鬼 ＋ 全字头 ＋ 乔字底	鬼	乔字底
錷	全字头 ＋ 金字底 ＋ 車 ＋ 折	全字头	折
菒	艹 ＋ 果	艹	果
獋	犭 ＋ 自 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	犭	十
勂	⺧ ＋ 口 ＋ 力	⺧	力
稁	亠 ＋ 口 ＋ 冖 ＋ 禾	亠	禾
鷎	白 ＋ 大 ＋ 十 ＋ 鳥	白	鳥
鷱	自 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十 ＋ 鳥	自	鳥
峼	山 ＋ ⺧ ＋ 口	山	口
櫜	囊字头 ＋ 夂 ＋ 卜 ＋ 口 ＋ 木	囊字头	木
羙	𦍌 ＋ 火	𦍌	火
縞	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 亠 ＋ 口 ＋ 冂 ＋ 口	幺	口
韟	折 ＋ 丨 ＋ 一 ＋ 口 ＋ 㐄 ＋ 白 ＋ 大 ＋ 十	折	十
夰	大 ＋ 乔字底	大	乔字底
祮	礻 ＋ 士 ＋ 口	礻	口
祰	礻 ＋ ⺧ ＋ 口	礻	口
槹	木 ＋ 白 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	木	十
檺	木 ＋ 亠 ＋ 口 ＋ 冖 ＋ 豕	木	豕
鼛	士 ＋ 口 ＋ 丷 ＋ 一 ＋ 支 ＋ 夂 ＋ 卜 ＋ 口	士	口
姟	女 ＋ 亥	女	亥
畡	田 ＋ 亥	田	亥
漑	氵 ＋ 白 ＋ 比左 ＋ 一 ＋ 折 ＋ 儿	氵	儿
葢	艹 ＋ 太 ＋ 皿	艹	皿
蓋	艹 ＋ 土 ＋ 厶 ＋ 皿	艹	皿
賌	亥 ＋ 目 ＋ 八	亥	八
郂	亥 ＋ 阝	亥	阝
阣	阝 ＋ 𠂉 ＋ 乙	阝	乙
乢	山 ＋ 折	山	折
忋	忄 ＋ 己	忄	己
侅	亻 ＋ 亥	亻	亥
祴	礻 ＋ 戈 ＋ 廾	礻	廾
豥	豕 ＋ 亥	豕	亥
杚	木 ＋ 𠂉 ＋ 乙	木	乙
槪	木 ＋ 白 ＋ 比左 ＋ 一 ＋ 折 ＋ 儿	木	儿
匄	勹 ＋ 亡	勹	亡
瓂	王 ＋ 艹 ＋ 土 ＋ 厶 ＋ 皿	王	皿
嗰	口 ＋ 亻 ＋ 囗 ＋ 十 ＋ 口	口	口
詥	言 ＋ 全字头 ＋ 一 ＋ 口	言	口
箇	⺮ ＋ 囗 ＋ 十 ＋ 口	⺮	口
滒	氵 ＋ 可 ＋ 可	氵	可
鴐	力 ＋ 口 ＋ 鳥	力	鳥
犵	犭 ＋ 𠂉 ＋ 乙	犭	乙
蛒	虫 ＋ 各	虫	各
牱	牜 ＋ 可	牜	可
鎶	全字头 ＋ 金字底 ＋ 可 ＋ 可	全字头	可
鎘	全字头 ＋ 金字底 ＋ 一 ＋ 口 ＋ 冂 ＋ 丷 ＋ 一 ＋ 丨	全字头	丨
戨	可 ＋ 可 ＋ 戈	可	戈
韐	折 ＋ 丨 ＋ 一 ＋ 口 ＋ 㐄 ＋ 全字头 ＋ 一 ＋ 口	折	口
彁	弓 ＋ 可 ＋ 可	弓	可
韚	折 ＋ 丨 ＋ 一 ＋ 口 ＋ 㐄 ＋ 革	折	革
呄	乃 ＋ 十 ＋ 口	乃	口
愅	忄 ＋ 革	忄	革
戓	戈 ＋ 口	戈	口
鮯	魚 ＋ 全字头 ＋ 一 ＋ 口	魚	口
觡	⺈ ＋ 用 ＋ 各	⺈	各
鮥	魚 ＋ 各	魚	各
櫊	木 ＋ 門 ＋ 各	木	各
匌	勹 ＋ 全字头 ＋ 一 ＋ 口	勹	口
鴚	鳥 ＋ 可	鳥	可
臈	月 ＋ 艹 ＋ 日 ＋ 匃	月	匃
揯	扌 ＋ 忄 ＋ 一 ＋ 丨 ＋ 折 ＋ 氵	扌	氵
搄	扌 ＋ 忄 ＋ 一 ＋ 日 ＋ 一	扌	一
骾	骨 ＋ 一 ＋ 日 ＋ 㐅	骨	㐅
焿	火 ＋ 广 ＋ 争字底 ＋ 人	火	人
菮	艹 ＋ 广 ＋ 争字底 ＋ 人	艹	人
莄	艹 ＋ 一 ＋ 日 ＋ 㐅	艹	㐅
峺	山 ＋ 一 ＋ 日 ＋ 㐅	山	㐅
刯	一 ＋ 日 ＋ 一 ＋ 刂	一	刂
挭	扌 ＋ 一 ＋ 日 ＋ 㐅	扌	㐅
絚	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 一 ＋ 丨 ＋ 折 ＋ 氵	幺	氵
椩	木 ＋ 广 ＋ 争字底 ＋ 人	木	人
堩	土 ＋ 忄 ＋ 一 ＋ 丨 ＋ 折 ＋ 氵	土	氵
焵	火 ＋ 冂 ＋ 丷 ＋ 一 ＋ 山	火	山
焹	火 ＋ 冂 ＋ 丷 ＋ 一 ＋ 亡	火	亡
罁	缶 ＋ 冂 ＋ 丷 ＋ 一 ＋ 山	缶	山
鎠	全字头 ＋ 金字底 ＋ 罒 ＋ 正	全字头	正
牨	牜 ＋ 亠 ＋ 几	牜	几
犅	牜 ＋ 冂 ＋ 丷 ＋ 一 ＋ 山	牜	山
戅	音 ＋ 十 ＋ 工 ＋ 目 ＋ 八 ＋ 心	音	心
掆	扌 ＋ 冂 ＋ 丷 ＋ 一 ＋ 山	扌	山
罓	贝字框 ＋ 㐅	贝字框	㐅
堈	土 ＋ 冂 ＋ 丷 ＋ 一 ＋ 山	土	山
魐	鬼 ＋ 兼	鬼	兼
骭	骨 ＋ 干	骨	干
詌	言 ＋ 甘	言	甘
粓	米 ＋ 甘	米	甘
簳	⺮ ＋ 十 ＋ 日 ＋ 十 ＋ 全字头 ＋ 干	⺮	干
衦	衤 ＋ 干	衤	干
灨	氵 ＋ 音 ＋ 十 ＋ 夂 ＋ 工 ＋ 目 ＋ 八	氵	八
漧	氵 ＋ 十 ＋ 日 ＋ 十 ＋ 𠂉 ＋ 乙	氵	乙
尲	𠂇 ＋ 折 ＋ 兼	𠂇	兼
迀	干 ＋ 辶	干	辶
尶	兀 ＋ 臣 ＋ 𠂉 ＋ 丶 ＋ 皿	兀	皿
皯	皮 ＋ 干	皮	干
忓	忄 ＋ 干	忄	干
仠	亻 ＋ 干	亻	干
佄	亻 ＋ 甘	亻	甘
凎	冫 ＋ 金	冫	金
倝	十 ＋ 日 ＋ 十 ＋ 人	十	人
乹	十 ＋ 日 ＋ 十 ＋ 折	十	折
亁	十 ＋ 日 ＋ 干 ＋ 𠂉 ＋ 乙	十	乙
鰔	魚 ＋ 戊 ＋ 一 ＋ 口	魚	口
檊	木 ＋ 十 ＋ 日 ＋ 十 ＋ 全字头 ＋ 干	木	干
趕	走 ＋ 日 ＋ 干	走	干
叏	折 ＋ 支	折	支
姯	女 ＋ ⺌ ＋ 兀	女	兀
灮	火 ＋ 儿	火	儿
炛	火 ＋ 亻 ＋ 𠤎	火	𠤎
茪	艹 ＋ ⺌ ＋ 兀	艹	兀
炗	廿 ＋ 火	廿	火
銧	全字头 ＋ 金字底 ＋ ⺌ ＋ 兀	全字头	兀
広	广 ＋ 厶	广	厶
撗	扌 ＋ 龷 ＋ 由 ＋ 八	扌	八
挄	扌 ＋ ⺌ ＋ 兀	扌	兀
輄	車 ＋ ⺌ ＋ 兀	車	兀
炚	日 ＋ 火	日	火
硄	石 ＋ ⺌ ＋ 兀	石	兀
侊	亻 ＋ ⺌ ＋ 兀	亻	兀
欟	木 ＋ 艹 ＋ 口 ＋ 口 ＋ 隹 ＋ 目 ＋ 儿	木	儿
趪	走 ＋ 龷 ＋ 由 ＋ 八	走	八
啯	口 ＋ 囗 ＋ 玉	口	玉
簂	⺮ ＋ 囗 ＋ 戈 ＋ 口 ＋ 一	⺮	一
渦	氵 ＋ 贝字框 ＋ 折 ＋ 冂 ＋ 口	氵	口
蔮	艹 ＋ 囗 ＋ 戈 ＋ 口 ＋ 一	艹	一
瘑	疒 ＋ 贝字框 ＋ 折 ＋ 冂 ＋ 口	疒	口
鈛	全字头 ＋ 金字底 ＋ 戈	全字头	戈
矌	目 ＋ 广 ＋ 龷 ＋ 由 ＋ 八	目	八
聝	耳 ＋ 戈 ＋ 口 ＋ 一	耳	一
彉	弓 ＋ 龷 ＋ 由 ＋ 八	弓	八
彍	弓 ＋ 广 ＋ 龷 ＋ 由 ＋ 八	弓	八
綶	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 果	幺	果
褁	果 ＋ 𧘇	果	𧘇
惈	忄 ＋ 果	忄	果
囻	囗 ＋ 民	囗	民
圀	囗 ＋ 八 ＋ 方	囗	方
囶	囗 ＋ 八 ＋ 土	囗	土
膕	月 ＋ 囗 ＋ 戈 ＋ 口 ＋ 一	月	一
罆	缶 ＋ 毌 ＋ 目 ＋ 八	缶	八
雚	艹 ＋ 口 ＋ 口 ＋ 隹	艹	隹
痯	疒 ＋ 宀 ＋ 㠯	疒	㠯
悹	宀 ＋ 㠯 ＋ 心	宀	心
瘝	疒 ＋ 罒 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 丶 ＋ 丶	疒	丶
錧	全字头 ＋ 金字底 ＋ 宀 ＋ 㠯	全字头	㠯
矔	目 ＋ 艹 ＋ 口 ＋ 口 ＋ 隹	目	隹
輨	車 ＋ 宀 ＋ 㠯	車	㠯
遦	毌 ＋ 目 ＋ 八 ＋ 辶	毌	辶
泴	水 ＋ 皿	水	皿
卝	丨 ＋ 一 ＋ ⺊	丨	⺊
悺	忄 ＋ 宀 ＋ 㠯	忄	㠯
礶	石 ＋ 艹 ＋ 口 ＋ 口 ＋ 隹	石	隹
鱞	魚 ＋ 罒 ＋ 一 ＋ 口 ＋ 𧘇	魚	𧘇
鱹	魚 ＋ 艹 ＋ 口 ＋ 口 ＋ 隹	魚	隹
樌	木 ＋ 毌 ＋ 目 ＋ 八	木	八
嗊	口 ＋ 工 ＋ 目 ＋ 八	口	八
幊	巾 ＋ 工 ＋ 目 ＋ 八	巾	八
熕	火 ＋ 工 ＋ 目 ＋ 八	火	八
渱	氵 ＋ 虫 ＋ 工	氵	工
拲	龷 ＋ 八 ＋ 手	龷	手
莻	艹 ＋ 乃 ＋ 口 ＋ 匕	艹	匕
宮	宀 ＋ 口 ＋ 丿 ＋ 囗	宀	囗
輁	車 ＋ 龷 ＋ 八	車	八
髸	一 ＋ ⺊ ＋ 二 ＋ 厶 ＋ 彡 ＋ 龷 ＋ 八	一	八
糼	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 力	幺	力
碽	石 ＋ 工 ＋ 目 ＋ 八	石	八
羾	习 ＋ 习 ＋ 工	习	工
杛	木 ＋ 弓	木	弓
匑	勹 ＋ 身 ＋ 弓	勹	弓
唃	口 ＋ ⺈ ＋ 用	口	用
啒	口 ＋ 尸 ＋ 凵 ＋ 山	口	山
唂	口 ＋ 八 ＋ 全字头 ＋ 口	口	口
嫴	女 ＋ 十 ＋ 口 ＋ 辛	女	辛
詁	言 ＋ 十 ＋ 口	言	口
笟	⺮ ＋ 瓜	⺮	瓜
箛	⺮ ＋ 子 ＋ 瓜	⺮	瓜
淈	氵 ＋ 尸 ＋ 凵 ＋ 山	氵	山
薣	艹 ＋ 士 ＋ 口 ＋ 丷 ＋ 一 ＋ 支	艹	支
尳	𠂇 ＋ 折 ＋ 骨	𠂇	骨
稒	禾 ＋ 囗 ＋ 十 ＋ 口	禾	口
蛌	虫 ＋ 瓜	虫	瓜
錮	全字头 ＋ 金字底 ＋ 囗 ＋ 十 ＋ 口	全字头	口
離	亠 ＋ 㐅 ＋ 凵 ＋ 禸 ＋ 隹	亠	隹
崓	山 ＋ 囗 ＋ 十 ＋ 口	山	口
夃	乃 ＋ 又	乃	又
愲	忄 ＋ 骨	忄	骨
傦	亻 ＋ 骨	亻	骨
凅	冫 ＋ 囗 ＋ 十 ＋ 口	冫	口
祻	礻 ＋ 囗 ＋ 十 ＋ 口	礻	口
榾	木 ＋ 骨	木	骨
棝	木 ＋ 囗 ＋ 十 ＋ 口	木	口
柧	木 ＋ 瓜	木	瓜
脵	月 ＋ 口 ＋ 天	月	天
皼	士 ＋ 冖 ＋ 一 ＋ 口 ＋ 丷 ＋ 一 ＋ 皮	士	皮
鼔	士 ＋ 口 ＋ 丷 ＋ 一 ＋ 攴	士	攴
媯	女 ＋ 丶 ＋ 丿 ＋ 折 ＋ 折 ＋ 折 ＋ 灬	女	灬
襘	衤 ＋ 全字头 ＋ 一 ＋ 囗 ＋ ⺌ ＋ 日	衤	日
嫢	夫 ＋ 目 ＋ 儿 ＋ 女	夫	女
鬹	夫 ＋ 目 ＋ 儿 ＋ 一 ＋ 口 ＋ 冂 ＋ 丷 ＋ 一 ＋ 丨	夫	丨
湀	氵 ＋ 癶 ＋ 天	氵	天
椝	夫 ＋ 见 ＋ 木	夫	木
蘬	艹 ＋ 𠂤 ＋ 止 ＋ 彐 ＋ 冖 ＋ 巾	艹	巾
蓕	艹 ＋ 木 ＋ 土 ＋ 土	艹	土
猤	犭 ＋ 癶 ＋ 天	犭	天
螝	虫 ＋ 鬼	虫	鬼
蛫	虫 ＋ ⺈ ＋ 厂 ＋ 㔾	虫	㔾
蟡	虫 ＋ 爫 ＋ 丿 ＋ 折 ＋ 折 ＋ 折 ＋ 灬	虫	灬
鐀	全字头 ＋ 金字底 ＋ 𠀐 ＋ 目 ＋ 八	全字头	八
攱	立 ＋ 支	立	支
瞶	目 ＋ 𠀐 ＋ 目 ＋ 八	目	八
陒	阝 ＋ ⺈ ＋ 厂 ＋ 㔾	阝	㔾
瞡	目 ＋ 夫 ＋ 目 ＋ 儿	目	儿
厬	厂 ＋ 日 ＋ 夂 ＋ 卜 ＋ 口	厂	口
騩	馬 ＋ 鬼	馬	鬼
撌	扌 ＋ 𠀐 ＋ 目 ＋ 八	扌	八
摫	扌 ＋ 夫 ＋ 目 ＋ 儿	扌	儿
帰	师字旁 ＋ 彐 ＋ 冖 ＋ 巾	师字旁	巾
恑	忄 ＋ ⺈ ＋ 厂 ＋ 㔾	忄	㔾
攰	支 ＋ 力	支	力
祪	礻 ＋ ⺈ ＋ 厂 ＋ 㔾	礻	㔾
亀	⺈ ＋ 日 ＋ 电	⺈	电
鱥	魚 ＋ 止 ＋ 厂 ＋ 一 ＋ 丨 ＋ 丿 ＋ 丿 ＋ 折 ＋ 撇 ＋ 丶	魚	丶
觤	⺈ ＋ 用 ＋ ⺈ ＋ 厂 ＋ 㔾	⺈	㔾
鮭	魚 ＋ 土 ＋ 土	魚	土
椢	木 ＋ 囗 ＋ 玉	木	玉
槣	木 ＋ 宀 ＋ 大 ＋ 可	木	可
槶	木 ＋ 囗 ＋ 戈 ＋ 口 ＋ 一	木	一
櫷	木 ＋ 龜	木	龜
朹	木 ＋ 九	木	九
檜	木 ＋ 全字头 ＋ 一 ＋ 囗 ＋ ⺌ ＋ 日	木	日
胿	月 ＋ 土 ＋ 土	月	土
叧	口 ＋ 刀	口	刀
啩	口 ＋ 土 ＋ 土 ＋ 卜	口	卜
煱	火 ＋ 贝字框 ＋ 折 ＋ 冂 ＋ 口	火	口
焻	火 ＋ 日 ＋ 日	火	日
劀	矛 ＋ 冂 ＋ 八 ＋ 口 ＋ 刂	矛	刂
騧	馬 ＋ 贝字框 ＋ 折 ＋ 冂 ＋ 口	馬	口
緺	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 贝字框 ＋ 折 ＋ 冂 ＋ 口	幺	口
冎	贝字框 ＋ 折 ＋ 冂	贝字框	冂
趏	走 ＋ 千 ＋ 口	走	口
謴	言 ＋ 毌 ＋ 目 ＋ 八	言	八
裷	衤 ＋ 龹 ＋ 㔾	衤	㔾
蓘	艹 ＋ 亠 ＋ 八 ＋ 厶 ＋ 𧘇	艹	𧘇
緷	幺 ＋ 丶 ＋ 丶 ＋ 丶 ＋ 冖 ＋ 車	幺	車
惃	忄 ＋ 日 ＋ 比左 ＋ 匕	忄	匕
璭	王 ＋ 冖 ＋ 車 ＋ 辶	王	辶
訽	言 ＋ 勹 ＋ 口	言	口
煹	火 ＋ 𠀎 ＋ 冂 ＋ 土	火	土
袧	衤 ＋ 勹 ＋ 口	衤	口
簼	⺮ ＋ 扌 ＋ 𠀎 ＋ 冂 ＋ 土	⺮	土
褠	衤 ＋ 𠀎 ＋ 冂 ＋ 土	衤	土
茩	艹 ＋ 𠂆 ＋ 一 ＋ 口	艹	口
蚼	虫 ＋ 勹 ＋ 口	虫	口
鈎	全字头 ＋ 金字底 ＋ 勹 ＋ 厶	全字头	厶
搆	扌 ＋ 𠀎 ＋ 冂 ＋ 土	扌	土
豿	豸 ＋ 勹 ＋ 口	豸	口
鴝	勹 ＋ 口 ＋ 鳥	勹	鳥
夠	夕 ＋ 夕 ＋ 勹 ＋ 口	夕	口
傋	亻 ＋ 𠀎 ＋ 冂 ＋ 土	亻	土
撀	士 ＋ 尸 ＋ 丨 ＋ 殳 ＋ 手	士	手
坸	土 ＋ 勹 ＋ 口	土	口
玽	王 ＋ 勹 ＋ 口	王	口
蝦	虫 ＋ 折 ＋ 一 ＋ ⺊ ＋ 一 ＋ 折 ＋ 一 ＋ 又	虫	又
噑	口 ＋ 白 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	口	十
諕	言 ＋ 卜 ＋ 厂 ＋ 七 ＋ 几	言	几
譹	言 ＋ 亠 ＋ 口 ＋ 冖 ＋ 豕	言	豕
澔	氵 ＋ 白 ＋ ⺧ ＋ 口	氵	口
藃	艹 ＋ 亠 ＋ 口 ＋ 冂 ＋ 口 ＋ ⺈ ＋ 人	艹	人
薧	艹 ＋ 亠 ＋ 口 ＋ 冖 ＋ 歹 ＋ 匕	艹	匕
茠	艹 ＋ 亻 ＋ 木	艹	木
獆	犭 ＋ 白 ＋ 大 ＋ 十	犭	十
獔	犭 ＋ 白 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	犭	十
虠	亠 ＋ 八 ＋ 㐅 ＋ 卜 ＋ 厂 ＋ 七 ＋ 几	亠	几
竓	立 ＋ 毛	立	毛
皡	白 ＋ 白 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	白	十
皥	白 ＋ 自 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	白	十
聕	耳 ＋ ⺧ ＋ 口	耳	口
晧	日 ＋ ⺧ ＋ 口	日	口
昦	日 ＋ 大 ＋ 乔字底	日	乔字底
暤	日 ＋ 白 ＋ 大 ＋ 十	日	十
暭	日 ＋ 白 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	日	十
曍	日 ＋ 自 ＋ 冫 ＋ 撇 ＋ 点 ＋ 十	日	十
傐	亻 ＋ 亠 ＋ 口 ＋ 冂 ＋ 口	亻	口
儫	亻 ＋ 亠 ＋ 口 ＋ 冖 ＋ 豕	亻	豕
鰝	魚 ＋ 亠 ＋ 口 ＋ 冂 ＋ 口	魚	口
椃	木 ＋ 卜 ＋ 厂 ＋ 七 ＋ 几	木	几
嚡	口 ＋ 革 ＋ 土 ＋ 土	口	土
妎	女 ＋ 全字头 ＋ 乔字底	女	乔字底
塰	氵 ＋ 𠂉 ＋ 母 ＋ 土	氵	土
餀	全字头 ＋ 丶 ＋ 即字旁 ＋ 艹 ＋ 㐅	全字头	㐅
饚	全字头 ＋ 丶 ＋ 即字旁 ＋ 艹 ＋ 土 ＋ 厶 ＋ 皿	全字头	皿
駴	馬 ＋ 戈 ＋ 廾	馬	廾
拸	扌 ＋ 夕 ＋ 夕	扌	夕
啝	口 ＋ 禾 ＋ 口	口	口
喛	口 ＋ 爫 ＋ 一 ＋ 𠂇 ＋ 又	口	又
姀	女 ＋ 禾	女	禾
謞	言 ＋ 亠 ＋ 口 ＋ 冂 ＋ 口	言	口
粭	米 ＋ 全字头 ＋ 一 ＋ 口	米	口
爀	火 ＋ 土 ＋ 亦字底 ＋ 土 ＋ 亦字底	火	亦字底
籺	米 ＋ 𠂉 ＋ 乙	米	乙
煂	火 ＋ 革	火	革
燺	火 ＋ 亠 ＋ 口 ＋ 冂 ＋ 口 ＋ 木	火	木
熆	火 ＋ 土 ＋ 厶 ＋ 皿	火	皿
渮	氵 ＋ 艹 ＋ 可	氵	可
澕	氵 ＋ 艹 ＋ 𠀎 ＋ 十	氵	十
蠚	艹 ＋ 𠂇 ＋ 口 ＋ 虫 ＋ 虫	艹	虫
惒	禾 ＋ 口 ＋ 心	禾	心
穒	禾 ＋ 鳥	禾	鳥
螛	虫 ＋ 宀 ＋ 丰 ＋ 口	虫	口
敆	全字头 ＋ 一 ＋ 口 ＋ 攴	全字头	攴
皬	白 ＋ ⻗ ＋ 隹	白	隹
麧	十 ＋ 人 ＋ 人 ＋ 丿 ＋ 丶 ＋ 夂 ＋ 𠂉 ＋ 乙	十	乙
靍	⻗ ＋ 隹 ＋ 鳥	⻗	鳥
靎	⻗ ＋ 全字头 ＋ 金字底 ＋ 鳥	⻗	鳥
靏	⻗ ＋ 冖 ＋ 隹 ＋ 鳥	⻗	鳥
柇	木 ＋ 禾	木	禾
楁	木 ＋ 宀 ＋ 各	木	各
