啊	aaan
泵	bgro
祊	bgtx
蹦	bgty
镚	bgwy
甏	bgzt
琫	bgzz
𠳐	bhal
谤	bhbx
浜	bheb
蒡	bhfx
绑	bhgl
蚌	bhjq
搒	bhnx
磅	bhrx
傍	bhsx
梆	bhvl
榜	bhvx
棒	bhvz
镑	bhwx
帮	bhyb
邦	bhyl
膀	bhyx
玤	bhzq
塝	bhzx
咇	biab
鄙	bial
哔	biat
髀	biat
吡	biax
诐	bibl
婢	bibt
妣	bibx
鲾	bicc
畀	bicq
舭	bicx
笔	bido
箅	bidq
筚	bidt
裨	bidt
篦	bidx
泌	bieb
滗	bieo
濞	bieq
沘	biex
苾	bifb
荸	bifh
蔽	bifk
薜	bifn
荜	bift
萆	bift
芘	bifx
蓖	bifx
狴	bigz
秘	bihb
馝	bihb
赑	bihh
秕	bihx
闭	bihx
痹	biiq
嬖	bikb
襞	bikl
璧	bikm
辟	bikn
避	bikw
臂	biky
壁	bikz
鼻	bilq
陛	bilz
觱	bimk
庳	bimt
庇	bimx
毖	binb
皕	bink
毙	binr
毕	bint
逼	binw
比	binx
坒	binz
币	biob
敝	biok
彼	biol
弼	bioo
弊	bioq
愎	birk
佖	bisb
俾	bist
必	bitb
邲	bitl
跸	bitt
铋	biwb
匕	bixx
珌	bizb
碧	bizr
颁	bjbh
攽	bjbk
般	bjca
湴	bjen
办	bjft
绊	bjgz
瘢	bjia
癍	bjik
𨭉	bjkn
靽	bjkz
阪	bjll
搬	bjna
扮	bjnd
扳	bjnl
瓣	bjnn
拌	bjnz
半	bjoz
昄	bjql
伴	bjsz
版	bjtl
板	bjvl
柈	bjvz
钣	bjwl
斑	bjzk
坂	bjzl
班	bjzx
炳	bkck
病	bkik
蛃	bkjk
禀	bkkb
屏	bkkq
丙	bknk
邴	bknl
摒	bknq
兵	bkob
秉	bkok
并	bkoq
昺	bkqk
冰	bkso
饼	bkuq
槟	bkvb
柄	bkvk
煸	bmcj
鳊	bmcj
辩	bmdb
辫	bmdg
褊	bmdj
笾	bmdw
辨	bmdx
汴	bmeq
萹	bmfj
苄	bmfq
边	bmfw
编	bmgj
贬	bmhq
蝙	bmjj
变	bmkl
卞	bmkq
鞭	bmkr
𨚕	bmml
弁	bmmq
抃	bmnq
昪	bmqq
碥	bmrj
忭	bmrq
砭	bmrq
匾	bmsj
便	bmsr
扁	bmwj
遍	bmww
幖	bnbb
婊	bnbt
熛	bncb
鳔	bncb
裱	bndt
瀌	bnev
藨	bnfv
飙	bngr
瘭	bnib
骠	bnib
骉	bnii
飑	bnlv
摽	bnnb
彪	bnqo
俵	bnst
儦	bnsv
标	bnvb
杓	bnvs
镖	bnwb
表	bnwt
镳	bnwv
膘	bnyb
脿	bnyt
哱	boah
啵	boal
舶	bock
鲌	bock
箔	bodk
簸	bodl
袯	bodl
渤	boef
浡	boeh
泊	boek
波	boel
蕃	bofc
菠	bofl
薄	bofx
馞	bohh
驳	boir
帛	bokb
擘	bokc
剥	bokd
亳	boks
檗	bokv
嶓	bomc
播	bonc
僰	bonk
拨	bonl
搏	bonx
艴	boov
卜	boqq
砵	born
礴	borx
伯	bosk
踣	bota
鹁	botd
勃	botf
跛	botl
博	botx
饽	bouh
桲	bovh
柏	bovk
欂	bovx
铂	bowk
𬭛	bowl
钵	bown
钹	bowt
镈	bowx
脖	boyh
膊	boyx
玻	bozl
别	bpad
瘪	bpix
癿	bpko
鳖	bpoc
憋	bpor
蹩	bpot
卟	buaq
哺	buav
补	budq
簿	budx
蔀	bufl
步	bugx
布	buhb
部	bukl
瓿	bukt
不	bunq
捕	bunv
醭	buoe
卜	buqq
晡	buqv
怖	burb
堡	busz
𬷕	buvd
逋	buvw
钚	buwq
埠	buzt
埔	buzv
埗	buzx
呗	bwah
焙	bwca
糒	bwck
被	bwdl
褙	bwdy
𬇙	bweh
蓓	bwfa
狈	bwgh
贝	bwhh
备	bwkc
鹎	bwkd
鞴	bwkk
鞁	bwkl
鐾	bwkn
惫	bwkr
卑	bwkt
臂	bwky
碚	bwra
悖	bwrh
碑	bwrt
倍	bwsa
孛	bwth
棓	bwva
杯	bwvq
椑	bwvt
钡	bwwh
邶	bwxl
辈	bwxo
悲	bwxr
北	bwxx
背	bwxy
琲	bwzy
嚓	caab
擦	canb
嘈	ccaq
艚	cccq
糙	cccw
漕	cceq
草	ccft
螬	ccjq
曹	ccnq
操	ccnv
𥕢	ccrq
槽	ccvq
蔡	cdfb
菜	cdfv
猜	cdgy
财	cdhx
睬	cdlv
才	cdnx
偲	cdsr
裁	cdtl
踩	cdtv
材	cdvx
彩	cdwo
采	cdwv
策	cedk
测	ceed
册	cejj
厕	cemd
恻	cerd
侧	cesd
涔	cfeo
参	cfmo
岑	cfmo
噌	cgaq
层	cgkm
嶒	cgmq
曾	cgoq
蹭	cgtq
舱	chcv
沧	chev
藏	chft
苍	chfv
鸧	chkd
仓	chkv
伧	chsv
呲	ciax
词	ciba
糍	cicm
泚	ciex
莿	cifd
茨	cifk
茈	cifx
𫚖	cigc
雌	cigw
此	cigx
赐	cihe
辞	cihn
疵	ciix
刺	cind
鹚	ciod
兹	ciom
慈	cior
差	ciov
磁	cirm
伺	cisa
佽	cisk
次	cisk
瓷	cist
祠	cita
跐	citx
玼	cizx
灿	cjcm
䅟	cjho
骖	cjio
参	cjmo
蚕	cjnj
粲	cjqc
餐	cjqt
惭	cjrm
惨	cjro
残	cjrt
黪	cjvo
璨	cjzc
矬	codz
莝	cofz
痤	coiz
厝	comq
嵯	comv
撮	conl
措	conq
搓	conv
挫	conz
鹾	coqv
磋	corv
蹉	cotv
棤	covq
错	cowq
锉	cowz
脞	coyz
瑳	cozv
篡	crdm
窜	criq
攒	crnh
撺	crnq
爨	croc
蹿	crtq
镩	crwq
汆	crxo
熜	cscr
淙	cseb
匆	cseq
苁	csfk
葱	csfr
骢	csir
从	cskk
丛	cskn
聪	csnr
悰	csrb
枞	csvk
囱	csxk
琮	cszb
璁	cszr
粗	cucy
簇	cuds
蔟	cufs
猝	cugt
卒	cukt
蹙	cumt
醋	cuoq
徂	cuoy
殂	cury
促	cust
蹴	cutt
啐	cvat
粹	cvct
淬	cvet
漼	cvew
萃	cvft
缞	cvgt
瘁	cvit
崔	cvmw
摧	cvnw
毳	cvoo
悴	cvrt
催	cvsw
翠	cvut
榱	cvvt
脆	cvyv
璀	cvzw
存	cyhh
皴	cyml
邨	cynl
忖	cyrx
村	cyvx
寸	cyxx
辏	czos
凑	czss
腠	czys
嗒	daaa
哒	daaw
妲	dabn
炟	dacn
答	dada
褡	dada
笪	dadn
溚	daea
荙	dafw
瘩	daia
靼	dakn
鞑	dakw
搭	dana
打	dann
沓	daoq
怛	darn
鿎	darw
大	dass
达	dasw
耷	dasy
跶	datw
𨱏	dawa
𫟼	daww
垯	dazw
叨	dcad
帱	dcbx
舠	dccd
鱽	dccd
刀	dcdd
稻	dchk
氘	dcmq
到	dcnd
捯	dcnd
捣	dcnm
道	dcow
忉	dcrd
悼	dcrt
倒	dcsd
盗	dcsy
蹈	dctk
祷	dctx
导	dcvx
纛	dcwg
岛	dcxm
呔	ddat
呆	ddav
带	ddfb
绐	ddga
骀	ddia
怠	ddmr
迨	ddmw
轪	ddos
逮	ddow
待	ddox
殆	ddra
歹	ddrr
贷	ddsh
袋	ddsl
岱	ddsm
傣	ddsq
大	ddss
代	ddst
黛	ddsv
垈	ddsz
戴	ddtb
叇	ddyw
埭	ddzq
玳	ddzt
嘚	deax
的	deks
德	deor
得	deox
锝	dewx
地	dezj
扽	dfno
噔	dgan
灯	dgcn
等	dgdx
澄	dgen
邓	dgll
瞪	dgln
嶝	dgmn
凳	dgol
登	dgon
戥	dgqt
磴	dgrn
蹬	dgtn
镫	dgwn
璒	dgzn
当	dhbk
党	dhbx
谠	dhbx
筜	dhdk
裆	dhdk
𬍡	dhem
菪	dhfr
荡	dhfx
宕	dhir
挡	dhnk
凼	dhoq
砀	dhrx
档	dhvk
𣗋	dhvx
铛	dhwk
垱	dhzk
珰	dhzk
骶	diat
嘀	diav
媂	dibb
谛	dibb
诋	dibt
嫡	dibv
娣	dibx
笛	didq
第	didx
涤	dieb
滴	diev
蒂	difb
荻	difc
菂	difs
茋	dift
缔	digb
狄	digc
敌	dihk
䗖	dijb
帝	dikb
鞮	dikq
的	diks
睇	dilx
底	dimt
髢	dinj
提	dinq
抵	dint
邸	diol
氐	diot
羝	diot
递	diow
弟	diox
𬱖	diqh
迪	diqw
碲	dirb
䃅	dirt
砥	dirt
低	dist
禘	ditb
踶	ditq
蹢	ditv
觌	ditx
翟	diuw
棣	divq
杕	divs
柢	divt
镝	diwv
籴	dixc
𤧛	dizb
地	dizj
堤	dizq
玓	dizs
坻	dizt
啖	djac
诞	djbw
箪	djdt
澹	djeb
淡	djec
萏	djfk
𬘘	djgx
赕	djhc
丹	djhk
疸	djin
瘅	djit
亶	djkn
眈	djlx
氮	djmc
担	djnn
掸	djnt
耽	djnx
聃	djnz
蛋	djoj
郸	djol
疍	djon
单	djot
弹	djot
旦	djqn
憺	djrb
石	djrr
惮	djrt
殚	djrt
儋	djsb
但	djsn
𫢸	djst
胆	djyn
膻	djyn
叮	dkan
啶	dkaq
订	dkbn
町	dkcn
萣	dkfq
疔	dkin
定	dkiq
盯	dkln
鼎	dklo
顶	dknh
丁	dknn
耵	dknn
酊	dkon
碇	dkrq
仃	dksn
钉	dkwn
锭	dkwq
腚	dkyq
玎	dkzn
簟	dmdt
滇	dmeb
淀	dmeq
电	dmgg
癜	dmia
癫	dmih
殿	dmka
阽	dmla
店	dmma
巅	dmmh
掂	dmna
垫	dmnz
奠	dmos
典	dmqb
点	dmqv
惦	dmra
碘	dmrb
佃	dmsc
踮	dmta
颠	dmth
扂	dmwa
钿	dmwc
靛	dmwq
甸	dmxc
坫	dmza
玷	dmza
琔	dmzq
吊	dnab
叼	dnan
调	dnba
鲷	dnca
汈	dnen
雕	dnhw
窎	dnid
掉	dnnt
貂	dnoa
刁	dnon
碉	dnra
凋	dnsa
铞	dnwb
铫	dnwq
钓	dnws
咄	doam
哆	doar
哚	doav
舵	docx
裰	dodl
驮	dois
亸	dokt
剁	dold
剟	dold
朵	dolv
堕	dolz
度	doml
掇	donl
多	dorr
惰	dory
夺	dosx
踱	dotl
跺	dotv
饳	doum
铎	dowz
躲	doxv
㙍	dozl
垛	dozv
埵	dozy
喋	dpav
爹	dpbr
谍	dpbv
鲽	dpcv
绖	dpgz
蝶	dpjv
叠	dply
𫶇	dpmb
瓞	dpoe
昳	dpqe
碟	dprv
跌	dpte
牒	dptv
蹀	dptv
耋	dptz
楪	dpvv
迭	dpxw
堞	dpzv
垤	dpzz
丢	dqom
铥	dqwm
煅	drca
断	drcm
簖	drdm
短	drdn
缎	drga
端	drkj
耑	drmj
段	droa
椴	drva
锻	drwa
塅	drza
瑖	drza
咚	dsaq
洞	dsea
董	dsfz
𬟽	dsjb
冬	dskq
峒	dsma
岽	dsmb
氡	dsmq
东	dsnb
鸫	dsnd
恫	dsra
硐	dsra
懂	dsrz
侗	dssa
冻	dssb
栋	dsvb
胴	dsya
胨	dsyb
动	dsyf
垌	dsza
髑	duaj
嘟	dual
读	dubk
妒	dubw
笃	dudi
渎	duek
渡	duel
芏	dufz
独	dugj
赌	duhq
阇	duhq
犊	dukk
睹	dulq
度	duml
蠹	dunj
厾	duom
督	duql
牍	dutk
都	dutl
椟	duvk
黩	duvk
杜	duvz
镀	duwl
毒	duwt
𬭊	duwz
肚	duyz
堵	duzq
队	dvlk
怼	dvlr
对	dvlx
兑	dvol
碓	dvrw
祋	dvta
堆	dvzw
嘚	dwax
得	dwox
嗲	dxar
吨	dyao
炖	dyco
沌	dyeo
敦	dykk
盹	dylo
顿	dynh
趸	dynt
盾	dyol
遁	dyow
惇	dyrh
礅	dyrk
砘	dyro
蹾	dytk
蹲	dytx
囤	dyvo
镦	dywk
钝	dywo
墩	dyzk
读	dzbk
篼	dzdx
斗	dzeq
蔸	dzfx
窦	dzik
痘	dzin
蚪	dzjq
兜	dzkx
陡	dzlq
豆	dznn
抖	dznq
逗	dznw
都	dztl
钭	dzwq
鹗	eead
颚	eeah
鄂	eeal
𫫇	eear
哦	eeat
呃	eeav
姶	eeba
婀	eebn
谔	eebo
娥	eebt
讹	eebx
鳄	eeco
涐	eeet
萼	eefo
莪	eeft
苊	eefv
额	eeih
蛾	eejt
屙	eekn
阿	eeln
崿	eemo
峨	eemt
厄	eemv
噩	eena
恶	eenr
扼	eenv
垩	eenz
鹅	eeod
轭	eeov
遏	eeqw
愕	eero
𥔲	eero
俄	eest
饿	eeut
锷	eewo
锇	eewt
腭	eeyo
堨	eezo
欸	eimk
蒽	enfr
摁	ennr
恩	envr
咡	eray
鲕	ercj
洱	erey
鸸	erjd
而	erjj
耏	erjo
陑	erlj
耳	erny
贰	erth
尔	erub
迩	eruw
饵	eruy
铒	erwy
儿	erxx
二	eryy
珥	erzy
筏	fadt
法	faem
阀	faht
罚	faod
发	faol
乏	faoq
砝	farm
伐	fast
垡	fasz
珐	fazm
吩	ffad
分	ffbd
忿	ffbr
粪	ffcb
粉	ffcd
鲼	ffch
瀵	ffeb
汾	ffed
𣸣	ffeh
芬	fffd
棻	fffv
纷	ffgd
鼢	ffkd
氛	ffmd
酚	ffod
愤	ffrh
奋	ffsc
份	ffsd
偾	ffsh
翂	ffud
焚	ffvc
棼	ffvd
豮	ffvh
坋	ffzd
玢	ffzd
坟	ffzk
唪	fgaz
讽	fgbr
烽	fgcq
沣	fgeq
浲	fgeq
沨	fger
葑	fgfx
缝	fggw
赗	fghl
疯	fgir
蜂	fgjq
逢	fgkw
凤	fgll
风	fglr
酆	fgml
峰	fgmq
崶	fgmx
丰	fgqq
砜	fgrr
冯	fgsi
俸	fgsz
枫	fgvr
锋	fgwq
奉	fgyz
封	fgzx
妨	fhbx
访	fhbx
舫	fhcx
鲂	fhcx
芳	fhfx
纺	fhgx
蚄	fhjx
牥	fhkx
防	fhlx
昉	fhqx
仿	fhsx
枋	fhvx
房	fhwx
钫	fhwx
放	fhxk
邡	fhxl
方	fhxx
肪	fhyx
坊	fhzx
幡	fjbc
帆	fjbt
燔	fjcc
烦	fjch
畈	fjcl
繁	fjdg
泛	fjeq
氾	fjev
藩	fjfc
蘩	fjfg
范	fjfv
犯	fjgv
贩	fjhl
凡	fjlt
番	fjoc
𬸪	fjod
反	fjol
翻	fjou
返	fjow
矾	fjrt
蹯	fjtc
饭	fjul
樊	fjvs
梵	fjvt
𫔍	fjwc
钒	fjwt
墦	fjzc
璠	fjzc
佛	fosq
呋	fuae
咐	fuao
㕮	fuar
幅	fubc
幞	fube
妇	fubk
斧	fubm
釜	fubn
讣	fubq
父	fubr
鲋	fuco
袱	fudg
复	fudk
符	fudo
簠	fudy
涪	fuea
夫	fuee
洑	fueg
浮	fueh
滏	fuen
㳇	fuer
芾	fufb
芙	fufe
茯	fufg
莩	fufh
菔	fufl
苻	fufo
芣	fufq
茀	fufq
绋	fugq
绂	fugt
缚	fugx
赋	fuhg
稃	fuhh
馥	fuhk
赙	fuhx
宓	fuib
富	fuic
驸	fuio
蝠	fujc
蚨	fuje
蜉	fujh
蝮	fujk
附	fulo
腐	fumk
鄜	fuml
府	fumo
氟	fumq
副	fund
扶	fune
拊	funo
拂	funq
抚	funx
辐	fuoc
孵	fuoh
覆	fuok
付	fuoo
弗	fuoq
罘	fuoq
辅	fuov
黻	fuqt
黼	fuqv
砆	fure
怫	furq
伏	fusg
俘	fush
俯	fuso
佛	fusq
傅	fusx
福	futc
趺	fute
跗	futo
祓	futt
负	fuuh
桴	fuvh
敷	fuvk
甫	fuvv
榑	fuvx
麸	fuwe
𫓧	fuwe
孚	fuwh
郛	fuwl
匐	fuxc
𫖯	fuxh
凫	fuxl
阜	fuxt
肤	fuye
腹	fuyk
服	fuyl
腑	fuyo
韨	fuyt
脯	fuyv
玞	fuze
垺	fuzh
琈	fuzh
赴	fuzq
吠	fwag
啡	fway
妃	fwbv
诽	fwby
鲱	fwcy
篚	fwdy
沸	fweq
淝	fwev
芾	fwfb
菲	fwfy
狒	fwgq
绯	fwgy
痱	fwiy
𬴂	fwiy
废	fwml
费	fwoh
飞	fwoq
悱	fwry
匪	fwsy
霏	fwty
榧	fwvy
镄	fwwh
扉	fwwy
剕	fwxd
蜚	fwxj
斐	fwxk
翡	fwxu
棐	fwxv
非	fwxy
肺	fwyb
朏	fwym
肥	fwyv
腓	fwyy
缶	fzdm
否	fzna
咖	gaaa
噶	gaao
嘎	gaat
尜	gabb
尬	gahr
夹	gans
戛	gant
尕	gaob
伽	gasa
钆	gawo
旮	gaxq
诰	gcba
糕	gccv
筶	gcda
篙	gcdl
藁	gcfv
缟	gcgl
稿	gchl
告	gcka
郜	gckl
皋	gckt
膏	gcky
高	gcll
搞	gcnl
羔	gcov
杲	gcqv
槁	gcvl
槔	gcvt
锆	gcwa
镐	gcwl
睾	gcxh
该	gdbk
溉	gdex
荄	gdfk
芥	gdfr
赅	gdhk
陔	gdlk
𬮿	gdlv
丐	gdno
戤	gdot
盖	gdoy
晐	gdqk
改	gdvk
概	gdvx
钙	gdwo
垓	gdzk
咯	geam
骼	geam
嗝	geaq
舸	gecn
袼	gedm
滆	geeq
哿	gefn
葛	gefo
阁	gehm
割	geid
疙	geio
蛤	geja
虼	gejo
合	geka
鸽	gekd
个	gekq
革	gekt
隔	gelq
各	gemm
歌	genk
搁	genm
哥	genn
鬲	genq
盖	geoy
硌	germ
仡	geso
戈	gett
饹	geum
格	gevm
铬	gewm
镉	gewq
胳	geym
膈	geyq
圪	gezo
塥	gezq
哏	gfat
茛	gfft
艮	gfkt
亘	gfnn
跟	gftt
根	gfvt
哽	ggar
鲠	ggcr
浭	gger
绠	gggr
鹒	ggmd
庚	ggme
赓	ggmh
耿	ggnc
更	ggnr
颈	ggoh
羹	ggos
暅	ggqn
耕	ggqq
𬒔	ggry
梗	ggvr
埂	ggzr
筻	ghdr
缸	ghdv
港	ghev
纲	ghgr
刚	ghhd
冈	ghhr
戆	ghkr
岗	ghmr
扛	ghnv
罡	ghog
矼	ghrv
冮	ghsv
㭎	ghvr
杠	ghvv
钢	ghwr
肛	ghyv
堽	ghzg
鿍	ghzq
鳡	gjcr
竿	gjdh
㽏	gjek
泔	gjek
澉	gjek
淦	gjen
苷	gjfk
绀	gjgk
干	gjhh
秆	gjhh
尴	gjhy
疳	gjik
虷	gjjh
赣	gjkh
甘	gjkk
感	gjmr
擀	gjnh
酐	gjoh
敢	gjok
旰	gjqh
矸	gjrh
杆	gjvh
柑	gjvk
橄	gjvk
肝	gjyh
玕	gjzh
赶	gjzh
坩	gjzk
乖	gkhx
拐	gknf
掴	gknm
夬	gkos
怪	gkrz
咣	glax
光	glbx
洸	glex
犷	glgm
逛	glgw
广	glmm
𨐈	glox
桄	glvx
胱	glyx
垙	glzx
珖	glzx
呙	goak
帼	gobm
粿	gocv
涡	goek
𬇹	goem
蝈	gojm
蜾	gojv
郭	gokl
裹	gokt
崞	gomh
聒	gona
馘	goon
果	goqv
馃	gouv
椁	govh
国	govm
锅	gowk
虢	gowl
过	goxw
腘	goym
埚	gozk
鳤	grcn
鳏	grct
爟	grcw
管	grdn
罐	grdw
筦	grdx
涫	gren
灌	grew
鹳	grfd
莞	grfx
蒄	grfx
纶	grgx
官	grin
冠	grix
观	grlx
掼	grnh
贯	groh
毌	gron
关	gros
盥	groy
惯	grrh
倌	grsn
祼	grtv
馆	grun
棺	grvn
琯	grzn
瓘	grzw
公	gsbm
共	gsfb
䢼	gsfl
恭	gsft
龚	gshb
宫	gsia
蚣	gsjm
拱	gsnb
弓	gsoo
硔	gsrb
供	gssb
觥	gsux
功	gsvf
贡	gsvh
攻	gsvk
汞	gsvo
巩	gsvt
工	gsvv
躬	gsxo
肱	gsym
珙	gszb
骨	guaa
鹘	guad
呱	guat
咕	guav
姑	gubv
诂	gubv
鲴	gucg
箍	gudb
瀔	guea
汩	gueq
沽	guev
蓇	gufa
菰	guft
菇	gufv
固	gugg
孤	guht
痼	guig
蛄	gujv
蛊	gujy
牿	guka
鹄	gukd
牯	gukv
崮	gumg
顾	gumh
羖	guoa
贾	guoh
罟	guov
轱	guov
酤	guov
估	gusv
馉	guua
觚	guut
梏	guva
鸪	guvd
故	guvk
嘏	guvl
辜	guvn
古	guvv
锢	guwg
钴	guwv
雇	guww
股	guya
臌	guyl
𦙶	guyv
榖	guza
毂	guza
堌	guzg
瞽	guzl
鼓	guzl
谷	guzz
鬼	gvaa
贵	gvah
妫	gvbj
姽	gvbv
诡	gvbv
鳜	gvck
鲑	gvcz
簋	gvdy
筀	gvdz
鬶	gveq
规	gvex
闺	gvhz
宄	gvio
刽	gvkd
皈	gvkl
刿	gvmd
庋	gvml
轨	gvoo
癸	gvos
晷	gvqa
炅	gvqc
归	gvqk
硅	gvrz
匦	gvso
跪	gvtv
龟	gvuo
桧	gvvm
柜	gvvn
桂	gvvz
瑰	gvza
邽	gvzl
圭	gvzz
珪	gvzz
给	gwga
剐	gxad
呱	gxat
诖	gxbz
褂	gxdq
刮	gxhd
鸹	gxhd
寡	gxid
挂	gxnz
瓜	gxot
栝	gxva
胍	gxyt
卦	gxzq
坬	gxzt
鲧	gycg
滚	gyet
绲	gygx
衮	gykt
辊	gyox
磙	gyrt
棍	gyvx
姤	gzba
诟	gzba
媾	gzbz
笱	gzdo
篝	gzdz
沟	gzem
苟	gzfo
狗	gzgo
缑	gzgs
购	gzhm
鞲	gzkz
岣	gzmo
遘	gznw
觏	gznx
句	gzoo
够	gzor
雊	gzow
佝	gzso
耇	gzto
构	gzvm
枸	gzvo
钩	gzwm
勾	gzxm
垢	gzza
彀	gzza
哈	haaa
蛤	haja
铪	hawa
嚆	hcal
号	hcao
嗥	hcat
嚎	hcav
好	hcbh
浩	hcea
灏	hceh
淏	hces
濠	hcev
蒿	hcfl
薅	hcfx
蚝	hcjo
皓	hcka
毫	hcko
皞	hckt
豪	hckv
鄗	hcll
貉	hcom
颢	hcqh
耗	hcqo
昊	hcqs
郝	hczl
壕	hczv
咍	hdaa
嗐	hdaa
咳	hdak
骸	hdak
嗨	hdat
海	hdet
孩	hdhk
害	hdia
骇	hdik
亥	hdkk
氦	hdmk
还	hdnw
醢	hdoy
胲	hdyk
呵	hean
嗬	hean
喝	heao
吓	heaq
诃	hebn
熇	hecl
褐	hedo
涸	heeg
河	heen
贺	hefh
荷	hefn
菏	hefn
纥	hego
龁	hego
和	heha
禾	hehk
阂	hehk
盉	hehy
阖	hehy
鹤	heid
隺	heiw
合	heka
劾	hekf
颌	hekh
龢	hekk
郃	hekl
鞨	heko
盒	heky
𬌗	hena
翮	henu
貉	heom
鹖	heqd
曷	heqo
壑	heqz
何	hesn
饸	heua
翯	heul
核	hevk
赫	hezb
垎	hezm
盍	hezy
𬣳	hfbt
狠	hfgt
痕	hfit
很	hfot
恨	hfrt
哼	hgaq
姮	hgbn
蘅	hgfn
亨	hgkq
鸻	hgod
行	hgon
衡	hgon
恒	hgrn
桁	hgvn
横	hgvr
珩	hgzn
堼	hgzz
吭	hhal
航	hhcl
沆	hhel
巷	hhfv
绗	hhgn
颃	hhkh
行	hhon
夯	hhsf
杭	hhvl
㘎	hjak
喊	hjat
焓	hjca
焊	hjch
浛	hjea
汗	hjeh
汉	hjel
涵	hjeq
瀚	hjeu
蔊	hjfh
菡	hjfq
犴	hjgh
顸	hjhh
邗	hjhl
罕	hjih
寒	hjiq
虷	hjjh
蚶	hjjk
含	hjka
颔	hjkh
邯	hjkl
鼾	hjlh
崡	hjmq
嵅	hjmt
扞	hjnh
捍	hjnh
撖	hjnk
撼	hjnr
酣	hjok
函	hjoq
憨	hjor
晗	hjqa
暵	hjqe
旱	hjqh
悍	hjrh
憾	hjrr
韩	hjtq
翰	hjtu
琀	hjza
垾	hjzh
淮	hkew
徊	hkoa
怀	hkrq
踝	hktv
槐	hkva
坏	hkzq
喤	hlaz
幌	hlbx
谎	hlby
媓	hlbz
煌	hlcz
艎	hlcz
鳇	hlcz
簧	hldr
篁	hldz
潢	hler
滉	hlex
湟	hlez
黄	hlfr
荒	hlfy
癀	hlir
蟥	hljr
蝗	hljz
遑	hlkw
㿠	hlkx
肓	hlky
皇	hlkz
凰	hllz
隍	hllz
徨	hloz
晃	hlqx
恍	hlrx
慌	hlry
惶	hlrz
𨱑	hlwr
锽	hlwz
璜	hlzr
瑝	hlzz
嚄	hoal
嚯	hoaw
火	hocc
㸌	hocw
活	hoea
漷	hoel
濩	hoel
劐	hofd
获	hofg
藿	hofw
和	hoha
𬴃	hoir
豁	hoiz
蠖	hojl
攉	honw
耠	hoqa
夥	hoqr
佸	hosa
伙	hosc
货	hosh
祸	hotk
或	hotn
惑	hotr
霍	hotw
钬	howc
镬	howl
锪	howr
患	hrar
唤	hras
焕	hrcs
鲩	hrcx
洹	hren
漶	hrer
涣	hres
澴	hret
浣	hrex
荁	hrfn
萑	hrfw
缓	hrgl
缳	hrgt
獾	hrgw
𬘫	hrgx
宦	hriq
痪	hris
寰	hrit
逭	hriw
