oba=1,ア
ofdu=7,⒎
ofdu=8,⒏
ofdu=9,⒐
ofdu=10,⒑
ofdu=11,⒒
ofdu=12,⒓
ofdu=13,⒔
ofdu=14,⒕
ofdu=15,⒖
ofdu=16,⒗
ofdu=17,⒘
ofdu=18,⒙
ofdu=19,⒚
ofdu=20,⒛
ofdw=4,㎎
ofdw=5,㎏
ofdw=6,㎜
ofdw=7,㎝
ofdw=8,㎞
ofdw=9,㎡
ofdw=10,㏄
ofdw=11,㏎
ofdw=12,㏑
ofdw=13,㏒
ofdw=14,㏕
ofed=1,А
ofed=2,Б
ofed=3,В
ofed=4,Г
ofed=5,Д
ofed=6,Е
ofed=7,Ж
ofed=8,З
ofed=9,И
ofed=10,Й
ofed=11,К
ofed=12,Л
ofed=13,М
ofed=14,Н
ofed=15,О
ofed=16,П
ofed=17,Р
ofed=18,С
ofed=19,Т
ofed=20,У
ofed=21,Ф
ofed=22,Х
ofed=23,Ц
ofed=24,Ч
ofed=25,Ш
ofed=26,Щ
ofed=27,Ъ
ofed=28,Ы
ofed=29,Ь
ofed=30,Э
ofed=31,Ю
ofed=32,Я
ofed=33,Ё
ofex=1,а
ofex=2,б
ofex=3,в
ofex=4,г
ofex=5,д
ofex=6,е
ofex=7,ж
ofex=8,з
ofex=9,и
ofex=10,й
ofex=11,к
ofex=12,л
ofex=13,м
ofex=14,н
ofex=15,о
ofex=16,п
ofex=17,р
ofex=18,с
ofex=19,т
ofex=20,у
ofex=21,ф
ofex=22,х
ofex=23,ц
ofex=24,ч
ofex=25,ш
ofex=26,щ
ofex=27,ъ
ofex=28,ы
ofex=29,ь
ofex=30,э
ofex=31,ю
ofex=32,я
ofex=33,ё
ofhb=1,€
ofhb=2,￠
ofhb=3,£
ofhb=4,￡
ofhb=5,¥
ofhb=6,฿
ofjg=1,⿰
ofjg=2,⿱
ofjg=3,⿲
ofjg=4,⿳
ofjg=5,⿴
ofjg=6,⿵
ofjg=7,⿶
ofjg=8,⿷
ofjg=9,⿸
ofjg=10,⿹
ofjg=11,⿺
ofjg=12,⿻
ofjt=1,←
ofjt=2,↑
ofjt=3,↓
ofjt=4,↗
ofjt=5,↙
ofjt=6,↘
ofjt=7,↖
ofjt=8,↔
ofjt=9,⇆
ofjt=10,⇤
ofjt=11,⇥
ofjt=12,«
ofjt=13,»
ofku=1,⑴
ofku=2,⑵
ofku=3,⑶
ofku=4,⑷
ofku=5,⑸
ofku=6,⑹
ofku=7,⑺
ofku=8,⑻
ofku=9,⑼
ofku=10,⑽
ofku=11,⑾
ofku=12,⑿
ofku=13,⒀
ofku=14,⒁
ofku=15,⒂
ofku=16,⒃
ofku=17,⒄
ofku=18,⒅
ofku=19,⒆
ofku=20,⒇
ofpp=1,勹
ofpp=2,灬
ofpp=3,冫
ofpp=4,艹
ofpp=5,屮
ofpp=6,辶
ofpp=7,刂
ofpp=8,匚
ofpp=9,阝
ofpp=10,廾
ofpp=11,丨
ofpp=12,虍
ofpp=13,彐
ofpp=14,卩
ofpp=15,钅
ofpp=16,冂
ofpp=17,冖
ofpp=18,宀
ofpp=19,疒
ofpp=20,肀
ofpp=21,丿
ofpp=22,攵
ofpp=23,凵
ofpp=24,犭
ofpp=25,亻
ofpp=26,彡
ofpp=27,饣
ofpp=28,礻
ofpp=29,扌
ofpp=30,氵
ofpp=31,纟
ofpp=32,亠
ofpp=33,囗
ofpp=34,忄
ofpp=35,讠
ofpp=36,衤
ofpy=1,ā
ofpy=2,á
ofpy=3,ǎ
ofpy=4,à
ofpy=5,ō
ofpy=6,ó
ofpy=7,ǒ
ofpy=8,ò
ofpy=9,ê
ofpy=10,ē
ofpy=11,é
ofpy=12,ě
ofpy=13,è
ofpy=14,ī
ofpy=15,í
ofpy=16,ǐ
ofpy=17,ì
ofpy=18,ū
ofpy=19,ú
ofpy=20,ǔ
ofpy=21,ù
ofpy=22,ǖ
ofpy=23,ǘ
ofpy=24,ǚ
ofpy=25,ǜ
ofpy=26,ü
ofpy=27,ḿ
ofpy=28,̀
ofpy=29,ń
ofpy=30,ň
ofpy=31,ǹ
oftu=1,℃
oftu=2,°
oftu=3,‰
oftu=4,♂
oftu=5,♀
oftu=6,§
oftu=7,№
oftu=8,☆
oftu=9,★
oftu=10,○
oftu=11,●
oftu=12,◎
oftu=13,◇
oftu=14,◆
oftu=15,□
oftu=16,■
oftu=17,△
oftu=18,▲
oftu=19,※
oftu=20,〓
oftu=21,＃
oftu=22,＆
oftu=23,＠
oftu=24,＼
oftu=25,＾
oftu=26,＿
oftu=27,￣
ofub=1,¹
ofub=2,²
ofub=3,³
ofub=4,⁴
ofub=5,⁵
ofub=6,⁶
ofub=7,⁷
ofub=8,⁸
ofub=9,⁹
ofub=10,⁰
ofub=11,⁺
ofub=12,⁻
ofub=13,⁼
ofub=14,⁽
ofub=15,⁾
ofub=16,ⁿ
ofub=17,ˣ
ofux=1,＋
ofux=2,－
ofux=3,＝
ofux=4,＜
ofux=5,＞
ofux=6,±
ofux=7,×
ofux=8,÷
ofux=9,∈
ofux=10,∏
ofux=11,∑
ofux=12,⁄
ofux=13,√
ofux=14,∝
ofux=15,∞
ofux=16,∟
ofux=17,∠
ofux=18,∣
ofux=19,∥
ofux=20,¬
ofux=21,∧
ofux=22,∨
ofux=23,∩
ofux=24,∪
ofux=25,∫
ofux=26,∮
ofux=27,∴
ofux=28,∵
ofux=29,∶
ofux=30,∷
ofux=31,∽
ofux=32,≈
ofux=33,≌
ofux=34,≒
ofux=35,≠
ofux=36,≡
ofux=37,≤
ofux=38,≥
ofux=39,≦
ofux=40,≧
ofux=41,≮
ofux=42,≯
ofux=43,⊕
ofux=44,⊙
ofux=45,⊥
ofux=46,⊿
ofvb=1,┌
ofvb=2,└
ofvb=3,┐
ofvb=4,┘
ofvb=5,─
ofvb=6,│
ofvb=7,├
ofvb=8,┤
ofvb=9,┬
ofvb=10,┴
ofvb=11,┼
ofvb=12,┏
ofvb=13,┗
ofvb=14,┓
ofvb=15,┛
ofvb=16,━
ofvb=17,┃
ofvb=18,┣
ofvb=19,┫
ofvb=20,┳
ofvb=21,┻
ofvb=22,╋
ofvu=1,㈠
ofvu=2,㈡
ofvu=3,㈢
ofvu=4,㈣
ofvu=5,㈤
ofvu=6,㈥
ofvu=7,㈦
ofvu=8,㈧
ofvu=9,㈨
ofvu=10,㈩
ofvy=1,ㄅ
ofvy=2,ㄆ
ofvy=3,ㄇ
ofvy=4,ㄈ
ofvy=5,ㄉ
ofvy=6,ㄊ
ofvy=7,ㄋ
ofvy=8,ㄌ
ofvy=9,ㄍ
ofvy=10,ㄎ
ofvy=11,ㄏ
ofvy=12,ㄐ
ofvy=13,ㄑ
ofvy=14,ㄒ
ofvy=15,ㄓ
ofvy=16,ㄔ
ofvy=17,ㄕ
ofvy=18,ㄖ
ofvy=19,ㄗ
ofvy=20,ㄘ
ofvy=21,ㄙ
ofvy=22,ㄧ
ofvy=23,ㄨ
ofvy=24,ㄩ
ofvy=25,ㄚ
ofvy=26,ㄛ
ofvy=27,ㄜ
ofvy=28,ㄝ
ofvy=29,ㄞ
ofvy=30,ㄟ
ofvy=31,ㄠ
ofvy=32,ㄡ
ofvy=33,ㄢ
ofvy=34,ㄣ
ofvy=35,ㄤ
ofxb=1,₁
ofxb=2,₂
ofxb=3,₃
ofxb=4,₄
ofxb=5,₅
ofxb=6,₆
ofxb=7,₇
ofxb=8,₈
ofxb=9,₉
ofxb=10,₀
ofxb=11,₊
ofxb=12,₋
ofxb=13,₌
ofxb=14,₍
ofxb=15,₎
ofxb=16,ₙ
ofxb=17,ₓ
ofxd=1,Α
ofxd=2,Β
ofxd=3,Γ
ofxd=4,Δ
ofxd=5,Ε
ofxd=6,Ζ
ofxd=7,Η
ofxd=8,Θ
ofxd=9,Ι
ofxd=10,Κ
ofxd=11,Λ
ofxd=12,Μ
ofxd=13,Ν
ofxd=14,Ξ
ofxd=15,Ο
ofxd=16,Π
ofxd=17,Ρ
ofxd=18,Σ
ofxd=19,Τ
ofxd=20,Υ
ofxd=21,Φ
ofxd=22,Χ
ofxd=23,Ψ
ofxd=24,Ω
ofxx=1,α
ofxx=2,β
ofxx=3,γ
ofxx=4,δ
ofxx=5,ε
ofxx=6,ζ
ofxx=7,η
ofxx=8,θ
ofxx=9,ι
ofxx=10,κ
ofxx=11,λ
ofxx=12,μ
ofxx=13,ν
ofxx=14,ξ
ofxx=15,ο
ofxx=16,π
ofxx=17,ρ
ofxx=18,σ
ofxx=19,τ
ofxx=20,υ
ofxx=21,φ
ofxx=22,χ
ofxx=23,ψ
ofxx=24,ω
old=1,Ⅰ
old=2,Ⅱ
old=3,Ⅲ
old=4,Ⅳ
old=5,Ⅴ
old=6,Ⅵ
old=7,Ⅶ
old=8,Ⅷ
old=9,Ⅸ
old=10,Ⅹ
old=11,Ⅺ
old=12,Ⅻ
olx=1,ⅰ
olx=2,ⅱ
olx=3,ⅲ
olx=4,ⅳ
olx=5,ⅴ
olx=6,ⅵ
olx=7,ⅶ
olx=8,ⅷ
olx=9,ⅸ
olx=10,ⅹ
olx=11,ⅺ
olx=12,ⅻ
opa=1,ā
opa=2,á
opa=3,ǎ
opa=4,à
ope=1,ē
ope=2,é
ope=3,ě
ope=4,è
ope=5,ê
opi=1,ī
opi=2,í
opi=3,ǐ
opi=4,ì
opm=1,ḿ
opm=2,m̀
opn=1,ń
opn=2,ň
opn=3,ǹ
opo=1,ō
opo=2,ó
opo=3,ǒ
opo=4,ò
opu=1,ū
opu=2,ú
opu=3,ǔ
opu=4,ù
opv=1,ǖ
opv=2,ǘ
opv=3,ǚ
opv=4,ǜ
opv=5,ü
ora=1,あ
ora=2,ぁ
orb=1,・
orb=2,〜
orb=3,々
orb=4,〆
orb=5,〇
orb=6,ゝ
orb=7,ゞ
orb=8,ヽ
orb=9,ヾ
orb=10,〽
orb=11,゛
orb=12,゜
orb=13,※
orb=14,♪
orb=15,♫
orba=1,ば
orbe=1,べ
orbi=1,び
orbi=2,びゃ
orbi=3,びゅ
orbi=4,びょ
orbo=1,ぼ
orbu=1,ぶ
orda=1,だ
orde=1,で
ordi=1,ぢ
ordi=2,ぢゃ
ordi=3,ぢゅ
ordi=4,ぢょ
ordo=1,ど
ordu=1,づ
ore=1,え
ore=2,ぇ
orga=1,が
orge=1,げ
orgi=1,ぎ
orgi=2,ぎゃ
orgi=3,ぎゅ
orgi=4,ぎょ
orgo=1,ご
orgu=1,ぐ
orha=1,は
orhe=1,へ
orhi=1,ひ
orhi=2,ひゃ
orhi=3,ひゅ
orhi=4,ひょ
orho=1,ほ
orhu=1,ふ
ori=1,い
ori=2,ぃ
orka=1,か
orka=2,ゕ
orke=1,け
orke=2,ゖ
orki=1,き
orki=2,きゃ
orki=3,きゅ
orki=4,きょ
orko=1,こ
orku=1,く
orma=1,ま
orme=1,め
ormi=1,み
ormi=2,みゃ
ormi=3,みゅ
ormi=4,みょ
ormo=1,も
ormu=1,む
orn=1,ん
orna=1,な
orne=1,ね
orni=1,に
orni=2,にゃ
orni=3,にゅ
orni=4,にょ
orno=1,の
ornu=1,ぬ
oro=1,お
oro=2,ぉ
orp=1,ー
orpa=1,ぱ
orpe=1,ぺ
orpi=1,ぴ
orpi=2,ぴゃ
orpi=3,ぴゅ
orpi=4,ぴょ
orpo=1,ぽ
orpu=1,ぷ
orra=1,ら
orre=1,れ
orri=1,り
orri=2,りゃ
orri=3,りゅ
orri=4,りょ
orro=1,ろ
orru=1,る
orsa=1,さ
orse=1,せ
orsi=1,し
orsi=2,しゃ
orsi=3,しゅ
orsi=4,しょ
orso=1,そ
orsu=1,す
orta=1,た
orte=1,て
orti=1,ち
orti=2,ちゃ
orti=3,ちゅ
orti=4,ちょ
orto=1,と
ortu=1,つ
ortu=2,っ
oru=1,う
oru=2,ぅ
orwa=1,わ
orwa=2,ゎ
orwo=1,を
orya=1,や
orya=2,ゃ
oryo=1,よ
oryo=2,ょ
oryu=1,ゆ
oryu=2,ゅ
orza=1,ざ
orze=1,ぜ
orzi=1,じ
orzi=2,じゃ
orzi=3,じゅ
orzi=4,じょ
orzo=1,ぞ
orzu=1,ず
ota=1,＆
ota=2,α
otb=1,～
otb=2,β
otb=3,©
otc=1,℃
otd=1,°
otd=2,=
otd=3,≠
otdy=1,＞
otdy=2,≥
ote=1,ε
otf=1,′
otf=2,Φ
otf=3,■
otg=1,√
otg=2,γ
otg=3,✓
oth=1,℉
oth=2,※
oth=3,¤
oti=1,×
oti=2,÷
oti=3,✗
otj=1,＋
otj=2,－
otk=1,⤴
otk=2,∅
otl=1,m
otl=2,³
otm=1,″
otm=2,μ
otm=3,￠
otn=1,♂
otn=2,♀
otn=3,№
oto=1,€
oto=2,Ω
otp=1,㎡
otp=2,π
otq=1,☰
otq=2,☷
otr=1,¥
ots=1,∴
ots=2,∵
ots=3,▲
ott=1,฿
ott=2,℡
otu=1,ϟ
otu=2,囍
otu=3,™
otv=1,§
otv=2,®
otv=3,㈱
otw=1,‱
otw=2,∞
otx=1,＜
otx=2,≤
otx=3,★
oty=1,£
oty=2,≈
oty=3,●
otz=1,↑
otz=2,↓
otz=3,←
oxu=1,①
oxu=2,②
oxu=3,③
oxu=4,④
oxu=5,⑤
oxu=6,⑥
oxu=7,⑦
oxu=8,⑧
oxu=9,⑨
oxu=10,⑩
oxu=11,⑪
oxu=12,⑫
oxu=13,⑬
oxu=14,⑭
oxu=15,⑮
oxu=16,⑯
oxu=17,⑰
oxu=18,⑱
oxu=19,⑲
oxu=20,⑳
