裁决编号	码	调整前关键候选	调整后关键候选	理由	状态
G8C12-W045	qima	蛴、蜞、起码、其、骑马	起码、蛴、蜞、其、骑马	自动规则：同码全部单字均在前3527之外，且最高二字词排名1354≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W046	jkvg	猄、竞争、净整	竞争、猄、净整	自动规则：同码全部单字均在前3527之外，且最高二字词排名1425≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W047	iggo	珹、成果、城郭	成果、珹、城郭	自动规则：同码全部单字均在前3527之外，且最高二字词排名1584≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W048	jnxy	藠、教训	教训、藠	自动规则：同码全部单字均在前3527之外，且最高二字词排名1617≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W049	xkxk	荇、星星、行星、猩猩、行刑、醒醒、星形	星星、荇、行星、猩猩、行刑、醒醒、星形	自动规则：同码全部单字均在前3527之外，且最高二字词排名1681≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W050	jijp	畿、季节、集结	季节、畿、集结	自动规则：同码全部单字均在前3527之外，且最高二字词排名1760≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W051	jnhr	噍、交换、叫唤、交欢	交换、噍、叫唤、交欢	自动规则：同码全部单字均在前3527之外，且最高二字词排名1777≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W052	yiwj	繄、一万、亿万、一晚、一碗、已晚	一万、繄、亿万、一晚、一碗、已晚	自动规则：同码全部单字均在前3527之外，且最高二字词排名1781≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W053	kewh	匼、渴望、可望	渴望、匼、可望	自动规则：同码全部单字均在前3527之外，且最高二字词排名1875≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W054	xmjb	缐、先进、现金、现今	先进、缐、现金、现今	自动规则：同码全部单字均在前3527之外，且最高二字词排名1883≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W055	mcxm	芼、冒险、毛线	冒险、芼、毛线	自动规则：同码全部单字均在前3527之外，且最高二字词排名2097≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W056	uiba	浉、十八	十八、浉	自动规则：同码全部单字均在前3527之外，且最高二字词排名2207≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W057	uibk	湜、士兵、柿饼	士兵、湜、柿饼	自动规则：同码全部单字均在前3527之外，且最高二字词排名2245≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W058	yima	翌、螠、姨妈、翼、一码、译码	姨妈、翌、螠、翼、一码、译码	自动规则：同码全部单字均在前3527之外，且最高二字词排名2349≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W059	xian	饻、西安、溪岸、西岸	西安、饻、溪岸、西岸	自动规则：同码全部单字均在前3527之外，且最高二字词排名2358≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W060	hrbc	漶、环保、环抱	环保、漶、环抱	自动规则：同码全部单字均在前3527之外，且最高二字词排名2441≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W061	xljn	𬙋、香蕉、相交、橡胶、相较	香蕉、𬙋、相交、橡胶、相较	自动规则：同码全部单字均在前3527之外，且最高二字词排名2492≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W062	jptz	颉、街头、接头	街头、颉、接头	自动规则：同码全部单字均在前3527之外，且最高二字词排名2577≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W063	yuyb	嵎、语音、玉音、余音、摇身一变	语音、嵎、玉音、余音、摇身一变	自动规则：同码全部单字均在前3527之外，且最高二字词排名2809≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W064	yizc	嫕、一早、臆造	一早、嫕、臆造	自动规则：同码全部单字均在前3527之外，且最高二字词排名2927≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W065	heuh	𬌗、和尚	和尚、𬌗	自动规则：同码全部单字均在前3527之外，且最高二字词排名3067≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W066	tjbd	澹、坦白	坦白、澹	自动规则：同码全部单字均在前3527之外，且最高二字词排名3096≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W067	vrfa	僎、转发	转发、僎	自动规则：同码全部单字均在前3527之外，且最高二字词排名3103≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W068	yjee	酽、厌恶	厌恶、酽	自动规则：同码全部单字均在前3527之外，且最高二字词排名3160≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W069	djbd	澹、蛋白、单摆	蛋白、澹、单摆	自动规则：同码全部单字均在前3527之外，且最高二字词排名3273≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W070	kejm	缂、可见、课件、课间	可见、缂、课件、课间	自动规则：同码全部单字均在前3527之外，且最高二字词排名3542≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W071	yiln	殪、医疗、意料、衣料	医疗、殪、意料、衣料	自动规则：同码全部单字均在前3527之外，且最高二字词排名3605≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W072	libm	浬、里边	里边、浬	自动规则：同码全部单字均在前3527之外，且最高二字词排名3650≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W073	yugc	悆、预告	预告、悆	自动规则：同码全部单字均在前3527之外，且最高二字词排名3890≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W074	xuww	冔、虚伪、许巍	虚伪、冔、许巍	自动规则：同码全部单字均在前3527之外，且最高二字词排名3919≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W075	xmyz	岘、现有、鲜有、心满意足	现有、岘、鲜有、心满意足	自动规则：同码全部单字均在前3527之外，且最高二字词排名4027≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W076	heig	隺、合成、合称	合成、隺、合称	自动规则：同码全部单字均在前3527之外，且最高二字词排名4253≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W077	qiyz	颀、汽油	汽油、颀	自动规则：同码全部单字均在前3527之外，且最高二字词排名4373≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W078	ytqq	彟、月球、曰	月球、彟、曰	自动规则：同码全部单字均在前3527之外，且最高二字词排名4429≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W079	wuya	屼、乌鸦、无涯	乌鸦、屼、无涯	自动规则：同码全部单字均在前3527之外，且最高二字词排名4503≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W080	xplz	撷、泄露、泄漏	泄露、撷、泄漏	自动规则：同码全部单字均在前3527之外，且最高二字词排名4570≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W081	yrig	羱、远程	远程、羱	自动规则：同码全部单字均在前3527之外，且最高二字词排名4881≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W082	yctz	㙘、摇头	摇头、㙘	自动规则：同码全部单字均在前3527之外，且最高二字词排名4912≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W083	yikc	镱、依靠、倚靠、艺考	依靠、镱、倚靠、艺考	自动规则：同码全部单字均在前3527之外，且最高二字词排名4920≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W084	gcdh	诰、高档	高档、诰	自动规则：同码全部单字均在前3527之外，且最高二字词排名4957≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W085	lqgj	珋、流感、流干	流感、珋、流干	自动规则：同码全部单字均在前3527之外，且最高二字词排名5100≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W086	xiyh	𬶮、夕阳、西洋	夕阳、𬶮、西洋	自动规则：同码全部单字均在前3527之外，且最高二字词排名5307≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W087	wwjk	碨、未经、味精、胃镜	未经、碨、味精、胃镜	自动规则：同码全部单字均在前3527之外，且最高二字词排名5374≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W088	vilk	扺、指令	指令、扺	自动规则：同码全部单字均在前3527之外，且最高二字词排名5514≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W089	yjhd	唁、沿海、烟海	沿海、唁、烟海	自动规则：同码全部单字均在前3527之外，且最高二字词排名5763≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W090	bixp	荜、萆、鼻血、辟邪、避邪、碧血	鼻血、荜、萆、辟邪、避邪、碧血	自动规则：同码全部单字均在前3527之外，且最高二字词排名5904≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W091	vibk	泜、治病、致病	治病、泜、致病	自动规则：同码全部单字均在前3527之外，且最高二字词排名5936≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W092	jiyz	觊、基友、既有、机油、集邮、极右	基友、觊、既有、机油、集邮、极右	自动规则：同码全部单字均在前3527之外，且最高二字词排名5967≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W093	ihxq	菖、长袖、厂休	长袖、菖、厂休	自动规则：同码全部单字均在前3527之外，且最高二字词排名5968≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W094	jlbw	洚、奖杯、江北、将被	奖杯、洚、江北、将被	自动规则：同码全部单字均在前3527之外，且最高二字词排名5992≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W095	yilv	挹、一律、疑虑、衣履、一缕	一律、挹、疑虑、衣履、一缕	自动规则：同码全部单字均在前3527之外，且最高二字词排名6028≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W096	yugh	龉、浴缸、鱼缸、渔港	浴缸、龉、鱼缸、渔港	自动规则：同码全部单字均在前3527之外，且最高二字词排名6044≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W097	ziyj	嵫、字眼、自成一家	字眼、嵫、自成一家	自动规则：同码全部单字均在前3527之外，且最高二字词排名6072≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W098	fgyy	崶、风云、风韵	风云、崶、风韵	自动规则：同码全部单字均在前3527之外，且最高二字词排名6082≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W099	xugz	顼、虚构	虚构、顼	自动规则：同码全部单字均在前3527之外，且最高二字词排名6328≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W100	jxke	镓、夹克、甲壳、加壳	夹克、镓、甲壳、加壳	自动规则：同码全部单字均在前3527之外，且最高二字词排名6412≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W101	jmdr	𬣡、间断、简短、尖端、剪短	间断、𬣡、简短、尖端、剪短	自动规则：同码全部单字均在前3527之外，且最高二字词排名6597≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W102	xkks	铏、星空	星空、铏	自动规则：同码全部单字均在前3527之外，且最高二字词排名6603≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W103	yjjp	𫄧、眼界、沿街	眼界、𫄧、沿街	自动规则：同码全部单字均在前3527之外，且最高二字词排名6859≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W104	hrxn	荁、欢笑	欢笑、荁	自动规则：同码全部单字均在前3527之外，且最高二字词排名6875≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W105	ufse	瘆、深色、神色	深色、瘆、神色	自动规则：同码全部单字均在前3527之外，且最高二字词排名7314≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W106	wuih	寤、无偿、无常、武昌、五常、舞场	无偿、寤、无常、武昌、五常、舞场	自动规则：同码全部单字均在前3527之外，且最高二字词排名7522≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W107	quyt	岨、取悦	取悦、岨	自动规则：同码全部单字均在前3527之外，且最高二字词排名7644≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W108	xbxs	莘、心胸	心胸、莘	自动规则：同码全部单字均在前3527之外，且最高二字词排名7671≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W109	fuxq	菔、腐朽、拂袖、辅修	腐朽、菔、拂袖、辅修	自动规则：同码全部单字均在前3527之外，且最高二字词排名7814≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W110	jiuz	𫌀、棘手、寄售、吉首	棘手、𫌀、寄售、吉首	自动规则：同码全部单字均在前3527之外，且最高二字词排名7853≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W111	yivc	臆、依照、遗照、一兆、遗诏	依照、臆、遗照、一兆、遗诏	自动规则：同码全部单字均在前3527之外，且最高二字词排名7863≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W112	dixk	茋、地形	地形、茋	自动规则：同码全部单字均在前3527之外，且最高二字词排名7878≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W113	yifh	佁、以防、一方、乙方	以防、佁、一方、乙方	自动规则：同码全部单字均在前3527之外，且最高二字词排名8205≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W114	jxxn	荚、驾校、假笑	驾校、荚、假笑	自动规则：同码全部单字均在前3527之外，且最高二字词排名8406≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W115	yjan	虤、延安、沿岸	延安、虤、沿岸	自动规则：同码全部单字均在前3527之外，且最高二字词排名8410≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W116	liso	疠、利索、理所	利索、疠、理所	自动规则：同码全部单字均在前3527之外，且最高二字词排名8632≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W117	jtjn	砄、绝交	绝交、砄	自动规则：同码全部单字均在前3527之外，且最高二字词排名8899≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W118	xpvc	獬、写照	写照、獬	自动规则：同码全部单字均在前3527之外，且最高二字词排名8907≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W119	xmfj	伭、嫌犯、掀翻、嫌烦	嫌犯、伭、掀翻、嫌烦	自动规则：同码全部单字均在前3527之外，且最高二字词排名8960≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W120	qlxm	蔃、抢先、抢险	抢先、蔃、抢险	自动规则：同码全部单字均在前3527之外，且最高二字词排名9045≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W121	hvhl	哕、辉煌、灰黄	辉煌、哕、灰黄	自动规则：同码全部单字均在前3527之外，且最高二字词排名9096≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W122	getn	塥、格调、各条	格调、塥、各条	自动规则：同码全部单字均在前3527之外，且最高二字词排名9286≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W123	iiql	眵、持枪	持枪、眵	自动规则：同码全部单字均在前3527之外，且最高二字词排名9371≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W124	tifh	倜、提防	提防、倜	自动规则：同码全部单字均在前3527之外，且最高二字词排名9494≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W125	xnhy	鸮、销魂、消魂	销魂、鸮、消魂	自动规则：同码全部单字均在前3527之外，且最高二字词排名9537≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W126	jizc	跽、急躁、及早、祭灶	急躁、跽、及早、祭灶	自动规则：同码全部单字均在前3527之外，且最高二字词排名9561≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W127	qiya	鲯、气压、欺压	气压、鲯、欺压	自动规则：同码全部单字均在前3527之外，且最高二字词排名9666≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W128	jnxn	茭、叫嚣、娇小、较小	叫嚣、茭、娇小、较小	自动规则：同码全部单字均在前3527之外，且最高二字词排名9715≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W129	yuir	熨、渔船	渔船、熨	自动规则：同码全部单字均在前3527之外，且最高二字词排名9746≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W130	sifh	伺、四方、私房	四方、伺、私房	自动规则：同码全部单字均在前3527之外，且最高二字词排名9765≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W131	lqbk	鎏、溜冰	溜冰、鎏	自动规则：同码全部单字均在前3527之外，且最高二字词排名9795≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W132	jiya	鲚、挤压、积压、羁押	挤压、鲚、积压、羁押	自动规则：同码全部单字均在前3527之外，且最高二字词排名9895≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W133	xixy	菥、喜讯	喜讯、菥	自动规则：同码全部单字均在前3527之外，且最高二字词排名10053≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W134	baya	鲅、拔牙	拔牙、鲅	自动规则：同码全部单字均在前3527之外，且最高二字词排名10148≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W135	qmxy	荨、谦逊	谦逊、荨	自动规则：同码全部单字均在前3527之外，且最高二字词排名10297≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W136	fuai	幞、父爱、抚爱	父爱、幞、抚爱	自动规则：同码全部单字均在前3527之外，且最高二字词排名10345≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W137	xliy	鲞、香椿、香醇	香椿、鲞、香醇	自动规则：同码全部单字均在前3527之外，且最高二字词排名10531≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W138	whwo	罔、忘我	忘我、罔	自动规则：同码全部单字均在前3527之外，且最高二字词排名10560≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W139	heqy	鹖、合群	合群、鹖	自动规则：同码全部单字均在前3527之外，且最高二字词排名10921≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W140	zint	髭、自虐	自虐、髭	自动规则：同码全部单字均在前3527之外，且最高二字词排名11150≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
G8C12-W141	uiya	𫚕、施压、是呀	施压、𫚕、是呀	自动规则：同码全部单字均在前3527之外，且最高二字词排名11160≤20000；单字整体只让一个首选位置。	规则自动让位：前3527外撞前20000词
