码	调整前	调整后
bcji	宝鸡、暴击、包机、保级	暴击、宝鸡、包机、保级
bcjl	褒奖、爆浆、包浆	褒奖、包浆、爆浆
bcjm	宝剑、保健、包间	保健、宝剑、包间
bcjn	保教、包教	保教、堡礁、包教
bcjr	宝眷	宝眷、宝卷
bcju	宝具	爆菊、宝具
bcjx	报价、保价、保驾、包夹	报价、包夹、保价、保驾
bckd	剥开、爆开	爆开、剥开
bckj	报刊	报刊、暴砍、报看
bcku	宝库	宝库、爆哭
bcli	暴力、暴戾、暴利、包里、保利	暴力、包里、暴利、暴戾、保利
bcmi	保密、苞米	保密、苞米、爆米
bcmk	报名、保命、薄命	报名、保命、爆鸣、薄命
bcmw	胞妹	胞妹、抱妹
bcni	包你	抱你、包你
bcnn	虣	虣、爆尿、宝鸟
bcnv	孢、髱	孢、髱、豹女、爆女
bcpi	包皮、剥皮、豹皮、报批	包皮、豹皮、爆皮、剥皮、报批
bcpk	宝瓶	宝瓶、爆屏
bcpn	保票、包票	包票、保票
bcqi	暴起、抱起、宝器、包起	抱起、暴起、爆气、宝器、包起
bcqk	薄情、报请	报请、薄情
bcql	宝强	保枪、宝强
bcqn	曓	曓、宝桥
bcqu	抱屈	抱屈、抱去
bcrf	报人、保人	保人、报人
bcrv	炮、笣	炮、笣、宝瑞
bcsh	报丧	报丧、薄嗓
bcsi	暴死、褒姒	褒姒、暴死
bcti	㙸	㙸、爆体、胞体
bctk	报亭、保亭	报亭、报听、嫑停、保亭
bctv	包退、百层挑战	抱腿、包退、百层挑战
bcty	包臀、鸨	包臀、鸨、胞吞
bctz	爆头、包头、抱头	爆头、抱头、包头
bcua	宝刹、薄纱	薄纱、爆杀、宝刹
bcue	报社	报社、暴射
bcuh	报上、保墒	报上、暴伤、保墒
bcuj	宝山、保山	宝山、爆闪、保山
bcuu	报数	报数、抱树
bcuv	保税、报税、保存设置、骲	报税、保税、保存设置、骲
bcvf	保真、抱枕	抱枕、保真
bcvj	报站、饱蘸、彼此之间	饱蘸、报站、彼此之间
bcvs	保重	保重、爆种
bcvu	爆竹、保住、抱住、宝珠	抱住、爆竹、爆珠、保住、宝珠
bcww	保卫、包围、勹	包围、保卫、勹
bcxi	报喜	报喜、抱膝
bcxk	暴行、不辞辛苦	暴行、爆星、不辞辛苦
bcxl	包厢、宝箱、不辞辛劳	宝箱、包厢、不辞辛劳
bcxr	彼此信任	宝轩、彼此信任
bcxs	胞兄	胞兄、抱胸
bcxx	剥下、包下	包下、报下、剥下
bcxy	别出新意、薄	报讯、薄、别出新意
bcye	报业	报业、包夜
bcyi	褒义、报以	报以、褒义、爆衣
bczd	包在、雹灾	抱在、包在、煲仔、雹灾
bczi	包子、豹子、孢子	包子、豹子、宝子、孢子
bczo	宝座、媬	宝座、媬、爆佐
bczy	不测之忧	宝尊、不测之忧
bczz	暴走、暴揍	抱走、暴走、暴揍
bdbc	不打不成材	不打不成材、百宝
bdbd	拜拜、白白、摆摆、半懂不懂	白白、拜拜、摆摆、半懂不懂
bdbf	不得不服	白本、不得不服
bdbj	百般、白班、白板、白斑、变动不居	白板、白班、百般、白斑、变动不居
bdbk	白冰、败兵、百病、百度百科、不得不看	败兵、白冰、百度百科、不得不看、百病
bdbm	白边、百变、表弟表妹	白边、表弟表妹、百变、百遍
bdbn	不但不能	白标、不但不能
bdbw	百倍、败北	败北、百倍
bdby	百读不厌、不得不用	不得不用、百读不厌
bdci	白瓷	白瓷、百次
bdda	白搭、白打	白搭、白打、百搭、百大
bddd	白带、百代、不道德的	白带、不道德的、百代
bddg	拜登、白灯	拜登、白灯、白等
bddh	摆荡	白当、摆荡
bddj	百端待举	白丹、百端待举
bddp	粺	粺、白蝶
bddu	百度、摆渡、拜读、不单单是、遍地都是	摆渡、拜读、不单单是、遍地都是、百度
bddy	不登大雅、粨	白盾、粨、不登大雅、百吨
bdff	百分、白粉	白粉、百分
bdfw	白费、本地服务、波动范围	白费、白肺、本地服务、波动范围
bdgj	白干、百感、不断改进、不懂规矩	白干、不断改进、不懂规矩、百感
bdgo	白果、百果	白果、白粿、百果
bdgu	白骨、不断改善、不得干涉	白骨、白古、不断改善、不得干涉
bdgw	白给、败给	败给、白给
bdhe	百合、白鹤、白河、捭阖	白鹤、捭阖、百合、白河
bdho	百货、败火	白活、败火、百货
bdhx	白话、百花、白花、白桦	白花、白话、百花、白桦
bdie	掰扯	掰扯、白扯
bdig	白城、百盛	白城、百城、百盛
bdih	不到长城非好汉	摆场、不到长城非好汉、百场
bdii	白痴、白吃	白痴、百尺、白吃
bdji	败绩	败绩、白鸡
bdjk	白净	白净、百京
bdjl	败将、不断积累	败将、白浆、不断积累
bdjn	被动技能	白叫、白胶、被动技能
bdjp	白洁	白洁、白借
bdju	败局、博大精深、勃大茎深	败局、白驹、博大精深、勃大茎深
bdjy	白军、败军、絔	败军、白军、絔
bdkd	摆开、掰开	掰开、摆开
bdkj	八度空间	白看、八度空间
bdkv	百度快照	白盔、百度快照
bdkz	白口	白扣、白口
bdlb	柏林、白磷	白磷、柏林
bdle	百乐	败了、摆了、百乐
bdlg	布达拉宫	摆楞、布达拉宫
bdlk	白领、百灵、白绫、挀	白领、白绫、百灵、挀
bdll	掰、白亮、不得了了	掰、白亮、不得了了、百两
bdlm	白脸、百联	白脸、白练、百联
bdlq	表达了作者的思乡之情	败柳、表达了作者的思乡之情
bdlr	被代理人	白卵、被代理人
bdlw	败类、拜、拝	败类、拜、拝、摆擂
bdlz	败露、白露	白楼、败露、白露
bdmc	白猫、白毛	白毛、白猫
bdmd	不达目的	白买、不达目的
bdmu	柏木	柏木、百亩、百目
bdmx	不得民心、不达目的不罢休、不达目的誓不罢休	不达目的不罢休、不得民心、不达目的誓不罢休
bdna	䪹	䪹、白拿
bdni	布丁奶茶	拜你、白泥、布丁奶茶
bdnj	不动脑筋	白男、不动脑筋
bdnm	百年、拜年、笨蛋奶妈	拜年、笨蛋奶妈、百年
bdnn	百鸟	白鸟、百鸟
bdnq	白牛	白牛、白妞
bdpc	白袍	白跑、白袍
bdpm	必读篇目	白片、必读篇目、百篇
bdqi	白旗、白起	白起、白旗
bdqk	拜请	白青、拜请
bdql	百强、剥夺权利	剥夺权利、百强
bdqn	北大青鸟	白巧、北大青鸟
bdqp	䢙	䢙、白切
bdqq	白球、敗、贁	白球、敗、贁、白酋
bdqr	败犬、摆拳	摆拳、败犬
bdqu	白区	白去、白区
bdrf	白人、白刃	白人、白刃、百人
bdru	不动如山	拜入、不动如山
bdsh	冰冻三尺非一日之寒、冰冻三尺，非一日之寒	白嗓、冰冻三尺非一日之寒、冰冻三尺，非一日之寒
bdsu	败诉	败诉、白素
bdsv	百岁	掰碎、百岁
bdsy	庍	庍、败损
bdto	拜托、摆脱	摆脱、拜托
bdts	白铜	白铜、百通
bdty	不等同于、不大同意	白豚、不等同于、不大同意
bdue	摆设、白蛇	摆设、白蛇、摆射
bduf	拜神、百度输入法	拜神、白神、百度输入法
bduj	拜山、白衫、白山、白帝圣剑	白衫、拜山、白帝圣剑、白山
bduu	柏树、白术、白鼠、白薯	柏树、白鼠、白术、白薯
bduy	百顺、不得少于	不得少于、百顺
bduz	摆手、百兽、白首	摆手、白首、百兽
bdvc	百兆	败招、百兆
bdve	败者、摆着	摆着、败者
bdvf	败阵	败阵、摆阵
bdvh	败仗	败仗、百丈
bdvj	百战	白斩、百战
bdvo	摆桌	白灼、摆桌
bdvs	白种、摆钟	白种、摆钟、百种
bdvu	剥夺政治权力终身	白住、剥夺政治权力终身
bdvy	不带这样	不带这样、百准
bdwf	白文	白问、白文
bdwj	百万、掰弯、本地文件、病毒文件	掰弯、本地文件、病毒文件、百万
bdwu	白雾、百物、不断完善	白雾、不断完善、百物
bdww	百威	百位、百威
bdxi	白皙	白皙、摆席
bdxk	百姓、败兴	败兴、百行、百姓
bdxm	白线	白线、摆线
bdxr	白癣	白癣、败选
bdxt	白雪	白雪、掰穴
bdxu	白须、败絮	败絮、白须
bdxx	白瞎、拔刀相向、不大相信、八大行星	白瞎、摆下、不大相信、八大行星、拔刀相向
bdxy	北大西洋	白鲟、北大西洋
bdye	百业、白夜、百叶、拜谒	白夜、百业、百叶、拜谒
bdyh	白杨、白羊	白羊、白杨
bdyi	白衣、白蚁、百亿、白带异常	白衣、白蚁、白带异常、百亿
bdyl	不得要领、弊大于利	弊大于利、不得要领
bdys	别的意思、笨得要死、㠔	白用、别的意思、㠔、笨得要死
bdyt	拜月、百越、不到一天、背地一套	拜月、不到一天、背地一套、百越
bdyy	白云、白、膀大腰圆、棒打鸳鸯、波多野结衣、㿟	白云、白、棒打鸳鸯、膀大腰圆、波多野结衣、㿟
bdzd	摆在	摆在、败在
bdzi	白字、白子	白字、白子、百字
bdzo	白做	白做、白左
bdzv	不打自招	白嘴、不打自招
bfbc	本报、不分彼此	不分彼此、本报
bfbj	本版、本班	本班、本版
bfbn	泍	泍、本表
bfdh	本党、本当	本当、本党
bfer	本儿	本二、本儿
bffu	奔赴	奔赴、本府
bfgh	本港	本钢、本港
bfgj	播放工具	苯酐、播放工具
bfgr	本馆	本官、本馆
bfhj	不符合实际	笨汉、不符合实际
bfhy	八方呼应、白发红颜	白发红颜、八方呼应
bfig	本城	倴城、本城
bfih	本厂、本场	本场、本厂
bfji	本季、本级、本机	本机、本季、本级
bfke	本科	本科、本可
bflb	不服来辩	贲临、不服来辩
bflc	八方来财	奔劳、八方来财
bfli	本利	本利、本例
bflv	不服来战	笨驴、不服来战、栟榈
bfmf	贲门、本门	本门、贲门
bfni	本尼	本尼、本拟
bfqb	不分青红皂白	本亲、不分青红皂白
bfqr	不乏其人	本券、不乏其人
bfqu	本区、白发青衫	奔去、本区、白发青衫
bfsi	奔四、笨死	笨死、奔四
bfuh	不负韶华、报复社会	奔上、不负韶华、报复社会
bfva	獖	獖、笨榨
bfve	本着、百分之二	本着、奔着、百分之二
bfvu	笨猪	笨猪、奔逐
bfvw	百分之五、不负众望、不孚众望	不负众望、百分之五、不孚众望
bfww	本位	本为、本位
bfxi	本息、奔袭、本溪	本息、本兮、奔袭、本溪
bfxl	奔向、本相、本乡、不乏先例、被发现了	本想、奔向、被发现了、本相、本乡、不乏先例
bfxs	白费心思	笨熊、白费心思
bfye	本业、本页	本页、本业
bfyy	暴风影音、不发一言	不发一言、暴风影音
bfyz	不费一兵一卒	本由、不费一兵一卒
bfzo	本作、本座	本座、本作
bfzy	本尊、暴风骤雨、八方支援、不飞则已	本尊、不飞则已、暴风骤雨、八方支援
bgbj	毕恭毕敬、不干不净、不古不今、表哥表姐	毕恭毕敬、不干不净、表哥表姐、不古不今
bgbm	不管白猫黑猫	崩边、不管白猫黑猫
bgcv	䨜	䨜、崩摧
bgdj	不顾大局、半个多世纪	半个多世纪、不顾大局
bgfa	迸发、㑟	迸发、㑟、泵阀
bggr	甭管	甭管、泵管
bghl	不给活路	绷簧、不给活路
bghv	崩毁、嘣	蹦会、嘣、崩毁
bgiu	迸出	蹦出、迸出
bgjp	崩解	甭价、崩解
bgjx	不够尽兴、絣	甭价、絣、不够尽兴
bgke	蚌壳	泵壳、蚌壳
bgqi	不够清楚	绷起、蹦起、不够清楚
bgql	不改其乐、背过气来	背过气来、不改其乐
bgsv	痭	痭、崩碎
bgti	甭提、泵体	泵体、甭提
bgxl	闭关修炼、不高兴了、菶	甭想、闭关修炼、菶、不高兴了
bgys	不够意思、稗官野史、嵭	迸涌、不够意思、嵭、稗官野史
bgzi	绷子	绷子、蹦子
bhda	棒打	棒打、帮打
bhdu	不好多说、饱和度战士	棒读、不好多说、饱和度战士
bhfw	绑匪	绑匪、帮费
bhgo	邦国	帮过、邦国
bhil	不合常理	棒疮、不合常理
bhiv	棒槌	棒槌、棒锤
bhji	不好交差	棒极、不好交差
bhjp	绑、綁	绑、綁、帮姐
bhju	不会接受	帮举、不会接受
bhlu	辩护律师	傍路、辩护律师
bhni	帮你	帮你、邦妮
bhql	帮腔、不合情理	帮腔、帮抢、不合情理
bhta	㙃、幇、幫	㙃、幇、幫、帮他、帮她、帮它
bhtc	不好推辞、保号套餐	帮套、不好推辞、保号套餐
bhtm	鞤	鞤、傍田
bhtp	垹	垹、帮贴
bhts	帮同、塝	帮同、塝、棒铜
bhtz	棒头	榜头、棒头
bhul	不合时令、不好说了	不好说了、不合时令
bhuu	变坏事为好事	磅数、变坏事为好事
bhuv	傍水	傍水、帮谁
bhuw	拨号上网	帮谁、拨号上网
bhvs	膀	膀、帮众
bhwu	傍午	傍午、蚌舞
bhyi	谤议、傍依、扳回一城	谤议、傍依、扳回一城、榜一
bhyr	背后有人	绑元、背后有人
bhzj	保护自己	帮咱、保护自己
bhzy	百花争妍、不会再有、白胡子老爷爷	不会再有、白胡子老爷爷、百花争妍
biai	鼻癌	鼻癌、必爱
bian	彼岸、獘、奰	彼岸、獘、奰、狴犴
bibc	泌、壁报	泌、必报、壁报
bibp	湢、滭、㓖	湢、滭、㓖、币别
bibw	必备	必备、必背
bida	笔答、必答、䊧	必答、笔答、䊧
bidg	壁灯	壁灯、闭灯
bidh	包产到户	必当、包产到户
bidr	弊端、笔端、不逞多让、八尺大人	弊端、彼端、不逞多让、八尺大人、笔端
bidz	鼻窦	鼻窦、逼兜
biff	比分	比分、必分
bifg	避风、笔锋	避风、逼疯、笔锋
bifh	比方	比方、彼方
bifu	比附	比附、比富
biga	幤	幤、鼻嘎
bigc	珌、鉍、飶	珌、鉍、飶、比高
bigd	补充规定	笔盖、补充规定
bigh	百川归海	闭肛、百川归海
bigo	避过	比过、避过、必过
bihj	避寒	避寒、狴犴
biho	避祸	必火、避祸
bihv	避讳、笔会、闭会、必会	避讳、必会、笔会、闭会
bihx	壁画、笔画、比划、笔划	笔画、壁画、比划、笔划
biig	璧、必成	璧、必成、逼成
biii	碧池	碧池、必吃
biis	辟	辟、避重
biiu	壁橱、笔触	壁橱、必出、笔触
biiz	嬖、躄	嬖、躄、避仇
bijb	逼近	逼近、闭紧
bijl	必将、裨将、保持距离	必将、保持距离、裨将
bijm	鼻尖、比肩、笔尖	鼻尖、比肩、必剪、笔尖
bijp	毕节、綼、縪	闭结、綼、縪、毕节
bijr	闭卷	闭卷、逼捐
biju	鼻疽	避居、鼻疽
bijy	不成敬意	碧君、不成敬意
bikd	避开	避开、必开
bike	比克	比克、逼氪
bikj	壁龛	必看、壁龛
biks	鼻孔、碧空	鼻孔、碧空、闭孔
bikz	闭口、不穿裤子	闭口、鼻口、不穿裤子
bilb	比邻	比邻、逼霖
bild	比来	比来、必来
bilj	碧蓝、保持冷静	碧蓝、比烂、保持冷静
bilm	碧莲	碧莲、逼脸
bils	㱸	㱸、闭拢
bilv	比率、碧绿	碧绿、比率
bilz	毕露、鄙陋	鄙陋、毕露
bimc	笔帽、鼻毛、䖩、䩛	鼻毛、笔帽、䖩、䩛
bimd	闭麦	必买、闭麦
bimk	笔名、毙命	毙命、笔名
bimu	闭幕、闭目	闭目、闭幕
bini	比拟	比你、逼你、比拟
binj	避难	避难、吡喃
binv	婢女	婢女、彼女
bipn	䵄	䵄、币票
bipw	比配	比配、必配
biqn	保持清醒的头脑	鼻窍、保持清醒的头脑
biqp	畢	畢、婢妾
biqr	鷝	鷝、币圈
biqs	䁹	䁹、比穷
birf	鄙人、逼人	逼人、鄙人
bisi	逼死、必死	必死、逼死
biso	比索、闭锁	闭锁、比索
bisr	鼻酸、笔算	笔算、鼻酸
bisu	鄙俗	鄙俗、避俗
bitc	毖、笔套	毖、笔套、碧涛
bitd	粊	粊、必抬
bitk	笔挺、逼停	笔挺、逼停、必听
bitm	碧天	必填、碧天
bito	枈	枈、鼻托
bitp	毕、鄪、堛	毕、鄪、堛、鼻贴
bits	笔筒	笔筒、比同
biue	毕设、彼	毕设、彼、鄙舍
biuh	闭上	闭上、比上
biui	鄙视、笔试、比试、避世	鄙视、比试、笔试、避世
biuj	璧山	璧山、必删
biuv	碧水、避税	避税、碧水、逼水
bivd	逼债	逼债、避债
bive	笔者、逼着、䏢	闭着、逼着、䏢、笔者
bivg	痹症、必争	必争、痹症
bivh	臂章、壁障	壁障、臂章
bivi	壁纸、笔直、比值、币值	笔直、壁纸、比值、币值
bivj	臂展	避战、臂展
bivl	保持中立	必装、保持中立
bivs	比重	比重、必中
bivy	变成这样、保持质疑	比准、变成这样、保持质疑
biwa	閇	閇、碧瓦
biwj	臂弯、补充文件	臂弯、必玩、补充文件
bixb	笔芯、比心	比心、笔芯
bixm	避险、避嫌、笔仙	避嫌、避险、笔仙
bixn	荸、毕肖	荸、毕肖、比小
bixr	必选	必选、比选
bixs	薜	薜、比熊
biyb	鼻音、庇荫	鼻音、庇荫、匕瘾
biyc	必要、辟谣、碧瑶、鮅	必要、碧瑶、辟谣、鮅
biyi	鄙夷、裨益、比翼、鼻翼	鄙夷、比翼、裨益、鼻翼
biyj	鼻炎、闭眼	闭眼、鼻炎
biyk	必应	必应、必赢
biyr	不齿于人	闭源、不齿于人
biyt	闭月	闭月、璧月
biyv	背城一战、保持一致	保持一致、背城一战
biyz	庇佑、必有、笔友、不成样子	必有、庇佑、不成样子、笔友
bizc	妼、䟤	妼、䟤、必遭、必造
bjbc	板报、办报	半饱、板报、办报
bjbf	版本	版本、坂本
bjbi	板壁、半壁	半壁、板壁
bjbp	班别	版别、班别
bjbu	颁布、半步、半部、八九不离十	颁布、半步、八九不离十、半部
bjcy	板寸	半寸、板寸
bjdc	办到、半岛、绊倒、搬到、半道	搬到、办到、半岛、绊倒、半道
bjdi	班底	班底、班迪
bjdj	不计代价	办单、不计代价
bjdv	班队、八九点钟	半对、班队、八九点钟
bjer	伴儿	伴儿、板儿
bjfg	班风、比较反感	半疯、班风、比较反感
bjfh	班房、板房	板房、班房
bjfu	班服、饱经风霜	饱经风霜、班服
bjfw	班费、波及范围	班费、版费、波及范围
bjgg	比较尴尬	半耕、比较尴尬
bjgv	班规	扮鬼、班规
bjhe	拌和	半盒、拌和
bjhf	斑痕、瘢痕	瘢痕、斑痕
bjhg	白金汉宫、不计后果	不计后果、白金汉宫
bjhh	保驾护航	半行、保驾护航
bjhj	比较罕见	半酣、比较罕见
bjhk	北京户口	办坏、北京户口
bjho	办货	搬货、办货
bjhv	班会、扳回	搬回、班会、扳回
bjhx	版画、班花	班花、版画
bjih	伴唱、半场、办厂	半场、伴唱、办厂
bjii	百结愁肠	半尺、百结愁肠
bjil	板床	板床、搬床
bjiv	北京车站	板锤、北京车站
bjjb	搬进	半斤、搬进
bjjd	必经阶段、比较简单	比较简单、必经阶段
bjjn	绊脚、半角	半角、绊脚
bjjq	斑鸠	斑鸠、办酒
bjjt	百家讲坛、䃑	半决、䃑、百家讲坛
bjju	半句、不仅仅是	半句、半局、不仅仅是
bjjv	不见经传、比肩接踵、比肩继踵	不见经传、比肩继踵、比肩接踵
