aaa=1,啊啊啊
bej=1,白垩纪
bej=2,不二价
ben=1,包二奶
beq=1,边儿去
bet=1,博尔特
beu=1,倍儿爽
beu=2,包耳式
bew=1,北二外
bf=2,部分
bf=3,办法
bfa=1,不妨碍
bfb=1,不方便
bfb=2,百分百
bfb=3,百分比
bfc=2,不服从
bfd=1,不反对
bfd=2,不发达
bfd=3,不封顶
bfe=1,变法儿
bff=1,笨方法
bff=2,不复返
bff=3,不犯法
bfg=1,不放过
bfg=2,饱腹感
bfg=3,避风港
bfh=2,不符合
bfh=3,暴发户
bfi=1,迸发出
bfj=1,不费劲
bfj=2,抱佛脚
bfj=3,白费劲
bfk=2,被罚款
bfk=3,不分开
bfl=2,爆发力
bfl=3,播放量
bfm=2,白富美
bfp=1,包分配
bfp=2,背风坡
bfq=1,播放器
bfq=2,不服气
bfq=3,不放弃
bfr=1,不否认
bfr=2,部分人
bfr=3,北方人
bft=1,巴菲特
bft=2,避风头
bfu=2,比方说
bfu=3,并非是
bfv=2,百分之
bfw=2,别烦我
bfw=3,百分位
bfx=1,不放心
bfx=2,暴风雪
bfx=3,爆发性
bfy=2,暴风雨
bfz=1,不负责
bfz=2,不复杂
bg=2,不过
bg=3,不管
bga=1,不够啊
bgb=1,不改变
bgb=2,班干部
bgc=1,不光彩
bgc=2,别搞错
bgd=2,宝贵的
bgd=3,不敢动
bge=1,冰棍儿
bgf=1,不过分
bgf=2,不辜负
bgf=3,保管费
bgg=2,不过关
bgg=3,不够格
bgh=2,不够好
bgh=3,报告会
bgi=2,不构成
bgi=3,报告称
bgj=1,白骨精
bgj=2,不干净
bgj=3,不干胶
bgk=1,不敢看
bgl=2,不管了
bgl=3,办公楼
bgm=1,帮个忙
bgm=2,不感冒
bgn=1,不管你
bgn=2,布谷鸟
bgp=2,不公平
bgq=2,办公区
bgq=3,背过气
bgr=2,被告人
bgr=3,保管人
bgs=2,不告诉
bgs=3,本公司
bgt=2,包工头
bgt=3,表个态
bgu=2,不管是
bgu=3,办公室
bgv=1,不关注
bgv=2,办公桌
bgw=1,别怪我
bgw=2,别管我
bgw=3,八股文
bgx=2,不甘心
bgx=3,不高兴
bgy=1,半个月
bgy=2,不够用
bgy=3,不管用
bgz=1,不规则
bgz=2,笔杆子
bh=2,保护
bh=3,变化
bha=2,不会啊
bha=3,北海岸
bhb=1,不会吧
bhb=2,不好吧
bhb=3,不好办
bhc=1,不会错
bhc=2,保护层
bhc=3,百花丛
bhd=1,不会的
bhd=2,饱和度
bhd=3,不厚道
bhf=2,保护费
bhf=3,不合法
bhg=2,不合格
bhg=3,不好过
bhh=1,不后悔
bhh=2,不含糊
bhh=3,白花花
bhi=2,不好吃
bhi=3,冰红茶
bhj=1,不好讲
bhj=2,编后记
bhj=3,百花奖
bhk=2,不好看
bhl=1,不合理
bhl=2,白桦林
bhm=2,不好吗
bhm=3,保护膜
bhp=2,别害怕
bhp=3,保皇派
bhq=2,不会去
bhq=3,不回去
bhr=2,不好惹
bhr=3,被害人
bhs=1,不划算
bhs=2,保护伞
bhs=3,庇护所
bht=2,不好听
bht=3,保护套
bhu=2,不合适
bhu=3,不好受
bhv=1,包含着
bhv=2,被害者
bhw=2,不会为
bhw=3,不好玩
bhx=2,不和谐
bhx=3,不好笑
bhy=1,不会有
bhy=2,不好用
bhy=3,不欢迎
bhz=2,不会做
bhz=3,白胡子
bi=2,变成
bi=3,保持
bic=2,不成材
bid=2,白炽灯
bid=3,不迟到
bif=2,不充分
bif=3,不重复
big=1,不超过
big=2,不成功
bih=2,病虫害
bii=1,被查处
bij=2,不常见
bij=3,补偿金
bil=2,变成了
bil=3,不出来
bim=2,不出门
bip=2,半成品
biq=1,不出去
biq=2,不差钱
biq=3,不成器
bir=2,不承认
bit=2,抱成团
biu=2,不成熟
biu=3,不诚实
biv=2,保持着
biv=3,不称职
biw=1,被称为
biw=2,搏出位
bix=1,不承想
bix=2,八成新
bix=3,不吃香
biy=2,不常用
biy=3,不传谣
biz=2,被称作
bj=2,比较
bj=3,北京
bja=2,绑架案
bjb=2,笔记本
bjb=3,不仅不
bjc=2,保健操
bjd=1,不见得
bjd=2,不记得
bje=2,拔尖儿
bjf=1,比较烦
bjf=2,百家饭
bjf=3,保价费
bjg=1,不及格
bjg=2,不经过
bjg=3,边界感
bjh=1,比较好
bjh=2,不久后
bjh=3,不仅会
bji=2,比较差
bji=3,比较长
bjj=1,不仅仅
bjj=2,不解决
bjj=3,不讲究
bjk=2,比较快
bjk=3,不健康
bjl=2,不讲理
bjl=3,边角料
bjm=1,比较慢
bjm=2,比较忙
bjm=3,本杰明
bjn=2,不仅能
bjn=3,比基尼
bjp=2,保健品
bjp=3,补给品
bjq=2,不久前
bjq=3,不进去
bjr=2,不兼容
bjr=3,北京人
bjs=1,背景色
bjs=2,半决赛
bjt=1,班集体
bjt=2,背景图
bjt=3,八骏图
bju=2,不仅是
bju=3,不就是
bjv=1,别紧张
bjv=2,不紧张
bjv=3,边检站
bjw=2,标记为
bjx=1,百家姓
bjx=2,北极熊
bjx=3,边境线
bjy=2,不介意
bjy=3,不建议
bjz=2,败家子
bjz=3,包饺子
bk=2,包括
bk=3,崩溃
bkb=2,背靠背
bkb=3,不可不
bkd=2,不可得
bkf=1,冰咖啡
bkf=2,补考费
bkf=3,报考费
bkh=1,不看好
bkh=2,不可活
bkj=1,背阔肌
bkk=1,不可靠
bkk=2,不可控
bkk=3,不可考
bkl=2,不考虑
bkl=3,不快乐
bkm=1,宝可梦
bkn=2,不可能
bkn=3,不可逆
bkp=2,不靠谱
bkq=1,不客气
bkq=2,别客气
bkq=3,不可取
bkt=1,报刊亭
bku=1,不愧是
bku=2,本科生
bku=3,白开水
bkv=1,不可知
bkv=2,半空中
bkw=2,不愧为
bkw=3,不可谓
bkx=1,不开心
bkx=2,不可行
bkx=3,不可信
bky=1,不可以
bky=2,本可以
bky=3,不可用
bkz=1,包括在
bl=1,本来
bl=2,巴黎
bl=3,玻璃
blb=1,玻璃杯
blb=2,抱了抱
blb=3,白萝卜
blc=1,不理睬
bld=1,便利店
bld=2,冰冷的
bld=3,白兰地
ble=1,鼻梁儿
blf=1,别浪费
blf=2,布洛芬
blg=1,拨浪鼓
blg=2,本来该
blg=3,鼻梁骨
blh=1,不理会
blh=2,八零后
blh=3,白莲花
bli=1,暴露出
bli=2,玻璃窗
bli=3,碧螺春
blj=1,不了解
blj=2,不理解
blj=3,八路军
blk=1,不离开
blk=2,巴洛克
blk=3,布鲁克
bll=1,不聊了
bll=2,别乱来
bll=3,不了了
blm=1,不礼貌
blm=2,菠萝蜜
blm=3,玻璃门
bln=1,不理你
bln=2,百灵鸟
blp=1,玻璃瓶
blp=2,舶来品
blq=1,保龄球
blq=2,不领情
blq=3,玻璃球
bls=1,不利索
bls=2,辩论赛
bls=3,布鲁斯
blt=1,别理他
blt=2,柏拉图
blt=3,巴雷特
blu=1,不论是
blu=2,本来是
blu=3,半路上
blv=1,避雷针
blv=2,不理智
blw=1,不理我
blw=2,芭蕾舞
blw=3,不来往
blx=1,不理想
blx=2,本来想
blx=3,玻璃心
bly=1,不乐意
bly=2,不利于
bly=3,毕了业
blz=1,冰溜子
blz=2,半拉子
blz=3,保留字
bm=2,部门
bm=3,帮忙
bmb=2,不明白
bmb=3,编码表
bmc=1,闭幕词
bmd=2,白名单
bmd=3,百慕大
bme=2,白木耳
bmf=1,白米饭
bmf=2,报名费
bmf=3,版面费
bmg=2,闭门羹
bmg=3,白玫瑰
bmh=2,爆米花
bmh=3,白忙活
bmj=2,表面积
bmj=3,别墨迹
bml=1,避免了
bml=2,摆明了
bmm=2,白茫茫
bmm=3,白蒙蒙
bmn=2,本命年
bmn=3,白毛女
bmq=1,不明确
bmq=2,编码器
bmq=3,半毛钱
bms=1,白马寺
bms=2,绊马索
bmu=1,表面上
bmu=2,变魔术
bmu=3,闭幕式
bmv=2,北美洲
bmw=1,弼马温
bmx=2,保密性
bmx=3,不明显
bmy=1,并没有
bmy=2,不满意
bmy=3,兵马俑
bmz=1,不满足
bmz=2,被埋在
bmz=3,蓖麻子
bn=2,不能
bna=2,不能按
bnb=1,不能不
bnd=2,本年度
bnd=3,本能地
bnf=1,不耐烦
bng=2,不能够
bng=3,并能够
bnh=1,半年后
bnh=2,百脑汇
bnh=3,比你好
bni=1,不能吃
bnj=1,八年级
bnl=1,不努力
bnl=2,别闹了
bnm=2,巴拿马
bnm=3,不那么
bnn=2,半年内
bnn=3,白嫩嫩
bnq=1,半年前
bnq=2,八年前
bnr=2,不能忍
bns=2,不能算
bns=3,避难所
bnt=1,编年体
bnu=2,不能说
bnu=3,编年史
bnv=2,白内障
bnv=3,半年中
bnx=1,比你行
bny=2,不能用
bny=3,保暖衣
bnz=2,白娘子
bod=2,被殴打
bpa=1,报平安
bpa=2,保平安
bpb=1,标配版
bpd=2,不平等
bpd=3,奔跑的
bpe=1,摆谱儿
bpf=1,不平凡
bpg=1,白苹果
bph=1,不平衡
bph=2,扁平化
bph=3,白平衡
bpi=1,不排除
bpi=2,被判处
bpj=1,白啤酒
bpk=1,不怕苦
bpl=2,不怕累
bpn=1,不怕你
bpp=1,不匹配
bpq=1,被抛弃
bpq=2,变频器
bpq=3,爆脾气
bps=1,不怕死
bpt=2,白葡萄
bpt=3,不怕她
bpu=1,白皮书
bpu=2,鞭炮声
bpu=3,爆破手
bpv=1,背叛者
bpv=2,奔跑者
bpw=1,被评为
bpw=2,不怕我
bpy=1,不便宜
bpy=2,爆破音
bpy=3,扁平疣
bpz=1,宝瓶座
bpz=2,扁平足
bq=1,并且
bq=2,表情
bq=3,抱歉
bqb=1,表情包
bqb=2,滨崎步
bqd=1,不确定
bqd=2,不恰当
bqd=3,棒球队
bqe=1,白求恩
bqf=1,版权费
bqf=2,被欺负
bqf=3,不缺乏
bqg=1,不奇怪
bqg=2,别去管
bqg=3,笔趣阁
bqh=1,标签化
bqi=1,不清楚
bqj=1,白切鸡
bqk=1,兵器库
bql=1,比起来
bql=2,冰淇淋
bql=3,不去了
bqn=1,别气馁
bqn=2,比丘尼
bqq=1,不缺钱
bqq=2,不确切
bqr=1,不求人
bqs=1,不轻松
bqt=1,包青天
bqt=2,扒墙头
bqu=1,并且是
bqu=2,不全是
bqv=1,办签证
bqx=1,被取消
bqy=1,不起眼
bqy=2,不情愿
bqy=3,不轻易
br=1,别人
br=2,不然
br=3,比如
brb=1,不然不
brd=1,别人的
brd=2,不认得
brd=3,不人道
brh=1,必然会
brh=2,不然会
brh=3,白热化
brj=1,别人家
brj=2,八人间
brk=1,不认可
brk=2,百日咳
brl=1,不入流
brl=2,哺乳类
brm=1,白日梦
brm=2,被人骂
brn=1,不然呢
brq=1,哺乳期
brr=1,不让人
brr=2,不认人
brr=3,不饶人
brt=1,不认同
brt=2,半乳糖
bru=1,比如说
bru=2,不认识
bru=3,别人说
brv=1,不认真
brv=2,不认账
brv=3,百人斩
brw=1,不认为
brw=2,被认为
brx=1,不忍心
brx=2,不容许
brx=3,包容性
bry=1,不容易
bry=2,不如意
bry=3,必然要
bs=1,比赛
bs=2,白色
bsb=1,比萨饼
bsd=1,不算的
bsd=2,不算多
bse=1,贝塞尔
bsg=1,濒死感
bsh=1,不算好
bsh=2,比赛后
bsi=1,比赛场
bsi=2,报私仇
bsj=1,本赛季
bsl=1,变色龙
bsm=1,波斯猫
bsq=1,变速器
bsr=1,比赛日
bss=1,白森森
bsu=1,不算数
bsu=2,百岁山
bsv=1,比赛中
bsv=2,伴随着
bsv=3,白素贞
bsw=1,波斯湾
bsx=1,不死心
bsx=2,变速箱
bsz=1,抱孙子
bt=1,不同
bt=2,拜托
bt=3,表态
btb=1,比特币
btc=1,表土层
btd=1,不同的
btd=2,不停地
btd=3,不太懂
bte=1,白天鹅
bte=2,抱团儿
btf=1,白头发
btf=2,不透风
btf=3,不通风
btg=1,不太敢
btg=2,不透光
bth=1,不太好
bth=2,不听话
bth=3,霸天虎
bti=1,不提倡
bti=2,拔头筹
bti=3,半脱产
btj=1,不推荐
btj=2,薄透镜
btk=1,不痛快
btk=2,变态狂
btk=3,白铁矿
btl=1,拜托了
btl=2,别提了
btl=3,摆脱了
btm=1,半透明
btm=2,不透明
btm=3,不体面
btn=1,不太难
btn=2,白头鸟
btp=1,鼻涕泡
btp=2,白铁皮
btq=1,趵突泉
btq=2,不听劝
btq=3,不透气
bts=1,被投诉
btt=1,扁桃体
btu=1,半桶水
btu=2,不踏实
btv=1,不停止
btw=1,别太晚
btw=2,白头翁
btx=1,不太像
btx=2,不太想
btx=3,不妥协
bty=1,不同意
bty=2,不同于
bty=3,不统一
btz=1,摆摊子
bu=2,不是
bu=3,表示
bua=1,不是啊
bub=2,不是吧
bub=3,不是不
bud=2,不舍得
bud=3,不是的
buf=1,不舒服
buf=2,被说服
buf=3,不设防
bug=2,不是个
bug=3,北上广
buh=2,不是很
buh=3,不适合
bui=1,办事处
bui=2,被删除
buj=2,必杀技
buj=3,保时捷
buk=2,必胜客
bul=1,别说了
bul=2,不说了
bul=3,不顺利
bum=2,不是吗
bum=3,不是么
bun=1,白水泥
bup=1,保守派
buq=2,不识趣
buq=3,不少钱
bur=1,不少人
bur=2,不是人
bur=3,半兽人
bus=2,八十岁
but=2,白砂糖
but=3,百事通
buu=2,博士生
buu=3,不是说
buv=2,不是指
buv=3,不慎重
buw=2,不失为
buw=3,不是我
bux=1,不熟悉
bux=2,办手续
bux=3,不识相
buy=1,闭上眼
buy=2,不属于
buy=3,不适应
buz=1,不识字
bv=1,帮助
bv=2,保证
bv=3,标准
bva=1,编者按
bva=2,爆炸案
bvb=1,不着边
bvb=2,标准版
bvd=1,不知道
bvd=2,不值得
bvd=3,不着调
bvf=1,辩证法
bvf=2,补助费
bvf=3,包装费
bvg=1,不正规
bvg=2,不粘锅
bvh=1,标准化
bvh=2,包装盒
bvh=3,表彰会
bvi=1,不正常
bvi=2,不支持
bvi=3,不忠诚
bvj=1,保证金
bvj=2,不着急
bvj=3,不正经
bvk=1,被指控
bvk=2,败者寇
bvl=1,板着脸
bvl=2,绷着脸
bvm=1,不知名
bvm=2,本周末
bvn=1,本周内
bvq=1,不值钱
bvq=2,不知情
bvq=3,不争气
bvr=1,班主任
bvr=2,白种人
bvr=3,变种人
bvt=1,不折腾
bvt=2,不中听
bvt=3,爆炸头
bvu=1,不只是
bvu=2,本质上
bvu=3,不真实
bvv=1,标志着
bvv=2,不注重
bvv=3,包装纸
bvw=1,爆炸物
bvw=2,不指望
bvw=3,别指望
bvx=1,标志性
bvx=2,帮助下
bvx=3,爆炸性
bvy=1,不至于
bvy=2,不注意
bvy=3,不长眼
bvz=1,不知足
bw=2,把握
bwb=2,保温杯
bwb=3,不忘本
bwc=2,霸王餐
bwc=3,保温层
bwd=2,不稳定
bwd=3,被问到
bwe=1,不玩儿
bwe=2,被窝儿
bwg=1,博物馆
bwg=2,不为过
bwg=3,不稳固
bwh=1,把握好
bwh=2,不外乎
bwh=3,比我还
bwj=2,别忘记
bwj=3,不畏惧
bwk=2,保卫科
bwk=3,被围困
bwl=1,别忘了
bwl=2,备忘录
bwm=2,不完美
bwm=3,不文明
bwp=2,保温瓶
bwq=2,包围圈
bwq=3,比我强
bwu=2,办完事
bwu=3,不完善
bwv=2,不完整
bww=2,布娃娃
bww=3,别问我
bwy=1,不文雅
bwz=2,鼻洼子
bx=1,必须
bx=2,表现
bx=3,不幸
bxb=1,便携版
bxb=2,必须把
bxb=3,补习班
bxc=1,包心菜
bxd=1,不晓得
bxd=2,必须的
bxd=3,必须得
bxf=1,不相符
bxf=2,变戏法
bxf=3,不幸福
bxg=1,不习惯
bxg=2,保险柜
bxg=3,不锈钢
bxh=1,不喜欢
bxh=2,不像话
bxh=3,不稀罕
bxi=1,表现出
bxi=2,不相称
bxi=3,不寻常
bxj=1,步行街
bxj=2,保险金
bxj=3,变形记
bxk=1,不辛苦
bxk=2,必修课
bxk=3,保修卡
bxl=1,不行了
bxl=2,不下来
bxl=3,表现力
bxm=1,不行吗
bxm=2,保鲜膜
bxm=3,表兄妹
bxn=1,不像你
bxn=2,报喜鸟
bxp=1,必需品
bxq=1,不下去
bxq=2,不想去
bxq=3,保修期
bxr=1,不信任
bxr=2,变性人
bxr=3,不相容
bxs=1,不逊色
bxs=2,保险丝
bxt=1,不相同
bxt=2,不协调
bxt=3,波形图
bxu=1,半小时
bxu=2,不像是
bxu=3,不现实
bxv=1,被选中
bxv=2,八仙桌
bxv=3,败血症
bxw=1,不希望
bxw=2,抱希望
bxw=3,表现为
bxx=1,不小心
bxx=2,不相信
bxx=3,不信邪
bxy=1,不需要
bxy=2,必须要
bxy=3,不屑于
bxz=1,必须在
bxz=2,不想再
bxz=3,表现在
by=2,表演
by=3,不要
bya=1,鼻咽癌
bya=2,不要啊
byb=1,不一般
byb=2,搏一搏
byb=3,比一比
byc=1,贬义词
byc=2,并以此
byc=3,褒义词
byd=1,不一定
byd=2,不由得
byd=3,必要的
byf=1,八月份
byf=2,饱眼福
byf=3,补邮费
byg=1,不应该
byg=2,本应该
byg=3,搬运工
byh=1,不一会
byh=2,毕业后
byh=3,不要和
byi=1,不远处
byi=2,不夜城
byi=3,百叶窗
byj=1,不要紧
byj=2,不用急
byj=3,备用金
byk=1,不用看
byk=2,不愉快
byk=3,不依靠
byl=1,便有了
byl=2,不用了
byl=3,不要脸
bym=1,不要命
bym=2,本月末
byn=1,比翼鸟
byn=2,不由你
byp=1,不要怕
byp=2,不用怕
byp=3,被压迫
byq=1,不要求
byq=2,变压器
byq=3,不要钱
byr=1,边缘人
byr=2,不要让
bys=1,表演赛
byt=1,不要太
byt=2,避孕套
byt=3,不要停
byu=1,不要说
byu=2,不用说
byu=3,毕业生
byv=1,不一致
byv=2,毕业证
byv=3,扮演者
byw=1,被誉为
byw=2,本以为
byw=3,别以为
byx=1,不允许
byx=2,不影响
byx=3,不用谢
byy=1,不一样
byy=2,不愿意
byy=3,不亚于
byz=1,不要再
byz=2,不要走
byz=3,不用做
bz=1,辈子
bz=2,鼻子
bz=3,脖子
bzb=1,八字步
bzb=2,比左部
bzd=1,不咋地
bzd=2,半自动
bzd=3,豹子胆
bzf=1,煲仔饭
bzg=1,包租公
bzh=1,不在乎
bzh=2,不在行
bzh=3,巴扎黑
bzi=1,不赞成
bzi=2,不在场
bzi=3,编造出
bzj=1,不自觉
bzj=2,不在家
bzj=3,憋足劲
bzl=1,不在了
bzl=2,不早了
bzm=1,不怎么
bzm=2,八字眉
bzp=1,包租婆
bzq=1,不足取
bzq=2,变奏曲
bzq=3,变阻器
bzr=1,不自然
bzt=1,不赞同
bzt=2,豹子头
bzu=1,不再是
bzu=2,不早说
bzu=3,不作声
bzv=1,不自知
bzv=2,不尊重
bzv=3,不自主
bzw=1,不作为
bzx=1,不再像
bzx=2,不再想
bzx=3,不仔细
bzy=1,不足以
bzy=2,不在于
bzy=3,不再有
bzz=1,不自在
bzz=2,逼崽子
cah=1,残奥会
cbb=1,蚕宝宝
cbc=1,从不曾
cbd=1,猜不到
cbd=2,擦不掉
cbg=1,挫败感
cbh=1,才不会
cbh=2,从不会
cbi=1,猜不出
cbl=1,错不了
cbl=2,擦玻璃
cbl=3,参保率
cbn=1,才不能
cbq=1,擦边球
cbr=1,参保人
cbt=1,猜不透
cbt=2,藏宝图
cbu=1,才不是
cbv=1,藏不住
cbv=2,猜不中
cbv=3,参保者
cbz=1,错别字
cc=2,从此
cc=3,猜猜
ccc=1,草草草
ccd=1,草草的
ccd=2,匆匆地
ccd=3,粗糙度
ccg=2,层次感
cck=1,猜猜看
ccl=1,草丛里
ccl=2,猜错了
ccp=2,残次品
cdb=2,测电笔
cdd=1,此订单
cdh=2,错的话
cdi=1,猜得出
cdi=2,踩单车
cdj=2,才到家
cdj=3,磁带机
cdl=1,猜到了
cdl=2,猜对了
cdl=3,蹭到了
cdu=1,裁定书
cdx=1,菜单项
cet=1,刺儿头
cez=1,苍耳子
cf=2,财富
cf=3,采访
cfb=1,采访部
cfd=1,裁缝店
cfg=1,次方根
cfi=1,采访车
cfl=1,采访了
cft=1,财付通
cfu=1,采访时
cfx=1,才发现
cfx=2,才放心
cfz=1,凑份子
cg=2,错过
cgb=2,村干部
cgd=1,采购单
cgj=1,擦干净
cgj=2,踩过界
cgl=2,错过了
cgl=3,错怪了
cgp=1,磁光盘
cgq=1,蔡国庆
cgt=2,参观团
cgt=3,菜根谭
cgv=1,草稿纸
cgv=2,参观者
cgv=3,磁共振
cgx=1,草稿箱
cgy=1,采购员
cgy=2,磁感应
cgz=1,醋罐子
chg=1,侧滑盖
chj=1,催化剂
chl=1,存活率
chl=2,词汇量
chq=1,彩虹桥
chq=2,存活期
chr=1,才会让
chr=2,策划人
cht=1,彩虹糖
chu=1,才会使
chv=1,策划者
chy=1,才会用
chy=2,才会有
chy=3,凑合用
cif=2,财产法
cik=2,存储卡
cil=2,猜出来
ciq=1,存储器
ciq=2,财产权
cis=2,催产素
ciu=1,财产税
ciw=1,存储为
