a=1,也
aefg=1,阿尔法狗
aeje=1,阿尔及尔
aeju=1,阿尔金山
aejy=1,阿尔及利亚
aek=1,也一块
aekt=1,阿尔卡特
ael=1,也一脸
ael=2,奥尔良
ael=3,爱尔兰
aeld=1,爱尔兰岛
aeq=1,也一起
aeud=1,挨饿受冻
aewx=1,爱尔维修
af=1,安抚
af=2,安放
af=3,安分
af=4,也非
afaf=1,安抚安抚
afb=1,也分别
afd=1,阿凡达
afdd=1,案发地点
afdt=1,案发当天
afe=1,也反而
afet=1,埃菲尔铁塔
afg=1,阿房宫
afg=2,阿法狗
afgf=1,阿房宫赋
afh=1,阿富汗
afi=1,也非常
afjl=1,阿伏加德罗
afju=1,阿伏加德罗常数
aflj=1,阿非利加
afrx=1,安抚人心
aft=1,阿凡提
aftm=1,安非他命
aftm=2,安非他明
afuj=1,安分守己
afuj=2,安份守己
afvy=1,按方抓药
afvz=1,安分知足
afxi=1,案发现场
afzr=1,安富尊荣
ag=1,也给
ag=2,要给
ag=3,也该
ag=4,昂贵
agam=1,阿哥阿妹
agd=1,按规定
agd=2,阿骨打
age=1,挨个儿
age=2,矮个儿
agg=1,一个个
agjl=1,爱国将领
agjp=1,挨个击破
agju=1,爱国精神
agju=2,爱国敬业诚信友善
agjy=1,爱岗敬业
agjy=2,爱国教育
agjy=3,爱国基因
agl=1,也给了
agl=2,按惯例
agl=3,熬过来
agl=4,按规律
agll=1,爱国力量
agn=1,也给你
agq=1,挨过去
agq=2,熬过去
agqb=1,爱国侨胞
agqn=1,爱国青年
agrq=1,爱国热情
agru=1,爱国人士
agru=2,爱狗人士
ags=1,工
agsd=1,奥古斯都
agsd=2,奥古斯丁
agt=1,也给他
agt=2,阿根廷
agtb=1,爱国同胞
agtx=1,爱国统一战线
aguf=1,爱国守法
agur=1,爱国诗人
aguy=1,熬更守夜
agv=1,也各种
agv=2,也跟着
agv=3,爱国者
agvi=1,阿甘正传
agvu=1,爱国志士
agvu=2,爱国主义精神
agvx=1,爱国之心
agvx=2,爱国阵线
agvy=1,爱国主义
agw=1,也给我
agwu=1,爱国卫生
agx=1,爱国心
agxu=1,爱管闲事
agy=1,也过于
agy=2,也关于
agyd=1,爱国运动
agyx=1,爱国营销
agz=1,矮个子
ah=1,也还
ah=2,也会
ah=3,也很
ah=4,也好
ahah=1,昂昂
ahah=2,啊哈啊哈
ahbd=1,哀鸿遍地
ahby=1,哀鸿遍野
ahby=2,懊悔不已
ahd=1,爱喝的
ahdp=1,安魂定魄
ahdw=1,爱护动物
ahes=1,也好意思
ahgf=1,爱好广泛
ahgi=1,昂贵
ahgl=1,哀毁骨立
ahgv=1,昂贵
ahgw=1,爱护公物
ahh=1,啊哈哈
ahhp=1,爱好和平
ahjj=1,爱恨交加
ahjv=1,爱恨交织
ahli=1,昂立
ahm=1,也还没
ahmu=1,暗黑模式
aho=1,昂
ahoe=1,昂
ahoj=1,肮
ahp=1,卬
ahpe=1,卬
ahq=1,也会去
ahq=2,安魂曲
ahq=3,安河桥
ahqe=1,昂起
ahqi=1,昂起
ahqi=2,爱恨情仇
ahqy=1,爱恨情缘
ahr=1,安徽人
ahre=1,昂热
ahri=1,安好如初
ahri=2,昂日
ahrj=1,盎然
ahs=1,也还是
ahs=2,暗红色
ahsa=1,盎撒
ahsi=1,盎司
ahtz=1,昂头
ahu=1,也还是
ahu=2,安徽省
ahui=1,昂视
ahuz=1,昂首
ahv=1,也或者
ahv=2,爱好者
ahve=1,昂着
ahvi=1,也很正常
ahvi=2,昂志
ahvw=1,爱护植物
ahx=1,也好像
ahx=2,也或许
ahy=1,盎
ahy=2,也会有
ahy=3,也还要
ahyh=1,昂扬
ahym=1,盎
ahys=1,也好意思
ahzh=1,肮脏
ahzh=2,②
ahzh=3,③
ahzh=4,肮肮脏脏
ai=1,爱
ai=2,哎
ai=3,也成
ai=4,爱吃
aiai=1,矮矮
aiai=2,哎哎
aiai=3,唉唉
aiai=4,爱爱
aib=1,癌
aiba=1,爱吧
aibe=1,癌
aibh=1,爱帮
aibi=1,艾比
aibi=2,爱吃不吃
aibj=1,皑
aibk=1,癌病
aibk=2,爱兵
aibm=1,癌变
aibn=1,爱表
aibo=1,爱博
aibo=2,爱播
aibu=1,爱步
aibw=1,爱贝
aic=1,艾
aicc=1,艾草
aicd=1,爱才
aicd=2,爱财
aico=1,爱错
aicv=1,蔼
aicx=1,艾
aid=1,爱吃的
aid=2,鹌鹑蛋
aida=1,挨打
aidc=1,哀悼
aidd=1,爱戴
aide=1,爱得
aidg=1,矮凳
aidh=1,爱党
aidi=1,艾迪
aidi=2,爱迪
aidl=1,哀悼
aidn=1,哀吊
aidq=1,爱丢
aids=1,挨冻
aids=2,爱动
aidu=1,爱赌
aidv=1,爱对
aidw=1,挨打
aidy=1,矮墩
aidz=1,爱豆
aidz=2,挨斗
aie=1,隘
aiee=1,挨饿
aiej=1,𬮿
aiem=1,隘
aier=1,艾尔
aiey=1,叆
aif=1,挨
aifa=1,挨罚
aift=1,捱
aift=2,爱出风头
aifu=1,爱抚
aifu=2,嗳腐
aifu=3,挨
aifw=1,爱妃
aig=1,按常规
aigc=1,哀告
aigc=2,爱搞
aigd=1,熬肠刮肚
aige=1,挨个
aige=2,哀歌
aigf=1,爱跟
aigh=1,爱岗
aigi=1,矮柜
aigj=1,爱干
aigl=1,爱逛
aigo=1,爱国
aigo=2,爱过
aigo=3,挨过
aigr=1,爱管
aigv=1,矮柜
aigw=1,爱给
aigz=1,爱狗
aih=1,爱好
aihc=1,爱好
aihc=2,哀嚎
aihc=3,哀号
aihc=4,艾蒿
aihd=1,哎嗨
aihe=1,爱河
aihe=2,爱喝
aihf=1,爱恨
aihh=1,碍航
aihk=1,爱坏
aihl=1,AI换脸
aiho=1,爱火
aihr=1,爱换
aihr=2,哀唤
aihs=1,哀鸿
aihs=2,爱哄
aihu=1,爱护
aihw=1,哎嘿
aihw=2,唉嘿
aihx=1,爱花
aihx=2,爱华
aihy=1,瑷珲
aii=1,暗沉沉
aiic=1,爱巢
aiie=1,爱车
aiif=1,艾辰
aiig=1,爱称
aiih=1,爱唱
aiii=1,爱吃
aiil=1,哀怆
aiil=2,爱创
aiir=1,爱穿
aiis=1,爱宠
aiiu=1,安常处顺
aiiz=1,哀愁
aij=1,锿
aij=2,氨茶碱
aijb=1,挨近
aijb=2,哀矜
aiji=1,埃及
aiji=2,爱机
aiji=3,③
aiji=4,挨挨挤挤
aijk=1,爱敬
aijk=2,艾敬
aijl=1,爱将
aijl=2,爱酱
aijm=1,挨肩
aijn=1,哀叫
aijn=2,矮脚
aijn=3,爱叫
aijn=4,挨浇
aijp=1,娭毑
aijp=2,爱借
aijq=1,艾灸
aijq=2,爱就
aijr=1,艾卷
aijs=1,隘窘
aijt=1,艾爵
aiju=1,爱菊
aijx=1,哀家
aijx=2,爱家
aijy=1,锿
aijy=2,爱军
aijz=1,挨肩
aik=1,唉
aik=2,哎
aike=1,艾克
aikj=1,爱看
aikm=1,嗌
aikr=1,矮款
aiku=1,爱哭
aiku=2,哀苦
aikx=1,哎
aiky=1,嗳
aikz=1,隘口
aila=1,艾拉
ailb=1,艾琳
aild=1,爱来
aile=1,挨了
aile=2,爱了
aile=3,矮了
ailh=1,爱郎
ailm=1,爱恋
ailm=2,爱怜
ailn=1,爱聊
ailq=1,癌瘤
ailu=1,按常理来说
ailu=2,爱撸
ailu=3,爱吃零食
ailv=1,爱侣
aily=1,艾伦
aima=1,挨骂
aima=2,艾玛
aimb=1,爱民
aimc=1,爱猫
aimd=1,爱买
aime=1,爱么
aimf=1,挨门
aimg=1,爱梦
aimg=2,艾蒙
aimi=1,艾米
aimj=1,艾曼
aimk=1,哀鸣
aimk=2,爱明
aimm=1,爱面
aimn=1,爱苗
aimo=1,哀默
aimo=2,癌魔
aimu=1,爱慕
aimw=1,暧昧
aimw=2,爱美
aimx=1,爱慕
ain=1,嫒
ainb=1,爱您
ainc=1,爱闹
aind=1,欸乃
aing=1,爱能
aini=1,爱你
ainj=1,碍难
aink=1,爱宁
ainm=1,爱念
ainn=1,爱鸟
aint=1,挨虐
ainu=1,娭
ainu=2,爱奴
ainv=1,爱女
ainy=1,嫒
aio=1,暧
aioy=1,暧
aip=1,爱
aipb=1,爱拼
aipc=1,挨炮
aipc=2,爱跑
aipd=1,爱拍
aipe=1,挨批
aipg=1,艾蓬
aiph=1,矮胖
aiph=2,②
aiph=3,③
aiph=4,矮矮胖胖
aipi=1,挨批
aipk=1,爱平
aipk=2,爱评
aipl=1,安车蒲轮
aipm=1,挨骗
aipo=1,爱泼
aips=1,爱泼
aipu=1,爱普
aipw=1,癌胚
aipy=1,爱
aiqi=1,爱妻
aiqi=2,哀戚
aiqi=3,嗳气
aiqi=4,哀泣
aiqk=1,爱情
aiqk=2,爱卿
aiqk=3,艾青
aiql=1,矮墙
aiqm=1,爱钱
aiqp=1,哀切
aiqp=2,爱妾
aiqp=3,③
aiqp=4,哀哀切切
aiqq=1,哀求
aiqr=1,爱犬
aire=1,艾热
airf=1,爱人
airf=2,矮人
airh=1,爱让
airi=1,爱日
airj=1,蔼然
airj=2,爱染
airs=1,艾绒
airs=2,哀荣
airu=1,爱如
airv=1,艾瑞
ais=1,欸
aisi=1,爱死
aisi=2,哀思
aisi=3,艾斯
aisj=1,爱散
aisr=1,欸
aiss=1,爱松
aisu=1,哀诉
aisy=1,爱隼
aisz=1,爱搜
ait=1,埃
ait=2,熬出头
aita=1,爱他
aita=2,爱她
aita=3,爱它
aite=1,艾特
aiti=1,挨踢
aiti=2,哀啼
aitj=1,哀叹
aitk=1,爱听
aitn=1,艾条
aits=1,哀痛
aits=2,哀恸
aitu=1,埃
aitu=2,爱徒
aitv=1,堨
aiu=1,矮
aiua=1,毐
aiua=2,爱莎
aiuc=1,碍
aiuf=1,爱神
aiuf=2,矮身
aiug=1,唉声
aiug=2,哀声
aiuh=1,哀伤
aiuh=2,爱上
aiuh=3,挨上
aiui=1,碍事
aiui=2,②
aiui=3,③
aiui=4,矮矮实实
aiuj=1,艾山
aiun=1,矮
aiuo=1,爱说
aiup=1,毐
aiur=1,癌栓
aiuu=1,爱书
aiuu=2,矮树
aiuv=1,爱谁
aiuv=2,爱睡
aiuw=1,毐
aiuw=2,爱谁
aiux=1,砹
aiux=2,爱耍
aiuz=1,碍手
aiv=1,挨着
aiv=2,爱着
aiv=3,碍着
aivc=1,爱找
aive=1,挨着
aive=2,爱着
aive=3,碍着
aivg=1,癌症
aivg=2,挨整
aivk=1,癌症
aivl=1,矮壮
aivs=1,癌肿
aivx=1,爱抓
aivz=1,矮轴
aiw=1,哀
aiwa=1,爱娃
aiwa=2,爱挖
aiwf=1,爱问
aiwg=1,艾翁
aiwh=1,爱网
aiwj=1,爱玩
aiwj=2,哀婉
aiwo=1,爱我
aiwu=1,爱物
aiwu=2,爱屋
aiww=1,艾薇
aiww=2,爱围
aiwy=1,瑷
aixb=1,爱心
aixf=1,AI修复
aixi=1,爱惜
aixk=1,矮星
aixn=1,矮小
aixn=2,爱笑
aixn=3,挨削
aixp=1,爱写
aixs=1,挨熊
aixt=1,爱学
aixy=1,暗潮汹涌
aixy=2,挨训
aiy=1,霭
aiya=1,哎呀
aiya=2,唉呀
aiye=1,艾叶
aiye=2,爱液
aiyf=1,碍眼
aiyg=1,碍于
aiyi=1,爱意
aiyj=1,碍眼
aiyk=1,爱婴
aiyo=1,哎哟
aiyo=2,哎唷
aiyr=1,哀怨
aiys=1,爱用
aiyt=1,哀乐
aiyu=1,碍于
aiyu=2,爱欲
aiyv=1,霭
aiyz=1,哎呦
aiyz=2,爱幼
aiyz=3,矮油
aiza=1,挨拶
aizd=1,挨宰
aizg=1,爱憎
aizi=1,矮子
aizi=2,艾滋
aizo=1,爱做
aizt=1,AI作图
aizz=1,挨揍
aj=1,也就
aj=2,也将
aj=3,要紧
aj=4,安静
ajah=1,挨家挨户
ajaj=1,安静安静
ajbh=1,也就不会
ajbz=1,挨肩并足
ajcb=1,挨肩擦背
ajd=1,也觉得
ajd=2,安静的
ajd=3,也就得
ajd=4,要记得
ajdb=1,挨肩搭背
ajdk=1,按揭贷款
ajdz=1,安静的美男子
ajf=1,安家费
ajgi=1,安居工程
ajh=1,也几乎
ajh=2,也就会
ajh=3,按计划
ajht=1,按揭合同
aji=1,也经常
ajit=1,按键冲突
ajj=1,爱剪辑
ajjl=1,按键精灵
ajk=1,安居客
ajl=1,安静了
ajl=2,安吉拉
ajlh=1,安家落户
ajlx=1,按揭利息
ajly=1,安居乐业
ajly=2,安家立业
ajmd=1,阿基米德
ajn=1,也就能
ajnf=1,暗箭难防
ajnf=2,暗贱难防
ajny=1,也就那样
ajqx=1,按经取穴
ajru=1,安静入睡
ajs=1,也就是
ajs=2,也就算
ajs=3,氨基酸
ajsu=1,也就是说
aju=1,也就是
aju=2,按键式
ajul=1,案件审理
ajur=1,暗箭伤人
ajuu=1,也就是说
ajux=1,按揭手续
ajvh=1,挨家逐户
ajvy=1,安家置业
ajxl=1,安静下来
ajxt=1,暗礁险滩
ajxz=1,按迹循踪
ajy=1,癌基因
ajyh=1,埃及艳后
ajz=1,也就在
ak=1,也可
ak=2,要看
ak=3,也可以
ak=4,也快
akbk=1,爱看不看
akbl=1,阿卡贝拉
akj=1,也看见
akl=1,拗口令
akl=2,阿卡丽
aklv=1,阿喀琉斯之踵
akm=1,阿卡姆
akm=2,阿克曼
akmd=1,奥卡姆剃刀
akn=1,也可能
akp=1,也恐怕
aku=1,也开始
akwx=1,爱开玩笑
akx=1,爱科学
akxy=1,阿克希亚
aky=1,也可以
al=1,十
al=2,要来
al=3,要领
al=4,案例
ala=1,奥利奥
alb=1,阿拉伯
alb=2,阿鲁巴
albb=1,阿里巴巴
albd=1,阿拉伯半岛
albg=1,阿拉伯联合酋长国
albl=1,爱理不理
albl=2,爱来不来
albr=1,阿拉伯人
albs=1,奥林巴斯
alby=1,阿拉伯语
albz=1,阿拉伯数字
ald=1,也来到
ald=2,阿拉丁
aldq=1,阿里地区
alfi=1,按劳付酬
alfp=1,按劳分配
alfx=1,案例分析
alg=1,奥利给
algd=1,阿里嘎多
algj=1,按老规矩
alh=1,安理会
alhy=1,爱老虎油
aljx=1,案例教学
allj=1,按理来讲
allu=1,按理来说
almt=1,阿拉木图
alph=1,奥林匹克运动会
alpk=1,奥林匹克
alpo=1,奥林匹斯
alpu=1,奥林匹亚先生
alpy=1,奥林匹亚
alq=1,阿联酋
alqi=1,按劳取酬
als=1,安乐死
als=2,爱丽丝
als=3,俺老孙
alsj=1,阿拉斯加
alt=1,Alt
alu=1,按理说
alu=2,安禄山
aluk=1,阿拉山口
alum=1,阿拉善盟
alw=1,安乐窝
alww=1,阿里旺旺
alx=1,爱立信
alxy=1,爱莉希雅
aly=1,阿里云
aly=2,安乐椅
alyd=1,暗流涌动
alyp=1,阿里云盘
alyx=1,安利一下
am=1,也没
am=2,要么
am=3,也没有
am=4,傲慢
amag=1,阿猫阿狗
amah=1,挨门挨户
amam=1,按摩按摩
ambf=1,也没办法
ambm=1,爱买不买
ambq=1,暧昧不清
ambx=1,傲慢不逊
amd=1,也没得
amd=2,要么得
amd=3,也没到
amd=4,按摩店
amdi=1,爱玛电动车
amds=1,哀莫大于心死
amdy=1,哀莫大焉
ameh=1,阿米尔汗
amgu=1,安民告示
amgx=1,也没关系
amhg=1,澳门回归
amhi=1,澳门皇家赌场
amj=1,凹面镜
amkr=1,奥密克戎
amld=1,鞍马劳顿
amlk=1,阿美莉卡
amlk=2,鞍马劳困
amly=1,阿米莉亚
amn=1,阿玛尼
amnh=1,唵嘛呢叭咪吽
amnl=1,按摩女郎
amns=1,啊米诺斯
amns=2,阿米诺斯
amnv=1,爱莫能助
amq=1,安眠曲
amq=2,按摩器
amru=1,爱美人士
amru=2,爱猫人士
amrz=1,爱民如子
ams=1,也马上
ams=2,也貌似
amsd=1,阿姆斯特丹
amsl=1,阿姆斯特朗
amsm=1,也没什么
amsv=1,阿姆斯壮
amtf=1,阿弥陀佛
amtq=1,澳门特区
amts=1,阿玛忒拉斯
amu=1,要么是
amu=2,也马上
amu=3,爱马仕
amu=4,按摩室
amv=1,也没准
amvh=1,挨门逐户
amvl=1,鞍马之劳
amvq=1,爱慕之情
amvv=1,爱美之心，人皆有之
amvv=2,爱美之心人皆有之
amvx=1,爱美之心
amwl=1,傲慢无礼
amwq=1,奥妙无穷
amx=1,安慕希
amxi=1,澳门新葡京娱乐城
amxj=1,澳门新葡京
amxl=1,阿莫西林
amxr=1,爱慕虚荣
amy=1,也没有
amy=2,也没用
amy=3,安眠药
amy=4,按摩椅
amyj=1,爱慕已久
amz=1,爱面子
an=1,安
an=2,也能
an=3,爱你
an=4,要你
ana=1,𩽾
anan=1,暗暗
anan=2,𩽾
anb=1,案
anba=1,俺爸
anbc=1,安保
anbc=2,暗堡
anbf=1,岸本
anbh=1,安邦
anbi=1,鞍鼻
anbj=1,案板
anbk=1,按兵
anbk=2,暗病
anbm=1,岸边
anbn=1,安
anbn=2,岸标
anbo=1,安柏
anbu=1,俺不
anbu=2,暗部
anbv=1,按捺不住
anbv=2,按耐不住
anbw=1,安倍
anby=1,懊恼不已
anc=1,荌
ancd=1,菴
anch=1,暗藏
anci=1,按此
anci=2,按词
ancm=1,碍难从命
ancn=1,荌
anco=1,按错
ancy=1,俺村
ancy=2,暗忖
and=1,鹌
andc=1,暗道
andc=2,按到
andd=1,暗袋
ande=1,安得
ande=2,俺的
ande=3,安德
andg=1,安灯
andh=1,按当
andi=1,暗地
andi=2,案底
andi=3,安迪
andi=4,俺滴
andj=1,黯淡
andj=2,暗淡
andj=3,氨氮
andk=1,安定
andk=2,②
andk=3,③
andk=4,安安定定
andl=1,暗道
andl=2,按到
andm=1,暗点
andm=2,按点
andn=1,鹌
andn=2,按掉
ando=1,安多
andp=1,俺爹
andr=1,爱你的人
ands=1,按动
ands=2,暗洞
andu=1,案牍
andu=2,安度
andu=3,暗度
andw=1,俺得
andy=1,安顿
andz=1,暗斗
ane=1,岸
anee=1,媕娿
aneg=1,岸
aner=1,俺儿
anf=1,按
anfa=1,案发
anfa=2,按法
anff=1,安分
anff=2,安份
anff=3,③
anff=4,安安分分
anfg=1,暗讽
anfh=1,安放
anfh=2,暗访
anfh=3,安防
anfj=1,案犯
anfn=1,按
anfo=1,揞
anfu=1,安抚
anfu=2,安福
anfw=1,安飞
anfz=1,安否
ang=1,庵
angd=1,暗改
angd=2,庵
ange=1,暗格
angf=1,铵根
angh=1,鞍钢
angj=1,暗杆
angj=2,安敢
angl=1,暗光
angl=2,暗广
angn=1,鞍
angr=1,暗管
angs=1,安工
angu=1,俺姑
angu=2,岸谷
angv=1,安规
angv=2,暗鬼
angz=1,暗沟
anh=1,黯
anhc=1,暗号
anhc=2,安好
anhd=1,暗害
anhe=1,暗合
anhe=2,暗盒
anhf=1,俺很
anhj=1,暗含
anhk=1,按坏
anhl=1,暗黄
anho=1,黯
anhs=1,暗红
anhu=1,按户
anhv=1,安徽
anhv=2,俺会
anhv=3,暗灰
anhw=1,暗黑
anhw=2,黯黑
anhx=1,暗话
anhy=1,安魂
anhy=2,要你何用
ania=1,安插
anic=1,暗潮
anif=1,暗沉
anig=1,按成
anih=1,暗娼
anih=2,案场
anij=1,鞍韂
anil=1,暗疮
anis=1,暗宠
aniu=1,暗处
aniy=1,鹌鹑
anj=1,铵
anjb=1,暗金
anjb=2,暗劲
anjf=1,暗道
anjf=2,暗道：“
anji=1,按季
anji=2,暗疾
anjk=1,安静
anjk=2,暗井
anjk=3,③
anjk=4,安安静静
anjm=1,案件
anjm=2,按键
anjm=3,安检
anjn=1,暗叫
anjn=2,暗礁
anjn=3,暗角
anjn=4,铵
anjp=1,按揭
anjq=1,俺就
anjq=2,俺舅
anjr=1,案卷
anju=1,安居
anjx=1,安家
anjx=2,俺家
anjy=1,安军
anjz=1,案件
anjz=2,按键
anjz=3,安检
ank=1,唵
ankd=1,唵
anke=1,安可
anke=2,暗刻
ankh=1,安康
ankk=1,匼
ankn=1,咹
ankr=1,案款
anku=1,啱
ankv=1,暗亏
ankz=1,暗扣
anla=1,安拉
anlc=1,俺姥
anlc=2,按劳
anld=1,俺来
anle=1,安乐
anlf=1,案列
anli=1,案例
anli=2,按理
anli=3,安利
anlj=1,按烂
anlk=1,按铃
anll=1,按量
anll=2,暗梁
anlm=1,暗恋
anlp=1,案列
anlq=1,暗流
anlv=1,暗绿
anlw=1,暗雷
anlw=2,按类
anlx=1,俺俩
anly=1,氨纶
anm=1,桉
anm=2,艹尼玛
anm=3,艹你妈
anma=1,暗骂
anma=2,鞍马
anmb=1,安民
anmd=1,按脉
anmf=1,暗门
anmf=2,俺们
anmi=1,安谧
anmk=1,案名
anmm=1,安眠
anmn=1,桉
anmo=1,按摩
anmo=2,暗魔
anmu=1,案目
anmw=1,俺妹
anna=1,按捺
anna=2,安娜
annd=1,按耐
annd=2,俺奶
anne=1,俺呢
anng=1,安能
anni=1,安妮
annk=1,安宁
annl=1,俺娘
annm=1,暗念
annm=2,按年
annq=1,按钮
annr=1,安暖
annw=1,安内
ano=1,暗
anon=1,胺
anoo=1,暗
