a=1,啊
dv=3,带着
dw=1,得
dw=2,单位
dw=3,地位
dx=1,嗲
dx=2,东西
dx=3,大小
dx=4,担心
dy=1,顿
dy=2,第一
dy=3,都有
dy=4,都要
dz=1,都
dz=2,都在
dz=3,动作
ed=1,耳朵
ee=1,额
ee=2,嗯嗯
ee=3,恩恩
ei=1,欸
el=1,恶劣
el=2,而来
en=1,嗯
eq=1,而且
er=1,二
er=2,二人
et=1,儿童
eu=1,而是
ex=1,恶心
ey=1,而已
ey=2,而言
ez=1,而在
ez=2,儿子
fa=1,法
fa=2,方案
fb=1,方便
fb=2,分别
fb=3,发表
fc=1,讽刺
fc=2,服从
fd=1,奋斗
fd=2,反对
fe=1,反而
ff=1,分
ff=2,方法
ff=3,丰富
fg=1,风
fg=2,覆盖
fh=1,方
fh=2,返回
fh=3,发挥
fi=1,非常
fi=2,发出
fi=3,付出
fj=1,饭
fj=2,房间
fj=3,附近
fk=1,疯狂
fk=2,分开
fk=3,放开
fl=1,分类
fl=2,发了
fl=3,法律
fm=1,父母
fm=2,方面
fm=3,抚摸
fn=1,愤怒
fn=2,烦恼
fn=3,妇女
fo=1,佛
fp=1,分配
fq=1,父亲
fq=2,放弃
fq=3,夫妻
fr=1,夫人
fr=2,妇人
fr=3,否认
fs=1,放松
fs=2,发送
ft=1,沸腾
fu=1,副
fu=2,发生
fu=3,方式
fv=1,发展
fv=2,反正
fv=3,分钟
fw=1,非
fw=2,服务
fw=3,范围
fx=1,分享
fx=2,发现
fx=3,放心
fy=1,反应
fy=2,反映
fy=3,费用
fz=1,否
fz=2,负责
fz=3,放在
fz=4,否则
ga=1,噶
ga=2,关爱
gb=1,根本
gb=2,关闭
gb=3,改变
gc=1,高
gc=2,刚才
gc=3,干脆
gd=1,该
gd=2,感到
gd=3,更多
ge=1,个
ge=2,感恩
gf=1,跟
gf=2,广泛
gf=3,功夫
gg=1,梗
gg=2,哥哥
gg=3,刚刚
gg=4,各个
gh=1,刚
gh=2,更好
gh=3,刚好
gh=4,规划
gi=1,过程
gi=2,观察
gj=1,感
gj=2,感觉
gj=3,更加
gk=1,怪
gk=2,公开
gk=3,赶快
gl=1,光
gl=2,过来
gl=3,管理
gm=1,干嘛
gm=2,购买
gm=3,赶忙
gn=1,给你
gn=2,姑娘
gn=3,功能
go=1,过
gp=1,公平
gp=2,跟着
gq=1,感情
gq=2,过去
gq=3,跟前
gr=1,关
gr=2,个人
gr=3,果然
gs=1,公
gs=2,告诉
gs=3,公司
gt=1,给他
gt=2,共同
gt=3,沟通
gu=1,股
gu=2,感受
gu=3,故事
gv=1,贵
gv=2,关注
gv=3,各种
gw=1,给
gw=2,给我
gw=3,跟我
gw=4,各位
gx=1,挂
gx=2,关系
gx=3,关心
gy=1,滚
gy=2,关于
gy=3,过于
gz=1,购
gz=2,工作
gz=3,各自
ha=1,哈
ha=2,黑暗
hb=1,何必
hb=2,好吧
hb=3,毫不
hc=1,好
hd=1,还
hd=2,好的
hd=3,回到
hd=4,很多
he=1,合
hf=1,很
hf=2,回复
hf=3,恢复
hg=1,恒
hg=2,回归
hh=1,航
hh=2,好好
hh=3,哈哈
hi=1,好吃
hi=2,好处
hj=1,含
hj=2,回家
hj=3,环境
hk=1,坏
hk=2,何况
hk=3,很快
hl=1,黄
hl=2,回来
hl=3,后来
hm=1,还没
hm=2,后面
hm=3,画面
hn=1,怀念
hn=2,还能
hn=3,很难
ho=1,或
hp=1,害怕
hp=2,和平
hp=3,活泼
hq=1,回去
hq=2,好奇
hr=1,换
hr=2,好人
hr=3,忽然
hs=1,红
hs=2,红色
hs=3,黑色
ht=1,回头
ht=2,后退
ht=3,话题
hu=1,户
hu=2,还是
hu=3,很少
hv=1,会
hv=2,或者
hv=3,活着
hw=1,黑
hw=2,好玩
hw=3,毫无
hx=1,化
hx=2,好像
hx=3,或许
hy=1,混
hy=2,还有
hy=3,还要
hz=1,后
hz=2,还在
hz=3,孩子
ia=1,差
ib=1,成本
ib=2,差别
ib=3,传播
ic=1,超
ic=2,尺寸
id=1,拆
id=2,程度
id=3,彻底
ie=1,车
if=1,陈
if=2,吃饭
if=3,充分
ig=1,成
ig=2,成功
ig=3,超过
ih=1,场
ih=2,窗户
ii=1,持
ii=2,常常
ii=3,传出
ij=1,产
ij=2,常见
ij=3,场景
ik=1,踹
ik=2,查看
ik=3,出口
il=1,创
il=2,除了
il=3,出来
il=4,处理
im=1,出门
im=2,沉默
im=3,充满
in=1,成年
in=2,承诺
io=1,戳
ip=1,产品
iq=1,长期
iq=2,出去
iq=3,传奇
ir=1,穿
ir=2,承认
ir=3,成人
is=1,冲
it=1,传统
it=2,冲突
it=3,春天
iu=1,出
iu=2,产生
iu=3,城市
iv=1,吹
iv=2,成长
iv=3,穿着
iw=1,成为
iw=2,称为
ix=1,重新
ix=2,出现
ix=3,创新
iy=1,春
iy=2,成员
iy=3,处于
iz=1,抽
iz=2,创作
iz=3,创造
ja=1,骄傲
jb=1,金
jb=2,基本
jb=3,肩膀
jc=1,经常
jc=2,精彩
jc=3,几次
jd=1,简单
jd=2,见到
jd=3,觉得
je=1,金额
je=2,饥饿
jf=1,不知道
jf=2,解放
jf=3,几分
jg=1,经过
jg=2,结果
jg=3,见过
jh=1,计划
jh=2,机会
jh=3,几乎
ji=1,及
ji=2,基础
ji=3,坚持
jj=1,解决
jj=2,渐渐
jj=3,拒绝
jk=1,经
jk=2,健康
jk=3,尽快
jl=1,将
jl=2,进来
jl=3,经历
jm=1,见
jm=2,见面
jm=3,急忙
jn=1,叫
jn=2,今年
jn=3,艰难
jp=1,接
jp=2,键盘
jq=1,久
jq=2,进去
jq=3,机器
jr=1,卷
jr=2,进入
jr=3,居然
js=1,炯
js=2,就算
js=3,角色
jt=1,觉
jt=2,今天
jt=3,具体
ju=1,据
ju=2,就是
ju=3,解释
jv=1,价值
jv=2,紧张
jv=3,接着
jw=1,极为
jw=2,今晚
jx=1,加
jx=2,进行
jx=3,继续
jxi=1,家
jxi=2,机械厂
jy=1,均
jy=2,经验
jy=3,建议
jz=1,就在
jz=2,节奏
ka=1,卡
ka=2,可爱
kb=1,恐怖
kb=2,空白
kc=1,考
kd=1,开
kd=2,看到
kd=3,肯定
ke=1,可
kf=1,肯
kf=2,开发
kf=3,开放
kg=1,坑
kg=2,看过
kh=1,康
kh=2,开会
ki=1,看出
ki=2,开车
kj=1,砍
kj=2,看见
kj=3,空间
kj=4,靠近
kk=1,快
kk=2,看看
kk=3,开口
kl=1,况
kl=2,快乐
kl=3,看来
kl=4,考虑
km=1,开门
kn=1,可能
kn=2,困难
ko=1,括
kp=1,可怕
kp=2,恐怕
kq=1,空气
kq=2,客气
kq=3,开启
kr=1,款
kr=2,客人
kr=3,困扰
ks=1,空
ks=2,看似
ks=3,快速
kt=1,开头
ku=1,库
ku=2,可是
ku=3,开始
kv=1,亏
kv=2,控制
kv=3,看着
kw=1,剋
kw=2,看完
kw=3,渴望
kx=1,跨
kx=2,可惜
kx=3,开心
ky=1,困
ky=2,可以
ky=3,快要
kz=1,口
kz=2,靠在
kz=3,裤子
la=1,拉
la=2,恋爱
lb=1,林
lb=2,两边
lb=3,老板
lc=1,老
lc=2,两次
lc=3,两侧
ld=1,来
ld=2,领导
ld=3,来到
ld=4,劳动
le=1,乐
lf=1,浪费
lf=2,裂缝
lg=1,冷
lg=2,两个
lg=3,留给
lh=1,朗
lh=2,灵魂
lh=3,厉害
li=1,里
li=2,露出
lj=1,兰
lj=2,了解
lj=3,理解
lk=1,另
lk=2,立刻
lk=3,离开
ll=1,两
ll=2,来了
ll=3,力量
lm=1,连
lm=2,里面
lm=3,连忙
ln=1,了
ln=2,两年
ln=3,理念
lo=1,罗
lp=1,列
lp=2,老婆
lp=3,离谱
lq=1,刘
lq=2,力气
lq=3,离去
lr=1,乱
lr=2,两人
lr=3,老人
ls=1,龙
ls=2,类似
ls=3,脸色
lt=1,略
lt=2,两天
lt=3,聊天
lu=1,路
lu=2,历史
lu=3,老师
lv=1,率
lv=2,两种
lv=3,拉着
lw=1,类
lw=2,两位
lw=3,另外
lx=1,俩
lx=2,留下
lx=3,联系
ly=1,论
ly=2,了一
ly=3,另一
ly=4,利用
ly=5,理由
lz=1,楼
lz=2,留在
lz=3,来自
ma=1,吗
mb=1,民
mb=2,目标
mb=3,明白
mc=1,猫
mc=2,每次
mc=3,没错
md=1,买
md=2,目的
md=3,面对
me=1,么
me=2,名额
mf=1,们
mf=2,麻烦
mf=3,免费
mg=1,梦
mg=2,每个
mg=3,目光
mh=1,忙
mh=2,美好
mh=3,模糊
mi=1,米
mi=2,名称
mi=3,漫长
mj=1,满
mj=2,面积
mj=3,面具
mk=1,名
mk=2,门口
ml=1,美丽
ml=2,满脸
ml=3,命令
mm=1,面
mm=2,妈妈
mm=3,慢慢
mn=1,秒
mn=2,每年
mn=3,美女
mo=1,摸
mp=1,灭
mp=2,名片
mq=1,谬
mq=2,母亲
mq=3,目前
mq=4,面前
mr=1,没人
mr=2,每人
mr=3,猛然
ms=1,马上
mt=1,明天
mt=2,每天
mt=3,媒体
mu=1,目
mu=2,马上
mu=3,模式
mv=1,梦中
mv=2,某种
mv=3,忙着
mw=1,美
mw=2,名为
mx=1,梦想
mx=2,某些
mx=3,明显
my=1,没有
my=2,每一
my=3,满意
mz=1,某
mz=2,满足
mz=3,名字
na=1,那
nb=1,您
nb=2,那边
nb=3,内部
nc=1,脑
nc=2,那次
nc=3,农村
nd=1,奶
nd=2,你的
nd=3,难道
ne=1,呢
ne=2,那儿
ne=3,女儿
nf=1,嫩
nf=2,能否
nf=3,那份
ng=1,能
ng=2,那个
ng=3,能够
nh=1,囊
nh=2,你好
nh=3,女孩
nh=4,男孩
ni=1,尼
ni=2,拿出
nj=1,南
nj=2,年纪
nk=1,宁
nk=2,难看
nl=1,娘
nl=2,努力
nl=3,那里
nl=4,能力
nm=1,年
nm=2,你们
nm=3,那么
nn=1,鸟
nn=2,那你
nn=3,男女
no=1,诺
no=2,の
npb=1,涅
np=1,捏
np=2,那时候
np=3,哪怕
nq=1,牛
nq=2,年轻
nq=3,拿起
nr=1,暖
nr=2,女人
nr=3,男人
ns=1,农
nt=1,虐
nt=2,那天
nt=3,念头
nu=1,努
nu=2,那是
nu=3,难受
nv=1,女
nv=2,那种
nv=3,拿着
nw=1,内
nw=2,那位
nw=3,难忘
nx=1,哪些
nx=2,那些
nx=3,内心
ny=1,你也
ny=2,那样
ny=3,难以
nz=1,耨
nz=2,脑子
nz=3,女子
nz=4,男子
of=1,$ddcmd(newkey(ofbd),bd\\2标点\\3、，。)
of=2,$ddcmd(newkey(ofpp),pp\\2偏旁\\3亻彳讠)
of=3,$ddcmd(newkey(ofdw),dw\\2单位\\3㎎㎏㎜)
of=4,$ddcmd(newkey(ofpy),py\\2拼音\\3āōē)
of=5,$ddcmd(newkey(ofjt),jt\\2箭头\\3←→↑)
of=6,$ddcmd(newkey(ofyu),yu\\2圆圈数字\\3①②③)
of=7,$ddcmd(newkey(ofku),ku\\2括号数字\\3⑴⑵⑶)
of=8,$ddcmd(newkey(ofdu),du\\2点号数字\\3⒈⒉⒊)
of=9,$ddcmd(newkey(ofvu),vu\\2中文数字\\3㈠㈡㈢)
of=10,$ddcmd(newkey(ofld),ld\\2罗马大写\\3ⅠⅡⅢ)
of=11,$ddcmd(newkey(oflx),lx\\2罗马小写\\3ⅰⅱⅲ)
of=12,$ddcmd(newkey(ofub),ub\\2上标\\3¹²³)
of=13,$ddcmd(newkey(ofxb),xb\\2下标\\3₁₂₃)
of=14,$ddcmd(newkey(oftu),tu\\2特殊符号\\3℃°‰)
of=15,$ddcmd(newkey(ofux),ux\\2数学符号\\3＋－＜)
of=16,$ddcmd(newkey(ofhb),hb\\2货币符号\\3€＄￠)
of=17,$ddcmd(newkey(ofvb),vb\\2制表符号\\3┌└┐)
of=18,$ddcmd(newkey(ofvy),vy\\2注音符号\\3ㄅㄆㄇ)
of=19,$ddcmd(newkey(ofxd),xd\\2希腊大写\\3ΑΒΓ)
of=20,$ddcmd(newkey(ofxx),xx\\2希腊小写\\3αβγ)
of=21,$ddcmd(newkey(ofed),ed\\2俄文大写\\3АБВ)
of=22,$ddcmd(newkey(ofex),ex\\2俄文小写\\3абв)
of=23,$ddcmd(newkey(ofrd),rd\\2日文大写\\3ァアィ)
of=24,$ddcmd(newkey(ofrx),rx\\2日文小写\\3ぁあぃ)
og=1,。”
ok=1,OK
ok=2,👌🏻
oo=1,噢
oq=1,：“
os=1,……
ot=1,@163.com
ot=2,@gmail.com
ot=3,@qq.com
ot=4,@126.com
ou=1,欧
ov=1,——
ox=1,\\
ox=2,**
pa=1,怕
pa=2,平安
pb=1,品
pb=2,旁边
pb=3,陪伴
pc=1,跑
pd=1,拍
pd=2,跑到
pd=3,碰到
pf=1,喷
pf=2,皮肤
pf=3,平凡
pg=1,朋
ph=1,胖
ph=2,破坏
ph=3,配合
pi=1,皮
pi=2,平常
pj=1,盘
pj=2,平静
pj=3,平均
pk=1,评
pk=2,片刻
pk=3,贫困
pl=1,漂亮
pl=2,破裂
pl=3,评论
pm=1,片
pm=2,屏幕
pm=3,拼命
pn=1,票
pn=2,陪你
po=1,破
pp=1,撇
pp=2,偏偏
pp=3,批评
pq=1,脾气
pq=2,贫穷
pr=1,骗人
pr=2,派人
pt=1,普通
pt=2,平台
pu=1,普
pu=2,平时
pv=1,品质
pv=2,陪着
pw=1,配
pw=2,陪我
px=1,平行
py=1,朋友
py=2,便宜
py=3,培养
pz=1,剖
pz=2,胖子
pz=3,骗子
qa=1,亲爱
qb=1,亲
qb=2,区别
qb=3,全部
qc=1,其次
qd=1,确定
qd=2,强大
qd=3,期待
qf=1,气氛
qf=2,前方
qf=3,缺乏
qg=1,情感
qg=2,全国
qg=3,奇怪
qh=1,前后
qh=2,强化
qi=1,其
qi=2,清楚
qi=3,青春
qj=1,期间
qj=2,前进
qj=3,奇迹
qk=1,请
qk=2,情况
qk=3,清空
ql=1,强
ql=2,起来
ql=3,强烈
qm=1,前
qm=2,前面
qm=3,全面
qn=1,桥
qn=2,去年
qn=3,青年
qo=1,情绪
qo=2,取消
qp=1,且
qp=2,欺骗
qp=3,强迫
qq=1,球
qq=2,轻轻
qq=3,请求
qr=1,全
qr=2,确认
qr=3,亲人
qs=1,穷
qs=2,轻松
qt=1,却
qt=2,其他
qu=1,区
qu=2,其实
qu=3,确实
qv=1,群众
qv=2,其中
qv=3,气质
qw=1,千万
qw=2,前往
qw=3,请问
qx=1,恰
qx=2,情绪
qx=3,清晰
qx=4,取消
qy=1,群
qy=2,其余
qy=3,企业
qz=1,亲自
qz=2,妻子
qz=3,裙子
ra=1,热爱
rb=1,日本
rc=1,绕
rc=2,如此
rc=3,人才
rd=1,人的
rd=2,扔到
rd=3,弱点
re=1,热
re=2,然而
rf=1,任
rg=1,仍
rg=2,如果
rh=1,让
rh=2,如何
rh=3,任何
rh=4,然后
ri=1,日
ri=2,日常
ri=3,认出
rj=1,然
rj=2,人家
rj=3,如今
rk=1,认可
rk=2,入口
rl=1,人类
rl=2,热烈
rm=1,人们
rm=2,人民
rm=3,热门
rn=1,让你
rn=2,热闹
rn=3,忍耐
ro=1,若
rq=1,人群
rq=2,热情
rq=3,日期
rr=1,软
rr=2,让人
rr=3,仍然
rs=1,容
rt=1,让他
rt=2,如同
rt=3,让她
ru=1,如
ru=2,认识
ru=3,人生
rv=1,瑞
rv=2,认真
rv=3,忍着
rw=1,让我
rw=2,认为
rw=3,任务
rx=1,热心
rx=2,如下
ry=1,润
ry=2,容易
ry=3,人员
rz=1,肉
rz=2,仍在
rz=3,日子
sa=1,萨
sb=1,随便
sb=2,上班
sb=3,傻逼
sc=1,扫
sc=2,色彩
sd=1,赛
sd=2,送到
sd=3,速度
se=1,色
sf=1,森
sf=2,散发
sg=1,僧
sg=2,三个
sg=3,送给
sh=1,桑
sh=2,说话
sh=3,时候
sh=4,似乎
si=1,斯
si=2,四处
si=3,送出
sj=1,三
sj=2,实际
sj=3,手机
sj=4,#$(Year)年$(month)月$(day)日 $(Hour):$(minute):$(second) $(week_cn)
sj=5,$ddcmd(<date.yyyy>-<date.mm>-<date.dd> <time.h>:<time.mm>:<time.ss> <date.Z>, <date.yyyy>-<date.mm>-<date.dd> <time.h>:<time.mm>:<time.ss> <date.Z>)
sj=6,农历 #$(year_ln)$(month_ln)$(day_ln)
sj=7,#$(Year)-$(month)-$(day_dd) $(Hour):$(minute):$(second) $(week_cn)
sk=1,思考
sk=2,松开
sl=1,算了
sl=2,实力
sl=3,死了
sm=1,什么
sm=2,上面
sm=3,生命
sn=1,思念
so=1,索
sp=1,碎片
sq=1,色情
sq=2,死去
sr=1,算
sr=2,死人
sr=3,虽然
ss=1,送
ss=2,试试
ss=3,搜索
su=1,苏
su=2,损失
su=3,随时
sv=1,岁
sv=2,四周
sv=3,随着
sw=1,思维
sw=2,死亡
sw=3,所谓
sx=1,思想
sx=2,实现
sx=3,缩小
sy=1,孙
sy=2,所以
sy=3,所有
sy=4,使用
sz=1,搜
sz=2,所在
sz=3,死在
ta=1,她
tb=1,逃避
tb=2,特别
tb=3,同步
tc=1,套
tc=2,推测
tc=3,天才
td=1,太
td=2,听到
td=3,他的
te=1,特
tf=1,头发
tf=2,天赋
tg=1,疼
tg=2,提高
tg=3,通过
th=1,汤
th=2,谈话
th=3,体会
ti=1,提
ti=2,退出
ti=3,提出
tj=1,谈
tj=2,条件
tj=3,推荐
tk=1,挺
tk=2,痛苦
tk=3,天空
tl=1,听了
tl=2,讨论
tm=1,天
tm=2,他们
tm=3,它们
tn=1,条
tn=2,体内
to=1,托
tp=1,铁
tp=2,图片
tp=3,突破
tq=1,提前
tq=2,同情
tq=3,天气
tr=1,团
tr=2,投入
tr=3,突然
ts=1,同
ts=2,特色
tt=1,抬头
tt=2,偷偷
tt=3,疼痛
tu=1,图
tu=2,同时
tu=3,特殊
tv=1,退
tv=2,调整
tv=3,听着
tvl=1,推
tvl=2,停止了
tvl=3,腆着脸
tvl=4,偷着乐
tw=1,听完
tw=2,跳舞
tx=1,提醒
tx=2,同学
tx=3,天下
ty=1,吞
ty=2,同样
ty=3,讨厌
tz=1,头
tz=2,他在
tz=3,它在
ua=1,沙
ub=1,失败
ub=2,身边
ub=3,顺便
uc=1,少
uc=2,上次
uc=3,身材
ud=1,晒
ud=2,说道
ud=3,受到
ud=4,收到
ue=1,设
uf=1,深
uf=2,十分
uf=3,身份
ug=1,生
ug=2,是个
ug=3,说过
uh=1,上
uh=2,生活
uh=3,社会
uh=4,伤害
ui=1,时
ui=2,生产
ui=3,市场
uj=1,山
uj=2,瞬间
uj=3,数据
uk=1,率
uk=2,时刻
uk=3,深刻
ul=1,双
ul=2,上来
ul=3,数量
um=1,说明
um=2,神秘
un=1,十年
un=2,少女
un=3,少年
uo=1,说
uo=2,时间
uo=3,世界
uo=4,说：“
up=1,视频
up=2,水平
up=3,商品
uq=1,事情
uq=2,上去
uq=3,失去
ur=1,涮
ur=2,杀人
ur=3,收入
us=1,生死
us=2,杀死
us=3,收缩
ut=1,身体
ut=2,尸体
ut=3,石头
uu=1,书
uu=2,身上
uu=3,事实
uv=1,水
uv=2,甚至
uv=3,手中
uw=1,谁
uw=2,失望
uw=3,上午
ux=1,刷
ux=2,熟悉
ux=3,首先
uy=1,顺
uy=2,声音
uy=3,属于
uz=1,手
uz=2,实在
uz=3,身子
va=1,炸
va=2,障碍
vb=1,准备
vb=2,这边
vb=3,装备
vc=1,找
vc=2,这次
vc=3,注册
vd=1,债
vd=2,知道
vd=3,找到
vd=4,真的
ve=1,这
ve=2,这儿
vf=1,真
vf=2,政府
vf=3,丈夫
vg=1,正
vg=2,这个
vg=3,整个
vh=1,张
vh=2,正好
vh=3,之后
vi=1,之
vi=2,正常
vi=3,支持
vj=1,站
vj=2,直接
vj=3,之间
vk=1,拽
vk=2,状况
vk=3,展开
vl=1,装
vl=2,这里
vl=3,质量
vm=1,证明
vm=2,这么
vm=3,专门
vn=1,只能
vn=2,之内
vo=1,桌
vp=1,照片
vp=2,这时候
vp=3,只怕
vq=1,正确
vq=2,追求
vq=3,之前
vr=1,转
vr=2,主人
vr=3,众人
vs=1,种
vs=2,这是
vs=3,只是
vt=1,状态
vt=2,整天
vt=3,整体
vu=1,主
vu=2,这是
vu=3,只是
vv=1,追
vv=2,这种
vv=3,真正
vw=1,周围
vw=2,这位
vw=3,中午
vx=1,抓
vx=2,这些
vx=3,中心
vy=1,准
vy=2,之一
vy=3,只有
vy=4,这样
vy=5,只要
vz=1,周
vz=2,正在
vz=3,站在
wa=1,瓦
wa=2,晚安
wa=3,午安
wb=1,无比
wb=2,未必
wb=3,五笔
wc=1,卧槽
wc=2,未曾
wc=3,我草
wd=1,外
wd=2,我的
wd=3,味道
we=1,巍峨
wf=1,问
wf=2,无法
wg=1,翁
wg=2,我国
wg=3,外国
wg=4,无关
wh=1,王
wh=2,为何
wh=3,文化
wi=1,完成
wi=2,维持
wj=1,万
wj=2,文件
wj=3,忘记
wl=1,为了
wl=2,未来
wl=3,无论
wm=1,我们
wm=2,外面
wm=3,完美
wn=1,我能
wn=2,温暖
wn=3,无奈
wo=1,沃
wp=1,物品
wq=1,完全
wq=2,武器
wq=3,委屈
wr=1,围绕
wr=2,温柔
ws=1,无所
wt=1,问题
wt=2,舞台
wt=3,物体
wu=1,无
wu=2,无数
wu=3,晚上
wv=1,位置
wv=2,完整
wv=3,望着
ww=1,为
ww=2,微微
ww=3,往往
wx=1,我想
wx=2,微笑
wx=3,危险
wy=1,我也
wy=2,唯一
wy=3,万一
wy=4,我有
wy=5,我要
wz=1,屋子
wz=2,我在
wz=3,文字
xa=1,喜爱
xa=2,心爱
xb=1,新
xb=2,下班
xb=3,宣布
xc=1,下次
xc=2,乡村
xd=1,兄弟
xd=2,想到
xd=3,许多
xe=1,邪恶
xf=1,幸福
xf=2,想法
xf=3,兴奋
xg=1,习惯
xg=2,相关
xg=3,效果
xh=1,喜欢
xh=2,学会
xh=3,小孩
xi=1,西
xi=2,现场
xi=3,形成
xj=1,许久
xj=2,小姐
xj=3,细节
xj=4,下降
xk=1,行
xk=2,辛苦
xk=3,彳亍
xl=1,想
xl=2,下来
xl=3,系列
xm=1,先
xm=2,下面
xm=3,羡慕
xn=1,校
xn=2,想念
xo=1,下去
xo=2,想起
xp=1,写
xp=2,小时候
xq=1,修
xq=2,心情
xq=3,下去
xq=4,想起
xr=1,选
xr=2,笑容
xr=3,显然
xs=1,熊
xs=2,现实
xs=3,迅速
xt=1,学
xt=2,相同
xt=3,系统
xu=1,需
xu=2,显示
xu=3,消失
xv=1,旋转
xv=2,寻找
xv=3,心中
xw=1,希望
xw=2,行为
xw=3,下午
xx=1,下
xx=2,学习
xx=3,相信
xx=4,小心
xy=1,讯
xy=2,需要
xy=3,想要
xz=1,选择
xz=2,现在
xz=3,下载
ya=1,亚
yb=1,因
yb=2,一般
yb=3,一边
yb=4,一半
yb=5,拥抱
yb=6,原本
yc=1,要
yc=2,一次
yc=3,因此
yd=1,一定
yd=2,一旦
yd=3,一点
yd=4,有点
ye=1,也
yf=1,衣服
yf=2,一份
yf=3,一副
yf=4,远方
yg=1,一个
yg=2,一股
yg=3,一根
yg=4,一共
yg=5,应该
yg=6,有关
yh=1,样
yh=2,一行
yh=3,以后
yh=4,也会
yi=1,一
yi=2,一场
yi=3,异常
yj=1,眼
yj=2,一件
yj=3,一句
yj=4,眼睛
yj=5,已经
yk=1,应
yk=2,一块
yk=3,愉快
yl=1,有了
yl=2,以来
yl=3,原来
ym=1,也没
ym=2,一名
ym=3,郁闷
ym=4,要么
yn=1,一年
yn=2,又能
