字	内部名次	外部名次	来源
问	180	82	内部+外部
元	92	319	内部+外部
主	193	84	内部+外部
实	283	85	内部+外部
才	94	176	内部+外部
天	128	86	内部+外部
及	95	210	内部+外部
内	96	151	内部+外部
请	97	320	内部+外部
现	184	89	内部+外部
者	98	114	内部+外部
只	99	103	内部+外部
长	111	90	内部+外部
月	100	159	内部+外部
此	152	91	内部+外部
三	101	92	内部+外部
性	102	180	内部+外部
它	103	281	内部+外部
无	138	94	内部+外部
吗	104	608	内部+外部
国	107	95	内部+外部
全	126	96	内部+外部
由	106	148	内部+外部
文	188	97	内部+外部
理	264	98	内部+外部
明	257	99	内部+外部
学	109	123	内部+外部
车	110	283	内部+外部
些	318	101	内部+外部
市	113	482	内部+外部
公	170	104	内部+外部
呢	115	437	内部+外部
十	252	106	内部+外部
店	117	768	内部+外部
意	424	107	内部+外部
正	202	108	内部+外部
至	119	214	内部+外部
外	201	109	内部+外部
您	122	875	内部+外部
间	230	111	内部+外部
加	123	186	内部+外部
区	124	579	内部+外部
情	388	113	内部+外部
水	125	167	内部+外部
爱	127	355	内部+外部
重	430	116	内部+外部
相	319	117	内部+外部
张	129	227	内部+外部
美	130	209	内部+外部
向	131	119	内部+外部
名	132	134	内部+外部
知	353	120	内部+外部
打	133	166	内部+外部
因	142	121	内部+外部
样	400	122	内部+外部
跟	135	471	内部+外部
金	136	199	内部+外部
应	185	124	内部+外部
部	137	170	内部+外部
手	198	126	内部+外部
万	139	238	内部+外部
带	140	267	内部+外部
信	248	128	内部+外部
路	141	194	内部+外部
关	267	129	内部+外部
王	143	242	内部+外部
使	179	130	内部+外部
种	245	131	内部+外部
二	145	135	内部+外部
见	328	132	内部+外部
力	231	133	内部+外部
像	147	284	内部+外部
化	149	233	内部+外部
处	221	136	内部+外部
位	150	142	内部+外部
门	302	137	内部+外部
先	151	141	内部+外部
口	344	139	内部+外部
每	153	308	内部+外部
图	154	460	内部+外部
么	295	140	内部+外部
走	157	196	内部+外部
头	320	143	内部+外部
回	224	144	内部+外部
却	159	288	内部+外部
话	254	145	内部+外部
老	160	190	内部+外部
业	161	310	内部+外部
挺	163	1436	内部+外部
身	458	149	内部+外部
放	164	183	内部+外部
则	165	255	内部+外部
入	190	150	内部+外部
菜	166	943	内部+外部
网	167	935	内部+外部
平	236	153	内部+外部
少	169	164	内部+外部
次	191	156	内部+外部
总	172	198	内部+外部
别	277	157	内部+外部
几	444	158	内部+外部
类	174	493	内部+外部
场	176	224	内部+外部
真	177	160	内部+外部
立	440	161	内部+外部
县	178	1071	内部+外部
通	251	163	内部+外部
号	181	507	内部+外部
机	197	165	内部+外部
线	182	522	内部+外部
科	183	647	内部+外部
果	406	168	内部+外部
期	187	328	内部+外部
何	483	171	内部+外部
站	189	389	内部+外部
安	239	172	内部+外部
接	389	173	内部+外部
报	279	174	内部+外部
找	192	391	内部+外部
声	612	175	内部+外部
度	194	236	内部+外部
体	260	177	内部+外部
斯	195	504	内部+外部
今	412	178	内部+外部
快	196	244	内部+外部
合	276	179	内部+外部
写	199	423	内部+外部
西	210	181	内部+外部
型	200	1159	内部+外部
表	305	184	内部+外部
李	203	360	内部+外部
目	394	185	内部+外部
式	204	410	内部+外部
各	205	239	内部+外部
常	338	187	内部+外部
女	206	256	内部+外部
量	207	298	内部+外部
己	598	189	内部+外部
特	208	263	内部+外部
德	209	356	内部+外部
四	213	191	内部+外部
卡	211	1248	内部+外部
件	449	192	内部+外部
强	212	260	内部+外部
解	484	193	内部+外部
低	214	450	内部+外部
钱	215	424	内部+外部
利	216	219	内部+外部
马	218	259	内部+外部
完	219	258	内部+外部
原	220	207	内部+外部
管	269	200	内部+外部
光	362	201	内部+外部
东	222	206	内部+外部
工	244	202	内部+外部
非	223	231	内部+外部
结	563	203	内部+外部
提	232	204	内部+外部
数	225	218	内部+外部
任	365	205	内部+外部
股	226	884	内部+外部
达	227	382	内部+外部
花	228	305	内部+外部
便	428	208	内部+外部
受	229	229	内部+外部
教	374	211	内部+外部
某	233	689	内部+外部
难	396	212	内部+外部
基	234	652	内部+外部
世	532	213	内部+外部
山	235	217	内部+外部
气	427	215	内部+外部
拉	237	398	内部+外部
神	392	216	内部+外部
玩	238	958	内部+外部
称	240	443	内部+外部
拿	241	509	内部+外部
值	242	615	内部+外部
未	243	304	内部+外部
代	421	221	内部+外部
直	450	222	内部+外部
色	478	223	内部+外部
越	246	429	内部+外部
省	247	691	内部+外部
变	288	225	内部+外部
记	348	226	内部+外部
海	250	252	内部+外部
必	528	228	内部+外部
尔	253	456	内部+外部
交	359	230	内部+外部
据	255	407	内部+外部
服	524	232	内部+外部
米	256	891	内部+外部
求	413	234	内部+外部
超	258	822	内部+外部
风	352	235	内部+外部
算	259	240	内部+外部
听	261	316	内部+外部
克	262	510	内部+外部
林	263	330	内部+外部
岁	265	662	内部+外部
边	506	241	内部+外部
款	266	1075	内部+外部
什	686	243	内部+外部
指	268	253	内部+外部
许	660	245	内部+外部
电	270	313	内部+外部
连	315	246	内部+外部
选	271	560	内部+外部
五	273	247	内部+外部
条	272	262	内部+外部
活	366	248	内部+外部
思	637	249	内部+外部
南	274	311	内部+外部
系	275	297	内部+外部
步	566	251	内部+外部
按	278	617	内部+外部
物	405	254	内部+外部
近	280	293	内部+外部
台	281	341	内部+外部
刚	282	478	内部+外部
城	284	337	内部+外部
版	285	1224	内部+外部
读	286	705	内部+外部
曾	287	462	内部+外部
言	816	261	内部+外部
集	289	435	内部+外部
叫	290	368	内部+外部
命	844	264	内部+外部
周	291	409	内部+外部
感	299	265	内部+外部
率	292	936	内部+外部
清	358	266	内部+外部
约	293	433	内部+外部
陈	294	618	内部+外部
认	634	268	内部+外部
保	363	269	内部+外部
谁	296	520	内部+外部
油	297	956	内部+外部
望	814	270	内部+外部
资	298	567	内部+外部
转	331	271	内部+外部
传	463	272	内部+外部
华	300	309	内部+外部
儿	471	273	内部+外部
村	301	725	内部+外部
制	310	274	内部+外部
干	323	275	内部+外部
份	303	844	内部+外部
计	447	276	内部+外部
贵	304	673	内部+外部
民	410	277	内部+外部
白	313	278	内部+外部
组	306	842	内部+外部
住	350	279	内部+外部
即	307	291	内部+外部
价	308	667	内部+外部
字	336	280	内部+外部
建	309	419	内部+外部
义	745	282	内部+外部
需	311	650	内部+外部
差	312	556	内部+外部
反	466	285	内部+外部
罗	314	472	内部+外部
象	810	286	内部+外部
题	335	287	内部+外部
项	316	697	内部+外部
单	317	339	内部+外部
流	435	289	内部+外部
且	373	290	内部+外部
送	321	373	内部+外部
深	378	292	内部+外部
红	322	381	内部+外部
形	642	294	内部+外部
级	324	761	内部+外部
取	529	295	内部+外部
帮	325	581	内部+外部
往	521	296	内部+外部
黄	326	494	内部+外部
品	327	444	内部+外部
论	657	299	内部+外部
鱼	329	1059	内部+外部
北	330	329	内部+外部
告	787	300	内部+外部
息	764	301	内部+外部
考	332	588	内部+外部
布	333	400	内部+外部
决	861	303	内部+外部
喝	334	989	内部+外部
收	339	306	内部+外部
产	337	453	内部+外部
满	416	307	内部+外部
队	340	548	内部+外部
阿	341	547	内部+外部
双	342	350	内部+外部
刘	343	753	内部+外部
觉	768	312	内部+外部
格	345	396	内部+外部
空	460	314	内部+外部
包	346	378	内部+外部
眼	542	315	内部+外部
黑	347	446	内部+外部
远	409	317	内部+外部
啦	349	1490	内部+外部
师	382	318	内部+外部
较	351	571	内部+外部
容	693	321	内部+外部
哦	354	1667	内部+外部
穿	355	685	内部+外部
军	425	323	内部+外部
男	356	555	内部+外部
士	611	324	内部+外部
卖	357	796	内部+外部
百	596	325	内部+外部
办	445	326	内部+外部
语	565	327	内部+外部
讲	360	552	内部+外部
肉	361	967	内部+外部
改	364	352	内部+外部
识	928	331	内部+外部
半	496	332	内部+外部
夫	527	333	内部+外部
香	367	518	内部+外部
客	578	334	内部+外部
房	368	386	内部+外部
战	482	335	内部+外部
死	369	342	内部+外部
院	559	336	内部+外部
投	370	573	内部+外部
司	371	346	内部+外部
候	1022	338	内部+外部
费	372	498	内部+外部
音	801	340	内部+外部
亚	375	847	内部+外部
热	376	475	内部+外部
换	377	559	内部+外部
视	540	343	内部+外部
领	576	344	内部+外部
汤	379	1497	内部+外部
失	922	345	内部+外部
球	380	962	内部+外部
赛	381	1118	内部+外部
亲	760	347	内部+外部
始	830	348	内部+外部
极	469	349	内部+外部
局	384	554	内部+外部
坐	385	439	内部+外部
哪	386	542	内部+外部
令	695	351	内部+外部
龙	387	533	内部+外部
功	799	353	内部+外部
程	553	354	内部+外部
首	390	377	内部+外部
员	391	361	内部+外部
复	749	357	内部+外部
商	393	425	内部+外部
切	539	358	内部+外部
随	558	359	内部+外部
易	395	415	内部+外部
段	397	490	内部+外部
句	398	526	内部+外部
离	508	362	内部+外部
云	399	418	内部+外部
轻	678	363	内部+外部
观	593	364	内部+外部
仅	401	754	内部+外部
青	592	365	内部+外部
均	402	1106	内部+外部
足	535	366	内部+外部
共	403	461	内部+外部
落	857	367	内部+外部
片	404	413	内部+外部
根	500	369	内部+外部
创	407	939	内部+外部
怎	1243	370	内部+外部
宝	408	575	内部+外部
持	516	371	内部+外部
精	595	372	内部+外部
设	411	395	内部+外部
众	633	374	内部+外部
影	601	375	内部+外部
八	526	376	内部+外部
微	414	431	内部+外部
副	415	701	内部+外部
准	573	379	内部+外部
配	417	784	内部+外部
展	418	405	内部+外部
兴	794	380	内部+外部
拍	419	949	内部+外部
岛	420	1342	内部+外部
早	438	383	内部+外部
装	422	465	内部+外部
尽	853	384	内部+外部
古	423	524	内部+外部
故	884	385	内部+外部
引	761	387	内部+外部
游	426	532	内部+外部
火	477	388	内部+外部
属	429	648	内部+外部
似	1216	390	内部+外部
维	431	694	内部+外部
备	851	392	内部+外部
器	432	537	内部+外部
调	824	393	内部+外部
层	433	702	内部+外部
断	913	394	内部+外部
增	434	851	内部+外部
石	436	404	内部+外部
消	732	397	内部+外部
镇	437	910	内部+外部
照	605	399	内部+外部
盘	439	758	内部+外部
推	441	427	内部+外部
友	579	401	内部+外部
蛮	442	1922	内部+外部
整	474	402	内部+外部
纳	443	914	内部+外部
术	594	403	内部+外部
座	446	715	内部+外部
紧	1044	406	内部+外部
证	448	477	内部+外部
终	1050	408	内部+外部
巴	451	620	内部+外部
另	452	536	内部+外部
举	647	411	内部+外部
试	453	545	内部+外部
飞	582	412	内部+外部
篇	454	1113	内部+外部
占	455	887	内部+外部
虽	918	414	内部+外部
联	456	590	内部+外部
亿	457	1517	内部+外部
运	515	416	内部+外部
笑	709	417	内部+外部
节	459	455	内部+外部
饭	461	769	内部+外部
味	462	779	内部+外部
谈	679	420	内部+外部
界	603	421	内部+外部
奖	464	1460	内部+外部
务	486	422	内部+外部
星	465	541	内部+外部
州	467	688	内部+外部
久	468	486	内部+外部
乐	476	426	内部+外部
排	470	666	内部+外部
注	481	428	内部+外部
河	472	619	内部+外部
食	473	727	内部+外部
千	718	430	内部+外部
银	475	605	内部+外部
若	556	432	内部+外部
英	497	434	内部+外部
杨	479	811	内部+外部
示	699	436	内部+外部
跑	480	825	内部+外部
待	858	438	内部+外部
议	924	440	内部+外部
病	485	476	内部+外部
乎	1496	441	内部+外部
留	517	442	内部+外部
靠	487	746	内部+外部
掉	488	817	内部+外部
晚	489	530	内部+外部
志	658	445	内部+外部
团	490	591	内部+外部
广	491	512	内部+外部
存	722	447	内部+外部
田	492	864	内部+外部
六	495	448	内部+外部
波	493	740	内部+外部
造	608	449	内部+外部
牛	494	946	内部+外部
江	538	451	内部+外部
念	1034	452	内部+外部
茶	498	981	内部+外部
哈	499	771	内部+外部
刻	1330	454	内部+外部
兰	501	641	内部+外部
史	502	570	内部+外部
歌	503	916	内部+外部
势	825	458	内部+外部
酒	504	614	内部+外部
依	845	459	内部+外部
皮	505	766	内部+外部
群	507	481	内部+外部
赞	509	1146	内部+外部
响	953	463	内部+外部
查	510	502	内部+外部
底	729	464	内部+外部
伊	511	1230	内部+外部
懂	512	1123	内部+外部
具	546	466	内部+外部
博	513	1050	内部+外部
喜	788	467	内部+外部
画	514	603	内部+外部
严	971	468	内部+外部
九	705	469	内部+外部
况	1062	470	内部+外部
支	518	497	内部+外部
社	519	558	内部+外部
粉	520	1417	内部+外部
须	1019	473	内部+外部
显	674	474	内部+外部
供	522	767	内部+外部
街	523	924	内部+外部
块	525	612	内部+外部
治	530	479	内部+外部
绝	1086	480	内部+外部
塔	531	1317	内部+外部
阳	723	483	内部+外部
确	791	484	内部+外部
仍	533	529	内部+外部
究	1157	485	内部+外部
奥	534	1395	内部+外部
除	636	487	内部+外部
源	536	909	内部+外部
闻	1061	488	内部+外部
购	537	1516	内部+外部
答	669	489	内部+外部
官	638	491	内部+外部
杯	541	1058	内部+外部
政	550	492	内部+外部
权	543	540	内部+外部
鸡	544	1391	内部+外部
武	762	495	内部+外部
标	545	678	内部+外部
七	610	496	内部+外部
班	547	829	内部+外部
尼	548	955	内部+外部
父	1118	499	内部+外部
词	549	819	内部+外部
统	765	500	内部+外部
木	551	539	内部+外部
府	823	501	内部+外部
树	552	508	内部+外部
般	1007	503	内部+外部
错	554	553	内部+外部
库	555	1154	内部+外部
倒	684	505	内部+外部
突	1156	506	内部+外部
搞	557	1472	内部+外部
升	560	913	内部+外部
养	561	704	内部+外部
烤	562	2553	内部+外部
初	739	511	内部+外部
楼	564	632	内部+外部
奇	672	513	内部+外部
愿	1144	514	内部+外部
欢	1151	515	内部+外部
优	567	874	内部+外部
希	586	516	内部+外部
普	568	906	内部+外部
母	939	517	内部+外部
讯	569	1211	内部+外部
福	570	646	内部+外部
破	661	519	内部+外部
索	571	613	内部+外部
森	572	1252	内部+外部
致	735	521	内部+外部
模	574	584	内部+外部
吴	575	1024	内部+外部
急	955	523	内部+外部
医	577	643	内部+外部
既	829	525	内部+外部
京	590	527	内部+外部
偏	580	1007	内部+外部
甚	1190	528	内部+外部
锅	581	2116	内部+外部
够	583	565	内部+外部
料	584	580	内部+外部
争	1072	531	内部+外部
脸	585	585	内部+外部
辣	587	2408	内部+外部
余	737	534	内部+外部
著	588	726	内部+外部
护	962	535	内部+外部
洗	589	1043	内部+外部
户	591	626	内部+外部
细	721	538	内部+外部
案	597	569	内部+外部
苦	1055	543	内部+外部
孩	808	544	内部+外部
洛	599	1188	内部+外部
专	600	576	内部+外部
朝	946	546	内部+外部
梦	602	840	内部+外部
居	755	549	内部+外部
药	604	656	内部+外部
害	1283	550	内部+外部
湖	606	815	内部+外部
独	1016	551	内部+外部
质	607	668	内部+外部
苏	609	720	内部+外部
参	690	557	内部+外部
季	613	1260	内部+外部
妈	614	968	内部+外部
港	615	1313	内部+外部
峰	616	1204	内部+外部
川	617	1155	内部+外部
止	832	561	内部+外部
短	618	786	内部+外部
际	1057	562	内部+外部
降	619	963	内部+外部
假	773	563	内部+外部
园	620	782	内部+外部
汉	677	564	内部+外部
营	621	763	内部+外部
列	622	671	内部+外部
诉	1427	566	内部+外部
沙	623	703	内部+外部
涨	624	1894	内部+外部
密	1116	568	内部+外部
叶	625	812	内部+外部
获	626	901	内部+外部
慢	627	734	内部+外部
富	628	714	内部+外部
派	629	595	内部+外部
环	652	572	内部+外部
呀	630	1254	内部+外部
血	631	680	内部+外部
静	1023	574	内部+外部
校	632	807	内部+外部
修	649	577	内部+外部
煮	635	2552	内部+外部
室	779	578	内部+外部
亦	639	986	内部+外部
炒	640	2609	内部+外部
衣	1001	582	内部+外部
圣	641	903	内部+外部
竟	1372	583	内部+外部
预	643	837	内部+外部
规	644	589	内部+外部
善	929	586	内部+外部
圈	645	1301	内部+外部
兵	1056	587	内部+外部
赵	646	1085	内部+外部
诺	648	1253	内部+外部
梅	650	905	内部+外部
盐	651	1887	内部+外部
冷	691	592	内部+外部
玉	701	593	内部+外部
课	653	1326	内部+外部
施	756	594	内部+外部
景	654	633	内部+外部
货	655	1026	内部+外部
纪	1043	596	内部+外部
吉	656	995	内部+外部
采	666	597	内部+外部
历	1032	598	内部+外部
顾	1214	599	内部+外部
铁	659	636	内部+外部
春	711	600	内部+外部
责	1179	601	内部+外部
含	662	856	内部+外部
夜	967	602	内部+外部
套	663	846	内部+外部
票	664	1162	内部+外部
惊	1603	604	内部+外部
防	665	801	内部+外部
负	895	606	内部+外部
牌	667	925	内部+外部
续	817	607	内部+外部
左	668	611	内部+外部
简	925	609	内部+外部
狗	670	1336	内部+外部
企	671	1261	内部+外部
章	909	610	内部+外部
雷	673	741	内部+外部
补	675	1015	内部+外部
瓦	676	1328	内部+外部
态	966	616	内部+外部
素	680	660	内部+外部
松	681	765	内部+外部
烧	682	1150	内部+外部
恩	683	858	内部+外部
冲	747	621	内部+外部
阵	1599	622	内部+外部
欧	685	972	内部+外部
境	1076	623	内部+外部
助	805	624	内部+外部
剧	687	1051	内部+外部
角	700	625	内部+外部
轮	688	997	内部+外部
卷	689	953	内部+外部
乱	886	627	内部+外部
呼	1557	628	内部+外部
灵	961	629	内部+外部
净	692	1244	内部+外部
脚	828	630	内部+外部
土	694	663	内部+外部
继	959	631	内部+外部
党	696	830	内部+外部
停	697	635	内部+外部
怕	720	634	内部+外部
氏	698	1137	内部+外部
异	1161	637	内部+外部
谢	820	638	内部+外部
托	702	735	内部+外部
否	1261	639	内部+外部
甜	703	2014	内部+外部
啥	704	1931	内部+外部
伤	750	640	内部+外部
旅	706	1131	内部+外部
置	890	642	内部+外部
嘛	707	1614	内部+外部
丝	708	878	内部+外部
良	894	644	内部+外部
承	1081	645	内部+外部
哥	710	676	内部+外部
技	712	833	内部+外部
康	713	850	内部+外部
围	988	649	内部+外部
勒	714	1250	内部+外部
板	715	695	内部+外部
秀	716	743	内部+外部
退	942	651	内部+外部
财	717	818	内部+外部
右	800	653	内部+外部
温	719	730	内部+外部
速	733	654	内部+外部
适	979	655	内部+外部
怀	1196	657	内部+外部
击	938	658	内部+外部
智	724	888	内部+外部
限	725	814	内部+外部
夏	726	921	内部+外部
迪	727	1638	内部+外部
背	742	661	内部+外部
翻	728	803	内部+外部
莱	730	1542	内部+外部
忙	1036	664	内部+外部
桥	731	1128	内部+外部
充	941	665	内部+外部
瑞	734	1178	内部+外部
遇	991	669	内部+外部
泰	736	1214	内部+外部
端	740	670	内部+外部
导	738	728	内部+外部
印	893	672	内部+外部
胜	741	736	内部+外部
疑	1559	674	内部+外部
露	1002	675	内部+外部
研	743	867	内部+外部
徐	744	1005	内部+外部
杀	771	677	内部+外部
朱	746	841	内部+外部
招	809	679	内部+外部
贴	748	1219	内部+外部
礼	1024	681	内部+外部
弟	1680	682	内部+外部
孙	751	789	内部+外部
亮	786	683	内部+外部
额	752	1100	内部+外部
齐	856	684	内部+外部
贝	753	1161	内部+外部
演	754	896	内部+外部
脑	1020	686	内部+外部
委	920	687	内部+外部
野	757	919	内部+外部
旧	758	798	内部+外部
猫	759	1746	内部+外部
顺	974	690	内部+外部
讨	1824	692	内部+外部
尚	813	693	内部+外部
鲜	763	1103	内部+外部
散	1135	696	内部+外部
蓝	766	1136	内部+外部
寺	767	1843	内部+外部
状	863	698	内部+外部
追	827	699	内部+外部
例	769	877	内部+外部
丽	770	751	内部+外部
笔	868	700	内部+外部
练	772	974	内部+外部
摄	774	1607	内部+外部
鲁	775	1021	内部+外部
睡	776	911	内部+外部
习	1031	706	内部+外部
碗	777	1830	内部+外部
永	840	707	内部+外部
压	778	820	内部+外部
草	917	708	内部+外部
胡	797	709	内部+外部
棒	780	2234	内部+外部
唐	781	759	内部+外部
济	848	710	内部+外部
顿	782	794	内部+外部
执	1345	711	内部+外部
君	783	860	内部+外部
察	1381	712	内部+外部
塞	784	1061	内部+外部
归	871	713	内部+外部
宫	785	917	内部+外部
雨	850	716	内部+外部
堂	836	717	内部+外部
韩	789	1275	内部+外部
威	815	718	内部+外部
糖	790	1895	内部+外部
忽	1873	719	内部+外部
莫	792	731	内部+外部
乡	793	810	内部+外部
船	1065	721	内部+外部
罪	1193	722	内部+外部
核	795	1505	内部+外部
敢	1096	723	内部+外部
佳	796	1064	内部+外部
妇	1818	724	内部+外部
辆	798	1335	内部+外部
免	956	729	内部+外部
融	802	1315	内部+外部
萨	803	1356	内部+外部
冰	804	1000	内部+外部
掌	1554	732	内部+外部
范	806	770	内部+外部
激	1309	733	内部+外部
略	807	748	内部+外部
险	821	737	内部+外部
丁	811	944	内部+外部
寻	1368	738	内部+外部
盖	812	879	内部+外部
守	1088	739	内部+外部
沉	1534	742	内部+外部
减	818	1171	内部+外部
职	865	744	内部+外部
宗	819	831	内部+外部
验	1114	745	内部+外部
楚	1418	747	内部+外部
嘉	822	1836	内部+外部
族	950	749	内部+外部
藏	931	750	内部+外部
雪	826	774	内部+外部
渐	1590	752	内部+外部
肯	1294	755	内部+外部
郑	831	1321	内部+外部
担	1293	756	内部+外部
扬	1380	757	内部+外部
届	833	1702	内部+外部
纯	834	1160	内部+外部
育	835	975	内部+外部
钟	982	760	内部+外部
刷	837	1927	内部+外部
硬	838	941	内部+外部
毛	839	762	内部+外部
坚	1218	764	内部+外部
绿	841	945	内部+外部
馆	842	827	内部+外部
酸	843	1616	内部+外部
累	846	1077	内部+外部
戴	847	1111	内部+外部
蒂	849	1654	内部+外部
赶	1255	772	内部+外部
坏	852	832	内部+外部
斗	1270	775	内部+外部
效	901	776	内部+外部
健	854	1101	内部+外部
临	1039	777	内部+外部
登	855	835	内部+外部
农	934	778	内部+外部
恶	1443	780	内部+外部
控	859	1060	内部+外部
烟	1364	781	内部+外部
蒙	860	1040	内部+外部
烈	1511	783	内部+外部
餐	862	1303	内部+外部
杂	1468	785	内部+外部
挂	864	1045	内部+外部
卫	927	787	内部+外部
雅	866	1073	内部+外部
跳	874	788	内部+外部
郭	867	1559	内部+外部
虾	869	2829	内部+外部
曲	960	790	内部+外部
付	870	863	内部+外部
封	930	791	内部+外部
抓	905	792	内部+外部
评	872	1044	内部+外部
移	1164	793	内部+外部
泽	873	1226	内部+外部
律	1268	795	内部+外部
宁	875	870	内部+外部
汽	876	1536	内部+外部
艺	986	797	内部+外部
赚	877	2129	内部+外部
炸	878	1507	内部+外部
朋	1263	799	内部+外部
积	879	923	内部+外部
跌	880	1663	内部+外部
救	1150	800	内部+外部
测	881	1065	内部+外部
益	882	848	内部+外部
脱	1192	802	内部+外部
杰	883	1121	内部+外部
划	933	804	内部+外部
诗	885	852	内部+外部
迎	1369	805	内部+外部
痛	963	806	内部+外部
互	887	922	内部+外部
曼	888	1550	内部+外部
窗	1285	808	内部+外部
帕	889	1668	内部+外部
宣	1175	809	内部+外部
谷	891	1097	内部+外部
杜	892	1086	内部+外部
警	1014	813	内部+外部
编	896	1016	内部+外部
酱	897	3019	内部
软	904	816	内部+外部
汁	898	2583	内部+外部
饰	899	1494	内部+外部
厅	900	977	内部+外部
顶	902	859	内部+外部
咸	903	2403	内部+外部
挥	1853	821	内部+外部
屋	1010	823	内部+外部
唱	906	1152	内部+外部
秋	1035	824	内部+外部
猪	907	1773	内部+外部
借	908	907	内部+外部
忘	989	826	内部+外部
伦	910	1167	内部+外部
暗	1350	828	内部+外部
伯	911	854	内部+外部
庄	912	861	内部+外部
梁	914	1180	内部+外部
厂	915	1151	内部+外部
宋	916	1193	内部+外部
困	1449	834	内部+外部
厚	919	1063	内部+外部
姐	1213	836	内部+外部
甲	921	1286	内部+外部
耳	1331	838	内部+外部
席	1298	839	内部+外部
埃	923	1525	内部+外部
惠	926	1386	内部+外部
旁	1495	843	内部+外部
禁	1519	845	内部+外部
爆	932	1520	内部+外部
探	1458	849	内部+外部
刀	935	934	内部+外部
吸	936	988	内部+外部
佛	937	889	内部+外部
戏	1025	853	内部+外部
熟	940	938	内部+外部
晓	994	855	内部+外部
劳	1299	857	内部+外部
售	943	1531	内部+外部
卢	944	1658	内部+外部
销	945	1195	内部+外部
弄	947	1019	内部+外部
艾	948	1551	内部+外部
谓	1892	862	内部+外部
券	949	1703	内部+外部
姆	951	1518	内部+外部
毕	1392	865	内部+外部
盛	952	1070	内部+外部
纸	965	866	内部+外部
哭	954	1210	内部+外部
虚	1389	868	内部+外部
怪	1102	869	内部+外部
伟	957	1175	内部+外部
输	958	1035	内部+外部
替	1396	871	内部+外部
犯	1220	872	内部+外部
灯	987	873	内部+外部
姓	1182	876	内部+外部
抢	964	1144	内部+外部
泡	968	2052	内部+外部
误	1307	880	内部+外部
麦	969	1466	内部+外部
架	978	881	内部+外部
墙	970	1025	内部+外部
幸	1453	882	内部+外部
隐	1553	883	内部+外部
稳	972	1036	内部+外部
骨	973	931	内部+外部
毒	1148	885	内部+外部
娘	1657	886	内部+外部
荣	975	965	内部+外部
乌	976	1251	内部+外部
抗	977	1092	内部+外部
床	1085	890	内部+外部
桌	980	1038	内部+外部
丰	981	1141	内部+外部
凡	1344	892	内部+外部
介	1104	893	内部+外部
宽	983	1030	内部+外部
征	1222	894	内部+外部
抱	984	985	内部+外部
彩	1017	895	内部+外部
蛋	985	1473	内部+外部
射	1318	897	内部+外部
祖	1385	898	内部+外部
