a	啊
qr	全
qs	穷
qt	却
qu	区
qx	恰
qy	群
rc	绕
re	热
rf	任
rg	仍
rh	让
ri	日
rj	然
ro	若
rr	软
rs	容
ru	如
rv	瑞
ry	润
rz	肉
sa	萨
sc	扫
sd	赛
se	色
sf	森
sg	僧
sh	桑
si	斯
sj	三
so	索
sr	算
ss	送
su	苏
sv	岁
sy	孙
sz	搜
ta	她
tc	套
td	太
te	特
tg	疼
th	汤
ti	提
tj	谈
tk	挺
tm	天
tn	条
to	托
tp	铁
tr	团
ts	同
tu	图
tv	推
ty	吞
tz	头
ua	沙
uc	少
ud	晒
ue	设
uf	深
ug	生
uh	上
ui	时
uj	山
uk	率
ul	双
uo	说
ur	涮
uu	书
uv	水
uw	谁
ux	刷
uy	顺
uz	手
va	炸
vc	找
vd	债
ve	这
vf	真
vg	正
vh	张
vi	之
vj	站
vk	拽
vl	装
vo	桌
vr	转
vs	种
vu	主
vv	追
vx	抓
vy	准
vz	周
wa	瓦
wd	外
wf	问
wg	翁
wh	王
wj	万
wo	沃
wu	无
ww	为
xb	新
xi	西
xk	性
xl	想
xm	先
xn	校
xp	写
xq	修
xr	选
xs	熊
xt	学
xu	需
xx	下
xy	讯
ya	亚
yb	因
yc	要
ye	也
yh	样
yi	一
yj	眼
yk	应
yo	哟
yr	元
ys	用
yt	月
yu	与
yy	云
yz	又
za	杂
zc	早
zd	再
ze	则
zf	怎
zg	增
zh	脏
zi	自
zj	赞
zo	做
zr	钻
zs	总
zu	组
zv	最
zw	贼
zy	尊
zz	走
aah	吖
aak	锕
aav	腌
ahp	卬
ahv	肮
ahw	盎
aic	霭
aig	瑷
aih	哎
aij	碍
aik	锿
ail	挨
ain	哀
aip	隘
aiq	暧
air	矮
ais	癌
ait	埃
aix	艾
aiy	皑
aiz	嫒
and	谙
anf	俺
anh	唵
ani	案
ank	铵
anl	按
anm	鞍
ann	鹌
ano	桉
anq	暗
anr	氨
ans	庵
ant	垵
anv	胺
any	岸
anz	盦
aoa	凹
aob	澳
aoc	懊
aoe	岙
aof	傲
aog	璈
aoh	嗷
aok	鏖
aol	拗
aon	奡
aop	隩
aos	廒
aot	坳
aou	袄
aow	熬
aox	薁
aoy	翱
aoz	媪
baa	八
bab	灞
bac	霸
bad	粑
bah	吧
bai	羓
bak	钯
bal	拔
bam	靶
ban	耙
bao	朳
bap	魃
bar	笆
bas	疤
bat	坝
bav	巴
bax	芭
bay	岜
baz	跋
bba	邠
bbb	滨
bbf	傧
bbg	玢
bbi	宾
bbj	缤
bbk	镔
bbl	殡
bbn	鬓
bbo	彬
bbu	髌
bbv	膑
bby	豳
bca	饱
bcb	瀑
bcc	雹
bce	豹
bcf	保
bcg	龅
bci	宝
bcl	抱
bcn	褒
bco	枹
bcq	剥
bcr	爆
bcs	暴
bct	鸨
bcu	褓
bcv	胞
bcw	包
bcx	薄
bcy	鲍
bcz	趵
bdf	佰
bdi	拜
bdl	摆
bdn	百
bdo	柏
bdw	稗
bdz	败
bfa	坌
bfc	犇
bff	倴
bfk	锛
bfn	奔
bfo	栟
bfp	贲
bfr	笨
bft	畚
bfx	苯
bga	迸
bgg	琫
bgh	嘣
bgj	绷
bgk	镚
bgm	蚌
bgn	甭
bgt	甏
bgu	祊
bgy	崩
bgz	蹦
bhb	浜
bhd	谤
bhf	傍
bhg	玤
bhh	𠳐
bhj	绑
bhk	镑
bhl	搒
bhm	蚌
bhn	邦
bho	棒
bht	塝
bhv	膀
bhx	蒡
bia	弊
bib	濞
bic	必
bid	诐
bie	币
bif	俾
big	碧
bih	吡
bii	避
bik	铋
bin	逼
bio	弼
bip	陛
bir	笔
bis	庇
bit	毕
biu	彼
biv	狴
biw	闭
bix	蔽
biy	鼻
biz	婢
bja	半
bjb	湴
bje	般
bjf	伴
bjg	班
bjj	绊
bjk	钣
bjl	搬
bjm	靽
bjo	板
bjp	办
bjq	昄
bjs	瓣
bjt	坂
bka	饼
bkb	冰
bke	秉
bki	屏
bkl	摒
bkm	蛃
bkn	丙
bko	柄
bkp	兵
bkq	昺
bkr	炳
bks	病
bkv	禀
bmb	汴
bmc	忭
bmf	便
bmi	遍
bmj	编
bml	抃
bmm	鞭
bmp	边
bmq	昪
bmr	煸
bms	辩
bmt	弁
bmu	褊
bmv	卞
bmw	匾
bmx	苄
bmy	鳊
bmz	贬
bna	彪
bnb	瀌
bnc	骠
bnf	俵
bnk	镖
bnl	摽
bnn	飙
bno	标
bnr	熛
bns	瘭
bnu	裱
bnv	膘
bnx	藨
bny	鳔
bnz	婊
boa	卜
bob	泊
boc	驳
boe	舶
bof	伯
bog	玻
boh	啵
boi	檗
boj	砵
bok	钵
bol	播
boo	柏
bop	博
boq	剥
bor	箔
bot	艴
bou	亳
bov	脖
bow	馞
box	薄
boy	帛
boz	跛
bpa	憋
bps	瘪
bpy	癿
bua	卜
buc	怖
bue	醭
buf	堡
bug	步
buh	哺
buk	钚
bul	捕
bup	布
buq	逋
bur	簿
but	埠
buu	补
bux	蔀
bwb	𬇙
bwc	悖
bwd	糒
bwf	倍
bwg	琲
bwh	呗
bwi	臂
bwj	碑
bwk	钡
bwm	鞴
bwn	北
bwo	杯
bwp	孛
bwq	备
bwr	焙
bwu	褙
bwv	狈
bwx	蓓
bwy	卑
bwz	贝
cah	嚓
ccb	漕
ccd	糙
cce	艚
cch	嘈
ccj	𥕢
ccl	操
ccm	螬
ccn	曹
cco	槽
cdf	偲
cdm	采
cdo	材
cdp	裁
cdq	睬
cdv	猜
cdx	蔡
cdz	财
cec	恻
cef	侧
cen	册
cer	策
ces	厕
cfb	涔
cft	参
cgh	噌
cgi	层
cgy	嶒
cgz	蹭
chb	沧
che	舱
chf	伧
chg	仓
chx	苍
cia	慈
cib	次
cid	词
cif	伺
cig	雌
cih	呲
cii	差
cij	磁
cip	刺
cis	疵
ciu	祠
ciw	辞
cix	茨
ciz	赐
cjc	惨
cjg	璨
cjl	餐
cjn	蚕
cjr	灿
cjw	䅟
coa	鹾
cog	瑳
coj	磋
cok	锉
col	措
coo	棤
cor	矬
cos	厝
cov	脞
cox	莝
coy	嵯
coz	蹉
cre	爨
crg	汆
crk	镩
crl	攒
crr	篡
crz	蹿
csa	囱
csb	淙
csc	骢
cse	聪
csg	丛
csj	匆
cso	枞
csr	熜
csx	葱
cud	粗
cue	醋
cul	殂
cur	簇
cuu	徂
cuv	猝
cux	蔟
cuz	蹴
cvb	淬
cvc	悴
cvd	粹
cvf	催
cvg	璀
cvh	啐
cvj	缞
cvl	摧
cvm	翠
cvo	榱
cvs	瘁
cvx	萃
cvy	崔
cyc	忖
cyn	邨
cyp	存
cyt	皴
cyy	寸
cze	辏
czv	腠
dab	溚
dac	怛
dah	哒
daj	鿎
dak	𨱏
dal	打
dam	鞑
dan	达
dar	答
das	瘩
dat	垯
dau	褡
dax	荙
daz	妲
dca	道
dcb	盗
dcc	悼
dce	舠
dcf	倒
dch	叨
dcl	捣
dcr	氘
dcs	刀
dcu	祷
dcv	导
dcw	稻
dcy	岛
dcz	蹈
ddc	骀
dde	轪
ddf	代
ddg	玳
ddh	呆
ddj	绐
ddl	殆
ddn	大
ddp	戴
ddq	逮
ddt	怠
ddu	待
deh	嘚
dek	锝
det	地
deu	德
dgb	澄
dgg	璒
dgh	噔
dgj	磴
dgk	镫
dgl	登
dgq	邓
dgr	灯
dgy	嶝
dgz	蹬
dhb	凼
dhd	谠
dhg	珰
dhi	党
dhj	砀
dhk	铛
dhl	挡
dho	档
dhr	筜
dht	垱
dhu	裆
dhx	荡
dia	弟
dib	滴
did	谛
dif	低
dig	籴
dih	嘀
dii	帝
dij	缔
dik	邸
dil	抵
dim	鞮
din	髢
dio	棣
dip	迪
diq	睇
dir	第
dis	底
dit	堤
diu	骶
div	狄
diw	敌
dix	蒂
diy	的
diz	嫡
dja	单
djb	淡
djc	惮
djd	诞
dje	耽
djf	儋
djh	啖
djj	石
djk	蛋
djl	担
djn	丹
djo	弹
djq	旦
djr	氮
djs	疸
djv	胆
djx	萏
djz	赕
dkd	订
dke	酊
dkf	仃
dkg	玎
dkh	叮
dkj	碇
dkk	钉
dkp	町
dkq	鼎
dks	疔
dkv	腚
dkx	萣
dky	丁
dma	奠
dmb	滇
dmc	惦
dmf	佃
dmg	玷
dmi	殿
dmj	碘
dmk	钿
dml	垫
dmp	电
dmr	簟
dms	店
dmt	坫
dmw	典
dmy	巅
dmz	踮
dnb	凋
dnd	调
dne	貂
dnh	吊
dni	窎
dnj	碉
dnk	钓
dnn	雕
dno	刁
dny	鲷
doa	躲
doc	惰
doe	舵
doh	哆
dok	铎
dol	掇
don	夺
dop	堕
doq	剟
dos	度
dot	垛
dou	裰
doz	跺
dpa	爹
dpd	谍
dph	喋
dpj	碟
dpm	蝶
dpn	牒
dpo	楪
dpp	耋
dpq	叠
dpr	迭
dpt	堞
dpy	鲽
dpz	蹀
dqk	铥
dra	端
drd	断
drg	瑖
drj	缎
drk	锻
dro	椴
drr	短
drt	塅
dry	耑
dsb	洞
dsc	懂
dse	东
dsf	侗
dsh	咚
dsj	硐
dsm	𬟽
dso	栋
dsq	冬
dsr	氡
dst	垌
dsv	胴
dsx	董
dsy	岽
dua	督
dub	渡
duc	犊
dud	读
duh	嘟
dui	蠹
duk	镀
dun	牍
duo	杜
dup	都
duq	睹
dur	笃
dut	堵
duu	髑
duv	独
duw	毒
dux	芏
duz	赌
dva	兑
dvj	碓
dvp	队
dvq	怼
dvt	堆
dvu	祋
dwh	嘚
dyb	沌
dyc	惇
dye	盾
dyh	吨
dyj	砘
dyk	钝
dyn	趸
dyq	盹
dyr	炖
dyt	墩
dyu	敦
dyz	蹲
dza	斗
dzd	读
dzi	窦
dzk	钭
dzl	抖
dzm	蚪
dzn	豆
dzp	陡
dzr	篼
dzs	痘
dzx	蔸
dzy	兜
eea	饿
eeb	涐
eec	愕
eed	讹
eee	鹅
eef	俄
eeg	噩
eeh	哦
eei	屙
eej	𥔲
eek	锷
eel	扼
eem	蛾
eep	阿
eeq	遏
ees	厄
eet	堨
eev	腭
eew	恶
eex	莪
eey	鳄
eez	娥
enl	摁
enx	蒽
era	儿
erb	洱
erc	鸸
ere	耳
erg	珥
erh	咡
erk	铒
erp	陑
err	贰
ers	尔
ery	鲕
faa	罚
fae	乏
faf	伐
fag	珐
faj	砝
far	筏
faw	阀
ffa	忿
ffb	汾
ffc	愤
ffd	粉
ffe	酚
fff	份
ffg	玢
ffh	吩
ffj	纷
ffm	翂
ffn	奋
ffo	焚
ffr	氛
fft	坟
ffx	芬
ffy	鲼
fgb	冯
fgd	讽
fgf	俸
fgh	唪
fgi	奉
fgj	缝
fgk	锋
fgm	蜂
fgn	凤
fgo	枫
fgq	逢
fgr	烽
fgs	疯
fgt	封
fgw	丰
fgx	葑
fgy	峰
fgz	赗
fhc	牥
fhd	访
fhe	舫
fhf	仿
fhi	房
fhj	纺
fhk	钫
fhm	蚄
fho	枋
fhp	防
fhq	昉
fhs	放
fht	坊
fhv	肪
fhx	芳
fhy	鲂
fhz	妨
fja	帆
fjb	泛
fje	反
fjf	繁
fjg	璠
fjj	矾
fjk	钒
fjm	翻
fjn	凡
fjo	樊
fjp	畈
fjr	烦
fjt	墦
fjv	犯
fjx	范
fjz	贩
fua	幅
fub	浮
fuc	驸
fud	讣
fue	辅
fuf	复
fug	付
fuh	呋
fui	富
fuj	孵
fuk	鄜
ful	扶
fum	孚
fun	夫
fuo	阜
fup	附
fuq	敷
fur	符
fus	府
fut	弗
fuu	福
fuv	服
fuw	馥
fux	芙
fuy	凫
fuz	赴
fwb	沸
fwc	霏
fwd	诽
fwh	啡
fwi	扉
fwj	绯
fwk	镄
fwn	斐
fwo	飞
fwr	篚
fws	废
fwt	费
fwv	肥
fww	匪
fwx	菲
fwy	鲱
fwz	妃
fzz	缶
gad	旮
gaf	伽
gag	尜
gah	嘎
gak	钆
gan	夹
gap	尬
gav	尕
gcc	告
gcd	糕
gce	睾
gci	羔
gcj	缟
gck	镐
gcl	搞
gco	槁
gcq	杲
gcr	篙
gcu	膏
gcw	稿
gcx	藁
gcy	皋
gdb	溉
gdi	盖
gdk	钙
gdn	丐
gdo	概
gdp	陔
gdq	晐
gdt	垓
gdv	改
gdx	荄
gdz	赅
gea	饹
geb	滆
gee	舸
gef	仡
geg	鸽
geh	咯
gei	割
gej	硌
gek	铬
gel	搁
gem	革
gen	鬲
geo	格
gep	隔
geq	各
ger	戈
ges	疙
get	圪
geu	骼
gev	膈
gew	阁
gex	葛
gey	歌
gfc	艮
gfh	哏
gfn	亘
gfo	根
gfx	茛
ggb	浭
gge	耿
ggh	哽
ggi	羹
ggj	绠
ggn	耕
ggq	暅
ggs	庚
ggt	埂
ggy	鲠
gha	罡
ghb	港
ghd	戆
ghj	纲
ghk	钢
ghl	扛
gho	杠
ghr	筻
ght	堽
ghv	肛
ghw	冈
ghy	岗
ghz	缸
gjb	淦
gjd	赣
gje	酐
gjg	玕
gjj	绀
gjl	擀
gjm	甘
gjo	敢
gjp	尴
gjq	旰
gjr	竿
gjs	疳
gjt	坩
gjv	肝
gjw	干
gjx	苷
gjy	鳡
gjz	赶
gkl	拐
gko	夬
gkw	乖
glb	洸
gle	𨐈
glg	珖
glh	咣
glo	桄
gls	广
glt	垙
glv	逛
goa	帼
gob	𬇹
god	粿
goe	国
goh	呙
gok	锅
gom	虢
gon	裹
goo	椁
goq	果
got	埚
gou	郭
gov	腘
goy	崞
gra	馆
grb	灌
grc	惯
gre	盥
grf	倌
grg	瓘
gri	官
grj	纶
grl	掼
gro	棺
grp	贯
grq	观
grr	管
gru	祼
grx	莞
gry	鳏
grz	罐
gsa	躬
gsd	龚
gse	工
gsf	供
gsg	珙
gsi	宫
gsj	硔
gsl	拱
gsm	共
gso	弓
gsv	肱
gsw	觥
gua	谷
gub	沽
guc	鹄
gud	诂
gue	固
guf	估
guh	咕
gui	雇
guk	钴
gum	蛊
gun	孤
guo	梏
gup	古
gur	箍
gus	顾
gut	鼓
guu	骨
guv	臌
guw	觚
gux	菇
guy	崮
guz	姑
gva	归
gvd	诡
gve	轨
gvg	瑰
gvi	宄
gvj	硅
gvl	癸
gvn	规
gvo	桂
gvp	鬼
gvq	晷
gvr	簋
gvs	龟
gvt	圭
gvw	闺
gvy	鲑
gvz	跪
gxd	诖
gxh	呱
gxi	寡
gxm	瓜
gxo	栝
gxt	卦
gxu	褂
gxv	胍
gxw	刮
gye	辊
gyj	绲
gyn	衮
gyo	棍
gyy	鲧
gzb	沟
gzd	诟
gzf	佝
gzj	缑
gzk	钩
gzm	鞲
gzn	遘
gzo	构
gzp	耇
gzr	篝
gzt	垢
gzv	狗
gzw	够
gzx	苟
gzy	岣
gzz	媾
hak	铪
ham	蛤
hcb	浩
hce	貉
hch	号
hcm	蚝
hcn	耗
hcq	昊
hct	郝
hcu	豪
hcx	蒿
hcy	皓
hdb	海
hdc	骇
hde	醢
hdh	嗨
hdi	害
hdn	孩
hdr	氦
hdu	骸
hdv	亥
hea	壑
heb	河
hed	诃
hee	貉
hef	何
heg	盒
heh	喝
hei	鹤
hej	纥
hem	鞨
hen	翮
heo	核
hep	贺
heq	曷
her	熇
het	赫
heu	褐
hev	劾
hew	禾
hex	荷
hfc	恨
hfd	𬣳
hfs	痕
hfv	狠
hgg	珩
hgh	哼
hgk	衡
hgo	横
hgt	堼
hgu	亨
hgx	蘅
hgz	姮
hhb	沆
hhh	吭
hhj	绗
hhk	行
hhm	巷
hhn	夯
hho	杭
hhv	颃
hjb	汉
hjc	憾
hje	酣
hjg	琀
hjh	喊
hji	寒
hjl	撼
hjm	邯
hjo	函
hjp	韩
hjq	旱
hjr	焊
hjt	垾
hjv	犴
hjw	邗
hjx	菡
hjy	鼾
hjz	颔
hkb	淮
hkc	怀
hko	槐
hku	徊
hkz	踝
hla	幌
hlb	湟
hlc	慌
hld	谎
hle	艎
hlg	璜
hlh	喤
hlk	锽
hlm	蝗
hln	凰
hlp	隍
hlq	晃
hlr	煌
hls	癀
hlu	徨
hlv	肓
hlx	荒
hly	皇
hlz	媓
hob	活
hoc	霍
hof	货
hoh	嚯
hoi	豁
hok	镬
hol	攉
hom	蠖
hon	耠
hoq	夥
hor	火
hou	祸
how	和
hox	获
hra	鹮
hrb	浣
hre	圜
hrg	环
hrh	患
hri	寰
hrj	缓
hrk	锾
hrl	擐
hrn	还
hro	桓
hrq	欢
hrr	焕
hrs	奂
hrv	獾
hrw	郇
hrx	萑
hry	鲩
hsa	竑
hsb	洪
hsd	讧
hse	轰
hsg	玒
hsh	哄
hsi	宏
hsj	纮
hsk	𬭎
hsm	虹
hso	弘
hsp	翃
hsr	烘
hsw	闳
hsx	薨
hua	虎
hub	湖
huc	惚
hud	糊
hue	乎
hug	瑚
huh	呼
hui	扈
huj	忽
hul	护
hum	蝴
hun	瓠
huo	弧
hup	胡
huq	互
hur	笏
hut	壶
huu	祜
huv	狐
huw	斛
hux	葫
huy	鹱
huz	嫭
hva	虺
hvb	汇
hvc	恢
hvd	讳
hve	回
hvg	辉
hvh	喙
hvj	绘
hvk	𬭬
hvl	挥
hvm	蛔
hvn	惠
hvo	橞
hvp	灰
hvq	晖
hvr	烩
hvs	麾
hvt	恚
hvu	徽
hvw	慧
hvx	荟
hvy	毁
hvz	贿
hwh	嘿
hwk	𬭶
hxb	滑
hxc	骅
hxd	话
hxf	华
hxh	哗
hxk	铧
hxn	画
hxo	桦
hxr	划
hxv	猾
hxw	砉
hxx	花
hxz	婳
hya	馄
hyb	浑
hyc	惛
hyd	诨
hyg	珲
hyj	碈
hyk	昏
hyn	魂
hyw	阍
hyx	荤
hyz	婚
hzd	糇
hze	逅
hzf	候
hzh	喉
hzi	鲎
hzk	𬭤
hzr	篌
hzs	厚
hzt	堠
hzu	骺
hzv	猴
hzy	齁
iaa	岔
iab	汊
iad	诧
iaf	侘
iah	嚓
iai	察
iaj	碴
iak	镲
ial	插
ian	刹
iao	查
iaq	叉
iat	垞
iau	衩
iav	猹
iax	茶
iay	嵖
iaz	姹
ica	巢
icb	潮
icc	怊
ich	吵
icj	绰
ick	钞
icl	抄
icn	耖
ico	弨
icp	朝
icq	晁
icr	炒
ide	豺
idf	侪
idg	柴
idi	差
idk	钗
idn	虿
ids	瘥
idx	茝
ieb	澈
iec	掣
iei	尺
iej	砗
iel	扯
ieq	㬚
iet	坼
ieu	彻
ifb	沉
ifc	忱
ifd	谌
ifg	尘
ifh	嗔
ifi	宸
ifj	碜
ifk	臣
ifl	抻
ifo	郴
ifq	晨
ifr	煁
ifs	辰
ifu	衬
ifw	称
ifz	趁
igb	澄
igc	骋
igd	诚
ige	酲
igf	偁
igg	琤
igh	呈
igi	宬
igk	铖
igl	撑
igm	蛏
ign	承
igo	橙
igq	晟
igr	盛
igs	庱
igt	城
igu	惩
igv	塍
igw	称
ihc	怅
ihe	长
ihf	偿
ihg	尝
ihh	唱
ihi	常
ihk	𬬮
ihn	鬯
ihp	畅
ihq	昌
ihr	昶
ihs	厂
ihu	徜
ihv	肠
ihw	阊
ihx	苌
ihy	鲳
ihz	娼
iia	饬
iib	池
iic	驰
iie	耻
iif	侈
iig	齿
iih	叱
iii	迟
iij	𫄨
iik	鸱
iil	摛
iim	螭
iin	豉
iio	弛
iip	翅
iiq	匙
iir	炽
iis	痴
iit	赤
iiu	彳
iiv	胣
iiw	蚩
iix	茌
iiy	斥
iiz	媸
ija	馋
ijb	潺
ijc	忏
ijd	谗
ijf	儳
ijh	啴
iji	孱
ijj	缠
ijk	铲
ijl	掺
ijm	蝉
ijo	梴
ijq	旵
ijr	刬
ijs	廛
iju	禅
ijv	颤
ijw	阐
ijx	蒇
ijy	巉
ijz	婵
ikh	啜
ikl	揣
ila	幢
ilc	怆
ilh	噇
ili	窗
ils	床
ilw	闯
ioa	逴
ioc	惙
ioe	辍
iog	龊
ioh	啜
ioj	绰
ioz	踔
ira	川
ire	船
irf	传
irh	串
irk	钏
irl	舛
iro	椽
irr	氚
iry	遄
isb	漴
isc	憧
ise	艟
isg	珫
isi	宠
isk	铳
isl	摏
ism	虫
isv	充
isw	重
isx	茺
isy	崇
iub	滁
iuc	怵
iue	䝙
iuf	储
iug	琡
iuj	础
iuk	锄
iul	搐
ium	蜍
iun	亍
iuo	楚
iup	除
iuq	处
iur	黜
ius	厨
iuu	初
iuv	畜
iuw	触
iuy	雏
iuz	躇
ive	圌
ivf	倕
ivk	锤
ivl	捶
ivo	槌
ivp	陲
ivr	炊
ivw	垂
iyb	淳
iye	醇
iyg	瑃
iyi	蠢
iyj	纯
iyk	𬭚
iym	蝽
iyo	椿
iys	唇
iyt	堾
iyu	鹑
iyx	莼
iyy	䲠
iza	帱
izc	惆
ize	酬
izf	仇
izg	雠
izj	绸
izo	丑
izp	畴
izq	瞅
izr	筹
izs	瘳
izw	愁
izy	臭
izz	踌
jba	巾
jbb	津
jbd	谨
jbe	劲
jbf	仅
jbg	瑾
jbh	噤
jbi	尽
jbj	缙
jbk	锦
jbl	进
jbm	靳
jbn	紧
jbo	禁
jbr	筋
jbs	矜
jbt	墐
jbu	襟
jbw	晋
jbx	荩
jby	近
jbz	今
jia	剂
jib	济
jic	即
jid	记
jie	辑
jif	伎
jig	集
jih	叽
jii	寄
jij	级
jik	麂
jil	技
jim	基
jin	几
jio	机
jip	际
jiq	鸡
jir	籍
jis	疾
jit	吉
jiu	徛
jiv	己
jiw	季
jix	藉
jiy	急
jiz	击
jka	竞
jkb	净
jkc	惊
jkd	精
jke	颈
jkf	儆
jkg	璟
jkk	镜
jkl	井
jkp	阱
jkq	景
jks	痉
jkt	境
jku	京
jkv	胫
jkw	静
jkx	警
jky	鲸
jkz	婧
jlb	江
jld	讲
jlf	僵
jli	姜
jlj	绛
jlm	虹
jln	奖
jlo	疆
jlp	降
jlv	膙
jlw	匠
jlx	蒋
jly	鳉
jma	煎
jmb	减
jmc	犍
jmd	谏
jme	舰
jmf	件
jmg	尖
jmh	兼
jmi	肩
jmj	碱
jmk	键
jml	捡
jmm	毽
jmn	监
jmo	检
jmp	柬
jmq	建
jmr	简
jmt	剑
jmu	裥
jmv	腱
jmw	间
jmx	荐
jmy	鲣
jmz	贱
jna	饺
jnb	浇
jnc	骄
jne	较
jnf	佼
jng	焦
jnh	嚼
jni	觉
jnj	缴
jnk	铰
jnl	搅
jnm	蛟
jnn	交
jno	椒
jnp	教
jnr	矫
jnu	徼
jnv	脚
jnw	角
jnx	蕉
jny	鲛
jnz	娇
jpa	竭
jpb	洁
jpc	悈
jpd	诫
jpf	借
jpg	介
jph	嗟
jpi	届
jpj	结
jpk	街
jpl	捷
jpm	蚧
jpn	孑
jpo	杰
jpp	界
jpq	睫
jpr	戒
jps	疖
jpt	皆
jpu	骱
jpv	岊
jpw	解
jpx	节
jpy	鲒
jpz	姐
jqa	旧
jqb	酒
jqd	九
jqf	僦
jqg	玖
jqh	啾
jqi	究
jqj	纠
jql	揪
jqn	救
jqo	柩
jqq	灸
jqs	疚
jqu	鹫
jqw	阄
jqy	舅
jqz	赳
jra	蠲
jrb	涓
jre	圈
jrf	倦
jrg	隽
jrh	鹃
jri	眷
jrj	绢
jrk	镌
jrl	捐
jrr	焆
jrv	狷
jrz	娟
jsb	泂
jsc	𬳶
jsi	窘
jsj	䌹
jsq	炅
jst	颎
jsw	迥
jtb	决
jtc	𫘝
jtd	诀
jtf	倔
jtg	珏
jth	嚼
jtj	绝
jtk	镢
jtl	掘
jtm	爵
jtn	孓
jto	桷
jtq	矍
jtr	爝
jts	厥
jtv	獗
jtw	角
jtx	蕨
jty	崛
jtz	蹶
jua	遽
jub	沮
juc	驹
jud	剧
jue	聚
juf	俱
jug	举
juh	咀
jui	局
juj	砠
juk	锯
jul	拒
jum	鞠
jun	飓
juo	橘
juq	䴗
jur	矩
jus	疽
jut	具
juu	裾
juv	狙
juw	句
jux	菊
juy	岠
juz	距
jxb	浃
jxe	贾
jxf	价
jxg	珈
jxh	斝
jxk	钾
jxm	蛱
jxn	夹
jxo	枷
jxp	加
jxr	笳
jxs	痂
jxt	嘉
jxv	胛
jxw	稼
jxx	茄
jxy	岬
jxz	嫁
jya	竣
jyb	浚
jyc	骏
jyf	俊
jyg	珺
jyi	军
jyk	钧
jyl	捃
jyp	畯
jyq	君
jyr	焌
jys	龟
jyv	䐃
jyx	菌
jyy	峻
kah	咖
kav	胩
kcb	洘
kcc	靠
kci	尻
kck	铐
kcl	拷
kco	栲
kcr	烤
kdc	恺
kdk	铠
kdl	揩
kdo	楷
kdr	炌
kdt	垲
kdw	闿
kdx	蒈
kdy	凯
keb	渴
kec	恪
ked	课
kee	轲
keg	珂
keh	咳
kei	客
kej	磕
kek	锞
kem	蝌
ken	牁
keo	柯
kep	克
keq	颗
ker	氪
kes	疴
ket	壳
keu	髁
kev	刻
kew	科
kex	苛
key	岢
kfc	垦
