中	a
仗	ahu
账	ahv
章	ahx
丈	ahz
职	aia
之	aib
只	aic
质	aid
止	aie
痣	aif
觯	aig
窒	aih
指	aii
轾	aij
治	aik
脂	ail
秩	aim
旨	ain
识	aio
祉	aip
直	aiq
至	air
植	ais
峙	ait
值	aiu
制	aiv
志	aiw
支	aix
殖	aiy
置	aiz
绽	aja
旃	aje
战	ajf
詹	ajg
飐	ajh
搌	aji
斩	ajj
沾	ajk
谵	ajo
瞻	ajp
站	ajq
蘸	ajr
栈	ajs
崭	ajt
偡	aju
毡	ajv
鹯	ajw
啁	akc
赵	ake
𬶐	akf
召	akg
招	aki
着	akj
兆	akk
钊	akn
诏	ako
照	akp
朝	akq
棹	aks
罩	akz
瘵	alf
寨	alh
摘	ali
豸	alm
翟	alq
债	alu
斋	alw
祭	aly
缀	ama
锥	amn
椎	ams
坠	amt
骓	amv
惴	amy
赘	amz
𬘯	ana
窀	anh
肫	anl
谆	ano
衠	anu
斫	aob
啄	aoc
𬸦	aoe
桌	aof
琢	aog
捉	aoi
浊	aok
镯	aon
灼	aoo
晫	aop
茁	aor
棁	aos
倬	aou
酌	aox
砖	apb
啭	apc
瑑	apg
撰	api
沌	apk
䏝	apl
馔	apq
颛	apt
传	apu
赚	apv
专	apz
终	asa
忠	asc
踵	ase
衷	asg
冢	ash
舯	asj
肿	asl
钟	asn
重	asq
茽	asr
柊	ass
仲	asu
众	asv
螽	asx
幢	atc
状	ate
庄	atf
撞	ati
桩	ats
戆	atx
纻	aua
砫	aub
嘱	auc
蛛	aud
躅	aue
疰	auf
珠	aug
拄	aui
舳	auj
注	auk
猪	aum
铸	aun
诸	auo
祝	aup
助	auq
著	aur
柱	aus
住	auu
驻	auv
朱	aux
煮	auy
筑	auz
叭	bac
蚆	bad
霸	bae
疤	baf
把	bai
靶	baj
灞	bak
胈	bal
魃	bam
钯	ban
爸	baq
巴	bar
朳	bas
粑	bat
坝	baw
耙	bax
罢	baz
缤	bca
髌	bce
玢	bcg
摈	bci
滨	bck
膑	bcl
镔	bcn
邠	bcq
彬	bcs
豳	bct
傧	bcu
斌	bcw
殡	bcy
鬓	bcz
畚	bfm
锛	bfn
贲	bfq
苯	bfr
栟	bfs
奔	bft
倴	bfu
犇	bfv
笨	bfz
绷	bga
泵	bgb
嘣	bgc
蚌	bgd
蹦	bge
琫	bgg
镚	bgn
祊	bgp
迸	bgq
甏	bgw
甭	bgz
绑	bha
磅	bhb
𠳐	bhc
蚌	bhd
玤	bhg
搒	bhi
浜	bhk
膀	bhl
镑	bhn
谤	bho
蒡	bhr
棒	bhs
傍	bhu
塝	bhw
邦	bhz
鄙	bic
币	bid
跸	bie
庇	bif
碧	big
闭	bih
避	bii
舭	bij
泌	bik
秘	bim
毕	bin
弼	bio
裨	bip
鼻	biq
蔽	bir
陛	bit
彼	biu
畀	biv
必	biy
笔	biz
绊	bja
版	bje
瘢	bjf
班	bjg
搬	bji
般	bjj
湴	bjk
钣	bjn
昄	bjp
半	bjq
板	bjs
阪	bjt
伴	bju
坂	bjw
瓣	bjx
剥	bkd
雹	bke
鲍	bkf
褒	bkg
包	bkh
报	bki
瀑	bkk
胞	bkl
豹	bkm
鸨	bkn
爆	bko
暴	bkp
饱	bkq
薄	bkr
枹	bks
堡	bku
孢	bkx
摆	bli
拜	blj
稗	blm
柏	bls
佰	blu
败	blv
百	blz
僰	boa
礴	bob
啵	boc
剥	bod
跛	boe
卜	bof
玻	bog
播	boi
舶	boj
波	bok
脖	bol
馞	bom
钵	bon
袯	bop
勃	boq
薄	bor
柏	bos
嶓	bot
伯	bou
驳	bov
亳	bow
簸	boz
碑	bqb
呗	bqc
北	bqe
琲	bqg
臂	bqi
鞁	bqj
𬇙	bqk
狈	bqm
钡	bqn
焙	bqo
褙	bqp
卑	bqq
蓓	bqr
杯	bqs
糒	bqt
倍	bqu
贝	bqv
备	bqx
悖	bqy
哺	buc
步	bue
卜	buf
捕	bui
钚	bun
补	bup
布	buq
蔀	bur
堡	buu
埠	buw
醭	bux
怖	buy
簿	buz
编	bwa
砭	bwb
蝙	bwd
变	bwe
鳊	bwf
匾	bwh
遍	bwi
鞭	bwj
汴	bwk
弁	bwm
煸	bwo
褊	bwp
苄	bwr
便	bwu
贬	bwv
卞	bww
辩	bwx
忭	bwy
笾	bwz
瘪	bxf
憋	bxq
蛃	byd
病	byf
屏	byi
冰	byk
秉	bym
炳	byo
昺	byp
饼	byq
柄	bys
兵	byv
禀	byw
丙	byz
幖	bzc
彪	bzf
飑	bzh
摽	bzi
瀌	bzk
膘	bzl
镖	bzn
熛	bzo
裱	bzp
藨	bzr
标	bzs
飙	bzt
俵	bzu
骉	bzv
婊	bzz
嚓	cac
辏	cbj
腠	cbl
厕	cef
册	ceh
测	cek
侧	ceu
恻	cey
涔	cfk
参	cfm
噌	cgc
蹭	cge
层	cgi
嶒	cgt
舱	chj
沧	chk
苍	chr
伧	chu
仓	chv
刺	cia
磁	cib
呲	cic
此	cie
疵	cif
玼	cig
差	cij
瓷	cik
词	cio
祠	cip
辞	ciq
茨	cir
糍	cit
伺	ciu
赐	civ
璨	cjg
䅟	cjm
灿	cjo
黪	cjq
蚕	cjt
骖	cjv
餐	cjy
𥕢	ckb
嘈	ckc
螬	ckd
操	cki
艚	ckj
漕	ckk
槽	cks
糙	ckt
曹	ckz
踩	cle
猜	clm
睬	clp
裁	clq
蔡	clr
材	cls
偲	clu
财	clv
彩	clz
缞	cma
啐	cmc
瘁	cmf
璀	cmg
摧	cmi
淬	cmk
翠	cmq
萃	cmr
榱	cms
崔	cmt
催	cmu
毳	cmv
悴	cmy
皴	cnm
存	cnq
忖	cny
寸	cnz
磋	cob
蹉	coe
厝	cof
瑳	cog
措	coi
脞	col
锉	con
矬	cor
棤	cos
嵯	cot
爨	cpd
蹿	cpe
攒	cpi
镩	cpn
汆	cpv
篡	cpz
聪	csa
琮	csg
淙	csk
熜	cso
葱	csr
枞	css
丛	csv
囱	csx
悰	csy
匆	csz
蹴	cue
蹙	cug
猝	cum
蔟	cur
粗	cut
徂	cuu
卒	cuw
醋	cux
殂	cuy
簇	cuz
鿎	dab
哒	dac
沓	dad
跶	dae
瘩	daf
打	dai
鞑	daj
溚	dak
𨱏	dan
炟	dao
褡	dap
荙	dar
达	dat
垯	daw
怛	day
答	daz
蚪	dbd
痘	dbf
窦	dbh
抖	dbi
斗	dbk
钭	dbn
读	dbo
兜	dbq
蔸	dbr
陡	dbt
豆	dbz
嘚	dec
锝	den
德	deu
地	dew
磴	dgb
噔	dgc
蹬	dge
璒	dgg
澄	dgk
镫	dgn
灯	dgo
瞪	dgp
嶝	dgt
邓	dgx
登	dgy
砀	dhb
凼	dhd
珰	dhg
党	dhh
挡	dhi
𬍡	dhk
铛	dhn
谠	dho
裆	dhp
荡	dhr
档	dhs
垱	dhw
筜	dhz
缔	dia
砥	dib
嘀	dic
邸	did
骶	die
底	dif
玓	dig
帝	dih
抵	dii
羝	dij
滴	dik
弟	dil
狄	dim
镝	din
谛	dio
睇	dip
敌	diq
蒂	dir
棣	dis
低	diu
迪	div
地	diw
第	diz
耽	dja
氮	djb
啖	djc
蛋	dje
疸	djf
单	djg
丹	djh
担	dji
淡	djk
胆	djl
弹	djo
旦	djp
萏	djr
儋	dju
赕	djv
亶	djw
惮	djy
箪	djz
氘	dkb
叨	dkc
岛	dkd
蹈	dke
鱽	dkf
刀	dkg
捣	dki
舠	dkj
盗	dkk
稻	dkm
祷	dkp
道	dkq
导	dkr
倒	dku
悼	dky
绐	dla
呆	dlc
逮	dld
玳	dlg
轪	dlj
怠	dlm
戴	dlq
大	dlt
代	dlu
骀	dlv
埭	dlw
歹	dly
叇	dlz
碓	dmb
祋	dmp
兑	dmq
队	dmt
堆	dmw
怼	dmx
礅	dnb
吨	dnc
盾	dnd
蹲	dne
沌	dnk
钝	dnn
炖	dno
盹	dnp
趸	dnq
敦	dnw
惇	dny
哆	doc
踱	doe
度	dof
朵	doh
掇	doi
舵	doj
铎	don
裰	dop
饳	doq
夺	dot
驮	dov
垛	dow
躲	dox
惰	doy
缎	dpa
段	dpd
瑖	dpg
锻	dpn
煅	dpo
端	dpq
短	dpr
椴	dps
耑	dpt
塅	dpw
簖	dpz
嘚	dqc
铥	drn
氡	dsb
咚	dsc
𬟽	dsd
东	dsj
洞	dsk
胴	dsl
董	dsr
栋	dss
岽	dst
侗	dsu
垌	dsw
冬	dsx
懂	dsy
嘟	duc
牍	due
度	duf
毒	dug
蠹	duh
渡	duk
肚	dul
独	dum
镀	dun
读	duo
睹	dup
黩	duq
芏	dur
杜	dus
赌	duv
堵	duw
妒	duz
碘	dwb
踮	dwe
店	dwf
玷	dwg
典	dwh
殿	dwi
淀	dwk
钿	dwn
颠	dwq
巅	dwt
佃	dwu
电	dwv
坫	dww
惦	dwy
簟	dwz
绖	dxa
碟	dxb
喋	dxc
蝶	dxd
跌	dxe
鲽	dxf
谍	dxo
昳	dxp
爹	dxq
迭	dxr
楪	dxs
𫶇	dxt
堞	dxw
叠	dxx
耋	dxy
瓞	dxz
耵	dya
碇	dyb
叮	dyc
疔	dyf
玎	dyg
腚	dyl
钉	dyn
订	dyo
盯	dyp
萣	dyr
仃	dyu
町	dyv
酊	dyx
顶	dyz
碉	dzb
吊	dzc
鲷	dzf
雕	dzh
凋	dzk
貂	dzm
钓	dzn
调	dzo
碴	eab
嚓	eac
蹅	eae
察	eah
插	eai
差	eaj
汊	eak
猹	eam
镲	ean
诧	eao
衩	eap
岔	eaq
茶	ear
杈	eas
嵖	eat
侘	eau
垞	eaw
叉	eax
姹	eaz
绸	eba
帱	ebc
踌	ebe
瘳	ebf
愁	ebm
丑	ebo
瞅	ebp
臭	ebq
杻	ebs
仇	ebu
畴	ebv
酬	ebx
惆	eby
筹	ebz
啜	ecc
踹	ece
搋	eci
砗	eeb
扯	eei
澈	eek
㬚	eep
彻	eeu
掣	eev
坼	eew
𬘭	efa
碜	efb
嗔	efc
辰	efd
趁	efe
疢	eff
琛	efg
宸	efh
抻	efi
称	efm
谌	efo
晨	efp
郴	efs
陈	eft
臣	efw
忱	efy
呈	egc
蛏	egd
庱	egf
琤	egg
宬	egh
撑	egi
澄	egk
塍	egl
程	egm
铖	egn
诚	ego
晟	egp
橙	egs
惩	egu
骋	egv
城	egw
承	egx
憕	egy
长	eha
唱	ehc
昶	ehd
厂	ehf
尝	ehh
肠	ehl
猖	ehm
𬬮	ehn
昌	ehp
菖	ehr
敞	eht
偿	ehu
畅	ehv
场	ehw
鬯	ehx
怅	ehy
娼	ehz
耻	eia
嗤	eic
鸱	eid
齿	eie
痴	eif
啻	eih
迟	eii
池	eik
胣	eil
魑	eim
炽	eio
匙	eip
饬	eiq
茌	eir
侈	eiu
驰	eiv
赤	eiw
翅	eix
篪	eiz
缠	eja
啴	ejc
蝉	ejd
躔	eje
廛	ejf
单	ejg
阐	ejh
掺	eji
韂	ejj
潺	ejk
铲	ejn
谄	ejo
禅	ejp
馋	ejq
蒇	ejr
梴	ejs
巉	ejt
儳	eju
骣	ejv
颤	ejw
忏	ejy
婵	ejz
绰	eka
吵	ekc
抄	eki
潮	ekk
巢	ekl
钞	ekn
炒	eko
晁	ekp
朝	ekq
耖	ekx
怊	eky
柴	ele
瘥	elf
差	elj
豺	elm
钗	eln
虿	elq
茝	elr
侪	elu
圌	emb
捶	emi
锤	emn
炊	emo
垂	emq
槌	ems
陲	emt
倕	emu
纯	ena
唇	end
䲠	enf
瑃	eng
蠢	enj
淳	enk
𬭚	enn
莼	enr
椿	ens
鹑	enw
醇	enx
绰	eoa
啜	eoc
龊	eoe
逴	eof
辍	eoj
惙	eoy
氚	epb
串	epc
穿	eph
船	epj
川	epl
钏	epn
椽	eps
遄	ept
舛	epy
虫	esd
珫	esg
宠	esh
摏	esi
舂	esj
冲	esk
种	esm
铳	esn
翀	esq
茺	esr
崇	est
充	esw
憧	esy
幢	etc
床	etf
窗	eth
怆	ety
绌	eua
础	eub
蜍	eud
躇	eue
厨	euf
触	eug
䢺	euh
搐	eui
滁	euk
䝙	eum
锄	eun
初	eup
矗	euq
楚	eus
除	eut
储	euu
斶	euv
畜	euw
处	eux
怵	euy
亍	euz
砝	fab
乏	fad
珐	fag
阀	fah
伐	fau
罚	faz
缶	fbv
纷	ffa
氛	ffb
吩	ffc
鲼	fff
玢	ffg
汾	ffk
豮	ffm
忿	ffq
芬	ffr
焚	ffs
奋	fft
份	ffu
坟	ffw
酚	ffx
愤	ffy
缝	fga
砜	fgb
唪	fgc
蜂	fgd
疯	fgf
丰	fgg
凤	fgh
奉	fgj
冯	fgk
锋	fgn
讽	fgo
葑	fgr
枫	fgs
峰	fgt
俸	fgu
赗	fgv
封	fgw
逢	fgx
纺	fha
蚄	fhd
放	fhe
鲂	fhf
房	fhi
舫	fhj
肪	fhl
钫	fhn
访	fho
昉	fhp
芳	fhr
枋	fhs
防	fht
仿	fhu
牥	fhv
坊	fhw
妨	fhz
矾	fjb
帆	fjc
返	fjd
蹯	fje
璠	fjg
凡	fjh
泛	fjk
犯	fjm
钒	fjn
烦	fjo
饭	fjq
范	fjr
樊	fjs
繁	fju
贩	fjv
墦	fjw
翻	fjz
绯	fqa
啡	fqc
斐	fqe
废	fqf
匪	fqh
扉	fqi
沸	fqk
肥	fql
狒	fqm
镄	fqn
飞	fqo
菲	fqr
榧	fqs
𬴂	fqv
费	fqw
悱	fqy
妃	fqz
缚	fua
氟	fub
幅	fuc
蝠	fud
赴	fue
府	fuf
负	fug
富	fuh
扶	fui
辅	fuj
浮	fuk
服	ful
馥	fum
甫	fun
讣	fuo
福	fup
父	fuq
付	fur
孵	fus
夫	fut
佛	fuu
赋	fuv
弗	fuw
覆	fux
怫	fuy
副	fuz
嘎	gac
旮	gan
尜	gat
伽	gau
尕	gav
戛	gaz
缑	gba
勾	gbh
鞲	gbj
沟	gbk
狗	gbm
钩	gbn
诟	gbo
苟	gbr
构	gbs
岣	gbt
佝	gbu
购	gbv
垢	gbw
耇	gby
篝	gbz
拐	gci
夬	gco
乖	gcq
呱	gdc
寡	gdh
胍	gdl
诖	gdo
褂	gdp
刮	gdq
栝	gds
卦	gdw
瓜	gdz
硌	geb
咯	gec
蛤	ged
骼	gee
疙	gef
戈	geg
割	geh
搁	gei
革	gej
滆	gek
胳	gel
铬	gen
袼	gep
饹	geq
葛	ger
格	ges
隔	get
仡	geu
鸽	gev
圪	gew
哥	gez
哏	gfc
艮	gfr
根	gfs
亘	gfz
耿	gga
颈	ggb
哽	ggc
庚	ggf
羹	ggj
浭	ggk
暅	ggp
梗	ggs
埂	ggw
耕	ggx
纲	gha
矼	ghb
冈	ghh
扛	ghi
港	ghk
肛	ghl
钢	ghn
杠	ghs
岗	ght
缸	ghv
堽	ghw
戆	ghx
罡	ghz
绀	gja
矸	gjb
虷	gjd
赶	gje
疳	gjf
玕	gjg
擀	gji
甘	gjj
泔	gjk
肝	gjl
秆	gjm
敢	gjo
旰	gjp
干	gjq
苷	gjr
杆	gjs
坩	gjw
赣	gjx
竿	gjz
缟	gka
睾	gkd
搞	gki
羔	gkj
稿	gkm
镐	gkn
诰	gko
杲	gkp
皋	gkq
藁	gkr
槁	gks
糕	gkt
告	gkv
膏	gkw
篙	gkz
盖	glj
溉	glk
钙	gln
晐	glp
改	glr
概	gls
陔	glt
赅	glv
垓	glw
丐	glz
硅	gmb
贵	gmd
跪	gme
龟	gmf
瑰	gmg
闺	gmh
轨	gmj
归	gml
鬼	gmm
诡	gmo
晷	gmp
皈	gmq
柜	gms
刿	gmt
刽	gmv
圭	gmw
癸	gmy
簋	gmz
绲	gna
磙	gnb
鲧	gnf
衮	gng
辊	gnj
棍	gns
聒	goa
国	gob
帼	goc
蝈	god
裹	gog
涡	gok
腘	gol
锅	gon
馃	goq
椁	gos
粿	got
果	gov
郭	gow
虢	goz
贯	gpa
盥	gpd
鳏	gpf
琯	gpg
官	gph
掼	gpi
灌	gpk
爟	gpo
祼	gpp
馆	gpq
莞	gpr
棺	gps
倌	gpu
罐	gpv
观	gpx
惯	gpy
管	gpz
功	gsb
蚣	gsd
觥	gsg
宫	gsh
拱	gsi
肱	gsl
弓	gso
公	gsq
共	gsr
供	gsu
龚	gsw
躬	gsx
咣	gtc
广	gtf
珖	gtg
𨐈	gtj
洸	gtk
胱	gtl
逛	gtm
桄	gts
垙	gtw
古	gua
固	gub
咕	guc
蛊	gud
骨	gue
顾	guf
觚	gug
雇	gui
轱	guj
沽	guk
股	gul
锢	gun
诂	guo
谷	guq
菇	gur
梏	gus
崮	gut
估	guu
牯	guv
鼓	guw
孤	gux
姑	guz
蛤	had
铪	han
吼	hbc
逅	hbd
骺	hbe
厚	hbf
鲎	hbh
猴	hbm
𬭤	hbn
齁	hbq
糇	hbt
候	hbu
堠	hbw
篌	hbz
踝	hce
淮	hck
槐	hcs
徊	hcu
怀	hcy
哗	hdc
划	hdg
滑	hdk
猾	hdm
铧	hdn
花	hdr
桦	hds
化	hdu
骅	hdv
画	hdz
纥	hea
贺	heb
喝	hec
龁	hee
壑	hef
鹤	heh
鞨	hej
河	hek
翮	hel
禾	hem
诃	heo
褐	hep
饸	heq
荷	her
核	hes
何	heu
盒	hev
赫	hew
劾	hez
痕	hff
狠	hfm
𬣳	hfo
恨	hfy
哼	hgc
珩	hgg
蘅	hgr
横	hgs
衡	hgu
亨	hgw
恒	hgy
姮	hgz
绗	hha
吭	hhc
航	hhj
沆	hhk
巷	hhr
杭	hhs
夯	hht
颃	hhw
喊	hjc
蚶	hjd
琀	hjg
寒	hjh
撼	hji
邯	hjj
汗	hjk
犴	hjm
函	hjo
旱	hjp
韩	hjq
菡	hjr
崡	hjt
垾	hjw
酣	hjx
憾	hjy
含	hjz
号	hkc
蚝	hkd
浩	hkk
貉	hkm
昊	hkp
皓	hkq
蒿	hkr
毫	hkw
耗	hkx
氦	hlb
嗨	hlc
骸	hle
害	hlh
海	hlk
胲	hll
骇	hlv
孩	hlx
亥	hlz
绘	hma
回	hmb
喙	hmc
蛔	hmd
麾	hmf
慧	hmg
挥	hmi
汇	hmk
秽	hmm
𬭬	hmn
讳	hmo
晦	hmp
毁	hmq
荟	hmr
桧	hms
辉	hmt
徽	hmu
贿	hmv
恚	hmw
虺	hmx
悔	hmy
惠	hmz
碈	hnb
昏	hnd
珲	hng
阍	hnh
混	hnk
诨	hno
馄	hnq
荤	hnr
惛	hny
魂	hnz
嚯	hoc
蠖	hod
霍	hoe
或	hog
豁	hoh
攉	hoi
漷	hok
和	hom
镬	hon
火	hoo
祸	hop
获	hor
伙	hou
夥	hov
耠	hox
缓	hpa
圜	hpb
唤	hpc
痪	hpf
环	hpg
寰	hph
换	hpi
豢	hpj
浣	hpk
獾	hpm
锾	hpn
焕	hpo
㬊	hpp
荁	hpr
桓	hps
峘	hpt
还	hpz
嘿	hqc
𬭶	hqn
纮	hsa
哄	hsc
虹	hsd
玒	hsg
宏	hsh
轰	hsj
洪	hsk
𫟹	hsn
弘	hso
竑	hsq
蕻	hsr
幌	htc
蝗	htd
鳇	htf
璜	htg
凰	hth
艎	htj
潢	htk
锽	htn
谎	hto
晃	htp
皇	htq
荒	htr
隍	htt
徨	htu
肓	htw
慌	hty
簧	htz
胡	hua
囫	hub
呼	huc
乎	hud
鹘	hue
虎	huf
瑚	hug
户	hui
轷	huj
湖	huk
狐	hum
弧	huo
祜	hup
葫	hur
槲	hus
糊	hut
鹄	huv
壶	huw
醐	hux
惚	huy
忽	huz
缙	jca
劲	jcb
巾	jcc
矜	jcd
廑	jcf
瑾	jcg
尽	jci
堇	jcj
津	jck
紧	jcl
晋	jcm
金	jcn
谨	jco
襟	jcp
馑	jcq
荩	jcr
禁	jcs
仅	jcu
近	jcv
墐	jcw
殣	jcy
今	jcz
加	jdb
斝	jdc
蛱	jdd
跏	jde
痂	jdf
珈	jdg
浃	jdk
胛	jdl
稼	jdm
钾	jdn
茄	jdr
枷	jds
岬	jdt
假	jdu
甲	jdv
嘉	jdw
贾	jdx
嫁	jdz
级	jia
矶	jib
唧	jic
系	jid
迹	jie
疾	jif
急	jig
几	jih
技	jii
基	jij
济	jik
肌	jil
积	jim
𫓯	jin
记	jio
𫌀	jip
饥	jiq
即	jir
机	jis
际	jit
伎	jiu
及	jiv
吉	jiw
鸡	jix
祭	jiy
击	jiz
绝	jma
砄	jmb
嚼	jmc
蹶	jme
厥	jmf
角	jmg
掘	jmi
决	jmk
獗	jmm
镢	jmn
诀	jmo
矍	jmp
蕨	jmr
橛	jms
崛	jmt
倔	jmu
𫘝	jmv
孓	jmx
爵	jmz
君	jnd
鲪	jnf
珺	jng
皲	jnh
捃	jni
浚	jnk
䐃	jnl
钧	jnn
焌	jno
晙	jnp
竣	jnq
菌	jnr
峻	jnt
俊	jnu
骏	jnv
均	jnw
麇	jnx
筠	jnz
绢	jpa
圈	jpb
鹃	jpc
捐	jpi
眷	jpj
涓	jpk
狷	jpm
镌	jpn
焆	jpo
蠲	jpq
倦	jpu
隽	jpv
鄄	jpx
娟	jpz
纠	jra
啾	jrc
韭	jre
疚	jrf
玖	jrg
究	jrh
揪	jri
酒	jrk
旧	jrl
九	jrn
舅	jrq
柩	jrs
㠇	jrt
僦	jru
鹫	jrw
咎	jrx
救	jrz
䌹	jsa
窘	jsh
扃	jsi
泂	jsk
颎	jsn
炯	jso
炅	jsp
𬳶	jsv
坰	jsw
缰	jta
礓	jtb
虹	jtd
奖	jte
鳉	jtf
匠	jth
姜	jtj
江	jtk
膙	jtl
讲	jto
蒋	jtr
降	jtt
僵	jtu
耩	jtx
豇	jtz
聚	jua
砠	jub
咀	juc
距	jue
疽	juf
琚	jug
句	juh
局	jui
鞠	juj
沮	juk
腒	jul
狙	jum
锯	jun
炬	juo
裾	jup
具	juq
矩	jur
橘	jus
举	jut
俱	juu
驹	juv
弆	juw
醵	jux
惧	juy
娵	juz
柬	jwa
碱	jwb
建	jwd
践	jwe
鲣	jwf
戋	jwg
间	jwh
肩	jwi
舰	jwj
减	jwk
坚	jwl
戬	jwm
键	jwn
谏	jwo
睑	jwp
剪	jwq
荐	jwr
检	jws
尖	jwt
件	jwu
剑	jwv
艰	jwx
歼	jwy
