字	全码	同项序号	核定简码
伦	lyzg	0	lyz
伯	bdzl	0	bdz
伯	bozl	0	boz
伴	bjze	0	bjz
伸	ufza	0	ufza
似	uizo	0	uizo
似	sizo	0	siz
但	djzr	0	dj
位	wwzh	0	wwzh
低	dizn	0	diz
住	vuzp	0	vuz
佐	zozs	0	zoz
体	tizr	0	tiz
何	hezn	0	hez
余	yudv	0	yud
佛	fozk	0	fo
佛	fuzk	0	fuzk
作	zozr	0	zozr
你	nizf	0	n
佩	pwzg	0	pwz
佳	jxzp	0	jxzp
使	uize	0	uize
例	lizo	0	liz
供	gszv	0	gsz
依	yizg	0	yizg
侧	cezo	0	cez
侯	hzzy	0	hzz
便	bmze	0	bmz
便	pmze	0	pmz
促	cuzk	0	cu
俄	eezb	0	eez
俊	jyzg	0	jyz
俗	suzj	0	suz
保	bcza	0	bcz
信	xbzm	0	xbz
俩	lxzd	0	lx
俩	llzd	0	llz
修	xqzk	0	xq
倍	bwzj	0	bwz
倒	dczo	0	dcz
候	hzzs	0	hzzs
借	jpza	0	jpza
债	vdzq	0	vd
值	vizr	0	viz
倾	qkzq	0	qkz
假	jxzg	0	jxzg
偏	pmzq	0	pmzq
做	zozg	0	zo
停	tkzn	0	tkz
健	jmzo	0	jmzo
偶	ouzo	0	ouz
偷	tzze	0	tzz
储	iuza	0	iuz
像	xlzb	0	xlz
儿	ernn	0	ern
允	yykn	0	yyk
元	yrrn	0	yr
兄	xsjn	0	xsj
充	isbn	0	isb
先	xmnn	0	xm
光	glfn	0	gl
克	kern	0	ker
免	mmxx	0	mmx
党	dhsn	0	dhs
入	rudd	0	rud
全	qrdt	0	qr
八	bavv	0	bav
公	gsvk	0	gs
六	lqbv	0	lqb
兰	ljvr	0	lj
共	gsiv	0	gsi
关	grvv	0	gr
兴	xkfv	0	xkf
兵	bkev	0	bke
其	qiiv	0	qi
具	jurv	0	jur
典	dmlv	0	dml
兹	civf	0	civ
兹	zivf	0	ziv
养	yhmy	0	yhm
兼	jmjj	0	jmj
内	nwld	0	nw
册	cedr	0	ced
再	zdrr	0	zd
冒	mcla	0	mcl
写	xpsr	0	xp
军	jysc	0	jys
农	nssg	0	ns
冠	grsn	0	grs
冬	dsgd	0	dsg
冯	fgon	0	fgo
冰	bkoo	0	bko
冲	isoy	0	iso
决	jtov	0	jto
况	klon	0	kl
冷	lgov	0	lg
净	jkod	0	jko
准	vyop	0	vy
凉	llof	0	llo
减	jmoj	0	jmo
凝	nkol	0	nko
几	jidd	0	jid
凡	fjdd	0	fjd
凤	fgdg	0	fgd
凭	pkzd	0	pkz
凯	kdud	0	kdu
出	iuuu	0	iu
击	jibb	0	jib
刀	dcoo	0	dco
分	ffvo	0	ff
切	qpgo	0	qpg
刑	xkro	0	xkr
划	hxbo	0	hxb
列	lpxo	0	lp
刘	lqqo	0	lq
则	zeqo	0	ze
刚	ghlo	0	gh
创	ildo	0	il
初	iuvo	0	iuv
判	pjvo	0	pjv
利	liee	0	lie
别	bpjo	0	bp
到	dcho	0	dc
制	vino	0	vin
刷	uxto	0	ux
券	qrmo	0	qrm
券	xrmo	0	xrm
刺	cigo	0	cig
刻	kebo	0	keb
剂	jiqo	0	jiq
前	qmvo	0	qm
剑	jmpo	0	jmp
剧	jugo	0	jug
剩	ugco	0	ugc
剪	jmvo	0	jmv
副	furo	0	fu
力	likk	0	lik
办	bjkk	0	bjk
功	gssk	0	gss
加	jxkj	0	jxk
务	wugk	0	wug
动	dsrk	0	ds
助	vurk	0	vur
努	numk	0	nu
劲	jbsk	0	jbs
劲	jksk	0	jks
劳	lcqk	0	lcq
势	uiek	0	uie
勇	yskk	0	ysk
勒	leik	0	lei
勒	lwik	0	lwi
包	bclt	0	bcl
化	hxzg	0	hx
北	bwxg	0	bwx
区	oule	0	oul
区	qule	0	qu
医	yils	0	yil
十	uibb	0	uib
千	qmxx	0	qmx
升	ugkq	0	ugk
午	wudb	0	wud
半	bjve	0	bjv
华	hxzb	0	hxz
协	xpbk	0	xpb
单	ijss	0	ijs
单	djss	0	djs
单	ujss	0	ujs
卖	mdbv	0	mdb
南	nabb	0	nab
南	njbb	0	nj
博	bobn	0	bob
占	vjsj	0	vjs
卡	kass	0	ka
卡	qxss	0	qx
卢	lust	0	lus
卫	wwyr	0	wwy
印	ybii	0	ybi
危	wwot	0	wwo
即	jiwy	0	jiw
却	qtpy	0	qt
卷	jrmt	0	jr
厂	ihcc	0	ihc
厅	tkcn	0	tkcn
历	lick	0	lic
厉	liss	0	lis
压	yacd	0	yac
厚	hzcx	0	hzc
原	yrcf	0	yrc
去	qupk	0	q
县	xmrk	0	xmr
参	cjkk	0	cj
参	cfkk	0	cfk
参	ufkk	0	ufk
又	yzgg	0	yz
及	jiss	0	ji
友	yzbg	0	yzb
双	ulgg	0	ul
反	fjkg	0	fjk
发	fazg	0	f
叔	uusg	0	uus
取	qumg	0	qum
受	uzbg	0	uzb
变	bmyg	0	bm
口	kzjj	0	kz
古	gurr	0	gur
句	gzlj	0	gzl
句	julj	0	jul
另	lkjk	0	lk
只	vijv	0	vij
叫	jnjy	0	jn
召	ucoj	0	uco
召	vcoj	0	vco
可	kenn	0	ke
台	tdkj	0	tdk
史	uije	0	uij
右	yzbj	0	yzbj
叶	xpjb	0	xpj
叶	yejb	0	yej
号	hcjz	0	hcj
司	sizj	0	sizj
叹	tjjg	0	tjj
吃	iijz	0	i
各	gegg	0	geg
合	gedj	0	ged
合	hedj	0	he
吉	jipj	0	jip
同	tslj	0	ts
名	mkxj	0	mk
后	hzkj	0	hz
吐	tujp	0	tuj
向	xlqq	0	xlq
吕	lvjj	0	lvj
吗	majn	0	ma
君	jydj	0	jyd
否	fzrj	0	fz
否	pirj	0	pir
吧	bajt	0	baj
吨	dyjz	0	dyj
含	hjvj	0	hj
听	tkjf	0	tkj
启	qitj	0	qit
吴	wujv	0	wuj
吵	icjk	0	icj
吸	xijs	0	xij
吹	ivjd	0	iv
呀	yajk	0	yaj
呆	ddja	0	ddj
呈	igjt	0	igj
告	gcnj	0	gcn
员	yrjq	0	yrj
员	yyjq	0	yyj
呢	nejg	0	ne
呢	nijg	0	nij
周	vzdj	0	vz
味	wwjs	0	wwj
呼	hujy	0	huj
命	mkdy	0	mkd
和	hecj	0	h
和	hucj	0	huc
和	hocj	0	hoc
咬	ycje	0	ycj
咱	zjjl	0	zjj
咸	xmbj	0	xmb
品	pbjj	0	pb
哈	hajj	0	ha
响	xljq	0	xlj
哥	genn	0	gen
哦	eejb	0	eej
哦	oojb	0	o
哪	najy	0	naj
哪	nejy	0	nej
哭	kujv	0	kuj
唐	thcj	0	thc
唤	hrjv	0	hrj
售	uzpj	0	uzp
唯	wwjp	0	wwjp
唱	ihja	0	ihj
商	uhrr	0	uhr
啊	aajn	0	a
啥	uajj	0	uaj
啦	lajh	0	laj
善	ujbj	0	ujb
喊	hjjj	0	hjj
喜	xipj	0	xip
喝	hejl	0	hej
喷	pfjq	0	pf
嘉	jxpj	0	jxp
嘛	maja	0	maj
嘴	zvjh	0	zvj
器	qijj	0	qij
四	sitt	0	sit
回	hvij	0	hvi
因	ybiv	0	yb
团	trin	0	tr
园	yrin	0	yri
困	kyia	0	ky
围	wwie	0	wwi
固	guir	0	gui
国	goit	0	goi
图	tuid	0	tu
圆	yriq	0	yriq
圈	jrit	0	jri
圈	qrit	0	qri
土	tupp	0	tup
圣	uggp	0	ugg
在	zdbp	0	z
地	deph	0	dep
地	diph	0	di
场	ihpx	0	ihp
均	jypo	0	jy
坏	hkpd	0	hk
坐	zodp	0	zod
坑	kgpd	0	kg
块	kkpv	0	kkp
坚	jmhp	0	jmh
垂	ivxr	0	ivx
型	xkrp	0	xkrp
埃	aips	0	aip
城	igpz	0	igp
域	yupr	0	yup
培	pwpj	0	pwp
基	jiip	0	jii
堂	thsp	0	ths
堆	dvpp	0	dvp
堡	bczp	0	bczp
堡	buzp	0	buz
堡	puzp	0	puzp
塔	tapj	0	tap
塞	sdsp	0	sds
塞	sesp	0	ses
填	tmpv	0	tmp
境	jkpn	0	jkp
墙	qlpj	0	qlp
增	zgpa	0	zg
壁	bitp	0	bit
士	uipp	0	uip
壮	vlxp	0	vlx
声	ugpy	0	ugp
处	iugs	0	iug
备	bwga	0	bwg
复	fudg	0	fud
夏	xxrg	0	xxr
外	wdxs	0	wd
多	doxx	0	do
夜	yebx	0	yeb
够	gzlx	0	gzlx
大	davv	0	da
大	ddvv	0	ddv
天	tmvv	0	tm
太	tdvv	0	td
夫	fuvv	0	fuv
央	yhlv	0	yhl
失	uiss	0	uis
头	tzdv	0	tz
夹	garv	0	gar
夹	jxrv	0	jxr
夺	dovn	0	dov
奇	jivn	0	jiv
奇	qivn	0	qiv
奈	ndvq	0	ndv
奉	fgme	0	fgm
奋	ffva	0	ffv
奔	bfvq	0	bfv
奖	jlxv	0	jlx
套	tcvk	0	tc
奥	aoqv	0	ao
女	nvmm	0	nv
奶	ndmn	0	nd
她	tamh	0	ta
好	hcmx	0	hc
如	rumj	0	ru
妇	fumd	0	fum
妈	mamn	0	mam
妙	mnmk	0	mnm
妹	mwms	0	mwm
妻	qirm	0	qir
姆	muml	0	mum
始	uimj	0	uim
姐	jpmr	0	jpm
姑	gumr	0	gum
姓	xkmx	0	xkm
委	wwcm	0	wwc
姜	jlmm	0	jlm
威	wwbm	0	wwb
娘	nlmw	0	nl
娜	namy	0	nam
娜	nomy	0	nom
婆	poom	0	poo
婚	hyma	0	hym
媒	mwma	0	mwma
嫁	jxmy	0	jxm
嫩	nfmg	0	nf
子	zixx	0	zix
孔	ksxz	0	ksx
字	zisx	0	zis
存	cybx	0	cyb
孙	syxf	0	sy
孝	xnkx	0	xnk
孟	mgxt	0	mgx
季	jicx	0	jic
孤	guxb	0	gux
学	xtsx	0	xt
孩	hdxd	0	hdx
宁	nksn	0	nk
它	tasg	0	tas
宇	yusx	0	yus
守	uzsn	0	uzs
安	ansm	0	an
宋	sssa	0	sss
完	wjsn	0	wjs
宏	hssk	0	hss
宗	zssq	0	zss
官	grsh	0	grsh
定	dksl	0	dk
宜	yisr	0	yis
宝	bcst	0	bcs
实	uisv	0	uisv
审	ufsa	0	ufs
客	kesg	0	kes
宣	xrsr	0	xrs
室	uish	0	uish
宫	gssj	0	gssj
害	hdsj	0	hds
家	jxsy	0	jx
容	rssj	0	rs
宽	krsq	0	krs
宾	bbsv	0	bbs
寄	jisn	0	jis
密	misu	0	mis
富	fusa	0	fus
寒	hjsd	0	hjs
察	iasq	0	ias
对	dvgn	0	dv
寺	sipn	0	sip
寻	xydn	0	xyd
导	dctn	0	dct
封	fgpn	0	fgp
射	ueqn	0	ueq
将	jlxn	0	jl
尊	zyvn	0	zy
小	xnff	0	x
少	ucfk	0	uc
尔	erof	0	ero
尖	jmfv	0	jmf
尚	uhfj	0	uhf
尝	ihfk	0	ihf
尤	yzkk	0	yzk
就	jqkk	0	j
尺	iett	0	iet
尺	iitt	0	iit
尼	nitg	0	ni
尽	jbtd	0	jbt
尾	wwth	0	wwt
尾	yith	0	yit
局	jutj	0	jut
层	cgtk	0	cgt
居	jugg	0	jugg
届	jpta	0	jpt
屋	wuth	0	wut
屏	bktq	0	bkt
屏	pktq	0	pkt
展	vjtl	0	vjt
属	uuto	0	uut
山	ujuu	0	uj
岁	svux	0	sv
岗	ghue	0	ghu
岛	dccc	0	dcc
岩	yjuc	0	yju
岭	lkuv	0	lku
岸	anux	0	anu
峰	fgux	0	fgu
崔	cvup	0	cvu
川	iryy	0	iry
州	vzyy	0	vzy
工	gsss	0	gsss
左	zobs	0	zob
巧	qnsz	0	qns
巨	jull	0	jull
差	iams	0	ia
差	idms	0	idm
差	cims	0	cim
己	jitt	0	jitt
已	yitt	0	yitt
巴	batt	0	bat
币	bikg	0	bik
市	uibg	0	uibg
布	bubg	0	bub
帅	ukyg	0	uk
师	uiyg	0	uiy
希	xieg	0	xie
帐	vhgh	0	vhg
帕	pagl	0	pag
帝	disg	0	dis
带	ddqg	0	dd
席	xicg	0	xic
帮	bhrg	0	bh
常	ihsg	0	ihs
幅	fuga	0	fug
幕	muqg	0	muq
干	gjxx	0	gjx
平	pkrb	0	p
年	nmdy	0	nm
并	bkvq	0	bk
幸	xkpb	0	xkp
广	glcc	0	glc
庄	vlcp	0	vlc
庆	qkcv	0	qkc
床	ilca	0	ilc
序	xucg	0	xuc
库	kucc	0	ku
应	ykcf	0	yk
底	dicn	0	dic
店	dmcj	0	dmc
庙	mnca	0	mnc
府	fuct	0	fuc
度	ducg	0	du
度	docg	0	doc
座	zocp	0	zoc
庭	tkco	0	tkc
康	khco	0	kh
延	yjko	0	yjk
建	jmdo	0	jmd
开	kdrq	0	kd
异	yitq	0	yitq
弃	qibq	0	qib
弄	lstq	0	lst
弄	nstq	0	nst
式	uibs	0	uibs
引	ybzy	0	ybz
弗	fukk	0	fuk
弟	dibb	0	dib
张	vhzh	0	vh
弱	rozo	0	roz
弹	djzs	0	djz
弹	tjzs	0	tjz
强	jlzw	0	jlzw
强	qlzw	0	ql
归	gvyd	0	gvy
当	dhfd	0	dh
录	ludo	0	lud
形	xkrk	0	xkrk
彩	cdbk	0	cdb
彭	pgpk	0	pgp
影	ykak	0	yka
彻	ieyo	0	iey
彼	biyh	0	biy
往	whyp	0	why
征	vgyy	0	vgy
径	jkys	0	jky
待	ddyn	0	ddy
很	hfyw	0	hf
律	lvyd	0	lvy
徐	xuyv	0	xuy
徒	tuyk	0	tuy
得	deyn	0	de
得	dwyn	0	dw
微	wwyg	0	wwyg
德	deyv	0	dey
心	xbvv	0	xbv
必	bivv	0	biv
忆	yivz	0	yiv
忍	rfov	0	rfo
志	vipv	0	vip
忘	whbv	0	whbv
忙	mhvz	0	mh
忠	vsjv	0	vsj
忧	yzvk	0	yzv
快	kkvv	0	kk
念	nmvv	0	nmv
忽	huxv	0	hux
怀	hkvd	0	hkv
态	tdvv	0	tdv
怎	zfdv	0	zf
怒	numv	0	num
怕	pavl	0	pa
思	siav	0	sia
急	jimv	0	jim
性	xkvx	0	xk
怨	yrxv	0	yrx
怪	gkvp	0	gk
总	zsvv	0	zs
恋	lmyv	0	lmy
恐	kssv	0	kss
恒	hgvr	0	hg
恩	eniv	0	en
息	xilv	0	xil
恶	eeev	0	eee
恶	wuev	0	wue
悄	qnvr	0	qnv
悉	xibv	0	xib
患	hrjv	0	hrjv
悦	ytvn	0	ytv
您	nbzv	0	nb
悲	bwxv	0	bwxv
情	qkvr	0	qkv
惊	jkvf	0	jkv
惜	xiva	0	xiv
惠	hvrv	0	hvr
惯	grvq	0	grv
想	xlav	0	xl
愈	yuev	0	yue
意	yiev	0	yie
感	gjbv	0	gj
愿	yrcv	0	yrcv
慢	mjvg	0	mjv
慧	hvxv	0	hvx
懂	dsvw	0	dsv
戈	gebb	0	geb
戏	xigb	0	xig
成	igbz	0	ig
我	wobb	0	w
或	hobr	0	ho
战	vjsb	0	vjsb
戴	ddbv	0	ddb
户	hutt	0	hu
房	fhtl	0	fht
所	sotf	0	s
手	uzee	0	uz
才	cdnn	0	c
扎	zaez	0	zae
扎	vaez	0	vae
扑	pues	0	pue
打	daen	0	dae
托	toeg	0	to
扣	kzej	0	kze
执	vieh	0	vie
扫	sced	0	sc
扬	yhex	0	yhe
扶	fuev	0	fue
批	pieg	0	pie
找	vceb	0	vc
承	igxo	0	igx
技	jieg	0	jie
把	baet	0	ba
抓	vxeb	0	vx
投	tzew	0	tze
抗	khed	0	khe
折	ueef	0	uee
折	veef	0	vee
抢	qlet	0	qle
护	huet	0	hue
报	bceg	0	bc
抬	tdej	0	tde
抱	bcet	0	bce
抵	dien	0	die
抽	izea	0	iz
担	djer	0	dje
拆	idef	0	id
拉	laeh	0	la
拌	bjee	0	bje
拍	pdel	0	pd
拒	juel	0	jue
拔	baed	0	bae
拖	toeh	0	toe
招	vcej	0	vce
拜	bdmx	0	bdm
拟	nieo	0	nie
拥	ysee	0	yse
择	zeee	0	zee
择	vdee	0	vde
括	koej	0	ko
拼	pbeq	0	pbe
拿	nade	0	nad
持	iien	0	ii
挂	gxep	0	gx
指	viea	0	viea
按	anem	0	ane
挑	tnen	0	tne
挖	waez	0	wae
挤	jiey	0	jiey
挥	hvec	0	hve
振	vfel	0	vfe
挺	tkeo	0	tk
损	syeq	0	sye
换	hrev	0	hr
据	jueg	0	ju
授	uzeg	0	uze
掉	dneb	0	dn
掌	vhse	0	vhs
排	pdex	0	pde
探	tjea	0	tje
接	jpem	0	jp
控	kses	0	kse
推	tvep	0	tv
措	coea	0	coe
提	diel	0	diel
提	tiel	0	ti
插	iael	0	iae
握	woeh	0	woe
搜	szeg	0	sz
搞	gcej	0	gce
搬	bjew	0	bjew
搭	daej	0	daej
摄	ueeg	0	ueeg
摆	bdek	0	bde
摇	yceb	0	yce
摩	mace	0	mac
摩	moce	0	moc
摸	moeq	0	moe
撑	igee	0	ige
撒	saeg	0	sae
撞	vlew	0	vle
播	boea	0	boe
操	ccea	0	cce
擦	caeq	0	ca
支	vibg	0	vib
收	uzzg	0	uzz
改	gdtg	0	gdt
攻	gssg	0	gssg
放	fhlg	0	fhl
政	vgrg	0	vgr
故	gurg	0	gurg
效	xneg	0	xne
敌	dixg	0	dix
敏	mbdg	0	mbd
救	jqrg	0	jqr
教	jnkg	0	jnk
敢	gjzg	0	gjz
散	sjig	0	sji
敬	jkqg	0	jkq
数	uubg	0	uub
数	uobg	0	uob
整	vggy	0	vgg
文	wfqq	0	wfq
斗	dzdb	0	dzd
料	lnbb	0	ln
斤	jbff	0	jbf
断	drbf	0	drb
斯	siif	0	si
新	xbhf	0	xb
方	fhll	0	fh
施	uilh	0	uil
旁	phsl	0	phs
旅	lvln	0	lvl
旋	xrll	0	xrl
族	zuls	0	zul
旗	qilv	0	qil
无	moaa	0	moa
无	wuaa	0	wu
既	jiwn	0	jiwn
日	riaa	0	ri
旦	djar	0	dja
旧	jqya	0	jqy
早	zcab	0	zc
时	uian	0	ui
旺	what	0	wha
昌	ihaa	0	iha
明	mkar	0	mka
易	yiax	0	yia
星	xkax	0	xka
映	ykav	0	ykav
春	iyma	0	iy
昨	zoar	0	zoa
是	uial	0	u
显	xmar	0	xma
晋	jbea	0	jbe
晒	uday	0	ud
晓	xnah	0	xna
晚	wjax	0	wja
晨	ifal	0	ifa
普	puva	0	pu
景	jkaf	0	jka
智	visa	0	vis
暂	zjca	0	zjc
暖	nrag	0	nr
暗	anae	0	ana
暴	bckk	0	bck
曲	quay	0	qua
更	ggre	0	g
曹	ccra	0	ccr
曼	mjag	0	mja
曾	cgva	0	cg
曾	zgva	0	zgv
替	tiva	0	tiv
最	zvag	0	zv
月	ytrr	0	yt
有	yzbr	0	y
朋	pgrr	0	pg
服	furg	0	fur
朗	lhdr	0	lh
望	whbt	0	whbt
朝	icbr	0	icb
朝	vcbr	0	vcb
期	jiir	0	jiir
期	qiir	0	qii
木	muaa	0	mua
未	wwss	0	wws
末	moss	0	mos
本	bfar	0	bf
术	uuad	0	uua
术	vuad	0	vua
朱	vuss	0	vus
机	jiad	0	jia
杀	uaef	0	uae
杂	zahf	0	za
权	qrag	0	qra
李	liax	0	lia
材	cdan	0	cda
村	cyan	0	cy
杜	duap	0	dua
束	uugg	0	uug
条	tngf	0	tn
来	ldkk	0	ld
杨	yhax	0	yha
杯	bwad	0	bwa
杰	jpaw	0	jpa
松	ssak	0	ssa
板	bjag	0	bja
极	jias	0	jias
构	gzak	0	gza
析	xiaf	0	xia
林	lbaa	0	lb
枚	mwag	0	mwa
果	goaa	0	goa
枝	viag	0	via
枪	qlat	0	qla
架	jxka	0	jxka
柏	bdal	0	bda
柏	boal	0	boa
某	mzia	0	mz
染	rjoa	0	rjo
柔	rzga	0	rzg
查	iaar	0	iaa
查	vaar	0	vaa
柱	vuap	0	vuap
柳	lqai	0	lqa
标	bnaq	0	bna
树	uuan	0	uuan
校	jnae	0	jna
校	xnae	0	xn
样	yhab	0	yh
核	head	0	hea
核	huad	0	hua
根	gfaw	0	gfa
格	geag	0	gea
案	ansa	0	ans
桌	vosa	0	vo
桑	shga	0	sh
档	dhad	0	dha
桥	qnay	0	qn
桶	tsae	0	tsa
梁	lloa	0	lloa
梅	mwal	0	mwal
梦	mgax	0	mg
检	jmap	0	jma
棒	bhae	0	bha
森	sfaa	0	sf
楚	iual	0	iua
楼	lzam	0	lz
概	gdan	0	gda
榜	bhal	0	bhal
模	moaq	0	mo
模	muaq	0	muaq
横	hgae	0	hga
次	ciod	0	cio
欢	hrgd	0	hrg
欣	xbfd	0	xbf
欧	ould	0	ou
欲	yuvd	0	yuv
款	krpd	0	kr
歌	gend	0	gend
止	viyy	0	viy
正	vgry	0	vg
此	ciyg	0	ci
步	buyk	0	buy
武	wury	0	wur
死	sixg	0	six
殊	uuxs	0	uux
残	cjxb	0	cjx
段	drkw	0	dr
母	mull	0	mul
每	mwdl	0	mwd
毒	duxl	0	dux
比	bigg	0	bi
毕	bigb	0	big
毛	mchh	0	mch
毫	hckh	0	hck
氏	uinn	0	uin
氏	vinn	0	vinn
民	mbmm	0	mb
气	qiuu	0	qiu
水	uvoo	0	uv
永	ysnn	0	ysn
汁	viob	0	vio
求	qqrd	0	qqr
汇	hvol	0	hvo
汉	hjog	0	hjo
汗	hjox	0	hjox
江	jlos	0	jlo
池	iioh	0	iio
汤	thox	0	th
汽	qiou	0	qio
沃	woov	0	wo
沈	ufon	0	ufo
沉	ifod	0	ifo
沙	uaok	0	ua
沟	gzok	0	gzo
没	mwow	0	m
没	moow	0	moo
河	heon	0	heo
油	yzoa	0	yzo
治	vioj	0	vioj
沿	yjoj	0	yjo
泉	qrlo	0	qrl
法	faok	0	fa
泛	fjof	0	fjo
泡	pcot	0	pco
波	booh	0	bo
泥	niog	0	nio
注	vuop	0	vuo
泪	lwoa	0	lwo
泰	tdmo	0	tdm
泽	zeoe	0	zeo
洁	jpoj	0	jpo
洋	yhob	0	yho
洗	xion	0	xio
洗	xmon	0	xmo
洛	loog	0	loo
洞	dsoj	0	dso
洞	tsoj	0	tso
津	jbod	0	jbo
洪	hsov	0	hso
洲	vzoy	0	vzo
活	hooj	0	hoo
派	pdon	0	pdo
流	lqoy	0	lqo
浅	qmob	0	qmo
测	ceoo	0	ce
济	jioy	0	jio
浓	nsog	0	nso
浦	puol	0	puo
浩	hcoj	0	hco
浪	lhow	0	lho
浮	fuox	0	fuo
海	hdol	0	hdo
涂	tuov	0	tuo
消	xnor	0	xno
涉	ueok	0	ueo
润	ryot	0	ry
涨	vhoh	0	vho
液	yeox	0	yeo
淡	djow	0	djo
深	ufoa	0	uf
混	hyog	0	hy
添	tmov	0	tmo
清	qkor	0	qko
渐	jmof	0	jmof
温	wfot	0	wfo
港	ghot	0	gho
游	yzox	0	yzox
湖	huor	0	huo
湾	wjoz	0	wjo
湿	uior	0	uio
源	yrof	0	yro
溪	xiov	0	xiov
滑	hxob	0	hxo
滚	gyok	0	gy
满	mjod	0	mj
滴	dior	0	dio
演	yjov	0	yjov
漫	mjog	0	mjo
潘	pjoa	0	pjo
潜	qmoa	0	qmoa
潮	icor	0	ico
澳	aoov	0	aoo
激	jiog	0	jiog
火	howw	0	how
灭	mprw	0	mp
灯	dgwn	0	dgw
灰	hvbw	0	hvb
灵	lkdw	0	lkd
炎	yjww	0	yjw
炒	icwk	0	icw
炖	dywz	0	dyw
炸	vawr	0	va
点	dmsw	0	dm
烂	ljwr	0	ljw
烈	lpxw	0	lpx
烟	yjwv	0	yjwv
烤	kcwz	0	kcw
烦	fjwq	0	fjw
烧	ucwh	0	ucw
烫	thow	0	tho
热	reew	0	re
焦	jnpw	0	jnp
然	rjxw	0	rj
煎	jmvw	0	jmvw
照	vcaw	0	vca
煮	vukw	0	vuk
熊	xskw	0	xs
熟	uzkw	0	uzk
熟	uukw	0	uuk
燕	yjiw	0	yji
爆	bcwk	0	bcw
爱	aibg	0	ai
父	fuve	0	fuve
爷	yevy	0	yev
爸	bavt	0	bavt
爽	ulbd	0	ulb
片	pmxx	0	pm
版	bjxg	0	bj
牌	pdxb	0	pdx
牙	yakk	0	yak
牛	nqnn	0	nq
物	wunx	0	wun
特	tenn	0	te
犯	fjht	0	fjh
状	vlxv	0	vlxv
犹	yzhk	0	yzh
狂	klht	0	klh
狗	gzhj	0	gzh
独	duhw	0	duh
猛	mght	0	mgh
猜	cdhr	0	cdh
猪	vuha	0	vuh
猫	mcha	0	mc
献	xmbv	0	xmbv
率	lvbb	0	lv
率	ukbb	0	ukb
玉	yutt	0	yut
王	whtt	0	wh
玛	matn	0	mat
玩	wjtn	0	wjt
环	hrtd	0	hrt
现	xmtq	0	xmt
珍	vftk	0	vft
珠	vuts	0	vut
班	bjto	0	bjt
球	qqtd	0	qq
理	litw	0	lit
琳	lbta	0	lbt
琴	qbtv	0	qbt
瑞	rvtl	0	rv
瓜	gxbb	0	gxb
瓦	wass	0	wa
瓶	pkvs	0	pkv
甘	gjii	0	gji
