字	码	候选位
䪨	bcda	3
袌	bcvn	1
襃	bcvn	2
䥤	bcgv	4
䭋	bcgo	3
鉋	bcgv	5
飽	bcgv	6
䯽	pznh	2
嫑	bcnz	1
虣	bcnn	1
靤	bccv	3
髱	bcnv	2
㲒	bcwm	1
䤖	bces	1
忁	bcub	1
緥	bcjo	1
鳵	bcor	1
㫧	bcqd	1
㿺	bcse	1
曓	bcqn	1
闁	bcwn	1
怉	bccv	4
砲	pcjv	1
賲	bcfa	3
儤	bcfs	1
䳰	bcfr	2
佨	bcfv	1
靌	bcca	1
䨌	bcca	2
䨔	bcca	3
䎂	bcmv	2
鮑	bcyv	2
铇	bckv	2
勽	bcwg	1
勹	bcww	3
䳈	bcev	1
駂	bctr	2
鴇	bctr	3
㙸	bcti	1
報	bctq	1
珤	bcgz	1
㻄	bcgk	1
㙅	bcto	2
堢	bcto	3
唄	bwha	1
㗑	bdhw	3
粨	bddy	2
粺	bddp	1
䙓	bdut	1
襬	bdut	2
䒔	bdxa	1
薭	bdxp	3
猈	bdvp	2
㿟	bdyy	6
竡	bday	1
䳆	bdyr	2
敗	bdqq	2
贁	bdqq	3
䢙	bdqp	1
庍	bdsy	1
㠔	bdys	3
䪹	bdna	1
㧳	voll	2
㓦	bdns	2
瓸	bdly	2
拝	bdlw	3
挀	bdlk	4
擺	bdlt	2
㔥	bdap	1
絔	bdjy	3
韛	bdol	1
䠋	bizp	3
栢	bdoy	2
喯	pfhx	2
炃	ffar	1
燌	ffra	1
泍	bfbn	1
渀	bfbx	2
獖	bfva	1
蟦	fwma	3
鐼	ffga	1
䬱	bfgn	2
錛	bfgx	3
奙	bftp	3
㡷	bfsn	1
軬	fjtp	2
㨧	bflp	1
輽	bfnp	1
捹	bflx	1
撪	bflp	2
㤓	bfcn	1
夲	tcnp	1
逩	bfnp	2
賁	bipa	2
㮺	bfoh	1
楍	bfoh	2
㮥	bfop	1
桳	bfop	2
翉	bfom	1
嗙	phhs	1
䑫	bgex	1
熢	pgrp	2
㷯	bgrl	1
䙀	bguv	2
漨	fgbp	1
菶	bgxl	3
䭰	bgwl	1
痭	bgsv	1
鞛	bgmh	1
錋	pggv	1
鏰	bggv	1
䩬	bgml	1
嵭	bgys	3
揼	bglb	1
㼞	pgnl	2
㧍	fhls	1
㔙	bgap	2
絣	bgjx	2
䋽	bgjy	2
綳	bgjv	3
繃	bgjv	4
閍	bgws	2
㱶	pgle	1
㑟	bgfa	2
伻	bgfp	1
傰	bgfv	1
奟	bgnv	1
䨻	bgcp	1
跰	pmzx	2
䨜	bgcv	1
逬	bgep	1
䳞	bgir	1
琣	bggh	1
埄	bgtw	1
塴	bgtv	1
埲	bgtl	3
髈	bhus	1
嫎	phzs	1
謗	bhds	2
艕	bhes	2
稖	bhwh	1
䖫	bhmw	2
蛖	mhma	1
蜯	bhml	2
㿶	bhie	1
䩷	bhms	1
鎊	bhgs	3
䧛	bhps	1
捠	bhla	1
騯	pgns	1
綁	bhjp	2
並	bkaw	1
徬	phus	2
紡	fhjs	2
縍	bhjs	2
䎧	bhnh	1
䂜	bhjw	1
硥	mhja	1
牓	bhns	1
䰷	bhyw	2
㭋	bhow	1
㮄	bhos	2
幚	bhna	2
邫	bhnv	1
㙃	bhta	1
幇	bhta	2
幫	bhta	3
㨍	bhtl	1
垹	bhtp	1
鞤	bhtm	1
啚	bihh	1
䯗	biut	1
嗶	bihp	3
魓	bipp	2
娝	pzzh	1
妼	bizc	1
詖	bide	4
㚰	pwzn	1
嬶	biza	1
㠲	biat	1
㡙	biat	2
䊧	bida	3
煏	birp	2
粃	bidt	1
熚	birp	3
袐	biuc	1
襣	biua	2
筆	birq	1
箄	birp	4
笓	birt	2
箆	birt	3
篳	birp	5
襅	biup	3
㵒	fwba	1
湢	bibp	1
潷	bibq	1
㵥	miba	1
滭	bibp	2
䕗	bixa	1
蘗	boxo	1
萞	bixt	3
蓽	bixp	7
獙	bivq	1
幤	biga	1
䵗	bowp	1
稫	piwp	1
䄶	biwt	3
痺	bisp	2
疕	bist	2
疪	bist	3
䖩	bimc	3
螕	bimt	1
蜌	bimt	2
䩛	bimc	4
屄	biia	1
鉍	bigc	2
飶	bigc	3
繴	biij	1
鼊	biiq	1
㪏	biyq	1
鐴	bigs	4
躄	biiz	2
錍	pigp	1
鞞	bkmp	1
鵖	bicr	1
鸊	piir	1
皀	jiyt	3
鈚	pigt	2
鎞	bigt	2
鏎	bigp	1
鞸	bimp	1
饆	bigp	2
䀣	biqc	1
䫁	biya	2
䫾	binc	1
贔	biqa	1
䧗	bipq	1
貱	biqe	1
䁹	biqs	1
睤	biqa	2
䬛	binp	2
廦	biss	1
崥	piyp	3
㧙	bilc	1
䎵	biec	1
駜	binc	2
䮠	binp	3
畐	funp	1
粊	bitd	1
䮡	binq	1
㿫	bite	2
䘡	bitn	2
髲	bine	1
聛	biep	1
豍	binp	4
枈	bito	1
鶝	funr	1
驆	binp	5
㡀	biaa	1
䪐	bioc	1
幣	biaa	2
費	fwta	1
䌘	bpaj	1
獘	bian	2
㢶	bioy	1
㢸	bioq	1
㢰	bioe	1
紴	boje	1
鄪	bitp	2
䋔	bijn	2
䌟	bojs	1
弻	bioo	2
斃	biat	3
奰	bian	3
綼	bijp	2
貏	biep	2
鄨	biav	1
鷩	biar	1
䨆	biag	1
䣥	biet	2
紕	pijt	3
毴	bimn	1
彃	biop	1
縪	bijp	3
罼	biap	1
韠	biop	2
閟	biwc	3
閈	hjww	3
㪤	biqq	3
畁	bipa	3
閇	biwa	1
鷝	biqr	1
閉	biwy	2
畢	biqp	1
怭	bicc	3
愊	bicp	2
怶	bice	1
㱸	bils	1
悂	pict	1
偪	bifp	2
佊	bife	1
夶	binn	1
㓖	bibp	3
䟤	bizc	2
踾	fuzp	1
䵄	bipn	1
躃	bizs	1
㳼	birb	1
禆	biup	4
鴓	mpcr	1
䃾	biut	2
蹕	bizp	4
鮅	biyc	4
鰏	biyp	2
翍	pime	1
鮩	bkyx	2
䚜	biwp	1
魮	piyt	3
㘠	biec	2
柲	bioc	2
楅	biop	3
柀	bioe	2
榌	bioa	1
㯅	piop	1
朼	biot	1
㮿	biop	4
㯇	biot	2
梐	biot	3
䉾	bind	1
旇	pise	2
䏟	bpvc	1
腷	bivp	1
䏢	bive	3
胇	fwvt	2
肶	pivt	1
䏶	bivt	4
堛	bitp	3
㻶	bigq	1
㘩	bitt	6
㙄	bitt	7
㻫	bigp	3
䟆	bizp	5
頒	bjaa	1
䛀	fjdq	1
鳻	bjar	1
姅	bjzl	3
搫	pjel	1
螌	bjem	1
粄	bjdq	2
舨	bjeq	1
褩	bjen	1
䉽	bjdl	3
䈲	bjrt	2
籓	fjrp	2
㚘	bjnn	1
埿	nibt	2
秚	bjwl	1
蝂	bjmq	1
螁	bjmp	3
斒	bjax	1
鈑	bjgq	1
䬳	bjgl	2
鉡	bjgl	3
㢖	pjsp	1
岅	bjyq	4
䰉	pjnt	1
瓪	bjlq	2
辦	bjsp	1
辬	bjsa	2
辯	bmsd	2
㪵	bjap	1
覂	fgex	1
絆	bjjl	3
闆	bjwh	1
䃑	bjjt	2
怑	bjcl	1
跘	pjzl	1
魬	bjyq	5
朌	ffvs	3
坢	bjtl	1
誁	bkdx	3
苪	bkxg	1
䔊	bkxx	2
寎	bkig	6
癛	lbsw	1
窉	bkig	7
䗒	bkmw	2
鋲	bkga	1
餠	bkgw	2
仌	bkgg	1
稟	bkvw	1
竝	bkaa	1
鈵	bkgg	2
鞆	bkmg	2
仒	bkga	2
鉼	bkgx	2
餅	bkgx	3
眪	bkqg	2
陃	bkpg	1
庰	bksx	1
㨀	bklq	2
抦	bklg	3
掤	bklv	1
綆	ggjn	2
昞	bkqg	3
怲	bkcg	4
倂	bkfw	3
傡	bkfa	3
併	bkfx	1
偋	bkfx	2
㓈	bkbj	1
冫	bkbb	3
靐	bkcp	1
氷	bkab	1
䴵	bkpx	1
棅	bkoq	1
栤	bkob	1
幷	bkew	1
垪	bktx	2
琕	pbgp	2
變	bmdq	1
㝸	bmga	1
覍	bmga	2
糄	bmdx	1
艑	bmex	1
炞	bmra	1
䉸	bmrd	1
箯	bmrn	1
籩	bmrp	2
辺	bmsp	2
㴜	bmbx	3
汳	bmbq	1
㳒	bmbt	1
㳎	bmbx	4
藊	bmxx	3
䒪	bmxx	4
獱	bmva	2
㺕	fjvp	1
猵	bmvx	3
缏	bmjn	3
稨	bmwx	3
疺	fasx	1
窆	bmix	3
鍽	bmgx	2
変	bmpq	2
㣐	bmye	2
鞕	ykmn	1
貶	bmqx	4
䁵	bmqn	2
邉	bmyp	1
邊	bmyp	2
臱	mmys	2
䪻	bmta	2
峅	bmyx	3
鴘	bmtr	1
䡢	bmnx	1
揙	bmlx	1
㦚	bmas	2
㵷	bmas	3
辡	bmss	4
辧	bmas	4
辮	bmas	5
拚	pjlx	3
釆	bmmm	1
徧	bmux	2
編	bmjx	5
緶	bmjn	4
閞	bmwx	4
覵	jmwa	1
惼	bmcx	1
牑	bmnx	2
頨	yuma	1
鯿	bmyx	4
鯾	bmyn	2
䛒	bmed	1
㭓	bmox	1
㲢	bmim	1
甂	bmil	2
鶣	pmir	1
㺹	bmgx	3
玣	bmga	3
䟍	bmzs	1
謤	bndy	3
諘	bndn	1
飊	bnrm	1
篻	pnry	1
褾	bnuy	3
淲	bnbn	2
滮	bnbe	1
䔸	bnxn	1
猋	bnnn	2
飆	bnnm	1
䅺	bnwy	1
穮	bnwr	1
鏢	bngy	1
錶	bngn	1
鑣	bngr	2
颷	bnnr	1
飈	bnnr	2
飚	bnnr	3
䁭	bnqn	1
贆	bnqn	2
飇	bnnn	3
颩	bnne	1
䁃	bnqn	3
颮	bnnv	2
㟽	bnyy	3
㠒	bnys	2
麃	pckr	1
驃	bnny	3
髟	bnne	2
㧼	bnln	1
䮽	bnnr	4
驫	bnnr	5
㶾	bner	2
䙳	bner	3
爂	bner	4
磦	bnjy	2
僄	pnfy	1
鰾	bnyy	4
標	bnoy	2
檦	bnos	1
灬	bnrr	3
㯹	bnoy	3
䞄	bnsa	1
臕	bnvr	1
膔	luvk	2
墂	bnty	2
噃	fjhp	1
䯋	boua	2
髉	boug	1
㗘	bohy	1
髆	bouy	1
譒	bodp	1
帗	boaa	2
艊	boea	1
㶿	born	1
煿	bory	2
襏	bout	2
襎	fjup	1
袹	bouy	2
箥	bore	2
缽	bozn	1
襮	bous	1
袚	boua	3
䙏	bouy	3
簙	bory	3
潑	pobt	1
淿	boba	1
㴾	bobq	1
溊	bobq	2
碆	bobj	1
蔢	poxz	1
蔔	boxp	2
葧	boxp	3
苩	boxy	2
萡	boxy	3
犻	bova	1
狛	bovy	2
猼	bovy	3
㞈	bopx	1
㝿	bope	1
䭯	bowy	1
秡	bowa	1
馛	bowa	2
穛	vowr	1
盋	bopa	1
蚾	pime	2
䗚	bomy	1
糪	boid	1
㹀	bocn	2
䪬	bodn	1
孹	boin	1
鋍	bogn	1
餑	bogn	2
鉑	bogy	1
鉢	bogn	3
㵨	piib	1
䬪	boga	1
犦	bocs	1
㼟	boyl	1
鈸	boga	2
皪	liyo	1
䥬	bogy	2
䪇	bomy	2
䭦	bogy	3
䶈	boyy	2
鎛	bogy	4
鑮	bogy	5
餺	bogy	6
㟑	boyn	1
䂍	boss	2
撥	bolt	1
驋	bont	1
㩭	boln	1
挬	boln	2
擗	pils	1
㩧	bols	1
駁	bonn	1
駮	bonn	2
㼣	bonl	1
䮀	bonv	1
䢌	bonp	1
䰊	bony	1
發	falt	1
剝	boqs	2
䊿	bojn	4
癷	bolw	1
䝛	boee	1
袰	bopn	1
㼎	bomn	1
彴	voua	1
瓝	boma	1
癶	boll	2
瓟	bomv	1
䢪	boep	1
䍸	boiy	1
壆	xtet	1
㬥	puqd	1
㬧	boqj	1
㬍	boqy	1
殕	fzlh	1
䃗	bojs	2
懪	bocs	2
愽	bocy	1
礡	bojy	2
僠	bofp	1
侼	bofn	1
仢	bofa	3
蹳	bozt	1
䟛	boza	2
䟮	fuzn	2
㪍	bopq	1
郣	bopp	2
䟔	fuza	3
鵓	bopr	1
牔	bony	2
鱍	boyt	1
馎	boay	1
檘	pkos	1
䳁	boea	2
胉	bovy	4
肑	bova	2
䑈	bovo	1
䞳	bozh	2
豰	bott	1
別	bphs	2
䘷	bpua	3
䇷	bprs	1
襒	bpuq	1
莂	bpxs	1
虌	bpxq	1
䭱	bpwa	1
穪	igwn	1
㿜	bpsx	1
癟	bpsx	2
蛂	bpma	1
䋢	bplj	2
㢼	bpoa	1
蟞	bpam	1
徶	bpuq	2
鼈	bpaq	1
龞	bpan	1
彆	bpao	1
䳤	bpar	1
鱉	bpar	2
䠥	bpzq	1
㔡	bpap	1
咘	buha	2
吥	buha	3
婄	pzzh	2
㚴	buza	1
誧	budq	2
䒀	bueg	1
䊇	budq	3
䑰	buee	1
䍌	buzh	1
箁	pzrh	1
篰	burp	1
補	buuq	1
㳍	buba	1
荹	buxe	1
歨	bugk	3
歩	buge	2
秿	fuwq	4
㾟	buse	2
餢	bugh	1
鈽	buga	2
䪁	bumi	1
勏	buap	2
鈈	buga	3
䳝	pzar	1
郶	buav	1
餔	bugq	1
䬏	bunh	1
䀯	buqq	3
䝵	buqq	4
陠	pupq	1
廍	busp	1
峬	buyq	1
庯	busq	1
撲	puli	1
轐	buni	2
輹	funq	1
捬	fulg	3
㨐	bulo	2
捗	bule	2
䋠	bujq	3
䪔	buoq	1
鳪	buar	1
㱛	irll	1
悑	bucq	1
佈	bufa	6
僕	pufi	1
䴺	buph	1
踄	buze	1
鯆	puyq	1
柨	buoa	1
鵏	buqr	3
喸	buqt	3
尃	fuqy	1
钸	buka	2
鸔	bues	1
䏽	buvh	3
㘵	buta	1
㙛	buty	2
㻉	buge	3
骳	bwue	2
㗗	bwhp	2
㛝	bwza	1
誖	bwdn	2
諀	pidp	1
㽡	bwpp	1
㶔	bwbn	1
䔒	bwxh	3
萯	fuxa	3
苝	bwxt	1
藣	bwxt	2
狽	bwva	1
㾱	bwso	1
蛽	bwma	2
㸬	bwca	1
㸽	bwca	2
鋇	bwga	1
犕	bwcl	1
鵯	bwyr	3
牬	bwce	2
鉳	bwgt	2
貝	bwqa	1
郥	bwqp	4
䣙	pwyp	1
䡶	bwns	1
㰆	bwio	1
揹	bwlv	2
盃	bwna	1
㔗	fwtp	2
㣁	bwol	1
䋳	bwjv	1
昁	bwqa	2
㫲	bwqn	1
㤳	bwch	1
俻	bwfp	1
偹	bwfp	2
備	bwfl	1
僃	bwfl	2
憊	bwfc	2
㷶	bwfr	1
偝	bwfv	1
䟺	bwza	2
㸢	bwnl	1
愂	bwpc	1
禙	bwuv	2
䰽	bwya	2
䱝	pdyp	2
桮	bwoh	2
杮	fwoa	1
梖	bwoa	2
柸	pwon	1
棑	pdon	1
䩀	bwna	2
鄁	bwnp	2
㻗	bwng	1
軰	bwnp	3
輩	bwnp	4
㔨	bwwv	1
珼	bwga	2
囃	cahg	1
遪	catp	1
攃	caly	2
䌨	cajy	1
䃰	cajy	2
礤	cajy	3
礸	caja	1
磣	ifje	2
傪	cjfe	1
䵽	catt	1
䟃	cjze	1
鄵	cchp	1
㜖	cczq	1
䒃	ccep	1
褿	ccuq	1
襙	ccuo	1
艹	ccxx	2
蓸	ccxq	1
鏪	ccgq	1
鐰	qngo	1
嶆	ccyq	1
㯥	ccna	1
䏆	cceq	2
曺	ccnq	2
撡	cclc	2
騲	ccnp	1
㿷	coie	2
䒑	ccan	2
屮	iewa	1
艸	ccwa	1
䎭	ccnp	2
慅	sccm	2
慒	cscq	1
愺	cccp	1
懆	ccco	1
傮	zcfq	1
䄚	ccuq	2
肏	ccgg	1
䐬	ccvq	1
鼜	qitm	4
啋	cdhm	1
婇	cdzm	2
䌽	cdjm	3
寀	cdim	1
財	cdqy	1
扐	lelp	1
揌	sdlc	1
䰂	cdnm	2
採	cdlm	2
縩	cdjy	4
䣋	cdmp	1
毝	cdme	2
纔	cdjr	2
綵	cdjm	4
㥒	cdcm	1
倸	cdfm	1
跴	cdze	2
䠕	cdzo	1
䴭	cdpy	1
棌	cdom	1
㒲	cdgq	1
䐆	cdvm	1
䟀	cdze	3
埰	cdtm	2
䞗	cdzy	2
嫧	zeza	1
幘	zeaa	1
粣	cedn	1
䊂	cedp	1
畟	cepq	1
䈟	cers	1
箣	cers	2
笧	cern	1
簎	cerq	1
䇲	cern	2
筴	cerg	1
筞	cero	1
測	cebs	2
萗	cexy	1
荝	cexs	1
萴	cexs	2
蓛	cexq	1
䔴	cexq	2
齰	zegq	1
冊	cewn	1
厠	cess	2
廁	cess	3
㩍	celp	1
拺	celp	2
敇	cepq	2
䜺	idnq	1
㨲	celo	1
㥽	ceca	1
惻	cecs	2
憡	cecp	1
側	cefs	2
墄	cetg	1
笒	cfrz	1
篸	cjre	2
汵	gjbz	3
穇	cjwe	2
䅾	cfwq	1
䫈	ifya	2
㞤	ybyg	3
參	cjte	2
嵾	cfye	1
㞥	cfyg	1
䤁	cfeo	1
硶	ifjz	1
䨙	cfct	1
䲋	cfyq	1
䉕	cgrq	1
層	cgiq	1
竲	cgaq	2
䁬	cgqq	2
驓	cgnq	1
㣒	cgae	1
曽	cgaq	3
繒	zgjq	2
㬝	cgqq	3
橧	zgoq	1
艙	cheh	1
篬	qlrh	1
滄	chbh	1
濸	chbh	2
㵴	chbk	1
㶓	chbk	2
蒼	chxh	1
蔵	zhxk	2
獊	chvh	1
䅮	chwh	1
螥	chmh	3
倉	chgh	1
仺	chgn	1
鑶	chgk	1
鶬	chgr	3
䢢	chgp	1
賶	chqh	1
嵢	chyh	1
傖	chfh	2
凔	ilbh	2
匨	zhwt	2
欌	chok	1
瑲	qlgh	2
㘂	cihc	1
髊	ciue	1
骴	ciut	1
詞	cidh	2
嬨	cizc	3
䈘	cirj	1
澬	ziba	2
濨	cibc	2
薋	cixa	1
茦	cixp	2
茲	zixj	1
䓧	cixn	1
薺	jixn	4
呰	zigh	1
啙	zigh	2
㠿	ziga	1
姕	zigz	3
䖪	zigm	2
胔	zigg	1
飺	cigc	2
䳄	cigr	2
鮆	cigr	3
鴜	cigr	4
䧳	cigg	2
㘹	cigt	3
㓨	cins	2
㤵	cinc	2
㾊	jisp	1
蠀	cima	1
螆	cimj	1
䗹	cimc	1
鈶	sigh	1
㞖	ciip	1
䲿	ciir	2
皉	ciyt	2
䭣	cign	1
賜	ciqj	1
㢀	cisp	1
辝	cits	2
庛	cist	2
刾	cins	1
䯸	cing	2
朿	cipp	1
䰍	cinb	1
㩞	cilo	1
䛐	ciod	1
絘	cijg	1
齹	ciiw	1
甆	cial	1
縒	cije	1
鶿	ciar	1
鷀	ciar	2
礠	cijc	1
䂣	cijt	1
㐸	qmfg	3
餈	cibc	3
䳐	cibr	2
偨	cifo	1
佌	cift	1
垐	cibt	2
蛓	cipm	3
䨏	cicg	2
枱	tdoh	1
柌	cioh	1
栜	seop	1
栨	ciog	1
辤	cims	1
辭	cims	2
珁	cigl	1
趀	cize	2
囋	zaha	2
嘇	ujhe	2
噆	zjhq	1
喰	cjhc	1
㜗	cjze	2
謲	cjde	1
䛹	cjde	2
嬠	cjzo	2
燦	cjrd	1
㽩	cjpe	1
爘	cjrc	1
䉔	cjrr	1
䙁	cjur	1
澯	cjbd	4
淺	qmbr	2
湌	cjbc	3
薒	cjxd	1
㿊	cjsq	1
鏒	sjge	3
叅	cjtc	1
叄	cjtn	1
㜞	qmnz	1
㨻	cjnl	1
䗞	cjnm	4
䘉	cjnm	5
蝅	cjnm	6
蠶	cjnm	7
蠺	cjnm	8
䣟	cjnp	1
摲	ijly	3
摻	cjle	2
驂	cjne	1
朁	cjnq	2
慙	cjnc	1
蹔	zjnz	1
䳻	cjnr	1
縿	ujje	1
䍼	zjiq	1
㛑	cjlz	1
䝳	cjla	1
㣓	cjle	3
䱗	cjlr	3
慚	cjcy	3
慘	cjce	3
㦧	cjcq	1
憯	cjcq	2
㥇	cjcr	1
殘	cjlr	4
飱	sylc	2
㱚	cjlv	1
儏	cjfd	1
飡	cjbc	4
䗝	cjum	1
戔	jmrr	4
鰺	ufye	3
黲	cjre	3
䏼	cjvr	1
㻮	cjgy	1
諎	zedq	1
營	ykrh	1
㽨	cope	1
襊	cvuq	2
澨	uibg	2
剒	coms	1
蓌	coxq	1
斮	comy	1
莡	coxz	1
蒫	coxe	1
逪	comp	1
遳	coxp	1
蔖	coxt	2
剉	cogs	1
夎	cogq	1
酇	zjcp	2
錯	cogq	2
䑘	coye	2
銼	cogt	1
睉	coqt	1
嵳	coye	3
㟇	coyt	1
䰈	cone	1
醝	coee	3
䣜	coap	1
鹺	coae	2
虘	coat	1
䂳	cojt	2
躦	coza	2
䴾	cope	2
䠡	cozt	1
䟶	zozt	1
䱜	coyq	1
㭫	coot	1
䐤	idve	1
熶	crrq	1
襸	zjua	1
簒	crrt	2
灒	zjba	3
菆	zzxq	2
穳	crwa	1
窾	krig	1
竄	crio	1
鋑	crgq	1
