词	简码	候选位	级别
安魂曲	ahq	1	3
安河桥	ahq	2	3
爱恨情缘	ahqy	1	4
安徽人	ahr	1	3
安好如初	ahri	1	4
暗红色	ahs	1	3
安徽省	ahu	1	3
爱好者	ahv	2	3
爱护植物	ahvw	1	4
爱吃不吃	aibi	2	4
鹌鹑蛋	aid	1	3
按常规	aig	2	3
熬肠刮肚	aigd	1	4
AI换脸	aihl	1	4
暗沉沉	aii	1	3
氨茶碱	aij	2	3
爱吃零食	ailu	1	4
熬出头	ait	2	3
AI修复	aixf	1	4
暗潮汹涌	aixy	2	4
AI作图	aizt	1	4
安静	aj	1	2
案件	aj	2	2
挨肩搭背	ajdb	1	4
按揭贷款	ajdk	1	4
安静的美男子	ajdz	1	4
安家费	ajf	1	3
按计划	ajh	1	3
按揭合同	ajht	1	4
按键冲突	ajit	1	4
爱剪辑	ajj	1	3
按键精灵	ajjl	1	4
安居客	ajk	1	3
安静了	ajl	1	3
按揭利息	ajlx	1	4
暗贱难防	ajnf	2	4
按经取穴	ajqx	1	4
安静入睡	ajru	1	4
氨基酸	ajs	1	3
按键式	aju	1	3
案件审理	ajul	1	4
按揭手续	ajux	1	4
安静下来	ajxl	1	4
暗礁险滩	ajxt	1	4
按迹循踪	ajxz	1	4
癌基因	ajy	1	3
埃及艳后	ajyh	1	4
爱看不看	akbk	1	4
拗口令	akl	1	3
阿卡丽	akl	2	3
阿卡姆	akm	1	3
阿克曼	akm	2	3
奥卡姆剃刀	akmd	1	4
爱科学	akx	1	3
阿克希亚	akxy	1	4
奥利奥	ala	1	3
阿拉伯	alb	1	3
阿鲁巴	alb	2	3
阿拉伯半岛	albd	1	4
阿拉伯联合酋长国	albg	1	4
爱来不来	albl	2	4
阿拉伯数字	albz	1	4
阿拉丁	ald	1	3
案例分析	alfx	1	4
奥利给	alg	1	3
按老规矩	algj	1	4
安理会	alh	1	3
案例教学	aljx	1	4
按理来讲	allj	1	4
奥林匹克运动会	alph	1	4
奥林匹亚先生	alpu	1	4
阿联酋	alq	1	3
爱丽丝	als	1	3
安乐死	als	2	3
俺老孙	als	3	3
Alt	alt	1	3
按理说	alu	1	3
安禄山	alu	2	3
爱立信	alx	1	3
爱莉希雅	alxy	1	4
阿里云	aly	1	3
安乐椅	aly	2	3
暗流涌动	alyd	1	4
阿里云盘	alyp	1	4
安利一下	alyx	1	4
按摩	am	1	2
爱买不买	ambm	2	4
傲慢不逊	ambx	1	4
按摩店	amd	1	3
爱玛电动车	amdi	1	4
哀莫大于心死	amds	1	4
哀莫大焉	amdy	1	4
澳门回归	amhg	1	4
澳门皇家赌场	amhi	1	4
凹面镜	amj	1	3
阿美莉卡	amlk	1	4
鞍马劳困	amlk	2	4
阿玛尼	amn	1	3
唵嘛呢叭咪吽	amnh	1	4
按摩女郎	amnl	1	4
啊米诺斯	amns	1	4
阿米诺斯	amns	2	4
安眠曲	amq	1	3
按摩器	amq	2	3
爱美人士	amru	1	4
爱猫人士	amru	2	4
阿姆斯特朗	amsl	1	4
阿姆斯壮	amsv	1	4
爱马仕	amu	1	3
按摩室	amu	2	3
鞍马之劳	amvl	1	4
爱慕之情	amvq	1	4
爱美之心，人皆有之	amvv	1	4
爱美之心人皆有之	amvv	2	4
奥妙无穷	amwq	1	4
安慕希	amx	1	3
澳门新葡京娱乐城	amxi	1	4
澳门新葡京	amxj	1	4
安眠药	amy	1	3
按摩椅	amy	2	3
爱慕已久	amyj	1	4
爱面子	amz	1	3
按钮	an	2	2
按耐不住	anbv	2	4
懊恼不已	anby	1	4
碍难从命	ancm	1	4
艹尼玛	anm	2	3
艹你妈	anm	3	3
爱你三千遍	ansb	1	4
熬年头	ant	2	3
安排	ap	1	2
安排表	apb	1	3
爱拼才会赢	apcy	1	4
安排得明明白白	apdb	1	4
安培定则	apdz	1	4
安排好	aph	1	3
安培计	apj	1	3
安贫乐贱	aplj	1	4
阿帕奇	apq	1	3
安贫若素	aprs	1	4
安排妥当	aptd	1	4
安排上	apu	1	3
安排生活	apuh	1	4
安排时间	apuj	1	4
阿婆主	apv	1	3
安排下	apx	1	3
爱情	aq	1	2
安全	aq	2	2
爱去不去	aqbq	1	4
哀其不争	aqbv	1	4
哀其不幸	aqbx	1	4
矮穷矬	aqc	1	3
安全带	aqd	1	3
挨千刀	aqd	2	3
安全岛	aqd	3	3
爱情动作片	aqdp	1	4
安琪儿	aqe	1	3
安全阀	aqf	1	3
安全感	aqg	1	3
安全管家	aqgj	1	4
爱情故事	aqgu	1	4
爱情公寓	aqgy	1	4
爱琴海	aqh	1	3
按期还款	aqhk	1	4
矮穷丑	aqi	1	3
安全出口	aqik	1	4
爱情长跑	aqip	1	4
奥奇传说	aqiu	1	4
安全出行	aqix	1	4
安全局	aqj	1	3
安全级别	aqjb	1	4
安全距离	aqjl	1	4
安琪拉	aql	1	3
安全帽	aqm	1	3
安全门	aqm	2	3
爱情买卖	aqmm	1	4
爱情片	aqp	1	3
安全期	aqq	1	3
安全区	aqq	2	3
安全起见	aqqj	1	4
安全气囊	aqqn	1	4
昂起头	aqt	1	3
安全套	aqt	2	3
安全提示	aqtu	1	4
暗区突围	aqtw	1	4
安全设备	aqub	1	4
安全事故	aqug	1	4
安全施工	aqug	2	4
安全声明	aqum	1	4
安全设施	aquu	1	4
安全使用	aquy	1	4
安全着陆	aqvl	1	4
安全卫士	aqwu	1	4
安全性	aqx	1	3
安全线	aqx	2	3
爱奇艺	aqy	1	3
安全员	aqy	2	3
安全隐患	aqyh	1	4
安全因素	aqys	1	4
安全意识	aqyu	1	4
安全运输	aqyu	2	4
安全有效	aqyx	1	4
爱如潮水	ariu	1	4
爱如己出	arji	1	4
黯然离场	arli	1	4
爱人民	arm	1	3
爱热闹	arn	1	3
安然如故	arrg	1	4
爱人如己	arrj	1	4
安然入眠	arrm	1	4
安然入睡	arru	1	4
爱如珍宝	arvb	1	4
矮人一等	aryd	2	4
昂然自得	arzd	1	4
艾斯爱慕	asam	1	4
阿斯巴甜	asbt	1	4
阿sir	asir	1	4
奥斯卡	ask	1	3
奥斯卡金像奖	askj	1	4
阿萨姆	asm	1	3
阿斯玛	asm	2	3
奥斯曼帝国	asmg	1	4
ASMR	asmr	1	4
艾特	at	1	2
凹透镜	atj	1	3
阿提拉	atl	1	3
AT力场	atli	1	4
AT领域	atly	1	4
奥特曼	atm	1	3
阿童木	atm	2	3
凹凸曼	atm	3	3
艾特全体	atqt	1	4
安兔兔	att	1	3
安徒生	atu	1	3
奥特之父	atvf	1	4
奥特之母	atvm	1	4
奥特之王	atvw	1	4
安胎药	aty	1	3
暗示	au	1	2
爱说爱笑	auax	1	4
安神补脑	aubn	1	4
爱说不说	aubu	1	4
爱睡不睡	aubu	2	4
安神定惊	audj	1	4
安神定魄	audp	1	4
安神定志	audv	1	4
捱时间	auj	1	3
爱上了	aul	1	3
奥数魔刃	aumr	1	4
爱上你	aun	1	3
爱是你我	aunw	1	4
按时起床	auqi	1	4
暗生情愫	auqs	1	4
安适如常	auri	1	4
昂首挺立	autl	1	4
爱谁谁	auu	1	3
暗示着	auv	1	3
安身之所	auvs	1	4
爱上我	auw	1	3
昂首望天	auwt	1	4
按顺序	aux	1	3
暗示性	aux	2	3
爱是一道光	auyg	1	4
昂首屹立	auyl	1	4
按照	av	1	2
安装	av	2	2
阿珍爱上了阿强	avaq	1	4
安装包	avb	1	3
安卓版	avb	2	3
安装版	avb	3	3
暗中调查	avdi	1	4
安装到位	avdw	1	4
螯肢动物	avdw	2	4
安枕而卧	avew	1	4
按照规定	avgd	1	4
暗中观察	avgi	1	4
安装过程	avgi	2	4
按照惯例	avgl	1	4
癌症患者	avhv	1	4
AV画质	avhv	2	4
按照传统	avit	1	4
安装程序	avix	1	4
安卓机	avj	1	3
按照计划	avjh	1	4
安装教程	avji	1	4
安装目录	avml	1	4
AV女优	avny	1	4
AV男优	avny	2	4
安装盘	avp	1	3
安卓平板	avpb	1	4
暗中盘算	avpo	1	4
安装软件	avrj	1	4
安卓软件	avrj	2	4
暗中算计	avsj	1	4
安卓思维	avsw	1	4
爱之深	avu	1	3
按这种	avv	1	3
安装文件	avwj	1	4
癌症晚期	avwq	1	4
安卓系统	avxt	1	4
暗中相助	avxv	1	4
暗中作梗	avzg	1	4
安慰	aw	1	2
安稳	aw	2	2
阿瓦达啃大瓜	awdg	1	4
阿瓦达索命	awdm	1	4
艾薇儿	awe	1	3
奥委会	awh	1	3
安委会	awh	2	3
安危祸福	awhf	1	4
安慰剂	awj	1	3
阿伟乱葬岗	awlg	1	4
癌晚期	awq	1	3
啊我死了	awsl	1	4
阿伟死了	awsl	2	4
暗物质	awv	1	3
爱我中华	awvh	1	4
安慰性	awx	1	3
安慰一下	awyx	1	4
爱惜	ax	1	2
爱心	ax	2	2
癌细胞	axb	1	3
阿西吧	axb	2	3
按下不表	axbb	1	4
爱信不信	axbx	1	4
奥匈帝国	axdg	1	4
安心定志	axdv	1	4
按需定制	axdv	2	4
熬心费力	axfl	1	4
爱惜公物	axgw	1	4
安心工作	axgz	1	4
按下葫芦起来瓢	axhp	1	4
按下葫芦浮起瓢	axhp	2	4
凹陷处	axi	1	3
爱心捐款	axjk	1	4
按下快门	axkm	1	4
阿修罗	axl	1	3
安心乐意	axly	1	4
安息日	axr	1	3
爱惜人才	axrc	1	4
安享天年	axtn	1	4
爱惜生命	axum	1	4
爱心助学	axvx	1	4
爱学习	axx	1	3
安下心来	axxl	1	4
按需选择	axxz	1	4
锕系元素	axys	1	4
安闲自得	axzd	1	4
爱惜自己	axzj	1	4
阿姨	ay	1	2
按一按	aya	1	3
昂扬不灭	aybm	1	4
哎哟，不错哦	aybo	1	4
奥运村	ayc	1	3
奥运冠军	aygj	1	4
爱一个人	aygr	1	4
奥运会	ayh	1	3
爱与恨	ayh	2	3
矮一截	ayj	1	3
奥运健儿	ayje	1	4
暗夜精灵	ayjl	1	4
奥运精神	ayju	1	4
哎呀妈呀	aymy	1	4
唉呀妈呀	aymy	2	4
碍于面子	aymz	1	4
按要求	ayq	1	3
遨游四海	aysh	1	4
遨游世界	ayuj	1	4
按月支付	ayvf	1	4
哎哟喂	ayw	1	3
哎呦喂	ayw	2	3
安有完卵	aywl	1	4
哎呦我去	aywq	1	4
哎呀我去	aywq	2	4
哎哟我去	aywq	3	4
按音序	ayx	1	3
阿姨洗铁路	ayxl	1	4
昂扬向上	ayxu	1	4
哎呀呀	ayy	1	3
俺也一样	ayyy	1	4
安于一隅	ayyy	2	4
阿姨压一压	ayyy	3	4
案子	az	1	2
暗自	az	2	2
艾滋病	azb	1	3
肮脏不堪	azbk	1	4
爱祖国	azg	1	3
爱走极端	azjd	1	4
按资论辈	azlb	1	4
矮子里拔将军	azlj	1	4
按资排辈	azpb	1	4
腌臜泼才	azpc	1	4
暗自庆幸	azqx	1	4
暗自思量	azsl	1	4
暗自神伤	azuu	1	4
爱咋玩	azw	1	3
凹造型	azx	1	3
爱咋咋地	azzd	1	4
爱咋咋的	azzd	2	4
白皑皑	baa	2	3
保安队	bad	2	3
不安定	bad	3	3
报案电话	badh	1	4
保安队长	badv	2	4
不安分	baf	1	3
备案号	bah	2	3
彼岸花	bah	3	3
不安好心	bahx	1	4
不爱吃	bai	2	3
不按常理	bail	1	4
不按常理出牌	baip	1	4
不爱吃肉	bair	1	4
不爱江山爱美人	bajr	1	4
不安宁	ban	2	3
被安排得明明白白	bapb	2	4
不安全	baq	1	3
不安其位	baqw	1	4
不爱听	bat	2	3
不按套路	batl	1	4
不按套路出牌	batp	2	4
不碍事	bau	1	3
不爱说话	bauh	2	4
不按顺序	baux	1	4
吧？	baw	1	3
不安稳	baw	2	3
不安心	bax	2	3
白矮星	bax	3	3
不安现状	baxv	2	4
并不	bb	2	2
爸爸	bb	3	2
不变	bb	4	2
并不比	bbb	2	3
别逼逼	bbb	3	3
白板笔	bbb	4	3
宝贝不错	bbbc	1	4
不比不知道	bbbd	1	4
版本编号	bbbh	1	4
辨别不出	bbbi	1	4
步步逼近	bbbj	1	4
表白被拒	bbbj	2	4
斑驳不堪	bbbk	2	4
半表半里	bbbl	1	4
报不报名	bbbm	1	4
百病不侵	bbbq	1	4
宝宝巴士	bbbu	1	4
不悲不喜	bbbx	1	4
包不包邮	bbby	2	4
白板擦	bbc	1	3
并不存在	bbcz	1	4
巴不得	bbd	1	3
办不到	bbd	2	3
不变的	bbd	3	3
棒棒哒	bbd	4	3
版本答案	bbda	1	4
并不代表	bbdb	1	4
变被动为主动	bbdd	2	4
并不多见	bbdj	1	4
百般抵赖	bbdl	1	4
不必多礼	bbdl	2	4
不必多虑	bbdl	3	4
不必多说	bbdu	1	4
并不都是	bbdu	2	4
不变的是	bbdu	3	4
不必当真	bbdv	1	4
不必担心	bbdx	1	4
并不等于	bbdy	2	4
不必多言	bbdy	3	4
碧波荡漾	bbdy	4	4
不被定义	bbdy	5	4
宝贝儿	bbe	1	3
奔波儿灞	bbeb	1	4
灞波儿奔	bbeb	2	4
暴毙而亡	bbew	1	4
宝贝儿子	bbez	1	4
笨办法	bbf	2	3
八宝饭	bbf	3	3
背包袱	bbf	4	3
并不反对	bbfd	1	4
并不符合	bbfh	1	4
百般奉承	bbfi	1	4
不必烦恼	bbfn	1	4
不包分配	bbfp	1	4
并不否认	bbfr	1	4
避避风头	bbft	1	4
不避风险	bbfx	1	4
并不复杂	bbfz	1	4
比不过	bbg	2	3
本不该	bbg	3	3
把把关	bbg	4	3
步步高	bbg	5	3
并不感冒	bbgm	1	4
并不公平	bbgp	1	4
不必管他	bbgt	1	4
版本更新	bbgx	1	4
并不会	bbh	1	3
不包含	bbh	2	3
并不好	bbh	3	3
版本号	bbh	4	3
白百何	bbh	5	3
百般呵护	bbhh	2	4
宝贝回家	bbhj	1	4
并不好看	bbhk	1	4
版本红利	bbhl	1	4
不抱幻想	bbhx	1	4
办不成	bbi	2	3
蹦蹦床	bbi	3	3
蹦蹦车	bbi	4	3
表白成功	bbig	2	4
不被察觉	bbij	1	4
不败传说	bbiu	3	4
八百斤	bbj	2	3
步步紧逼	bbjb	1	4
并不觉得	bbjd	1	4
步步紧跟	bbjg	1	4
八部金刚	bbjg	2	4
不必惊慌	bbjh	1	4
并不仅仅	bbjj	3	4
并不尽然	bbjr	1	4
步步惊心	bbjx	2	4
不包括	bbk	2	3
背包客	bbk	3	3
并不看好	bbkh	1	4
不被看好	bbkh	2	4
并不可靠	bbkk	1	4
并不可能	bbkn	1	4
并不可怕，	bbkp	1	4
并不可怕	bbkp	2	4
不必客气	bbkq	2	4
并不看重	bbkv	1	4
并不开心	bbkx	1	4
并不可以	bbky	1	4
比不了	bbl	2	3
不必了	bbl	3	3
八百里	bbl	4	3
冰冰凉	bbl	5	3
白白浪费	bblf	1	4
宝贝老公	bblg	1	4
步步莲花	bblh	1	4
版本落后	bblh	2	4
并不了解	bblj	1	4
不被理解	bblj	2	4
奔波劳苦	bblk	1	4
冰冰凉凉	bbll	2	4
奔波劳碌	bbll	3	4
宝贝老婆	bblp	1	4
八八六十四	bbls	1	4
并不理想	bblx	1	4
半部论语	bbly	2	4
帮帮忙	bbm	1	3
𰻝𰻝面	bbm	2	3
并不明白	bbmb	1	4
并不矛盾	bbmd	1	4
不帮忙是本分	bbmf	1	4
比表面积	bbmj	1	4
奔波忙碌	bbml	1	4
不必勉强	bbmq	1	4
不便明说	bbmu	1	4
并不满足	bbmz	1	4
并不能	bbn	2	3
并不难	bbn	3	3
宝贝女儿	bbne	1	4
别不耐烦	bbnf	1	4
并不能够	bbng	1	4
啵啵奶茶	bbni	1	4
抱不平	bbp	1	3
百白破	bbp	2	3
保不齐	bbq	1	3
北半球	bbq	2	3
并不确定	bbqd	1	4
爸爸去哪儿	bbqe	1	4
遍布全国	bbqg	2	4
并不清楚	bbqi	2	4
并不全是	bbqu	1	4
版本前瞻	bbqv	1	4
并不起眼	bbqy	1	4
百般劝阻	bbqz	1	4
并不如	bbr	1	3
被别人	bbr	2	3
播报人	bbr	3	3
兵败如山倒	bbrd	1	4
不抱任何想法	bbrf	1	4
不被认可	bbrk	1	4
并不认识	bbru	1	4
并不认为是	bbru	2	4
并不认为	bbrw	1	4
不抱任何希望	bbrw	2	4
不抱任何幻想	bbrx	1	4
并不容易	bbry	1	4
被捕入狱	bbry	2	4
棒棒糖	bbt	1	3
半边天	bbt	2	3
巴别塔	bbt	3	3
并不太好	bbth	1	4
版本T0	bbtl	1	4
不便透露	bbtl	2	4
八部天龙	bbtl	3	4
巴巴托斯	bbts	1	4
芭芭脱丝	bbts	2	4
并不同意	bbty	1	4
并不是	bbu	2	3
比不上	bbu	3	3
帮不上	bbu	4	3
摆摆手	bbu	5	3
百八十	bbu	6	3
百八十遍	bbub	1	4
百八十个	bbug	1	4
并不是一个	bbug	2	4
并不适合	bbuh	1	4
不败神话	bbuh	2	4
遍布伤痕	bbuh	3	4
步步生莲	bbul	1	4
帮不上忙	bbum	2	4
百八十人	bbur	1	4
并不是说	bbuu	2	4
并不是意味着	bbuv	1	4
并不是因为	bbuw	1	4
补办手续	bbux	1	4
补补身子	bbuz	2	4
憋不住	bbv	2	3
保不住	bbv	3	3
八宝粥	bbv	4	3
并不知	bbv	5	3
不标准	bbv	6	3
并不知道	bbvd	2	4
并不值得	bbvd	3	4
并不支持	bbvi	1	4
不便之处	bbvi	2	4
八拜至交	bbvj	2	4
绷不住了	bbvl	1	4
憋不住了	bbvl	2	4
蚌埠住了	bbvl	3	4
并不知情	bbvq	1	4
北部战区	bbvq	2	4
并不只是	bbvu	2	4
不败战神	bbvu	3	4
背部指纹	bbvw	2	4
并不重要	bbvy	3	4
版本之子	bbvz	3	4
帮帮我	bbw	1	3
并不晚	bbw	2	3
并不违背	bbwb	1	4
并不为过	bbwg	1	4
被逼无奈	bbwn	2	4
必备物品	bbwp	1	4
并不完全	bbwq	2	4
并不完全是	bbwu	1	4
并不想	bbx	1	3
并不像	bbx	2	3
百宝箱	bbx	3	3
八边形	bbx	4	3
并不习惯	bbxg	1	4
并不喜欢	bbxh	1	4
斑斑血迹	bbxj	1	4
癍癍血迹	bbxj	2	4
编不下去	bbxq	1	4
并不相同	bbxt	1	4
不便细说	bbxu	1	4
不抱希望	bbxw	1	4
并不希望	bbxw	2	4
并不需要	bbxy	1	4
并不想要	bbxy	2	4
不必要	bby	2	3
北冰洋	bby	3	3
不包邮	bby	4	3
并伴有	bby	5	3
并不一定	bbyd	1	4
不必要的	bbyd	2	4
本不应该	bbyg	1	4
被边缘化	bbyh	2	4
不拔一毛	bbym	1	4
并不一致	bbyv	2	4
并不因为	bbyw	1	4
并不意外	bbyw	2	4
并不影响	bbyx	1	4
不必言谢	bbyx	2	4
不被允许	bbyx	3	4
并不一样	bbyy	1	4
病病殃殃	bbyy	2	4
半辈子	bbz	1	3
八辈子	bbz	2	3
拜把子	bbz	3	3
摆把子兄弟	bbzd	1	4
并不在乎	bbzh	2	4
并不怎么	bbzm	1	4
八辈子血霉	bbzm	2	4
百般阻挠	bbzn	1	4
并不赞同	bbzt	1	4
并不总是	bbzu	2	4
奔波在外	bbzw	1	4
摆把子弟兄	bbzx	1	4
不必在意	bbzy	1	4
并不在于	bbzy	2	4
八辈祖宗	bbzz	1	4
不错	bc	2	2
保存	bc	3	2
并存不悖	bcbb	1	4
别踩白块	bcbk	4	4
不错的想法	bcdf	1	4
不错的主意	bcdy	1	4
本次发布	bcfb	1	4
保存回放	bchf	2	4
本次会议	bchy	1	4
彼此间	bcj	1	3
不存芥蒂	bcjd	1	4
爆粗口	bck	1	3
百草枯	bck	2	3
不错了	bcl	2	3
不曾离开	bclk	3	4
不曾离去	bclq	3	4
百辞莫辩	bcmb	2	4
本次评估	bcpg	2	4
本次评选	bcpx	1	4
不凑巧	bcq	2	3
保存期	bcq	3	3
保存期限	bcqx	1	4
保存体力	bctl	1	4
百层挑战	bctv	2	4
不曾停歇	bctx	1	4
保存设置	bcuv	3	4
彼苍者天	bcvt	1	4
保存完好	bcwh	2	4
不曾想	bcx	2	3
彼此相关	bcxg	1	4
彼此信任	bcxr	1	4
不残血不会玩	bcxw	1	4
病残孕	bcy	2	3
饱餐一顿	bcyd	1	4
不存在	bcz	2	3
不存在了	bczl	1	4
不到	bd	2	2
变得	bd	3	2
被动挨打	bdad	1	4
不得安宁	bdan	1	4
不得不	bdb	1	3
不代表	bdb	2	3
不但不	bdb	3	3
背对背	bdb	4	3
补丁包	bdb	5	3
不对吧	bdb	6	3
不得不爱	bdba	1	4
不打不成材	bdbc	1	4
不得不服	bdbf	1	4
百度百科	bdbk	4	4
不得不看	bdbk	5	4
不得不来	bdbl	2	4
表弟表妹	bdbm	3	4
病得不轻	bdbq	2	4
不得不承认	bdbr	1	4
不得不低头	bdbt	1	4
棒打不回头	bdbt	2	4
不得不说	bdbu	3	4
不打不相识	bdbu	4	4
不当不正	bdbv	1	4
保大保小	bdbx	2	4
不得不用	bdby	2	4
不得不做	bdbz	1	4
不得不走	bdbz	2	4
不叠被子	bdbz	3	4
背单词	bdc	1	3
百度词典	bdcd	2	4
不打草稿	bdcg	1	4
本地磁盘	bdcp	1	4
不断地	bdd	1	3
不单单	bdd	2	3
办得到	bdd	3	3
不地道	bdd	4	3
不道德的	bddd	3	4
别的地方	bddf	1	4
不懂道理	bddl	1	4
百度地图	bddt	1	4
不登大雅之堂	bddt	2	4
不单单是	bddu	4	4
遍地都是	bddu	5	4
别的东西	bddx	1	4
不登大雅	bddy	1	4
半点儿	bde	1	3
不断恶化	bdeh	1	4
白癜风	bdf	2	3
贝多芬	bdf	3	3
白得发光	bdfg	1	4
白的发光	bdfg	2	4
不定方程	bdfi	1	4
本地服务	bdfw	2	4
波动范围	bdfw	3	4
不断发现	bdfx	1	4
百度翻译	bdfy	3	4
白大褂	bdg	1	3
不断改变	bdgb	1	4
不懂规矩	bdgj	4	4
毕达哥拉斯	bdgs	2	4
不断改善	bdgu	2	4
不得干涉	bdgu	3	4
不大好	bdh	1	3
憋得慌	bdh	2	3
不等号	bdh	3	3
本地化	bdh	4	3
北戴河	bdh	5	3
本地话	bdh	6	3
不懂行情	bdhq	1	4
不到黄河心不死	bdhs	2	4
不大会玩	bdhw	2	4
白底黑字	bdhz	2	4
白底红字	bdhz	3	4
不动产	bdi	2	3
不对称	bdi	3	3
白帝城	bdi	4	3
摆渡车	bdi	5	3
半点差错	bdic	1	4
不到长城非好汉	bdih	1	4
不断尝试	bdiu	2	4
不对劲	bdj	1	3
不打紧	bdj	2	3
不得劲	bdj	3	3
八段锦	bdj	4	3
不多久	bdj	5	3
不定积分	bdjf	1	4
八大金刚	bdjg	2	4
不当家不知柴米贵	bdjg	3	4
不断积累	bdjl	2	4
被动技能	bdjn	1	4
勃大茎深	bdju	3	4
不懂就问	bdjw	1	4
不对口	bdk	1	3
傍大款	bdk	2	3
白豆蔻	bdk	3	3
病毒库	bdk	4	3
八度空间	bdkj	1	4
百度快照	bdkv	1	4
不打诳语	bdky	1	4
不得了	bdl	2	3
背地里	bdl	3	3
不大了解	bdlj	2	4
本地连接	bdlj	3	4
表达了作者的思乡之情	bdlq	1	4
帮倒忙	bdm	1	3
不达目的	bdmd	1	4
抱得美人归	bdmg	2	4
不动明王	bdmw	2	4
不达目的不罢休	bdmx	2	4
不达目的誓不罢休	bdmx	3	4
不但没有	bdmy	1	4
布丁奶茶	bdni	1	4
不动脑筋	bdnj	1	4
表达能力	bdnl	1	4
笨蛋奶妈	bdnm	3	4
不动脑子	bdnz	1	4
不带脑子	bdnz	2	4
彼得帕克	bdpk	3	4
必读篇目	bdpm	1	4
不定期	bdq	1	3
本地区	bdq	2	3
不断前进	bdqj	2	4
剥夺权利	bdql	2	4
本地人	bdr	1	3
不打扰	bdr	2	3
别的人	bdr	3	3
不但如此	bdrc	2	4
不当人看	bdrk	1	4
不打扰了	bdrl	1	4
不得入内	bdrn	1	4
不当人子	bdrz	2	4
不打算	bds	1	3
本打算	bds	2	3
变电所	bds	3	3
