序	字	读音	最短码	位
259	证	zheng	vgd	1
260	物	wu	wuc	1
261	总	zong	zs	1
262	噢	o	oo	1
263	员	yuan	yrh	1
264	系	xi	xi	1
265	玩	wan	wjg	1
266	管	guan	grr	1
267	几	ji	jin	1
268	处	chu	iuq	1
269	办	ban	bjp	1
270	主	zhu	vu	1
271	气	qi	qir	1
272	每	mei	mwf	1
273	查	cha	iao	1
274	少	shao	uc	1
275	失	shi	uirr	1
276	此	ci	ci	1
277	性	xing	xkc	1
278	切	qie	qpt	1
279	必	bi	bic	1
280	备	bei	bwq	1
281	算	suan	sr	1
282	合	he	heg	1
283	拉	la	la	1
284	队	dui	dvp	1
285	试	shi	uid	1
286	抱	bao	bcl	1
287	医	yi	yiw	1
288	体	ti	tif	1
289	通	tong	ts	1
290	并	bing	bk	1
291	早	zao	zc	1
292	三	san	sj	1
293	害	hai	hdi	1
294	歉	qian	qmh	1
295	选	xuan	xr	1
296	门	men	mfw	1
297	嗨	hai	hdh	1
298	房	fang	fhi	1
299	命	ming	mkg	1
300	重	zhong	vsw	1
301	且	qie	qp	1
302	向	xiang	xla	1
303	兴	xing	xkg	1
304	球	qiu	qqg	1
305	入	ru	rug	1
306	照	zhao	vcq	1
307	服	fu	fuv	1
308	掉	diao	dn	1
309	长	zhang	vhe	1
310	够	gou	gz	1
311	演	yan	yjb	1
312	路	lu	lu	1
313	日	ri	ri	1
314	案	an	ani	1
315	舞	wu	wuf	1
316	决	jue	jtb	1
317	求	qiu	qq	1
318	呃	e	eehv	1
319	字	zi	zii	1
320	提	ti	ti	1
321	目	mu	muq	1
322	夫	fu	fun	1
323	肯	ken	kf	1
324	笑	xiao	xn	1
325	伤	shang	uhf	1
326	神	shen	ufu	1
327	父	fu	fuan	1
328	指	zhi	vil	1
329	留	liu	lql	1
330	德	de	deu	1
331	报	bao	bc	1
332	水	shui	uv	1
333	教	jiao	jnp	1
334	枪	qiang	qlo	1
335	清	qing	qkb	1
336	世	shi	uim	1
337	号	hao	hch	1
338	远	yuan	yrn	1
339	约	yue	ytj	1
340	色	se	se	1
341	片	pian	pm	1
342	原	yuan	yrs	1
343	师	shi	uia	1
344	口	kou	kz	1
345	酒	jiu	jqb	1
346	官	guan	gri	1
347	周	zhou	vz	1
348	星	xing	xkq	1
349	识	shi	uida	1
350	救	jiu	jqn	1
351	赛	sai	sd	1
352	底	di	dis	1
353	棒	bang	bho	1
354	须	xu	xue	1
355	收	shou	uzo	1
356	坐	zuo	zog	1
357	交	jiao	jnn	1
358	婚	hun	hyz	1
359	停	ting	tkf	1
360	眼	yan	yj	1
361	蛋	dan	djk	1
362	息	xi	xiy	1
363	室	shi	uiiy	1
364	运	yun	yyn	1
365	宝	bao	bci	1
366	哥	ge	geyy	1
367	张	zhang	vh	1
368	根	gen	gfo	1
369	内	nei	nw	1
370	搞	gao	gcl	1
371	金	jin	jb	1
372	战	zhan	vja	1
373	火	huo	hor	1
374	至	zhi	viy	1
375	声	sheng	ugt	1
376	条	tiao	tn	1
377	消	xiao	xnb	1
378	期	qi	qim	1
379	买	mai	md	1
380	整	zheng	vgp	1
381	病	bing	bks	1
382	弟	di	dia	1
383	音	yin	ybd	1
384	装	zhuang	vl	1
385	您	nin	nb	1
386	怕	pa	pa	1
387	犯	fan	fjv	1
388	送	song	ss	1
389	护	hu	hul	1
390	近	jin	jby	1
391	怪	guai	gk	1
392	花	hua	hxx	1
393	持	chi	ii	1
394	节	jie	jpx	1
395	与	yu	yu	1
396	格	ge	geo	1
397	光	guang	gl	1
398	度	du	du	1
399	穿	chuan	ir	1
400	愿	yuan	yrsc	1
401	象	xiang	xll	1
402	使	shi	uif	1
403	击	ji	jiz	1
404	影	ying	ykq	1
405	哦	e	eeh	1
406	喝	he	he	1
407	月	yue	yt	1
408	嘛	ma	mah	1
409	察	cha	iai	1
410	器	qi	qih	1
411	制	zhi	vic	1
412	二	er	er	1
413	助	zhu	vut	1
414	单	dan	dja	1
415	待	dai	ddu	1
416	除	chu	iup	1
417	尼	ni	nii	1
418	贝	bei	bwz	1
419	写	xie	xpi	1
420	绝	jue	jt	1
421	乐	le	le	1
422	帝	di	dii	1
423	界	jie	jpp	1
424	姐	jie	jpz	1
425	反	fan	fje	1
426	担	dan	djl	1
427	海	hai	hdb	1
428	由	you	yzp	1
429	论	lun	ly	1
430	司	si	sio	1
431	布	bu	bup	1
432	续	xu	xuj	1
433	视	shi	uiu	1
434	母	mu	mup	1
435	飞	fei	fwo	1
436	跑	pao	pc	1
437	尽	jin	jbi	1
438	空	kong	ks	1
439	万	wan	wjn	1
440	强	qiang	ql	1
441	达	da	dan	1
442	哈	ha	ha	1
443	托	tuo	tol	1
444	注	zhu	vub	1
445	罗	luo	lo	1
446	线	xian	xmj	1
447	弄	nong	ns	1
448	代	dai	ddf	1
449	忙	mang	mh	1
450	久	jiu	jq	1
451	坏	huai	hk	1
452	奇	qi	qin	1
453	密	mi	mii	1
454	议	yi	yidn	1
455	衣	yi	yin	1
456	钟	zhong	vsk	1
457	继	ji	jijo	1
458	疯	feng	fgs	1
459	份	fen	fff	1
460	止	zhi	vig	1
461	礼	li	liu	1
462	鬼	gui	gvp	1
463	平	ping	pkn	1
464	拜	bai	bdi	1
465	数	shu	uud	1
466	睡	shui	uvq	1
467	军	jun	jyi	1
468	啦	la	lah	1
469	紧	jin	jbn	1
470	兄	xiong	xsh	1
471	站	zhan	vj	1
472	品	pin	pb	1
473	罪	zui	zva	1
474	抓	zhua	vx	1
475	英	ying	ykx	1
476	亮	liang	llu	1
477	跳	tiao	tnz	1
478	亚	ya	yaw	1
479	联	lian	lme	1
480	混	hun	hy	1
481	狗	gou	gzv	1
482	十	shi	uip	1
483	脑	nao	ncv	1
484	业	ye	yew	1
485	歌	ge	gey	1
486	精	jing	jkd	1
487	却	que	qt	1
488	包	bao	bcw	1
489	转	zhuan	vr	1
490	院	yuan	yrp	1
491	务	wu	wuq	1
492	参	can	cjt	1
493	另	ling	lkh	1
494	台	tai	tdt	1
495	统	tong	tsj	1
496	况	kuang	klb	1
497	文	wen	wfa	1
498	风	feng	fg	1
499	书	shu	uu	1
500	否	fou	fzn	1
501	黑	hei	hw	1
502	险	xian	xmp	1
503	言	yan	yjd	1
504	巴	ba	bav	1
505	幸	xing	xkt	1
506	校	xiao	xno	1
507	复	fu	fuf	1
508	四	si	sia	1
509	量	liang	llq	1
510	首	shou	uza	1
511	改	gai	gdv	1
512	忘	wang	whvc	1
513	便	bian	bmf	1
514	假	jia	jxfq	1
515	岁	sui	svy	1
516	客	ke	kei	1
517	据	ju	ju	1
518	术	shu	uuo	1
519	的	di	diy	1
520	永	yong	ysr	1
521	票	piao	pn	1
522	传	chuan	irf	1
523	烦	fan	fjr	1
524	取	qu	qu	1
525	游	you	yzbn	1
526	糟	zao	zcd	1
527	基	ji	jim	1
528	随	sui	sv	1
529	派	pai	pdb	1
530	令	ling	lk	1
531	探	tan	tjl	1
532	恩	en	ene	1
533	嘴	zui	zvh	1
534	式	shi	uir	1
535	律	lv	lvu	1
536	越	yue	ytz	1
537	局	ju	jui	1
538	毒	du	duw	1
539	麻	ma	mas	1
540	流	liu	lqb	1
541	答	da	dar	1
542	简	jian	jmr	1
543	圣	sheng	ugq	1
544	控	kong	ksl	1
545	唱	chang	ihh	1
546	倒	dao	dcf	1
547	味	wei	wwh	1
548	划	hua	hxr	1
549	易	yi	yiq	1
550	漂	piao	pnb	1
551	支	zhi	vipq	1
552	治	zhi	vib	1
553	乎	hu	hue	1
554	录	lu	luq	1
555	费	fei	fwt	1
556	超	chao	ic	1
557	拍	pai	p	1
558	轻	qing	qke	1
559	五	wu	wuu	1
560	往	wang	whu	1
561	区	qu	quw	1
562	杰	jie	jpo	1
563	连	lian	lm	1
564	造	zao	zcc	1
565	满	man	mj	1
566	考	kao	kcp	1
567	故	gu	gup	1
568	喂	wei	wwhk	1
569	吸	xi	xih	1
570	极	ji	jioq	1
571	组	zu	zu	1
572	讲	jiang	jld	1
573	块	kuai	kkt	1
574	趣	qu	quz	1
575	兰	lan	lja	1
576	集	ji	jig	1
577	静	jing	jkw	1
578	类	lei	lw	1
579	呀	ya	yah	1
580	投	tou	tzl	1
581	未	wei	wwy	1
582	容	rong	rs	1
583	步	bu	bug	1
584	束	shu	uup	1
585	化	hua	hxf	1
586	戏	xi	xiq	1
587	米	mi	mi	1
588	醒	xing	xke	1
589	终	zhong	vsj	1
590	恶	e	ee	1
591	赢	ying	ykw	1
592	梦	meng	mg	1
593	药	yao	ycx	1
594	卖	mai	mdp	1
595	监	jian	jmn	1
596	店	dian	dms	1
597	显	xian	xmq	1
598	半	ban	bja	1
599	班	ban	bjg	1
600	科	ke	kew	1
601	语	yu	yud	1
602	付	fu	fug	1
603	排	pai	pd	1
604	热	re	re	1
605	楚	chu	iuo	1
606	图	tu	tu	1
607	敢	gan	gjo	1
608	偷	tou	tzf	1
609	破	po	po	1
610	油	you	yzb	1
611	餐	can	cjl	1
612	维	wei	wwj	1
613	杯	bei	bwo	1
614	哇	wa	wah	1
615	市	shi	uiv	1
616	城	cheng	igt	1
617	权	quan	qro	1
618	某	mou	mz	1
619	激	ji	jibq	1
620	讨	tao	tcd	1
621	程	cheng	igwg	1
622	责	ze	zew	1
623	差	cha	ia	1
624	立	li	lia	1
625	昨	zuo	zoq	1
626	闭	bi	biw	1
627	威	wei	wwr	1
628	饭	fan	fj	1
629	庭	ting	tksp	1
630	换	huan	hr	1
631	船	chuan	ire	1
632	及	ji	ji	1
633	猜	cai	cdv	1
634	争	zheng	vgsq	1
635	级	ji	jij	1
636	刻	ke	kev	1
637	建	jian	jmq	1
638	团	tuan	tr	1
639	惊	jing	jkc	1
640	阿	a	aa	1
641	段	duan	dre	1
642	迎	ying	ykp	1
643	标	biao	bno	1
644	迪	di	dip	1
645	王	wang	wh	1
646	义	yi	yia	1
647	民	min	mb	1
648	唯	wei	wwhg	1
649	各	ge	ge	1
650	夜	ye	yev	1
651	靠	kao	kc	1
652	示	shi	uiy	1
653	功	gong	gsep	1
654	释	shi	uiml	1
655	乐	yue	ytd	1
656	检	jian	jmo	1
657	得	dei	dw	1
658	脸	lian	lmv	1
659	引	yin	ybo	1
660	疑	yi	yit	1
661	血	xue	xta	1
662	赶	gan	gjz	1
663	妹	mei	mwz	1
664	择	ze	zel	1
665	独	du	duv	1
666	楼	lou	lz	1
667	存	cun	cy	1
668	练	lian	lmj	1
669	冷	leng	lg	1
670	俩	lia	lx	1
671	断	duan	dr	1
672	娘	niang	nl	1
673	设	she	ued	1
674	置	zhi	via	1
675	逃	tao	tcb	1
676	观	guan	grq	1
677	松	song	sso	1
678	林	lin	lb	1
679	痛	tong	tss	1
680	足	zu	zuz	1
681	码	ma	maj	1
682	狂	kuang	kl	1
683	恐	kong	kse	1
684	妻	qi	qinz	1
685	慢	man	mjc	1
686	重	chong	isw	1
687	床	chuang	ils	1
688	价	jia	jxf	1
689	元	yuan	yr	1
690	丽	li	liy	1
691	博	bo	bop	1
692	历	li	lis	1
693	验	yan	yjc	1
694	莱	lai	ldx	1
695	街	jie	jpk	1
696	调	diao	dnd	1
697	皮	pi	pi	1
698	怀	huai	hkc	1
699	伊	yi	yife	1
700	祝	zhu	vuu	1
701	呼	hu	huh	1
702	卡	ka	ka	1
703	料	liao	lnd	1
704	山	shan	uj	1
705	狱	yu	yuvn	1
706	灵	ling	lkq	1
707	洛	luo	lob	1
708	雷	lei	lwc	1
709	乱	luan	lr	1
710	休	xiu	xqf	1
711	展	zhan	vji	1
712	承	cheng	ign	1
713	则	ze	ze	1
714	板	ban	bjo	1
715	顾	gu	gus	1
716	落	luo	lox	1
717	产	chan	ij	1
718	索	suo	so	1
719	弹	dan	djo	1
720	迷	mi	mid	1
721	午	wu	wufp	1
722	政	zheng	vgn	1
723	谎	huang	hld	1
724	领	ling	lkz	1
725	着	zhao	vci	1
726	具	ju	jut	1
727	深	shen	uf	1
728	退	tui	tvc	1
729	姆	mu	muz	1
730	剧	ju	jud	1
731	奶	nai	nd	1
732	习	xi	xim	1
733	遇	yu	yuq	1
734	即	ji	jic	1
735	挺	ting	tkl	1
736	职	zhi	viea	1
737	负	fu	fusz	1
738	架	jia	jxp	1
739	脱	tuo	tov	1
740	仅	jin	jbf	1
741	追	zhui	vv	1
742	炸	zha	va	1
743	背	bei	bwnv	1
744	资	zi	zib	1
745	踪	zong	zsz	1
746	画	hua	hxn	1
747	秘	mi	miw	1
748	射	she	ue	1
749	傻	sha	uaf	1
750	弃	qi	qiv	1
751	屁	pi	piit	1
752	尸	shi	uiii	1
753	闻	wen	wfwe	1
754	懂	dong	dsc	1
755	呆	dai	ddh	1
756	介	jie	jpg	1
757	共	gong	gsm	1
758	危	wei	wws	1
759	专	zhuan	vrx	1
760	修	xiu	xq	1
761	洗	xi	xib	1
762	魔	mo	mos	1
763	吉	ji	jit	1
764	甚	shen	ufm	1
765	碰	peng	pg	1
766	糕	gao	gcd	1
767	急	ji	jiy	1
768	福	fu	fuu	1
769	苦	ku	kux	1
770	适	shi	uiw	1
771	骗	pian	pmc	1
772	念	nian	nmg	1
773	冲	chong	is	1
774	瞧	qiao	qnq	1
775	型	xing	xkn	1
776	厌	yan	yjsn	1
777	值	zhi	vif	1
778	谋	mou	mzd	1
779	百	bai	bdn	1
780	套	tao	tc	1
781	模	mo	moo	1
782	际	ji	jip	1
783	咱	zan	zj	1
784	普	pu	pua	1
785	预	yu	yus	1
786	聊	liao	ln	1
787	养	yang	yhi	1
788	脚	jiao	jnv	1
789	私	si	siw	1
790	导	dao	dcv	1
791	众	zhong	vsg	1
792	毁	hui	hvy	1
793	杂	za	za	1
794	虑	lv	lva	1
795	滚	gun	gy	1
796	志	zhi	vit	1
797	居	ju	judd	1
798	千	qian	qmw	1
799	红	hong	hs	1
800	鱼	yu	yuy	1
801	词	ci	cid	1
802	卫	wei	wwp	1
803	华	hua	hxfp	1
804	误	wu	wud	1
805	史	shi	uih	1
806	食	shi	uig	1
807	突	tu	tui	1
808	规	gui	gvn	1
809	牛	niu	nq	1
810	陪	pei	pwp	1
811	形	xing	xkne	1
812	馆	guan	gra	1
813	肉	rou	rz	1
814	凶	xiong	xsn	1
815	撒	sa	sal	1
816	浪	lang	lhb	1
817	奥	ao	ao	1
818	商	shang	uhz	1
819	纪	ji	jijv	1
820	六	liu	lqv	1
821	州	zhou	vza	1
822	顺	shun	uy	1
823	举	ju	jug	1
824	耶	ye	yee	1
825	读	du	dud	1
826	伦	lun	lyf	1
827	按	an	anl	1
828	坚	jian	jmnt	1
829	旅	lv	lvs	1
830	测	ce	ce	1
831	免	mian	mmr	1
832	喔	wo	woh	1
833	辆	liang	lle	1
834	句	ju	juw	1
835	印	yin	ybj	1
836	恋	lian	lmp	1
837	波	bo	bo	1
838	季	ji	jiw	1
839	严	yan	yjw	1
840	推	tui	tv	1
841	戴	dai	ddp	1
842	胜	sheng	ugv	1
843	顿	dun	dy	1
844	努	nu	nuzp	1
845	毛	mao	mcm	1
846	防	fang	fhp	1
847	究	jiu	jqi	1
848	评	ping	pkd	1
849	武	wu	wun	1
850	麦	mai	mdw	1
851	蒂	di	dix	1
852	败	bai	bdz	1
853	压	ya	yas	1
854	萨	sa	sa	1
855	行	hang	hh	1
856	双	shuang	ul	1
857	牙	ya	ya	1
858	瑞	rui	rv	1
859	斗	dou	dza	1
860	审	shen	ufi	1
861	蠢	chun	iyim	1
862	凯	kai	kdy	1
863	速	su	sup	1
864	鸡	ji	jiq	1
865	屋	wu	wui	1
866	丈	zhang	vhnn	1
867	获	huo	hox	1
868	守	shou	uzi	1
869	致	zhi	viyq	1
870	细	xi	xij	1
871	丢	diu	dq	1
872	态	tai	tdn	1
873	长	chang	ihe	1
874	冰	bing	bkb	1
875	状	zhuang	vln	1
876	丝	si	sij	1
877	亡	wang	whvo	1
878	曾	ceng	cg	1
879	八	ba	baa	1
880	疗	liao	lns	1
881	纳	na	naj	1
882	操	cao	ccl	1
883	判	pan	pja	1
884	诺	nuo	no	1
885	遗	yi	yimp	1
886	响	xiang	xlh	1
887	箱	xiang	xlr	1
888	网	wang	whw	1
889	围	wei	wwe	1
890	签	qian	qmr	1
891	牌	pai	pdn	1
892	户	hu	hu	1
893	寻	xun	xyq	1
894	货	huo	hof	1
895	石	shi	uij	1
896	质	zhi	vie	1
897	脏	zang	zhv	1
898	袋	dai	ddfn	1
899	替	ti	tin	1
900	座	zuo	zos	1
901	拥	yong	ysl	1
902	园	yuan	yrea	1
903	睛	jing	jkqv	1
904	堂	tang	thi	1
905	冒	mao	mcw	1
906	效	xiao	xnn	1
907	甜	tian	tmw	1
908	股	gu	guv	1
909	古	gu	gu	1
910	胡	hu	hup	1
911	奖	jiang	jln	1
912	香	xiang	xlw	1
913	扰	rao	rcl	1
914	挑	tiao	tnl	1
915	称	cheng	igw	1
916	笔	bi	bir	1
917	吓	xia	xxh	1
918	爆	bao	bcr	1
919	乔	qiao	qna	1
920	供	gong	gsf	1
921	姑	gu	guz	1
922	暴	bao	bcs	1
923	镇	zhen	vfk	1
924	困	kun	ky	1
925	项	xiang	xle	1
926	概	gai	gdo	1
927	虽	sui	svh	1
928	享	xiang	xlu	1
929	纽	niu	nqj	1
930	迹	ji	jipp	1
931	似	si	sif	1
932	沙	sha	ua	1
933	竟	jing	jk	1
934	诞	dan	djd	1
935	森	sen	sf	1
936	叔	shu	uuaq	1
937	配	pei	pw	1
938	赌	du	duz	1
939	鲁	lu	luy	1
940	阻	zu	zup	1
941	彩	cai	cdme	1
942	搬	ban	bjl	1
943	属	shu	uui	1
944	招	zhao	vcl	1
945	婆	po	pob	1
946	玛	ma	mag	1
947	剩	sheng	ugw	1
948	酷	ku	kue	1
949	巧	qiao	qne	1
950	摄	she	uel	1
951	封	feng	fgt	1
952	烟	yan	yjrn	1
953	课	ke	ked	1
954	迟	chi	iii	1
955	技	ji	jil	1
956	骨	gu	guu	1
957	弗	fu	fut	1
958	纸	zhi	vij	1
959	捕	bu	bul	1
960	低	di	dif	1
961	暗	an	anq	1
962	委	wei	www	1
963	角	jiao	jnw	1
964	输	shu	uue	1
965	左	zuo	zop	1
966	南	nan	njp	1
967	仍	reng	rg	1
968	借	jie	jpf	1
969	训	xun	xyd	1
970	登	deng	dgl	1
971	扔	reng	rgl	1
972	烧	shao	ucr	1
973	啡	fei	fwh	1
974	曲	qu	que	1
975	善	shan	ujk	1
976	顶	ding	dky	1
977	聪	cong	cse	1
978	社	she	ueu	1
979	轮	lun	lye	1
980	秀	xiu	xqw	1
981	刀	dao	dcs	1
982	腿	tui	tvv	1
983	兵	bing	bkp	1
984	鞋	xie	xpm	1
985	异	yi	yivx	1
986	锁	suo	sok	1
987	族	zu	zus	1
988	誓	shi	uild	1
989	抢	qiang	qll	1
990	雇	gu	gui	1
991	档	dang	dho	1
992	树	shu	uuoy	1
993	镜	jing	jkk	1
994	咖	ka	kahh	1
995	伴	ban	bjf	1
996	群	qun	qy	1
997	恨	hen	hfc	1
998	移	yi	yiwl	1
999	环	huan	hrg	1
1000	播	bo	bol	1
1001	编	bian	bmj	1
1002	刺	ci	cip	1
1003	广	guang	gls	1
1004	木	mu	mu	1
1005	右	you	yzph	1
1006	银	yin	ybk	1
1007	遍	bian	bmi	1
1008	哭	ku	ku	1
1009	短	duan	drr	1
1010	搭	da	dalh	1
1011	野	ye	yem	1
1012	毫	hao	hcum	1
1013	土	tu	tut	1
1014	荣	rong	rsx	1
1015	充	chong	isv	1
1016	创	chuang	ilg	1
1017	尝	chang	ihi	1
1018	莉	li	lix	1
1019	曼	man	mjq	1
1020	症	zheng	vgs	1
1021	般	ban	bj	1
1022	攻	gong	gseq	1
1023	忍	ren	rfs	1
1024	毕	bi	bit	1
1025	势	shi	uil	1
1026	聚	ju	jue	1
1027	吻	wen	wfh	1
1028	境	jing	jkt	1
1029	尊	zun	zya	1
1030	温	wen	wfb	1
1031	列	lie	lp	1
1032	偶	ou	ouf	1
1033	优	you	yzf	1
1034	营	ying	ykxh	1
1035	坦	tan	tjt	1
1036	微	wei	wwu	1
1037	爷	ye	yea	1
1038	抽	chou	iz	1
1039	康	kang	khs	1
1040	库	ku	kus	1
1041	府	fu	fus	1
1042	灯	deng	dgr	1
1043	透	tou	tzw	1
1044	魂	hun	hyn	1
1045	啥	sha	uah	1
1046	掌	zhang	vhi	1
1047	临	lin	lbn	1
1048	丹	dan	djn	1
1049	升	sheng	uge	1
1050	裤	ku	kuu	1
1051	智	zhi	virq	1
1052	汉	han	hj	1
1053	盘	pan	pj	1
1054	艺	yi	yix	1
1055	研	yan	yjj	1
1056	劳	lao	lcx	1
1057	撞	zhuang	vll	1
1058	隐	yin	ybpc	1
1059	附	fu	fup	1
1060	觉	jiao	jni	1
1061	归	gui	gv	1
1062	散	san	sjm	1
1063	租	zu	zuw	1
1064	阳	yang	yhp	1
1065	协	xie	xpp	1
1066	妮	ni	niz	1
1067	摆	bai	bdl	1
1068	健	jian	jmfp	1
1069	较	jiao	jne	1
1070	饼	bing	bka	1
1071	避	bi	bii	1
1072	猫	mao	mc	1
1073	搜	sou	sz	1
1074	莫	mo	mot	1
1075	岛	dao	dcy	1
1076	痴	chi	iis	1
1077	菜	cai	cd	1
1078	苏	su	su	1
1079	怜	lian	lmc	1
1080	既	ji	jica	1
1081	戒	jie	jpr	1
1082	织	zhi	vija	1
1083	抗	kang	kh	1
1084	蒙	meng	mgx	1
1085	航	hang	hhe	1
1086	笨	ben	bfr	1
1087	富	fu	fui	1
