word	code	source	thuocl_df	xinhua
脚踏实地	jtud	简单鹤	13433	1
意想不到	yxbd	简单鹤	13303	1
错综复杂	czfz	简单鹤	13132	1
无可厚非	wkhf	简单鹤	13090	1
源远流长	yyli	简单鹤	13043	1
举一反三	jyfs	简单鹤	13004	1
循序渐进	xxjj	简单鹤	12875	1
不遗余力	byyl	简单鹤	12844	1
不言而喻	byey	简单鹤	12652	1
讨价还价	tjhj	简单鹤	12516	1
深恶痛绝	uwtj	简单鹤	12511	1
三位一体	swyt	简单鹤	12414	1
截然不同	jrbt	简单鹤	12326	1
记忆犹新	jyyx	简单鹤	12263	1
喜闻乐见	xwlj	简单鹤	12230	1
家喻户晓	jyhx	简单鹤	12098	1
日新月异	rxyy	简单鹤	12066	1
取而代之	qedv	简单鹤	12053	1
莫名其妙	mmqm	简单鹤	11999	1
名列前茅	mlqm	简单鹤	11993	1
排忧解难	pyjn	简单鹤	11980	1
各式各样	gugy	简单鹤	11976	1
玩忽职守	whvu	简单鹤	11949	1
任重道远	rvdy	简单鹤	11946	1
奋发有为	ffyw	简单鹤	11859	1
举足轻重	jzqv	简单鹤	11820	1
比比皆是	bbju	简单鹤	11743	1
卓有成效	vyix	简单鹤	11730	1
落地生根	ldug	简单鹤	11714	1
势在必行	uzbx	简单鹤	11637	1
史无前例	uwql	简单鹤	11636	1
理所当然	lsdr	简单鹤	11591	1
耳熟能详	eunx	简单鹤	11453	1
由来已久	ylyj	简单鹤	11434	1
一模一样	ymyy	简单鹤	11401	1
厉行节约	lxjy	简单鹤	11378	1
恶性循环	exxh	简单鹤	11335	1
铤而走险	tezx	简单鹤	11292	1
举世瞩目	juvm	简单鹤	11230	1
再接再厉	zjzl	简单鹤	11218	1
足不出户	zbih	简单鹤	11172	1
翻天覆地	ftfd	简单鹤	11138	1
非同寻常	ftxi	简单鹤	11077	1
挨家挨户	ajah	简单鹤	11057	1
不翼而飞	byef	简单鹤	11020	1
参差不齐	ccbq	简单鹤	10983	1
水涨船高	uvig	简单鹤	10972	1
沸沸扬扬	ffyy	简单鹤	10931	1
先发制人	xfvr	简单鹤	10913	1
轩然大波	xrdb	简单鹤	10893	1
出人意料	iryl	简单鹤	10861	1
土生土长	tuti	简单鹤	10861	1
统筹兼顾	tijg	简单鹤	10847	1
明察暗访	miaf	简单鹤	10825	1
刻不容缓	kbrh	简单鹤	10797	1
融为一体	rwyt	简单鹤	10758	1
焕然一新	hryx	简单鹤	10740	1
以身作则	yuzz	简单鹤	10717	1
潜移默化	qymh	简单鹤	10707	1
风口浪尖	fklj	简单鹤	10663	1
有条不紊	ytbw	简单鹤	10326	1
归根结底	ggjd	简单鹤	10289	1
发扬光大	fygd	简单鹤	10276	1
旗帜鲜明	qvxm	简单鹤	10236	1
万无一失	wwyu	简单鹤	10222	1
可见一斑	kjyb	简单鹤	10214	1
一视同仁	yutr	简单鹤	10136	1
相辅相成	xfxi	简单鹤	10077	1
耳目一新	emyx	简单鹤	9971	1
淋漓尽致	lljv	简单鹤	9971	1
不了了之	bllv	简单鹤	9877	1
热火朝天	rhit	简单鹤	9846	1
有目共睹	ymgd	简单鹤	9788	1
久而久之	jejv	简单鹤	9768	1
视而不见	uebj	简单鹤	9757	1
自强不息	zqbx	简单鹤	9753	1
以权谋私	yqms	简单鹤	9641	1
继往开来	jwkl	简单鹤	9625	1
赞不绝口	zbjk	简单鹤	9602	1
义不容辞	ybrc	简单鹤	9525	1
未雨绸缪	wyim	简单鹤	9508	1
一举一动	yjyd	简单鹤	9506	1
绳之以法	uvyf	简单鹤	9496	1
尽如人意	jrry	简单鹤	9435	1
有所作为	yszw	简单鹤	9411	1
对症下药	dvxy	简单鹤	9363	1
出谋划策	imhc	简单鹤	9352	1
四面八方	smbf	简单鹤	9346	1
首当其冲	udqi	简单鹤	9337	1
马不停蹄	mbtt	简单鹤	9283	1
不以为然	bywr	简单鹤	9266	1
必由之路	byvl	简单鹤	9255	1
所作所为	szsw	简单鹤	9240	1
一蹴而就	ycej	简单鹤	9223	1
人满为患	rmwh	简单鹤	9218	1
身体力行	utlx	简单鹤	9193	1
精益求精	jyqj	简单鹤	9158	1
大吃一惊	diyj	简单鹤	9086	1
竭尽全力	jjql	简单鹤	9085	1
拭目以待	umyd	简单鹤	9051	1
无家可归	wjkg	简单鹤	9045	1
哭笑不得	kxbd	简单鹤	8991	1
铺张浪费	pvlf	简单鹤	8980	1
不知所措	bvsc	简单鹤	8956	1
座无虚席	zwxx	简单鹤	8908	1
可乘之机	kivj	简单鹤	8891	1
琳琅满目	llmm	简单鹤	8857	1
卷土重来	jtil	简单鹤	8835	1
铺天盖地	ptgd	简单鹤	8799	1
理直气壮	lvqv	简单鹤	8788	1
面目全非	mmqf	简单鹤	8775	1
忧心忡忡	yxii	简单鹤	8741	1
燃眉之急	rmvj	简单鹤	8700	1
在所难免	zsnm	简单鹤	8700	1
图文并茂	twbm	简单鹤	8683	0
不绝于耳	bjye	简单鹤	8680	1
津津乐道	jjld	简单鹤	8638	1
数以万计	uywj	简单鹤	8626	0
立竿见影	lgjy	简单鹤	8578	1
议论纷纷	ylff	简单鹤	8572	1
与日俱增	yrjz	简单鹤	8529	1
衣食住行	yuvx	简单鹤	8510	1
精心设计	jxuj	简单鹤	8470	0
急功近利	jgjl	简单鹤	8454	1
鲜为人知	xwrv	简单鹤	8450	0
博大精深	bdju	简单鹤	8431	1
根深蒂固	gudg	简单鹤	8431	1
大有可为	dykw	简单鹤	8403	1
轰轰烈烈	hhll	简单鹤	8398	1
惊心动魄	jxdp	简单鹤	8380	1
不亦乐乎	bylh	简单鹤	8378	1
何去何从	hqhc	简单鹤	8359	1
独立自主	dlzv	简单鹤	8357	1
率先垂范	uxif	简单鹤	8348	0
相得益彰	xdyv	简单鹤	8298	1
取信于民	qxym	简单鹤	8293	1
耐人寻味	nrxw	简单鹤	8255	1
别开生面	bkum	简单鹤	8221	1
水泄不通	uxbt	简单鹤	8189	1
接二连三	jels	简单鹤	8181	1
无能为力	wnwl	简单鹤	8154	1
难以为继	nywj	简单鹤	8139	1
陷入僵局	xrjj	简单鹤	8108	1
感同身受	gtuu	简单鹤	8104	1
不知去向	bvqx	简单鹤	8074	1
匪夷所思	fyss	简单鹤	8046	1
背道而驰	bdei	简单鹤	7996	1
难以置信	nyvx	简单鹤	7977	1
拳打脚踢	qdjt	简单鹤	7974	1
一帆风顺	yffu	简单鹤	7963	1
掉以轻心	dyqx	简单鹤	7923	1
畅所欲言	isyy	简单鹤	7910	1
习以为常	xywi	简单鹤	7871	1
漏洞百出	ldbi	简单鹤	7870	1
年久失修	njux	简单鹤	7846	0
出乎意料	ihyl	简单鹤	7834	1
一脉相承	ymxi	简单鹤	7808	1
毫不动摇	hbdy	简单鹤	7803	0
当之无愧	dvwk	简单鹤	7760	1
肆无忌惮	swjd	简单鹤	7757	1
寥寥无几	llwj	简单鹤	7709	1
顺藤摸瓜	utmg	简单鹤	7679	1
助人为乐	vrwl	简单鹤	7647	1
欢聚一堂	hjyt	简单鹤	7632	1
泪流满面	llmm	简单鹤	7629	1
接踵而至	jvev	简单鹤	7620	1
直言不讳	vybh	简单鹤	7616	1
义无反顾	ywfg	简单鹤	7610	1
力不从心	lbcx	简单鹤	7593	1
遍地开花	bdkh	简单鹤	7585	1
慕名而来	mmel	简单鹤	7578	1
纷至沓来	fvtl	简单鹤	7576	1
兴致勃勃	xvbb	简单鹤	7571	1
家常便饭	jibf	简单鹤	7568	1
措手不及	cubj	简单鹤	7558	1
心急如焚	xjrf	简单鹤	7540	1
一席之地	yxvd	简单鹤	7495	1
栩栩如生	xxru	简单鹤	7485	1
眼花缭乱	yhll	简单鹤	7483	1
雪中送炭	xvst	简单鹤	7479	1
得不偿失	dbiu	简单鹤	7383	1
安然无恙	arwy	简单鹤	7341	1
深入浅出	urqi	简单鹤	7338	1
捉襟见肘	vjjv	简单鹤	7337	1
自始至终	zuvv	简单鹤	7337	1
拒之门外	jvmw	简单鹤	7328	1
望而却步	weqb	简单鹤	7322	1
默默无闻	mmww	简单鹤	7300	1
顺理成章	uliv	简单鹤	7282	1
难能可贵	nnkg	简单鹤	7237	1
来龙去脉	llqm	简单鹤	7236	1
不谋而合	bmeh	简单鹤	7221	1
清清楚楚	qqii	简单鹤	7218	0
如出一辙	riyv	简单鹤	7209	1
提心吊胆	txdd	简单鹤	7205	1
徇私舞弊	xswb	简单鹤	7194	1
一无所知	ywsv	简单鹤	7151	1
锲而不舍	qebu	简单鹤	7144	1
别有用心	byyx	简单鹤	7135	1
大打出手	ddiu	简单鹤	7114	1
同舟共济	tvgj	简单鹤	7107	1
雨后春笋	yhis	简单鹤	7073	1
兢兢业业	jjyy	简单鹤	7041	1
泣不成声	qbiu	简单鹤	7019	1
无人问津	wrwj	简单鹤	6983	1
应有尽有	yyjy	简单鹤	6982	1
引以为戒	yywj	简单鹤	6965	1
异军突起	yjtq	简单鹤	6964	1
通俗易懂	tsyd	简单鹤	6960	0
波澜壮阔	blvk	简单鹤	6922	1
无可奈何	wknh	简单鹤	6862	1
归根到底	ggdd	简单鹤	6858	1
品学兼优	pxjy	简单鹤	6815	1
司空见惯	skjg	简单鹤	6814	1
推波助澜	tbvl	简单鹤	6796	1
微乎其微	whqw	简单鹤	6790	1
相提并论	xtbl	简单鹤	6741	1
束手无策	uuwc	简单鹤	6734	1
信以为真	xywv	简单鹤	6712	1
死灰复燃	shfr	简单鹤	6643	1
苦不堪言	kbky	简单鹤	6631	1
争分夺秒	vfdm	简单鹤	6615	1
集思广益	jsgy	简单鹤	6592	1
蛮不讲理	mbjl	简单鹤	6591	1
自力更生	zlgu	简单鹤	6590	1
有的放矢	ydfu	简单鹤	6587	1
严阵以待	yvyd	简单鹤	6565	1
建功立业	jgly	简单鹤	6537	1
人山人海	rurh	简单鹤	6535	1
溃不成军	kbij	简单鹤	6531	1
国计民生	gjmu	简单鹤	6514	1
年事已高	nuyg	简单鹤	6494	1
绿水青山	luqu	简单鹤	6492	1
半壁江山	bbju	简单鹤	6479	1
求同存异	qtcy	简单鹤	6450	1
蛛丝马迹	vsmj	简单鹤	6448	1
鱼龙混杂	ylhz	简单鹤	6437	1
扑朔迷离	puml	简单鹤	6434	1
熙熙攘攘	xxrr	简单鹤	6433	1
一技之长	yjvi	简单鹤	6426	1
大江南北	djnb	简单鹤	6408	1
屈指可数	qvku	简单鹤	6404	1
交相辉映	jxhy	简单鹤	6397	1
公之于众	gzyz	THUOCL+新华补充	6389	1
絮絮叨叨	xxdd	简单鹤	6388	1
一拍即合	ypjh	简单鹤	6388	1
一丝不苟	ysbg	简单鹤	6383	1
相依为命	xywm	简单鹤	6382	1
微不足道	wbzd	简单鹤	6370	1
大有作为	dyzw	简单鹤	6349	1
良莠不齐	lybq	简单鹤	6348	1
令人瞩目	lrvm	简单鹤	6343	1
迎刃而解	yrej	简单鹤	6334	1
从天而降	ctej	简单鹤	6329	1
不合时宜	bhuy	简单鹤	6313	1
现身说法	xuuf	简单鹤	6305	1
受益匪浅	uyfq	简单鹤	6275	0
新陈代谢	xidx	简单鹤	6275	1
声势浩大	uuhd	简单鹤	6263	1
高高在上	ggzu	简单鹤	6250	1
合情合理	hqhl	简单鹤	6241	1
量力而行	llex	简单鹤	6240	1
不切实际	bquj	简单鹤	6225	1
针锋相对	vfxd	简单鹤	6205	1
责无旁贷	zwpd	简单鹤	6201	1
高瞻远瞩	gvyv	简单鹤	6196	1
千千万万	qqww	简单鹤	6187	1
明目张胆	mmvd	简单鹤	6186	1
连锁反应	lsfy	简单鹤	6171	1
适得其反	udqf	简单鹤	6145	1
摇身一变	yuyb	简单鹤	6140	1
跃跃欲试	yyyu	简单鹤	6108	1
聚精会神	jjhu	简单鹤	6100	1
杯水车薪	buix	简单鹤	6092	1
承前启后	iqqh	简单鹤	6092	1
一网打尽	ywdj	简单鹤	6088	1
开花结果	khjg	简单鹤	6073	1
慷慨解囊	kkjn	简单鹤	6053	1
素不相识	sbxu	简单鹤	6050	1
长此以往	icyw	简单鹤	6047	1
无可争辩	wkvb	简单鹤	6047	1
格格不入	ggbr	简单鹤	6005	1
蔚然成风	wrif	简单鹤	5999	1
生机勃勃	ujbb	简单鹤	5988	1
吃苦耐劳	iknl	简单鹤	5983	1
昏迷不醒	hmbx	简单鹤	5980	1
金字招牌	jzvp	简单鹤	5977	1
大相径庭	dxjt	简单鹤	5975	1
堂而皇之	tehv	简单鹤	5950	1
如数家珍	rujv	简单鹤	5942	1
更新换代	gxhd	简单鹤	5939	0
争先恐后	vxkh	简单鹤	5903	1
浓墨重彩	nmvc	简单鹤	5893	1
大刀阔斧	ddkf	简单鹤	5880	1
惊慌失措	jhuc	简单鹤	5868	1
所剩无几	suwj	简单鹤	5857	1
高官厚禄	gghl	简单鹤	5850	1
一心一意	yxyy	简单鹤	5847	1
井然有序	jryx	简单鹤	5815	1
一波三折	ybsv	简单鹤	5805	1
形迹可疑	xjky	简单鹤	5804	1
炙手可热	vukr	简单鹤	5749	1
身临其境	ulqj	简单鹤	5740	1
二话不说	ehbu	简单鹤	5735	1
流连忘返	llwf	简单鹤	5693	1
热泪盈眶	rlyk	简单鹤	5692	1
销声匿迹	xunj	简单鹤	5687	1
打击报复	djbf	简单鹤	5679	1
尽心尽力	jxjl	简单鹤	5669	1
一以贯之	yygv	简单鹤	5663	1
恍然大悟	hrdw	简单鹤	5657	1
置之不理	vvbl	简单鹤	5655	1
轻而易举	qeyj	简单鹤	5631	1
人来人往	rlrw	简单鹤	5626	1
青山绿水	qulu	简单鹤	5619	1
齐头并进	qtbj	简单鹤	5613	1
一筹莫展	yimv	简单鹤	5585	1
百花齐放	bhqf	简单鹤	5578	1
各执一词	gvyc	简单鹤	5570	1
志同道合	vtdh	简单鹤	5565	1
绞尽脑汁	jjnv	简单鹤	5550	1
首屈一指	uqyv	简单鹤	5537	1
水到渠成	udqi	简单鹤	5530	1
物美价廉	wmjl	简单鹤	5526	1
众说纷纭	vufy	简单鹤	5514	1
各自为政	gzwv	简单鹤	5506	1
语重心长	yvxi	简单鹤	5502	1
德才兼备	dcjb	简单鹤	5488	1
乐此不疲	lcbp	简单鹤	5477	1
方兴未艾	fxwa	简单鹤	5471	1
五颜六色	wyls	简单鹤	5445	1
无动于衷	wdyv	简单鹤	5438	1
锦上添花	juth	简单鹤	5428	1
荒淫无度	hywd	简单鹤	5426	1
推陈出新	tiix	简单鹤	5426	1
畅通无阻	itwz	简单鹤	5425	1
独树一帜	duyv	简单鹤	5419	1
省吃俭用	uijy	简单鹤	5418	1
无济于事	wjyu	简单鹤	5412	1
情不自禁	qbzj	简单鹤	5405	1
不足为奇	bzwq	简单鹤	5391	1
忍无可忍	rwkr	简单鹤	5380	1
埋头苦干	mtkg	简单鹤	5372	1
郁郁葱葱	yycc	简单鹤	5371	1
事半功倍	ubgb	简单鹤	5360	1
不省人事	bxru	简单鹤	5349	1
分门别类	fmbl	简单鹤	5345	1
别出心裁	bixc	简单鹤	5333	1
明明白白	mmbb	简单鹤	5328	1
热情洋溢	rqyy	简单鹤	5318	1
大张旗鼓	dvqg	简单鹤	5315	1
防不胜防	fbuf	简单鹤	5312	1
惊魂未定	jhwd	简单鹤	5301	1
蒙混过关	mhgg	简单鹤	5301	1
错落有致	clyv	简单鹤	5297	1
一点一滴	ydyd	简单鹤	5277	1
入不敷出	rbfi	简单鹤	5266	1
我行我素	wxws	简单鹤	5257	1
深思熟虑	usul	简单鹤	5252	1
趋之若鹜	qvrw	简单鹤	5247	1
无微不至	wwbv	简单鹤	5234	1
溢于言表	yyyb	简单鹤	5231	1
车水马龙	iuml	简单鹤	5196	1
同心同德	txtd	简单鹤	5189	1
无所适从	wsuc	简单鹤	5185	1
变本加厉	bbjl	简单鹤	5164	1
壮士断腕	vudw	简单鹤	5158	1
崭露头角	vltj	简单鹤	5152	1
雄心勃勃	xxbb	简单鹤	5152	1
以点带面	yddm	简单鹤	5145	1
学以致用	xyvy	简单鹤	5143	1
心中有数	xvyu	简单鹤	5132	1
五湖四海	whsh	简单鹤	5124	1
审时度势	uudu	简单鹤	5117	1
不择手段	bzud	简单鹤	5114	1
大起大落	dqdl	简单鹤	5082	1
不厌其烦	byqf	简单鹤	5081	1
一针见血	yvjx	简单鹤	5076	1
四通八达	stbd	简单鹤	5075	1
不可开交	bkkj	简单鹤	5061	1
春暖花开	inhk	简单鹤	5052	1
天经地义	tjdy	简单鹤	5051	1
悬而未决	xewj	简单鹤	5037	1
蜂拥而至	fyev	简单鹤	5036	1
一言不发	yybf	简单鹤	5036	1
扬长而去	yieq	简单鹤	5023	1
水落石出	ului	简单鹤	5018	1
大开眼界	dkyj	简单鹤	5006	1
载歌载舞	zgzw	简单鹤	5002	1
子虚乌有	zxwy	简单鹤	4990	1
了如指掌	lrvv	简单鹤	4987	1
历历在目	llzm	简单鹤	4974	1
徇私枉法	xswf	简单鹤	4966	1
风云变幻	fybh	简单鹤	4958	1
公正廉洁	gzlj	THUOCL+新华补充	4946	1
茁壮成长	vviv	简单鹤	4945	1
千丝万缕	qswl	简单鹤	4944	1
奋不顾身	fbgu	简单鹤	4939	1
轻描淡写	qmdx	简单鹤	4927	1
不解之缘	bjvy	简单鹤	4914	1
有意无意	yywy	简单鹤	4914	1
顾名思义	gmsy	简单鹤	4904	1
有声有色	yuys	简单鹤	4898	1
流离失所	llus	简单鹤	4895	1
诸如此类	vrcl	简单鹤	4865	1
一清二楚	yqei	简单鹤	4858	1
众志成城	vvii	简单鹤	4857	1
救死扶伤	jsfu	简单鹤	4851	1
梦寐以求	mmyq	简单鹤	4846	1
逍遥法外	xyfw	简单鹤	4846	1
按捺不住	anbv	简单鹤	4845	1
信誓旦旦	xudd	简单鹤	4834	1
不计其数	bjqu	简单鹤	4829	1
缺一不可	qybk	简单鹤	4828	1
脱胎换骨	tthg	简单鹤	4823	1
真心实意	vxuy	简单鹤	4814	1
对簿公堂	dbgt	简单鹤	4808	1
不辱使命	brum	简单鹤	4790	1
狂风暴雨	kfby	简单鹤	4789	1
日复一日	rfyr	简单鹤	4788	1
白发苍苍	bfcc	简单鹤	4782	1
山清水秀	uqux	简单鹤	4776	1
随心所欲	sxsy	简单鹤	4774	1
不堪设想	bkux	简单鹤	4770	1
浩浩荡荡	hhdd	简单鹤	4770	1
叹为观止	twgv	简单鹤	4764	1
不由自主	byzv	简单鹤	4756	1
天下第一	txdy	简单鹤	4754	1
如愿以偿	ryyi	简单鹤	4749	1
取长补短	qibd	简单鹤	4747	1
所见所闻	sjsw	简单鹤	4719	1
近在咫尺	jzvi	简单鹤	4713	1
一言一行	yyyx	简单鹤	4709	1
惨不忍睹	cbrd	简单鹤	4708	1
一无所获	ywsh	简单鹤	4704	1
既得利益	jdly	简单鹤	4703	1
呼之欲出	hvyd	简单鹤	4698	1
黄金时代	hjud	简单鹤	4697	1
一厢情愿	yxqy	简单鹤	4697	1
无中生有	wvuy	简单鹤	4692	1
无与伦比	wylb	简单鹤	4692	1
轰动一时	hdyu	简单鹤	4682	1
街头巷尾	jtxw	简单鹤	4673	1
掷地有声	vdyu	简单鹤	4662	1
戛然而止	jrev	简单鹤	4660	1
念念不忘	nnbw	简单鹤	4655	1
偷工减料	tgjl	简单鹤	4639	1
津津有味	jjyw	简单鹤	4636	1
改头换面	gthm	简单鹤	4634	1
据为己有	jwjy	简单鹤	4624	1
大同小异	dtxy	简单鹤	4618	1
刮目相看	gmxk	简单鹤	4613	1
令人发指	lrfv	简单鹤	4607	1
目瞪口呆	mdkd	简单鹤	4603	1
雷厉风行	llfx	简单鹤	4591	1
三三两两	ssll	简单鹤	4591	1
风雨无阻	fywz	简单鹤	4586	1
江郎才尽	jlcj	简单鹤	4577	1
美轮美奂	mlmh	简单鹤	4561	1
货真价实	hvju	简单鹤	4548	1
三令五申	slwu	简单鹤	4545	1
和睦相处	hmxi	简单鹤	4538	1
感慨万千	gkwq	简单鹤	4524	1
拾金不昧	ujbm	简单鹤	4515	1
因人而异	yrey	简单鹤	4514	1
一纸空文	yvkw	简单鹤	4513	1
双管齐下	ugqx	简单鹤	4511	1
脱口而出	tkei	简单鹤	4502	1
曾几何时	cjhu	简单鹤	4498	1
逃之夭夭	tvyy	简单鹤	4496	1
不可估量	bkgl	简单鹤	4495	0
心甘情愿	xgqy	简单鹤	4490	1
一朝一夕	yvyx	简单鹤	4488	1
倾家荡产	qjdi	简单鹤	4486	1
有利可图	ylkt	简单鹤	4485	1
证据确凿	vjqz	简单鹤	4473	1
万众一心	wvyx	简单鹤	4456	1
古色古香	gsgx	简单鹤	4454	1
刻骨铭心	kgmx	简单鹤	4440	1
东窗事发	diuf	简单鹤	4435	1
开门见山	kmju	简单鹤	4425	1
蒸蒸日上	vvru	简单鹤	4423	1
艰苦卓绝	jkvj	简单鹤	4416	1
承上启下	iuqx	简单鹤	4410	1
风起云涌	fqyy	简单鹤	4406	1
振奋人心	vfrx	简单鹤	4406	1
乱七八糟	lqbz	简单鹤	4404	1
浑身解数	huxu	简单鹤	4403	1
一意孤行	yygx	简单鹤	4398	1
大有人在	dyrz	简单鹤	4393	1
年复一年	nfyn	简单鹤	4388	1
水土不服	utbf	简单鹤	4382	1
绝无仅有	jwjy	简单鹤	4381	1
奄奄一息	yyyx	简单鹤	4374	1
生生不息	uubx	简单鹤	4370	1
从头到尾	ctdw	简单鹤	4357	1
迫不得已	pbdy	简单鹤	4355	1
独善其身	duqu	简单鹤	4353	1
公平合理	gphl	简单鹤	4353	1
恰到好处	qdhi	简单鹤	4347	1
一触即发	yijf	简单鹤	4336	1
说三道四	usds	简单鹤	4327	1
不胜枚举	bumj	简单鹤	4325	1
各抒己见	gujj	简单鹤	4325	1
意味深长	ywui	简单鹤	4324	1
聪明才智	cmcv	简单鹤	4323	1
生死存亡	uscw	简单鹤	4317	1
蠢蠢欲动	iiyd	简单鹤	4304	1
摇摇欲坠	yyyv	简单鹤	4294	1
世外桃源	uwty	简单鹤	4290	1
滔滔不绝	ttbj	简单鹤	4284	1
欣欣向荣	xxxr	简单鹤	4277	1
添砖加瓦	tvjw	简单鹤	4271	1
相差无几	xiwj	简单鹤	4270	1
来势汹汹	luxx	简单鹤	4267	1
疑难杂症	ynzv	简单鹤	4264	1
有朝一日	yvyr	简单鹤	4264	1
指日可待	vrkd	简单鹤	4262	1
每况愈下	mkyx	简单鹤	4259	1
精打细算	jdxs	简单鹤	4250	1
真知灼见	vvvj	简单鹤	4249	1
遥遥无期	yywq	简单鹤	4244	1
代代相传	ddxi	简单鹤	4237	1
勇往直前	ywvq	简单鹤	4231	1
好景不长	hjbi	简单鹤	4225	1
另辟蹊径	lpxj	简单鹤	4223	1
朝气蓬勃	vqpb	简单鹤	4223	1
见怪不怪	jgbg	简单鹤	4218	1
一劳永逸	ylyy	简单鹤	4218	1
目不暇接	mbxj	简单鹤	4217	1
热气腾腾	rqtt	简单鹤	4215	1
脍炙人口	kvrk	简单鹤	4207	1
无所事事	wsuu	简单鹤	4172	1
甚嚣尘上	uxiu	简单鹤	4166	1
时不我待	ubwd	简单鹤	4164	1
打成一片	diyp	简单鹤	4161	1
一成不变	yibb	简单鹤	4161	1
怀恨在心	hhzx	简单鹤	4156	1
总而言之	zeyv	简单鹤	4145	1
支支吾吾	vvww	简单鹤	4136	1
艰苦创业	jkiy	简单鹤	4135	1
不务正业	bwvy	简单鹤	4132	1
身无分文	uwfw	简单鹤	4122	1
别具一格	bjyg	简单鹤	4121	1
治病救人	vbjr	简单鹤	4105	1
岌岌可危	jjkw	简单鹤	4089	1
丰功伟绩	fgwj	简单鹤	4087	1
他山之石	tuvu	简单鹤	4080	1
避重就轻	bvjq	简单鹤	4069	1
按部就班	abjb	简单鹤	4063	1
急转直下	jvvx	简单鹤	4058	1
一举两得	yjld	简单鹤	4054	1
兴高采烈	xgcl	简单鹤	4052	1
同心协力	txxl	简单鹤	4045	1
侃侃而谈	kket	简单鹤	4035	1
恼羞成怒	nxin	简单鹤	4018	1
天壤之别	trvb	简单鹤	4017	1
咄咄逼人	ddbr	简单鹤	4016	1
千篇一律	qpyl	简单鹤	4011	1
寸步难行	cbnx	简单鹤	4007	1
嘘寒问暖	xhwn	简单鹤	4004	1
不失时机	buuj	简单鹤	3999	1
直截了当	vjld	简单鹤	3997	1
白手起家	buqj	简单鹤	3989	1
人去楼空	rqlk	简单鹤	3979	1
置若罔闻	vrww	简单鹤	3978	1
瞠目结舌	imju	简单鹤	3969	1
长途跋涉	itbu	简单鹤	3962	1
有说有笑	yuyx	简单鹤	3956	1
严于律己	yylj	简单鹤	3955	1
群策群力	qcql	简单鹤	3953	1
前车之鉴	qivj	简单鹤	3952	1
