工人阶级	grjj
国际象棋	gjxq
意想不到	yxbd
突飞猛进	tfmj
任重道远	rvdy
聪明才智	cmcv
潜移默化	qymh
不一会儿	byhe
浩浩荡荡	hhdd
热泪盈眶	rlyk
相比之下	xbvx
同舟共济	tvgj
惊心动魄	jxdp
男女老少	nnlu
一视同仁	yutr
换句话说	hjhu
微不足道	wbzd
热情洋溢	rqyy
格鲁吉亚	gljy
一本正经	ybvj
身体力行	utlx
一不小心	ybxx
先决条件	xjtj
截然不同	jrbt
生气勃勃	uqbb
别有用心	byyx
艰难险阻	jnxz
密不可分	mbkf
取长补短	qibd
高高兴兴	ggxx
自上而下	zuex
毛里求斯	mlqs
一帆风顺	yffu
十字路口	uzlk
艰苦卓绝	jkvj
不知所措	bvsc
大势所趋	dusq
意气风发	yqff
此起彼伏	cqbf
激动人心	jdrx
势在必行	uzbx
勇往直前	ywvq
博大精深	bdju
如火如荼	rhrt
或多或少	hdhu
从此以后	ccyh
退伍军人	twjr
历史学家	luxj
琳琅满目	llmm
精打细算	jdxs
无动于衷	wdyv
密密麻麻	mmmm
居高不下	jgbx
相得益彰	xdyv
三位一体	swyt
危地马拉	wdml
从未有过	cwyg
愈演愈烈	yyyl
辛辛苦苦	xxkk
喜气洋洋	xqyy
扑面而来	pmel
讨价还价	tjhj
社会活动	uhhd
同心协力	txxl
所到之处	sdvi
欢聚一堂	hjyt
不顾一切	bgyq
拔地而起	bdeq
高瞻远瞩	gvyv
巴塞罗那	bsln
浪漫主义	lmvy
斗志昂扬	dvay
奋发图强	fftq
名列前茅	mlqm
赫尔辛基	hexj
一天到晚	ytdw
风云变幻	fybh
背道而驰	bdei
拨乱反正	blfv
推陈出新	tiix
乌兰巴托	wlbt
加班加点	jbjd
家用电器	jydq
骄傲自满	jazm
随心所欲	sxsy
法兰克福	flkf
量力而行	llex
洪都拉斯	hdls
无处不在	wibz
一言难尽	yynj
不以为然	bywr
视而不见	uebj
没完没了	mwml
扫黄打非	shdf
轻而易举	qeyj
有目共睹	ymgd
打成一片	diyp
真心实意	vxuy
大有作为	dyzw
航天飞机	htfj
勤工俭学	qgjx
感同身受	gtuu
独生子女	duzn
心甘情愿	xgqy
争先恐后	vxkh
难能可贵	nnkg
无穷无尽	wqwj
人造卫星	rzwx
一脉相承	ymxi
载歌载舞	zgzw
总而言之	zeyv
一举一动	yjyd
意味深长	ywui
有条不紊	ytbw
爱国人士	agru
有所作为	yszw
大张旗鼓	dvqg
雄心壮志	xxvv
物理学家	wlxj
迫在眉睫	pzmj
伊丽莎白	ylsb
不言而喻	byey
总的来说	zdlu
独具特色	djts
无家可归	wjkg
大吃大喝	didh
义无反顾	ywfg
断断续续	ddxx
相互之间	xhvj
一应俱全	yyjq
自然规律	zrgl
默默无闻	mmww
大江南北	djnb
大年初一	dniy
无微不至	wwbv
顾全大局	gqdj
一针见血	yvjx
初见成效	ijix
亚历山大	ylud
挨家挨户	ajah
不切实际	bquj
整整齐齐	vvqq
出人意料	iryl
对症下药	dvxy
勃勃生机	bbuj
心满意足	xmyz
数以万计	uywj
滔滔不绝	ttbj
淋漓尽致	lljv
五花八门	whbm
根深蒂固	gudg
谦虚谨慎	qxju
开花结果	khjg
上上下下	uuxx
一无所有	ywsy
勤勤恳恳	qqkk
一点一滴	ydyd
全神贯注	qugv
五颜六色	wyls
保家卫国	bjwg
困难重重	knii
合情合理	hqhl
忧心忡忡	yxii
栩栩如生	xxru
和睦相处	hmxi
为所欲为	wsyw
积极向上	jjxu
一点一点	ydyd
争分夺秒	vfdm
百折不挠	bvbn
锲而不舍	qebu
无济于事	wjyu
翻山越岭	fuyl
远近闻名	yjwm
雨后春笋	yhis
蒸蒸日上	vvru
敲锣打鼓	qldg
映入眼帘	yryl
一清二楚	yqei
诸如此类	vrcl
斯洛伐克	slfk
随之而来	svel
祖祖辈辈	zzbb
多姿多彩	dzdc
脑力劳动	nlld
无关紧要	wgjy
深情厚谊	uqhy
自由自在	zyzz
为数不多	wubd
明明白白	mmbb
耳目一新	emyx
无所畏惧	wswj
刮目相看	gmxk
振奋人心	vfrx
坚韧不拔	jrbb
就地取材	jdqc
生生不息	uubx
畅所欲言	isyy
眼花缭乱	yhll
郁郁葱葱	yycc
爱因斯坦	ayst
百分之五	bfvw
可歌可泣	kgkq
心中有数	xvyu
彻头彻尾	itiw
令人信服	lrxf
明文规定	mwgd
出乎意料	ihyl
不择手段	bzud
优胜劣汰	yult
直截了当	vjld
摇摇晃晃	yyhh
排除万难	piwn
大显身手	dxuu
一动不动	ydbd
耐人寻味	nrxw
更新换代	gxhd
紧锣密鼓	jlmg
无缘无故	wywg
不复存在	bfcz
不可磨灭	bkmm
集思广益	jsgy
触目惊心	imjx
家庭妇女	jtfn
令人振奋	lrvf
自给自足	zgzz
恰到好处	qdhi
一蹴而就	ycej
乘风破浪	ifpl
玛格丽特	mglt
土生土长	tuti
五角大楼	wjdl
西班牙语	xbyy
接二连三	jels
久而久之	jejv
急急忙忙	jjmm
一往无前	ywwq
不得人心	bdrx
愚公移山	ygyu
一望无际	ywwj
实话实说	uhuu
有朝一日	yvyr
五分之一	wfvy
始终如一	uvry
不可动摇	bkdy
交相辉映	jxhy
从头到尾	ctdw
尽如人意	jrry
一席之地	yxvd
比比皆是	bbju
大公无私	dgws
束手无策	uuwc
令人担忧	lrdy
团结一心	tjyx
别开生面	bkum
无忧无虑	wywl
精彩纷呈	jcfi
浴血奋战	yxfv
光明正大	gmvd
成群结队	iqjd
格格不入	ggbr
熙熙攘攘	xxrr
一成不变	yibb
津津有味	jjyw
燃眉之急	rmvj
一言不发	yybf
经久不息	jjbx
天下第一	txdy
异口同声	yktu
置之不理	vvbl
雪中送炭	xvst
一塌糊涂	ytht
年复一年	nfyn
普普通通	pptt
好人好事	hrhu
泪流满面	llmm
审时度势	uudu
助人为乐	vrwl
梦寐以求	mmyq
五彩缤纷	wcbf
无话可说	whku
参差不齐	ccbq
并肩作战	bjzv
自欺欺人	zqqr
取而代之	qedv
高楼大厦	gldu
座无虚席	zwxx
立竿见影	lgjy
代代相传	ddxi
十分之一	ufvy
力不从心	lbcx
应有尽有	yyjy
所见所闻	sjsw
冰天雪地	btxd
引人入胜	yrru
大惊小怪	djxg
自私自利	zszl
漠不关心	mbgx
各抒己见	gujj
如愿以偿	ryyi
恍然大悟	hrdw
久经考验	jjky
惊慌失措	jhuc
忆苦思甜	ykst
掉以轻心	dyqx
习以为常	xywi
手工艺品	ugyp
千篇一律	qpyl
春暖花开	inhk
日复一日	rfyr
吃喝玩乐	ihwl
诺贝尔奖	nbej
万无一失	wwyu
欢声笑语	huxy
目瞪口呆	mdkd
深恶痛绝	uwtj
漫不经心	mbjx
文艺复兴	wyfx
告一段落	gydl
大风大浪	dfdl
父老乡亲	flxq
不合时宜	bhuy
责无旁贷	zwpd
当之无愧	dvwk
亚特兰大	ytld
一技之长	yjvi
未雨绸缪	wyim
衣食住行	yuvx
口口声声	kkuu
无影无踪	wywz
由来已久	ylyj
走投无路	ztwl
随随便便	ssbb
议论纷纷	ylff
相提并论	xtbl
人山人海	rurh
四分之三	sfvs
硕果累累	ugll
有生之年	yuvn
二分之一	efvy
点点滴滴	dddd
高高在上	ggzu
心平气和	xpqh
鞠躬尽瘁	jgjc
匆匆忙忙	ccmm
烈士陵园	luly
惊涛骇浪	jthl
风雨无阻	fywz
丧心病狂	sxbk
不堪设想	bkux
喜怒哀乐	xnal
赞不绝口	zbjk
畅通无阻	itwz
诚心诚意	ixiy
百分之一	bfvy
用武之地	ywvd
考古学家	kgxj
千辛万苦	qxwk
心想事成	xxui
风土人情	ftrq
擦肩而过	cjeg
迷迷糊糊	mmhh
各司其职	gsqv
赏心悦目	uxym
缺一不可	qybk
无所事事	wsuu
无所作为	wszw
万事如意	wury
卷土重来	jtil
川流不息	ilbx
自知之明	zvvm
牵线搭桥	qxdq
严于律己	yylj
孜孜不倦	zzbj
别无选择	bwxz
历历在目	llzm
自以为是	zywu
千差万别	qiwb
谢天谢地	xtxd
鸡皮疙瘩	jpgd
古典文学	gdwx
吃苦耐劳	iknl
急于求成	jyqi
三百六十	sblu
英雄主义	yxvy
马不停蹄	mbtt
颠倒黑白	ddhb
宇宙飞船	yvfi
穷凶极恶	qxje
长途电话	itdh
说到做到	udzd
风雨同舟	fytv
一声不吭	yubk
感慨万千	gkwq
弥足珍贵	mzvg
大起大落	dqdl
志同道合	vtdh
隐隐约约	yyyy
举一反三	jyfs
毋庸置疑	wyvy
呕心沥血	oxlx
更有甚者	gyuv
千真万确	qvwq
安家落户	ajlh
新陈代谢	xidx
遍地开花	bdkh
大刀阔斧	ddkf
千头万绪	qtwx
深思熟虑	usul
难以忍受	nyru
人头攒动	rtcd
天文学家	twxj
可乘之机	kivj
犹豫不决	yybj
目不转睛	mbvj
齐头并进	qtbj
永垂不朽	yibx
不同寻常	btxi
康庄大道	kvdd
每时每刻	mumk
矢志不渝	uvby
无与伦比	wylb
汹涌澎湃	xypp
除此以外	icyw
师范学校	ufxx
豁然开朗	hrkl
紧要关头	jygt
轻重缓急	qvhj
无时无刻	wuwk
治病救人	vbjr
满头大汗	mtdh
熠熠生辉	yyuh
托尔斯泰	test
脱胎换骨	tthg
光明磊落	gmll
原汁原味	yvyw
忍无可忍	rwkr
既然如此	jrrc
摇摇欲坠	yyyv
油然而生	yreu
专心致志	vxvv
脱口而出	tkei
圣彼得堡	ubdb
平易近人	pyjr
乐观主义	lgvy
享乐主义	xlvy
司空见惯	skjg
心灵手巧	xluq
一言一行	yyyx
特殊教育	tujy
居安思危	jasw
足不出户	zbih
丰衣足食	fyzu
偷工减料	tgjl
冲锋陷阵	ifxv
学以致用	xyvy
流离失所	llus
街头巷尾	jtxw
十一月份	uyyf
实用主义	uyvy
袖手旁观	xupg
白发苍苍	bfcc
铺天盖地	ptgd
风起云涌	fqyy
精力充沛	jlip
斩钉截铁	vdjt
披荆斩棘	pjvj
梦想成真	mxiv
难以忘怀	nywh
不慌不忙	bhbm
铜墙铁壁	tqtb
来来往往	llww
忠心耿耿	vxgg
不动声色	bdus
不拘一格	bjyg
津津乐道	jjld
古往今来	gwjl
无可厚非	wkhf
刻骨铭心	kgmx
崭露头角	vltj
热闹非凡	rnff
尽职尽责	jvjz
谈何容易	thry
混为一谈	hwyt
认认真真	rrvv
无中生有	wvuy
永无止境	ywvj
雷厉风行	llfx
家常便饭	jibf
三言两语	syly
挑拨离间	tblj
满不在乎	mbzh
面目全非	mmqf
尽力而为	jlew
天经地义	tjdy
心不在焉	xbzy
年久失修	njux
结结巴巴	jjbb
不可估量	bkgl
得心应手	dxyu
取之不尽	qvbj
雪上加霜	xuju
接连不断	jlbd
偷偷摸摸	ttmm
勤俭持家	qjij
中产阶级	vijj
粗制滥造	cvlz
连续不断	lxbd
骇人听闻	hrtw
中流砥柱	vldv
错落有致	clyv
彬彬有礼	bbyl
如数家珍	rujv
可有可无	kykw
水深火热	uuhr
二话没说	ehmu
尽心尽力	jxjl
恭恭敬敬	ggjj
猝不及防	cbjf
千军万马	qjwm
素不相识	sbxu
风风雨雨	ffyy
喜出望外	xiww
出谋划策	imhc
横行霸道	hxbd
就事论事	julu
惨不忍睹	cbrd
后继有人	hjyr
多劳多得	dldd
圣诞老人	udlr
到此为止	dcwv
锦上添花	juth
举世闻名	juwm
送货上门	shum
直言不讳	vybh
寥寥无几	llwj
至高无上	vgwu
手忙脚乱	umjl
激动不已	jdby
冷冷清清	llqq
受宠若惊	uirj
前赴后继	qfhj
五湖四海	whsh
巡回演出	xhyi
同病相怜	tbxl
脍炙人口	kvrk
身临其境	ulqj
不厌其烦	byqf
不可告人	bkgr
省吃俭用	uijy
不声不响	bubx
并非如此	bfrc
车水马龙	iuml
夜深人静	yurj
热热闹闹	rrnn
半工半读	bgbd
鲜为人知	xwrv
化学反应	hxfy
一劳永逸	ylyy
纹丝不动	wsbd
不足为奇	bzwq
敲诈勒索	qvls
维多利亚	wdly
接踵而至	jvev
有利可图	ylkt
安然无恙	arwy
天生丽质	tulv
舒舒服服	uuff
你追我赶	nvwg
依依不舍	yybu
心安理得	xald
措手不及	cubj
精疲力竭	jplj
共同语言	gtyy
咬紧牙关	yjyg
由此看来	yckl
恭喜发财	gxfc
一声令下	yulx
一年到头	yndt
井然有序	jryx
来龙去脉	llqm
流连忘返	llwf
生机盎然	ujar
一鼓作气	ygzq
疲惫不堪	pbbk
患难与共	hnyg
得不偿失	dbiu
非同寻常	ftxi
因人而异	yrey
千变万化	qbwh
高尔夫球	gefq
有意无意	yywy
肃然起敬	srqj
一事无成	yuwi
随叫随到	sjsd
劳逸结合	lyjh
首当其冲	udqi
耳熟能详	eunx
有增无减	yzwj
休养生息	xyux
不得而知	bdev
适得其反	udqf
模模糊糊	mmhh
浓墨重彩	nmvc
千山万水	quwu
前无古人	qwgr
光天化日	gthr
弯弯曲曲	wwqq
年富力强	nflq
不亦乐乎	bylh
默不作声	mbzu
半途而废	btef
一意孤行	yygx
男男女女	nnnn
在所难免	zsnm
金字招牌	jzvp
别具一格	bjyg
无怨无悔	wywh
不可开交	bkkj
心旷神怡	xkuy
独树一帜	duyv
物美价廉	wmjl
人身自由	ruzy
后来居上	hlju
曾几何时	cjhu
模糊不清	mhbq
货真价实	hvju
真知灼见	vvvj
自相矛盾	zxmd
长途跋涉	itbu
稳步前进	wbqj
无理取闹	wlqn
快快乐乐	kkll
七嘴八舌	qzbu
与世隔绝	yugj
奄奄一息	yyyx
战战兢兢	vvjj
蒙特利尔	mtle
文明礼貌	wmlm
事与愿违	uyyw
奋发向上	ffxu
雄心勃勃	xxbb
轻描淡写	qmdx
不胜枚举	bumj
欢天喜地	htxd
跋山涉水	buuu
掷地有声	vdyu
毫不留情	hblq
胡言乱语	hyly
反反复复	ffff
德高望重	dgwv
专科学校	vkxx
清晰可见	qxkj
强加于人	qjyr
不解之缘	bjvy
迎头赶上	ytgu
自我牺牲	zwxu
千言万语	qywy
跃跃欲试	yyyu
喋喋不休	ddbx
绿树成荫	luiy
背信弃义	bxqy
居高临下	jglx
标点符号	bdfh
慕名而来	mmel
有血有肉	yxyr
前前后后	qqhh
天涯海角	tyhj
言传身教	yiuj
马马虎虎	mmhh
十全十美	uqum
恰如其分	qrqf
心血来潮	xxli
情有独钟	qydv
井井有条	jjyt
若有所思	ryss
放在眼里	fzyl
任劳任怨	rlry
心潮澎湃	xipp
千里迢迢	qltt
过意不去	gybq
百万富翁	bwfw
气势汹汹	quxx
起早贪黑	qzth
开门见山	kmju
时不我待	ubwd
表面文章	bmwv
设身处地	uuid
如饥似渴	rjsk
佛罗伦萨	flls
现身说法	xuuf
枝繁叶茂	vfym
金光闪闪	jguu
熟视无睹	uuwd
迫不得已	pbdy
平平安安	ppaa
捉襟见肘	vjjv
不计其数	bjqu
自食其力	zuql
自觉自愿	zjzy
装腔作势	vqzu
顺理成章	uliv
铿锵有力	kqyl
翩翩起舞	ppqw
糊里糊涂	hlht
能工巧匠	ngqj
引人注意	yrvy
诗情画意	uqhy
若无其事	rwqu
风平浪静	fplj
扬眉吐气	ymtq
漫山遍野	muby
放任自流	frzl
百分之三	bfvs
各得其所	gdqs
娓娓道来	wwdl
拒之门外	jvmw
身不由己	ubyj
星星之火	xxvh
勤学苦练	qxkl
绞尽脑汁	jjnv
无所适从	wsuc
推波助澜	tbvl
嘻嘻哈哈	xxhh
富丽堂皇	flth
惨无人道	cwrd
一见钟情	yjvq
溢于言表	yyyb
融会贯通	rhgt
水到渠成	udqi
一厢情愿	yxqy
自暴自弃	zbzq
坚不可摧	jbkc
烟消云散	yxys
身先士卒	uxuz
左邻右舍	zlyu
顶天立地	dtld
似曾相识	scxu
庞然大物	prdw
无法无天	wfwt
不能自拔	bnzb
不屑一顾	bxyg
训练有素	xlys
拭目以待	umyd
环环相扣	hhxk
白手起家	buqj
水泄不通	uxbt
转来转去	vlvq
处心积虑	ixjl
虚无主义	xwvy
一尘不染	yibr
分门别类	fmbl
近在咫尺	jzvi
严严实实	yyuu
排山倒海	pudh
按捺不住	anbv
亲密无间	qmwj
一朝一夕	yvyx
千姿百态	qzbt
酸甜苦辣	stkl
活蹦乱跳	hblt
可见一斑	kjyb
风华正茂	fhvm
胡作非为	hzfw
何去何从	hqhc
堂堂正正	ttvv
无拘无束	wjwu
沾沾自喜	vvzx
原封不动	yfbd
改头换面	gthm
北爱尔兰	bael
兴风作浪	xfzl
遥遥无期	yywq
筋疲力尽	jplj
令人感动	lrgd
十二月份	ueyf
一马当先	ymdx
出其不意	iqby
生龙活虎	ulhh
美不胜收	mbuu
恼羞成怒	nxin
软弱无力	rrwl
成百上千	ibuq
震耳欲聋	veyl
轻轻松松	qqss
长此以往	icyw
一身正气	yuvq
无言以对	wyyd
忙忙碌碌	mmll
步调一致	bdyv
寓教于乐	yjyl
朝夕相处	vxxi
无精打采	wjdc
历久弥新	ljmx
大相径庭	dxjt
一筹莫展	yimv
国家机器	gjjq
倾家荡产	qjdi
闷闷不乐	mmbl
跌宕起伏	ddqf
幅员辽阔	fylk
屈指可数	qvku
相依为命	xywm
汗流浃背	hljb
不在少数	bzuu
异想天开	yxtk
无边无际	wbwj
寸步难行	cbnx
红头文件	htwj
顾此失彼	gcub
发人深省	fruu
不辱使命	brum
荡然无存	drwc
世外桃源	uwty
随波逐流	sbvl
多才多艺	dcdy
装模作样	vmzy
当机立断	djld
指手画脚	vuhj
发人深思	frus
接踵而来	jvel
我行我素	wxws
临危不惧	lwbj
跌跌撞撞	ddvv
小心谨慎	xxju
天寒地冻	thdd
不堪重负	bkvf
誓师大会	uudh
哗众取宠	hvqi
百分之八	bfvb
中老年人	vlnr
心心相印	xxxy
斤斤计较	jjjj
异国他乡	ygtx
一举两得	yjld
转危为安	vwwa
大同小异	dtxy
出土文物	itww
一丝一毫	ysyh
光彩夺目	gcdm
真心诚意	vxiy
大喊大叫	dhdj
不绝于耳	bjye
望而却步	weqb
支离破碎	vlps
铤而走险	tezx
枪林弹雨	qldy
花言巧语	hyqy
受益匪浅	uyfq
真情实感	vqug
大手大脚	dudj
热带雨林	rdyl
搜索引擎	ssyq
瞬息万变	uxwb
坑坑洼洼	kkww
置若罔闻	vrww
那不勒斯	nbls
孤陋寡闻	glgw
双管齐下	ugqx
震撼人心	vhrx
进进出出	jjii
销声匿迹	xunj
明辨是非	mbuf
尽收眼底	juyd
甜言蜜语	tymy
不闻不问	bwbw
张灯结彩	vdjc
逍遥法外	xyfw
三五成群	swiq
绳之以法	uvyf
不可逾越	bkyy
无声无息	wuwx
哭笑不得	kxbd
绚丽多彩	xldc
一气呵成	yqhi
最后通牒	zhtd
说三道四	usds
痛痛快快	ttkk
夹道欢迎	jdhy
令人钦佩	lrqp
万紫千红	wzqh
不可多得	bkdd
连锁反应	lsfy
堆积如山	djru
欣喜若狂	xxrk
百分之二	bfve
面面相觑	mmxq
别出心裁	bixc
鬼鬼祟祟	ggss
流言蜚语	lyfy
深信不疑	uxby
求之不得	qvbd
流光溢彩	lgyc
手足无措	uzwc
稳扎稳打	wvwd
忐忑不安	ttba
防不胜防	fbuf
举国上下	jgux
此情此景	cqcj
不相上下	bxux
一窍不通	yqbt
听天由命	ttym
开足马力	kzml
如此一来	rcyl
奔走相告	bzxg
荣辱与共	rryg
废寝忘食	fqwu
心烦意乱	xfyl
泣不成声	qbiu
绝无仅有	jwjy
叹为观止	twgv
严阵以待	yvyd
人来人往	rlrw
从容不迫	crbp
一无所获	ywsh
心急如焚	xjrf
水落石出	ului
从天而降	ctej
恋恋不舍	llbu
完美无缺	wmwq
不务正业	bwvy
问心无愧	wxwk
举步维艰	jbwj
不了了之	bllv
将心比心	jxbx
暴露无遗	blwy
气急败坏	qjbh
多多少少	dduu
悄无声息	qwux
唯利是图	wlut
峥嵘岁月	vrsy
不容置疑	brvy
感人肺腑	grff
以偏概全	ypgq
微乎其微	whqw
真才实学	vcux
平安无事	pawu
水涨船高	uvig
一氧化碳	yyht
夺眶而出	dkei
风调雨顺	ftyu
无人问津	wrwj
独善其身	duqu
见不得人	jbdr
晕头转向	ytvx
义愤填膺	yfty
赤子之心	izvx
慷慨激昂	kkja
其实不然	qubr
首屈一指	uqyv
损人利己	srlj
意大利人	ydlr
万事大吉	wudj
军事法庭	juft
满满当当	mmdd
有气无力	yqwl
漂洋过海	pygh
东西南北	dxnb
意犹未尽	yywj
煞费苦心	ufkx
听之任之	tvrv
出类拔萃	ilbc
爱不释手	abuu
慷慨解囊	kkjn
千载难逢	qznf
引以为戒	yywj
万水千山	wuqu
每况愈下	mkyx
大名鼎鼎	dmdd
指日可待	vrkd
情理之中	qlvv
令人发指	lrfv
一无是处	ywui
毅然决然	yrjr
引人瞩目	yrvm
众说纷纭	vufy
走马观花	zmgh
简简单单	jjdd
白衣天使	bytu
东张西望	dvxw
毫无道理	hwdl
家破人亡	jprw
品学兼优	pxjy
容光焕发	rghf
糖衣炮弹	typd
整齐划一	vqhy
形同虚设	xtxu
鸦雀无声	yqwu
谈笑风生	txfu
有说有笑	yuyx
势不可挡	ubkd
坐立不安	zlba
走街串巷	zjix
倾盆大雨	qpdy
叽叽喳喳	jjvv
名不虚传	mbxi
通情达理	tqdl
扣人心弦	krxx
背井离乡	bjlx
胆战心惊	dvxj
沉默寡言	imgy
痛定思痛	tdst
闻名遐迩	wmxe
冠冕堂皇	gmth
如释重负	ruvf
英雄好汉	yxhh
地质学家	dvxj
精疲力尽	jplj
不堪回首	bkhu
你中有我	nvyw
千丝万缕	qswl
自学成才	zxic
有生以来	yuyl
挖空心思	wkxs
怦然心动	prxd
毫无用处	hwyi
言行一致	yxyv
条条框框	ttkk
得意洋洋	dyyy
百分之四	bfvs
一枝独秀	yvdx
不可收拾	bkuu
不假思索	bjss
透不过气	tbgq
慌慌张张	hhvv
一般而言	ybey
郑重其事	vvqu
不谋而合	bmeh
手舞足蹈	uwzd
堂而皇之	tehv
乐此不疲	lcbp
一臂之力	ybvl
苦不堪言	kbky
明令禁止	mljv
断章取义	dvqy
榜上有名	buym
赞叹不已	ztby
胸有成竹	xyiv
手无寸铁	uwct
人满为患	rmwh
皆大欢喜	jdhx
朴实无华	puwh
作息时间	zxuj
昙花一现	thyx
劳动改造	ldgz
准确无误	vqww
侃侃而谈	kket
按部就班	abjb
花花绿绿	hhll
