类别	根	展示名	宿主	核心用字数	扩展用字数	核心用字	扩展用字	讨论分组	可讨论拆法	说明
附属根	玉	玉	王	17	26	国 宝 帼 掴 滢 玉 玺 珏 瑬 璧 璺 腘 莹 蝈 钰 𬇹 𬍡	㻗 璗 琧 㼂 啯 椢 瀅 筺 㻺 瓕 㺸 匤 㻃 㺱 閠 㓘 琞 䌳 璽 㻹 瑿 瑩 㻾 鈺 砡 䞝	附属根候选	王＋丶	挂王家族
附属根	太	太	大	7	10	呔 太 态 汰 肽 酞 钛	迏 軚 葢 盇 粏 舦 鈦 忲 駄 豓	附属根候选	大＋丶	挂大家族
附属根	犬	犬	大	46	127	䴗 伏 倏 厌 厣 吠 哭 唳 嗅 器 恹 慭 戾 捩 洑 溴 漭 然 燃 犬 状 狱 献 猷 獒 畎 突 糗 臭 茯 获 莽 葖 蟒 袱 谳 阒 靥 飙 餍 魇 默 黡 𤩽 𪩘 𬸚	獃 㱘 㺴 獘 䔸 猋 飆 䁭 贆 飇 䟮 迖 䈆 枤 囐 㩵 擜 齾 汱 絥 覄 鮲 栿 垘 鼣 猆 瓛 㺉 殠 獎 湨 犑 鼳 狊 郹 鶪 宊 淚 䓞 蜧 錑 綟 悷 㑦 棙 睙 㪐 類 蘱 禷 䒎 䁳 㟿 㬒 黙 䁿 䥈 撚 蹨 钀 䡾 搝 䠗 闃 䠐 嘫 㜣 䔳 繎 㦓 䳿 㒄 橪 肰 㺇 獻 䣭 䭾 涋 湥 鶟 鼵 㟮 揬 㻠 堗 㹷 獸 獣 狀 憖 㬗 㱗 螑 齅 㧋 盢 瞁 厭 壓 㹜 犾 猌 㙬 嚈 鄓 擪 懕 靨 㩎 擫 讞 魘 嬮 巘 巚 厴 饜 檿 黶 猒 㦔 懨 鸑 嶽 獄 紎	附属根候选	大＋丶	挂大家族，点的位置不同，需核对拆分顺序
附属根	凡	凡	几	11	46	凡 巩 帆 恐 梵 矾 筑 芃 蛩 銎 钒	汎 䏎 㕨 訉 舤 滼 盕 釩 䭵 軓 忛 杋 㧬 䂬 㼦 䡗 鞏 㺬 䴟 䅃 㞩 䇔 驘 鸁 䌱 竼 㺸 跫 䊄 㮪 篫 築 茿 㜲 骪 蒆 聓 籝 籯 灜 䕦 贏 攍 䃷 䑉 䖠	附属根候选	几＋丶	挂几家族
附属根	丸	丸	九	17	53	丸 亵 势 垫 塾 孰 执 挚 热 熟 爇 絷 纨 芄 蛰 贽 鸷	㝪 墊 䞇 褺 䠟 䎠 奿 汍 䀓 㿪 肒 摰 騺 犱 䆒 蓻 褹 槷 釻 熱 勢 埶 䃞 謺 蟄 慹 鷙 䉅 秇 贄 摯 縶 䥍 漐 執 䲀 驇 骫 笂 紈 䙝 褻 暬 訙 囈 讛 襼 藝 萟 蓺 兿 槸 㙯	附属根候选	九＋丶	挂九家族，需核对族内形变
主根	禾	禾	禾	127	468	㰀 䅟 䐃 乘 倭 剩 和 啾 嗪 囷 委 季 嵇 嵊 巍 悸 愀 愁 揪 曦 楸 榛 湫 溱 潲 瀔 爔 琇 瑧 痿 盉 瞅 矮 禾 秀 私 秃 秆 秋 种 科 秒 秕 秘 租 秣 秤 秦 秧 秩 秫 秬 秭 积 称 秸 移 秽 秾 稀 稂 稃 稆 程 稌 稍 税 稑 稔 稗 稙 稚 稞 稠 稣 稳 稷 稹 稻 稼 稽 稿 穄 穆 穑 穗 穙 穜 穟 穰 簃 绣 羲 臻 莠 菌 萎 萩 蓁 藜 蝌 诱 诿 踒 透 逶 酥 锈 锹 颓 颖 香 馝 馞 馥 馧 馨 鬏 魏 鳅 鹙 麇 黍 黎 黏 黧 龢	馤 䅬 躷 䅖 馣 䅁 䆉 薭 䭰 稖 䵗 稫 䄶 秚 癛 稟 藊 稨 䅺 穮 䭯 秡 馛 穛 䭱 穪 秿 穇 䅾 䅮 穳 䆊 稲 䆃 䄪 䅜 䵔 秺 瀩 䅰 䆏 馩 秎 馚 䄱 䫝 䄮 稪 馡 藳 䆁 稁 稾 秴 䅥 㷴 稈 㿆 䆐 稒 穀 䅽 䅅 秏 啝 咊 姀 訸 萂 䒩 䅂 惒 穒 鉌 柇 䦭 馠 穔 䅣 䅿 秮 秳 穫 俰 䅏 穢 䅱 䅙 䅊 秅 㢉 䄻 稱 溗 䕝 騬 塖 䅛 謻 穉 黐 邌 種 䅷 䅳 䊬 㵞 醔 矁 偢 㳵 㴕 蒩 㛷 稘 積 穖 嵆 穊 稩 穧 癪 痵 鑙 廭 㑧 鯚 㻑 秔 稉 稴 䄯 馢 䅐 煍 穚 㡑 湬 稭 鞂 揫 稵 穋 䅢 䅌 蘔 䅃 穱 䅓 䅕 䵕 㖥 箘 蜠 麕 攈 攟 碅 棞 㻒 䈖 萪 犐 嵙 䌀 穅 穬 䅝 秙 稛 稇 䠅 澟 廩 懍 凜 檁 䅘 㥎 薐 稜 嚦 嚟 讈 爏 䉫 瀝 菞 藶 䔉 蔾 㺡 䊍 剓 䅄 䖿 䴻 䵓 犂 秝 睝 䅻 錅 棃 鯬 鵹 穲 癧 㿨 䥶 鑗 㠣 歷 厤 㻺 㠟 曆 磿 㽁 攊 轣 䍥 䍽 㱹 礰 儮 靂 靋 櫪 䟐 壢 瓑 瓈 燣 壈 秢 䆂 㟀 䄦 䅀 䆍 稤 穞 穭 稐 䅹 䅦 穈 瓾 䅒 䅼 䆀 䅞 䵒 䵑 秜 馜 秥 䄭 䄹 秊 穤 稬 䵜 穠 婑 錗 餧 鯘 腇 黁 䅶 穦 馪 稝 䅭 秛 秠 䄸 嫀 螓 䵖 䅩 諬 䅤 䅲 䄫 䵛 鍫 鍬 藒 稧 穕 秌 篍 蘒 媝 穐 蝵 䆋 龝 鶖 䨂 鞦 䎿 鰍 䐐 䅚 穘 捼 秂 秹 䄧 穣 䄾 穁 穃 䅑 䄲 䬐 㢻 緌 㮃 穡 穯 俬 䅴 犧 囌 蘇 蘓 稡 㢝 䅇 穌 櫯 䅗 穂 䵚 䅯 蕛 䄺 䅠 稊 䅍 䄼 䄽 秱 䛢 馟 鵚 禿 痜 鋵 蘈 䫋 穨 頹 頺 頽 䅪 㿗 㞜 綉 䞬 蕱 䵘 䅸 䄷 秲 潻 䢤 稅 䵙 獉 搸 轃 縥 殝 䕌 秓 稺 秖 秇 秪 䆈 秷 䆄 䕴 䅵 秼 稕 甃 㾭 僽 穏 穩 䅋 唩 涹 㹻 䰀 諉 蘶 犩 䭳 覣 蜲 䴧 崣 㣦 䍴 馫 䂀 萫 稥 麘 楿 馦 䄳 秈 䆎 褎 銹 璓 䅡 稸 稰 稄 䅉 稏 䄰 䅧 秵 熪 䔟 萟 穓 䄬 䭲 稦 䄩 䄿 穎 䅈 㷏 㐯 穥 稢 秗 䄨 稶 秐 唀 誘 秞 䅎 蜏 䆅 䅔 秄 䅆 秶 稓 秨 稯 踿 穝	基础根慎动	丿＋木	核心127字，保留整根直观
主根	米	米	米	117	267	䁖 偻 僳 咪 喽 噢 奥 娄 屎 屡 屦 嵝 嶙 彝 懊 掬 搂 擞 敉 数 料 断 楼 洣 渊 溇 潾 澳 瀵 燠 璘 璨 瘘 眯 瞵 磷 窭 篓 簖 米 籴 类 籼 籽 粉 粑 粒 粕 粗 粘 粜 粝 粞 粟 粢 粤 粥 粪 粮 粱 粲 粳 粹 粼 粽 精 粿 糁 糅 糇 糈 糊 糌 糍 糒 糕 糖 糗 糙 糜 糟 糠 糨 糯 糵 继 缕 翷 耧 脒 膦 菊 蒌 薁 薮 蝼 褛 谜 辚 迷 遴 醚 醾 镂 隩 鞠 髅 鬻 鳞 麋 麟 麹 𥻗 𦝼 𪣻 𬭸 𬴊	㜩 䜒 䉛 襖 㠗 鿫 擙 嶴 䴈 䐿 墺 㫧 粨 粺 䊧 粃 粊 䉾 粄 䉽 糄 糪 㬥 䊇 粣 䊂 燦 澯 薒 㣓 儏 殩 粋 䊫 籿 䊭 䊮 䨀 糴 䊤 糶 粫 糞 㥹 䆏 䊩 畨 籵 粰 糐 粓 糓 粭 籺 䊣 䊗 糫 粠 䉺 䉿 䊀 粐 毇 糀 䊐 粆 窲 䊞 粚 歯 䊲 䊰 䊬 継 粇 糡 糋 䊘 䊆 婅 諊 㽤 粷 粔 淗 䕮 蘜 㹼 䗇 陱 巈 驧 䪕 毩 毱 㥌 踘 䱡 椈 匊 躹 鵴 䜯 趜 糘 鎎 愾 糩 䊯 㔂 鄰 斴 亃 燐 疄 粦 甐 䚏 獜 䗲 鏻 隣 䫰 撛 轔 驎 繗 暽 僯 蹸 䚬 鱗 橉 粩 䊪 糲 粴 糎 䊍 糷 齢 糧 噒 嫾 憐 䉼 䊨 粶 纇 頪 類 颣 蘱 禷 㥪 䊟 詸 䛧 㜆 謎 粎 麊 䊳 蔝 蒾 㝥 冞 銤 瞇 䋛 䍘 侎 䱊 䊡 䊅 糆 粖 糢 䊈 蘪 攗 籾 䊖 糥 糑 噛 糱 籹 䊃 粸 䉻 滊 氣 暣 粁 䊴 䊎 䊄 粬 麴 粈 䊛 糤 糂 糝 糣 䊉 潥 䥔 䌚 㔄 憟 䉤 粏 糃 糛 靝 䊜 糰 粡 籶 籸 䊓 宩 糬 夈 粂 粍 籷 粀 粻 粧 糚 粙 粅 䊊 糦 熂 䊠 犔 餼 㑶 霼 䐖 䊑 䊱 粯 糮 䊥 䊝 糏 糔 粌 䊦 彛 彞 彜 㰘 䊙 䊔 澚 鐭 礇 㘀 糳 糉 糭	基础根慎动	丷＋木	核心117字，形体含穿插
主根	示	示	示	75	138	䏡 佘 倧 傺 凛 剽 嘌 噤 嚓 奈 嫖 宗 察 尉 崇 幖 廪 悰 慰 懔 捺 摽 擦 柰 标 棕 檩 檫 款 淙 漂 漈 漴 熛 熨 琮 瓢 畲 瘭 瘵 瞟 磜 示 祟 票 祭 禀 禁 穄 粽 综 缥 腙 膘 萘 蒜 蔈 蔚 蔡 薸 螱 螵 襟 赊 踪 镖 镲 际 霨 飘 骠 鬃 鳔 鳚 𬶭	謤 篻 褾 䅺 鏢 㟽 㠒 驃 磦 僄 鰾 標 檦 㯹 墂 攃 䌨 䃰 礤 縩 萗 䔴 㻮 窾 婃 誴 䉘 孮 賨 賩 徖 碂 㝮 䄟 䞸 䕓 鑔 摖 祡 沶 狋 憏 崈 㓽 齽 䌝 㦗 僸 凚 㯲 䫴 㱈 際 暩 鰶 頴 䄅 蘏 䕀 䥗 㱁 䲌 㯘 歀 䕲 癝 㘑 隸 隷 燷 䱞 龒 彯 䒬 㮏 㴎 渿 錼 倷 㮈 㲡 㖠 魒 㵱 䕯 飃 䴩 䏇 徱 縹 醥 顠 勡 飄 㼼 翲 㬓 慓 旚 澿 㩒 䏅 䱈 㗫 聺 䄐 櫒 祘 賒 呩 眎 斎 齋 藯 犚 叞 褽 罻 䲁 墛 㡜 㞊 䳳 禜 颕 籞 蘌 嶎 禦 綜 䑸 猔 骔 錝 騌 鯮 䝋 鶎	基础根慎动	二＋小	二为横家锚定根
主根	未	未	未	9	39	味 妹 嫠 寐 昧 未 漦 釐 魅	膥 㸁 沬 剺 孷 㹈 斄 犛 氂 㲠 佅 怽 眛 抺 祙 跊 㭑 䵢 䌜 擈 㒒 檏 苿 菋 䙿 鮇 㗼 澲 䧨 嶪 嶫 驜 㱉 鄴 曗 業 鸈 礏 㸣	待字形复核	二＋木（共享横画，不是直接拆法）	不可把共享笔画当独立拼接；不据此生成容错
主根	石	石	石	148	338	䂮 䃅 䃎 宕 岩 拓 斫 柘 橐 泵 炻 石 矶 矸 矻 矼 矾 矿 砀 码 砂 砄 砆 砉 砌 砍 砑 砒 研 砖 砗 砘 砚 砜 砝 砟 砠 砣 砥 砧 砫 砬 砭 砮 砰 破 砵 砷 砸 砹 砺 砻 砼 砾 础 硁 硅 硇 硊 硌 硍 硎 硐 硒 硔 硕 硖 硗 硙 硚 硝 硪 硫 硬 硭 确 硼 硿 碃 碇 碈 碉 碌 碍 碎 碏 碑 碓 碗 碘 碚 碛 碜 碟 碡 碣 碥 碧 碨 碰 碱 碲 碳 碴 碶 碹 碾 磁 磅 磉 磊 磋 磏 磐 磔 磕 磙 磜 磡 磨 磬 磲 磴 磷 磹 磻 礁 礅 礌 礓 礞 礴 礵 祏 耱 菪 蘑 蠹 跖 鼫 鿎 𥔲 𥕢 𥖨 𬒈 𬒔 𬒗 𬴃	硋 磑 礙 碪 磝 礉 磽 䃻 砏 砲 揼 䂜 硥 䃑 㓈 磦 碆 䃗 礡 䃰 礤 礸 磣 硶 礠 䂣 䂳 碂 䃚 䃀 磪 矺 䃮 䦒 礑 碭 雼 趤 碮 磾 䂡 䃫 砃 矴 碠 磸 矵 䂪 䂽 䲽 沰 硾 碫 䂢 妬 䀾 蠧 䂙 磓 䃦 碷 硆 砨 砐 砈 礘 磀 䂲 碸 礬 䂤 砩 碙 䃭 䃶 䂷 䂯 硄 䂸 礶 碽 䂵 磺 礦 䂬 磆 䃂 䃓 碋 䃒 䂫 湱 礊 騞 剨 䃔 硡 礐 䃣 硴 硩 硨 碀 硳 磛 硟 磢 䃥 磭 礎 䤺 䃸 砛 䃡 磯 礆 硷 磵 碊 礀 礛 䂶 䃈 礍 砎 䂝 䃊 䂟 碅 㮟 硞 碦 砢 䂺 礚 硜 䃘 硻 砊 砿 䂗 䃬 磈 硱 藞 䂰 磖 䃳 碄 䃕 磱 硓 䂾 砳 碐 硠 磿 㔏 礪 礰 砅 䃯 礫 䃹 礷 砱 䃛 㩡 硦 㰁 磂 磟 礱 䃧 礲 硵 硉 磠 䃙 礨 礧 磥 碖 磮 礣 碼 砇 䂥 䃉 㛧 䃇 嚰 饝 砞 礳 䃺 砪 碯 䃩 䃵 䂼 硸 礗 礟 礮 硑 磞 礕 礔 磇 䃲 砯 砶 䃢 碁 唘 磧 碕 磎 磩 硘 䂩 礄 䃝 碻 䂭 硂 確 礭 硈 磍 礝 碝 䂱 磃 䂹 硹 䃤 碿 砕 䂿 磄 䃪 碵 磌 鿬 袥 驝 碢 砤 磚 槖 硧 硰 磼 䄷 䖨 鉐 乭 䂠 䂖 佦 鮖 磰 碩 䃞 䕢 䃍 砦 砓 䂞 䂧 䂦 䃌 䂻 礃 礩 砋 䞠 坧 硺 磗 劯 硃 䃴 礈 砙 碔 䃖 矹 礥 礂 矽 磶 䃏 䃱 硣 㻹 䃠 碬 硤 䃁 磤 碒 磘 䂚 礏 礢 硛 礒 䃜 啱 碞 䂴 䊙 揅 硽 硏 礹 硯 礯 碤 䃷 砽 礜 硢 礖 䃋 砡 䂛 礇 硲 磒 沯 礋 磳 矷 磫	基础根慎动	一＋丿＋口	核心148字，拆散收益待评估
主根	束	束	束	26	66	剌 喇 嗽 嫩 悚 懒 敕 整 束 涑 漱 濑 獭 瘌 癞 竦 簌 籁 蔌 蝲 觫 赖 辣 速 𫗧 𬶟	䀳 娕 誎 脨 㩽 勅 慗 鵣 鶒 鷘 遫 㸊 溂 癩 攋 䏀 揦 鬎 鯻 楋 揧 辢 䱫 瓎 㻝 㻋 籟 襰 瀨 瀬 藾 䓶 懶 䄤 䠭 䲚 櫴 賴 頼 嬾 嫰 瘷 摗 捒 駷 䔎 藗 鋉 餗 殐 㑛 樕 㯈 梀 遬 趚 瘶 鏉 凁 欶 獺 潄 䜹 疎 綀 踈	待字形复核	木＋口	穿插结构，拆序要另定
主根	里	里	里	41	97	俚 僮 厘 哩 喱 噇 埋 墅 娌 幢 廛 悝 憧 懂 撞 曈 橦 浬 潼 瀍 狸 理 疃 瞳 穜 童 缠 艟 董 踵 躔 里 重 野 量 釐 锂 锺 霾 鲤 𦒍	㗢 嬞 箽 湩 蕫 勭 揰 動 㣫 働 墥 黒 湹 䣑 鄽 㢆 緾 纏 纒 㙻 㡖 䚒 䭚 䃥 朣 喠 褈 種 䆹 蝩 隀 䂌 䡴 衝 䳯 徸 緟 罿 偅 蹱 㮔 䝑 粴 糎 艃 裡 䔆 荲 㾖 裏 竰 鋰 䧉 䋥 貍 鯉 兣 梩 䤚 糧 䭪 薶 㦟 䨪 黙 濌 畽 䵯 燑 獞 膧 氃 㼿 䴀 犝 㠉 䮵 憅 慟 捚 榸 䱳 媑 諥 煄 籦 歱 尰 瘇 鍾 鐘 䱰 腫 堹 薫 勲 嘢	待字形复核	日＋土	先按现有字形考虑日土；不要直接写田土造成重复笔画
主根	兼	兼	兼	16	46	兼 嫌 廉 慊 搛 歉 濂 磏 缣 蒹 蠊 谦 赚 镰 鳒 鹣	魐 尲 凲 䯡 稴 䭠 䫡 縑 㪠 鶼 鹻 傔 鰜 㡘 溓 嬚 譧 熑 燫 簾 薕 䆂 㾾 螊 䭑 鎌 鐮 䁠 劆 鬑 㼓 㝺 槏 臁 嗛 謙 䈴 嵰 膁 賺 㺌 馦 鼸 豏 甉 隒	待字形复核	待定	穿插结构，不能只凭像几个部件就生成容错
主根	秉	秉	秉	1	2	秉	㨀 棅	待字形复核	待定	主根同时锚定于争字底，计数不能相加
主根	夷	夷	夷	6	20	咦 夷 姨 痍 胰 荑	眱 挗 洟 䄺 䩟 㯩 鴺 䨑 鮧 桋 銕 㹫 蛦 䧅 峓 䮊 羠 恞 侇 跠	待字形复核	待定	穿插结构
主根	甫	甫	甫	35	76	傅 匍 博 哺 圃 埔 捕 搏 敷 晡 榑 欂 浦 溥 牖 甫 礴 簠 簿 缚 脯 膊 莆 葡 蒱 蒲 薄 赙 辅 逋 酺 铺 镈 黼 𬷕	㗘 髆 煿 䙏 簙 猼 䗚 䥬 䪇 䭦 䶈 鎛 鑮 餺 䰊 䍸 㬍 愽 礡 牔 馎 誧 䊇 補 秿 餔 䀯 䝵 陠 峬 庯 䋠 䪔 悑 鯆 鵏 喸 尃 㙛 糐 㜑 痡 蜅 賻 㕊 㩤 䩉 輔 鬴 䪙 縛 俌 麱 禣 䎔 郙 乶 懯 㭪 豧 旉 盙 璷 嚩 䯙 蒪 烳 䈬 䈻 䔕 舖 舗 鋪 䮒 圑 磗	待字形复核	待定	拆后部件与现有根匹配需核对
