来源	词	原码	去飞键
简单鹤V9.3.0纯词库 (1).txt	百京	bejk	bdjk
简单鹤V9.3.0纯词库 (1).txt	百家	bejx	bdjx
简单鹤V9.3.0纯词库 (1).txt	百科	beke	bdke
简单鹤V9.3.0纯词库 (1).txt	百克	beke	bdke
简单鹤V9.3.0纯词库 (1).txt	百块	bekk	bdkk
简单鹤V9.3.0纯词库 (1).txt	百孔	beks	bdks
简单鹤V9.3.0纯词库 (1).txt	百里	beli	bdli
简单鹤V9.3.0纯词库 (1).txt	百灵	belk	bdlk
简单鹤V9.3.0纯词库 (1).txt	百两	bell	bdll
简单鹤V9.3.0纯词库 (1).txt	百忙	bemh	bdmh
简单鹤V9.3.0纯词库 (1).txt	百米	bemi	bdmi
简单鹤V9.3.0纯词库 (1).txt	百名	bemk	bdmk
简单鹤V9.3.0纯词库 (1).txt	百亩	bemu	bdmu
简单鹤V9.3.0纯词库 (1).txt	百目	bemu	bdmu
简单鹤V9.3.0纯词库 (1).txt	百年	benm	bdnm
简单鹤V9.3.0纯词库 (1).txt	百鸟	benn	bdnn
简单鹤V9.3.0纯词库 (1).txt	百篇	bepm	bdpm
简单鹤V9.3.0纯词库 (1).txt	百强	beql	bdql
简单鹤V9.3.0纯词库 (1).txt	百日	beri	bdri
简单鹤V9.3.0纯词库 (1).txt	百色	bese	bdse
简单鹤V9.3.0纯词库 (1).txt	百岁	besv	bdsv
简单鹤V9.3.0纯词库 (1).txt	百态	betd	bdtd
简单鹤V9.3.0纯词库 (1).txt	百特	bete	bdte
简单鹤V9.3.0纯词库 (1).txt	百听	betk	bdtk
简单鹤V9.3.0纯词库 (1).txt	百天	betm	bdtm
简单鹤V9.3.0纯词库 (1).txt	百团	betr	bdtr
简单鹤V9.3.0纯词库 (1).txt	百通	bets	bdts
简单鹤V9.3.0纯词库 (1).txt	百胜	beug	bdug
简单鹤V9.3.0纯词库 (1).txt	百盛	beug	bdug
简单鹤V9.3.0纯词库 (1).txt	百事	beui	bdui
简单鹤V9.3.0纯词库 (1).txt	百顺	beuy	bduy
简单鹤V9.3.0纯词库 (1).txt	百兽	beuz	bduz
简单鹤V9.3.0纯词库 (1).txt	百兆	bevc	bdvc
简单鹤V9.3.0纯词库 (1).txt	百丈	bevh	bdvh
简单鹤V9.3.0纯词库 (1).txt	百战	bevj	bdvj
简单鹤V9.3.0纯词库 (1).txt	百种	bevs	bdvs
简单鹤V9.3.0纯词库 (1).txt	百万	bewj	bdwj
简单鹤V9.3.0纯词库 (1).txt	百物	bewu	bdwu
简单鹤V9.3.0纯词库 (1).txt	百位	beww	bdww
简单鹤V9.3.0纯词库 (1).txt	百威	beww	bdww
简单鹤V9.3.0纯词库 (1).txt	百信	bexb	bdxb
简单鹤V9.3.0纯词库 (1).txt	百姓	bexk	bdxk
简单鹤V9.3.0纯词库 (1).txt	百晓	bexn	bdxn
简单鹤V9.3.0纯词库 (1).txt	百校	bexn	bdxn
简单鹤V9.3.0纯词库 (1).txt	百业	beye	bdye
简单鹤V9.3.0纯词库 (1).txt	百叶	beye	bdye
简单鹤V9.3.0纯词库 (1).txt	百元	beyr	bdyr
简单鹤V9.3.0纯词库 (1).txt	百越	beyt	bdyt
简单鹤V9.3.0纯词库 (1).txt	百余	beyu	bdyu
简单鹤V9.3.0纯词库 (1).txt	百字	bezi	bdzi
简单鹤V9.3.0纯词库 (1).txt	半百	bjbe	bjbd
简单鹤V9.3.0纯词库 (1).txt	百亿	beyi	bdyi
简单鹤V9.3.0纯词库 (1).txt	百准	bevy	bdvy
简单鹤V9.3.0纯词库 (1).txt	榜一	bhei	bhyi
简单鹤V9.3.0纯词库 (1).txt	百尺	beii	bdii
简单鹤V9.3.0纯词库 (1).txt	百丑	beiz	bdiz
简单鹤V9.3.0纯词库 (1).txt	百品	bepb	bdpb
简单鹤V9.3.0纯词库 (1).txt	八一	baei	bayi
简单鹤V9.3.0纯词库 (1).txt	百联	belm	bdlm
简单鹤V9.3.0纯词库 (1).txt	百大	beda	bdda
简单鹤V9.3.0纯词库 (1).txt	百人	berf	bdrf
简单鹤V9.3.0纯词库 (1).txt	第几	dijo	diji
简单鹤V9.3.0纯词库 (1).txt	第一	diei	diyi
简单鹤V9.3.0纯词库 (1).txt	东百	dsbe	dsbd
简单鹤V9.3.0纯词库 (1).txt	独一	duei	duyi
简单鹤V9.3.0纯词库 (1).txt	大一	daei	dayi
简单鹤V9.3.0纯词库 (1).txt	单一	djei	djyi
简单鹤V9.3.0纯词库 (1).txt	一宗	eizl	yizl
简单鹤V9.3.0纯词库 (1).txt	一宿	eixq	yixq
简单鹤V9.3.0纯词库 (1).txt	鹤大	ehda	heda
简单鹤V9.3.0纯词库 (1).txt	鹤拳	ehqr	heqr
简单鹤V9.3.0纯词库 (1).txt	鹤人	ehrf	herf
简单鹤V9.3.0纯词库 (1).txt	鹤神	ehuf	heuf
简单鹤V9.3.0纯词库 (1).txt	鹤形	ehxk	hexk
简单鹤V9.3.0纯词库 (1).txt	鹤嘴	ehzv	hezv
简单鹤V9.3.0纯词库 (1).txt	一码	eima	yima
简单鹤V9.3.0纯词库 (1).txt	二百	erbe	erbd
简单鹤V9.3.0纯词库 (1).txt	一直	eivi	yivi
简单鹤V9.3.0纯词库 (1).txt	一只	eivi	yivi
简单鹤V9.3.0纯词库 (1).txt	一致	eivi	yivi
简单鹤V9.3.0纯词库 (1).txt	一支	eivi	yivi
简单鹤V9.3.0纯词库 (1).txt	一枝	eivi	yivi
简单鹤V9.3.0纯词库 (1).txt	一双	eiul	yiul
简单鹤V9.3.0纯词库 (1).txt	一暗	eian	yian
简单鹤V9.3.0纯词库 (1).txt	一案	eian	yian
简单鹤V9.3.0纯词库 (1).txt	一把	eiba	yiba
简单鹤V9.3.0纯词库 (1).txt	一包	eibc	yibc
简单鹤V9.3.0纯词库 (1).txt	一本	eibf	yibf
简单鹤V9.3.0纯词库 (1).txt	一帮	eibh	yibh
简单鹤V9.3.0纯词库 (1).txt	一笔	eibi	yibi
简单鹤V9.3.0纯词库 (1).txt	一比	eibi	yibi
简单鹤V9.3.0纯词库 (1).txt	一柄	eibk	yibk
简单鹤V9.3.0纯词库 (1).txt	一波	eibo	yibo
简单鹤V9.3.0纯词库 (1).txt	一别	eibp	yibp
简单鹤V9.3.0纯词库 (1).txt	一步	eibu	yibu
简单鹤V9.3.0纯词库 (1).txt	一部	eibu	yibu
简单鹤V9.3.0纯词库 (1).txt	一杯	eibw	yibw
简单鹤V9.3.0纯词库 (1).txt	一倍	eibw	yibw
简单鹤V9.3.0纯词库 (1).txt	一猜	eicd	yicd
简单鹤V9.3.0纯词库 (1).txt	一侧	eice	yice
简单鹤V9.3.0纯词库 (1).txt	一餐	eicj	yicj
简单鹤V9.3.0纯词库 (1).txt	一撮	eico	yico
简单鹤V9.3.0纯词库 (1).txt	一簇	eicu	yicu
简单鹤V9.3.0纯词库 (1).txt	一大	eida	yida
简单鹤V9.3.0纯词库 (1).txt	一道	eidc	yidc
简单鹤V9.3.0纯词库 (1).txt	一刀	eidc	yidc
简单鹤V9.3.0纯词库 (1).txt	一代	eidd	yidd
简单鹤V9.3.0纯词库 (1).txt	一袋	eidd	yidd
简单鹤V9.3.0纯词库 (1).txt	一等	eidg	yidg
简单鹤V9.3.0纯词库 (1).txt	一档	eidh	yidh
简单鹤V9.3.0纯词库 (1).txt	一挡	eidh	yidh
简单鹤V9.3.0纯词库 (1).txt	一滴	eidi	yidi
简单鹤V9.3.0纯词库 (1).txt	一定	eidk	yidk
简单鹤V9.3.0纯词库 (1).txt	一顶	eidk	yidk
简单鹤V9.3.0纯词库 (1).txt	一朵	eido	yido
简单鹤V9.3.0纯词库 (1).txt	一叠	eidp	yidp
简单鹤V9.3.0纯词库 (1).txt	一碟	eidp	yidp
简单鹤V9.3.0纯词库 (1).txt	一丢	eidq	yidq
简单鹤V9.3.0纯词库 (1).txt	一动	eids	yids
简单鹤V9.3.0纯词库 (1).txt	一栋	eids	yids
简单鹤V9.3.0纯词库 (1).txt	一度	eidu	yidu
简单鹤V9.3.0纯词库 (1).txt	一堆	eidv	yidv
简单鹤V9.3.0纯词库 (1).txt	一对	eidv	yidv
简单鹤V9.3.0纯词库 (1).txt	一顿	eidy	yidy
简单鹤V9.3.0纯词库 (1).txt	一抖	eidz	yidz
简单鹤V9.3.0纯词库 (1).txt	一二	eier	yier
简单鹤V9.3.0纯词库 (1).txt	一封	eifg	yifg
简单鹤V9.3.0纯词库 (1).txt	一副	eifu	yifu
简单鹤V9.3.0纯词库 (1).txt	一幅	eifu	yifu
简单鹤V9.3.0纯词库 (1).txt	一飞	eifw	yifw
简单鹤V9.3.0纯词库 (1).txt	一概	eigd	yigd
简单鹤V9.3.0纯词库 (1).txt	一个	eige	yige
简单鹤V9.3.0纯词库 (1).txt	一哥	eige	yige
简单鹤V9.3.0纯词库 (1).txt	一更	eigg	yigg
简单鹤V9.3.0纯词库 (1).txt	一缸	eigh	yigh
简单鹤V9.3.0纯词库 (1).txt	一拐	eigk	yigk
简单鹤V9.3.0纯词库 (1).txt	一光	eigl	yigl
简单鹤V9.3.0纯词库 (1).txt	一贯	eigr	yigr
简单鹤V9.3.0纯词库 (1).txt	一罐	eigr	yigr
简单鹤V9.3.0纯词库 (1).txt	一号	eihc	yihc
简单鹤V9.3.0纯词库 (1).txt	一盒	eihe	yihe
简单鹤V9.3.0纯词库 (1).txt	一横	eihg	yihg
简单鹤V9.3.0纯词库 (1).txt	一喊	eihj	yihj
简单鹤V9.3.0纯词库 (1).txt	一晃	eihl	yihl
简单鹤V9.3.0纯词库 (1).txt	一伙	eiho	yiho
简单鹤V9.3.0纯词库 (1).txt	一环	eihr	yihr
简单鹤V9.3.0纯词库 (1).txt	一泓	eihs	yihs
简单鹤V9.3.0纯词库 (1).txt	一户	eihu	yihu
简单鹤V9.3.0纯词库 (1).txt	一壶	eihu	yihu
简单鹤V9.3.0纯词库 (1).txt	一花	eihx	yihx
简单鹤V9.3.0纯词库 (1).txt	一吼	eihz	yihz
简单鹤V9.3.0纯词库 (1).txt	一刹	eiia	yiia
简单鹤V9.3.0纯词库 (1).txt	一车	eiie	yiie
简单鹤V9.3.0纯词库 (1).txt	一沉	eiif	yiif
简单鹤V9.3.0纯词库 (1).txt	一成	eiig	yiig
简单鹤V9.3.0纯词库 (1).txt	一程	eiig	yiig
简单鹤V9.3.0纯词库 (1).txt	一尺	eiii	yiii
简单鹤V9.3.0纯词库 (1).txt	一颤	eiij	yiij
简单鹤V9.3.0纯词库 (1).txt	一床	eiil	yiil
简单鹤V9.3.0纯词库 (1).txt	一戳	eiio	yiio
简单鹤V9.3.0纯词库 (1).txt	一吹	eiiv	yiiv
简单鹤V9.3.0纯词库 (1).txt	一抽	eiiz	yiiz
简单鹤V9.3.0纯词库 (1).txt	一筹	eiiz	yiiz
简单鹤V9.3.0纯词库 (1).txt	一斤	eijb	yijb
简单鹤V9.3.0纯词库 (1).txt	一级	eiji	yiji
简单鹤V9.3.0纯词库 (1).txt	一击	eiji	yiji
简单鹤V9.3.0纯词库 (1).txt	一集	eiji	yiji
简单鹤V9.3.0纯词库 (1).txt	一件	eijm	yijm
简单鹤V9.3.0纯词库 (1).txt	一间	eijm	yijm
简单鹤V9.3.0纯词库 (1).txt	一键	eijm	yijm
简单鹤V9.3.0纯词库 (1).txt	一脚	eijn	yijn
简单鹤V9.3.0纯词库 (1).txt	一觉	eijn	yijn
简单鹤V9.3.0纯词库 (1).txt	一届	eijp	yijp
简单鹤V9.3.0纯词库 (1).txt	一截	eijp	yijp
简单鹤V9.3.0纯词库 (1).txt	一节	eijp	yijp
简单鹤V9.3.0纯词库 (1).txt	一绝	eijt	yijt
简单鹤V9.3.0纯词库 (1).txt	一句	eiju	yiju
简单鹤V9.3.0纯词库 (1).txt	一局	eiju	yiju
简单鹤V9.3.0纯词库 (1).txt	一颗	eike	yike
简单鹤V9.3.0纯词库 (1).txt	一棵	eike	yike
简单鹤V9.3.0纯词库 (1).txt	一刻	eike	yike
简单鹤V9.3.0纯词库 (1).txt	一课	eike	yike
简单鹤V9.3.0纯词库 (1).txt	一坑	eikg	yikg
简单鹤V9.3.0纯词库 (1).txt	一筐	eikl	yikl
简单鹤V9.3.0纯词库 (1).txt	一款	eikr	yikr
简单鹤V9.3.0纯词库 (1).txt	一空	eiks	yiks
简单鹤V9.3.0纯词库 (1).txt	一篑	eikv	yikv
简单鹤V9.3.0纯词库 (1).txt	一捆	eiky	yiky
简单鹤V9.3.0纯词库 (1).txt	一口	eikz	yikz
简单鹤V9.3.0纯词库 (1).txt	一拉	eila	yila
简单鹤V9.3.0纯词库 (1).txt	一凛	eilb	yilb
简单鹤V9.3.0纯词库 (1).txt	一来	eild	yild
简单鹤V9.3.0纯词库 (1).txt	一乐	eile	yile
简单鹤V9.3.0纯词库 (1).txt	一愣	eilg	yilg
简单鹤V9.3.0纯词库 (1).txt	一粒	eili	yili
简单鹤V9.3.0纯词库 (1).txt	一览	eilj	yilj
简单鹤V9.3.0纯词库 (1).txt	一栏	eilj	yilj
简单鹤V9.3.0纯词库 (1).txt	一辆	eill	yill
简单鹤V9.3.0纯词库 (1).txt	一两	eill	yill
简单鹤V9.3.0纯词库 (1).txt	一脸	eilm	yilm
简单鹤V9.3.0纯词库 (1).txt	一连	eilm	yilm
简单鹤V9.3.0纯词库 (1).txt	一摞	eilo	yilo
简单鹤V9.3.0纯词库 (1).txt	一列	eilp	yilp
简单鹤V9.3.0纯词库 (1).txt	一流	eilq	yilq
简单鹤V9.3.0纯词库 (1).txt	一绺	eilq	yilq
简单鹤V9.3.0纯词库 (1).txt	一路	eilu	yilu
简单鹤V9.3.0纯词库 (1).txt	一缕	eilv	yilv
简单鹤V9.3.0纯词库 (1).txt	一律	eilv	yilv
简单鹤V9.3.0纯词库 (1).txt	一类	eilw	yilw
简单鹤V9.3.0纯词库 (1).txt	一轮	eily	yily
简单鹤V9.3.0纯词库 (1).txt	一楼	eilz	yilz
简单鹤V9.3.0纯词库 (1).txt	一毛	eimc	yimc
简单鹤V9.3.0纯词库 (1).txt	一脉	eimd	yimd
简单鹤V9.3.0纯词库 (1).txt	一门	eimf	yimf
简单鹤V9.3.0纯词库 (1).txt	一梦	eimg	yimg
简单鹤V9.3.0纯词库 (1).txt	一忙	eimh	yimh
简单鹤V9.3.0纯词库 (1).txt	一米	eimi	yimi
简单鹤V9.3.0纯词库 (1).txt	一秒	eimn	yimn
简单鹤V9.3.0纯词库 (1).txt	一抹	eimo	yimo
简单鹤V9.3.0纯词库 (1).txt	一摸	eimo	yimo
简单鹤V9.3.0纯词库 (1).txt	一灭	eimp	yimp
简单鹤V9.3.0纯词库 (1).txt	一幕	eimu	yimu
简单鹤V9.3.0纯词库 (1).txt	一亩	eimu	yimu
简单鹤V9.3.0纯词库 (1).txt	一枚	eimw	yimw
简单鹤V9.3.0纯词库 (1).txt	一拿	eina	yina
简单鹤V9.3.0纯词库 (1).txt	一捺	eina	yina
简单鹤V9.3.0纯词库 (1).txt	一闹	einc	yinc
简单鹤V9.3.0纯词库 (1).txt	一捏	einp	yinp
简单鹤V9.3.0纯词库 (1).txt	一扭	einq	yinq
简单鹤V9.3.0纯词库 (1).txt	一弄	eins	yins
简单鹤V9.3.0纯词库 (1).txt	一怒	einu	yinu
简单鹤V9.3.0纯词库 (1).txt	一女	einv	yinv
简单鹤V9.3.0纯词库 (1).txt	一趴	eipa	yipa
简单鹤V9.3.0纯词库 (1).txt	一品	eipb	yipb
简单鹤V9.3.0纯词库 (1).txt	一炮	eipc	yipc
简单鹤V9.3.0纯词库 (1).txt	一排	eipd	yipd
简单鹤V9.3.0纯词库 (1).txt	一拍	eipd	yipd
简单鹤V9.3.0纯词库 (1).txt	一盆	eipf	yipf
简单鹤V9.3.0纯词库 (1).txt	一碰	eipg	yipg
简单鹤V9.3.0纯词库 (1).txt	一批	eipi	yipi
简单鹤V9.3.0纯词库 (1).txt	一匹	eipi	yipi
简单鹤V9.3.0纯词库 (1).txt	一盘	eipj	yipj
简单鹤V9.3.0纯词库 (1).txt	一爿	eipj	yipj
简单鹤V9.3.0纯词库 (1).txt	一瓶	eipk	yipk
简单鹤V9.3.0纯词库 (1).txt	一片	eipm	yipm
简单鹤V9.3.0纯词库 (1).txt	一篇	eipm	yipm
简单鹤V9.3.0纯词库 (1).txt	一票	eipn	yipn
简单鹤V9.3.0纯词库 (1).txt	一破	eipo	yipo
简单鹤V9.3.0纯词库 (1).txt	一瞥	eipp	yipp
简单鹤V9.3.0纯词库 (1).txt	一撇	eipp	yipp
简单鹤V9.3.0纯词库 (1).txt	一赔	eipw	yipw
简单鹤V9.3.0纯词库 (1).txt	一抔	eipz	yipz
简单鹤V9.3.0纯词库 (1).txt	一起	eiqi	yiqi
简单鹤V9.3.0纯词库 (1).txt	一齐	eiqi	yiqi
简单鹤V9.3.0纯词库 (1).txt	一枪	eiql	yiql
简单鹤V9.3.0纯词库 (1).txt	一腔	eiql	yiql
简单鹤V9.3.0纯词库 (1).txt	一瞧	eiqn	yiqn
简单鹤V9.3.0纯词库 (1).txt	一球	eiqq	yiqq
简单鹤V9.3.0纯词库 (1).txt	一圈	eiqr	yiqr
简单鹤V9.3.0纯词库 (1).txt	一拳	eiqr	yiqr
简单鹤V9.3.0纯词库 (1).txt	一曲	eiqu	yiqu
简单鹤V9.3.0纯词库 (1).txt	一区	eiqu	yiqu
简单鹤V9.3.0纯词库 (1).txt	一热	eire	yire
简单鹤V9.3.0纯词库 (1).txt	一扔	eirg	yirg
简单鹤V9.3.0纯词库 (1).txt	一日	eiri	yiri
简单鹤V9.3.0纯词库 (1).txt	一如	eiru	yiru
简单鹤V9.3.0纯词库 (1).txt	一扫	eisc	yisc
简单鹤V9.3.0纯词库 (1).txt	一色	eise	yise
简单鹤V9.3.0纯词库 (1).txt	一所	eiso	yiso
简单鹤V9.3.0纯词库 (1).txt	一算	eisr	yisr
简单鹤V9.3.0纯词库 (1).txt	一岁	eisv	yisv
简单鹤V9.3.0纯词库 (1).txt	一艘	eisz	yisz
简单鹤V9.3.0纯词库 (1).txt	一台	eitd	yitd
简单鹤V9.3.0纯词库 (1).txt	一特	eite	yite
简单鹤V9.3.0纯词库 (1).txt	一趟	eith	yith
简单鹤V9.3.0纯词库 (1).txt	一堂	eith	yith
简单鹤V9.3.0纯词库 (1).txt	一体	eiti	yiti
简单鹤V9.3.0纯词库 (1).txt	一屉	eiti	yiti
简单鹤V9.3.0纯词库 (1).txt	一滩	eitj	yitj
简单鹤V9.3.0纯词库 (1).txt	一谈	eitj	yitj
简单鹤V9.3.0纯词库 (1).txt	一听	eitk	yitk
简单鹤V9.3.0纯词库 (1).txt	一厅	eitk	yitk
简单鹤V9.3.0纯词库 (1).txt	一条	eitn	yitn
简单鹤V9.3.0纯词库 (1).txt	一跳	eitn	yitn
简单鹤V9.3.0纯词库 (1).txt	一坨	eito	yito
简单鹤V9.3.0纯词库 (1).txt	一帖	eitp	yitp
简单鹤V9.3.0纯词库 (1).txt	一团	eitr	yitr
简单鹤V9.3.0纯词库 (1).txt	一同	eits	yits
简单鹤V9.3.0纯词库 (1).txt	一推	eitv	yitv
简单鹤V9.3.0纯词库 (1).txt	一头	eitz	yitz
简单鹤V9.3.0纯词库 (1).txt	一霎	eiua	yiua
简单鹤V9.3.0纯词库 (1).txt	一勺	eiuc	yiuc
简单鹤V9.3.0纯词库 (1).txt	一身	eiuf	yiuf
简单鹤V9.3.0纯词库 (1).txt	一审	eiuf	yiuf
简单鹤V9.3.0纯词库 (1).txt	一试	eiui	yiui
简单鹤V9.3.0纯词库 (1).txt	一闪	eiuj	yiuj
简单鹤V9.3.0纯词库 (1).txt	一扇	eiuj	yiuj
简单鹤V9.3.0纯词库 (1).txt	一甩	eiuk	yiuk
简单鹤V9.3.0纯词库 (1).txt	一说	eiuo	yiuo
简单鹤V9.3.0纯词库 (1).txt	一束	eiuu	yiuu
简单鹤V9.3.0纯词库 (1).txt	一刷	eiux	yiux
简单鹤V9.3.0纯词库 (1).txt	一瞬	eiuy	yiuy
简单鹤V9.3.0纯词库 (1).txt	一首	eiuz	yiuz
简单鹤V9.3.0纯词库 (1).txt	一手	eiuz	yiuz
简单鹤V9.3.0纯词库 (1).txt	一眨	eiva	yiva
简单鹤V9.3.0纯词库 (1).txt	一扎	eiva	yiva
简单鹤V9.3.0纯词库 (1).txt	一招	eivc	yivc
简单鹤V9.3.0纯词库 (1).txt	一阵	eivf	yivf
简单鹤V9.3.0纯词库 (1).txt	一帧	eivf	yivf
简单鹤V9.3.0纯词库 (1).txt	一怔	eivg	yivg
简单鹤V9.3.0纯词库 (1).txt	一张	eivh	yivh
简单鹤V9.3.0纯词库 (1).txt	一盏	eivj	yivj
简单鹤V9.3.0纯词库 (1).txt	一战	eivj	yivj
简单鹤V9.3.0纯词库 (1).txt	一拽	eivk	yivk
简单鹤V9.3.0纯词库 (1).txt	一幢	eivl	yivl
简单鹤V9.3.0纯词库 (1).txt	一桌	eivo	yivo
简单鹤V9.3.0纯词库 (1).txt	一种	eivs	yivs
简单鹤V9.3.0纯词库 (1).txt	一中	eivs	yivs
简单鹤V9.3.0纯词库 (1).txt	一株	eivu	yivu
简单鹤V9.3.0纯词库 (1).txt	一柱	eivu	yivu
简单鹤V9.3.0纯词库 (1).txt	一抓	eivx	yivx
简单鹤V9.3.0纯词库 (1).txt	一准	eivy	yivy
简单鹤V9.3.0纯词库 (1).txt	一周	eivz	yivz
简单鹤V9.3.0纯词库 (1).txt	一皱	eivz	yivz
简单鹤V9.3.0纯词库 (1).txt	一问	eiwf	yiwf
简单鹤V9.3.0纯词库 (1).txt	一万	eiwj	yiwj
简单鹤V9.3.0纯词库 (1).txt	一晚	eiwj	yiwj
简单鹤V9.3.0纯词库 (1).txt	一碗	eiwj	yiwj
简单鹤V9.3.0纯词库 (1).txt	一窝	eiwo	yiwo
简单鹤V9.3.0纯词库 (1).txt	一心	eixb	yixb
简单鹤V9.3.0纯词库 (1).txt	一袭	eixi	yixi
简单鹤V9.3.0纯词库 (1).txt	一项	eixl	yixl
简单鹤V9.3.0纯词库 (1).txt	一向	eixl	yixl
简单鹤V9.3.0纯词库 (1).txt	一线	eixm	yixm
简单鹤V9.3.0纯词库 (1).txt	一宿	eixo	yixo
简单鹤V9.3.0纯词库 (1).txt	一选	eixr	yixr
简单鹤V9.3.0纯词库 (1).txt	一夜	eiye	yiye
简单鹤V9.3.0纯词库 (1).txt	一页	eiye	yiye
简单鹤V9.3.0纯词库 (1).txt	一亿	eiyi	yiyi
简单鹤V9.3.0纯词库 (1).txt	一应	eiyk	yiyk
简单鹤V9.3.0纯词库 (1).txt	一员	eiyr	yiyr
简单鹤V9.3.0纯词库 (1).txt	一元	eiyr	yiyr
简单鹤V9.3.0纯词库 (1).txt	一月	eiyt	yiyt
简单鹤V9.3.0纯词库 (1).txt	一跃	eiyt	yiyt
简单鹤V9.3.0纯词库 (1).txt	一隅	eiyu	yiyu
简单鹤V9.3.0纯词库 (1).txt	一扎	eiza	yiza
简单鹤V9.3.0纯词库 (1).txt	一早	eizc	yizc
简单鹤V9.3.0纯词库 (1).txt	一再	eizd	yizd
简单鹤V9.3.0纯词库 (1).txt	一则	eize	yize
简单鹤V9.3.0纯词库 (1).txt	一宗	eizs	yizs
简单鹤V9.3.0纯词库 (1).txt	一钻	eizr	yizr
简单鹤V9.3.0纯词库 (1).txt	一族	eizu	yizu
简单鹤V9.3.0纯词库 (1).txt	一嘴	eizv	yizv
简单鹤V9.3.0纯词库 (1).txt	一尊	eizy	yizy
简单鹤V9.3.0纯词库 (1).txt	一血	eixt	yixt
简单鹤V9.3.0纯词库 (1).txt	一些	eixp	yixp
简单鹤V9.3.0纯词库 (1).txt	一写	eixp	yixp
简单鹤V9.3.0纯词库 (1).txt	一切	eiqp	yiqp
简单鹤V9.3.0纯词库 (1).txt	一笑	eixn	yixn
简单鹤V9.3.0纯词库 (1).txt	一寸	eicy	yicy
简单鹤V9.3.0纯词库 (1).txt	一层	eicg	yicg
简单鹤V9.3.0纯词库 (1).txt	一方	eifh	yifh
简单鹤V9.3.0纯词库 (1).txt	一位	eiww	yiww
简单鹤V9.3.0纯词库 (1).txt	一味	eiww	yiww
简单鹤V9.3.0纯词库 (1).txt	一座	eizo	yizo
简单鹤V9.3.0纯词库 (1).txt	一股	eigu	yigu
简单鹤V9.3.0纯词库 (1).txt	一家	eijx	yijx
简单鹤V9.3.0纯词库 (1).txt	一架	eijx	yijx
简单鹤V9.3.0纯词库 (1).txt	一会	eihv	yihv
简单鹤V9.3.0纯词库 (1).txt	一回	eihv	yihv
简单鹤V9.3.0纯词库 (1).txt	一段	eidr	yidr
简单鹤V9.3.0纯词库 (1).txt	一百	eibe	yibd
简单鹤V9.3.0纯词库 (1).txt	一边	eibm	yibm
简单鹤V9.3.0纯词库 (1).txt	一遍	eibm	yibm
简单鹤V9.3.0纯词库 (1).txt	一共	eigs	yigs
简单鹤V9.3.0纯词库 (1).txt	一根	eigf	yigf
简单鹤V9.3.0纯词库 (1).txt	一行	eihh	yihh
简单鹤V9.3.0纯词库 (1).txt	一天	eitm	yitm
简单鹤V9.3.0纯词库 (1).txt	一套	eitc	yitc
简单鹤V9.3.0纯词库 (1).txt	一番	eifj	yifj
简单鹤V9.3.0纯词库 (1).txt	一看	eikj	yikj
简单鹤V9.3.0纯词库 (1).txt	一面	eimm	yimm
简单鹤V9.3.0纯词库 (1).txt	一声	eiug	yiug
简单鹤V9.3.0纯词库 (1).txt	一生	eiug	yiug
简单鹤V9.3.0纯词库 (1).txt	一份	eiff	yiff
简单鹤V9.3.0纯词库 (1).txt	一分	eiff	yiff
简单鹤V9.3.0纯词库 (1).txt	一群	eiqy	yiqy
