汉字	拼音	已分配频率	其中历史单字裁决	该字待分配频率	该字原始总频	状态
䁖	lou	0	0	0	0	未观测到分配证据；不等于实际零频
䂮	lve	0	0	0	0	未观测到分配证据；不等于实际零频
䃅	di	0	0	0	0	未观测到分配证据；不等于实际零频
䃎	zha	0	0	0	0	未观测到分配证据；不等于实际零频
䅟	can	0	0	0	0	未观测到分配证据；不等于实际零频
䌹	jiong	0	0	0	0	未观测到分配证据；不等于实际零频
䎃	ran	0	0	0	0	未观测到分配证据；不等于实际零频
䎖	zeng	0	0	0	0	未观测到分配证据；不等于实际零频
䏝	zhuan	0	0	0	0	未观测到分配证据；不等于实际零频
䏡	shi	0	0	0	0	未观测到分配证据；不等于实际零频
䏲	ti	0	0	0	0	未观测到分配证据；不等于实际零频
䐃	jun	0	0	0	0	未观测到分配证据；不等于实际零频
䓖	qiong	0	0	0	0	未观测到分配证据；不等于实际零频
䓛	qu	0	0	0	0	未观测到分配证据；不等于实际零频
䓨	ying	0	0	0	0	未观测到分配证据；不等于实际零频
䓫	qi	0	0	0	0	未观测到分配证据；不等于实际零频
䓬	zhuo	0	0	0	0	未观测到分配证据；不等于实际零频
䗖	di	0	0	0	0	未观测到分配证据；不等于实际零频
䗛	xiu	0	0	0	0	未观测到分配证据；不等于实际零频
䗪	zhe	0	0	0	0	未观测到分配证据；不等于实际零频
䗴	ting	0	0	0	0	未观测到分配证据；不等于实际零频
䜣	xin	0	0	0	0	未观测到分配证据；不等于实际零频
䝙	chu	0	0	0	0	未观测到分配证据；不等于实际零频
䢺	chu	0	0	0	0	未观测到分配证据；不等于实际零频
䢼	gong	0	0	0	0	未观测到分配证据；不等于实际零频
䣘	tang	0	0	0	0	未观测到分配证据；不等于实际零频
䥽	po	0	0	0	0	未观测到分配证据；不等于实际零频
䦃	zhuo	0	0	0	0	未观测到分配证据；不等于实际零频
䲟	yin	0	0	0	0	未观测到分配证据；不等于实际零频
䲠	chun	0	0	0	0	未观测到分配证据；不等于实际零频
䲢	teng	0	0	0	0	未观测到分配证据；不等于实际零频
䴓	shi	0	0	0	0	未观测到分配证据；不等于实际零频
䴔	jiao	0	0	0	0	未观测到分配证据；不等于实际零频
䴕	lie	0	0	0	0	未观测到分配证据；不等于实际零频
䴖	jing	0	0	0	0	未观测到分配证据；不等于实际零频
䴗	ju	0	0	0	0	未观测到分配证据；不等于实际零频
䴘	ti	0	0	0	0	未观测到分配证据；不等于实际零频
䴙	pi	0	0	0	0	未观测到分配证据；不等于实际零频
䶮	yan	0	0	0	0	未观测到分配证据；不等于实际零频
一	yi	601443	0	2613	604056	有已分配证据；仍须结合待分配量
丁	ding	2834	572	806	3640	有已分配证据；仍须结合待分配量
七	qi	3901	0	193	4094	有已分配证据；仍须结合待分配量
万	mo	0	0	2904	18335	未观测到分配证据；不等于实际零频
万	wan	15431	6031	2904	18335	有已分配证据；仍须结合待分配量
丈	zhang	6238	0	0	6238	有已分配证据；仍须结合待分配量
三	san	25853	0	422	26275	有已分配证据；仍须结合待分配量
上	shang	236157	0	294	236451	有已分配证据；仍须结合待分配量
下	xia	153497	0	68	153565	有已分配证据；仍须结合待分配量
不	bu	903982	0	693	904675	有已分配证据；仍须结合待分配量
与	yu	17257	0	5	17262	有已分配证据；仍须结合待分配量
丏	mian	0	0	0	0	未观测到分配证据；不等于实际零频
丐	gai	133	0	0	133	有已分配证据；仍须结合待分配量
丑	chou	2948	0	0	2948	有已分配证据；仍须结合待分配量
专	zhuan	7680	0	32	7712	有已分配证据；仍须结合待分配量
且	qie	24767	642	7	24774	有已分配证据；仍须结合待分配量
丕	pi	4	0	3	7	有已分配证据；仍须结合待分配量
世	shi	21557	0	9	21566	有已分配证据；仍须结合待分配量
丘	qiu	422	0	85	507	有已分配证据；仍须结合待分配量
丙	bing	197	0	0	197	有已分配证据；仍须结合待分配量
业	ye	13872	0	56	13928	有已分配证据；仍须结合待分配量
丛	cong	742	0	2	744	有已分配证据；仍须结合待分配量
东	dong	43761	0	287	44048	有已分配证据；仍须结合待分配量
丝	si	6067	0	631	6698	有已分配证据；仍须结合待分配量
丞	cheng	4	0	0	4	有已分配证据；仍须结合待分配量
丢	diu	6145	0	7	6152	有已分配证据；仍须结合待分配量
两	liang	39689	0	283	39972	有已分配证据；仍须结合待分配量
严	yan	6567	0	2	6569	有已分配证据；仍须结合待分配量
丧	sang	2034	0	2	2036	有已分配证据；仍须结合待分配量
个	ge	452641	0	285	452926	有已分配证据；仍须结合待分配量
丫	ya	496	0	11	507	有已分配证据；仍须结合待分配量
中	zhong	69654	0	91	69745	有已分配证据；仍须结合待分配量
丰	feng	1264	0	15	1279	有已分配证据；仍须结合待分配量
串	chuan	698	0	1	699	有已分配证据；仍须结合待分配量
临	lin	4358	0	0	4358	有已分配证据；仍须结合待分配量
丸	wan	771	0	1	772	有已分配证据；仍须结合待分配量
丹	dan	4356	0	534	4890	有已分配证据；仍须结合待分配量
为	wei	249155	0	77	249232	有已分配证据；仍须结合待分配量
主	zhu	28445	0	183	28628	有已分配证据；仍须结合待分配量
丽	li	8674	0	2330	11004	有已分配证据；仍须结合待分配量
举	ju	6851	0	2	6853	有已分配证据；仍须结合待分配量
乂	yi	0	0	0	0	未观测到分配证据；不等于实际零频
乃	nai	565	0	9	574	有已分配证据；仍须结合待分配量
久	jiu	15062	0	11	15073	有已分配证据；仍须结合待分配量
么	me	557700	39120	104	557804	有已分配证据；仍须结合待分配量
义	yi	9455	0	37	9492	有已分配证据；仍须结合待分配量
之	zhi	64376	0	379	64755	有已分配证据；仍须结合待分配量
乌	wu	1745	0	272	2017	有已分配证据；仍须结合待分配量
乍	zha	80	0	0	80	有已分配证据；仍须结合待分配量
乎	hu	11641	0	42	11683	有已分配证据；仍须结合待分配量
乏	fa	888	0	0	888	有已分配证据；仍须结合待分配量
乐	le	15972	1467	1137	26456	有已分配证据；仍须结合待分配量
乐	yue	9347	280	1137	26456	有已分配证据；仍须结合待分配量
乒	ping	157	0	0	157	有已分配证据；仍须结合待分配量
乓	pang	197	0	0	197	有已分配证据；仍须结合待分配量
乔	qiao	5611	0	1041	6652	有已分配证据；仍须结合待分配量
乖	guai	2424	0	0	2424	有已分配证据；仍须结合待分配量
乘	cheng	2300	868	10	2310	有已分配证据；仍须结合待分配量
乙	yi	217	0	1	218	有已分配证据；仍须结合待分配量
乜	mie	0	0	2	2	未观测到分配证据；不等于实际零频
乜	nie	0	0	2	2	未观测到分配证据；不等于实际零频
九	jiu	2502	0	152	2654	有已分配证据；仍须结合待分配量
乞	qi	436	0	0	436	有已分配证据；仍须结合待分配量
也	ye	159924	0	2	159926	有已分配证据；仍须结合待分配量
习	xi	8031	0	17	8048	有已分配证据；仍须结合待分配量
乡	xiang	2481	0	28	2509	有已分配证据；仍须结合待分配量
书	shu	13244	0	116	13360	有已分配证据；仍须结合待分配量
乩	ji	0	0	0	0	未观测到分配证据；不等于实际零频
买	mai	18041	0	4	18045	有已分配证据；仍须结合待分配量
乱	luan	8381	0	3	8384	有已分配证据；仍须结合待分配量
乳	ru	1605	0	0	1605	有已分配证据；仍须结合待分配量
乸	na	0	0	0	0	未观测到分配证据；不等于实际零频
乾	qian	101	60	5	106	有已分配证据；仍须结合待分配量
了	le	956101	925669	2443	994043	有已分配证据；仍须结合待分配量
了	liao	35499	20696	2443	994043	有已分配证据；仍须结合待分配量
予	yu	1630	0	0	1630	有已分配证据；仍须结合待分配量
争	zheng	9921	0	38	9959	有已分配证据；仍须结合待分配量
事	shi	179670	0	46	179716	有已分配证据；仍须结合待分配量
二	er	16418	0	396	16814	有已分配证据；仍须结合待分配量
亍	chu	0	0	0	0	未观测到分配证据；不等于实际零频
于	yu	45397	0	32	45429	有已分配证据；仍须结合待分配量
亏	kui	897	0	1	898	有已分配证据；仍须结合待分配量
云	yun	1571	0	38	1609	有已分配证据；仍须结合待分配量
互	hu	3286	0	49	3335	有已分配证据；仍须结合待分配量
亓	qi	0	0	0	0	未观测到分配证据；不等于实际零频
五	wu	11527	0	719	12246	有已分配证据；仍须结合待分配量
井	jing	1107	0	7	1114	有已分配证据；仍须结合待分配量
亘	gen	31	0	0	31	有已分配证据；仍须结合待分配量
亚	ya	14087	0	1602	15689	有已分配证据；仍须结合待分配量
些	xie	113078	0	44	113122	有已分配证据；仍须结合待分配量
亟	ji	20	0	2	22	有已分配证据；仍须结合待分配量
亟	qi	0	0	2	22	未观测到分配证据；不等于实际零频
亡	wang	6067	247	19	6086	有已分配证据；仍须结合待分配量
亢	kang	73	0	0	73	有已分配证据；仍须结合待分配量
交	jiao	19517	0	102	19619	有已分配证据；仍须结合待分配量
亥	hai	215	0	0	215	有已分配证据；仍须结合待分配量
亦	yi	341	0	0	341	有已分配证据；仍须结合待分配量
产	chan	8228	0	36	8264	有已分配证据；仍须结合待分配量
亨	heng	1277	0	307	1584	有已分配证据；仍须结合待分配量
亩	mu	144	0	0	144	有已分配证据；仍须结合待分配量
享	xiang	5485	0	0	5485	有已分配证据；仍须结合待分配量
京	jing	1271	0	58	1329	有已分配证据；仍须结合待分配量
亭	ting	302	0	2	304	有已分配证据；仍须结合待分配量
亮	liang	14132	0	25	14157	有已分配证据；仍须结合待分配量
亲	qin	42424	2180	56	42502	有已分配证据；仍须结合待分配量
亲	qing	22	0	56	42502	有已分配证据；仍须结合待分配量
亳	bo	0	0	0	0	未观测到分配证据；不等于实际零频
亵	xie	328	0	0	328	有已分配证据；仍须结合待分配量
亶	dan	0	0	0	0	未观测到分配证据；不等于实际零频
亸	duo	0	0	0	0	未观测到分配证据；不等于实际零频
亹	wei	0	0	0	0	未观测到分配证据；不等于实际零频
人	ren	372465	0	827	373292	有已分配证据；仍须结合待分配量
亿	yi	1371	0	150	1521	有已分配证据；仍须结合待分配量
什	shen	304307	0	2479	307184	有已分配证据；仍须结合待分配量
什	shi	398	0	2479	307184	有已分配证据；仍须结合待分配量
仁	ren	1298	0	8	1306	有已分配证据；仍须结合待分配量
仂	le	0	0	0	0	未观测到分配证据；不等于实际零频
仃	ding	13	0	0	13	有已分配证据；仍须结合待分配量
仄	ze	3	0	0	3	有已分配证据；仍须结合待分配量
仅	jin	7927	0	0	7927	有已分配证据；仍须结合待分配量
仆	pu	814	0	0	814	有已分配证据；仍须结合待分配量
仇	chou	1901	0	184	2085	有已分配证据；仍须结合待分配量
仇	qiu	0	0	184	2085	未观测到分配证据；不等于实际零频
仉	zhang	0	0	0	0	未观测到分配证据；不等于实际零频
今	jin	44975	0	1	44976	有已分配证据；仍须结合待分配量
介	jie	7695	0	1	7696	有已分配证据；仍须结合待分配量
仍	reng	5117	0	0	5117	有已分配证据；仍须结合待分配量
从	cong	69700	0	89	69789	有已分配证据；仍须结合待分配量
仑	lun	404	0	8	412	有已分配证据；仍须结合待分配量
仓	cang	1320	0	1	1321	有已分配证据；仍须结合待分配量
仔	zai	1090	0	686	3497	有已分配证据；仍须结合待分配量
仔	zi	1721	0	686	3497	有已分配证据；仍须结合待分配量
仕	shi	63	0	0	63	有已分配证据；仍须结合待分配量
他	ta	555405	0	9072	564477	有已分配证据；仍须结合待分配量
仗	zhang	832	0	0	832	有已分配证据；仍须结合待分配量
付	fu	10727	0	2	10729	有已分配证据；仍须结合待分配量
仙	xian	1169	0	5	1174	有已分配证据；仍须结合待分配量
仝	tong	0	0	0	0	未观测到分配证据；不等于实际零频
仞	ren	2	0	0	2	有已分配证据；仍须结合待分配量
仟	qian	6	0	1	7	有已分配证据；仍须结合待分配量
仡	ge	0	0	0	0	未观测到分配证据；不等于实际零频
代	dai	15110	0	32	15142	有已分配证据；仍须结合待分配量
令	ling	12159	0	168	12327	有已分配证据；仍须结合待分配量
以	yi	184465	0	43	184508	有已分配证据；仍须结合待分配量
仨	sa	71	0	0	71	有已分配证据；仍须结合待分配量
仪	yi	2414	0	14	2428	有已分配证据；仍须结合待分配量
仫	mu	0	0	0	0	未观测到分配证据；不等于实际零频
们	men	701754	0	2	701756	有已分配证据；仍须结合待分配量
仰	yang	1904	0	0	1904	有已分配证据；仍须结合待分配量
仲	zhong	116	0	0	116	有已分配证据；仍须结合待分配量
仳	pi	0	0	0	0	未观测到分配证据；不等于实际零频
仵	wu	0	0	0	0	未观测到分配证据；不等于实际零频
件	jian	31592	0	19	31611	有已分配证据；仍须结合待分配量
价	jia	8683	514	84	8767	有已分配证据；仍须结合待分配量
价	jie	0	0	84	8767	未观测到分配证据；不等于实际零频
任	ren	34308	0	41	34349	有已分配证据；仍须结合待分配量
份	fen	14739	0	15	14754	有已分配证据；仍须结合待分配量
仿	fang	1499	0	0	1499	有已分配证据；仍须结合待分配量
企	qi	1401	0	0	1401	有已分配证据；仍须结合待分配量
伈	xin	0	0	0	0	未观测到分配证据；不等于实际零频
伉	kang	3	0	0	3	有已分配证据；仍须结合待分配量
伊	yi	8554	0	1627	10181	有已分配证据；仍须结合待分配量
伋	ji	0	0	0	0	未观测到分配证据；不等于实际零频
伍	wu	3057	0	397	3454	有已分配证据；仍须结合待分配量
伎	ji	242	0	0	242	有已分配证据；仍须结合待分配量
伏	fu	1411	0	23	1434	有已分配证据；仍须结合待分配量
伐	fa	340	0	0	340	有已分配证据；仍须结合待分配量
休	xiu	8380	0	124	8504	有已分配证据；仍须结合待分配量
众	zhong	7242	0	128	7370	有已分配证据；仍须结合待分配量
优	you	4468	0	46	4514	有已分配证据；仍须结合待分配量
伙	huo	37184	0	453	37637	有已分配证据；仍须结合待分配量
会	hui	319842	265581	833	321488	有已分配证据；仍须结合待分配量
会	kuai	813	348	833	321488	有已分配证据；仍须结合待分配量
伛	yu	1	0	0	1	有已分配证据；仍须结合待分配量
伞	san	768	0	0	768	有已分配证据；仍须结合待分配量
伟	wei	2965	0	20	2985	有已分配证据；仍须结合待分配量
传	chuan	12494	2097	264	13084	有已分配证据；仍须结合待分配量
传	zhuan	326	36	264	13084	有已分配证据；仍须结合待分配量
伢	ya	0	0	0	0	未观测到分配证据；不等于实际零频
伣	qian	0	0	0	0	未观测到分配证据；不等于实际零频
伤	shang	22145	0	2	22147	有已分配证据；仍须结合待分配量
伥	chang	2	0	0	2	有已分配证据；仍须结合待分配量
伦	lun	6740	0	1164	7904	有已分配证据；仍须结合待分配量
伧	cang	0	0	0	0	未观测到分配证据；不等于实际零频
伪	wei	1821	0	0	1821	有已分配证据；仍须结合待分配量
伫	zhu	5	0	0	5	有已分配证据；仍须结合待分配量
伭	xian	0	0	0	0	未观测到分配证据；不等于实际零频
伯	bai	0	0	3473	6525	未观测到分配证据；不等于实际零频
伯	bo	3052	468	3473	6525	有已分配证据；仍须结合待分配量
估	gu	2855	0	7	2862	有已分配证据；仍须结合待分配量
伲	ni	0	0	0	0	未观测到分配证据；不等于实际零频
伴	ban	4854	0	0	4854	有已分配证据；仍须结合待分配量
伶	ling	168	0	1	169	有已分配证据；仍须结合待分配量
伸	shen	1794	0	0	1794	有已分配证据；仍须结合待分配量
伺	ci	138	0	9	198	有已分配证据；仍须结合待分配量
伺	si	51	0	9	198	有已分配证据；仍须结合待分配量
似	shi	0	0	2054	7493	未观测到分配证据；不等于实际零频
似	si	5439	0	2054	7493	有已分配证据；仍须结合待分配量
伽	ga	17	0	333	382	有已分配证据；仍须结合待分配量
伽	jia	32	0	333	382	有已分配证据；仍须结合待分配量
伽	qie	0	0	333	382	未观测到分配证据；不等于实际零频
伾	pi	0	0	0	0	未观测到分配证据；不等于实际零频
佁	yi	0	0	0	0	未观测到分配证据；不等于实际零频
佃	dian	12	4	4	16	有已分配证据；仍须结合待分配量
但	dan	122205	0	31	122236	有已分配证据；仍须结合待分配量
位	wei	31342	0	85	31427	有已分配证据；仍须结合待分配量
低	di	5193	0	56	5249	有已分配证据；仍须结合待分配量
住	zhu	38461	0	21	38482	有已分配证据；仍须结合待分配量
佐	zuo	930	0	99	1029	有已分配证据；仍须结合待分配量
佑	you	1409	0	78	1487	有已分配证据；仍须结合待分配量
体	ti	26551	0	40	26591	有已分配证据；仍须结合待分配量
何	he	37952	0	35	37987	有已分配证据；仍须结合待分配量
佖	bi	0	0	0	0	未观测到分配证据；不等于实际零频
佗	tuo	1	0	0	1	有已分配证据；仍须结合待分配量
佘	she	5	0	4	9	有已分配证据；仍须结合待分配量
余	yu	2818	0	1	2819	有已分配证据；仍须结合待分配量
佚	yi	1	0	0	1	有已分配证据；仍须结合待分配量
佛	fo	1791	0	1895	4017	有已分配证据；仍须结合待分配量
佛	fu	331	0	1895	4017	有已分配证据；仍须结合待分配量
作	zuo	68003	0	165	68168	有已分配证据；仍须结合待分配量
佝	gou	5	0	5	10	有已分配证据；仍须结合待分配量
佞	ning	0	0	0	0	未观测到分配证据；不等于实际零频
佟	tong	5	0	0	5	有已分配证据；仍须结合待分配量
你	ni	1444831	0	638	1445469	有已分配证据；仍须结合待分配量
佣	yong	1049	0	0	1049	有已分配证据；仍须结合待分配量
佤	wa	0	0	0	0	未观测到分配证据；不等于实际零频
佥	qian	0	0	0	0	未观测到分配证据；不等于实际零频
佩	pei	1969	0	507	2476	有已分配证据；仍须结合待分配量
佬	lao	1465	0	0	1465	有已分配证据；仍须结合待分配量
佯	yang	38	0	2	40	有已分配证据；仍须结合待分配量
佰	bai	14	0	0	14	有已分配证据；仍须结合待分配量
佳	jia	2251	0	58	2309	有已分配证据；仍须结合待分配量
佴	nai	0	0	0	0	未观测到分配证据；不等于实际零频
佶	ji	0	0	0	0	未观测到分配证据；不等于实际零频
佸	huo	0	0	0	0	未观测到分配证据；不等于实际零频
佺	quan	0	0	0	0	未观测到分配证据；不等于实际零频
佻	tiao	30	0	0	30	有已分配证据；仍须结合待分配量
佼	jiao	86	0	0	86	有已分配证据；仍须结合待分配量
佽	ci	0	0	0	0	未观测到分配证据；不等于实际零频
佾	yi	0	0	0	0	未观测到分配证据；不等于实际零频
使	shi	16910	0	3	16913	有已分配证据；仍须结合待分配量
侁	shen	0	0	0	0	未观测到分配证据；不等于实际零频
侂	tuo	0	0	0	0	未观测到分配证据；不等于实际零频
侃	kan	71	0	1	72	有已分配证据；仍须结合待分配量
侄	zhi	785	0	4	789	有已分配证据；仍须结合待分配量
侈	chi	179	0	0	179	有已分配证据；仍须结合待分配量
侉	kua	0	0	0	0	未观测到分配证据；不等于实际零频
例	li	3305	0	4	3309	有已分配证据；仍须结合待分配量
侍	shi	515	0	0	515	有已分配证据；仍须结合待分配量
侏	zhu	256	0	0	256	有已分配证据；仍须结合待分配量
侑	you	0	0	0	0	未观测到分配证据；不等于实际零频
侔	mou	0	0	0	0	未观测到分配证据；不等于实际零频
侗	dong	0	0	0	0	未观测到分配证据；不等于实际零频
侘	cha	0	0	0	0	未观测到分配证据；不等于实际零频
供	gong	5609	0	192	5801	有已分配证据；仍须结合待分配量
依	yi	3592	0	64	3656	有已分配证据；仍须结合待分配量
侠	xia	1166	0	30	1196	有已分配证据；仍须结合待分配量
侣	lv	886	0	0	886	有已分配证据；仍须结合待分配量
侥	jiao	126	0	0	126	有已分配证据；仍须结合待分配量
侥	yao	0	0	0	126	未观测到分配证据；不等于实际零频
侦	zhen	2531	0	5	2536	有已分配证据；仍须结合待分配量
侧	ce	1401	651	10	1411	有已分配证据；仍须结合待分配量
侨	qiao	15	0	0	15	有已分配证据；仍须结合待分配量
侩	kuai	17	0	0	17	有已分配证据；仍须结合待分配量
侪	chai	1	0	0	1	有已分配证据；仍须结合待分配量
侬	nong	132	0	0	132	有已分配证据；仍须结合待分配量
侮	wu	752	0	0	752	有已分配证据；仍须结合待分配量
侯	hou	198	0	19	217	有已分配证据；仍须结合待分配量
侴	chou	0	0	0	0	未观测到分配证据；不等于实际零频
侵	qin	2201	0	4	2205	有已分配证据；仍须结合待分配量
侹	ting	0	0	0	0	未观测到分配证据；不等于实际零频
便	bian	12876	2273	79	13982	有已分配证据；仍须结合待分配量
便	pian	1027	107	79	13982	有已分配证据；仍须结合待分配量
促	cu	665	0	5	670	有已分配证据；仍须结合待分配量
俄	e	3011	0	10	3021	有已分配证据；仍须结合待分配量
俅	qiu	0	0	0	0	未观测到分配证据；不等于实际零频
俊	jun	598	82	329	927	有已分配证据；仍须结合待分配量
俍	liang	0	0	0	0	未观测到分配证据；不等于实际零频
俎	zu	21	0	0	21	有已分配证据；仍须结合待分配量
俏	qiao	188	0	0	188	有已分配证据；仍须结合待分配量
俐	li	57	0	0	57	有已分配证据；仍须结合待分配量
俑	yong	58	0	0	58	有已分配证据；仍须结合待分配量
俗	su	1189	0	5	1194	有已分配证据；仍须结合待分配量
俘	fu	465	0	0	465	有已分配证据；仍须结合待分配量
俙	xi	0	0	0	0	未观测到分配证据；不等于实际零频
俚	li	71	0	0	71	有已分配证据；仍须结合待分配量
俜	ping	0	0	0	0	未观测到分配证据；不等于实际零频
保	bao	39579	0	152	39731	有已分配证据；仍须结合待分配量
俞	yu	8	8	40	48	有已分配证据；仍须结合待分配量
俟	qi	0	0	0	0	未观测到分配证据；不等于实际零频
俟	si	0	0	0	0	未观测到分配证据；不等于实际零频
信	xin	57820	0	108	57928	有已分配证据；仍须结合待分配量
俣	yu	1	0	0	1	有已分配证据；仍须结合待分配量
俦	chou	0	0	0	0	未观测到分配证据；不等于实际零频
俨	yan	8	0	0	8	有已分配证据；仍须结合待分配量
俩	lia	9093	9037	12	9251	有已分配证据；仍须结合待分配量
俩	liang	146	0	12	9251	有已分配证据；仍须结合待分配量
俪	li	4	0	0	4	有已分配证据；仍须结合待分配量
俫	lai	0	0	0	0	未观测到分配证据；不等于实际零频
俭	jian	43	0	0	43	有已分配证据；仍须结合待分配量
修	xiu	7655	0	144	7799	有已分配证据；仍须结合待分配量
俯	fu	304	0	0	304	有已分配证据；仍须结合待分配量
俱	ju	2656	0	0	2656	有已分配证据；仍须结合待分配量
俳	pai	62	0	0	62	有已分配证据；仍须结合待分配量
俵	biao	0	0	1	1	未观测到分配证据；不等于实际零频
俶	chu	0	0	0	0	未观测到分配证据；不等于实际零频
俸	feng	9	0	0	9	有已分配证据；仍须结合待分配量
俺	an	125	0	0	125	有已分配证据；仍须结合待分配量
俾	bi	12	0	1	13	有已分配证据；仍须结合待分配量
倌	guan	12	0	0	12	有已分配证据；仍须结合待分配量
倍	bei	1900	0	0	1900	有已分配证据；仍须结合待分配量
倏	shu	4	0	0	4	有已分配证据；仍须结合待分配量
倒	dao	11809	0	66	11875	有已分配证据；仍须结合待分配量
倓	tan	0	0	0	0	未观测到分配证据；不等于实际零频
倔	jue	79	0	0	79	有已分配证据；仍须结合待分配量
倕	chui	0	0	0	0	未观测到分配证据；不等于实际零频
倘	tang	40	5	2	42	有已分配证据；仍须结合待分配量
候	hou	58337	0	0	58337	有已分配证据；仍须结合待分配量
倚	yi	74	0	11	85	有已分配证据；仍须结合待分配量
倜	ti	7	0	0	7	有已分配证据；仍须结合待分配量
倞	jing	0	0	0	0	未观测到分配证据；不等于实际零频
借	jie	5113	0	0	5113	有已分配证据；仍须结合待分配量
倡	chang	109	0	0	109	有已分配证据；仍须结合待分配量
倥	kong	0	0	0	0	未观测到分配证据；不等于实际零频
倦	juan	937	0	0	937	有已分配证据；仍须结合待分配量
倧	zong	0	0	0	0	未观测到分配证据；不等于实际零频
倨	ju	2	0	0	2	有已分配证据；仍须结合待分配量
倩	qian	76	0	7	83	有已分配证据；仍须结合待分配量
倪	ni	35	0	6	41	有已分配证据；仍须结合待分配量
倬	zhuo	1	0	0	1	有已分配证据；仍须结合待分配量
倭	wo	7	0	0	7	有已分配证据；仍须结合待分配量
倮	luo	0	0	0	0	未观测到分配证据；不等于实际零频
倴	ben	0	0	0	0	未观测到分配证据；不等于实际零频
债	zhai	1179	0	4	1183	有已分配证据；仍须结合待分配量
倻	ye	0	0	0	0	未观测到分配证据；不等于实际零频
值	zhi	7453	0	6	7459	有已分配证据；仍须结合待分配量
倾	qing	1776	0	5	1781	有已分配证据；仍须结合待分配量
偁	cheng	0	0	0	0	未观测到分配证据；不等于实际零频
偃	yan	1	0	0	1	有已分配证据；仍须结合待分配量
假	jia	12808	0	0	12808	有已分配证据；仍须结合待分配量
偈	ji	0	0	0	0	未观测到分配证据；不等于实际零频
偌	ruo	72	0	0	72	有已分配证据；仍须结合待分配量
偎	wei	45	0	0	45	有已分配证据；仍须结合待分配量
偏	pian	2042	0	0	2042	有已分配证据；仍须结合待分配量
偓	wo	0	0	0	0	未观测到分配证据；不等于实际零频
偕	xie	49	0	0	49	有已分配证据；仍须结合待分配量
做	zuo	136316	0	12	136328	有已分配证据；仍须结合待分配量
停	ting	19447	0	117	19564	有已分配证据；仍须结合待分配量
偡	zhan	0	0	0	0	未观测到分配证据；不等于实际零频
健	jian	4140	0	6	4146	有已分配证据；仍须结合待分配量
偬	zong	0	0	0	0	未观测到分配证据；不等于实际零频
偭	mian	0	0	0	0	未观测到分配证据；不等于实际零频
偰	xie	0	0	0	0	未观测到分配证据；不等于实际零频
偲	cai	0	0	0	0	未观测到分配证据；不等于实际零频
偶	ou	4480	0	15	4495	有已分配证据；仍须结合待分配量
偷	tou	10567	0	24	10591	有已分配证据；仍须结合待分配量
偻	lou	0	0	5	5	未观测到分配证据；不等于实际零频
偻	lv	0	0	5	5	未观测到分配证据；不等于实际零频
偾	fen	0	0	0	0	未观测到分配证据；不等于实际零频
