行号	词	词频	原拼音	辅助拼音	词典读音	简单鹤	鲸凉鹤	采用	依据	问题
2546	艾	926	ai4/yi4	ai	ai4 | yi4			待分配	孤立多音字无语境；待分配	
2625	熟	891	shou2/shu2	shu	shou2 | shu2			待分配	孤立多音字无语境；待分配	
2732	军	850	Jun-01	jun	jun1			待分配	孤立多音字无语境；待分配	
2767	调查局	836	diao4/tiao2 cha2/zha1 ju2	diaochaju				待分配	证据不足或仍冲突；待分配	
2786	比如说	828	bi3 ru2 shui4/shuo1/yue4	birushuo				待分配	证据不足或仍冲突；待分配	
2952	石	762	dan4/shi2	shi	dan4 | shi2			待分配	孤立多音字无语境；待分配	
3003	郡	743	Jun-04	jun	jun4			待分配	孤立多音字无语境；待分配	
3013	粘	740	nian2/zhan1	zhan	nian2 | zhan1			待分配	孤立多音字无语境；待分配	
3062	兹	725	ci2/zi1	zi	ci2 | zi1			待分配	孤立多音字无语境；待分配	
3240	仔	670	zai3/zi1/zi3	zi	zai3 | zi3			待分配	孤立多音字无语境；待分配	
3292	扎	656	za1/zha1/zha2	zha	za1 | zha1 | zha2			待分配	孤立多音字无语境；待分配	
3363	你	638	#	ni	ni3			待分配	孤立多音字无语境；待分配	
3459	啰	616	#	luo	luo1 | luo2 | luo5			待分配	孤立多音字无语境；待分配	
3505	小小的	601	xiao3 xiao3 de5/di2/di4	xiaoxiaode				待分配	证据不足或仍冲突；待分配	
3544	莎	595	sha1/suo1	sha	sha1 | suo1			待分配	孤立多音字无语境；待分配	
3566	一百万	590	yi1 bai3/bo2 mo4/wan4	yibaiwan				待分配	证据不足或仍冲突；待分配	
3656	後	573	hou4	hou	hou4			待分配	证据不足或仍冲突；待分配	
3775	扁	549	bian3/pian1	bian	bian3 | pian1			待分配	孤立多音字无语境；待分配	
3803	说了算	544	shui4/shuo1/yue4 le5/liao3/liao4 suan4	shuoliaosuan				待分配	证据不足或仍冲突；待分配	
3805	非得	544	fei1 de2/de5/dei3	feidei	fei1 dei3	fei de | fei dei	fei de | fei dei	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
3891	一模一样	528	yi1 mo2 yi1 yang4	yimoyiyang	yi1 mu2 yi1 yang4			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
3926	抹	521	ma1/mo3/mo4	mo	ma1 | mo3 | mo4			待分配	孤立多音字无语境；待分配	
4020	摩	508	ma1/mo2	mo	ma1 | mo2			待分配	孤立多音字无语境；待分配	
4058	君	499	Jun-01	jun	jun1			待分配	孤立多音字无语境；待分配	
4454	佛	436	fo2/fu2	fo	fo2 | fu2			待分配	孤立多音字无语境；待分配	
4464	幢	435	chuang2/zhuang4	chuang	chuang2 | zhuang4			待分配	孤立多音字无语境；待分配	
4527	老家伙	427	lao3 jia1/jia5/jie5 huo3	laojiahuo				待分配	证据不足或仍冲突；待分配	
4555	颈	424	geng3/jing3	jing	geng3 | jing3			待分配	孤立多音字无语境；待分配	
4580	咋	419	za3/ze2/zha1/zha4	zha	za3 | ze2 | zha1			待分配	孤立多音字无语境；待分配	
4601	核	417	he2/hu2	he	he2 | hu2			待分配	孤立多音字无语境；待分配	
4822	嚼	389	jiao2/jiao4/jue2	jiao	jiao2 | jiao4 | jue2			待分配	孤立多音字无语境；待分配	
4856	宿	385	su4/xiu3/xiu4	su	su4 | xiu3 | xiu4			待分配	孤立多音字无语境；待分配	
5069	不得	360	bu4 de2	bude	bu4 dei3	bu de | bu dei	bu de | bu dei	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
5459	剥	324	bao1/bo1	bao	bao1 | bo1			待分配	孤立多音字无语境；待分配	
5518	堡	319	bao3/bu3/pu3/pu4	bao	bao3 | bu3 | pu4			待分配	孤立多音字无语境；待分配	
5568	朴	315	piao2/po1/po4/pu3	pu	piao2 | po4 | pu3			待分配	孤立多音字无语境；待分配	
5625	查克	311	cha2/zha1 ke4	chake				待分配	证据不足或仍冲突；待分配	
5747	祭	300	ji4/zhai4	ji	ji4 | zhai4			待分配	孤立多音字无语境；待分配	
5885	氏	289	shi4/zhi1	shi	shi4 | zhi1			待分配	孤立多音字无语境；待分配	
5912	吉娜	287	ji2 na4/nuo2	jina				待分配	证据不足或仍冲突；待分配	
5936	艾美	286	ai4/yi4 mei3	aimei				待分配	证据不足或仍冲突；待分配	
5990	诶	283	ei2/ei3/ei4	ai	ei2			待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
5991	走着瞧	283	zou3 zhe5 qiao2	zouzhuoqiao				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
5993	靓	283	jing4/liang4	liang	jing4 | liang4			待分配	孤立多音字无语境；待分配	
6012	音乐剧	282	yin1 le4/yue4 ju4	yinleju				待分配	证据不足或仍冲突；待分配	
6107	茜	274	qian4/xi1	xi	qian4 | xi1			待分配	孤立多音字无语境；待分配	
6109	贾	274	gu3/jia3	jia	gu3 | jia3			待分配	孤立多音字无语境；待分配	
6190	番	269	fan1/pan1	fan	fan1 | pan1			待分配	孤立多音字无语境；待分配	
6198	伽	268	ga1/jia1/qia1/qie2	jia	ga1 | jia1 | qie2			待分配	孤立多音字无语境；待分配	
6206	杰克·鲍尔	268	jie2 ke4 #bao4 er3	jiekebaoer				待分配	证据不足或仍冲突；待分配	
6757	柏	237	bai3/bo2/bo4	bai	bai3 | bo2			待分配	孤立多音字无语境；待分配	
6824	艾莉	234	ai4/yi4 li4	aili				待分配	证据不足或仍冲突；待分配	
6856	贝卡	232	bei4 ka3/qia3	beika				待分配	证据不足或仍冲突；待分配	
6911	咳	229	hai1/ke2	ke	hai1 | ke2			待分配	孤立多音字无语境；待分配	
6961	畜	227	chu4/xu4	xu	chu4 | xu4			待分配	孤立多音字无语境；待分配	
6963	似	226	shi4/si4	si	shi4 | si4			待分配	孤立多音字无语境；待分配	
6971	杉	226	sha1/shan1	shan	sha1 | shan1			待分配	孤立多音字无语境；待分配	
6985	几百万	225	ji1/ji3 bai3/bo2 mo4/wan4	jibaiwan				待分配	证据不足或仍冲突；待分配	
7098	找乐	220	zhao3 le4/yue4	zhaole				待分配	证据不足或仍冲突；待分配	
7126	罗伯	219	luo1/luo2/luo5 bai3/bo2	luobo				待分配	证据不足或仍冲突；待分配	
7128	贾斯汀	219	gu3/jia3 si1 ting1	jiasiting				待分配	证据不足或仍冲突；待分配	
7375	南茜	206	na1/nan2 qian4/xi1	nanxi				待分配	证据不足或仍冲突；待分配	
7492	加把劲	201	jia1 ba3/ba4 jin4/jing4	jiabajin				待分配	证据不足或仍冲突；待分配	
7536	爪	200	zhao3/zhua3	zhua	zhao3 | zhua3			待分配	孤立多音字无语境；待分配	
7562	虐	199	nue:4	nue	nve4			待分配	孤立多音字无语境；待分配	
7656	壳	194	ke2/qiao4	ke	ke2 | qiao4			待分配	孤立多音字无语境；待分配	
7669	略	194	lue:4	lue	lve4			待分配	孤立多音字无语境；待分配	
7762	唐娜	189	tang2 na4/nuo2	tangna				待分配	证据不足或仍冲突；待分配	
7814	动脉瘤	187	dong4 mai4/mo4 liu2	dongmailiu				待分配	证据不足或仍冲突；待分配	
7816	同行	187	tong2 xing2	tongxing	tong2 hang2	tong hang | tong xing	tong hang | tong xing	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
7857	家里人	186	jia1/jia5/jie5 li3 ren2	jialiren				待分配	证据不足或仍冲突；待分配	
7895	约翰尼	185	yao1/yue1 han4 ni2	yuehanni				待分配	证据不足或仍冲突；待分配	
7906	仇	184	chou2/qiu2	chou	chou2 | qiu2			待分配	孤立多音字无语境；待分配	
7953	供给	182	gong1 ji3	gongji	gong1 ji3	gong gei	gong gei | gong ji	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	不能仅靠两鹤一致覆盖另一组一致证据
7960	大个子	182	da4/dai4 ge3/ge4 zi3	dagezi				待分配	证据不足或仍冲突；待分配	
7970	洗洗	182	xi3/xian3 xi3/xian3	xixi				待分配	证据不足或仍冲突；待分配	
8093	重重	178	chong2 chong2	chongchong	zhong4 zhong4	chong chong | zhong zhong	chong chong | zhong zhong	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
8107	强奸犯	177	jiang4/qiang2/qiang3 jian1 fan4	qiangjianfan				待分配	证据不足或仍冲突；待分配	
8127	就是了	176	jiu4 shi4 le5/liao3/liao4	jiushiliao				待分配	证据不足或仍冲突；待分配	
8156	汤尼	175	shang1/tang1 ni2	tangni				待分配	证据不足或仍冲突；待分配	
8244	扒	172	ba1/pa1/pa2	ba	ba1 | pa2			待分配	孤立多音字无语境；待分配	
8252	艾米莉	172	ai4/yi4 mi3 li4	aimili				待分配	证据不足或仍冲突；待分配	
8258	铅	172	qian1/yan2	qian	qian1 | yan2			待分配	孤立多音字无语境；待分配	
8485	塞勒	164	sai1/sai4/se4 le4/lei1	saile				待分配	证据不足或仍冲突；待分配	
8522	削	163	xiao1/xue1	xiao	xiao1 | xue1			待分配	孤立多音字无语境；待分配	
8613	伊莎贝尔	160	yi1 sha1/suo1 bei4 er3	yishabeier				待分配	证据不足或仍冲突；待分配	
8614	佛罗多	160	fo2/fu2 luo1/luo2/luo5 duo1	foluoduo				待分配	证据不足或仍冲突；待分配	
8663	扛	159	gang1/kang2	kang	gang1 | kang2			待分配	孤立多音字无语境；待分配	
8683	上百万	158	shang3/shang4 bai3/bo2 mo4/wan4	shangbaiwan				待分配	证据不足或仍冲突；待分配	
8712	臂	158	bei5/bi4	bi	bei5 | bi4			待分配	孤立多音字无语境；待分配	
8718	逮捕令	158	dai3/dai4 bu3 ling2/ling3/ling4	daiboling				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
8731	家门口	157	jia1/jia5/jie5 men2 kou3	jiamenkou				待分配	证据不足或仍冲突；待分配	
8741	艾伯特	157	ai4/yi4 bai3/bo2 te4	aibote				待分配	证据不足或仍冲突；待分配	
8776	读读	156	dou4/du2 dou4/du2	dudu				待分配	证据不足或仍冲突；待分配	
8919	腌	152	a1/yan1	yan	a1 | yan1			待分配	孤立多音字无语境；待分配	
8957	里奇	151	li3 ji1/qi2	liqi				待分配	证据不足或仍冲突；待分配	
9007	龟	150	gui1/jun1/qiu1	gui	gui1 | jun1 | qiu1			待分配	孤立多音字无语境；待分配	
9027	明了	149	ming2 liao3	mingliao	ming2 le5	ming le | ming liao	ming le | ming liao	待分配	参考异读无法消歧；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾；两份参考不能唯一确定
9028	检查官	149	jian3 cha2/zha1 guan1	jianchaguan				待分配	证据不足或仍冲突；待分配	
9029	泊	149	bo2/po1	bo	bo2 | po1			待分配	孤立多音字无语境；待分配	
9114	巴尔的摩	146	Ba1 er3 di4 mo2	baerdemo				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
9202	救生员	144	jiu4 sheng1 yuan2/yun2/yun4	jiushengyuan				待分配	证据不足或仍冲突；待分配	
9300	乔安娜	141	qiao2 an1 na4/nuo2	qiaoanna				待分配	证据不足或仍冲突；待分配	
9305	卜	141	bo5/bu3	bo	bo5 | bu3			待分配	孤立多音字无语境；待分配	
9349	克雷塞	140	ke4 lei2 sai1/sai4/se4	keleisai				待分配	证据不足或仍冲突；待分配	
9559	珍娜	136	zhen1 na4/nuo2	zhenna				待分配	证据不足或仍冲突；待分配	
9574	不用说	135	bu2/bu4 yong4 shui4/shuo1/yue4	buyongshuo				待分配	证据不足或仍冲突；待分配	
9575	丽塔	135	li2/li4 da5/ta3	lita				待分配	证据不足或仍冲突；待分配	
9624	执行官	134	zhi2 hang2/hang4/heng2/xing2 guan1	zhixingguan				待分配	证据不足或仍冲突；待分配	
9636	纳杉	134	na4 sha1/shan1	nashan				待分配	证据不足或仍冲突；待分配	
9676	杰西卡	133	jie2 xi1 ka3/qia3	jiexika				待分配	证据不足或仍冲突；待分配	
9703	匙	132	chi2/shi5	chi	chi2 | shi5			待分配	孤立多音字无语境；待分配	
9739	调出	132	diao4/tiao2 chu1	diaochu	diao4 chu1	diao chu | tiao chu	diao chu | tiao chu	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
9781	艾米丽	131	ai4/yi4 mi3 li2/li4	aimili				待分配	证据不足或仍冲突；待分配	
9806	坏主意	130	huai4/pi1 zhu3 yi4	huaizhuyi				待分配	证据不足或仍冲突；待分配	
9838	麦卡锡	130	mai4 ka3/qia3 xi1	maikaxi				待分配	证据不足或仍冲突；待分配	
9915	阿尔梅达	128	a1/a5/e1 er3 mei2 da2	aermeida				待分配	证据不足或仍冲突；待分配	
9957	藉	127	ji2/jie4	jie	ji2 | jie4			待分配	孤立多音字无语境；待分配	
10068	伯特	124	bai3/bo2 te4	bote				待分配	证据不足或仍冲突；待分配	
10079	大王	124	da4/dai4 wang2/wang4	dawang	dai4 wang2	da wang | dai wang	da wang | dai wang	待分配	参考异读无法消歧；待分配	整词词典与辅助拼音矛盾；两份参考不能唯一确定
10126	乔什	123	qiao2 shen2/shi2	qiaoshi				待分配	证据不足或仍冲突；待分配	
10159	硫磺	123	liu2 huang2	liuhuang	liu2 huang2			待分配	证据不足或仍冲突；待分配	
10184	咽	122	yan1/yan4/ye4	yan	yan1 | yan4 | ye4			待分配	孤立多音字无语境；待分配	
10186	奥兹	122	ao4 ci2/zi1	aozi				待分配	证据不足或仍冲突；待分配	
10258	萨曼莎	121	sa4 man4 sha1/suo1	samansha				待分配	证据不足或仍冲突；待分配	
10264	鲍伯	121	bao4 bai3/bo2	baobo				待分配	证据不足或仍冲突；待分配	
10344	攒	119	cuan2/zan3	zan	cuan2 | zan3			待分配	孤立多音字无语境；待分配	
10395	搅和	118	jiao3 huo5	jiaohe	jiao3 huo5	jiao he	jiao he | jiao huo	待分配	两鹤与原始音节、Chai相互矛盾；待裁决	原始两拼音字段矛盾；整词词典与辅助拼音矛盾；不能仅靠两鹤一致覆盖另一组一致证据
10475	嘿嘿嘿	116	hai1/hei1/mo4 hai1/hei1/mo4 hai1/hei1/mo4	heiheihei				待分配	证据不足或仍冲突；待分配	
10478	巷	116	hang4/xiang4	xiang	hang4 | xiang4			待分配	孤立多音字无语境；待分配	
10479	布伦南	116	bu4 lun2 na1/nan2	bulunnan				待分配	证据不足或仍冲突；待分配	
10531	合众国	115	ge3/he2 zhong4 guo2	hezhongguo				待分配	证据不足或仍冲突；待分配	
10691	一派	112	yi1 pa1/pai4	yipai				待分配	证据不足或仍冲突；待分配	
10710	干洗店	112	gan1/gan4 xi3/xian3 dian4	ganxidian				待分配	证据不足或仍冲突；待分配	
10732	络	112	lao4/luo4	luo	lao4 | luo4			待分配	孤立多音字无语境；待分配	
10748	丽贝卡	111	li2/li4 bei4 ka3/qia3	libeika				待分配	证据不足或仍冲突；待分配	
10754	券	111	quan4/xuan4	quan	quan4 | xuan4			待分配	孤立多音字无语境；待分配	
10770	戴维·帕默尔	111	dai4 wei2 #pa4 mo4 er3	daiweipamoer				待分配	证据不足或仍冲突；待分配	
10792	肯塔基	111	ken3 da5/ta3 ji1	kentaji				待分配	证据不足或仍冲突；待分配	
10872	伯纳德	109	bai3/bo2 na4 de2	bonade				待分配	证据不足或仍冲突；待分配	
10907	菲奥娜	109	fei1/fei3 ao4 na4/nuo2	feiaona				待分配	证据不足或仍冲突；待分配	
10947	按摩师	108	an4 ma1/mo2 shi1	anmoshi				待分配	证据不足或仍冲突；待分配	
11007	瑞奇	107	rui4 ji1/qi2	ruiqi				待分配	证据不足或仍冲突；待分配	
11011	盛	107	cheng2/sheng4	sheng	cheng2 | sheng4			待分配	孤立多音字无语境；待分配	
11026	阿诺德	107	a1/a5/e1 nuo4 de2	anuode				待分配	证据不足或仍冲突；待分配	
11029	不如说	106	bu2/bu4 ru2 shui4/shuo1/yue4	burushuo				待分配	证据不足或仍冲突；待分配	
11041	受得了	106	shou4 de2/de5/dei3 le5/liao3/liao4	shoudeliao				待分配	证据不足或仍冲突；待分配	
11042	司法部长	106	si1 fa3 bu4 chang2/zhang3	sifabuchang				待分配	证据不足或仍冲突；待分配	
11093	长长的	106	chang2/zhang3 chang2/zhang3 de5/di2/di4	changchangde				待分配	证据不足或仍冲突；待分配	
11158	飞弹	105	fei1 dan4	feidan		fei dan | fei tan	fei dan | fei tan	待分配	参考异读无法消歧；待分配	两份参考不能唯一确定
11215	菈	104	#	*	la1			待分配	孤立多音字无语境；待分配	
11222	阿纳金	104	a1/a5/e1 na4 jin1	anajin				待分配	证据不足或仍冲突；待分配	
11256	搜查证	103	sou1 cha2/zha1 zheng4	souchazheng				待分配	证据不足或仍冲突；待分配	
11338	熨	102	yu4/yun4	yun	yu4 | yun4			待分配	孤立多音字无语境；待分配	
11381	叨	101	dao1/dao2/tao1	dao	dao1 | dao2 | tao1			待分配	孤立多音字无语境；待分配	
11385	土着	101	tu3 zhu4	tuzhu				待分配	证据不足或仍冲突；待分配	
11423	薄荷糖	101	bao2/bo2/bo4 he2/he4 tang2	baohetang				待分配	证据不足或仍冲突；待分配	
11464	斯塔克伍德	100	si1 da5/ta3 ke4 wu3 de2	sitakewude				待分配	证据不足或仍冲突；待分配	
11484	约瑟芬	100	yao1/yue1 se4 fen1	yuesefen				待分配	证据不足或仍冲突；待分配	
11490	臭名昭着	100	chou4 ming2 zhao1 zhu4	choumingzhaozhu				待分配	证据不足或仍冲突；待分配	
11500	钥	100	yao4/yue4	yue	yao4 | yue4			待分配	孤立多音字无语境；待分配	
11547	白血病	99	bai2 xue4 bing4	baixuebing	bai2 xie3 bing4			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
11570	银行家	99	yin2 hang2 jia1	yinxingjia				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
11579	卡拉狄加	98	ka3/qia3 la1/la2/la3/la4 di2 jia1	kaladijia				待分配	证据不足或仍冲突；待分配	
11654	尼娜	97	ni2 na4/nuo2	nina				待分配	证据不足或仍冲突；待分配	
11680	盖尤斯	97	gai4/ge3 you2 si1	gaiyousi				待分配	证据不足或仍冲突；待分配	
11689	艾德	97	ai4/yi4 de2	aide				待分配	证据不足或仍冲突；待分配	
11728	娜蒂娅	96	na4/nuo2 di4 ya4	nadiya				待分配	证据不足或仍冲突；待分配	
11765	艾丽	96	ai4/yi4 li2/li4	aili				待分配	证据不足或仍冲突；待分配	
11811	希腊人	95	xi1 la4/xi1 ren2	xilaren				待分配	证据不足或仍冲突；待分配	
11835	温斯顿	95	wen1 si1 du2/dun4	wensidun				待分配	证据不足或仍冲突；待分配	
11864	伊莲娜	94	yi1 lian2 na4/nuo2	yilianna				待分配	证据不足或仍冲突；待分配	
11964	戴茜	93	dai4 qian4/xi1	daixi				待分配	证据不足或仍冲突；待分配	
12014	三百万	92	san1 bai3/bo2 mo4/wan4	sanbaiwan				待分配	证据不足或仍冲突；待分配	
12024	卡莱尔	92	ka3/qia3 lai2 er3	kalaier				待分配	证据不足或仍冲突；待分配	
12039	屋大维	92	wu1 da4/dai4 wei2	wudawei				待分配	证据不足或仍冲突；待分配	
12085	阿基	92	a1/a5/e1 ji1	aji				待分配	证据不足或仍冲突；待分配	
12211	桔子	90	ju2 zi5	jiezi	ju2 zi3			待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾；整词词典与辅助拼音矛盾
12228	脚趾头	90	jia3/jiao3/jue2 zhi3 tou2	jiaozhitou				待分配	证据不足或仍冲突；待分配	
12291	艾瑞克	89	ai4/yi4 rui4 ke4	airuike				待分配	证据不足或仍冲突；待分配	
12323	兜圈子	88	dou1 juan1/juan4/quan1 zi3	douquanzi				待分配	证据不足或仍冲突；待分配	
12382	红帽	88	gong1/hong2 mao4	hongmao				待分配	证据不足或仍冲突；待分配	
12456	着作	87	zhu4 zuo4	zhuzuo				待分配	证据不足或仍冲突；待分配	
12483	内出血	86	nei4 chu1 xie3	neichuxue				待分配	证据不足或仍冲突；待分配	原始两拼音字段矛盾
12500	布兰顿	86	bu4 lan2 du2/dun4	bulandun				待分配	证据不足或仍冲突；待分配	
12527	烧着	86	shao1 zhao1/zhao2/zhe5/zhuo2	shaozhuo	shao1 zhe5	shao zhao | shao zhe	shao zhao | shao zhe	待分配	参考异读无法消歧；待分配	整词词典与辅助拼音矛盾；两份参考不能唯一确定
12542	艾莉丝	86	ai4/yi4 li4 si1	ailisi				待分配	证据不足或仍冲突；待分配	
12635	防弹衣	85	fang2 dan4/tan2 yi1/yi3/yi4	fangdanyi				待分配	证据不足或仍冲突；待分配	
12741	马提尼	84	ma3 di1/ti2 ni2	matini				待分配	证据不足或仍冲突；待分配	
12764	哪门子	83	na3/na5/nai3/ne2/nei3 men2 zi3	namenzi				待分配	证据不足或仍冲突；待分配	
12830	円	82	#	*	yuan2			待分配	孤立多音字无语境；待分配	
12837	卡默洛特	82	ka3/qia3 mo4 luo4 te4	kamoluote				待分配	证据不足或仍冲突；待分配	
12916	大白天	81	da4/dai4 bai2 tian1	dabaitian				待分配	证据不足或仍冲突；待分配	
12943	比尔·布坎南	81	bi3 er3 #bu4 kan3 na1/nan2	bier*bukannan				待分配	证据不足或仍冲突；待分配	辅助拼音不可唯一核验
13005	卡哈纳	80	ka3/qia3 ha1/ha3/ha4 na4	kahana				待分配	证据不足或仍冲突；待分配	
13029	择	80	ze2/zhai2	ze	ze2 | zhai2			待分配	孤立多音字无语境；待分配	
13033	显着	80	xian3 zhu4	xianzhu				待分配	证据不足或仍冲突；待分配	
13097	停车位	79	ting2 che1/ju1 wei4	tingchewei				待分配	证据不足或仍冲突；待分配	
13106	卡莉	79	ka3/qia3 li4	kali				待分配	证据不足或仍冲突；待分配	
13128	摩西德	79	ma1/mo2 xi1 de2	moxide				待分配	证据不足或仍冲突；待分配	
13143	深思熟虑	79	shen1 si1 shu2 lu:4	shensishulv	shen1 si1 shou2 lv4			待分配	证据不足或仍冲突；待分配	整词词典与原始拼音矛盾；整词词典与辅助拼音矛盾
13168	贾巴	79	gu3/jia3 ba1	jiaba				待分配	证据不足或仍冲突；待分配	
13276	阿奇	78	a1/a5/e1 ji1/qi2	aqi				待分配	证据不足或仍冲突；待分配	
13303	卡洛琳	77	ka3/qia3 luo4 lin2	kaluolin				待分配	证据不足或仍冲突；待分配	
13309	呣	77	#	*	m2 | m4			待分配	孤立多音字无语境；待分配	
13316	大韩	77	da4/dai4 han2	dahan				待分配	证据不足或仍冲突；待分配	
13375	艾力	77	ai4/yi4 li4	aili				待分配	证据不足或仍冲突；待分配	
13376	莎莉	77	sha1/suo1 li4	shali				待分配	证据不足或仍冲突；待分配	
13407	凯纳斯顿	76	kai3 na4 si1 du2/dun4	kainasidun				待分配	证据不足或仍冲突；待分配	
13459	艾莉森	76	ai4/yi4 li4 sen1	ailisen				待分配	证据不足或仍冲突；待分配	
13462	解毒剂	76	jie3/jie4/xie4 du2 ji4	jieduji				待分配	证据不足或仍冲突；待分配	
13499	卡丽	75	ka3/qia3 li2/li4	kali				待分配	证据不足或仍冲突；待分配	
13532	栅	75	shan1/zha4	zha	shan1 | zha4			待分配	孤立多音字无语境；待分配	
13568	贝茜	75	bei4 qian4/xi1	beixi				待分配	证据不足或仍冲突；待分配	
13587	霍奇	75	huo4 ji1/qi2	huoqi				待分配	证据不足或仍冲突；待分配	
13600	五十万	74	wu3 shi2 mo4/wan4	wushiwan				待分配	证据不足或仍冲突；待分配	
13640	掠	74	lue:3/lue:4	lue	lve4			待分配	孤立多音字无语境；待分配	
13657	汉普顿	74	han4 pu3 du2/dun4	hanpudun				待分配	证据不足或仍冲突；待分配	
13684	艾文	74	ai4/yi4 wen2	aiwen				待分配	证据不足或仍冲突；待分配	
13696	调查组	74	diao4/tiao2 cha2/zha1 zu3	diaochazu				待分配	证据不足或仍冲突；待分配	
13702	辛辛那提	74	xin1 xin1 na1/na3/na4/nei4 di1/ti2	xinxinnati				待分配	证据不足或仍冲突；待分配	
13763	洛佩兹	73	luo4 pei4 ci2/zi1	luopeizi				待分配	证据不足或仍冲突；待分配	
13793	艾尔文	73	ai4/yi4 er3 wen2	aierwen				待分配	证据不足或仍冲突；待分配	
13836	卡萨诺瓦	72	ka3/qia3 sa4 nuo4 wa3/wa4	kasanuowa				待分配	证据不足或仍冲突；待分配	
13877	摩甘娜	72	ma1/mo2 gan1 na4/nuo2	moganna				待分配	证据不足或仍冲突；待分配	
13910	艾撒	72	ai4/yi4 sa1/sa3	aisa				待分配	证据不足或仍冲突；待分配	
13978	屌	71	#	diao	diao3			待分配	孤立多音字无语境；待分配	
14029	运钞车	71	yun4 chao1 che1/ju1	yunchaoche				待分配	证据不足或仍冲突；待分配	
14044	高高的	71	gao1 gao1 de5/di2/di4	gaogaode				待分配	证据不足或仍冲突；待分配	
14063	卡立多	70	ka3/qia3 li4 duo1	kaliduo				待分配	证据不足或仍冲突；待分配	
