啊啊啊啊	aaaa
安非他命	aftm
安非他明	aftm
安分守己	afuj
安份守己	afuj
按方抓药	afvy
安分知足	afvz
案发现场	afxi
安富尊荣	afzr
阿哥阿妹	agam
爱国将领	agjl
挨个击破	agjp
爱国精神	agju
爱国敬业诚信友善	agju
爱岗敬业	agjy
爱国教育	agjy
爱国基因	agjy
爱国力量	agll
爱国侨胞	agqb
爱国青年	agqn
爱国热情	agrq
爱国人士	agru
爱狗人士	agru
奥古斯都	agsd
奥古斯丁	agsd
爱国同胞	agtb
爱国统一战线	agtx
爱国守法	aguf
爱国诗人	agur
熬更守夜	aguy
阿甘正传	agvi
爱国志士	agvu
爱国主义精神	agvu
爱国之心	agvx
爱国阵线	agvx
爱国主义	agvy
爱国卫生	agwu
爱管闲事	agxu
爱国运动	agyd
爱国营销	agyx
昂昂	ahah
啊哈啊哈	ahah
哀鸿遍地	ahbd
哀鸿遍野	ahby
懊悔不已	ahby
安魂定魄	ahdp
爱护动物	ahdw
爱好广泛	ahgf
哀毁骨立	ahgl
昂贵	ahgv
爱护公物	ahgw
爱好和平	ahhp
爱恨交加	ahjj
爱恨交织	ahjv
昂立	ahli
暗黑模式	ahmu
昂起	ahqi
爱恨情仇	ahqi
爱恨情缘	ahqy
昂热	ahre
安好如初	ahri
昂日	ahri
盎然	ahrj
盎撒	ahsa
盎司	ahsi
昂头	ahtz
昂视	ahui
昂首	ahuz
昂着	ahve
昂志	ahvi
爱护植物	ahvw
昂扬	ahyh
肮脏	ahzh
矮矮	aiai
哎哎	aiai
唉唉	aiai
爱爱	aiai
爱吧	aiba
爱帮	aibh
艾比	aibi
爱吃不吃	aibi
癌病	aibk
爱兵	aibk
癌变	aibm
爱表	aibn
爱博	aibo
爱播	aibo
爱步	aibu
爱贝	aibw
艾草	aicc
爱才	aicd
爱财	aicd
爱错	aico
挨打	aida
哀悼	aidc
爱戴	aidd
爱得	aide
矮凳	aidg
爱党	aidh
艾迪	aidi
爱迪	aidi
哀吊	aidn
爱丢	aidq
挨冻	aids
爱动	aids
爱赌	aidu
爱对	aidv
矮墩	aidy
爱豆	aidz
挨斗	aidz
挨饿	aiee
艾尔	aier
挨罚	aifa
爱出风头	aift
爱抚	aifu
嗳腐	aifu
爱妃	aifw
哀告	aigc
爱搞	aigc
熬肠刮肚	aigd
挨个	aige
哀歌	aige
爱跟	aigf
爱岗	aigh
爱干	aigj
爱逛	aigl
爱国	aigo
爱过	aigo
挨过	aigo
爱管	aigr
矮柜	aigv
爱给	aigw
爱狗	aigz
爱好	aihc
哀嚎	aihc
哀号	aihc
艾蒿	aihc
哎嗨	aihd
爱河	aihe
爱喝	aihe
爱恨	aihf
碍航	aihh
爱坏	aihk
AI换脸	aihl
爱火	aiho
爱换	aihr
哀唤	aihr
哀鸿	aihs
爱哄	aihs
爱护	aihu
哎嘿	aihw
唉嘿	aihw
爱花	aihx
爱华	aihx
瑷珲	aihy
爱巢	aiic
爱车	aiie
艾辰	aiif
爱称	aiig
爱唱	aiih
爱吃	aiii
哀怆	aiil
爱创	aiil
爱穿	aiir
爱宠	aiis
安常处顺	aiiu
哀愁	aiiz
挨近	aijb
哀矜	aijb
埃及	aiji
爱机	aiji
爱敬	aijk
艾敬	aijk
爱将	aijl
爱酱	aijl
挨肩	aijm
哀叫	aijn
矮脚	aijn
爱叫	aijn
挨浇	aijn
娭毑	aijp
爱借	aijp
艾灸	aijq
艾卷	aijr
隘窘	aijs
艾爵	aijt
爱菊	aiju
哀家	aijx
爱家	aijx
爱军	aijy
艾克	aike
爱看	aikj
矮款	aikr
爱哭	aiku
哀苦	aiku
隘口	aikz
艾拉	aila
艾琳	ailb
爱来	aild
挨了	aile
爱了	aile
矮了	aile
爱郎	ailh
爱恋	ailm
爱怜	ailm
爱聊	ailn
癌瘤	ailq
按常理来说	ailu
爱撸	ailu
爱吃零食	ailu
爱侣	ailv
艾伦	aily
挨骂	aima
艾玛	aima
爱民	aimb
爱猫	aimc
爱买	aimd
爱么	aime
挨门	aimf
爱梦	aimg
艾蒙	aimg
艾米	aimi
艾曼	aimj
哀鸣	aimk
爱明	aimk
爱面	aimm
爱苗	aimn
哀默	aimo
癌魔	aimo
爱慕	aimu
暧昧	aimw
爱美	aimw
爱您	ainb
爱闹	ainc
欸乃	aind
爱你	aini
碍难	ainj
爱宁	aink
爱念	ainm
爱鸟	ainn
挨虐	aint
爱奴	ainu
爱女	ainv
爱拼	aipb
挨炮	aipc
爱跑	aipc
爱拍	aipd
艾蓬	aipg
矮胖	aiph
挨批	aipi
爱平	aipk
爱评	aipk
安车蒲轮	aipl
挨骗	aipm
爱泼	aipo
爱普	aipu
癌胚	aipw
爱妻	aiqi
哀戚	aiqi
嗳气	aiqi
哀泣	aiqi
爱情	aiqk
爱卿	aiqk
艾青	aiqk
矮墙	aiql
爱钱	aiqm
哀切	aiqp
爱妾	aiqp
哀求	aiqq
爱犬	aiqr
艾热	aire
爱人	airf
矮人	airf
爱让	airh
爱日	airi
蔼然	airj
爱染	airj
艾绒	airs
哀荣	airs
爱如	airu
艾瑞	airv
爱死	aisi
哀思	aisi
艾斯	aisi
爱散	aisj
爱松	aiss
哀诉	aisu
爱隼	aisy
爱搜	aisz
爱他	aita
艾特	aite
挨踢	aiti
哀啼	aiti
哀叹	aitj
爱听	aitk
艾条	aitn
哀痛	aits
哀恸	aits
爱徒	aitu
爱莎	aiua
爱神	aiuf
矮身	aiuf
唉声	aiug
哀声	aiug
哀伤	aiuh
爱上	aiuh
挨上	aiuh
碍事	aiui
艾山	aiuj
爱说	aiuo
癌栓	aiur
爱书	aiuu
矮树	aiuu
爱睡	aiuv
爱耍	aiux
碍手	aiuz
爱找	aivc
挨着	aive
爱着	aive
碍着	aive
癌症	aivg
挨整	aivg
矮壮	aivl
癌肿	aivs
爱抓	aivx
矮轴	aivz
爱娃	aiwa
爱挖	aiwa
爱问	aiwf
艾翁	aiwg
爱网	aiwh
爱玩	aiwj
哀婉	aiwj
爱我	aiwo
爱物	aiwu
爱屋	aiwu
艾薇	aiww
爱围	aiww
爱心	aixb
AI修复	aixf
爱惜	aixi
矮星	aixk
矮小	aixn
爱笑	aixn
挨削	aixn
爱写	aixp
挨熊	aixs
爱学	aixt
暗潮汹涌	aixy
挨训	aixy
哎呀	aiya
唉呀	aiya
艾叶	aiye
爱液	aiye
爱意	aiyi
碍眼	aiyj
爱婴	aiyk
哎哟	aiyo
哎唷	aiyo
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
爱欲	aiyu
哎呦	aiyz
爱幼	aiyz
矮油	aiyz
挨拶	aiza
挨宰	aizd
爱憎	aizg
矮子	aizi
艾滋	aizi
爱做	aizo
AI作图	aizt
挨揍	aizz
挨家挨户	ajah
安静安静	ajaj
挨肩并足	ajbz
挨肩擦背	ajcb
挨肩搭背	ajdb
按揭贷款	ajdk
安静的美男子	ajdz
安居工程	ajgi
按揭合同	ajht
按键冲突	ajit
按键精灵	ajjl
安家落户	ajlh
按揭利息	ajlx
安居乐业	ajly
安家立业	ajly
阿基米德	ajmd
暗箭难防	ajnf
暗贱难防	ajnf
按经取穴	ajqx
安静入睡	ajru
也就是说	ajsu
案件审理	ajul
暗箭伤人	ajur
按揭手续	ajux
挨家逐户	ajvh
安家置业	ajvy
安静下来	ajxl
暗礁险滩	ajxt
按迹循踪	ajxz
埃及艳后	ajyh
爱看不看	akbk
阿卡贝拉	akbl
阿喀琉斯之踵	aklv
奥卡姆剃刀	akmd
爱开玩笑	akwx
阿克希亚	akxy
阿里巴巴	albb
阿拉伯半岛	albd
阿拉伯联合酋长国	albg
爱理不理	albl
爱来不来	albl
阿拉伯人	albr
奥林巴斯	albs
阿拉伯语	alby
阿拉伯数字	albz
阿里地区	aldq
按劳付酬	alfi
按劳分配	alfp
案例分析	alfx
阿里嘎多	algd
按老规矩	algj
爱老虎油	alhy
案例教学	aljx
按理来讲	allj
按理来说	allu
阿拉木图	almt
奥林匹克运动会	alph
奥林匹克	alpk
奥林匹斯	alpo
奥林匹亚先生	alpu
奥林匹亚	alpy
按劳取酬	alqi
阿拉斯加	alsj
阿拉山口	aluk
阿拉善盟	alum
阿里旺旺	alww
爱莉希雅	alxy
暗流涌动	alyd
阿里云盘	alyp
安利一下	alyx
阿猫阿狗	amag
挨门挨户	amah
按摩按摩	amam
爱买不买	ambm
暧昧不清	ambq
傲慢不逊	ambx
爱玛电动车	amdi
哀莫大于心死	amds
哀莫大焉	amdy
阿米尔汗	ameh
安民告示	amgu
澳门回归	amhg
澳门皇家赌场	amhi
奥密克戎	amkr
鞍马劳顿	amld
阿美莉卡	amlk
鞍马劳困	amlk
阿米莉亚	amly
唵嘛呢叭咪吽	amnh
按摩女郎	amnl
啊米诺斯	amns
阿米诺斯	amns
爱莫能助	amnv
爱美人士	amru
爱猫人士	amru
爱民如子	amrz
阿姆斯特丹	amsd
阿姆斯特朗	amsl
也没什么	amsm
阿姆斯壮	amsv
阿弥陀佛	amtf
澳门特区	amtq
阿玛忒拉斯	amts
挨门逐户	amvh
鞍马之劳	amvl
爱慕之情	amvq
爱美之心，人皆有之	amvv
爱美之心人皆有之	amvv
爱美之心	amvx
傲慢无礼	amwl
奥妙无穷	amwq
澳门新葡京娱乐城	amxi
澳门新葡京	amxj
阿莫西林	amxl
爱慕虚荣	amxr
爱慕已久	amyj
暗暗	anan
俺爸	anba
安保	anbc
暗堡	anbc
岸本	anbf
安邦	anbh
鞍鼻	anbi
案板	anbj
按兵	anbk
暗病	anbk
岸边	anbm
岸标	anbn
安柏	anbo
暗部	anbu
按捺不住	anbv
按耐不住	anbv
安倍	anbw
懊恼不已	anby
暗藏	anch
按词	anci
碍难从命	ancm
按错	anco
俺村	ancy
暗忖	ancy
暗道	andc
按到	andc
暗袋	andd
安得	ande
俺的	ande
安德	ande
安灯	andg
按当	andh
暗地	andi
案底	andi
安迪	andi
俺滴	andi
黯淡	andj
暗淡	andj
氨氮	andj
安定	andk
暗点	andm
按点	andm
按掉	andn
安多	ando
俺爹	andp
爱你的人	andr
按动	ands
暗洞	ands
案牍	andu
安度	andu
暗度	andu
安顿	andy
暗斗	andz
媕娿	anee
俺儿	aner
案发	anfa
按法	anfa
安分	anff
安份	anff
暗讽	anfg
安放	anfh
暗访	anfh
安防	anfh
案犯	anfj
安抚	anfu
安福	anfu
安飞	anfw
安否	anfz
暗改	angd
暗格	ange
铵根	angf
鞍钢	angh
暗杆	angj
安敢	angj
暗光	angl
暗广	angl
暗管	angr
安工	angs
俺姑	angu
岸谷	angu
安规	angv
暗鬼	angv
暗沟	angz
暗号	anhc
安好	anhc
暗害	anhd
暗合	anhe
暗盒	anhe
暗含	anhj
按坏	anhk
暗黄	anhl
暗红	anhs
按户	anhu
安徽	anhv
俺会	anhv
暗灰	anhv
暗黑	anhw
黯黑	anhw
暗话	anhx
安魂	anhy
安插	ania
暗潮	anic
暗沉	anif
按成	anig
暗娼	anih
案场	anih
鞍韂	anij
暗疮	anil
暗宠	anis
暗处	aniu
鹌鹑	aniy
暗金	anjb
暗劲	anjb
暗道：“	anjf
按季	anji
暗疾	anji
安静	anjk
暗井	anjk
案件	anjm
按键	anjm
安检	anjm
暗叫	anjn
暗礁	anjn
暗角	anjn
按揭	anjp
俺舅	anjq
案卷	anjr
安居	anju
安家	anjx
俺家	anjx
安军	anjy
安可	anke
暗刻	anke
安康	ankh
案款	ankr
暗亏	ankv
暗扣	ankz
安拉	anla
俺姥	anlc
按劳	anlc
俺来	anld
安乐	anle
案例	anli
按理	anli
安利	anli
按烂	anlj
按铃	anlk
按量	anll
暗梁	anll
暗恋	anlm
案列	anlp
暗流	anlq
暗绿	anlv
暗雷	anlw
按类	anlw
俺俩	anlx
氨纶	anly
暗骂	anma
鞍马	anma
安民	anmb
按脉	anmd
暗门	anmf
俺们	anmf
安谧	anmi
案名	anmk
安眠	anmm
按摩	anmo
暗魔	anmo
案目	anmu
俺妹	anmw
按捺	anna
安娜	anna
按耐	annd
俺奶	annd
俺呢	anne
安能	anng
安妮	anni
安宁	annk
俺娘	annl
暗念	annm
按年	annm
按钮	annq
安暖	annr
安内	annw
俺怕	anpa
安贫	anpb
安排	anpd
暗批	anpi
暗盘	anpj
安培	anpw
安寝	anqb
暗器	anqi
按期	anqi
案情	anqk
暗强	anql
暗枪	anql
安茜	anqm
按前	anqm
安桥	anqn
安丘	anqq
安全	anqr
俺去	anqu
暗渠	anqu
安群	anqy
按日	anri
黯然	anrj
安然	anrj
岸然	anrj
安若	anro
按入	anru
安内攘外	anrw
按揉	anrz
俺仨	ansa
爱你三千遍	ansb
安塞	ansd
暗色	anse
安森	ansf
安斯	ansi
暗锁	anso
暗算	ansr
氨酸	ansr
暗送	anss
安踏	anta
安泰	antd
安胎	antd
庵堂	anth
暗叹	antj
暗探	antj
按天	antm
安妥	anto
按图	antu
案头	antz
岸头	antz
暗杀	anua
暗哨	anuc
安设	anue
安身	anuf
安神	anuf
安生	anug
岸上	anuh
安上	anuh
暗示	anui
按时	anui
鞍山	anuj
暗爽	anul
按说	anuo
谙熟	anuu
桉树	anuu
俺叔	anuu
安睡	anuv
氨水	anuv
安顺	anuy
案首	anuz
安札	anva
按照	anvc
安寨	anvd
按着	anve
暗账	anvh
按章	anvh
安置	anvi
暗战	anvj
安装	anvl
暗桩	anvl
安卓	anvo
案桌	anvo
暗中	anvs
案中	anvs
按住	anvu
按准	anvy
安外	anwd
安稳	anwf
暗纹	anwf
暗网	anwh
按完	anwj
安慰	anww
安危	anww
傲睨万物	anww
安心	anxb
安息	anxi
暗喜	anxi
安星	anxk
安详	anxl
暗想	anxl
暗香	anxl
暗箱	anxl
暗线	anxm
安闲	anxm
暗笑	anxn
安歇	anxp
按需	anxu
暗许	anxu
按下	anxx
按旬	anxy
按压	anya
安隐	anyb
俺要	anyc
暗夜	anye
俺爷	anye
安阳	anyh
安养	anyh
安逸	anyi
俺姨	anyi
铵盐	anyj
胺盐	anyj
暗影	anyk
安营	anyk
安源	anyr
安远	anyr
案源	anyr
暗涌	anys
安永	anys
暗月	anyt
按月	anyt
暗语	anyu
安于	anyu
暗喻	anyu
安云	anyy
案由	anyz
俺有	anyz
安在	anzd
按责	anze
安葬	anzh
暗自	anzi
案子	anzi
安坐	anzo
案宗	anzs
傲岸	aoan
嗷嗷	aoao
熬吧	aoba
敖包	aobc
鳌拜	aobd
凹版	aobj
敖丙	aobk
鏖兵	aobk
澳北	aobw
凹槽	aocc
熬菜	aocd
熬到	aodc
奥登	aodg
奥迪	aodi
凹地	aodi
奥丁	aodk
熬点	aodm
凹点	aodm
凹度	aodu
鏖斗	aodz
奥恩	aoen
奥尔	aoer
凹分	aoff
凹缝	aofg
澳方	aofh
凹感	aogj
敖广	aogl
熬过	aogo
傲骨	aogu
澳规	aogv
熬好	aohc
凹痕	aohf
澳航	aohh
傲寒	aohj
敖汉	aohj
熬坏	aohk
傲虎	aohu
懊悔	aohv
傲魂	aohy
傲沉	aoif
熬成	aoig
奥创	aoil
熬出	aoiu
凹处	aoiu
凹进	aojb
澳籍	aoji
凹击	aoji
拗劲	aojk
凹镜	aojk
鳌江	aojl
熬煎	aojm
傲剑	aojm
傲娇	aojn
傲居	aoju
澳剧	aoju
傲君	aojy
澳客	aoke
凹坑	aokg
澳抗	aokh
拗口	aokz
熬了	aole
傲立	aoli
熬炼	aolm
澳门	aomf
奥秘	aomi
傲慢	aomj
凹面	aomm
奥妙	aomn
凹模	aomu
傲梅	aomw
懊恼	aonc
熬年	aonm
澳牛	aonq
傲农	aons
艾欧尼亚	aony
奥棚	aopg
傲气	aoqi
獒犬	aoqr
袄裙	aoqy
傲人	aorf
熬人	aorf
奥日	aori
傲然	aorj
凹入	aoru
奥赛	aosd
懊丧	aosh
奥斯	aosi
熬死	aosi
澳台	aotd
奥特	aote
熬汤	aoth
奥体	aoti
傲天	aotm
奥拓	aoto
凹凸	aotu
鳌头	aotz
傲胜	aoug
熬上	aouh
傲视	aoui
傲世	aoui
傲霜	aoul
奥数	aouu
奥术	aouu
熬水	aouv
熬着	aove
熬制	aovi
螯肢	aovi
鏖战	aovj
熬煮	aovu
澳洲	aovz
熬粥	aovz
凹洼	aowa
澳外	aowd
澳网	aowh
奥王	aowh
獒王	aowh
熬完	aowj
嗷呜	aowu
傲物	aowu
澳新	aoxb
熬心	aoxb
遨嬉	aoxi
凹形	aoxk
翱翔	aoxl
凹陷	aoxm
傲雪	aoxt
凹下	aoxx
鳌虾	aoxx
敖隐	aoyb
熬药	aoyc
熬夜	aoye
奥义	aoyi
熬鹰	aoyk
澳元	aoyr
媪妪	aoyu
奥运	aoyy
遨游	aoyz
懊糟	aozc
袄子	aozi
凹字	aozi
螯足	aozu
熬走	aozz
安排安排	apap
爱拼才会赢	apcy
安排得明明白白	apdb
安培定则	apdz
安排工作	apgz
安贫乐道	apld
安贫乐贱	aplj
安贫若素	aprs
爱泼斯坦	apst
安排妥当	aptd
安排生活	apuh
安排时间	apuj
爱去不去	aqbq
哀其不争	aqbv
哀其不幸	aqbx
安全措施	aqcu
爱情动作片	aqdp
安全第一	aqdy
安全管家	aqgj
爱情故事	aqgu
爱情公寓	aqgy
按期还款	aqhk
安全出口	aqik
爱情长跑	aqip
奥奇传说	aqiu
安全出行	aqix
安全级别	aqjb
爱情价更高	aqjg
安全检查	aqji
安全距离	aqjl
安全可靠	aqkk
安全理事会	aqlh
鞍前马后	aqmh
爱情买卖	aqmm
安全起见	aqqj
安全气囊	aqqn
爱钱如命	aqrm
安全提示	aqtu
暗区突围	aqtw
安全设备	aqub
安全事故	aqug
安全施工	aqug
安全生产	aqui
安全声明	aqum
安全设施	aquu
安全使用	aquy
安全着陆	aqvl
安全中心	aqvx
安全卫士	aqwu
安全系数	aqxu
安全隐患	aqyh
安全因素	aqys
安全意识	aqyu
安全运输	aqyu
安全有效	aqyx
爱如潮水	ariu
爱如己出	arji
蔼然可亲	arkq
黯然离场	arli
黯然泪下	arlx
安如磐石	arpu
安然如故	arrg
爱人如己	arrj
安然入眠	arrm
安然入睡	arru
傲然挺立	artl
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
黯然伤神	aruu
爱如珍宝	arvb
安然无事	arwu
安然无恙	arwy
黯然销魂	arxh
矮人一等	aryd
爱人以德	aryd
傲然屹立	aryl
昂然自得	arzd
安然自若	arzr
艾斯爱慕	asam
阿塞拜疆	asbj
阿斯巴甜	asbt
埃塞俄比亚	asey
阿sir	asir
爱斯基摩	asjm
爱斯基摩人	asjr
奥斯卡金像奖	askj
奥斯曼帝国	asmg
ASMR	asmr
阿司匹林	aspl
暗送秋波	asqb
阿斯特拉	astl
奥斯维辛	aswx
安塞腰鼓	asyg
凹凸不平	atbp
艾条灸法	atjf
昂头阔步	atkb
暗通款曲	atkq
AT力场	atli
AT领域	atly
艾特全体	atqt
按图索骥	atsj
昂头挺胸	attx
奥特之父	atvf
奥特之母	atvm
安土重迁	atvq
奥特之王	atvw
奥体中心	atvx
哀痛欲绝	atyj
凹凸有致	atyv
碍手碍脚	auaj
爱说爱笑	auax
安守本分	aubf
安神补脑	aubn
爱说不说	aubu
爱睡不睡	aubu
安神定惊	audj
安神定魄	audp
安神定志	audv
昂首高亢	augk
昂首阔步	aukb
安身立命	aulm
奥沙利文	aulw
奥数魔刃	aumr
爱是你我	aunw
爱沙尼亚	auny
按时起床	auqi
暗生情愫	auqs
傲视群雄	auqx
安适如常	auri
安生日子	aurz
昂首挺立	autl
唉声叹气	autq
昂首挺胸	autx
安身之地	auvd
安身之处	auvi
安史之乱	auvl
安身之所	auvs
按时完成	auwi
昂首望天	auwt
爱是一道光	auyg
昂首屹立	auyl
阿珍爱上了阿强	avaq
暗中调查	avdi
安装到位	avdw
螯肢动物	avdw
安枕而卧	avew
安知非福	avff
安知非祸	avfh
按照规定	avgd
暗中观察	avgi
安装过程	avgi
按照惯例	avgl
癌症患者	avhv
AV画质	avhv
按照传统	avit
安装程序	avix
按照计划	avjh
安装教程	avji
安装目录	avml
暗中摸索	avms
AV女优	avny
AV男优	avny
安卓平板	avpb
暗中盘算	avpo
安装软件	avrj
安卓软件	avrj
安之若素	avrs
暗中算计	avsj
安卓思维	avsw
安卓手机	avuj
安装文件	avwj
癌症晚期	avwq
安枕无忧	avwy
安卓系统	avxt
暗中相助	avxv
爱之欲其生	avyu
暗中作梗	avzg
安慰安慰	awaw
阿瓦达啃大瓜	awdg
阿瓦达索命	awdm
爱我的人	awdr
安危祸福	awhf
爱屋及乌	awjw
阿伟乱葬岗	awlg
安危冷暖	awln
爱我所爱	awsa
啊我死了	awsl
阿伟死了	awsl
暗无天日	awtr
爱我中华	awvh
安危相易	awxy
安危与共	awyg
安慰一下	awyx
按下不表	axbb
爱信不信	axbx
暗箱操作	axcz
奥匈帝国	axdg
安心定志	axdv
按需定制	axdv
熬心费力	axfl
按需分配	axfp
爱惜公物	axgw
安心工作	axgz
按下葫芦起来瓢	axhp
按下葫芦浮起瓢	axhp
爱心捐款	axjk
爱新觉罗	axjl
暗下决心	axjx
按下快门	axkm
安心乐意	axly
爱惜人才	axrc
安享天年	axtn
爱惜生命	axum
暗香疏影	axuy
爱心助学	axvx
安享晚年	axwn
安下心来	axxl
按需选择	axxz
爱惜羽毛	axym
锕系元素	axys
安闲自得	axzd
爱惜自己	axzj
安闲自在	axzz
昂扬不灭	aybm
哎哟，不错哦	aybo
阿谀奉承	ayfi
阿谀逢迎	ayfy
奥运冠军	aygj
爱一个人	aygr
奥运健儿	ayje
暗夜精灵	ayjl
奥运精神	ayju
唉呀妈呀	aymy
哎呀妈呀	aymy
碍于面子	aymz
碍于情面	ayqm
遨游四海	aysh
爱因斯坦	ayst
遨游世界	ayuj
按月支付	ayvf
安营扎寨	ayvv
安有完卵	aywl
哎呦我去	aywq
哎呀我去	aywq
哎哟我去	aywq
阿姨洗铁路	ayxl
昂扬向上	ayxu
安于现状	ayxv
俺也一样	ayyy
安于一隅	ayyy
阿姨压一压	ayyy
艾滋病毒	azbd
肮脏不堪	azbk
艾滋病人	azbr
暗自得意	azdy
爱憎分明	azfm
爱走极端	azjd
矮子看戏	azkx
按资论辈	azlb
矮子里拔将军	azlj
艾泽拉斯	azls
按资排辈	azpb
腌臜泼才	azpc
暗自庆幸	azqx
暗自思量	azsl
阿兹特克	aztk
暗自神伤	azuu
爱咋咋地	azzd
爱咋咋的	azzd
吧！”	baae
把俺	baan
爸爸	baba
粑粑	baba
八宝	babc
八百	babd
八拜	babd
霸榜	babh
芭比	babi
罢笔	babi
八班	babj
把柄	babk
罢兵	babk
靶标	babn
巴别	babp
八辈	babw
拔北	babw
叭嚓	baca
拔草	bacc
扒草	bacc
把菜	bacd
八册	bace
八层	bacg
拔萃	bacv
八寸	bacy
吧嗒	bada
八大	bada
霸道	badc
拔刀	badc
八代	badd
扒带	badd
报案电话	badh
巴蒂	badi
拔地	badi
并案调查	badi
坝顶	badk
八点	badm
靶点	badm
拔掉	badn
拔屌	badn
把舵	bado
八段	badr
八度	badu
霸都	badu
保安队长	badv
巴顿	bady
巴豆	badz
八斗	badz
北爱尔兰	bael
八二	baer
八分	baff
八份	baff
把风	bafg
八方	bafh
霸服	bafu
八幅	bafu
拔高	bagc
八个	bage
八哥	bage
巴哥	bage
八根	bagf
把杆	bagj
八怪	bagk
扒光	bagl
拔光	bagl
把关	bagr
罢官	bagr
拔罐	bagr
罢工	bags
八股	bagu
八桂	bagv
八卦	bagx
乾坤震巽坎离艮兑	bagx
八号	bahc
把好	bahc
拔河	bahe
巴赫	bahe
疤痕	bahf
八行	bahh
八荒	bahl
把货	baho
跋扈	bahu
八会	bahv
扒灰	bahv
不安好心	bahx
霸魂	bahy
拔插	baia
八岔	baia
www.baidu.com	baidu
扒车	baie
把车	baie
八成	baig
靶场	baih
把持	baii
不按常理	bail
把床	bail
不按常理出牌	baip
靶船	bair
