aaaa	啊啊啊啊
addd	啊对对对
adds	阿迪达斯
adgy	爱的供养
adhe	艾迪霍尔
adhx	安定和谐
adic	暗渡陈仓
adic	暗度陈仓
adlj	按道理讲
adlj	按道理来讲
adlt	熬到了头
adlu	按道理说
adlu	按道理来说
adlx	案牍劳形
adly	澳大利亚
adna	安东尼奥
adrx	安定人心
adsu	安第斯山
adtj	安定团结
adue	挨冻受饿
adum	挨打受骂
aduu	爱的实验室
aduz	奥迪双钻
advl	案牍之劳
adwg	黯淡无光
adwg	暗淡无光
adwn	安度晚年
adys	爱得要死
adyx	安定有序
aebs	阿尔卑斯
aebt	阿尔伯特
aebu	哀而不伤
aeby	阿尔巴尼亚
aecb	阿尔茨海默病
aedh	艾尔登法环
aeds	阿尔都塞
aefg	阿尔法狗
aeje	阿尔及尔
aeju	阿尔金山
aejy	阿尔及利亚
aekt	阿尔卡特
aeld	爱尔兰岛
aeud	挨饿受冻
aewx	爱尔维修
afaf	安抚安抚
afdd	案发地点
afdt	案发当天
afet	埃菲尔铁塔
afgf	阿房宫赋
afjl	阿伏加德罗
afju	阿伏加德罗常数
aflj	阿非利加
afrx	安抚人心
aftm	安非他命
aftm	安非他明
afuj	安分守己
afuj	安份守己
afvy	按方抓药
afvz	安分知足
afxi	案发现场
afzr	安富尊荣
agam	阿哥阿妹
agjl	爱国将领
agjp	挨个击破
agju	爱国精神
agju	爱国敬业诚信友善
agjy	爱岗敬业
agjy	爱国教育
agjy	爱国基因
agll	爱国力量
agqb	爱国侨胞
agqn	爱国青年
agrq	爱国热情
agru	爱国人士
agru	爱狗人士
agsd	奥古斯都
agsd	奥古斯丁
agtb	爱国同胞
agtx	爱国统一战线
aguf	爱国守法
agur	爱国诗人
aguy	熬更守夜
agvi	阿甘正传
agvu	爱国志士
agvu	爱国主义精神
agvx	爱国之心
agvx	爱国阵线
agvy	爱国主义
agwu	爱国卫生
agxu	爱管闲事
agyd	爱国运动
agyx	爱国营销
ahah	昂昂
ahah	啊哈啊哈
ahbd	哀鸿遍地
ahby	哀鸿遍野
ahby	懊悔不已
ahdp	安魂定魄
ahdw	爱护动物
ahgf	爱好广泛
ahgl	哀毁骨立
ahgv	昂贵
ahgw	爱护公物
ahhp	爱好和平
ahjj	爱恨交加
ahjv	爱恨交织
ahli	昂立
ahmu	暗黑模式
ahqi	昂起
ahqi	爱恨情仇
ahqy	爱恨情缘
ahre	昂热
ahri	安好如初
ahri	昂日
ahrj	盎然
ahsa	盎撒
ahsi	盎司
ahtz	昂头
ahui	昂视
ahuz	昂首
ahve	昂着
ahvi	昂志
ahvw	爱护植物
ahyh	昂扬
ahzh	肮脏
aiai	矮矮
aiai	哎哎
aiai	唉唉
aiai	爱爱
aiba	爱吧
aibh	爱帮
aibi	艾比
aibi	爱吃不吃
aibk	癌病
aibk	爱兵
aibm	癌变
aibn	爱表
aibo	爱博
aibo	爱播
aibu	爱步
aibw	爱贝
aicc	艾草
aicd	爱才
aicd	爱财
aico	爱错
aida	挨打
aidc	哀悼
aidd	爱戴
aide	爱得
aidg	矮凳
aidh	爱党
aidi	艾迪
aidi	爱迪
aidn	哀吊
aidq	爱丢
aids	挨冻
aids	爱动
aidu	爱赌
aidv	爱对
aidy	矮墩
aidz	爱豆
aidz	挨斗
aiee	挨饿
aier	艾尔
aifa	挨罚
aift	爱出风头
aifu	爱抚
aifu	嗳腐
aifw	爱妃
aigc	哀告
aigc	爱搞
aigd	熬肠刮肚
aige	挨个
aige	哀歌
aigf	爱跟
aigh	爱岗
aigj	爱干
aigl	爱逛
aigo	爱国
aigo	爱过
aigo	挨过
aigr	爱管
aigv	矮柜
aigw	爱给
aigz	爱狗
aihc	爱好
aihc	哀嚎
aihc	哀号
aihc	艾蒿
aihd	哎嗨
aihe	爱河
aihe	爱喝
aihf	爱恨
aihh	碍航
aihk	爱坏
aihl	AI换脸
aiho	爱火
aihr	爱换
aihr	哀唤
aihs	哀鸿
aihs	爱哄
aihu	爱护
aihw	哎嘿
aihw	唉嘿
aihx	爱花
aihx	爱华
aihy	瑷珲
aiic	爱巢
aiie	爱车
aiif	艾辰
aiig	爱称
aiih	爱唱
aiii	爱吃
aiil	哀怆
aiil	爱创
aiir	爱穿
aiis	爱宠
aiiu	安常处顺
aiiz	哀愁
aijb	挨近
aijb	哀矜
aiji	埃及
aiji	爱机
aijk	爱敬
aijk	艾敬
aijl	爱将
aijl	爱酱
aijm	挨肩
aijn	哀叫
aijn	矮脚
aijn	爱叫
aijn	挨浇
aijp	娭毑
aijp	爱借
aijq	艾灸
aijr	艾卷
aijs	隘窘
aijt	艾爵
aiju	爱菊
aijx	哀家
aijx	爱家
aijy	爱军
aike	艾克
aikj	爱看
aikr	矮款
aiku	爱哭
aiku	哀苦
aikz	隘口
aila	艾拉
ailb	艾琳
aild	爱来
aile	挨了
aile	爱了
aile	矮了
ailh	爱郎
ailm	爱恋
ailm	爱怜
ailn	爱聊
ailq	癌瘤
ailu	按常理来说
ailu	爱撸
ailu	爱吃零食
ailv	爱侣
aily	艾伦
aima	挨骂
aima	艾玛
aimb	爱民
aimc	爱猫
aimd	爱买
aime	爱么
aimf	挨门
aimg	爱梦
aimg	艾蒙
aimi	艾米
aimj	艾曼
aimk	哀鸣
aimk	爱明
aimm	爱面
aimn	爱苗
aimo	哀默
aimo	癌魔
aimu	爱慕
aimw	暧昧
aimw	爱美
ainb	爱您
ainc	爱闹
aind	欸乃
aini	爱你
ainj	碍难
aink	爱宁
ainm	爱念
ainn	爱鸟
aint	挨虐
ainu	爱奴
ainv	爱女
aipb	爱拼
aipc	挨炮
aipc	爱跑
aipd	爱拍
aipg	艾蓬
aiph	矮胖
aipi	挨批
aipk	爱平
aipk	爱评
aipl	安车蒲轮
aipm	挨骗
aipo	爱泼
aipu	爱普
aipw	癌胚
aiqi	爱妻
aiqi	哀戚
aiqi	嗳气
aiqi	哀泣
aiqk	爱情
aiqk	爱卿
aiqk	艾青
aiql	矮墙
aiqm	爱钱
aiqp	哀切
aiqp	爱妾
aiqq	哀求
aiqr	爱犬
aire	艾热
airf	爱人
airf	矮人
airh	爱让
airi	爱日
airj	蔼然
airj	爱染
airs	艾绒
airs	哀荣
airu	爱如
airv	艾瑞
aisi	爱死
aisi	哀思
aisi	艾斯
aisj	爱散
aiss	爱松
aisu	哀诉
aisy	爱隼
aisz	爱搜
aita	爱他
aite	艾特
aiti	挨踢
aiti	哀啼
aitj	哀叹
aitk	爱听
aitn	艾条
aits	哀痛
aits	哀恸
aitu	爱徒
aiua	爱莎
aiuf	爱神
aiuf	矮身
aiug	唉声
aiug	哀声
aiuh	哀伤
aiuh	爱上
aiuh	挨上
aiui	碍事
aiuj	艾山
aiuo	爱说
aiur	癌栓
aiuu	爱书
aiuu	矮树
aiuv	爱睡
aiux	爱耍
aiuz	碍手
aivc	爱找
aive	挨着
aive	爱着
aive	碍着
aivg	癌症
aivg	挨整
aivl	矮壮
aivs	癌肿
aivx	爱抓
aivz	矮轴
aiwa	爱娃
aiwa	爱挖
aiwf	爱问
aiwg	艾翁
aiwh	爱网
aiwj	爱玩
aiwj	哀婉
aiwo	爱我
aiwu	爱物
aiwu	爱屋
aiww	艾薇
aiww	爱围
aixb	爱心
aixf	AI修复
aixi	爱惜
aixk	矮星
aixn	矮小
aixn	爱笑
aixn	挨削
aixp	爱写
aixs	挨熊
aixt	爱学
aixy	暗潮汹涌
aixy	挨训
aiya	哎呀
aiya	唉呀
aiye	艾叶
aiye	爱液
aiyi	爱意
aiyj	碍眼
aiyk	爱婴
aiyo	哎哟
aiyo	哎唷
aiyr	哀怨
aiys	爱用
aiyt	哀乐
aiyu	碍于
aiyu	爱欲
aiyz	哎呦
aiyz	爱幼
aiyz	矮油
aiza	挨拶
aizd	挨宰
aizg	爱憎
aizi	矮子
aizi	艾滋
aizo	爱做
aizt	AI作图
aizz	挨揍
ajah	挨家挨户
ajaj	安静安静
ajbz	挨肩并足
ajcb	挨肩擦背
ajdb	挨肩搭背
ajdk	按揭贷款
ajdz	安静的美男子
ajgi	安居工程
ajht	按揭合同
ajit	按键冲突
ajjl	按键精灵
ajlh	安家落户
ajlx	按揭利息
ajly	安居乐业
ajly	安家立业
ajmd	阿基米德
ajnf	暗箭难防
ajnf	暗贱难防
ajqx	按经取穴
ajru	安静入睡
ajsu	也就是说
ajul	案件审理
ajur	暗箭伤人
ajux	按揭手续
ajvh	挨家逐户
ajvy	安家置业
ajxl	安静下来
ajxt	暗礁险滩
ajxz	按迹循踪
ajyh	埃及艳后
akbk	爱看不看
akbl	阿卡贝拉
aklv	阿喀琉斯之踵
akmd	奥卡姆剃刀
akwx	爱开玩笑
akxy	阿克希亚
albb	阿里巴巴
albd	阿拉伯半岛
albg	阿拉伯联合酋长国
albl	爱理不理
albl	爱来不来
albr	阿拉伯人
albs	奥林巴斯
alby	阿拉伯语
albz	阿拉伯数字
aldq	阿里地区
alfi	按劳付酬
alfp	按劳分配
alfx	案例分析
algd	阿里嘎多
algj	按老规矩
alhy	爱老虎油
aljx	案例教学
allj	按理来讲
allu	按理来说
almt	阿拉木图
alph	奥林匹克运动会
alpk	奥林匹克
alpo	奥林匹斯
alpu	奥林匹亚先生
alpy	奥林匹亚
alqi	按劳取酬
alsj	阿拉斯加
aluk	阿拉山口
alum	阿拉善盟
alww	阿里旺旺
alxy	爱莉希雅
alyd	暗流涌动
alyp	阿里云盘
alyx	安利一下
amag	阿猫阿狗
amah	挨门挨户
amam	按摩按摩
ambm	爱买不买
ambq	暧昧不清
ambx	傲慢不逊
amdi	爱玛电动车
amds	哀莫大于心死
amdy	哀莫大焉
ameh	阿米尔汗
amgu	安民告示
amhg	澳门回归
amhi	澳门皇家赌场
amkr	奥密克戎
amld	鞍马劳顿
amlk	阿美莉卡
amlk	鞍马劳困
amly	阿米莉亚
amnh	唵嘛呢叭咪吽
amnl	按摩女郎
amns	啊米诺斯
amns	阿米诺斯
amnv	爱莫能助
amru	爱美人士
amru	爱猫人士
amrz	爱民如子
amsd	阿姆斯特丹
amsl	阿姆斯特朗
amsm	也没什么
amsv	阿姆斯壮
amtf	阿弥陀佛
amtq	澳门特区
amts	阿玛忒拉斯
amvh	挨门逐户
amvl	鞍马之劳
amvq	爱慕之情
amvv	爱美之心，人皆有之
amvv	爱美之心人皆有之
amvx	爱美之心
amwl	傲慢无礼
amwq	奥妙无穷
amxi	澳门新葡京娱乐城
amxj	澳门新葡京
amxl	阿莫西林
amxr	爱慕虚荣
amyj	爱慕已久
anan	暗暗
anba	俺爸
anbc	安保
anbc	暗堡
anbf	岸本
anbh	安邦
anbi	鞍鼻
anbj	案板
anbk	按兵
anbk	暗病
anbm	岸边
anbn	岸标
anbo	安柏
anbu	暗部
anbv	按捺不住
anbv	按耐不住
anbw	安倍
anby	懊恼不已
anch	暗藏
anci	按词
ancm	碍难从命
anco	按错
ancy	俺村
ancy	暗忖
andc	暗道
andc	按到
andd	暗袋
ande	安得
ande	俺的
ande	安德
andg	安灯
andh	按当
andi	暗地
andi	案底
andi	安迪
andi	俺滴
andj	黯淡
andj	暗淡
andj	氨氮
andk	安定
andm	暗点
andm	按点
andn	按掉
ando	安多
andp	俺爹
andr	爱你的人
ands	按动
ands	暗洞
andu	案牍
andu	安度
andu	暗度
andy	安顿
andz	暗斗
anee	媕娿
aner	俺儿
anfa	案发
anfa	按法
anff	安分
anff	安份
anfg	暗讽
anfh	安放
anfh	暗访
anfh	安防
anfj	案犯
anfu	安抚
anfu	安福
anfw	安飞
anfz	安否
angd	暗改
ange	暗格
angf	铵根
angh	鞍钢
angj	暗杆
angj	安敢
angl	暗光
angl	暗广
angr	暗管
angs	安工
angu	俺姑
angu	岸谷
angv	安规
angv	暗鬼
angz	暗沟
anhc	暗号
anhc	安好
anhd	暗害
anhe	暗合
anhe	暗盒
anhj	暗含
anhk	按坏
anhl	暗黄
anhs	暗红
anhu	按户
anhv	安徽
anhv	俺会
anhv	暗灰
anhw	暗黑
anhw	黯黑
anhx	暗话
anhy	安魂
ania	安插
anic	暗潮
anif	暗沉
anig	按成
anih	暗娼
anih	案场
anij	鞍韂
anil	暗疮
anis	暗宠
aniu	暗处
aniy	鹌鹑
anjb	暗金
anjb	暗劲
anjf	暗道：“
anji	按季
anji	暗疾
anjk	安静
anjk	暗井
anjm	案件
anjm	按键
anjm	安检
anjn	暗叫
anjn	暗礁
anjn	暗角
anjp	按揭
anjq	俺舅
anjr	案卷
anju	安居
anjx	安家
anjx	俺家
anjy	安军
anke	安可
anke	暗刻
ankh	安康
ankr	案款
ankv	暗亏
ankz	暗扣
anla	安拉
anlc	俺姥
anlc	按劳
anld	俺来
anle	安乐
anli	案例
anli	按理
anli	安利
anlj	按烂
anlk	按铃
anll	按量
anll	暗梁
anlm	暗恋
anlp	案列
anlq	暗流
anlv	暗绿
anlw	暗雷
anlw	按类
anlx	俺俩
anly	氨纶
anma	暗骂
anma	鞍马
anmb	安民
anmd	按脉
anmf	暗门
anmf	俺们
anmi	安谧
anmk	案名
anmm	安眠
anmo	按摩
anmo	暗魔
anmu	案目
anmw	俺妹
anna	按捺
anna	安娜
annd	按耐
annd	俺奶
anne	俺呢
anng	安能
anni	安妮
annk	安宁
annl	俺娘
annm	暗念
annm	按年
annq	按钮
annr	安暖
annw	安内
anpa	俺怕
anpb	安贫
anpd	安排
anpi	暗批
anpj	暗盘
anpw	安培
anqb	安寝
anqi	暗器
anqi	按期
anqk	案情
anql	暗强
anql	暗枪
anqm	安茜
anqm	按前
anqn	安桥
anqq	安丘
anqr	安全
anqu	俺去
anqu	暗渠
anqy	安群
anri	按日
anrj	黯然
anrj	安然
anrj	岸然
anro	安若
anru	按入
anrw	安内攘外
anrz	按揉
ansa	俺仨
ansb	爱你三千遍
ansd	安塞
anse	暗色
ansf	安森
ansi	安斯
anso	暗锁
ansr	暗算
ansr	氨酸
anss	暗送
anta	安踏
antd	安泰
antd	安胎
anth	庵堂
antj	暗叹
antj	暗探
antm	按天
anto	安妥
antu	按图
antz	案头
antz	岸头
anua	暗杀
anuc	暗哨
anue	安设
anuf	安身
anuf	安神
anug	安生
anuh	岸上
anuh	安上
anui	暗示
anui	按时
anuj	鞍山
anul	暗爽
anuo	按说
anuu	谙熟
anuu	桉树
anuu	俺叔
anuv	安睡
anuv	氨水
anuy	安顺
anuz	案首
anva	安札
anvc	按照
anvd	安寨
anve	按着
anvh	暗账
anvh	按章
anvi	安置
anvj	暗战
anvl	安装
anvl	暗桩
anvo	安卓
anvo	案桌
anvs	暗中
anvs	案中
anvu	按住
anvy	按准
anwd	安外
anwf	安稳
anwf	暗纹
anwh	暗网
anwj	按完
anww	安慰
anww	安危
anww	傲睨万物
anxb	安心
anxi	安息
anxi	暗喜
anxk	安星
anxl	安详
anxl	暗想
anxl	暗香
anxl	暗箱
anxm	暗线
anxm	安闲
anxn	暗笑
anxp	安歇
anxu	按需
anxu	暗许
anxx	按下
anxy	按旬
anya	按压
anyb	安隐
anyc	俺要
anye	暗夜
anye	俺爷
anyh	安阳
anyh	安养
anyi	安逸
anyi	俺姨
anyj	铵盐
anyj	胺盐
anyk	暗影
anyk	安营
anyr	安源
anyr	安远
anyr	案源
anys	暗涌
anys	安永
anyt	暗月
anyt	按月
anyu	暗语
anyu	安于
anyu	暗喻
anyy	安云
anyz	案由
anyz	俺有
anzd	安在
anze	按责
anzh	安葬
anzi	暗自
anzi	案子
anzo	安坐
anzs	案宗
aoan	傲岸
aoao	嗷嗷
aoba	熬吧
aobc	敖包
aobd	鳌拜
aobj	凹版
aobk	敖丙
aobk	鏖兵
aobw	澳北
aocc	凹槽
aocd	熬菜
aodc	熬到
aodg	奥登
aodi	奥迪
aodi	凹地
aodk	奥丁
aodm	熬点
aodm	凹点
aodu	凹度
aodz	鏖斗
aoen	奥恩
aoer	奥尔
aoff	凹分
aofg	凹缝
aofh	澳方
aogj	凹感
aogl	敖广
aogo	熬过
aogu	傲骨
aogv	澳规
aohc	熬好
aohf	凹痕
aohh	澳航
aohj	傲寒
aohj	敖汉
aohk	熬坏
aohu	傲虎
aohv	懊悔
aohy	傲魂
aoif	傲沉
aoig	熬成
aoil	奥创
aoiu	熬出
aoiu	凹处
aojb	凹进
aoji	澳籍
aoji	凹击
aojk	拗劲
aojk	凹镜
aojl	鳌江
aojm	熬煎
aojm	傲剑
aojn	傲娇
aoju	傲居
aoju	澳剧
aojy	傲君
aoke	澳客
aokg	凹坑
aokh	澳抗
aokz	拗口
aole	熬了
aoli	傲立
aolm	熬炼
aomf	澳门
aomi	奥秘
aomj	傲慢
aomm	凹面
aomn	奥妙
aomu	凹模
aomw	傲梅
aonc	懊恼
aonm	熬年
aonq	澳牛
aons	傲农
aony	艾欧尼亚
aopg	奥棚
aoqi	傲气
aoqr	獒犬
aoqy	袄裙
aorf	傲人
aorf	熬人
aori	奥日
aorj	傲然
aoru	凹入
aosd	奥赛
aosh	懊丧
aosi	奥斯
aosi	熬死
aotd	澳台
aote	奥特
aoth	熬汤
aoti	奥体
aotm	傲天
aoto	奥拓
aotu	凹凸
aotz	鳌头
aoug	傲胜
aouh	熬上
aoui	傲视
aoui	傲世
aoul	傲霜
aouu	奥数
aouu	奥术
aouv	熬水
aove	熬着
aovi	熬制
aovi	螯肢
aovj	鏖战
aovu	熬煮
aovz	澳洲
aovz	熬粥
aowa	凹洼
aowd	澳外
aowh	澳网
aowh	奥王
aowh	獒王
aowj	熬完
aowu	嗷呜
aowu	傲物
aoxb	澳新
aoxb	熬心
aoxi	遨嬉
aoxk	凹形
aoxl	翱翔
aoxm	凹陷
aoxt	傲雪
aoxx	凹下
aoxx	鳌虾
aoyb	敖隐
aoyc	熬药
aoye	熬夜
aoyi	奥义
aoyk	熬鹰
aoyr	澳元
aoyu	媪妪
aoyy	奥运
aoyz	遨游
aozc	懊糟
aozi	袄子
aozi	凹字
aozu	螯足
aozz	熬走
apap	安排安排
apcy	爱拼才会赢
apdb	安排得明明白白
apdz	安培定则
apgz	安排工作
apld	安贫乐道
aplj	安贫乐贱
aprs	安贫若素
apst	爱泼斯坦
aptd	安排妥当
apuh	安排生活
apuj	安排时间
aqbq	爱去不去
aqbv	哀其不争
aqbx	哀其不幸
aqcu	安全措施
aqdp	爱情动作片
aqdy	安全第一
aqgj	安全管家
aqgu	爱情故事
aqgy	爱情公寓
aqhk	按期还款
aqik	安全出口
aqip	爱情长跑
aqiu	奥奇传说
aqix	安全出行
aqjb	安全级别
aqjg	爱情价更高
aqji	安全检查
aqjl	安全距离
aqkk	安全可靠
aqlh	安全理事会
aqmh	鞍前马后
aqmm	爱情买卖
aqqj	安全起见
aqqn	安全气囊
aqrm	爱钱如命
aqtu	安全提示
aqtw	暗区突围
aqub	安全设备
aqug	安全事故
aqug	安全施工
aqui	安全生产
aqum	安全声明
aquu	安全设施
aquy	安全使用
aqvl	安全着陆
aqvx	安全中心
aqwu	安全卫士
aqxu	安全系数
aqyh	安全隐患
aqys	安全因素
aqyu	安全意识
aqyu	安全运输
aqyx	安全有效
ariu	爱如潮水
arji	爱如己出
arkq	蔼然可亲
arli	黯然离场
arlx	黯然泪下
arpu	安如磐石
arrg	安然如故
arrj	爱人如己
arrm	安然入眠
arru	安然入睡
artl	傲然挺立
artu	安如泰山
arus	黯然失色
aruu	黯然神伤
aruu	黯然伤神
arvb	爱如珍宝
arwu	安然无事
arwy	安然无恙
arxh	黯然销魂
aryd	矮人一等
aryd	爱人以德
aryl	傲然屹立
arzd	昂然自得
arzr	安然自若
asam	艾斯爱慕
asbj	阿塞拜疆
asbt	阿斯巴甜
asey	埃塞俄比亚
asir	阿sir
asjm	爱斯基摩
asjr	爱斯基摩人
askj	奥斯卡金像奖
asmg	奥斯曼帝国
asmr	ASMR
aspl	阿司匹林
asqb	暗送秋波
astl	阿斯特拉
aswx	奥斯维辛
asyg	安塞腰鼓
atbp	凹凸不平
atjf	艾条灸法
atkb	昂头阔步
atkq	暗通款曲
atli	AT力场
atly	AT领域
atqt	艾特全体
atsj	按图索骥
attx	昂头挺胸
atvf	奥特之父
atvm	奥特之母
atvq	安土重迁
atvw	奥特之王
atvx	奥体中心
atyj	哀痛欲绝
atyv	凹凸有致
auaj	碍手碍脚
auax	爱说爱笑
aubf	安守本分
aubn	安神补脑
aubu	爱说不说
aubu	爱睡不睡
audj	安神定惊
audp	安神定魄
audv	安神定志
augk	昂首高亢
aukb	昂首阔步
aulm	安身立命
aulw	奥沙利文
aumr	奥数魔刃
aunw	爱是你我
auny	爱沙尼亚
auqi	按时起床
auqs	暗生情愫
auqx	傲视群雄
auri	安适如常
aurz	安生日子
autl	昂首挺立
autq	唉声叹气
autx	昂首挺胸
auvd	安身之地
auvi	安身之处
auvl	安史之乱
auvs	安身之所
auwi	按时完成
auwt	昂首望天
auyg	爱是一道光
auyl	昂首屹立
avaq	阿珍爱上了阿强
avdi	暗中调查
avdw	安装到位
avdw	螯肢动物
avew	安枕而卧
avff	安知非福
avfh	安知非祸
avgd	按照规定
avgi	暗中观察
avgi	安装过程
avgl	按照惯例
avhv	癌症患者
avhv	AV画质
avit	按照传统
avix	安装程序
avjh	按照计划
avji	安装教程
avml	安装目录
avms	暗中摸索
avny	AV女优
avny	AV男优
avpb	安卓平板
avpo	暗中盘算
avrj	安装软件
avrj	安卓软件
avrs	安之若素
avsj	暗中算计
avsw	安卓思维
avuj	安卓手机
avwj	安装文件
avwq	癌症晚期
avwy	安枕无忧
avxt	安卓系统
avxv	暗中相助
avyu	爱之欲其生
avzg	暗中作梗
awaw	安慰安慰
awdg	阿瓦达啃大瓜
awdm	阿瓦达索命
awdr	爱我的人
awhf	安危祸福
awjw	爱屋及乌
awlg	阿伟乱葬岗
awln	安危冷暖
awsa	爱我所爱
awsl	啊我死了
awsl	阿伟死了
awtr	暗无天日
awvh	爱我中华
awxy	安危相易
awyg	安危与共
awyx	安慰一下
axbb	按下不表
axbx	爱信不信
axcz	暗箱操作
axdg	奥匈帝国
axdv	安心定志
axdv	按需定制
axfl	熬心费力
axfp	按需分配
axgw	爱惜公物
axgz	安心工作
axhp	按下葫芦起来瓢
axhp	按下葫芦浮起瓢
axjk	爱心捐款
axjl	爱新觉罗
axjx	暗下决心
axkm	按下快门
axly	安心乐意
axrc	爱惜人才
axtn	安享天年
axum	爱惜生命
axuy	暗香疏影
axvx	爱心助学
axwn	安享晚年
axxl	安下心来
axxz	按需选择
axym	爱惜羽毛
axys	锕系元素
axzd	安闲自得
axzj	爱惜自己
axzz	安闲自在
aybm	昂扬不灭
aybo	哎哟，不错哦
ayfi	阿谀奉承
ayfy	阿谀逢迎
aygj	奥运冠军
aygr	爱一个人
ayje	奥运健儿
ayjl	暗夜精灵
ayju	奥运精神
aymy	唉呀妈呀
aymy	哎呀妈呀
aymz	碍于面子
ayqm	碍于情面
aysh	遨游四海
ayst	爱因斯坦
ayuj	遨游世界
ayvf	按月支付
ayvv	安营扎寨
aywl	安有完卵
aywq	哎呦我去
aywq	哎呀我去
aywq	哎哟我去
ayxl	阿姨洗铁路
ayxu	昂扬向上
ayxv	安于现状
ayyy	俺也一样
ayyy	安于一隅
ayyy	阿姨压一压
azbd	艾滋病毒
azbk	肮脏不堪
azbr	艾滋病人
azdy	暗自得意
azfm	爱憎分明
azjd	爱走极端
azkx	矮子看戏
azlb	按资论辈
azlj	矮子里拔将军
azls	艾泽拉斯
azpb	按资排辈
azpc	腌臜泼才
azqx	暗自庆幸
azsl	暗自思量
aztk	阿兹特克
azuu	暗自神伤
azzd	爱咋咋地
azzd	爱咋咋的
baae	吧！”
baan	把俺
baba	爸爸
baba	粑粑
babc	八宝
babd	八百
babd	八拜
babh	霸榜
babi	芭比
babi	罢笔
babj	八班
babk	把柄
babk	罢兵
babn	靶标
babp	巴别
babw	八辈
babw	拔北
baca	叭嚓
bacc	拔草
bacc	扒草
bacd	把菜
bace	八册
bacg	八层
bacv	拔萃
bacy	八寸
bada	吧嗒
bada	八大
badc	霸道
badc	拔刀
badd	八代
badd	扒带
badh	报案电话
badi	巴蒂
badi	拔地
badi	并案调查
badk	坝顶
badm	八点
badm	靶点
badn	拔掉
badn	拔屌
bado	把舵
badr	八段
badu	八度
badu	霸都
badv	保安队长
bady	巴顿
badz	巴豆
badz	八斗
bael	北爱尔兰
baer	八二
baff	八分
baff	八份
bafg	把风
bafh	八方
bafu	霸服
bafu	八幅
bagc	拔高
bage	八个
bage	八哥
bage	巴哥
bagf	八根
bagj	把杆
bagk	八怪
bagl	扒光
bagl	拔光
bagr	把关
bagr	罢官
bagr	拔罐
bags	罢工
bagu	八股
bagv	八桂
bagx	八卦
bagx	乾坤震巽坎离艮兑
bahc	八号
bahc	把好
bahe	拔河
bahe	巴赫
bahf	疤痕
bahh	八行
bahl	八荒
baho	把货
bahu	跋扈
bahv	八会
bahv	扒灰
bahx	不安好心
bahy	霸魂
baia	拔插
baia	八岔
baidu	www.baidu.com
baie	扒车
baie	把车
baig	八成
baih	靶场
baii	把持
bail	不按常理
bail	把床
baip	不按常理出牌
bair	靶船
